House of Representatives - 1998 Election 						
Swing to ALP						
By Division by Polling Place						

New South Wales						

* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National Party						
 candidate was endorsed for the supplementary election. Therefore Newcastle does not appear in this table.						

Banks						

Polling Place	Formal	MELHAM		IACONO		Swing
Tyalgum	377	179	47.48	198	52.52	6.36
Uki	655	380	58.02	275	41.98	2.19
Wardell	543	247	45.49	296	54.51	2.19
Wilsons Creek	171	148	86.55	23	13.45	11.39
Wollongbar	1268	465	36.67	803	63.33	8.79
ABSENT	3207	1783	55.6	1424	44.4	-
POSTAL	4054	1901	46.89	2153	53.11	-
PRE POLL	7626	3628	47.57	3998	52.43	-
PROVISIONAL	1149	755	65.71	394	34.29	-
Division Total	81283	40013	49.23	41270	50.77	5.98


Riverina						

Polling Place	Formal	HARGREAVES		HULL		Swing
	Votes	(ALP)	%	(NP)	%	%
Ardlethan	437	100	22.88	337	77.12	2.11
Ashmont	1985	895	45.09	1090	54.91	5.53
Barellan	365	71	19.45	294	80.55	3.07
Beckom	96	7	7.29	89	92.71	5.52
Beelbangera	320	104	32.5	216	67.5	9.22
Bethungra	114	38	33.33	76	66.67	0.25
Bilbul	203	52	25.62	151	74.38	9.85
Binya	92	12	13.04	80	86.96	7.55
Booligal	66	18	27.27	48	72.73	0.35
Carrathool	99	21	21.21	78	78.79	-6.06
Charles Sturt University	106	33	31.13	73	68.87	3.86
Coleambally	659	99	15.02	560	84.98	-0.72
Collingullie	215	49	22.79	166	77.21	12.18
Coolamon	952	260	27.31	692	72.69	3.69
Currawarna	105	36	34.29	69	65.71	15
Darlington Point	659	304	46.13	355	53.87	6.31
Driver	1036	363	35.04	673	64.96	10.56
Euberta	115	14	12.17	101	87.83	10.19
Forest Hill	871	286	32.84	585	67.16	4
Galore	129	19	14.73	110	85.27	7.83
Ganmain	440	113	25.68	327	74.32	7.58
Glenfield Park	1278	405	31.69	873	68.31	-1.43
Goolgowi	295	61	20.68	234	79.32	6.54
Gralee	893	310	34.71	583	65.29	4.16
Griffith	2371	957	40.36	1414	59.64	9.2
Griffith East	1085	383	35.3	702	64.7	10.92
Griffith North	1668	586	35.13	1082	64.87	6.33
Griffith West	1398	615	43.99	783	56.01	8.13
Grong Grong	188	68	36.17	120	63.83	5.02
Gumly Gumly	311	120	38.59	191	61.41	7.53
Hanwood	855	249	29.12	606	70.88	6.57
Hay	1298	563	43.37	735	56.63	7.97
Hay Hospital	481	215	44.7	266	55.3	5.17
Hillston	792	243	30.68	549	69.32	3.65
Illabo	144	20	13.89	124	86.11	6.66
Junee	2220	1092	49.19	1128	50.81	6.51
Kapooka	136	42	30.88	94	69.12	8.85
Kooringal	2668	791	29.65	1877	70.35	1.6
Ladysmith	266	49	18.42	217	81.58	4.08
Lake Albert	2064	589	28.54	1475	71.46	4.57
Lake Wyangan	366	102	27.87	264	72.13	7.51
Leeton	1888	736	38.98	1152	61.02	4.16
Leeton Hospital	415	144	34.7	271	65.3	7.04
Mangoplah	234	17	7.26	217	92.74	1.12
Marrar	257	33	12.84	224	87.16	1.05
Matong	130	25	19.23	105	80.77	6.27
Maude	46	15	32.61	31	67.39	12.32
Merriwagga	95	16	16.84	79	83.16	0
Milbrulong	72	14	19.44	58	80.56	1.94
Mirrool	98	4	4.08	94	95.92	1.43
Mount Austin	2318	891	38.44	1427	61.56	5.61
Murrami	138	26	18.84	112	81.16	7.48
Naradhan	45	3	6.67	42	93.33	-5.1
Narrandera	1648	676	41.02	972	58.98	7.42
Narrandera East	717	259	36.12	458	63.88	3.76
Narrandera West	367	163	44.41	204	55.59	6.58
Parkview	890	404	45.39	486	54.61	4.5
Pleasant Hills	82	8	9.76	74	90.24	2.06
Rankins Springs	209	61	29.19	148	70.81	4.6
San Isidore	196	76	38.78	120	61.22	9.05
Special Hospital Team 1	92	35	38.04	57	61.96	4.39
Special Hospital Team 2	26	12	46.15	14	53.85	-10.1
Special Hospital Team 3	79	36	45.57	43	54.43	0.86
Special Hospital Team 4	189	68	35.98	121	64.02	8.44
Special Hospital Team 5	40	13	32.5	27	67.5	11.29
Sturt	2234	715	32.01	1519	67.99	4.68
Sydney (Riverina)	30	14	46.67	16	53.33	1.67
Tallimba	140	10	7.14	130	92.86	2.95
Tatton	430	97	22.56	333	77.44	8.47
Tharbogang	239	90	37.66	149	62.34	4.32
The Rock	647	302	46.68	345	53.32	14.81
Tolland	1489	565	37.94	924	62.06	4.61
Turvey Park	1733	611	35.26	1122	64.74	3.42
Ungarie	357	81	22.69	276	77.31	-0.39
Uranquinty	413	145	35.11	268	64.89	6.38
Wagga Wagga	1414	545	38.54	869	61.46	5.14
Wagga Wagga High	531	168	31.64	363	68.36	-3.37
Wagga Wagga Hospital	226	89	39.38	137	60.62	14.38
Wagga Wagga North	1415	470	33.22	945	66.78	2.78
Wagga Wagga South	1426	557	39.06	869	60.94	5.47
Wagga Wagga West	1834	688	37.51	1146	62.49	5.81
Wamoon	248	77	31.05	171	68.95	4.49
Wantabadgery	118	23	19.49	95	80.51	8.27
Weethalle	273	52	19.05	221	80.95	4.19
West Wyalong	1643	471	28.67	1172	71.33	8.9
Whitton	421	154	36.58	267	63.42	4.46
Wyalong	527	169	32.07	358	67.93	6.88
Yanco	629	255	40.54	374	59.46	6.24
Yenda	909	306	33.66	603	66.34	9.66
Yerong Creek	200	38	19	162	81	4.89
Yoogali	615	203	33.01	412	66.99	7.02
ABSENT	4256	1506	35.39	2750	64.61	-
POSTAL	3357	1030	30.68	2327	69.32	-
PRE POLL	5564	1894	34.04	3670	65.96	-
PROVISIONAL	923	387	41.93	536	58.07	-
Division Total	74353	25801	34.7	48552	65.3	5.71


Robertson						

Polling Place	Formal	NEAL		LLOYD		Swing
	Votes	(ALP)	%	(LP)	%	%
Avoca Beach	1823	793	43.5	1030	56.5	1.44
Booker Bay	525	271	51.62	254	48.38	2.74
Copacabana	1168	577	49.4	591	50.6	-1.44
Davistown	1302	656	50.38	646	49.62	2.18
Empire Bay	2276	1002	44.02	1274	55.98	3.61
Erina	4044	1689	41.77	2355	58.23	-1.2
Erina Heights (Robertson)	774	281	36.3	493	63.7	-1.37
Ettalong	3349	1802	53.81	1547	46.19	1.76
Ettalong South	571	347	60.77	224	39.23	0.97
Ettalong West	2515	1567	62.31	948	37.69	4.65
Gosford	1153	591	51.26	562	48.74	6.59
Gosford East	2597	1020	39.28	1577	60.72	-0.63
Gosford West	1121	499	44.51	622	55.49	1.66
Green Point	1001	396	39.56	605	60.44	6.83
Hardys Bay	324	163	50.31	161	49.69	9.05
Henry Kendall	509	231	45.38	278	54.62	-4.53
Kariong	2636	1078	40.9	1558	59.1	0.09
Kincumber	3104	1467	47.26	1637	52.74	4.02
Kincumber Central	1103	504	45.69	599	54.31	-0.06
Macmasters Beach	429	185	43.12	244	56.88	3.08
Mangrove Mountain	419	123	29.36	296	70.64	5.3
Mooney Mooney	248	107	43.15	141	56.85	-0.51
Mount White	81	35	43.21	46	56.79	4.75
Narara South	1326	555	41.86	771	58.14	0.92
Niagara Park (Robertson)	302	147	48.68	155	51.32	2.44
Ocean Beach	2441	1385	56.74	1056	43.26	3.21
Patonga	205	96	46.83	109	53.17	-7.02
Pearl Beach	318	151	47.48	167	52.52	4.07
Peats Ridge	247	74	29.96	173	70.04	4.86
Point Clare	2452	1126	45.92	1326	54.08	1.36
Pretty Beach	620	295	47.58	325	52.42	-2.11
Saratoga	1748	787	45.02	961	54.98	3.01
Somersby	498	144	28.92	354	71.08	1.39
Special Hospital Team 1	127	47	37.01	80	62.99	1.61
Special Hospital Team 2	246	118	47.97	128	52.03	-0.75
Special Hospital Team 3	157	61	38.85	96	61.15	-2.1
Spencer	180	92	51.11	88	48.89	2.72
Springfield	1486	804	54.1	682	45.9	0.36
Sydney (Robertson)	67	33	49.25	34	50.75	3.92
Terrigal (Robertson)	2813	1060	37.68	1753	62.32	-1.39
Terrigal Central	567	171	30.16	396	69.84	-4.06
Umina Bullion St.	1402	825	58.84	577	41.16	4
Umina Central	2254	1296	57.5	958	42.5	2.38
Umina Mall	1761	961	54.57	800	45.43	0.02
Woy Woy	2870	1645	57.32	1225	42.68	5.17
Woy Woy Bay	264	109	41.29	155	58.71	-10.2
Woy Woy South	1037	577	55.64	460	44.36	4.48
Wyoming (Robertson)	1176	575	48.89	601	51.11	0.1
ABSENT	5443	2689	49.4	2754	50.6	-
POSTAL	3944	1877	47.59	2067	52.41	-
PRE POLL	5121	2375	46.38	2746	53.62	-
PROVISIONAL	941	575	61.11	366	38.89	-
Division Total	75085	36034	47.99	39051	52.01	1.56


Shortland						

Polling Place	Formal	HALL		CRAIG		Swing
	Votes	(ALP)	%	(LP)	%	%
Belmont	1328	893	67.24	435	32.76	7.97
Belmont Central	1612	1111	68.92	501	31.08	6.05
Belmont North	1745	1191	68.25	554	31.75	5.31
Belmont West	972	619	63.68	353	36.32	8.41
Blacksmiths	932	695	74.57	237	25.43	2.96
Budgewoi	2075	1360	65.54	715	34.46	7.2
Budgewoi Central	1064	662	62.22	402	37.78	8.02
Buff Point	1436	836	58.22	600	41.78	1.68
Catherine Hill Bay	144	108	75	36	25	-7.31
Caves Beach	2693	1748	64.91	945	35.09	5.89
Chain Valley Bay	631	390	61.81	241	38.19	4.85
Charlestown	2240	1318	58.84	922	41.16	3.32
Charlestown East	1084	676	62.36	408	37.64	5.25
Charlestown South	1014	630	62.13	384	37.87	7.64
Dudley	1363	787	57.74	576	42.26	2.7
Eleebana	2807	1232	43.89	1575	56.11	2.95
Floraville	1250	726	58.08	524	41.92	-1.13
Gateshead	1513	1043	68.94	470	31.06	4.5
Gateshead West	1139	922	80.95	217	19.05	2.12
Gwandalan	1215	735	60.49	480	39.51	5
Hillsborough (Shortland)	936	521	55.66	415	44.34	4.25
Jewells	1800	1071	59.5	729	40.5	5.11
Kahibah	1842	1123	60.97	719	39.03	4.1
Lake Munmorah	2195	1354	61.69	841	38.31	6.17
Mannering Park	1263	837	66.27	426	33.73	6.7
Marks Point	1333	907	68.04	426	31.96	7.87
Mount Hutton (Shortland)	1369	885	64.65	484	35.35	7.04
Norah Head	759	426	56.13	333	43.87	5.08
Nords Wharf	484	278	57.44	206	42.56	-2
Pelican	685	525	76.64	160	23.36	2.87
Redhead	1546	1027	66.43	519	33.57	6.9
San Remo (Shortland)	1817	1177	64.78	640	35.22	6.31
Special Hospital Team 1	144	80	55.56	64	44.44	-5.56
Special Hospital Team 2	206	105	50.97	101	49.03	-2.67
Special Hospital Team 3	117	69	58.97	48	41.03	-3.82
Summerland Point	931	538	57.79	393	42.21	3.61
Swansea	1792	1342	74.89	450	25.11	7.38
Swansea North	1057	829	78.43	228	21.57	-0.04
Sydney (Shortland)	17	9	52.94	8	47.06	23.77
Tingira Heights	680	391	57.5	289	42.5	2.32
Toukley	1430	782	54.69	648	45.31	3.58
Toukley East	2067	1236	59.8	831	40.2	5.95
Valentine	2600	1274	49	1326	51	3.34
Valentine East	461	256	55.53	205	44.47	5.6
Warners Bay Central (Shortland)	309	194	62.78	115	37.22	6.74
Whitebridge	1098	675	61.48	423	38.52	4.68
Windale	2043	1705	83.46	338	16.54	3.35
ABSENT	5040	3062	60.75	1978	39.25	-
POSTAL	2994	1936	64.66	1058	35.34	-
PRE POLL	5588	3398	60.81	2190	39.19	-
PROVISIONAL	540	406	75.19	134	24.81	-
Division Total	73400	46100	62.81	27300	37.19	4.66


Sydney						

Polling Place	Formal	PLIBERSEK		MORROW		Swing
	Votes	(ALP)	%	(LP)	%	%
Alexandria	1193	867	72.67	326	27.33	3.81
Annandale North (Sydney)	1267	845	66.69	422	33.31	3.45
Bald Rock	287	183	63.76	104	36.24	0.81
Balmain	1974	1292	65.45	682	34.55	3.21
Balmain East	796	516	64.82	280	35.18	4.78
Balmain Hospital	284	164	57.75	120	42.25	-4.69
Barcom	623	427	68.54	196	31.46	4.92
Beaconsfield	302	235	77.81	67	22.19	8.52
Birchgrove	1693	1037	61.25	656	38.75	-1.77
Blackfriars	389	305	78.41	84	21.59	6.56
Camperdown (Sydney)	276	206	74.64	70	25.36	2.06
Centennial Park	388	152	39.18	236	60.82	-3.51
Chippendale	781	638	81.69	143	18.31	10.21
Darlinghurst	823	615	74.73	208	25.27	2.49
Darlington	911	695	76.29	216	23.71	3.53
East Sydney	1468	1105	75.27	363	24.73	7.51
Erskineville	2097	1634	77.92	463	22.08	4.36
Flinders	652	448	68.71	204	31.29	-0.76
Forest Lodge	1008	753	74.7	255	25.3	6.17
Gardeners Road	417	315	75.54	102	24.46	15.77
Gladstone Park	1312	881	67.15	431	32.85	0.07
Glebe	1144	845	73.86	299	26.14	4.05
Glebe East	1371	1122	81.84	249	18.16	7.17
Glebe North	889	616	69.29	273	30.71	2.16
Glenmore	1943	976	50.23	967	49.77	0.13
Holdsworth	959	370	38.58	589	61.42	5.07
Hyde Park	378	231	61.11	147	38.89	-2.07
Kings Cross	1478	1020	69.01	458	30.99	-0.83
Lilyfield	1332	876	65.77	456	34.23	3.59
Lilyfield North	781	512	65.56	269	34.44	7.16
Lord Howe Island	174	89	51.15	85	48.85	9.58
Millers Point	710	516	72.68	194	27.32	2.6
Newtown East	374	312	83.42	62	16.58	8.71
Newtown North (Sydney)	1420	1165	82.04	255	17.96	3.85
Paddington	894	447	50	447	50	3.44
Paddington North	622	356	57.23	266	42.77	-4.18
Paddington South	1657	955	57.63	702	42.37	2.64
Plunkett Street	865	617	71.33	248	28.67	4.45
Potts Point	2515	1504	59.8	1011	40.2	2.61
Prince Alfred Hospital	384	261	67.97	123	32.03	10.18
Pyrmont	733	456	62.21	277	37.79	-2.11
Rachel Forster Hospital	1341	1024	76.36	317	23.64	4.84
Redfern	1504	1216	80.85	288	19.15	8.86
Redfern East	1707	1371	80.32	336	19.68	7.48
Rosebery	1036	680	65.64	356	34.36	10.67
Roslyn Gardens	1050	593	56.48	457	43.52	6.01
Rozelle	2444	1686	68.99	758	31.01	3.37
South Sydney Hospital	171	112	65.5	59	34.5	-0.36
Special Hospital Team 1	100	43	43	57	57	4.54
Special Hospital Team 2	109	81	74.31	28	25.69	2.27
Special Hospital Team 3	57	22	38.6	35	61.4	3.75
St Vincents Hospital	197	134	68.02	63	31.98	11.67
Surry Hills	406	306	75.37	100	24.63	0.2
Surry Hills North	1272	926	72.8	346	27.2	-2.86
Surry Hills South	1168	816	69.86	352	30.14	-1.44
Sydney (Sydney)	1954	1212	62.03	742	37.97	3.92
Toxteth	929	645	69.43	284	30.57	6.27
Ultimo	755	588	77.88	167	22.12	9.94
Waterloo	869	715	82.28	154	17.72	6.53
Zetland	150	122	81.33	28	18.67	4.25
ABSENT	8207	4944	60.24	3263	39.76	-
POSTAL	2909	1873	64.39	1036	35.61	-
PRE POLL	6144	3807	61.96	2337	38.04	-
PROVISIONAL	1394	988	70.88	406	29.12	-
Division Total	75437	50463	66.89	24974	33.11	3.09


Throsby						

Polling Place	Formal	HOLLIS		MIFSUD		Swing
	Votes	(ALP)	%	(LP)	%	%
Albion Park	1066	725	68.01	341	31.99	3.16
Albion Park Rail	3563	2510	70.45	1053	29.55	1.88
Albion Park South	2632	1708	64.89	924	35.11	0.05
Barrack Heights	1428	1126	78.85	302	21.15	4.12
Berkeley	1891	1529	80.86	362	19.14	5.62
Berkeley South	695	542	77.99	153	22.01	0.93
Berkeley West	1720	1389	80.76	331	19.24	2.59
Blackbutt	850	559	65.76	291	34.24	-7.28
Brownsville	1262	826	65.45	436	34.55	5.04
Cringila	1280	1168	91.25	112	8.75	6.4
Dapto	2473	1796	72.62	677	27.38	6.11
Farmborough Road	2676	1769	66.11	907	33.89	2.3
Figtree (Throsby)	650	439	67.54	211	32.46	3.4
Hayes Park	2315	1556	67.21	759	32.79	4.82
Kemblawarra	850	711	83.65	139	16.35	6.37
Koonawarra	2366	1882	79.54	484	20.46	3.37
Lake Heights	1190	933	78.4	257	21.6	4.66
Lake Illawarra	1983	1477	74.48	506	25.52	6.14
Lakelands	1704	1261	74	443	26	7.77
Marshall Mount	92	26	28.26	66	71.74	5.31
Mount Brown	1851	1244	67.21	607	32.79	6.04
Mount Terry	861	598	69.45	263	30.55	4.61
Mount Warrigal	2304	1721	74.7	583	25.3	4.85
Oak Flats	3103	2193	70.67	910	29.33	4.32
Oak Flats East	800	564	70.5	236	29.5	3.1
Port Kembla	1479	1172	79.24	307	20.76	1.65
Port Kembla Central	831	710	85.44	121	14.56	7.56
Primbee	896	651	72.66	245	27.34	3.61
Shellharbour	2561	1731	67.59	830	32.41	1.73
Special Hospital Team 1	195	98	50.26	97	49.74	1
Special Hospital Team 2	121	56	46.28	65	53.72	-
Sydney (Throsby)	35	20	57.14	15	42.86	-0.55
Unanderra (Throsby)	546	375	68.68	171	31.32	4.66
Unanderra Central (Throsby)	288	171	59.37	117	40.62	-4.68
Warilla	1523	1189	78.07	334	21.93	3.82
Warilla East	1220	862	70.66	358	29.34	4.12
Warilla North	1718	1468	85.45	250	14.55	4.55
Warilla South	2329	1659	71.23	670	28.77	1.99
Warrawong	1722	1436	83.39	286	16.61	2.62
Warrawong Central	1408	1162	82.53	246	17.47	2.87
West Dapto	1443	988	68.47	455	31.53	3.06
Windang	1472	1007	68.41	465	31.59	0.49
ABSENT	4185	2798	66.86	1387	33.14	-
POSTAL	2811	1877	66.77	934	33.23	-
PRE POLL	3451	2299	66.62	1152	33.38	-
PROVISIONAL	743	612	82.37	131	17.63	-
Division Total	72582	52593	72.46	19989	27.54	2.84


Warringah						

Polling Place	Formal	HERAGHTY		ABBOTT		Swing
	Votes	(ALP)	%	(LP)	%	%
Allambie	646	279	43.19	367	56.81	2.27
Allambie Heights	2782	1102	39.61	1680	60.39	4.56
Balgowlah	1345	471	35.02	874	64.98	6.94
Balgowlah Heights	2286	552	24.15	1734	75.85	1.5
Balmoral	998	220	22.04	778	77.96	-7.57
Beacon Hill (Warringah)	1103	428	38.8	675	61.2	4.13
Beauty Point	1089	305	28.01	784	71.99	7.83
Brookvale	1471	669	45.48	802	54.52	2.79
Cremorne South (Warringah)	301	100	33.22	201	66.78	1.8
Curl Curl	2431	1100	45.25	1331	54.75	2.32
Dee Why Central (Warringah)	325	143	44	182	56	-2.72
Fairlight	1522	573	37.65	949	62.35	3.82
Forestville	3549	1304	36.74	2245	63.26	4.95
Forestville East	844	290	34.36	554	65.64	3.72
Frenchs Forest (Warringah)	1178	432	36.67	746	63.33	4.08
Freshwater	563	242	42.98	321	57.02	0.11
Harbord	2828	1329	46.99	1499	53.01	4.04
Killarney Heights	1682	532	31.63	1150	68.37	5.12
Manly	3524	1538	43.64	1986	56.36	1.97
Manly Central	1021	449	43.98	572	56.02	-1.3
Manly Hospital	328	121	36.89	207	63.11	-1.76
Manly Vale	2236	1088	48.66	1148	51.34	6.87
Manly West	1894	793	41.87	1101	58.13	0.85
Middle Harbour	1270	386	30.39	884	69.61	1.5
Mosman	3944	1223	31.01	2721	68.99	1.37
Mosman Bay	2117	552	26.07	1565	73.93	0.38
Mosman West	550	178	32.36	372	67.64	2.55
North Balgowlah	1616	661	40.9	955	59.1	4.47
North Manly	929	362	38.97	567	61.03	2.87
Queenscliff	1468	595	40.53	873	59.47	2.25
Seaforth	2484	849	34.18	1635	65.82	1.94
Seaforth East	1673	552	32.99	1121	67.01	3.73
Special Hospital Team 1	74	14	18.92	60	81.08	-4.61
Special Hospital Team 2	51	8	15.69	43	84.31	-10.07
Special Hospital Team 3	118	35	29.66	83	70.34	13.64
Spit Junction	1232	422	34.25	810	65.75	-0.16
Sydney (Warringah)	102	55	53.92	47	46.08	-0.98
Wingala	1772	803	45.32	969	54.68	3.09
ABSENT	6063	2165	35.71	3898	64.29	-
POSTAL	3018	900	29.82	2118	70.18	-
PRE POLL	6518	2395	36.74	4123	63.26	-
PROVISIONAL	731	316	43.23	415	56.77	-
Division Total	71676	26531	37.02	45145	62.98	2.33


Watson						

Polling Place	Formal	McLEAY		RAFFERTY		Swing
	Votes	(ALP)	%	(LP)	%	%
Bardwell Park	938	471	50.21	467	49.79	5.7
Belmore Central	1864	1409	75.59	455	24.41	5.96
Belmore North	2017	1535	76.1	482	23.9	4.35
Belmore South	1952	1425	73	527	27	5.49
Beverly Hills	1342	723	53.87	619	46.13	8.62
Beverly Hills South	1106	637	57.59	469	42.41	1.38
Bexley North	1094	638	58.32	456	41.68	7.12
Bexley West	1899	1127	59.35	772	40.65	0.72
Campsie	2212	1907	86.21	305	13.79	10.41
Campsie South	1573	1247	79.28	326	20.72	8.81
Canterbury	544	419	77.02	125	22.98	7.14
Canterbury Hospital	717	520	72.52	197	27.48	1.81
Canterbury South	858	649	75.64	209	24.36	8.41
Carlton West	1265	840	66.4	425	33.6	4.06
Clemton Park	2799	1780	63.59	1019	36.41	4.77
Cup & Saucer	1491	1077	72.23	414	27.77	7.41
Earlwood	920	593	64.46	327	35.54	7.83
Earlwood North	2841	1719	60.51	1122	39.49	4.23
Earlwood South	2276	1526	67.05	750	32.95	5.28
Gilchrist Park	1063	613	57.67	450	42.33	6.11
Harcourt	2672	2074	77.62	598	22.38	9.01
Harcourt Central	1713	1330	77.64	383	22.36	6.1
Harcourt North	1094	699	63.89	395	36.11	4.23
Hurstville	2246	1589	70.75	657	29.25	5.82
Hurstville East	1492	1028	68.9	464	31.1	5.27
Hurstville North	2074	1208	58.24	866	41.76	4.33
Kingsgrove	1882	1163	61.8	719	38.2	9.37
Kingsgrove North	888	572	64.41	316	35.59	9.83
Kingsgrove South	1189	739	62.15	450	37.85	6.46
Lakemba	1884	1515	80.41	369	19.59	6.95
Lakemba Central	1752	1328	75.8	424	24.2	9.15
Lakemba North	1442	1230	85.3	212	14.7	7.1
Mccallums Hill	3126	2013	64.4	1113	35.6	7.44
Penshurst	1357	790	58.22	567	41.78	3.7
Ponyara Road	1410	822	58.3	588	41.7	10.33
Special Hospital Team 1	56	33	58.93	23	41.07	1.79
Special Hospital Team 2	69	41	59.42	28	40.58	8.88
Sutton Park	1126	715	63.5	411	36.5	0.7
Sydney (Watson)	123	90	73.17	33	26.83	-5.13
Undercliffe	1429	847	59.27	582	40.73	2.96
Wiley Park East	818	664	81.17	154	18.83	4.66
ABSENT	5094	3196	62.74	1898	37.26	-
POSTAL	2629	1581	60.14	1048	39.86	-
PRE POLL	3209	2071	64.54	1138	35.46	-
PROVISIONAL	860	656	76.28	204	23.72	-
Division Total	72405	48849	67.47	23556	32.53	5.79


Wentworth						

Polling Place	Formal	PEARCE		THOMSON		Swing
	Votes	(ALP)	%	(LP)	%	%
Bellevue Hill	2738	863	31.52	1875	68.48	2.2
Bellevue Park	840	286	34.05	554	65.95	-1.45
Ben Buckler	266	162	60.9	104	39.1	2.72
Bondi	3394	1786	52.62	1608	47.38	1.55
Bondi Beach	4808	2860	59.48	1948	40.52	1.72
Bondi Junction	2427	1267	52.2	1160	47.8	0.33
Bondi North	1711	809	47.28	902	52.72	3.52
Bronte	1757	912	51.91	845	48.09	0.72
Castlefield	624	353	56.57	271	43.43	5.93
Charing Cross	1511	832	55.06	679	44.94	3.46
Clovelly	1730	931	53.82	799	46.18	-1.9
Clovelly Beach	794	467	58.82	327	41.18	1.38
Clovelly North	2053	1128	54.94	925	45.06	3.5
Coogee Beach (Wentworth)	1609	917	56.99	692	43.01	4.5
Cooper Park	932	210	22.53	722	77.47	-2.08
Darling Point	1710	358	20.94	1352	79.06	-1.12
Diamond Bay	2387	775	32.47	1612	67.53	2.46
Double Bay	2758	771	27.96	1987	72.04	1.24
Dover Heights	2462	664	26.97	1798	73.03	1.19
Edgecliff	465	115	24.73	350	75.27	-0.32
Parsley Bay	528	80	15.15	448	84.85	-1.43
Peters Corner (Wentworth)	1702	948	55.7	754	44.3	1.9
Randwick	1567	850	54.24	717	45.76	0.67
Randwick East	955	508	53.19	447	46.81	4.76
Randwick North	2459	1309	53.23	1150	46.77	2.97
Rose Bay	2323	755	32.5	1568	67.5	2.13
Rose Bay Central	929	254	27.34	675	72.66	1.9
Special Hospital Team 1	120	53	44.17	67	55.83	-4.61
Special Hospital Team 2	145	46	31.72	99	68.28	-5.03
Special Hospital Team 3	133	56	42.11	77	57.89	-4.11
Sydney (Wentworth)	230	143	62.17	87	37.83	1.4
Vaucluse	884	156	17.65	728	82.35	3.88
Watsons Bay	889	244	27.45	645	72.55	0.01
Waverley	1092	550	50.37	542	49.63	-1.47
Waverley College	984	445	45.22	539	54.78	-4.57
Woollahra	1391	477	34.29	914	65.71	1.25
Woollahra East	1375	590	42.91	785	57.09	3.88
ABSENT	6940	3173	45.72	3767	54.28	-
POSTAL	3014	1067	35.4	1947	64.6	-
PRE POLL	7517	3263	43.41	4254	56.59	-
PROVISIONAL	904	477	52.77	427	47.23	-
Division Total	73057	31910	43.68	41147	56.32	1.51


Werriwa						

Polling Place	Formal	LATHAM		THORN		Swing
	Votes	(ALP)	%	(LP)	%	%
Airds (Werriwa)	692	541	78.18	151	21.82	0.2
Airds North	693	592	85.43	101	14.57	8.56
Blairmount	686	506	73.76	180	26.24	13.27
Bradbury (Werriwa)	215	112	52.09	103	47.91	-25.98
Campbellfield	1164	852	73.2	312	26.8	7.29
Campbelltown (Werriwa)	1659	1025	61.78	634	38.22	7.58
Campbelltown East	2218	1343	60.55	875	39.45	8.03
Campbelltown North	783	484	61.81	299	38.19	8.04
Casula	3459	2232	64.53	1227	35.47	7.92
Casula South	941	520	55.26	421	44.74	5.37
Claymore	1233	1010	81.91	223	18.09	8.04
Curran	1178	900	76.4	278	23.6	8.26
Eagle Vale	1245	824	66.18	421	33.82	5.85
Eschol Park	2220	1412	63.6	808	36.4	7.49
Glenfield	2165	1388	64.11	777	35.89	10.27
Glenfield East	1237	781	63.14	456	36.86	9.02
Guise	1121	904	80.64	217	19.36	4.87
Hoxton Park	1211	842	69.53	369	30.47	14.07
Ingleburn	3782	2240	59.23	1542	40.77	6.72
Ingleburn High	1040	580	55.77	460	44.23	7.12
Ingleburn Military Camp	445	162	36.4	283	63.6	4.16
Kentlyn	686	282	41.11	404	58.89	4.38
Leumeah	2080	1337	64.28	743	35.72	6.4
Leumeah North	1496	832	55.61	664	44.39	9.01
Liverpool West (Werriwa)	355	237	66.76	118	33.24	4.58
Lurnea	2172	1608	74.03	564	25.97	8.82
Macquarie Fields	2703	1631	60.34	1072	39.66	7.57
Macquarie Fields North	688	460	66.86	228	33.14	11.15
Minto	1952	1306	66.91	646	33.09	9.5
Prestons	2185	1314	60.14	871	39.86	8.05
Prestons West	903	539	59.69	364	40.31	7.52
Robert Townson	3103	1970	63.49	1133	36.51	6.69
Ruse	2940	1598	54.35	1342	45.65	4.83
Sackville Street	2047	1205	58.87	842	41.13	6.2
St Andrews	2559	1553	60.69	1006	39.31	2.88
St Andrews South	1037	655	63.16	382	36.84	5.02
Sydney (Werriwa)	82	50	60.98	32	39.02	2.64
The Grange	1423	1039	73.01	384	26.99	13.23
Whiddon Homes	178	96	53.93	82	46.07	8.44
Woodbine	1317	758	57.56	559	42.44	5.25
ABSENT	6614	3844	58.12	2770	41.88	-
POSTAL	3035	1800	59.31	1235	40.69	-
PRE POLL	3691	2096	56.79	1595	43.21	-
PROVISIONAL	722	514	71.19	208	28.81	-
Division Total	73355	45974	62.67	27381	37.33	6.46



Victoria						

Aston						

Polling Place	Formal	LOCKWOOD		NUGENT		Swing
	Votes	(ALP)	%	(LP)	%	%
Bayswater	2129	1136	53.36	993	46.64	3.47
Bayswater South	1377	692	50.25	685	49.75	2.99
Bayswater West	2007	981	48.88	1026	51.12	4.16
Blackwood Park	1235	623	50.45	612	49.55	2.29
Charlesworth Park	3171	1315	41.47	1856	58.53	0.49
Eastmont	1435	648	45.16	787	54.84	2.36
