House of Representatives - 2001 Election: Queensland																								
Distribution of Preferences 																								
By Polling Place																								
Dawson																								
				PUKALLUS			JONES			KELLY			FEENEY			ELLUL			OFFIELD			ROBINSON		
	FIRST		4	0.74		7	1.30		308	57.36		113	21.04		8	1.49		10	1.86		87	16.20		537
	SECOND			Excluded		3	75.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL				10	1.86		308	57.36		114	21.23		8	1.49		10	1.86		87	16.20		537
	THIRD					2	25.00		1	12.50		1	12.50			Excluded		0	0.00		4	50.00		8
		TOTAL				12	2.23		309	57.54		115	21.42					10	1.86		91	16.95		537
	FOURTH					5	50.00		1	10.00		3	30.00						Excluded		1	10.00		10
		TOTAL				17	3.17		310	57.73		118	21.97								92	17.13		537
	FIFTH						Excluded		9	52.94		2	11.76								6	35.29		17
		TOTAL							319	59.40		120	22.35								98	18.25		537
	SIXTH								47	47.96		51	52.04									Excluded		98
		TOTAL							366	68.16		171	31.84											537
									Elected															
																								
Glenella                                                       																								
	FIRST		7	0.71		17	1.73		557	56.61		273	27.74		12	1.22		39	3.96		79	8.03		984
	SECOND			Excluded		3	42.86		1	14.29		2	28.57		1	14.29		0	0.00		0	0.00		7
		TOTAL				20	2.03		558	56.71		275	27.95		13	1.32		39	3.96		79	8.03		984
	THIRD					3	23.08		5	38.46		2	15.38			Excluded		2	15.38		1	7.69		13
		TOTAL				23	2.34		563	57.22		277	28.15					41	4.17		80	8.13		984
	FOURTH					15	36.59		7	17.07		13	31.71						Excluded		6	14.63		41
		TOTAL				38	3.86		570	57.93		290	29.47								86	8.74		984
	FIFTH						Excluded		18	47.37		16	42.11								4	10.53		38
		TOTAL							588	59.76		306	31.10								90	9.15		984
	SIXTH								44	48.89		46	51.11									Excluded		90
		TOTAL							632	64.23		352	35.77											984
									Elected															
																								
Goose Ponds                                                    																								
	FIRST		12	0.89		27	2.00		593	43.96		549	40.70		17	1.26		35	2.59		116	8.60		1349
	SECOND			Excluded		7	58.33		1	8.33		1	8.33		2	16.67		1	8.33		0	0.00		12
		TOTAL				34	2.52		594	44.03		550	40.77		19	1.41		36	2.67		116	8.60		1349
	THIRD					3	15.79		7	36.84		2	10.53			Excluded		3	15.79		4	21.05		19
		TOTAL				37	2.74		601	44.55		552	40.92					39	2.89		120	8.90		1349
	FOURTH					7	17.95		12	30.77		12	30.77						Excluded		8	20.51		39
		TOTAL				44	3.26		613	45.44		564	41.81								128	9.49		1349
	FIFTH						Excluded		18	40.91		19	43.18								7	15.91		44
		TOTAL							631	46.78		583	43.22								135	10.01		1349
	SIXTH								50	37.04		85	62.96									Excluded		135
		TOTAL							681	50.48		668	49.52											1349
									Elected															
																								
Gumlu                                                          																								
	FIRST		1	0.72		0	0.00		81	58.70		43	31.16		4	2.90		2	1.45		7	5.07		138
	SECOND			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				1	0.72		81	58.70		43	31.16		4	2.90		2	1.45		7	5.07		138
	THIRD					1	25.00		0	0.00		2	50.00			Excluded		0	0.00		1	25.00		4
		TOTAL				2	1.45		81	58.70		45	32.61					2	1.45		8	5.80		138
	FOURTH					2	100.00		0	0.00		0	0.00						Excluded		0	0.00		2
		TOTAL				4	2.90		81	58.70		45	32.61								8	5.80		138
	FIFTH						Excluded		3	75.00		1	25.00								0	0.00		4
		TOTAL							84	60.87		46	33.33								8	5.80		138
	SIXTH								4	50.00		4	50.00									Excluded		8
		TOTAL							88	63.77		50	36.23											138
									Elected															
																								
Habana                                                         																								
	FIRST		2	0.52		8	2.09		225	58.75		87	22.72		14	3.66		7	1.83		40	10.44		383
	SECOND			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00		2
		TOTAL				8	2.09		225	58.75		87	22.72		15	3.92		7	1.83		41	10.70		383
	THIRD					3	20.00		5	33.33		5	33.33			Excluded		1	6.67		1	6.67		15
		TOTAL				11	2.87		230	60.05		92	24.02					8	2.09		42	10.97		383
	FOURTH					3	37.50		2	25.00		2	25.00						Excluded		1	12.50		8
		TOTAL				14	3.66		232	60.57		94	24.54								43	11.23		383
	FIFTH						Excluded		5	35.71		6	42.86								3	21.43		14
		TOTAL							237	61.88		100	26.11								46	12.01		383
	SIXTH								26	56.52		20	43.48									Excluded		46
		TOTAL							263	68.67		120	31.33											383
									Elected															
																								
Hampden                                                        																								
	FIRST		1	0.22		16	3.51		239	52.41		116	25.44		6	1.32		15	3.29		63	13.82		456
	SECOND			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				17	3.73		239	52.41		116	25.44		6	1.32		15	3.29		63	13.82		456
	THIRD					0	0.00		2	33.33		1	16.67			Excluded		1	16.67		2	33.33		6
		TOTAL				17	3.73		241	52.85		117	25.66					16	3.51		65	14.25		456
	FOURTH					5	31.25		4	25.00		7	43.75						Excluded		0	0.00		16
		TOTAL				22	4.82		245	53.73		124	27.19								65	14.25		456
	FIFTH						Excluded		9	40.91		11	50.00								2	9.09		22
		TOTAL							254	55.70		135	29.61								67	14.69		456
	SIXTH								28	41.79		39	58.21									Excluded		67
		TOTAL							282	61.84		174	38.16											456
									Elected															
																								
Home Hill                                                      																								
	FIRST		24	1.22		25	1.27		1109	56.38		547	27.81		9	0.46		29	1.47		224	11.39		1967
	SECOND			Excluded		15	62.50		3	12.50		3	12.50		1	4.17		1	4.17		1	4.17		24
		TOTAL				40	2.03		1112	56.53		550	27.96		10	0.51		30	1.53		225	11.44		1967
	THIRD					3	30.00		1	10.00		1	10.00			Excluded		2	20.00		3	30.00		10
		TOTAL				43	2.19		1113	56.58		551	28.01					32	1.63		228	11.59		1967
	FOURTH					9	28.13		8	25.00		11	34.38						Excluded		4	12.50		32
		TOTAL				52	2.64		1121	56.99		562	28.57								232	11.79		1967
	FIFTH						Excluded		30	57.69		14	26.92								8	15.38		52
		TOTAL							1151	58.52		576	29.28								240	12.20		1967
	SIXTH								116	48.33		124	51.67									Excluded		240
		TOTAL							1267	64.41		700	35.59											1967
									Elected															
																								
Homebush                                                       																								
	FIRST		2	0.62		5	1.54		207	63.69		67	20.62		2	0.62		4	1.23		38	11.69		325
	SECOND			Excluded		0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				5	1.54		208	64.00		68	20.92		2	0.62		4	1.23		38	11.69		325
	THIRD					1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		2
		TOTAL				6	1.85		208	64.00		69	21.23					4	1.23		38	11.69		325
	FOURTH					1	25.00		0	0.00		1	25.00						Excluded		2	50.00		4
		TOTAL				7	2.15		208	64.00		70	21.54								40	12.31		325
	FIFTH						Excluded		3	42.86		4	57.14								0	0.00		7
		TOTAL							211	64.92		74	22.77								40	12.31		325
	SIXTH								18	45.00		22	55.00									Excluded		40
		TOTAL							229	70.46		96	29.54											325
									Elected															
																								
Homefield                                                      																								
	FIRST		5	0.52		18	1.88		495	51.83		366	38.32		7	0.73		17	1.78		47	4.92		955
	SECOND			Excluded		3	60.00		0	0.00		1	20.00		0	0.00		0	0.00		1	20.00		5
		TOTAL				21	2.20		495	51.83		367	38.43		7	0.73		17	1.78		48	5.03		955
	THIRD					2	28.57		1	14.29		1	14.29			Excluded		2	28.57		1	14.29		7
		TOTAL				23	2.41		496	51.94		368	38.53					19	1.99		49	5.13		955
	FOURTH					10	52.63		0	0.00		8	42.11						Excluded		1	5.26		19
		TOTAL				33	3.46		496	51.94		376	39.37								50	5.24		955
	FIFTH						Excluded		13	39.39		13	39.39								7	21.21		33
		TOTAL							509	53.30		389	40.73								57	5.97		955
	SIXTH								27	47.37		30	52.63									Excluded		57
		TOTAL							536	56.13		419	43.87											955
									Elected															
																								
Inkerman                                                       																								
	FIRST		0	0.00		2	1.16		125	72.67		27	15.70		1	0.58		3	1.74		14	8.14		172
	SECOND			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				2	1.16		125	72.67		27	15.70		1	0.58		3	1.74		14	8.14		172
	THIRD					0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL				2	1.16		126	73.26		27	15.70					3	1.74		14	8.14		172
	FOURTH					1	33.33		1	33.33		0	0.00						Excluded		1	33.33		3
		TOTAL				3	1.74		127	73.84		27	15.70								15	8.72		172
	FIFTH						Excluded		1	33.33		2	66.67								0	0.00		3
		TOTAL							128	74.42		29	16.86								15	8.72		172
	SIXTH								7	46.67		8	53.33									Excluded		15
		TOTAL							135	78.49		37	21.51											172
									Elected															
																								
Jarvisfield                                                    																								
	FIRST		0	0.00		11	3.38		236	72.62		42	12.92		0	0.00		1	0.31		35	10.77		325
	SECOND			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				11	3.38		236	72.62		42	12.92		0	0.00		1	0.31		35	10.77		325
	THIRD					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL				11	3.38		236	72.62		42	12.92					1	0.31		35	10.77		325
	FOURTH					0	0.00		1	100.00		0	0.00						Excluded		0	0.00		1
		TOTAL				11	3.38		237	72.92		42	12.92								35	10.77		325
	FIFTH						Excluded		10	90.91		0	0.00								1	9.09		11
		TOTAL							247	76.00		42	12.92								36	11.08		325
	SIXTH								19	52.78		17	47.22									Excluded		36
		TOTAL							266	81.85		59	18.15											325
									Elected															
																								
Kalamia                                                        																								
	FIRST		5	1.35		5	1.35		212	57.30		97	26.22		3	0.81		6	1.62		42	11.35		370
	SECOND			Excluded		1	20.00		2	40.00		1	20.00		1	20.00		0	0.00		0	0.00		5
		TOTAL				6	1.62		214	57.84		98	26.49		4	1.08		6	1.62		42	11.35		370
	THIRD					0	0.00		1	25.00		1	25.00			Excluded		2	50.00		0	0.00		4
		TOTAL				6	1.62		215	58.11		99	26.76					8	2.16		42	11.35		370
	FOURTH					4	50.00		1	12.50		3	37.50						Excluded		0	0.00		8
		TOTAL				10	2.70		216	58.38		102	27.57								42	11.35		370
	FIFTH						Excluded		7	70.00		2	20.00								1	10.00		10
		TOTAL							223	60.27		104	28.11								43	11.62		370
	SIXTH								20	46.51		23	53.49									Excluded		43
		TOTAL							243	65.68		127	34.32											370
									Elected															
																								
Koumala                                                        																								
	FIRST		3	0.61		6	1.23		248	50.72		109	22.29		2	0.41		6	1.23		115	23.52		489
	SECOND			Excluded		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		1	33.33		3
		TOTAL				7	1.43		249	50.92		109	22.29		2	0.41		6	1.23		116	23.72		489
	THIRD					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	100.00		2
		TOTAL				7	1.43		249	50.92		109	22.29					6	1.23		118	24.13		489
	FOURTH					0	0.00		1	16.67		3	50.00						Excluded		2	33.33		6
		TOTAL				7	1.43		250	51.12		112	22.90								120	24.54		489
	FIFTH						Excluded		2	28.57		5	71.43								0	0.00		7
		TOTAL							252	51.53		117	23.93								120	24.54		489
	SIXTH								50	41.67		70	58.33									Excluded		120
		TOTAL							302	61.76		187	38.24											489
									Elected															
																								
Mackay                                                         																								
	FIRST		13	1.25		50	4.81		443	42.64		407	39.17		25	2.41		30	2.89		71	6.83		1039
	SECOND			Excluded		8	61.54		2	15.38		1	7.69		0	0.00		1	7.69		1	7.69		13
		TOTAL				58	5.58		445	42.83		408	39.27		25	2.41		31	2.98		72	6.93		1039
	THIRD					7	28.00		5	20.00		0	0.00			Excluded		10	40.00		3	12.00		25
		TOTAL				65	6.26		450	43.31		408	39.27					41	3.95		75	7.22		1039
	FOURTH					21	51.22		9	21.95		9	21.95						Excluded		2	4.88		41
		TOTAL				86	8.28		459	44.18		417	40.13								77	7.41		1039
	FIFTH						Excluded		27	31.40		39	45.35								20	23.26		86
		TOTAL							486	46.78		456	43.89								97	9.34		1039
	SIXTH								42	43.30		55	56.70									Excluded		97
		TOTAL							528	50.82		511	49.18											1039
									Elected															
																								
Mackay East                                                    																								
	FIRST		3	0.62		10	2.07		206	42.56		202	41.74		5	1.03		9	1.86		49	10.12		484
	SECOND			Excluded		1	33.33		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL				11	2.27		207	42.77		202	41.74		6	1.24		9	1.86		49	10.12		484
	THIRD					0	0.00		3	50.00		1	16.67			Excluded		2	33.33		0	0.00		6
		TOTAL				11	2.27		210	43.39		203	41.94					11	2.27		49	10.12		484
	FOURTH					6	54.55		3	27.27		2	18.18						Excluded		0	0.00		11
		TOTAL				17	3.51		213	44.01		205	42.36								49	10.12		484
	FIFTH						Excluded		9	52.94		5	29.41								3	17.65		17
		TOTAL							222	45.87		210	43.39								52	10.74		484
	SIXTH								22	42.31		30	57.69									Excluded		52
		TOTAL							244	50.41		240	49.59											484
									Elected															
																								
Mackay Hospital                                                																								
	FIRST		9	1.79		12	2.39		249	49.60		184	36.65		7	1.39		13	2.59		28	5.58		502
	SECOND			Excluded		4	44.44		2	22.22		0	0.00		0	0.00		1	11.11		2	22.22		9
		TOTAL				16	3.19		251	50.00		184	36.65		7	1.39		14	2.79		30	5.98		502
	THIRD					2	28.57		2	28.57		2	28.57			Excluded		0	0.00		1	14.29		7
		TOTAL				18	3.59		253	50.40		186	37.05					14	2.79		31	6.18		502
	FOURTH					3	21.43		3	21.43		6	42.86						Excluded		2	14.29		14
		TOTAL				21	4.18		256	51.00		192	38.25								33	6.57		502
	FIFTH						Excluded		7	33.33		9	42.86								5	23.81		21
		TOTAL							263	52.39		201	40.04								38	7.57		502
	SIXTH								23	60.53		15	39.47									Excluded		38
		TOTAL							286	56.97		216	43.03											502
									Elected															
																								
Mackay Mater Hospital                                          																								
	FIRST		3	0.58		11	2.11		287	55.09		169	32.44		4	0.77		20	3.84		27	5.18		521
	SECOND			Excluded		1	33.33		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL				12	2.30		288	55.28		170	32.63		4	0.77		20	3.84		27	5.18		521
	THIRD					1	25.00		1	25.00		0	0.00			Excluded		0	0.00		2	50.00		4
		TOTAL				13	2.50		289	55.47		170	32.63					20	3.84		29	5.57		521
	FOURTH					6	30.00		3	15.00		9	45.00						Excluded		2	10.00		20
		TOTAL				19	3.65		292	56.05		179	34.36								31	5.95		521
	FIFTH						Excluded		4	21.05		11	57.89								4	21.05		19
		TOTAL							296	56.81		190	36.47								35	6.72		521
	SIXTH								24	68.57		11	31.43									Excluded		35
		TOTAL							320	61.42		201	38.58											521
									Elected															
																								
Mackay South                                                   																								
	FIRST		45	1.71		72	2.74		1161	44.18		1069	40.68		29	1.10		73	2.78		179	6.81		2628
	SECOND			Excluded		19	42.22		8	17.78		6	13.33		2	4.44		4	8.89		6	13.33		45
		TOTAL				91	3.46		1169	44.48		1075	40.91		31	1.18		77	2.93		185	7.04		2628
	THIRD					6	19.35		5	16.13		8	25.81			Excluded		4	12.90		8	25.81		31
		TOTAL				97	3.69		1174	44.67		1083	41.21					81	3.08		193	7.34		2628
	FOURTH					30	37.04		18	22.22		22	27.16						Excluded		11	13.58		81
		TOTAL				127	4.83		1192	45.36		1105	42.05								204	7.76		2628
	FIFTH						Excluded		45	35.43		58	45.67								24	18.90		127
		TOTAL							1237	47.07		1163	44.25								228	8.68		2628
	SIXTH								90	39.47		138	60.53									Excluded		228
		TOTAL							1327	50.49		1301	49.51											2628
									Elected															
																								
Mackay West                                                    																								
	FIRST		15	0.74		52	2.58		1000	49.63		739	36.67		30	1.49		63	3.13		116	5.76		2015
	SECOND			Excluded		9	60.00		4	26.67		1	6.67		0	0.00		0	0.00		1	6.67		15
		TOTAL				61	3.03		1004	49.83		740	36.72		30	1.49		63	3.13		117	5.81		2015
	THIRD					5	16.67		6	20.00		6	20.00			Excluded		11	36.67		2	6.67		30
		TOTAL				66	3.28		1010	50.12		746	37.02					74	3.67		119	5.91		2015
	FOURTH					28	37.84		20	27.03		15	20.27						Excluded		11	14.86		74
		TOTAL				94	4.67		1030	51.12		761	37.77								130	6.45		2015
	FIFTH						Excluded		38	40.43		38	40.43								18	19.15		94
		TOTAL							1068	53.00		799	39.65								148	7.34		2015
	SIXTH								63	42.57		85	57.43									Excluded		148
		TOTAL							1131	56.13		884	43.87											2015
									Elected															
																								
Marian                                                         																								
	FIRST		10	1.31		4	0.52		435	56.86		233	30.46		4	0.52		16	2.09		63	8.24		765
	SECOND			Excluded		5	50.00		1	10.00		1	10.00		1	10.00		0	0.00		2	20.00		10
		TOTAL				9	1.18		436	56.99		234	30.59		5	0.65		16	2.09		65	8.50		765
	THIRD					1	20.00		0	0.00		0	0.00			Excluded		3	60.00		1	20.00		5
		TOTAL				10	1.31		436	56.99		234	30.59					19	2.48		66	8.63		765
	FOURTH					4	21.05		5	26.32		6	31.58						Excluded		4	21.05		19
		TOTAL				14	1.83		441	57.65		240	31.37								70	9.15		765
	FIFTH						Excluded		6	42.86		7	50.00								1	7.14		14
		TOTAL							447	58.43		247	32.29								71	9.28		765
	SIXTH								38	53.52		33	46.48									Excluded		71
		TOTAL							485	63.40		280	36.60											765
									Elected															
																								
Merinda                                                        																								
	FIRST		0	0.00		7	1.53		204	44.54		173	37.77		4	0.87		9	1.97		61	13.32		458
	SECOND			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				7	1.53		204	44.54		173	37.77		4	0.87		9	1.97		61	13.32		458
	THIRD					1	25.00		0	0.00		1	25.00			Excluded		1	25.00		1	25.00		4
		TOTAL				8	1.75		204	44.54		174	37.99					10	2.18		62	13.54		458
	FOURTH					5	50.00		4	40.00		1	10.00						Excluded		0	0.00		10
		TOTAL				13	2.84		208	45.41		175	38.21								62	13.54		458
	FIFTH						Excluded		4	30.77		6	46.15								3	23.08		13
		TOTAL							212	46.29		181	39.52								65	14.19		458
	SIXTH								44	67.69		21	32.31									Excluded		65
		TOTAL							256	55.90		202	44.10											458
									Elected															
																								
Millaroo                                                       																								
	FIRST		1	0.92		0	0.00		90	82.57		9	8.26		1	0.92		0	0.00		8	7.34		109
	SECOND			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				0	0.00		91	83.49		9	8.26		1	0.92		0	0.00		8	7.34		109
	THIRD					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1
		TOTAL				0	0.00		91	83.49		9	8.26					0	0.00		9	8.26		109
	FOURTH					0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0
		TOTAL				0	0.00		91	83.49		9	8.26								9	8.26		109
	FIFTH						Excluded		0	0.00		0	0.00								0	0.00		0
		TOTAL							91	83.49		9	8.26								9	8.26		109
	SIXTH								7	77.78		2	22.22									Excluded		9
		TOTAL							98	89.91		11	10.09											109
									Elected															
																								
Mirani                                                         																								
	FIRST		6	0.75		12	1.50		444	55.64		221	27.69		7	0.88		23	2.88		85	10.65		798
	SECOND			Excluded		4	66.67		0	0.00		1	16.67		0	0.00		0	0.00		1	16.67		6
		TOTAL				16	2.01		444	55.64		222	27.82		7	0.88		23	2.88		86	10.78		798
	THIRD					1	14.29		1	14.29		1	14.29			Excluded		3	42.86		1	14.29		7
		TOTAL				17	2.13		445	55.76		223	27.94					26	3.26		87	10.90		798
	FOURTH					9	34.62		5	19.23		5	19.23						Excluded		7	26.92		26
		TOTAL				26	3.26		450	56.39		228	28.57								94	11.78		798
	FIFTH						Excluded		13	50.00		6	23.08								7	26.92		26
		TOTAL							463	58.02		234	29.32								101	12.66		798
	SIXTH								44	43.56		57	56.44									Excluded		101
		TOTAL							507	63.53		291	36.47											798
									Elected															
																								
Mount Julian                                                   																								
	FIRST		0	0.00		2	0.79		158	62.45		71	28.06		1	0.40		5	1.98		16	6.32		253
	SECOND			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				2	0.79		158	62.45		71	28.06		1	0.40		5	1.98		16	6.32		253
	THIRD					1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL				3	1.19		158	62.45		71	28.06					5	1.98		16	6.32		253
	FOURTH					2	40.00		1	20.00		1	20.00						Excluded		1	20.00		5
		TOTAL				5	1.98		159	62.85		72	28.46								17	6.72		253
	FIFTH						Excluded		3	60.00		2	40.00								0	0.00		5
		TOTAL							162	64.03		74	29.25								17	6.72		253
	SIXTH								9	52.94		8	47.06									Excluded		17
		TOTAL							171	67.59		82	32.41											253
									Elected															
																								
Mount Ossa                                                     																								
	FIRST		2	1.12		2	1.12		128	71.91		28	15.73		0	0.00		3	1.69		15	8.43		178
	SECOND			Excluded		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				3	1.69		128	71.91		29	16.29		0	0.00		3	1.69		15	8.43		178
	THIRD					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL				3	1.69		128	71.91		29	16.29					3	1.69		15	8.43		178
	FOURTH					3	100.00		0	0.00		0	0.00						Excluded		0	0.00		3
		TOTAL				6	3.37		128	71.91		29	16.29								15	8.43		178
	FIFTH						Excluded		3	50.00		3	50.00								0	0.00		6
		TOTAL							131	73.60		32	17.98								15	8.43		178
	SIXTH								7	46.67		8	53.33									Excluded		15
		TOTAL							138	77.53		40	22.47											178
									Elected															
																								
Nebo Road                                                      																								
	FIRST		11	1.07		22	2.13		586	56.78		316	30.62		12	1.16		27	2.62		58	5.62		1032
	SECOND			Excluded		4	36.36		0	0.00		3	27.27		2	18.18		1	9.09		1	9.09		11
		TOTAL				26	2.52		586	56.78		319	30.91		14	1.36		28	2.71		59	5.72		1032
	THIRD					2	14.29		3	21.43		4	28.57			Excluded		2	14.29		3	21.43		14
		TOTAL				28	2.71		589	57.07		323	31.30					30	2.91		62	6.01		1032
	FOURTH					9	30.00		9	30.00		9	30.00						Excluded		3	10.00		30
		TOTAL				37	3.59		598	57.95		332	32.17								65	6.30		1032
	FIFTH						Excluded		11	29.73		19	51.35								7	18.92		37
		TOTAL							609	59.01		351	34.01								72	6.98		1032
	SIXTH								37	51.39		35	48.61									Excluded		72
		TOTAL							646	62.60		386	37.40											1032
									Elected															
																								
North Eton                                                     																								
	FIRST		0	0.00		1	0.65		103	66.88		36	23.38		1	0.65		3	1.95		10	6.49		154
	SECOND			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				1	0.65		103	66.88		36	23.38		1	0.65		3	1.95		10	6.49		154
	THIRD					0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL				1	0.65		104	67.53		36	23.38					3	1.95		10	6.49		154
	FOURTH					1	33.33		0	0.00		2	66.67						Excluded		0	0.00		3
		TOTAL				2	1.30		104	67.53		38	24.68								10	6.49		154
	FIFTH						Excluded		0	0.00		1	50.00								1	50.00		2
		TOTAL							104	67.53		39	25.32								11	7.14		154
	SIXTH								7	63.64		4	36.36									Excluded		11
		TOTAL							111	72.08		43	27.92											154
									Elected															
																								
North Mackay                                                   																								
	FIRST		5	0.66		16	2.11		330	43.48		305	40.18		13	1.71		20	2.64		70	9.22		759
	SECOND			Excluded		2	40.00		0	0.00		2	40.00		0	0.00		1	20.00		0	0.00		5
		TOTAL				18	2.37		330	43.48		307	40.45		13	1.71		21	2.77		70	9.22		759
	THIRD					2	15.38		3	23.08		3	23.08			Excluded		4	30.77		1	7.69		13
		TOTAL				20	2.64		333	43.87		310	40.84					25	3.29		71	9.35		759
	FOURTH					9	36.00		5	20.00		7	28.00						Excluded		4	16.00		25
		TOTAL				29	3.82		338	44.53		317	41.77								75	9.88		759
	FIFTH						Excluded		9	31.03		14	48.28								6	20.69		29
		TOTAL							347	45.72		331	43.61								81	10.67		759
	SIXTH								33	40.74		48	59.26									Excluded		81
		TOTAL							380	50.07		379	49.93											759
									Elected															
																								
Oakenden                                                       																								
	FIRST		0	0.00		3	3.53		54	63.53		16	18.82		0	0.00		5	5.88		7	8.24		85
	SECOND			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				3	3.53		54	63.53		16	18.82		0	0.00		5	5.88		7	8.24		85
	THIRD					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL				3	3.53		54	63.53		16	18.82					5	5.88		7	8.24		85
	FOURTH					1	20.00		0	0.00		1	20.00						Excluded		3	60.00		5
		TOTAL				4	4.71		54	63.53		17	20.00								10	11.76		85
	FIFTH						Excluded		4	100.00		0	0.00								0	0.00		4
		TOTAL							58	68.24		17	20.00								10	11.76		85
	SIXTH								3	30.00		7	70.00									Excluded		10
		TOTAL							61	71.76		24	28.24											85
									Elected															
																								
Osborne                                                        																								
	FIRST		1	0.47		1	0.47		168	79.25		15	7.08		1	0.47		3	1.42		23	10.85		212
	SECOND			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				1	0.47		169	79.72		15	7.08		1	0.47		3	1.42		23	10.85		212
	THIRD					1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL				2	0.94		169	79.72		15	7.08					3	1.42		23	10.85		212
	FOURTH					1	33.33		1	33.33		1	33.33						Excluded		0	0.00		3
		TOTAL				3	1.42		170	80.19		16	7.55								23	10.85		212
	FIFTH						Excluded		2	66.67		1	33.33								0	0.00		3
		TOTAL							172	81.13		17	8.02								23	10.85		212
	SIXTH								13	56.52		10	43.48									Excluded		23
		TOTAL							185	87.26		27	12.74											212
									Elected															
																								
Parkside                                                       																								
	FIRST		7	1.41		12	2.42		257	51.92		160	32.32		8	1.62		7	1.41		44	8.89		495
	SECOND			Excluded		7	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7
		TOTAL				19	3.84		257	51.92		160	32.32		8	1.62		7	1.41		44	8.89		495
	THIRD					0	0.00		4	50.00		0	0.00			Excluded		1	12.50		3	37.50		8
		TOTAL				19	3.84		261	52.73		160	32.32					8	1.62		47	9.49		495
	FOURTH					4	50.00		1	12.50		2	25.00						Excluded		1	12.50		8
		TOTAL				23	4.65		262	52.93		162	32.73								48	9.70		495
	FIFTH						Excluded		14	60.87		6	26.09								3	13.04		23
		TOTAL							276	55.76		168	33.94								51	10.30		495
	SIXTH								27	52.94		24	47.06									Excluded		51
		TOTAL							303	61.21		192	38.79											495
									Elected															
																								
Pioneer                                                        																								
	FIRST		9	0.64		28	2.00		668	47.65		543	38.73		28	2.00		38	2.71		88	6.28		1402
	SECOND			Excluded		5	55.56		1	11.11		1	11.11		2	22.22		0	0.00		0	0.00		9
		TOTAL				33	2.35		669	47.72		544	38.80		30	2.14		38	2.71		88	6.28		1402
	THIRD					4	13.33		8	26.67		7	23.33			Excluded		4	13.33		7	23.33		30
		TOTAL				37	2.64		677	48.29		551	39.30					42	3.00		95	6.78		1402
	FOURTH					12	28.57		9	21.43		15	35.71						Excluded		6	14.29		42
		TOTAL				49	3.50		686	48.93		566	40.37								101	7.20		1402
	FIFTH						Excluded		20	40.82		22	44.90								7	14.29		49
		TOTAL							706	50.36		588	41.94								108	7.70		1402
	SIXTH								58	53.70		50	46.30									Excluded		108
		TOTAL							764	54.49		638	45.51											1402
									Elected															
																								
Planlands                                                      																								
	FIRST		5	0.61		8	0.98		432	52.68		290	35.37		18	2.20		15	1.83		52	6.34		820
	SECOND			Excluded		4	80.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		5
		TOTAL				12	1.46		433	52.80		290	35.37		18	2.20		15	1.83		52	6.34		820
	THIRD					3	16.67		2	11.11		2	11.11			Excluded		7	38.89		4	22.22		18
		TOTAL				15	1.83		435	53.05		292	35.61					22	2.68		56	6.83		820
	FOURTH					5	22.73		6	27.27		5	22.73						Excluded		6	27.27		22
