House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Griffith																										
					ROOKE			MCMAHON			WILSON			VASTA			RENDELL			GRAHAM			RUDD			
		TOTAL								61	4.34		554	39.43		76	5.41					714	50.82		1405	
	FIFTH										Excluded		8	13.11		32	52.46					21	34.43		61	
		TOTAL											562	40.00		108	7.69					735	52.31		1405	
	SIXTH												26	24.07			Excluded					82	75.93		108	
		TOTAL											588	41.85								817	58.15		1405	
																						Elected				
																										
Regina Caeli                                                   																										
	FIRST			1	0.19		4	0.75		13	2.44		249	46.80		22	4.14		15	2.82		228	42.86		532	
	SECOND				Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					5	0.94		13	2.44		249	46.80		22	4.14		15	2.82		228	42.86		532	
	THIRD						2	13.33		1	6.67		11	73.33		0	0.00			Excluded		1	6.67		15	
		TOTAL					7	1.32		14	2.63		260	48.87		22	4.14					229	43.05		532	
	FOURTH							Excluded		1	14.29		6	85.71		0	0.00					0	0.00		7	
		TOTAL								15	2.82		266	50.00		22	4.14					229	43.05		532	
	FIFTH										Excluded		1	6.67		6	40.00					8	53.33		15	
		TOTAL											267	50.19		28	5.26					237	44.55		532	
	SIXTH												9	32.14			Excluded					19	67.86		28	
		TOTAL											276	51.88								256	48.12		532	
																						Elected				
																										
Seven Hills College                                            																										
	FIRST			7	0.48		20	1.38		46	3.17		479	32.99		82	5.65		33	2.27		785	54.06		1452	
	SECOND				Excluded		4	57.14		0	0.00		2	28.57		0	0.00		1	14.29		0	0.00		7	
		TOTAL					24	1.65		46	3.17		481	33.13		82	5.65		34	2.34		785	54.06		1452	
	THIRD						2	5.88		1	2.94		26	76.47		0	0.00			Excluded		5	14.71		34	
		TOTAL					26	1.79		47	3.24		507	34.92		82	5.65					790	54.41		1452	
	FOURTH							Excluded		6	23.08		12	46.15		1	3.85					7	26.92		26	
		TOTAL								53	3.65		519	35.74		83	5.72					797	54.89		1452	
	FIFTH										Excluded		9	16.98		25	47.17					19	35.85		53	
		TOTAL											528	36.36		108	7.44					816	56.20		1452	
	SIXTH												29	26.85			Excluded					79	73.15		108	
		TOTAL											557	38.36								895	61.64		1452	
																						Elected				
																										
Seville Road                                                   																										
	FIRST			9	0.69		40	3.07		31	2.38		333	25.58		74	5.68		24	1.84		791	60.75		1302	
	SECOND				Excluded		4	44.44		0	0.00		0	0.00		2	22.22		2	22.22		1	11.11		9	
		TOTAL					44	3.38		31	2.38		333	25.58		76	5.84		26	2.00		792	60.83		1302	
	THIRD						2	7.69		2	7.69		16	61.54		3	11.54			Excluded		3	11.54		26	
		TOTAL					46	3.53		33	2.53		349	26.80		79	6.07					795	61.06		1302	
	FOURTH							Excluded		13	28.26		17	36.96		0	0.00					16	34.78		46	
		TOTAL								46	3.53		366	28.11		79	6.07					811	62.29		1302	
	FIFTH										Excluded		8	17.39		23	50.00					15	32.61		46	
		TOTAL											374	28.73		102	7.83					826	63.44		1302	
	SIXTH												34	33.33			Excluded					68	66.67		102	
		TOTAL											408	31.34								894	68.66		1302	
																						Elected				
																										
St James                                                       																										
	FIRST			8	0.67		23	1.92		48	4.02		446	37.32		70	5.86		30	2.51		570	47.70		1195	
	SECOND				Excluded		3	37.50		2	25.00		0	0.00		2	25.00		1	12.50		0	0.00		8	
		TOTAL					26	2.18		50	4.18		446	37.32		72	6.03		31	2.59		570	47.70		1195	
	THIRD						2	6.45		1	3.23		25	80.65		0	0.00			Excluded		3	9.68		31	
		TOTAL					28	2.34		51	4.27		471	39.41		72	6.03					573	47.95		1195	
	FOURTH							Excluded		9	32.14		9	32.14		3	10.71					7	25.00		28	
		TOTAL								60	5.02		480	40.17		75	6.28					580	48.54		1195	
	FIFTH										Excluded		11	18.33		28	46.67					21	35.00		60	
		TOTAL											491	41.09		103	8.62					601	50.29		1195	
	SIXTH												32	31.07			Excluded					71	68.93		103	
		TOTAL											523	43.77								672	56.23		1195	
																						Elected				
																										
Tingalpa                                                       																										
	FIRST			18	0.51		126	3.59		60	1.71		1064	30.30		116	3.30		51	1.45		2077	59.14		3512	
	SECOND				Excluded		9	50.00		3	16.67		1	5.56		1	5.56		0	0.00		4	22.22		18	
		TOTAL					135	3.84		63	1.79		1065	30.32		117	3.33		51	1.45		2081	59.25		3512	
	THIRD						2	3.92		2	3.92		38	74.51		2	3.92			Excluded		7	13.73		51	
		TOTAL					137	3.90		65	1.85		1103	31.41		119	3.39					2088	59.45		3512	
	FOURTH							Excluded		65	47.45		38	27.74		10	7.30					24	17.52		137	
		TOTAL								130	3.70		1141	32.49		129	3.67					2112	60.14		3512	
	FIFTH										Excluded		31	23.85		69	53.08					30	23.08		130	
		TOTAL											1172	33.37		198	5.64					2142	60.99		3512	
	SIXTH												98	49.49			Excluded					100	50.51		198	
		TOTAL											1270	36.16								2242	63.84		3512	
																						Elected				
																										
Wondall Heights (Griffith)                                     																										
	FIRST			4	1.02		15	3.81		4	1.02		102	25.89		21	5.33		6	1.52		242	61.42		394	
	SECOND				Excluded		0	0.00		4	100.00		0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL					15	3.81		8	2.03		102	25.89		21	5.33		6	1.52		242	61.42		394	
	THIRD						0	0.00		1	16.67		1	16.67		2	33.33			Excluded		2	33.33		6	
		TOTAL					15	3.81		9	2.28		103	26.14		23	5.84					244	61.93		394	
	FOURTH							Excluded		6	40.00		2	13.33		2	13.33					5	33.33		15	
		TOTAL								15	3.81		105	26.65		25	6.35					249	63.20		394	
	FIFTH										Excluded		5	33.33		8	53.33					2	13.33		15	
		TOTAL											110	27.92		33	8.38					251	63.71		394	
	SIXTH												13	39.39			Excluded					20	60.61		33	
		TOTAL											123	31.22								271	68.78		394	
																						Elected				
																										
Special Hospital Team 1                                        																										
	FIRST			7	1.71		16	3.90		2	0.49		190	46.34		3	0.73		9	2.20		183	44.63		410	
	SECOND				Excluded		4	57.14		0	0.00		2	28.57		0	0.00		1	14.29		0	0.00		7	
		TOTAL					20	4.88		2	0.49		192	46.83		3	0.73		10	2.44		183	44.63		410	
	THIRD						0	0.00		0	0.00		8	80.00		2	20.00			Excluded		0	0.00		10	
		TOTAL					20	4.88		2	0.49		200	48.78		5	1.22					183	44.63		410	
	FOURTH							Excluded		9	45.00		8	40.00		0	0.00					3	15.00		20	
		TOTAL								11	2.68		208	50.73		5	1.22					186	45.37		410	
	FIFTH										Excluded		7	63.64		4	36.36					0	0.00		11	
		TOTAL											215	52.44		9	2.20					186	45.37		410	
	SIXTH												4	44.44			Excluded					5	55.56		9	
		TOTAL											219	53.41								191	46.59		410	
																						Elected				
																										
ABSENT																										
	FIRST			100	1.70		216	3.66		332	5.63		2231	37.85		404	6.85		143	2.43		2469	41.88		5895	
	SECOND				Excluded		46	46.00		16	16.00		14	14.00		11	11.00		3	3.00		10	10.00		100	
		TOTAL					262	4.44		348	5.90		2245	38.08		415	7.04		146	2.48		2479	42.05		5895	
	THIRD						11	7.53		10	6.85		93	63.70		16	10.96			Excluded		16	10.96		146	
		TOTAL					273	4.63		358	6.07		2338	39.66		431	7.31					2495	42.32		5895	
	FOURTH							Excluded		108	39.56		92	33.70		21	7.69					52	19.05		273	
		TOTAL								466	7.91		2430	41.22		452	7.67					2547	43.21		5895	
	FIFTH										Excluded		121	25.97		213	45.71					132	28.33		466	
		TOTAL											2551	43.27		665	11.28					2679	45.45		5895	
	SIXTH												241	36.24			Excluded					424	63.76		665	
		TOTAL											2792	47.36								3103	52.64		5895	
																						Elected				
																										
POSTAL																										
	FIRST			20	0.41		174	3.54		76	1.55		1936	39.38		103	2.10		101	2.05		2506	50.98		4916	
	SECOND				Excluded		5	25.00		5	25.00		2	10.00		4	20.00		1	5.00		3	15.00		20	
		TOTAL					179	3.64		81	1.65		1938	39.42		107	2.18		102	2.07		2509	51.04		4916	
	THIRD						7	6.86		1	0.98		80	78.43		6	5.88			Excluded		8	7.84		102	
		TOTAL					186	3.78		82	1.67		2018	41.05		113	2.30					2517	51.20		4916	
	FOURTH							Excluded		43	23.12		71	38.17		16	8.60					56	30.11		186	
		TOTAL								125	2.54		2089	42.49		129	2.62					2573	52.34		4916	
	FIFTH										Excluded		29	23.20		58	46.40					38	30.40		125	
		TOTAL											2118	43.08		187	3.80					2611	53.11		4916	
	SIXTH												84	44.92			Excluded					103	55.08		187	
		TOTAL											2202	44.79								2714	55.21		4916	
																						Elected				
																										
PRE POLL																										
	FIRST			30	1.05		80	2.81		106	3.72		1218	42.74		179	6.28		65	2.28		1172	41.12		2850	
	SECOND				Excluded		9	30.00		9	30.00		1	3.33		4	13.33		1	3.33		6	20.00		30	
		TOTAL					89	3.12		115	4.04		1219	42.77		183	6.42		66	2.32		1178	41.33		2850	
	THIRD						0	0.00		4	6.06		54	81.82		2	3.03			Excluded		6	9.09		66	
		TOTAL					89	3.12		119	4.18		1273	44.67		185	6.49					1184	41.54		2850	
	FOURTH							Excluded		32	35.96		34	38.20		7	7.87					16	17.98		89	
		TOTAL								151	5.30		1307	45.86		192	6.74					1200	42.11		2850	
	FIFTH										Excluded		35	23.18		74	49.01					42	27.81		151	
		TOTAL											1342	47.09		266	9.33					1242	43.58		2850	
	SIXTH												99	37.22			Excluded					167	62.78		266	
		TOTAL											1441	50.56								1409	49.44		2850	
																						Elected				
																										
PROVISIONAL																										
	FIRST			5	1.06		15	3.18		35	7.42		162	34.32		34	7.20		6	1.27		215	45.55		472	
	SECOND				Excluded		1	20.00		1	20.00		0	0.00		1	20.00		1	20.00		1	20.00		5	
		TOTAL					16	3.39		36	7.63		162	34.32		35	7.42		7	1.48		216	45.76		472	
	THIRD						2	28.57		0	0.00		5	71.43		0	0.00			Excluded		0	0.00		7	
		TOTAL					18	3.81		36	7.63		167	35.38		35	7.42					216	45.76		472	
	FOURTH							Excluded		10	55.56		4	22.22		2	11.11					2	11.11		18	
		TOTAL								46	9.75		171	36.23		37	7.84					218	46.19		472	
	FIFTH										Excluded		8	17.39		19	41.30					19	41.30		46	
		TOTAL											179	37.92		56	11.86					237	50.21		472	
	SIXTH												20	35.71			Excluded					36	64.29		56	
		TOTAL											199	42.16								273	57.84		472	
																						Elected				
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
