House of Representatives - 2001 Election: Queensland																													
Distribution of Preferences 																													
By Polling Place																													
Blair																													
						KYSON			THOMPSON			MCKENZIE			TURNER			RYAN			WENDT			JOHNSTON			COSGROVE		
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	25.00		2	50.00		1	25.00			Excluded		4
			TOTAL		32	3.27		413	42.19		34	3.47		151	15.42		15	1.53		327	33.40		7	0.72					979
		THIRD			2	13.33		1	6.67		0	0.00		2	13.33			Excluded		5	33.33		5	33.33					15
			TOTAL		34	3.47		414	42.29		34	3.47		153	15.63					332	33.91		12	1.23					979
		FOURTH			12	35.29		8	23.53			Excluded		6	17.65					5	14.71		3	8.82					34
			TOTAL		46	4.70		422	43.11					159	16.24					337	34.42		15	1.53					979
		FIFTH			4	26.67		2	13.33					2	13.33					7	46.67			Excluded					15
			TOTAL		50	5.11		424	43.31					161	16.45					344	35.14								979
		SIXTH				Excluded		18	36.00					7	14.00					25	50.00								50
			TOTAL					442	45.15					168	17.16					369	37.69								979
		SEVENTH						67	39.88						Excluded					101	60.12								168
			TOTAL					509	51.99											470	48.01								979
								Elected																					
																													
	Helidon                                                        																												
		FIRST			25	3.79		306	46.43		13	1.97		118	17.91		13	1.97		168	25.49		13	1.97		3	0.46		659
		SECOND			0	0.00		0	0.00		0	0.00		1	33.33		1	33.33		1	33.33		0	0.00			Excluded		3
			TOTAL		25	3.79		306	46.43		13	1.97		119	18.06		14	2.12		169	25.64		13	1.97					659
		THIRD			0	0.00		2	14.29		0	0.00		2	14.29			Excluded		1	7.14		9	64.29					14
			TOTAL		25	3.79		308	46.74		13	1.97		121	18.36					170	25.80		22	3.34					659
		FOURTH			4	30.77		4	30.77			Excluded		0	0.00					4	30.77		1	7.69					13
			TOTAL		29	4.40		312	47.34					121	18.36					174	26.40		23	3.49					659
		FIFTH			6	26.09		6	26.09					7	30.43					4	17.39			Excluded					23
			TOTAL		35	5.31		318	48.25					128	19.42					178	27.01								659
		SIXTH				Excluded		11	31.43					4	11.43					20	57.14								35
			TOTAL					329	49.92					132	20.03					198	30.05								659
		SEVENTH						73	55.30						Excluded					59	44.70								132
			TOTAL					402	61.00											257	39.00								659
								Elected																					
																													
	Inverlaw                                                       																												
		FIRST			3	1.44		142	68.27		1	0.48		28	13.46		4	1.92		19	9.13		11	5.29		0	0.00		208
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		3	1.44		142	68.27		1	0.48		28	13.46		4	1.92		19	9.13		11	5.29					208
		THIRD			0	0.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		3	75.00					4
			TOTAL		3	1.44		142	68.27		1	0.48		29	13.94					19	9.13		14	6.73					208
		FOURTH			0	0.00		0	0.00			Excluded		0	0.00					1	100.00		0	0.00					1
			TOTAL		3	1.44		142	68.27					29	13.94					20	9.62		14	6.73					208
		FIFTH			1	7.14		8	57.14					5	35.71					0	0.00			Excluded					14
			TOTAL		4	1.92		150	72.12					34	16.35					20	9.62								208
		SIXTH				Excluded		1	25.00					1	25.00					2	50.00								4
			TOTAL					151	72.60					35	16.83					22	10.58								208
		SEVENTH						20	57.14						Excluded					15	42.86								35
			TOTAL					171	82.21											37	17.79								208
								Elected																					
																													
	Jimna                                                          																												
		FIRST			1	1.43		30	42.86		2	2.86		17	24.29		2	2.86		15	21.43		1	1.43		2	2.86		70
		SECOND			0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		2
			TOTAL		1	1.43		31	44.29		2	2.86		18	25.71		2	2.86		15	21.43		1	1.43					70
		THIRD			1	50.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00					2
			TOTAL		2	2.86		31	44.29		2	2.86		19	27.14					15	21.43		1	1.43					70
		FOURTH			0	0.00		2	100.00			Excluded		0	0.00					0	0.00		0	0.00					2
			TOTAL		2	2.86		33	47.14					19	27.14					15	21.43		1	1.43					70
		FIFTH			0	0.00		0	0.00					1	100.00					0	0.00			Excluded					1
			TOTAL		2	2.86		33	47.14					20	28.57					15	21.43								70
		SIXTH				Excluded		1	50.00					0	0.00					1	50.00								2
			TOTAL					34	48.57					20	28.57					16	22.86								70
		SEVENTH						11	55.00						Excluded					9	45.00								20
			TOTAL					45	64.29											25	35.71								70
								Elected																					
																													
	Karalee                                                        																												
		FIRST			70	3.13		1130	50.47		135	6.03		224	10.00		19	0.85		604	26.98		53	2.37		4	0.18		2239
		SECOND			1	25.00		0	0.00		0	0.00		0	0.00		1	25.00		1	25.00		1	25.00			Excluded		4
			TOTAL		71	3.17		1130	50.47		135	6.03		224	10.00		20	0.89		605	27.02		54	2.41					2239
		THIRD			1	5.00		2	10.00		3	15.00		5	25.00			Excluded		2	10.00		7	35.00					20
			TOTAL		72	3.22		1132	50.56		138	6.16		229	10.23					607	27.11		61	2.72					2239
		FOURTH			75	54.35		18	13.04			Excluded		6	4.35					31	22.46		8	5.80					138
			TOTAL		147	6.57		1150	51.36					235	10.50					638	28.49		69	3.08					2239
		FIFTH			15	21.74		12	17.39					28	40.58					14	20.29			Excluded					69
			TOTAL		162	7.24		1162	51.90					263	11.75					652	29.12								2239
		SIXTH				Excluded		94	58.02					16	9.88					52	32.10								162
			TOTAL					1256	56.10					279	12.46					704	31.44								2239
		SEVENTH						130	46.59						Excluded					149	53.41								279
			TOTAL					1386	61.90											853	38.10								2239
								Elected																					
																													
	Karana Downs                                                   																												
		FIRST			106	4.13		1469	57.25		164	6.39		155	6.04		20	0.78		586	22.84		64	2.49		2	0.08		2566
		SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		2
			TOTAL		107	4.17		1469	57.25		164	6.39		155	6.04		20	0.78		586	22.84		65	2.53					2566
		THIRD			2	10.00		3	15.00		1	5.00		0	0.00			Excluded		2	10.00		12	60.00					20
			TOTAL		109	4.25		1472	57.37		165	6.43		155	6.04					588	22.92		77	3.00					2566
		FOURTH			86	52.12		26	15.76			Excluded		3	1.82					35	21.21		15	9.09					165
			TOTAL		195	7.60		1498	58.38					158	6.16					623	24.28		92	3.59					2566
		FIFTH			26	28.26		23	25.00					33	35.87					10	10.87			Excluded					92
			TOTAL		221	8.61		1521	59.28					191	7.44					633	24.67								2566
		SIXTH				Excluded		92	41.63					25	11.31					104	47.06								221
			TOTAL					1613	62.86					216	8.42					737	28.72								2566
		SEVENTH						97	44.91						Excluded					119	55.09								216
			TOTAL					1710	66.64											856	33.36								2566
								Elected																					
																													
	Kentville                                                      																												
		FIRST			5	2.50		77	38.50		7	3.50		33	16.50		5	2.50		68	34.00		5	2.50		0	0.00		200
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		5	2.50		77	38.50		7	3.50		33	16.50		5	2.50		68	34.00		5	2.50					200
		THIRD			0	0.00		0	0.00		0	0.00		1	20.00			Excluded		2	40.00		2	40.00					5
			TOTAL		5	2.50		77	38.50		7	3.50		34	17.00					70	35.00		7	3.50					200
		FOURTH			0	0.00		0	0.00			Excluded		2	28.57					1	14.29		4	57.14					7
			TOTAL		5	2.50		77	38.50					36	18.00					71	35.50		11	5.50					200
		FIFTH			6	54.55		2	18.18					1	9.09					2	18.18			Excluded					11
			TOTAL		11	5.50		79	39.50					37	18.50					73	36.50								200
		SIXTH				Excluded		5	45.45					4	36.36					2	18.18								11
			TOTAL					84	42.00					41	20.50					75	37.50								200
		SEVENTH						16	39.02						Excluded					25	60.98								41
			TOTAL					100	50.00											100	50.00								200
								Elected																					
																													
	Kilcoy                                                         																												
		FIRST			22	1.64		642	47.73		32	2.38		241	17.92		10	0.74		343	25.50		53	3.94		2	0.15		1345
		SECOND			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		2
			TOTAL		23	1.71		642	47.73		32	2.38		241	17.92		11	0.82		343	25.50		53	3.94					1345
		THIRD			1	9.09		1	9.09		0	0.00		4	36.36			Excluded		3	27.27		2	18.18					11
			TOTAL		24	1.78		643	47.81		32	2.38		245	18.22					346	25.72		55	4.09					1345
		FOURTH			14	43.75		5	15.63			Excluded		3	9.38					6	18.75		4	12.50					32
			TOTAL		38	2.83		648	48.18					248	18.44					352	26.17		59	4.39					1345
		FIFTH			8	13.56		10	16.95					26	44.07					15	25.42			Excluded					59
			TOTAL		46	3.42		658	48.92					274	20.37					367	27.29								1345
		SIXTH				Excluded		19	41.30					9	19.57					18	39.13								46
			TOTAL					677	50.33					283	21.04					385	28.62								1345
		SEVENTH						106	37.46						Excluded					177	62.54								283
			TOTAL					783	58.22											562	41.78								1345
								Elected																					
																													
	Kingaroy                                                       																												
		FIRST			68	2.48		1470	53.65		79	2.88		365	13.32		37	1.35		505	18.43		210	7.66		6	0.22		2740
		SECOND			1	16.67		0	0.00		1	16.67		0	0.00		0	0.00		0	0.00		4	66.67			Excluded		6
			TOTAL		69	2.52		1470	53.65		80	2.92		365	13.32		37	1.35		505	18.43		214	7.81					2740
		THIRD			4	10.81		1	2.70		3	8.11		7	18.92			Excluded		3	8.11		19	51.35					37
			TOTAL		73	2.66		1471	53.69		83	3.03		372	13.58					508	18.54		233	8.50					2740
		FOURTH			40	48.19		15	18.07			Excluded		6	7.23					13	15.66		9	10.84					83
			TOTAL		113	4.12		1486	54.23					378	13.80					521	19.01		242	8.83					2740
		FIFTH			29	11.98		57	23.55					119	49.17					37	15.29			Excluded					242
			TOTAL		142	5.18		1543	56.31					497	18.14					558	20.36								2740
		SIXTH				Excluded		67	47.18					24	16.90					51	35.92								142
			TOTAL					1610	58.76					521	19.01					609	22.23								2740
		SEVENTH						247	47.41						Excluded					274	52.59								521
			TOTAL					1857	67.77											883	32.23								2740
								Elected																					
																													
	Kumbia                                                         																												
		FIRST			9	2.24		228	56.86		5	1.25		68	16.96		5	1.25		53	13.22		31	7.73		2	0.50		401
		SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		2
			TOTAL		10	2.49		228	56.86		5	1.25		68	16.96		5	1.25		53	13.22		32	7.98					401
		THIRD			0	0.00		0	0.00		0	0.00		1	20.00			Excluded		0	0.00		4	80.00					5
			TOTAL		10	2.49		228	56.86		5	1.25		69	17.21					53	13.22		36	8.98					401
		FOURTH			2	40.00		0	0.00			Excluded		1	20.00					1	20.00		1	20.00					5
			TOTAL		12	2.99		228	56.86					70	17.46					54	13.47		37	9.23					401
		FIFTH			1	2.70		10	27.03					20	54.05					6	16.22			Excluded					37
			TOTAL		13	3.24		238	59.35					90	22.44					60	14.96								401
		SIXTH				Excluded		4	30.77					3	23.08					6	46.15								13
			TOTAL					242	60.35					93	23.19					66	16.46								401
		SEVENTH						48	51.61						Excluded					45	48.39								93
			TOTAL					290	72.32											111	27.68								401
								Elected																					
																													
	Laidley                                                        																												
		FIRST			50	2.30		997	45.84		45	2.07		366	16.83		88	4.05		575	26.44		46	2.11		8	0.37		2175
		SECOND			1	12.50		2	25.00		0	0.00		0	0.00		1	12.50		0	0.00		4	50.00			Excluded		8
			TOTAL		51	2.34		999	45.93		45	2.07		366	16.83		89	4.09		575	26.44		50	2.30					2175
		THIRD			7	7.87		14	15.73		2	2.25		19	21.35			Excluded		17	19.10		30	33.71					89
			TOTAL		58	2.67		1013	46.57		47	2.16		385	17.70					592	27.22		80	3.68					2175
		FOURTH			16	34.04		10	21.28			Excluded		5	10.64					6	12.77		10	21.28					47
			TOTAL		74	3.40		1023	47.03					390	17.93					598	27.49		90	4.14					2175
		FIFTH			19	21.11		8	8.89					44	48.89					19	21.11			Excluded					90
			TOTAL		93	4.28		1031	47.40					434	19.95					617	28.37								2175
		SIXTH				Excluded		44	47.31					21	22.58					28	30.11								93
			TOTAL					1075	49.43					455	20.92					645	29.66								2175
		SEVENTH						189	41.54						Excluded					266	58.46								455
			TOTAL					1264	58.11											911	41.89								2175
								Elected																					
																													
	Lake Clarendon                                                 																												
		FIRST			3	1.19		104	41.27		3	1.19		67	26.59		5	1.98		68	26.98		2	0.79		0	0.00		252
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		3	1.19		104	41.27		3	1.19		67	26.59		5	1.98		68	26.98		2	0.79					252
		THIRD			0	0.00		2	40.00		1	20.00		1	20.00			Excluded		0	0.00		1	20.00					5
			TOTAL		3	1.19		106	42.06		4	1.59		68	26.98					68	26.98		3	1.19					252
		FOURTH			0	0.00		1	25.00			Excluded		0	0.00					2	50.00		1	25.00					4
			TOTAL		3	1.19		107	42.46					68	26.98					70	27.78		4	1.59					252
		FIFTH			1	25.00		2	50.00					1	25.00					0	0.00			Excluded					4
			TOTAL		4	1.59		109	43.25					69	27.38					70	27.78								252
		SIXTH				Excluded		0	0.00					1	25.00					3	75.00								4
			TOTAL					109	43.25					70	27.78					73	28.97								252
		SEVENTH						31	44.29						Excluded					39	55.71								70
			TOTAL					140	55.56											112	44.44								252
								Elected																					
																													
	Lawes                                                          																												
		FIRST			1	1.79		34	60.71		5	8.93		3	5.36		1	1.79		8	14.29		3	5.36		1	1.79		56
		SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
			TOTAL		1	1.79		35	62.50		5	8.93		3	5.36		1	1.79		8	14.29		3	5.36					56
		THIRD			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1
			TOTAL		1	1.79		36	64.29		5	8.93		3	5.36					8	14.29		3	5.36					56
		FOURTH			2	40.00		1	20.00			Excluded		1	20.00					1	20.00		0	0.00					5
			TOTAL		3	5.36		37	66.07					4	7.14					9	16.07		3	5.36					56
		FIFTH			0	0.00		2	66.67					1	33.33					0	0.00			Excluded					3
			TOTAL		3	5.36		39	69.64					5	8.93					9	16.07								56
		SIXTH				Excluded		0	0.00					0	0.00					3	100.00								3
			TOTAL					39	69.64					5	8.93					12	21.43								56
		SEVENTH						1	20.00						Excluded					4	80.00								5
			TOTAL					40	71.43											16	28.57								56
								Elected																					
																													
	Leichhardt                                                     																												
		FIRST			24	2.38		316	31.38		59	5.86		139	13.80		8	0.79		441	43.79		16	1.59		4	0.40		1007
		SECOND			2	50.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00			Excluded		4
			TOTAL		26	2.58		317	31.48		59	5.86		139	13.80		8	0.79		441	43.79		17	1.69					1007
		THIRD			0	0.00		0	0.00		1	12.50		1	12.50			Excluded		1	12.50		5	62.50					8
			TOTAL		26	2.58		317	31.48		60	5.96		140	13.90					442	43.89		22	2.18					1007
		FOURTH			32	53.33		6	10.00			Excluded		9	15.00					12	20.00		1	1.67					60
			TOTAL		58	5.76		323	32.08					149	14.80					454	45.08		23	2.28					1007
		FIFTH			6	26.09		2	8.70					10	43.48					5	21.74			Excluded					23
			TOTAL		64	6.36		325	32.27					159	15.79					459	45.58								1007
		SIXTH				Excluded		30	46.88					10	15.63					24	37.50								64
			TOTAL					355	35.25					169	16.78					483	47.96								1007
		SEVENTH						74	43.79						Excluded					95	56.21								169
			TOTAL					429	42.60											578	57.40								1007
								Elected																					
																													
	Leichhardt School                                              																												
		FIRST			55	3.82		415	28.86		44	3.06		213	14.81		12	0.83		662	46.04		31	2.16		6	0.42		1438
		SECOND			0	0.00		0	0.00		0	0.00		1	16.67		2	33.33		1	16.67		2	33.33			Excluded		6
			TOTAL		55	3.82		415	28.86		44	3.06		214	14.88		14	0.97		663	46.11		33	2.29					1438
		THIRD			0	0.00		1	7.14		1	7.14		1	7.14			Excluded		4	28.57		7	50.00					14
			TOTAL		55	3.82		416	28.93		45	3.13		215	14.95					667	46.38		40	2.78					1438
		FOURTH			14	31.11		9	20.00			Excluded		6	13.33					12	26.67		4	8.89					45
			TOTAL		69	4.80		425	29.55					221	15.37					679	47.22		44	3.06					1438
		FIFTH			9	20.45		3	6.82					21	47.73					11	25.00			Excluded					44
			TOTAL		78	5.42		428	29.76					242	16.83					690	47.98								1438
		SIXTH				Excluded		33	42.31					21	26.92					24	30.77								78
			TOTAL					461	32.06					263	18.29					714	49.65								1438
		SEVENTH						108	41.06						Excluded					155	58.94								263
			TOTAL					569	39.57											869	60.43								1438
								Elected																					
																													
	Lowood                                                         																												
		FIRST			38	3.08		526	42.63		30	2.43		229	18.56		16	1.30		364	29.50		27	2.19		4	0.32		1234
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	25.00		0	0.00		3	75.00			Excluded		4
			TOTAL		38	3.08		526	42.63		30	2.43		229	18.56		17	1.38		364	29.50		30	2.43					1234
		THIRD			4	23.53		1	5.88		2	11.76		2	11.76			Excluded		0	0.00		8	47.06					17
			TOTAL		42	3.40		527	42.71		32	2.59		231	18.72					364	29.50		38	3.08					1234
		FOURTH			12	37.50		6	18.75			Excluded		4	12.50					7	21.88		3	9.38					32
			TOTAL		54	4.38		533	43.19					235	19.04					371	30.06		41	3.32					1234
		FIFTH			8	19.51		6	14.63					19	46.34					8	19.51			Excluded					41
			TOTAL		62	5.02		539	43.68					254	20.58					379	30.71								1234
		SIXTH				Excluded		25	40.32					4	6.45					33	53.23								62
			TOTAL					564	45.71					258	20.91					412	33.39								1234
		SEVENTH						114	44.19						Excluded					144	55.81								258
			TOTAL					678	54.94											556	45.06								1234
								Elected																					
																													
	Ma Ma Creek                                                    																												
		FIRST			9	4.41		126	61.76		1	0.49		34	16.67		3	1.47		26	12.75		5	2.45		0	0.00		204
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		9	4.41		126	61.76		1	0.49		34	16.67		3	1.47		26	12.75		5	2.45					204
		THIRD			0	0.00		1	33.33		0	0.00		1	33.33			Excluded		0	0.00		1	33.33					3
			TOTAL		9	4.41		127	62.25		1	0.49		35	17.16					26	12.75		6	2.94					204
		FOURTH			1	100.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00					1
			TOTAL		10	4.90		127	62.25					35	17.16					26	12.75		6	2.94					204
		FIFTH			0	0.00		1	16.67					3	50.00					2	33.33			Excluded					6
			TOTAL		10	4.90		128	62.75					38	18.63					28	13.73								204
		SIXTH				Excluded		4	40.00					0	0.00					6	60.00								10
			TOTAL					132	64.71					38	18.63					34	16.67								204
		SEVENTH						26	68.42						Excluded					12	31.58								38
			TOTAL					158	77.45											46	22.55								204
								Elected																					
																													
	Maidenwell                                                     																												
		FIRST			4	1.97		101	49.75		5	2.46		42	20.69		1	0.49		40	19.70		10	4.93		0	0.00		203
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		4	1.97		101	49.75		5	2.46		42	20.69		1	0.49		40	19.70		10	4.93					203
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					1
			TOTAL		4	1.97		101	49.75		5	2.46		42	20.69					41	20.20		10	4.93					203
		FOURTH			2	40.00		1	20.00			Excluded		0	0.00					1	20.00		1	20.00					5
			TOTAL		6	2.96		102	50.25					42	20.69					42	20.69		11	5.42					203
		FIFTH			0	0.00		0	0.00					10	90.91					1	9.09			Excluded					11
			TOTAL		6	2.96		102	50.25					52	25.62					43	21.18								203
		SIXTH				Excluded		1	16.67					1	16.67					4	66.67								6
			TOTAL					103	50.74					53	26.11					47	23.15								203
		SEVENTH						23	43.40						Excluded					30	56.60								53
			TOTAL					126	62.07											77	37.93								203
								Elected																					
																													
	Marburg                                                        																												
		FIRST			16	3.31		239	49.38		10	2.07		63	13.02		7	1.45		139	28.72		10	2.07		0	0.00		484
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		16	3.31		239	49.38		10	2.07		63	13.02		7	1.45		139	28.72		10	2.07					484
		THIRD			0	0.00		1	14.29		0	0.00		2	28.57			Excluded		2	28.57		2	28.57					7
			TOTAL		16	3.31		240	49.59		10	2.07		65	13.43					141	29.13		12	2.48					484
		FOURTH			2	20.00		1	10.00			Excluded		2	20.00					4	40.00		1	10.00					10
			TOTAL		18	3.72		241	49.79					67	13.84					145	29.96		13	2.69					484
		FIFTH			3	23.08		3	23.08					3	23.08					4	30.77			Excluded					13
			TOTAL		21	4.34		244	50.41					70	14.46					149	30.79								484
		SIXTH				Excluded		10	47.62					4	19.05					7	33.33								21
			TOTAL					254	52.48					74	15.29					156	32.23								484
		SEVENTH						45	60.81						Excluded					29	39.19								74
			TOTAL					299	61.78											185	38.22								484
								Elected																					
																													
	Memerambi                                                      																												
		FIRST			10	2.31		237	54.73		2	0.46		83	19.17		7	1.62		47	10.85		46	10.62		1	0.23		433
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
			TOTAL		10	2.31		237	54.73		2	0.46		83	19.17		7	1.62		47	10.85		47	10.85					433
		THIRD			2	28.57		1	14.29		1	14.29		0	0.00			Excluded		0	0.00		3	42.86					7
			TOTAL		12	2.77		238	54.97		3	0.69		83	19.17					47	10.85		50	11.55					433
		FOURTH			2	66.67		0	0.00			Excluded		0	0.00					1	33.33		0	0.00					3
			TOTAL		14	3.23		238	54.97					83	19.17					48	11.09		50	11.55					433
		FIFTH			5	10.00		8	16.00					33	66.00					4	8.00			Excluded					50
			TOTAL		19	4.39		246	56.81					116	26.79					52	12.01								433
		SIXTH				Excluded		7	36.84					6	31.58					6	31.58								19
			TOTAL					253	58.43					122	28.18					58	13.39								433
		SEVENTH						50	40.98						Excluded					72	59.02								122
			TOTAL					303	69.98											130	30.02								433
								Elected																					
																													
	Minden                                                         																												
		FIRST			27	4.49		242	40.27		19	3.16		102	16.97		1	0.17		191	31.78		19	3.16		0	0.00		601
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		27	4.49		242	40.27		19	3.16		102	16.97		1	0.17		191	31.78		19	3.16					601
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					1
			TOTAL		27	4.49		242	40.27		19	3.16		102	16.97					192	31.95		19	3.16					601
		FOURTH			5	26.32		6	31.58			Excluded		3	15.79					3	15.79		2	10.53					19
			TOTAL		32	5.32		248	41.26					105	17.47					195	32.45		21	3.49					601
		FIFTH			2	9.52		2	9.52					13	61.90					4	19.05			Excluded					21
			TOTAL		34	5.66		250	41.60					118	19.63					199	33.11								601
		SIXTH				Excluded		14	41.18					0	0.00					20	58.82								34
			TOTAL					264	43.93					118	19.63					219	36.44								601
		SEVENTH						54	45.76						Excluded					64	54.24								118
			TOTAL					318	52.91											283	47.09								601
								Elected																					
																													
	Moore                                                          																												
		FIRST			13	3.81		178	52.20		5	1.47		47	13.78		7	2.05		75	21.99		13	3.81		3	0.88		341
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	100.00			Excluded		3
			TOTAL		13	3.81		178	52.20		5	1.47		47	13.78		7	2.05		75	21.99		16	4.69					341
		THIRD			2	28.57		0	0.00		0	0.00		2	28.57			Excluded		0	0.00		3	42.86					7
			TOTAL		15	4.40		178	52.20		5	1.47		49	14.37					75	21.99		19	5.57					341
		FOURTH			1	20.00		2	40.00			Excluded		0	0.00					2	40.00		0	0.00					5
			TOTAL		16	4.69		180	52.79					49	14.37					77	22.58		19	5.57					341
		FIFTH			4	21.05		1	5.26					7	36.84					7	36.84			Excluded					19
			TOTAL		20	5.87		181	53.08					56	16.42					84	24.63								341
		SIXTH				Excluded		9	45.00					4	20.00					7	35.00								20
			TOTAL					190	55.72					60	17.60					91	26.69								341
		SEVENTH						25	41.67						Excluded					35	58.33								60
			TOTAL					215	63.05											126	36.95								341
								Elected																					
																													
	Mount Kilcoy                                                   																												
		FIRST			4	1.46		146	53.28		7	2.55		38	13.87		2	0.73		60	21.90		16	5.84		1	0.36		274
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
			TOTAL		4	1.46		146	53.28		7	2.55		38	13.87		2	0.73		60	21.90		17	6.20					274
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	100.00					2
			TOTAL		4	1.46		146	53.28		7	2.55		38	13.87					60	21.90		19	6.93					274
		FOURTH			2	28.57		1	14.29			Excluded		1	14.29					3	42.86		0	0.00					7
			TOTAL		6	2.19		147	53.65					39	14.23					63	22.99		19	6.93					274
		FIFTH			5	26.32		2	10.53					5	26.32					7	36.84			Excluded					19
			TOTAL		11	4.01		149	54.38					44	16.06					70	25.55								274
		SIXTH				Excluded		2	18.18					0	0.00					9	81.82								11
			TOTAL					151	55.11					44	16.06					79	28.83								274
		SEVENTH						19	43.18						Excluded					25	56.82								44
			TOTAL					170	62.04											104	37.96								274
								Elected																					
																													
	Mount Sylvia                                                   																												
		FIRST			6	2.93		128	62.44		3	1.46		39	19.02		4	1.95		21	10.24		4	1.95		0	0.00		205
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
			TOTAL		6	2.93		128	62.44		3	1.46		39	19.02		4	1.95		21	10.24		4	1.95					205
		THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	50.00		2	50.00					4
			TOTAL		6	2.93		128	62.44		3	1.46		39	19.02					23	11.22		6	2.93					205
		FOURTH			2	66.67		0	0.00			Excluded		0	0.00					1	33.33		0	0.00					3
			TOTAL		8	3.90		128	62.44					39	19.02					24	11.71		6	2.93					205
		FIFTH			2	33.33		1	16.67					2	33.33					1	16.67			Excluded					6
			TOTAL		10	4.88		129	62.93					41	20.00					25	12.20								205
		SIXTH				Excluded		4	40.00					2	20.00					4	40.00								10
			TOTAL					133	64.88					43	20.98					29	14.15								205
		SEVENTH						27	62.79						Excluded					16	37.21								43
			TOTAL					160	78.05											45	21.95								205
								Elected																					
																													
	Mount Tarampa                                                  																												
		FIRST			9	3.49		109	42.25		7	2.71		47	18.22		4	1.55		76	29.46		4	1.55		2	0.78		258
		SECOND			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		2
			TOTAL		9	3.49		109	42.25		8	3.10		47	18.22		4	1.55		76	29.46		5	1.94					258
		THIRD			0	0.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		3	75.00					4
			TOTAL		9	3.49		109	42.25		8	3.10		48	18.60					76	29.46		8	3.10					258
		FOURTH			4	50.00		3	37.50			Excluded		1	12.50					0	0.00		0	0.00					8
			TOTAL		13	5.04		112	43.41					49	18.99					76	29.46		8	3.10					258
		FIFTH			3	37.50		1	12.50					3	37.50					1	12.50			Excluded					8
			TOTAL		16	6.20		113	43.80					52	20.16					77	29.84								258
		SIXTH				Excluded		6	37.50					5	31.25					5	31.25								16
			TOTAL					119	46.12					57	22.09					82	31.78								258
		SEVENTH						29	50.88						Excluded					28	49.12								57
			TOTAL					148	57.36											110	42.64								258
								Elected																					
																													
	Murphys Creek                                                  																												
		FIRST			17	4.13		183	44.42		7	1.70		73	17.72		5	1.21		113	27.43		13	3.16		1	0.24		412
		SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
			TOTAL		17	4.13		183	44.42		7	1.70		73	17.72		5	1.21		113	27.43		14	3.40					412
		THIRD			0	0.00		0	0.00		0	0.00		1	20.00			Excluded		0	0.00		4	80.00					5
			TOTAL		17	4.13		183	44.42		7	1.70		74	17.96					113	27.43		18	4.37					412
		FOURTH			4	57.14		0	0.00			Excluded		0	0.00					2	28.57		1	14.29					7
			TOTAL		21	5.10		183	44.42					74	17.96					115	27.91		19	4.61					412
