House of Representatives - 2001 Election: Queensland																															
Distribution of Preferences																															
By Polling Place																															
Wide Bay																															
				WICKS			HETHERINGTON			TRUSS			DWYER			JANSEN			PITT			TREMLIN			SMITH			DALGLEISH			
	FOURTH			0	0.00					0	0.00		1	50.00			Excluded		1	50.00		0	0.00					0	0.00		2
		TOTAL		3	2.48					78	64.46		19	15.70					3	2.48		15	12.40					3	2.48		121
	FIFTH			0	0.00					0	0.00		0	0.00						Excluded		0	0.00					3	100.00		3
		TOTAL		3	2.48					78	64.46		19	15.70								15	12.40					6	4.96		121
	SIXTH			3	50.00					2	33.33		1	16.67								0	0.00						Excluded		6
		TOTAL		6	4.96					80	66.12		20	16.53								15	12.40								121
	SEVENTH				Excluded					3	50.00		3	50.00								0	0.00								6
		TOTAL								83	68.60		23	19.01								15	12.40								121
	EIGHTH									12	52.17			Excluded								11	47.83								23
		TOTAL								95	78.51											26	21.49								121
										Elected																					
																															
Dundowran                                                      																															
	FIRST			27	2.96		0	0.00		462	50.71		69	7.57		13	1.43		18	1.98		242	26.56		12	1.32		68	7.46		911
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		27	2.96					462	50.71		69	7.57		13	1.43		18	1.98		242	26.56		12	1.32		68	7.46		911
	THIRD			2	16.67					1	8.33		0	0.00		4	33.33		1	8.33		1	8.33			Excluded		3	25.00		12
		TOTAL		29	3.18					463	50.82		69	7.57		17	1.87		19	2.09		243	26.67					71	7.79		911
	FOURTH			2	11.76					3	17.65		1	5.88			Excluded		3	17.65		6	35.29					2	11.76		17
		TOTAL		31	3.40					466	51.15		70	7.68					22	2.41		249	27.33					73	8.01		911
	FIFTH			9	40.91					1	4.55		2	9.09						Excluded		5	22.73					5	22.73		22
		TOTAL		40	4.39					467	51.26		72	7.90								254	27.88					78	8.56		911
	SIXTH			23	29.49					15	19.23		29	37.18								11	14.10						Excluded		78
		TOTAL		63	6.92					482	52.91		101	11.09								265	29.09								911
	SEVENTH				Excluded					22	34.92		30	47.62								11	17.46								63
		TOTAL								504	55.32		131	14.38								276	30.30								911
	EIGHTH									84	64.12			Excluded								47	35.88								131
		TOTAL								588	64.54											323	35.46								911
										Elected																					
																															
Eidsvold                                                       																															
	FIRST			17	4.45		1	0.26		188	49.21		61	15.97		5	1.31		11	2.88		88	23.04		6	1.57		5	1.31		382
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		17	4.45					188	49.21		61	15.97		5	1.31		12	3.14		88	23.04		6	1.57		5	1.31		382
	THIRD			1	16.67					1	16.67		1	16.67		0	0.00		0	0.00		2	33.33			Excluded		1	16.67		6
		TOTAL		18	4.71					189	49.48		62	16.23		5	1.31		12	3.14		90	23.56					6	1.57		382
	FOURTH			0	0.00					2	40.00		1	20.00			Excluded		1	20.00		1	20.00					0	0.00		5
		TOTAL		18	4.71					191	50.00		63	16.49					13	3.40		91	23.82					6	1.57		382
	FIFTH			8	61.54					1	7.69		1	7.69						Excluded		1	7.69					2	15.38		13
		TOTAL		26	6.81					192	50.26		64	16.75								92	24.08					8	2.09		382
	SIXTH			4	50.00					2	25.00		1	12.50								1	12.50						Excluded		8
		TOTAL		30	7.85					194	50.79		65	17.02								93	24.35								382
	SEVENTH				Excluded					14	46.67		11	36.67								5	16.67								30
		TOTAL								208	54.45		76	19.90								98	25.65								382
	EIGHTH									50	65.79			Excluded								26	34.21								76
		TOTAL								258	67.54											124	32.46								382
										Elected																					
																															
Gayndah                                                        																															
	FIRST			62	4.92		10	0.79		649	51.51		171	13.57		22	1.75		42	3.33		251	19.92		15	1.19		38	3.02		1260
	SECOND			6	60.00			Excluded		0	0.00		3	30.00		0	0.00		0	0.00		1	10.00		0	0.00		0	0.00		10
		TOTAL		68	5.40					649	51.51		174	13.81		22	1.75		42	3.33		252	20.00		15	1.19		38	3.02		1260
	THIRD			1	6.67					1	6.67		1	6.67		6	40.00		1	6.67		4	26.67			Excluded		1	6.67		15
		TOTAL		69	5.48					650	51.59		175	13.89		28	2.22		43	3.41		256	20.32					39	3.10		1260
	FOURTH			5	17.86					9	32.14		2	7.14			Excluded		3	10.71		6	21.43					3	10.71		28
		TOTAL		74	5.87					659	52.30		177	14.05					46	3.65		262	20.79					42	3.33		1260
	FIFTH			30	65.22					5	10.87		7	15.22						Excluded		1	2.17					3	6.52		46
		TOTAL		104	8.25					664	52.70		184	14.60								263	20.87					45	3.57		1260
	SIXTH			17	37.78					8	17.78		12	26.67								8	17.78						Excluded		45
		TOTAL		121	9.60					672	53.33		196	15.56								271	21.51								1260
	SEVENTH				Excluded					47	38.84		56	46.28								18	14.88								121
		TOTAL								719	57.06		252	20.00								289	22.94								1260
	EIGHTH									129	51.19			Excluded								123	48.81								252
		TOTAL								848	67.30											412	32.70								1260
										Elected																					
																															
Gin Gin                                                        																															
	FIRST			55	3.93		4	0.29		583	41.64		216	15.43		37	2.64		52	3.71		358	25.57		28	2.00		67	4.79		1400
	SECOND			0	0.00			Excluded		0	0.00		2	50.00		1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		55	3.93					583	41.64		218	15.57		38	2.71		52	3.71		358	25.57		29	2.07		67	4.79		1400
	THIRD			1	3.45					5	17.24		1	3.45		10	34.48		1	3.45		5	17.24			Excluded		6	20.69		29
		TOTAL		56	4.00					588	42.00		219	15.64		48	3.43		53	3.79		363	25.93					73	5.21		1400
	FOURTH			9	18.75					3	6.25		7	14.58			Excluded		1	2.08		23	47.92					5	10.42		48
		TOTAL		65	4.64					591	42.21		226	16.14					54	3.86		386	27.57					78	5.57		1400
	FIFTH			34	62.96					3	5.56		10	18.52						Excluded		0	0.00					7	12.96		54
		TOTAL		99	7.07					594	42.43		236	16.86								386	27.57					85	6.07		1400
	SIXTH			36	42.35					12	14.12		30	35.29								7	8.24						Excluded		85
		TOTAL		135	9.64					606	43.29		266	19.00								393	28.07								1400
	SEVENTH				Excluded					39	28.89		82	60.74								14	10.37								135
		TOTAL								645	46.07		348	24.86								407	29.07								1400
	EIGHTH									191	54.89			Excluded								157	45.11								348
		TOTAL								836	59.71											564	40.29								1400
										Elected																					
																															
Glenwood                                                       																															
	FIRST			15	4.34		3	0.87		123	35.55		71	20.52		15	4.34		16	4.62		87	25.14		12	3.47		4	1.16		346
	SECOND			1	33.33			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		16	4.62					123	35.55		71	20.52		16	4.62		16	4.62		88	25.43		12	3.47		4	1.16		346
	THIRD			1	8.33					0	0.00		2	16.67		3	25.00		1	8.33		3	25.00			Excluded		2	16.67		12
		TOTAL		17	4.91					123	35.55		73	21.10		19	5.49		17	4.91		91	26.30					6	1.73		346
	FOURTH			1	5.26					3	15.79		5	26.32			Excluded		1	5.26		8	42.11					1	5.26		19
		TOTAL		18	5.20					126	36.42		78	22.54					18	5.20		99	28.61					7	2.02		346
	FIFTH			13	72.22					0	0.00		4	22.22						Excluded		0	0.00					1	5.56		18
		TOTAL		31	8.96					126	36.42		82	23.70								99	28.61					8	2.31		346
	SIXTH			2	25.00					1	12.50		5	62.50								0	0.00						Excluded		8
		TOTAL		33	9.54					127	36.71		87	25.14								99	28.61								346
	SEVENTH				Excluded					8	24.24		18	54.55								7	21.21								33
		TOTAL								135	39.02		105	30.35								106	30.64								346
	EIGHTH									44	41.90			Excluded								61	58.10								105
		TOTAL								179	51.73											167	48.27								346
										Elected																					
																															
Goomeri                                                        																															
	FIRST			47	11.33		1	0.24		219	52.77		73	17.59		5	1.20		11	2.65		45	10.84		7	1.69		7	1.69		415
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		48	11.57					219	52.77		73	17.59		5	1.20		11	2.65		45	10.84		7	1.69		7	1.69		415
	THIRD			3	42.86					1	14.29		0	0.00		2	28.57		0	0.00		0	0.00			Excluded		1	14.29		7
		TOTAL		51	12.29					220	53.01		73	17.59		7	1.69		11	2.65		45	10.84					8	1.93		415
	FOURTH			2	28.57					1	14.29		0	0.00			Excluded		0	0.00		3	42.86					1	14.29		7
		TOTAL		53	12.77					221	53.25		73	17.59					11	2.65		48	11.57					9	2.17		415
	FIFTH			6	54.55					1	9.09		3	27.27						Excluded		0	0.00					1	9.09		11
		TOTAL		59	14.22					222	53.49		76	18.31								48	11.57					10	2.41		415
	SIXTH			5	50.00					3	30.00		1	10.00								1	10.00						Excluded		10
		TOTAL		64	15.42					225	54.22		77	18.55								49	11.81								415
	SEVENTH				Excluded					28	43.75		33	51.56								3	4.69								64
		TOTAL								253	60.96		110	26.51								52	12.53								415
	EIGHTH									69	62.73			Excluded								41	37.27								110
		TOTAL								322	77.59											93	22.41								415
										Elected																					
																															
Goovigen                                                       																															
	FIRST			1	0.66		13	8.55		85	55.92		29	19.08		0	0.00		1	0.66		22	14.47		0	0.00		1	0.66		152
	SECOND			0	0.00			Excluded		7	53.85		5	38.46		0	0.00		0	0.00		1	7.69		0	0.00		0	0.00		13
		TOTAL		1	0.66					92	60.53		34	22.37		0	0.00		1	0.66		23	15.13		0	0.00		1	0.66		152
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		1	0.66					92	60.53		34	22.37		0	0.00		1	0.66		23	15.13					1	0.66		152
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0
		TOTAL		1	0.66					92	60.53		34	22.37					1	0.66		23	15.13					1	0.66		152
	FIFTH			1	100.00					0	0.00		0	0.00						Excluded		0	0.00					0	0.00		1
		TOTAL		2	1.32					92	60.53		34	22.37								23	15.13					1	0.66		152
	SIXTH			0	0.00					0	0.00		1	100.00								0	0.00						Excluded		1
		TOTAL		2	1.32					92	60.53		35	23.03								23	15.13								152
	SEVENTH				Excluded					2	100.00		0	0.00								0	0.00								2
		TOTAL								94	61.84		35	23.03								23	15.13								152
	EIGHTH									15	42.86			Excluded								20	57.14								35
		TOTAL								109	71.71											43	28.29								152
										Elected																					
																															
Granville                                                      																															
	FIRST			70	3.92		7	0.39		670	37.54		198	11.09		34	1.90		130	7.28		603	33.78		22	1.23		51	2.86		1785
	SECOND			5	71.43			Excluded		0	0.00		0	0.00		1	14.29		1	14.29		0	0.00		0	0.00		0	0.00		7
		TOTAL		75	4.20					670	37.54		198	11.09		35	1.96		131	7.34		603	33.78		22	1.23		51	2.86		1785
	THIRD			1	4.55					2	9.09		1	4.55		2	9.09		2	9.09		11	50.00			Excluded		3	13.64		22
		TOTAL		76	4.26					672	37.65		199	11.15		37	2.07		133	7.45		614	34.40					54	3.03		1785
	FOURTH			9	24.32					2	5.41		5	13.51			Excluded		4	10.81		14	37.84					3	8.11		37
		TOTAL		85	4.76					674	37.76		204	11.43					137	7.68		628	35.18					57	3.19		1785
	FIFTH			77	56.20					13	9.49		16	11.68						Excluded		11	8.03					20	14.60		137
		TOTAL		162	9.08					687	38.49		220	12.32								639	35.80					77	4.31		1785
	SIXTH			30	38.96					13	16.88		19	24.68								15	19.48						Excluded		77
		TOTAL		192	10.76					700	39.22		239	13.39								654	36.64								1785
	SEVENTH				Excluded					69	35.94		106	55.21								17	8.85								192
		TOTAL								769	43.08		345	19.33								671	37.59								1785
	EIGHTH									156	45.22			Excluded								189	54.78								345
		TOTAL								925	51.82											860	48.18								1785
										Elected																					
																															
Gunalda                                                        																															
	FIRST			23	5.99		2	0.52		150	39.06		67	17.45		7	1.82		27	7.03		87	22.66		7	1.82		14	3.65		384
	SECOND			1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		24	6.25					150	39.06		67	17.45		7	1.82		27	7.03		88	22.92		7	1.82		14	3.65		384
	THIRD			1	14.29					1	14.29		0	0.00		3	42.86		1	14.29		1	14.29			Excluded		0	0.00		7
		TOTAL		25	6.51					151	39.32		67	17.45		10	2.60		28	7.29		89	23.18					14	3.65		384
	FOURTH			1	10.00					1	10.00		1	10.00			Excluded		1	10.00		5	50.00					1	10.00		10
		TOTAL		26	6.77					152	39.58		68	17.71					29	7.55		94	24.48					15	3.91		384
	FIFTH			21	72.41					4	13.79		0	0.00						Excluded		1	3.45					3	10.34		29
		TOTAL		47	12.24					156	40.63		68	17.71								95	24.74					18	4.69		384
	SIXTH			7	38.89					2	11.11		6	33.33								3	16.67						Excluded		18
		TOTAL		54	14.06					158	41.15		74	19.27								98	25.52								384
	SEVENTH				Excluded					11	20.37		35	64.81								8	14.81								54
		TOTAL								169	44.01		109	28.39								106	27.60								384
	EIGHTH									56	51.38			Excluded								53	48.62								109
		TOTAL								225	58.59											159	41.41								384
										Elected																					
																															
Gundiah                                                        																															
	FIRST			9	6.38		0	0.00		86	60.99		15	10.64		0	0.00		8	5.67		12	8.51		3	2.13		8	5.67		141
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		9	6.38					86	60.99		15	10.64		0	0.00		8	5.67		12	8.51		3	2.13		8	5.67		141
	THIRD			0	0.00					1	33.33		0	0.00		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		3
		TOTAL		9	6.38					87	61.70		15	10.64		0	0.00		8	5.67		14	9.93					8	5.67		141
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0
		TOTAL		9	6.38					87	61.70		15	10.64					8	5.67		14	9.93					8	5.67		141
	FIFTH			6	75.00					1	12.50		1	12.50						Excluded		0	0.00					0	0.00		8
		TOTAL		15	10.64					88	62.41		16	11.35								14	9.93					8	5.67		141
	SIXTH			2	25.00					1	12.50		3	37.50								2	25.00						Excluded		8
		TOTAL		17	12.06					89	63.12		19	13.48								16	11.35								141
	SEVENTH				Excluded					4	23.53		13	76.47								0	0.00								17
		TOTAL								93	65.96		32	22.70								16	11.35								141
	EIGHTH									20	62.50			Excluded								12	37.50								32
		TOTAL								113	80.14											28	19.86								141
										Elected																					
																															
Howard                                                         																															
	FIRST			39	3.84		9	0.89		284	27.98		189	18.62		6	0.59		60	5.91		361	35.57		13	1.28		54	5.32		1015
	SECOND			1	11.11			Excluded		0	0.00		1	11.11		1	11.11		4	44.44		1	11.11		0	0.00		1	11.11		9
		TOTAL		40	3.94					284	27.98		190	18.72		7	0.69		64	6.31		362	35.67		13	1.28		55	5.42		1015
	THIRD			2	15.38					0	0.00		0	0.00		3	23.08		1	7.69		5	38.46			Excluded		2	15.38		13
		TOTAL		42	4.14					284	27.98		190	18.72		10	0.99		65	6.40		367	36.16					57	5.62		1015
	FOURTH			2	20.00					2	20.00		1	10.00			Excluded		1	10.00		4	40.00					0	0.00		10
		TOTAL		44	4.33					286	28.18		191	18.82					66	6.50		371	36.55					57	5.62		1015
	FIFTH			34	51.52					6	9.09		7	10.61						Excluded		7	10.61					12	18.18		66
		TOTAL		78	7.68					292	28.77		198	19.51								378	37.24					69	6.80		1015
	SIXTH			23	33.33					14	20.29		24	34.78								8	11.59						Excluded		69
		TOTAL		101	9.95					306	30.15		222	21.87								386	38.03								1015
	SEVENTH				Excluded					35	34.65		55	54.46								11	10.89								101
		TOTAL								341	33.60		277	27.29								397	39.11								1015
	EIGHTH									137	49.46			Excluded								140	50.54								277
		TOTAL								478	47.09											537	52.91								1015
										Elected																					
																															
Jambin                                                         																															
	FIRST			11	5.19		12	5.66		127	59.91		33	15.57		3	1.42		2	0.94		23	10.85		0	0.00		1	0.47		212
	SECOND			3	25.00			Excluded		5	41.67		0	0.00		0	0.00		3	25.00		0	0.00		0	0.00		1	8.33		12
		TOTAL		14	6.60					132	62.26		33	15.57		3	1.42		5	2.36		23	10.85		0	0.00		2	0.94		212
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		14	6.60					132	62.26		33	15.57		3	1.42		5	2.36		23	10.85					2	0.94		212
	FOURTH			2	66.67					0	0.00		0	0.00			Excluded		0	0.00		1	33.33					0	0.00		3
		TOTAL		16	7.55					132	62.26		33	15.57					5	2.36		24	11.32					2	0.94		212
	FIFTH			3	60.00					0	0.00		1	20.00						Excluded		0	0.00					1	20.00		5
		TOTAL		19	8.96					132	62.26		34	16.04								24	11.32					3	1.42		212
	SIXTH			1	33.33					2	66.67		0	0.00								0	0.00						Excluded		3
		TOTAL		20	9.43					134	63.21		34	16.04								24	11.32								212
	SEVENTH				Excluded					10	50.00		9	45.00								1	5.00								20
		TOTAL								144	67.92		43	20.28								25	11.79								212
	EIGHTH									23	53.49			Excluded								20	46.51								43
		TOTAL								167	78.77											45	21.23								212
										Elected																					
																															
Kawungan                                                       																															
	FIRST			73	3.64		5	0.25		909	45.34		117	5.84		27	1.35		41	2.04		600	29.93		48	2.39		185	9.23		2005
	SECOND			1	20.00			Excluded		1	20.00		1	20.00		1	20.00		1	20.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		74	3.69					910	45.39		118	5.89		28	1.40		42	2.09		600	29.93		48	2.39		185	9.23		2005
	THIRD			4	8.33					6	12.50		1	2.08		9	18.75		4	8.33		14	29.17			Excluded		10	20.83		48
		TOTAL		78	3.89					916	45.69		119	5.94		37	1.85		46	2.29		614	30.62					195	9.73		2005
	FOURTH			7	18.92					4	10.81		2	5.41			Excluded		7	18.92		14	37.84					3	8.11		37
		TOTAL		85	4.24					920	45.89		121	6.03					53	2.64		628	31.32					198	9.88		2005
	FIFTH			20	37.74					5	9.43		9	16.98						Excluded		5	9.43					14	26.42		53
		TOTAL		105	5.24					925	46.13		130	6.48								633	31.57					212	10.57		2005
	SIXTH			72	33.96					37	17.45		69	32.55								34	16.04						Excluded		212
		TOTAL		177	8.83					962	47.98		199	9.93								667	33.27								2005
	SEVENTH				Excluded					62	35.03		83	46.89								32	18.08								177
		TOTAL								1024	51.07		282	14.06								699	34.86								2005
	EIGHTH									183	64.89			Excluded								99	35.11								282
		TOTAL								1207	60.20											798	39.80								2005
										Elected																					
																															
Kilkivan                                                       																															
	FIRST			36	7.96		0	0.00		222	49.12		65	14.38		4	0.88		13	2.88		89	19.69		6	1.33		17	3.76		452
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		36	7.96					222	49.12		65	14.38		4	0.88		13	2.88		89	19.69		6	1.33		17	3.76		452
	THIRD			0	0.00					1	16.67		0	0.00		1	16.67		0	0.00		2	33.33			Excluded		2	33.33		6
		TOTAL		36	7.96					223	49.34		65	14.38		5	1.11		13	2.88		91	20.13					19	4.20		452
	FOURTH			0	0.00					1	20.00		0	0.00			Excluded		0	0.00		4	80.00					0	0.00		5
		TOTAL		36	7.96					224	49.56		65	14.38					13	2.88		95	21.02					19	4.20		452
	FIFTH			10	76.92					0	0.00		1	7.69						Excluded		1	7.69					1	7.69		13
		TOTAL		46	10.18					224	49.56		66	14.60								96	21.24					20	4.42		452
	SIXTH			7	35.00					2	10.00		8	40.00								3	15.00						Excluded		20
		TOTAL		53	11.73					226	50.00		74	16.37								99	21.90								452
	SEVENTH				Excluded					13	24.53		27	50.94								13	24.53								53
		TOTAL								239	52.88		101	22.35								112	24.78								452
	EIGHTH									51	50.50			Excluded								50	49.50								101
		TOTAL								290	64.16											162	35.84								452
										Elected																					
																															
Lawgi                                                          																															
	FIRST			3	2.78		1	0.93		75	69.44		25	23.15		0	0.00		1	0.93		1	0.93		1	0.93		1	0.93		108
	SECOND			0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		3	2.78					75	69.44		26	24.07		0	0.00		1	0.93		1	0.93		1	0.93		1	0.93		108
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		3	2.78					75	69.44		26	24.07		0	0.00		1	0.93		1	0.93					2	1.85		108
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0
		TOTAL		3	2.78					75	69.44		26	24.07					1	0.93		1	0.93					2	1.85		108
	FIFTH			1	100.00					0	0.00		0	0.00						Excluded		0	0.00					0	0.00		1
		TOTAL		4	3.70					75	69.44		26	24.07								1	0.93					2	1.85		108
	SIXTH			1	50.00					1	50.00		0	0.00								0	0.00						Excluded		2
		TOTAL		5	4.63					76	70.37		26	24.07								1	0.93								108
	SEVENTH				Excluded					1	20.00		4	80.00								0	0.00								5
		TOTAL								77	71.30		30	27.78								1	0.93								108
	EIGHTH									15	50.00			Excluded								15	50.00								30
		TOTAL								92	85.19											16	14.81								108
										Elected																					
																															
Maryborough                                                    																															
	FIRST			163	4.47		7	0.19		1475	40.43		339	9.29		119	3.26		270	7.40		1116	30.59		65	1.78		94	2.58		3648
	SECOND			3	42.86			Excluded		1	14.29		0	0.00		1	14.29		0	0.00		0	0.00		0	0.00		2	28.57		7
		TOTAL		166	4.55					1476	40.46		339	9.29		120	3.29		270	7.40		1116	30.59		65	1.78		96	2.63		3648
	THIRD			5	7.69					10	15.38		3	4.62		17	26.15		3	4.62		19	29.23			Excluded		8	12.31		65
		TOTAL		171	4.69					1486	40.73		342	9.38		137	3.76		273	7.48		1135	31.11					104	2.85		3648
	FOURTH			17	12.41					14	10.22		11	8.03			Excluded		19	13.87		63	45.99					13	9.49		137
		TOTAL		188	5.15					1500	41.12		353	9.68					292	8.00		1198	32.84					117	3.21		3648
	FIFTH			145	49.66					46	15.75		49	16.78						Excluded		20	6.85					32	10.96		292
		TOTAL		333	9.13					1546	42.38		402	11.02								1218	33.39					149	4.08		3648
	SIXTH			55	36.91					20	13.42		44	29.53								30	20.13						Excluded		149
		TOTAL		388	10.64					1566	42.93		446	12.23								1248	34.21								3648
	SEVENTH				Excluded					125	32.22		211	54.38								52	13.40								388
		TOTAL								1691	46.35		657	18.01								1300	35.64								3648
	EIGHTH									329	50.08			Excluded								328	49.92								657
		TOTAL								2020	55.37											1628	44.63								3648
										Elected																					
																															
Maryborough West                                               																															
	FIRST			126	5.30		3	0.13		922	38.77		214	9.00		65	2.73		143	6.01		820	34.48		30	1.26		55	2.31		2378
	SECOND			0	0.00			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		126	5.30					923	38.81		214	9.00		66	2.78		143	6.01		821	34.52		30	1.26		55	2.31		2378
	THIRD			3	10.00					6	20.00		1	3.33		8	26.67		1	3.33		6	20.00			Excluded		5	16.67		30
		TOTAL		129	5.42					929	39.07		215	9.04		74	3.11		144	6.06		827	34.78					60	2.52		2378
	FOURTH			15	20.27					16	21.62		8	10.81			Excluded		9	12.16		20	27.03					6	8.11		74
		TOTAL		144	6.06					945	39.74		223	9.38					153	6.43		847	35.62					66	2.78		2378
	FIFTH			76	49.67					17	11.11		26	16.99						Excluded		12	7.84					22	14.38		153
		TOTAL		220	9.25					962	40.45		249	10.47								859	36.12					88	3.70		2378
	SIXTH			34	38.64					13	14.77		25	28.41								16	18.18						Excluded		88
		TOTAL		254	10.68					975	41.00		274	11.52								875	36.80								2378
	SEVENTH				Excluded					90	35.43		125	49.21								39	15.35								254
		TOTAL								1065	44.79		399	16.78								914	38.44								2378
	EIGHTH									190	47.62			Excluded								209	52.38								399
		TOTAL								1255	52.78											1123	47.22								2378
										Elected																					
																															
Mondure                                                        																															
	FIRST			22	14.29		0	0.00		80	51.95		37	24.03		1	0.65		2	1.30		9	5.84		0	0.00		3	1.95		154
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		22	14.29					80	51.95		37	24.03		1	0.65		2	1.30		9	5.84		0	0.00		3	1.95		154
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		22	14.29					80	51.95		37	24.03		1	0.65		2	1.30		9	5.84					3	1.95		154
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	100.00		1
		TOTAL		22	14.29					80	51.95		37	24.03					2	1.30		9	5.84					4	2.60		154
	FIFTH			0	0.00					1	50.00		1	50.00						Excluded		0	0.00					0	0.00		2
		TOTAL		22	14.29					81	52.60		38	24.68								9	5.84					4	2.60		154
	SIXTH			1	25.00					1	25.00		0	0.00								2	50.00						Excluded		4
		TOTAL		23	14.94					82	53.25		38	24.68								11	7.14								154
	SEVENTH				Excluded					8	34.78		14	60.87								1	4.35								23
		TOTAL								90	58.44		52	33.77								12	7.79								154
	EIGHTH									34	65.38			Excluded								18	34.62								52
		TOTAL								124	80.52											30	19.48								154
										Elected																					
																															
Monto                                                          																															
	FIRST			33	3.49		6	0.63		537	56.83		146	15.45		11	1.16		19	2.01		140	14.81		8	0.85		45	4.76		945
	SECOND			1	16.67			Excluded		2	33.33		2	33.33		0	0.00		0	0.00		0	0.00		0	0.00		1	16.67		6
		TOTAL		34	3.60					539	57.04		148	15.66		11	1.16		19	2.01		140	14.81		8	0.85		46	4.87		945
	THIRD			1	12.50					2	25.00		0	0.00		0	0.00		1	12.50		3	37.50			Excluded		1	12.50		8
		TOTAL		35	3.70					541	57.25		148	15.66		11	1.16		20	2.12		143	15.13					47	4.97		945
	FOURTH			1	9.09					3	27.27		1	9.09			Excluded		1	9.09		5	45.45					0	0.00		11
		TOTAL		36	3.81					544	57.57		149	15.77					21	2.22		148	15.66					47	4.97		945
	FIFTH			10	47.62					2	9.52		6	28.57						Excluded		1	4.76					2	9.52		21
		TOTAL		46	4.87					546	57.78		155	16.40								149	15.77					49	5.19		945
	SIXTH			18	36.73					11	22.45		12	24.49								8	16.33						Excluded		49
		TOTAL		64	6.77					557	58.94		167	17.67								157	16.61								945
	SEVENTH				Excluded					30	46.88		29	45.31								5	7.81								64
		TOTAL								587	62.12		196	20.74								162	17.14								945
	EIGHTH									96	48.98			Excluded								100	51.02								196
		TOTAL								683	72.28											262	27.72								945
										Elected																					
																															
Moonford Hall                                                  																															
	FIRST			6	5.77		3	2.88		59	56.73		16	15.38		2	1.92		1	0.96		14	13.46		1	0.96		2	1.92		104
	SECOND			1	33.33			Excluded		1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		7	6.73					60	57.69		16	15.38		2	1.92		2	1.92		14	13.46		1	0.96		2	1.92		104
	THIRD			0	0.00					0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		7	6.73					60	57.69		16	15.38		3	2.88		2	1.92		14	13.46					2	1.92		104
	FOURTH			0	0.00					1	33.33		0	0.00			Excluded		0	0.00		2	66.67					0	0.00		3
		TOTAL		7	6.73					61	58.65		16	15.38					2	1.92		16	15.38					2	1.92		104
	FIFTH			2	100.00					0	0.00		0	0.00						Excluded		0	0.00					0	0.00		2
		TOTAL		9	8.65					61	58.65		16	15.38								16	15.38					2	1.92		104
	SIXTH			1	50.00					0	0.00		1	50.00								0	0.00						Excluded		2
		TOTAL		10	9.62					61	58.65		17	16.35								16	15.38								104
	SEVENTH				Excluded					6	60.00		4	40.00								0	0.00								10
		TOTAL								67	64.42		21	20.19								16	15.38								104
	EIGHTH									16	76.19			Excluded								5	23.81								21
		TOTAL								83	79.81											21	20.19								104
										Elected																					
																															
Mount Perry                                                    																															
	FIRST			16	7.14		2	0.89		120	53.57		20	8.93		2	0.89		13	5.80		45	20.09		3	1.34		3	1.34		224
	SECOND			1	50.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		2
