House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Moreton																							
				HARDGRAVE			LAMB			TAYLOR			BROOKES			COMANS			WEEDON				
		TOTAL		1392	55.41					68	2.71		843	33.56		140	5.57		69	2.75		2512	
	THIRD			22	31.88					16	23.19		11	15.94		20	28.99			Excluded		69	
		TOTAL		1414	56.29					84	3.34		854	34.00		160	6.37					2512	
	FOURTH			14	16.67						Excluded		28	33.33		42	50.00					84	
		TOTAL		1428	56.85								882	35.11		202	8.04					2512	
	FIFTH			85	42.08								117	57.92			Excluded					202	
		TOTAL		1513	60.23								999	39.77								2512	
				Elected																			
																							
Yeronga                                                        																							
	FIRST			889	43.58		16	0.78		138	6.76		769	37.70		189	9.26		39	1.91		2040	
	SECOND			9	56.25			Excluded		2	12.50		0	0.00		3	18.75		2	12.50		16	
		TOTAL		898	44.02					140	6.86		769	37.70		192	9.41		41	2.01		2040	
	THIRD			15	36.59					8	19.51		6	14.63		12	29.27			Excluded		41	
		TOTAL		913	44.75					148	7.25		775	37.99		204	10.00					2040	
	FOURTH			15	10.14						Excluded		38	25.68		95	64.19					148	
		TOTAL		928	45.49								813	39.85		299	14.66					2040	
	FIFTH			68	22.74								231	77.26			Excluded					299	
		TOTAL		996	48.82								1044	51.18								2040	
				Elected																			
																							
Yeronga West                                                   																							
	FIRST			972	52.15		37	1.98		106	5.69		572	30.69		135	7.24		42	2.25		1864	
	SECOND			11	29.73			Excluded		7	18.92		3	8.11		4	10.81		12	32.43		37	
		TOTAL		983	52.74					113	6.06		575	30.85		139	7.46		54	2.90		1864	
	THIRD			27	50.00					12	22.22		2	3.70		13	24.07			Excluded		54	
		TOTAL		1010	54.18					125	6.71		577	30.95		152	8.15					1864	
	FOURTH			15	12.00						Excluded		37	29.60		73	58.40					125	
		TOTAL		1025	54.99								614	32.94		225	12.07					1864	
	FIFTH			53	23.56								172	76.44			Excluded					225	
		TOTAL		1078	57.83								786	42.17								1864	
				Elected																			
																							
Special Hospital Team 1                                        																							
	FIRST			38	51.35		0	0.00		3	4.05		31	41.89		0	0.00		2	2.70		74	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		38	51.35					3	4.05		31	41.89		0	0.00		2	2.70		74	
	THIRD			2	100.00					0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		40	54.05					3	4.05		31	41.89		0	0.00					74	
	FOURTH			1	33.33						Excluded		1	33.33		1	33.33					3	
		TOTAL		41	55.41								32	43.24		1	1.35					74	
	FIFTH			1	100.00								0	0.00			Excluded					1	
		TOTAL		42	56.76								32	43.24								74	
				Elected																			
																							
Special Hospital Team 2                                        																							
	FIRST			29	76.32		0	0.00		1	2.63		6	15.79		1	2.63		1	2.63		38	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		29	76.32					1	2.63		6	15.79		1	2.63		1	2.63		38	
	THIRD			0	0.00					0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		29	76.32					1	2.63		7	18.42		1	2.63					38	
	FOURTH			0	0.00						Excluded		1	100.00		0	0.00					1	
		TOTAL		29	76.32								8	21.05		1	2.63					38	
	FIFTH			1	100.00								0	0.00			Excluded					1	
		TOTAL		30	78.95								8	21.05								38	
				Elected																			
																							
Special Hospital Team 3                                        																							
	FIRST			50	60.98		0	0.00		0	0.00		29	35.37		1	1.22		2	2.44		82	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		50	60.98					0	0.00		29	35.37		1	1.22		2	2.44		82	
	THIRD			2	100.00					0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		52	63.41					0	0.00		29	35.37		1	1.22					82	
	FOURTH			0	0.00						Excluded		0	0.00		0	0.00					0	
		TOTAL		52	63.41								29	35.37		1	1.22					82	
	FIFTH			1	100.00								0	0.00			Excluded					1	
		TOTAL		53	64.63								29	35.37								82	
				Elected																			
																							
ABSENT																							
	FIRST			2736	45.31		128	2.12		467	7.73		1953	32.35		517	8.56		237	3.93		6038	
	SECOND			48	37.50			Excluded		31	24.22		19	14.84		17	13.28		13	10.16		128	
		TOTAL		2784	46.11					498	8.25		1972	32.66		534	8.84		250	4.14		6038	
	THIRD			79	31.60					49	19.60		63	25.20		59	23.60			Excluded		250	
		TOTAL		2863	47.42					547	9.06		2035	33.70		593	9.82					6038	
	FOURTH			90	16.45						Excluded		178	32.54		279	51.01					547	
		TOTAL		2953	48.91								2213	36.65		872	14.44					6038	
	FIFTH			253	29.01								619	70.99			Excluded					872	
		TOTAL		3206	53.10								2832	46.90								6038	
				Elected																			
																							
POSTAL																							
	FIRST			2823	55.64		54	1.06		78	1.54		1796	35.40		162	3.19		161	3.17		5074	
	SECOND			15	27.78			Excluded		13	24.07		6	11.11		11	20.37		9	16.67		54	
		TOTAL		2838	55.93					91	1.79		1802	35.51		173	3.41		170	3.35		5074	
	THIRD			81	47.65					21	12.35		39	22.94		29	17.06			Excluded		170	
		TOTAL		2919	57.53					112	2.21		1841	36.28		202	3.98					5074	
	FOURTH			21	18.75						Excluded		29	25.89		62	55.36					112	
		TOTAL		2940	57.94								1870	36.85		264	5.20					5074	
	FIFTH			93	35.23								171	64.77			Excluded					264	
		TOTAL		3033	59.78								2041	40.22								5074	
				Elected																			
																							
PRE POLL																							
	FIRST			1477	49.92		41	1.39		167	5.64		1016	34.34		181	6.12		77	2.60		2959	
	SECOND			19	46.34			Excluded		12	29.27		8	19.51		0	0.00		2	4.88		41	
		TOTAL		1496	50.56					179	6.05		1024	34.61		181	6.12		79	2.67		2959	
	THIRD			35	44.30					12	15.19		22	27.85		10	12.66			Excluded		79	
		TOTAL		1531	51.74					191	6.45		1046	35.35		191	6.45					2959	
	FOURTH			18	9.42						Excluded		57	29.84		116	60.73					191	
		TOTAL		1549	52.35								1103	37.28		307	10.38					2959	
	FIFTH			84	27.36								223	72.64			Excluded					307	
		TOTAL		1633	55.19								1326	44.81								2959	
				Elected																			
																							
PROVISIONAL																							
	FIRST			167	36.07		9	1.94		36	7.78		193	41.68		44	9.50		14	3.02		463	
	SECOND			5	55.56			Excluded		1	11.11		0	0.00		2	22.22		1	11.11		9	
		TOTAL		172	37.15					37	7.99		193	41.68		46	9.94		15	3.24		463	
	THIRD			6	40.00					6	40.00		0	0.00		3	20.00			Excluded		15	
		TOTAL		178	38.44					43	9.29		193	41.68		49	10.58					463	
	FOURTH			3	6.98						Excluded		12	27.91		28	65.12					43	
		TOTAL		181	39.09								205	44.28		77	16.63					463	
	FIFTH			24	31.17								53	68.83			Excluded					77	
		TOTAL		205	44.28								258	55.72								463	
				Elected																			
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
