House of Representatives - 2001 Election: Queensland																															
Distribution of Preferences 																															
By Polling Place																															
Dickson																															
					HYLAND			KERNOT			TURNER			DUTTON			KIMLIN			WHITNEY			KRAMER			KESSELS			BARNES		
	FIRST			31	1.36		779	34.27		142	6.25		945	41.58		8	0.35		68	2.99		73	3.21		217	9.55		10	0.44		2273
	SECOND			3	30.00		0	0.00		0	0.00		1	10.00		0	0.00		0	0.00		0	0.00		6	60.00			Excluded		10
		TOTAL		34	1.50		779	34.27		142	6.25		946	41.62		8	0.35		68	2.99		73	3.21		223	9.81					2273
	THIRD			3	37.50		1	12.50		0	0.00		0	0.00			Excluded		1	12.50		1	12.50		2	25.00					8
		TOTAL		37	1.63		780	34.32		142	6.25		946	41.62					69	3.04		74	3.26		225	9.90					2273
	FOURTH				Excluded		17	45.95		5	13.51		5	13.51					1	2.70		1	2.70		8	21.62					37
		TOTAL					797	35.06		147	6.47		951	41.84					70	3.08		75	3.30		233	10.25					2273
	FIFTH						14	20.00		5	7.14		19	27.14						Excluded		5	7.14		27	38.57					70
		TOTAL					811	35.68		152	6.69		970	42.67								80	3.52		260	11.44					2273
	SIXTH						18	22.50		26	32.50		12	15.00									Excluded		24	30.00					80
		TOTAL					829	36.47		178	7.83		982	43.20											284	12.49					2273
	SEVENTH						89	50.00			Excluded		37	20.79											52	29.21					178
		TOTAL					918	40.39					1019	44.83											336	14.78					2273
	EIGHTH						145	43.15					191	56.85												Excluded					336
		TOTAL					1063	46.77					1210	53.23																	2273
													Elected																		
																															
Lawnton                                                        																															
	FIRST			54	1.89		1216	42.67		159	5.58		1004	35.23		13	0.46		134	4.70		81	2.84		175	6.14		14	0.49		2850
	SECOND			3	21.43		0	0.00		0	0.00		2	14.29		0	0.00		0	0.00		0	0.00		9	64.29			Excluded		14
		TOTAL		57	2.00		1216	42.67		159	5.58		1006	35.30		13	0.46		134	4.70		81	2.84		184	6.46					2850
	THIRD			3	23.08		1	7.69		0	0.00		0	0.00			Excluded		1	7.69		3	23.08		5	38.46					13
		TOTAL		60	2.11		1217	42.70		159	5.58		1006	35.30					135	4.74		84	2.95		189	6.63					2850
	FOURTH				Excluded		16	26.67		10	16.67		5	8.33					6	10.00		11	18.33		12	20.00					60
		TOTAL					1233	43.26		169	5.93		1011	35.47					141	4.95		95	3.33		201	7.05					2850
	FIFTH						25	17.73		3	2.13		26	18.44						Excluded		16	11.35		71	50.35					141
		TOTAL					1258	44.14		172	6.04		1037	36.39								111	3.89		272	9.54					2850
	SIXTH						23	20.72		22	19.82		19	17.12									Excluded		47	42.34					111
		TOTAL					1281	44.95		194	6.81		1056	37.05											319	11.19					2850
	SEVENTH						103	53.09			Excluded		44	22.68											47	24.23					194
		TOTAL					1384	48.56					1100	38.60											366	12.84					2850
	EIGHTH						158	43.17					208	56.83												Excluded					366
		TOTAL					1542	54.11					1308	45.89																	2850
													Elected																		
																															
Mitchelton (Dickson)                                           																															
	FIRST			7	1.73		146	36.14		34	8.42		151	37.38		2	0.50		19	4.70		30	7.43		15	3.71		0	0.00		404
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		7	1.73		146	36.14		34	8.42		151	37.38		2	0.50		19	4.70		30	7.43		15	3.71					404
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		1	50.00					2
		TOTAL		7	1.73		146	36.14		34	8.42		151	37.38					19	4.70		31	7.67		16	3.96					404
	FOURTH				Excluded		3	42.86		1	14.29		1	14.29					1	14.29		0	0.00		1	14.29					7
		TOTAL					149	36.88		35	8.66		152	37.62					20	4.95		31	7.67		17	4.21					404
	FIFTH						4	20.00		5	25.00		5	25.00						Excluded		3	15.00		3	15.00					20
		TOTAL					153	37.87		40	9.90		157	38.86								34	8.42		20	4.95					404
	SIXTH						5	14.71		15	44.12		6	17.65									Excluded		8	23.53					34
		TOTAL					158	39.11		55	13.61		163	40.35											28	6.93					404
	SEVENTH						31	56.36			Excluded		10	18.18											14	25.45					55
		TOTAL					189	46.78					173	42.82											42	10.40					404
	EIGHTH						19	45.24					23	54.76												Excluded					42
		TOTAL					208	51.49					196	48.51																	404
													Elected																		
																															
Mount Nebo                                                     																															
	FIRST			0	0.00		93	30.19		24	7.79		78	25.32		1	0.32		11	3.57		83	26.95		17	5.52		1	0.32		308
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
		TOTAL		0	0.00		93	30.19		24	7.79		78	25.32		1	0.32		11	3.57		83	26.95		18	5.84					308
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00					1
		TOTAL		0	0.00		93	30.19		24	7.79		79	25.65					11	3.57		83	26.95		18	5.84					308
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					0
		TOTAL					93	30.19		24	7.79		79	25.65					11	3.57		83	26.95		18	5.84					308
	FIFTH						0	0.00		0	0.00		2	18.18						Excluded		3	27.27		6	54.55					11
		TOTAL					93	30.19		24	7.79		81	26.30								86	27.92		24	7.79					308
	SIXTH						35	40.70		31	36.05		6	6.98									Excluded		14	16.28					86
		TOTAL					128	41.56		55	17.86		87	28.25											38	12.34					308
	SEVENTH						27	49.09			Excluded		7	12.73											21	38.18					55
		TOTAL					155	50.32					94	30.52											59	19.16					308
	EIGHTH						27	45.76					32	54.24												Excluded					59
		TOTAL					182	59.09					126	40.91																	308
													Elected																		
																															
Murrumba Downs                                                 																															
	FIRST			25	0.87		935	32.36		99	3.43		1440	49.84		11	0.38		88	3.05		54	1.87		225	7.79		12	0.42		2889
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	8.33		2	16.67		9	75.00			Excluded		12
		TOTAL		25	0.87		935	32.36		99	3.43		1440	49.84		11	0.38		89	3.08		56	1.94		234	8.10					2889
	THIRD			0	0.00		1	9.09		1	9.09		1	9.09			Excluded		3	27.27		3	27.27		2	18.18					11
		TOTAL		25	0.87		936	32.40		100	3.46		1441	49.88					92	3.18		59	2.04		236	8.17					2889
	FOURTH				Excluded		9	36.00		4	16.00		3	12.00					4	16.00		1	4.00		4	16.00					25
		TOTAL					945	32.71		104	3.60		1444	49.98					96	3.32		60	2.08		240	8.31					2889
	FIFTH						12	12.50		4	4.17		21	21.88						Excluded		15	15.63		44	45.83					96
		TOTAL					957	33.13		108	3.74		1465	50.71								75	2.60		284	9.83					2889
	SIXTH						12	16.00		17	22.67		10	13.33									Excluded		36	48.00					75
		TOTAL					969	33.54		125	4.33		1475	51.06											320	11.08					2889
	SEVENTH						61	48.80			Excluded		28	22.40											36	28.80					125
		TOTAL					1030	35.65					1503	52.02											356	12.32					2889
	EIGHTH						151	42.42					205	57.58												Excluded					356
		TOTAL					1181	40.88					1708	59.12																	2889
													Elected																		
																															
Oxford Park (Dickson)                                          																															
	FIRST			14	1.76		358	45.09		42	5.29		300	37.78		5	0.63		27	3.40		22	2.77		23	2.90		3	0.38		794
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		3
		TOTAL		14	1.76		359	45.21		42	5.29		300	37.78		5	0.63		27	3.40		23	2.90		24	3.02					794
	THIRD			1	20.00		1	20.00		0	0.00		0	0.00			Excluded		0	0.00		2	40.00		1	20.00					5
		TOTAL		15	1.89		360	45.34		42	5.29		300	37.78					27	3.40		25	3.15		25	3.15					794
	FOURTH				Excluded		3	20.00		2	13.33		3	20.00					0	0.00		2	13.33		5	33.33					15
		TOTAL					363	45.72		44	5.54		303	38.16					27	3.40		27	3.40		30	3.78					794
	FIFTH						3	11.11		1	3.70		10	37.04						Excluded		6	22.22		7	25.93					27
		TOTAL					366	46.10		45	5.67		313	39.42								33	4.16		37	4.66					794
	SIXTH						7	21.21		10	30.30		5	15.15									Excluded		11	33.33					33
		TOTAL					373	46.98		55	6.93		318	40.05											48	6.05					794
	SEVENTH						30	54.55			Excluded		10	18.18											15	27.27					55
		TOTAL					403	50.76					328	41.31											63	7.93					794
	EIGHTH						34	53.97					29	46.03												Excluded					63
		TOTAL					437	55.04					357	44.96																	794
													Elected																		
																															
Petrie                                                         																															
	FIRST			37	1.31		919	32.48		163	5.76		1238	43.76		11	0.39		110	3.89		91	3.22		252	8.91		8	0.28		2829
	SECOND			2	25.00		0	0.00		1	12.50		0	0.00		0	0.00		0	0.00		1	12.50		4	50.00			Excluded		8
		TOTAL		39	1.38		919	32.48		164	5.80		1238	43.76		11	0.39		110	3.89		92	3.25		256	9.05					2829
	THIRD			1	9.09		0	0.00		2	18.18		2	18.18			Excluded		2	18.18		3	27.27		1	9.09					11
		TOTAL		40	1.41		919	32.48		166	5.87		1240	43.83					112	3.96		95	3.36		257	9.08					2829
	FOURTH				Excluded		18	45.00		4	10.00		4	10.00					3	7.50		4	10.00		7	17.50					40
		TOTAL					937	33.12		170	6.01		1244	43.97					115	4.07		99	3.50		264	9.33					2829
	FIFTH						20	17.39		7	6.09		30	26.09						Excluded		12	10.43		46	40.00					115
		TOTAL					957	33.83		177	6.26		1274	45.03								111	3.92		310	10.96					2829
	SIXTH						27	24.32		34	30.63		9	8.11									Excluded		41	36.94					111
		TOTAL					984	34.78		211	7.46		1283	45.35											351	12.41					2829
	SEVENTH						102	48.34			Excluded		48	22.75											61	28.91					211
		TOTAL					1086	38.39					1331	47.05											412	14.56					2829
	EIGHTH						167	40.53					245	59.47												Excluded					412
		TOTAL					1253	44.29					1576	55.71																	2829
													Elected																		
																															
Samford                                                        																															
	FIRST			39	1.10		706	19.85		194	5.46		2012	56.58		7	0.20		67	1.88		250	7.03		275	7.73		6	0.17		3556
	SECOND			1	16.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	33.33		3	50.00			Excluded		6
		TOTAL		40	1.12		706	19.85		194	5.46		2012	56.58		7	0.20		67	1.88		252	7.09		278	7.82					3556
	THIRD			1	14.29		1	14.29		0	0.00		1	14.29			Excluded		2	28.57		2	28.57		0	0.00					7
		TOTAL		41	1.15		707	19.88		194	5.46		2013	56.61					69	1.94		254	7.14		278	7.82					3556
	FOURTH				Excluded		8	19.51		6	14.63		8	19.51					1	2.44		4	9.76		14	34.15					41
		TOTAL					715	20.11		200	5.62		2021	56.83					70	1.97		258	7.26		292	8.21					3556
	FIFTH						6	8.57		3	4.29		25	35.71						Excluded		12	17.14		24	34.29					70
		TOTAL					721	20.28		203	5.71		2046	57.54								270	7.59		316	8.89					3556
	SIXTH						82	30.37		90	33.33		25	9.26									Excluded		73	27.04					270
		TOTAL					803	22.58		293	8.24		2071	58.24											389	10.94					3556
	SEVENTH						165	56.31			Excluded		62	21.16											66	22.53					293
		TOTAL					968	27.22					2133	59.98											455	12.80					3556
	EIGHTH						202	44.40					253	55.60												Excluded					455
		TOTAL					1170	32.90					2386	67.10																	3556
													Elected																		
																															
Strathpine                                                     																															
	FIRST			39	2.00		762	39.06		79	4.05		771	39.52		8	0.41		63	3.23		82	4.20		139	7.12		8	0.41		1951
	SECOND			2	25.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	75.00			Excluded		8
		TOTAL		41	2.10		762	39.06		79	4.05		771	39.52		8	0.41		63	3.23		82	4.20		145	7.43					1951
	THIRD			1	12.50		2	25.00		0	0.00		0	0.00			Excluded		2	25.00		2	25.00		1	12.50					8
		TOTAL		42	2.15		764	39.16		79	4.05		771	39.52					65	3.33		84	4.31		146	7.48					1951
	FOURTH				Excluded		11	26.19		9	21.43		7	16.67					2	4.76		2	4.76		11	26.19					42
		TOTAL					775	39.72		88	4.51		778	39.88					67	3.43		86	4.41		157	8.05					1951
	FIFTH						10	14.93		5	7.46		19	28.36						Excluded		12	17.91		21	31.34					67
		TOTAL					785	40.24		93	4.77		797	40.85								98	5.02		178	9.12					1951
	SIXTH						27	27.55		19	19.39		8	8.16									Excluded		44	44.90					98
		TOTAL					812	41.62		112	5.74		805	41.26											222	11.38					1951
	SEVENTH						54	48.21			Excluded		22	19.64											36	32.14					112
		TOTAL					866	44.39					827	42.39											258	13.22					1951
	EIGHTH						112	43.41					146	56.59												Excluded					258
		TOTAL					978	50.13					973	49.87																	1951
													Elected																		
																															
Strathpine East                                                																															
	FIRST			18	1.45		516	41.58		63	5.08		480	38.68		1	0.08		38	3.06		21	1.69		102	8.22		2	0.16		1241
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		2
		TOTAL		18	1.45		516	41.58		63	5.08		481	38.76		1	0.08		38	3.06		21	1.69		103	8.30					1241
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00					1
		TOTAL		18	1.45		516	41.58		63	5.08		481	38.76					39	3.14		21	1.69		103	8.30					1241
	FOURTH				Excluded		8	44.44		3	16.67		3	16.67					0	0.00		1	5.56		3	16.67					18
		TOTAL					524	42.22		66	5.32		484	39.00					39	3.14		22	1.77		106	8.54					1241
	FIFTH						9	23.08		0	0.00		5	12.82						Excluded		9	23.08		16	41.03					39
		TOTAL					533	42.95		66	5.32		489	39.40								31	2.50		122	9.83					1241
	SIXTH						7	22.58		6	19.35		4	12.90									Excluded		14	45.16					31
		TOTAL					540	43.51		72	5.80		493	39.73											136	10.96					1241
	SEVENTH						37	51.39			Excluded		9	12.50											26	36.11					72
		TOTAL					577	46.49					502	40.45											162	13.05					1241
	EIGHTH						67	41.36					95	58.64												Excluded					162
		TOTAL					644	51.89					597	48.11																	1241
													Elected																		
																															
Strathpine West                                                																															
	FIRST			32	1.69		764	40.34		127	6.71		716	37.80		13	0.69		76	4.01		60	3.17		95	5.02		11	0.58		1894
	SECOND			2	18.18		1	9.09		1	9.09		0	0.00		0	0.00		0	0.00		1	9.09		6	54.55			Excluded		11
		TOTAL		34	1.80		765	40.39		128	6.76		716	37.80		13	0.69		76	4.01		61	3.22		101	5.33					1894
	THIRD			2	15.38		1	7.69		0	0.00		1	7.69			Excluded		3	23.08		2	15.38		4	30.77					13
		TOTAL		36	1.90		766	40.44		128	6.76		717	37.86					79	4.17		63	3.33		105	5.54					1894
	FOURTH				Excluded		13	36.11		5	13.89		2	5.56					5	13.89		3	8.33		8	22.22					36
		TOTAL					779	41.13		133	7.02		719	37.96					84	4.44		66	3.48		113	5.97					1894
	FIFTH						7	8.33		7	8.33		9	10.71						Excluded		16	19.05		45	53.57					84
		TOTAL					786	41.50		140	7.39		728	38.44								82	4.33		158	8.34					1894
	SIXTH						27	32.93		16	19.51		6	7.32									Excluded		33	40.24					82
		TOTAL					813	42.93		156	8.24		734	38.75											191	10.08					1894
	SEVENTH						73	46.79			Excluded		35	22.44											48	30.77					156
		TOTAL					886	46.78					769	40.60											239	12.62					1894
	EIGHTH						103	43.10					136	56.90												Excluded					239
		TOTAL					989	52.22					905	47.78																	1894
													Elected																		
																															
Warner                                                         																															
	FIRST			32	1.42		673	29.84		104	4.61		1114	49.40		10	0.44		64	2.84		60	2.66		189	8.38		9	0.40		2255
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	22.22		7	77.78			Excluded		9
		TOTAL		32	1.42		673	29.84		104	4.61		1114	49.40		10	0.44		64	2.84		62	2.75		196	8.69					2255
	THIRD			1	10.00		1	10.00		2	20.00		1	10.00			Excluded		3	30.00		1	10.00		1	10.00					10
		TOTAL		33	1.46		674	29.89		106	4.70		1115	49.45					67	2.97		63	2.79		197	8.74					2255
	FOURTH				Excluded		9	27.27		8	24.24		3	9.09					2	6.06		1	3.03		10	30.30					33
		TOTAL					683	30.29		114	5.06		1118	49.58					69	3.06		64	2.84		207	9.18					2255
	FIFTH						9	13.04		2	2.90		20	28.99						Excluded		11	15.94		27	39.13					69
		TOTAL					692	30.69		116	5.14		1138	50.47								75	3.33		234	10.38					2255
	SIXTH						17	22.67		22	29.33		6	8.00									Excluded		30	40.00					75
		TOTAL					709	31.44		138	6.12		1144	50.73											264	11.71					2255
	SEVENTH						52	37.68			Excluded		35	25.36											51	36.96					138
		TOTAL					761	33.75					1179	52.28											315	13.97					2255
	EIGHTH						138	43.81					177	56.19												Excluded					315
		TOTAL					899	39.87					1356	60.13																	2255
													Elected																		
																															
Special Hospital Team 1                                        																															
	FIRST			8	2.55		80	25.48		8	2.55		208	66.24		0	0.00		2	0.64		2	0.64		6	1.91		0	0.00		314
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		8	2.55		80	25.48		8	2.55		208	66.24		0	0.00		2	0.64		2	0.64		6	1.91					314
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0
		TOTAL		8	2.55		80	25.48		8	2.55		208	66.24					2	0.64		2	0.64		6	1.91					314
	FOURTH				Excluded		4	50.00		1	12.50		2	25.00					0	0.00		0	0.00		1	12.50					8
		TOTAL					84	26.75		9	2.87		210	66.88					2	0.64		2	0.64		7	2.23					314
	FIFTH						1	50.00		0	0.00		1	50.00						Excluded		0	0.00		0	0.00					2
		TOTAL					85	27.07		9	2.87		211	67.20								2	0.64		7	2.23					314
	SIXTH						1	50.00		0	0.00		1	50.00									Excluded		0	0.00					2
		TOTAL					86	27.39		9	2.87		212	67.52											7	2.23					314
	SEVENTH						4	44.44			Excluded		1	11.11											4	44.44					9
		TOTAL					90	28.66					213	67.83											11	3.50					314
	EIGHTH						4	36.36					7	63.64												Excluded					11
		TOTAL					94	29.94					220	70.06																	314
													Elected																		
																															
ABSENT																															
	FIRST			109	2.26		1571	32.51		333	6.89		2030	42.00		56	1.16		216	4.47		273	5.65		207	4.28		38	0.79		4833
	SECOND			6	15.79		2	5.26		0	0.00		4	10.53		2	5.26		0	0.00		6	15.79		18	47.37			Excluded		38
		TOTAL		115	2.38		1573	32.55		333	6.89		2034	42.09		58	1.20		216	4.47		279	5.77		225	4.66					4833
	THIRD			7	12.07		7	12.07		6	10.34		8	13.79			Excluded		11	18.97		13	22.41		6	10.34					58
		TOTAL		122	2.52		1580	32.69		339	7.01		2042	42.25					227	4.70		292	6.04		231	4.78					4833
	FOURTH				Excluded		48	39.34		13	10.66		14	11.48					4	3.28		8	6.56		35	28.69					122
		TOTAL					1628	33.69		352	7.28		2056	42.54					231	4.78		300	6.21		266	5.50					4833
	FIFTH						27	11.69		21	9.09		78	33.77						Excluded		52	22.51		53	22.94					231
		TOTAL					1655	34.24		373	7.72		2134	44.15								352	7.28		319	6.60					4833
	SIXTH						77	21.88		106	30.11		49	13.92									Excluded		120	34.09					352
		TOTAL					1732	35.84		479	9.91		2183	45.17											439	9.08					4833
	SEVENTH						196	40.92			Excluded		118	24.63											165	34.45					479
		TOTAL					1928	39.89					2301	47.61											604	12.50					4833
	EIGHTH						269	44.54					335	55.46												Excluded					604
		TOTAL					2197	45.46					2636	54.54																	4833
													Elected																		
																															
POSTAL																															
	FIRST			23	0.64		1255	34.99		152	4.24		1797	50.10		12	0.33		164	4.57		67	1.87		104	2.90		13	0.36		3587
	SECOND			1	7.69		1	7.69		0	0.00		3	23.08		0	0.00		0	0.00		0	0.00		8	61.54			Excluded		13
		TOTAL		24	0.67		1256	35.02		152	4.24		1800	50.18		12	0.33		164	4.57		67	1.87		112	3.12					3587
	THIRD			1	8.33		1	8.33		1	8.33		1	8.33			Excluded		0	0.00		6	50.00		2	16.67					12
		TOTAL		25	0.70		1257	35.04		153	4.27		1801	50.21					164	4.57		73	2.04		114	3.18					3587
	FOURTH				Excluded		7	28.00		3	12.00		2	8.00					3	12.00		0	0.00		10	40.00					25
		TOTAL					1264	35.24		156	4.35		1803	50.26					167	4.66		73	2.04		124	3.46					3587
	FIFTH						27	16.17		6	3.59		67	40.12						Excluded		20	11.98		47	28.14					167
		TOTAL					1291	35.99		162	4.52		1870	52.13								93	2.59		171	4.77					3587
	SIXTH						15	16.13		28	30.11		11	11.83									Excluded		39	41.94					93
		TOTAL					1306	36.41		190	5.30		1881	52.44											210	5.85					3587
	SEVENTH						84	44.21			Excluded		51	26.84											55	28.95					190
		TOTAL					1390	38.75					1932	53.86											265	7.39					3587
	EIGHTH						107	40.38					158	59.62												Excluded					265
		TOTAL					1497	41.73					2090	58.27																	3587
													Elected																		
																															
PRE POLL																															
	FIRST			49	1.70		938	32.46		156	5.40		1395	48.27		22	0.76		101	3.49		109	3.77		107	3.70		13	0.45		2890
	SECOND			2	15.38		1	7.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	76.92			Excluded		13
		TOTAL		51	1.76		939	32.49		156	5.40		1395	48.27		22	0.76		101	3.49		109	3.77		117	4.05					2890
	THIRD			2	9.09		2	9.09		1	4.55		3	13.64			Excluded		2	9.09		9	40.91		3	13.64					22
		TOTAL		53	1.83		941	32.56		157	5.43		1398	48.37					103	3.56		118	4.08		120	4.15					2890
	FOURTH				Excluded		15	28.30		4	7.55		7	13.21					4	7.55		3	5.66		20	37.74					53
		TOTAL					956	33.08		161	5.57		1405	48.62					107	3.70		121	4.19		140	4.84					2890
	FIFTH						11	10.28		9	8.41		33	30.84						Excluded		15	14.02		39	36.45					107
		TOTAL					967	33.46		170	5.88		1438	49.76								136	4.71		179	6.19					2890
	SIXTH						28	20.59		45	33.09		16	11.76									Excluded		47	34.56					136
		TOTAL					995	34.43		215	7.44		1454	50.31											226	7.82					2890
	SEVENTH						105	48.84			Excluded		48	22.33											62	28.84					215
		TOTAL					1100	38.06					1502	51.97											288	9.97					2890
	EIGHTH						110	38.19					178	61.81												Excluded					288
		TOTAL					1210	41.87					1680	58.13																	2890
													Elected																		
																															
PROVISIONAL																															
	FIRST			11	3.46		118	37.11		17	5.35		110	34.59		4	1.26		17	5.35		25	7.86		15	4.72		1	0.31		318
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
		TOTAL		11	3.46		118	37.11		17	5.35		110	34.59		4	1.26		17	5.35		25	7.86		16	5.03					318
	THIRD			1	25.00		1	25.00		1	25.00		1	25.00			Excluded		0	0.00		0	0.00		0	0.00					4
		TOTAL		12	3.77		119	37.42		18	5.66		111	34.91					17	5.35		25	7.86		16	5.03					318
	FOURTH				Excluded		5	41.67		2	16.67		0	0.00					2	16.67		2	16.67		1	8.33					12
		TOTAL					124	38.99		20	6.29		111	34.91					19	5.97		27	8.49		17	5.35					318
	FIFTH						1	5.26		0	0.00		7	36.84						Excluded		4	21.05		7	36.84					19
		TOTAL					125	39.31		20	6.29		118	37.11								31	9.75		24	7.55					318
	SIXTH						5	16.13		13	41.94		3	9.68									Excluded		10	32.26					31
		TOTAL					130	40.88		33	10.38		121	38.05											34	10.69					318
	SEVENTH						11	33.33			Excluded		9	27.27											13	39.39					33
		TOTAL					141	44.34					130	40.88											47	14.78					318
	EIGHTH						24	51.06					23	48.94												Excluded					47
		TOTAL					165	51.89					153	48.11																	318
													Elected																		
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
