House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Herbert																							
					WEIL			HOOLIHAN			BOWN			HILL			LINDSAY			GODDARD			
	FOURTH				Excluded					30	51.72		14	24.14		14	24.14					58	
		TOTAL								108	12.69		463	54.41		280	32.90					851	
	FIFTH										Excluded		65	60.19		43	39.81					108	
		TOTAL											528	62.04		323	37.96					851	
																Elected							
																							
Townsville West                                                																							
	FIRST			45	5.60		31	3.86		79	9.83		276	34.33		334	41.54		39	4.85		804	
	SECOND			1	2.56		19	48.72		10	25.64		4	10.26		5	12.82			Excluded		39	
		TOTAL		46	5.72		50	6.22		89	11.07		280	34.83		339	42.16					804	
	THIRD			4	8.00			Excluded		22	44.00		17	34.00		7	14.00					50	
		TOTAL		50	6.22					111	13.81		297	36.94		346	43.03					804	
	FOURTH				Excluded					30	60.00		8	16.00		12	24.00					50	
		TOTAL								141	17.54		305	37.94		358	44.53					804	
	FIFTH										Excluded		77	54.61		64	45.39					141	
		TOTAL											382	47.51		422	52.49					804	
																Elected							
																							
Vincent                                                        																							
	FIRST			134	8.15		42	2.55		163	9.91		645	39.21		631	38.36		30	1.82		1645	
	SECOND			2	6.67		13	43.33		6	20.00		6	20.00		3	10.00			Excluded		30	
		TOTAL		136	8.27		55	3.34		169	10.27		651	39.57		634	38.54					1645	
	THIRD			5	9.09			Excluded		17	30.91		24	43.64		9	16.36					55	
		TOTAL		141	8.57					186	11.31		675	41.03		643	39.09					1645	
	FOURTH				Excluded					88	62.41		23	16.31		30	21.28					141	
		TOTAL								274	16.66		698	42.43		673	40.91					1645	
	FIFTH										Excluded		160	58.39		114	41.61					274	
		TOTAL											858	52.16		787	47.84					1645	
																Elected							
																							
Willows                                                        																							
	FIRST			62	3.62		15	0.88		171	9.98		543	31.70		902	52.66		20	1.17		1713	
	SECOND			3	15.00		6	30.00		4	20.00		3	15.00		4	20.00			Excluded		20	
		TOTAL		65	3.79		21	1.23		175	10.22		546	31.87		906	52.89					1713	
	THIRD			2	9.52			Excluded		5	23.81		11	52.38		3	14.29					21	
		TOTAL		67	3.91					180	10.51		557	32.52		909	53.06					1713	
	FOURTH				Excluded					30	44.78		15	22.39		22	32.84					67	
		TOTAL								210	12.26		572	33.39		931	54.35					1713	
	FIFTH										Excluded		97	46.19		113	53.81					210	
		TOTAL											669	39.05		1044	60.95					1713	
																Elected							
																							
Woodstock                                                      																							
	FIRST			79	20.90		2	0.53		26	6.88		108	28.57		156	41.27		7	1.85		378	
	SECOND			0	0.00		3	42.86		0	0.00		4	57.14		0	0.00			Excluded		7	
		TOTAL		79	20.90		5	1.32		26	6.88		112	29.63		156	41.27					378	
	THIRD			0	0.00			Excluded		3	60.00		2	40.00		0	0.00					5	
		TOTAL		79	20.90					29	7.67		114	30.16		156	41.27					378	
	FOURTH				Excluded					55	69.62		11	13.92		13	16.46					79	
		TOTAL								84	22.22		125	33.07		169	44.71					378	
	FIFTH										Excluded		57	67.86		27	32.14					84	
		TOTAL											182	48.15		196	51.85					378	
																Elected							
																							
Wulguru                                                        																							
	FIRST			237	8.25		68	2.37		214	7.45		1214	42.26		1082	37.66		58	2.02		2873	
	SECOND			6	10.34		19	32.76		11	18.97		15	25.86		7	12.07			Excluded		58	
		TOTAL		243	8.46		87	3.03		225	7.83		1229	42.78		1089	37.90					2873	
	THIRD			7	8.05			Excluded		22	25.29		45	51.72		13	14.94					87	
		TOTAL		250	8.70					247	8.60		1274	44.34		1102	38.36					2873	
	FOURTH				Excluded					145	58.00		47	18.80		58	23.20					250	
		TOTAL								392	13.64		1321	45.98		1160	40.38					2873	
	FIFTH										Excluded		238	60.71		154	39.29					392	
		TOTAL											1559	54.26		1314	45.74					2873	
																Elected							
																							
Special Hospital Team 1                                        																							
	FIRST			7	4.52		2	1.29		8	5.16		66	42.58		71	45.81		1	0.65		155	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		7	4.52		2	1.29		8	5.16		67	43.23		71	45.81					155	
	THIRD			1	50.00			Excluded		0	0.00		1	50.00		0	0.00					2	
		TOTAL		8	5.16					8	5.16		68	43.87		71	45.81					155	
	FOURTH				Excluded					5	62.50		1	12.50		2	25.00					8	
		TOTAL								13	8.39		69	44.52		73	47.10					155	
	FIFTH										Excluded		6	46.15		7	53.85					13	
		TOTAL											75	48.39		80	51.61					155	
																Elected							
																							
Special Hospital Team 2                                        																							
	FIRST			11	6.08		3	1.66		3	1.66		75	41.44		89	49.17		0	0.00		181	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		11	6.08		3	1.66		3	1.66		75	41.44		89	49.17					181	
	THIRD			1	33.33			Excluded		1	33.33		1	33.33		0	0.00					3	
		TOTAL		12	6.63					4	2.21		76	41.99		89	49.17					181	
	FOURTH				Excluded					6	50.00		3	25.00		3	25.00					12	
		TOTAL								10	5.52		79	43.65		92	50.83					181	
	FIFTH										Excluded		8	80.00		2	20.00					10	
		TOTAL											87	48.07		94	51.93					181	
																Elected							
																							
ABSENT																							
	FIRST			335	9.50		160	4.54		209	5.92		1173	33.25		1508	42.74		143	4.05		3528	
	SECOND			11	7.69		33	23.08		30	20.98		50	34.97		19	13.29			Excluded		143	
		TOTAL		346	9.81		193	5.47		239	6.77		1223	34.67		1527	43.28					3528	
	THIRD			22	11.40			Excluded		62	32.12		82	42.49		27	13.99					193	
		TOTAL		368	10.43					301	8.53		1305	36.99		1554	44.05					3528	
	FOURTH				Excluded					184	50.00		82	22.28		102	27.72					368	
		TOTAL								485	13.75		1387	39.31		1656	46.94					3528	
	FIFTH										Excluded		275	56.70		210	43.30					485	
		TOTAL											1662	47.11		1866	52.89					3528	
																Elected							
																							
POSTAL																							
	FIRST			234	6.87		94	2.76		190	5.58		1190	34.93		1642	48.19		57	1.67		3407	
	SECOND			4	7.02		24	42.11		12	21.05		13	22.81		4	7.02			Excluded		57	
		TOTAL		238	6.99		118	3.46		202	5.93		1203	35.31		1646	48.31					3407	
	THIRD			12	10.17			Excluded		35	29.66		53	44.92		18	15.25					118	
		TOTAL		250	7.34					237	6.96		1256	36.87		1664	48.84					3407	
	FOURTH				Excluded					142	56.80		32	12.80		76	30.40					250	
		TOTAL								379	11.12		1288	37.80		1740	51.07					3407	
	FIFTH										Excluded		194	51.19		185	48.81					379	
		TOTAL											1482	43.50		1925	56.50					3407	
																Elected							
																							
PRE POLL																							
	FIRST			310	6.82		153	3.37		402	8.85		1195	26.30		2345	51.61		139	3.06		4544	
	SECOND			12	8.63		49	35.25		22	15.83		31	22.30		25	17.99			Excluded		139	
		TOTAL		322	7.09		202	4.45		424	9.33		1226	26.98		2370	52.16					4544	
	THIRD			9	4.46			Excluded		61	30.20		90	44.55		42	20.79					202	
		TOTAL		331	7.28					485	10.67		1316	28.96		2412	53.08					4544	
	FOURTH				Excluded					158	47.73		64	19.34		109	32.93					331	
		TOTAL								643	14.15		1380	30.37		2521	55.48					4544	
	FIFTH										Excluded		313	48.68		330	51.32					643	
		TOTAL											1693	37.26		2851	62.74					4544	
																Elected							
																							
PROVISIONAL																							
	FIRST			91	10.09		28	3.10		84	9.31		364	40.35		292	32.37		43	4.77		902	
	SECOND			7	16.28		8	18.60		7	16.28		13	30.23		8	18.60			Excluded		43	
		TOTAL		98	10.86		36	3.99		91	10.09		377	41.80		300	33.26					902	
	THIRD			1	2.78			Excluded		9	25.00		18	50.00		8	22.22					36	
		TOTAL		99	10.98					100	11.09		395	43.79		308	34.15					902	
	FOURTH				Excluded					67	67.68		15	15.15		17	17.17					99	
		TOTAL								167	18.51		410	45.45		325	36.03					902	
	FIFTH										Excluded		96	57.49		71	42.51					167	
		TOTAL											506	56.10		396	43.90					902	
																Elected							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
