House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Kennedy																										
				WALL			RIVAS			NEILAN			LYLE			HARRIS			KATTER			BURNETT				
		TOTAL		2	0.72		12	4.35		66	23.91		30	10.87					143	51.81		23	8.33		276	
	THIRD			7	58.33			Excluded		2	16.67		1	8.33					2	16.67		0	0.00		12	
		TOTAL		9	3.26					68	24.64		31	11.23					145	52.54		23	8.33		276	
	FOURTH				Excluded					7	77.78		0	0.00					1	11.11		1	11.11		9	
		TOTAL								75	27.17		31	11.23					146	52.90		24	8.70		276	
	FIFTH									2	8.33		2	8.33					20	83.33			Excluded		24	
		TOTAL								77	27.90		33	11.96					166	60.14					276	
	SIXTH									1	3.03			Excluded					32	96.97					33	
		TOTAL								78	28.26								198	71.74					276	
																			Elected							
																										
Forrest Beach                                                  																										
	FIRST			13	2.23		14	2.40		130	22.30		87	14.92		4	0.69		275	47.17		60	10.29		583	
	SECOND			2	50.00		1	25.00		0	0.00		1	25.00			Excluded		0	0.00		0	0.00		4	
		TOTAL		15	2.57		15	2.57		130	22.30		88	15.09					275	47.17		60	10.29		583	
	THIRD			8	53.33			Excluded		3	20.00		2	13.33					2	13.33		0	0.00		15	
		TOTAL		23	3.95					133	22.81		90	15.44					277	47.51		60	10.29		583	
	FOURTH				Excluded					17	73.91		2	8.70					2	8.70		2	8.70		23	
		TOTAL								150	25.73		92	15.78					279	47.86		62	10.63		583	
	FIFTH									6	9.68		5	8.06					51	82.26			Excluded		62	
		TOTAL								156	26.76		97	16.64					330	56.60					583	
	SIXTH									8	8.25			Excluded					89	91.75					97	
		TOTAL								164	28.13								419	71.87					583	
																			Elected							
																										
Forsayth                                                       																										
	FIRST			0	0.00		0	0.00		10	13.89		16	22.22		0	0.00		35	48.61		11	15.28		72	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		10	13.89		16	22.22					35	48.61		11	15.28		72	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		0	0.00					10	13.89		16	22.22					35	48.61		11	15.28		72	
	FOURTH				Excluded					0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL								10	13.89		16	22.22					35	48.61		11	15.28		72	
	FIFTH									0	0.00		1	9.09					10	90.91			Excluded		11	
		TOTAL								10	13.89		17	23.61					45	62.50					72	
	SIXTH									2	11.76			Excluded					15	88.24					17	
		TOTAL								12	16.67								60	83.33					72	
																			Elected							
																										
Garradunga                                                     																										
	FIRST			9	3.67		4	1.63		31	12.65		35	14.29		1	0.41		143	58.37		22	8.98		245	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		9	3.67		4	1.63		31	12.65		36	14.69					143	58.37		22	8.98		245	
	THIRD			3	75.00			Excluded		0	0.00		1	25.00					0	0.00		0	0.00		4	
		TOTAL		12	4.90					31	12.65		37	15.10					143	58.37		22	8.98		245	
	FOURTH				Excluded					5	41.67		3	25.00					3	25.00		1	8.33		12	
		TOTAL								36	14.69		40	16.33					146	59.59		23	9.39		245	
	FIFTH									0	0.00		0	0.00					23	100.00			Excluded		23	
		TOTAL								36	14.69		40	16.33					169	68.98					245	
	SIXTH									8	20.00			Excluded					32	80.00					40	
		TOTAL								44	17.96								201	82.04					245	
																			Elected							
																										
Georgetown                                                     																										
	FIRST			2	1.42		1	0.71		17	12.06		26	18.44		0	0.00		76	53.90		19	13.48		141	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	1.42		1	0.71		17	12.06		26	18.44					76	53.90		19	13.48		141	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		1	
		TOTAL		2	1.42					17	12.06		26	18.44					77	54.61		19	13.48		141	
	FOURTH				Excluded					2	100.00		0	0.00					0	0.00		0	0.00		2	
		TOTAL								19	13.48		26	18.44					77	54.61		19	13.48		141	
	FIFTH									0	0.00		3	15.79					16	84.21			Excluded		19	
		TOTAL								19	13.48		29	20.57					93	65.96					141	
	SIXTH									3	10.34			Excluded					26	89.66					29	
		TOTAL								22	15.60								119	84.40					141	
																			Elected							
																										
Goondi                                                         																										
	FIRST			10	0.95		9	0.85		281	26.64		156	14.79		3	0.28		500	47.39		96	9.10		1055	
	SECOND			1	33.33		0	0.00		1	33.33		0	0.00			Excluded		1	33.33		0	0.00		3	
		TOTAL		11	1.04		9	0.85		282	26.73		156	14.79					501	47.49		96	9.10		1055	
	THIRD			4	44.44			Excluded		3	33.33		1	11.11					1	11.11		0	0.00		9	
		TOTAL		15	1.42					285	27.01		157	14.88					502	47.58		96	9.10		1055	
	FOURTH				Excluded					11	73.33		1	6.67					2	13.33		1	6.67		15	
		TOTAL								296	28.06		158	14.98					504	47.77		97	9.19		1055	
	FIFTH									13	13.40		8	8.25					76	78.35			Excluded		97	
		TOTAL								309	29.29		166	15.73					580	54.98					1055	
	SIXTH									21	12.65			Excluded					145	87.35					166	
		TOTAL								330	31.28								725	68.72					1055	
																			Elected							
																										
Gordonvale                                                     																										
	FIRST			135	5.36		53	2.10		659	26.15		421	16.71		10	0.40		967	38.37		275	10.91		2520	
	SECOND			1	10.00		1	10.00		1	10.00		2	20.00			Excluded		3	30.00		2	20.00		10	
		TOTAL		136	5.40		54	2.14		660	26.19		423	16.79					970	38.49		277	10.99		2520	
	THIRD			25	46.30			Excluded		11	20.37		6	11.11					7	12.96		5	9.26		54	
		TOTAL		161	6.39					671	26.63		429	17.02					977	38.77		282	11.19		2520	
	FOURTH				Excluded					77	47.83		39	24.22					30	18.63		15	9.32		161	
		TOTAL								748	29.68		468	18.57					1007	39.96		297	11.79		2520	
	FIFTH									43	14.48		21	7.07					233	78.45			Excluded		297	
		TOTAL								791	31.39		489	19.40					1240	49.21					2520	
	SIXTH									86	17.59			Excluded					403	82.41					489	
		TOTAL								877	34.80								1643	65.20					2520	
																			Elected							
																										
Greenvale                                                      																										
	FIRST			2	2.47		0	0.00		12	14.81		16	19.75		0	0.00		35	43.21		16	19.75		81	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	2.47		0	0.00		12	14.81		16	19.75					35	43.21		16	19.75		81	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		2	2.47					12	14.81		16	19.75					35	43.21		16	19.75		81	
	FOURTH				Excluded					0	0.00		1	50.00					0	0.00		1	50.00		2	
		TOTAL								12	14.81		17	20.99					35	43.21		17	20.99		81	
	FIFTH									4	23.53		2	11.76					11	64.71			Excluded		17	
		TOTAL								16	19.75		19	23.46					46	56.79					81	
	SIXTH									6	31.58			Excluded					13	68.42					19	
		TOTAL								22	27.16								59	72.84					81	
																			Elected							
																										
Halifax                                                        																										
	FIRST			8	1.34		5	0.84		206	34.45		67	11.20		3	0.50		258	43.14		51	8.53		598	
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33			Excluded		1	33.33		0	0.00		3	
		TOTAL		8	1.34		5	0.84		207	34.62		68	11.37					259	43.31		51	8.53		598	
	THIRD			1	20.00			Excluded		1	20.00		1	20.00					1	20.00		1	20.00		5	
		TOTAL		9	1.51					208	34.78		69	11.54					260	43.48		52	8.70		598	
	FOURTH				Excluded					1	11.11		3	33.33					2	22.22		3	33.33		9	
		TOTAL								209	34.95		72	12.04					262	43.81		55	9.20		598	
	FIFTH									5	9.09		2	3.64					48	87.27			Excluded		55	
		TOTAL								214	35.79		74	12.37					310	51.84					598	
	SIXTH									13	17.57			Excluded					61	82.43					74	
		TOTAL								227	37.96								371	62.04					598	
																			Elected							
																										
Happy Valley                                                   																										
	FIRST			32	3.73		20	2.33		266	31.04		171	19.95		1	0.12		292	34.07		75	8.75		857	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		33	3.85		20	2.33		266	31.04		171	19.95					292	34.07		75	8.75		857	
	THIRD			8	40.00			Excluded		4	20.00		4	20.00					2	10.00		2	10.00		20	
		TOTAL		41	4.78					270	31.51		175	20.42					294	34.31		77	8.98		857	
	FOURTH				Excluded					15	36.59		12	29.27					8	19.51		6	14.63		41	
		TOTAL								285	33.26		187	21.82					302	35.24		83	9.68		857	
	FIFTH									18	21.69		14	16.87					51	61.45			Excluded		83	
		TOTAL								303	35.36		201	23.45					353	41.19					857	
	SIXTH									44	21.89			Excluded					157	78.11					201	
		TOTAL								347	40.49								510	59.51					857	
																			Elected							
																										
Hawkins Creek                                                  																										
	FIRST			5	3.09		2	1.23		13	8.02		28	17.28		0	0.00		107	66.05		7	4.32		162	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		5	3.09		2	1.23		13	8.02		28	17.28					107	66.05		7	4.32		162	
	THIRD			0	0.00			Excluded		1	50.00		0	0.00					0	0.00		1	50.00		2	
		TOTAL		5	3.09					14	8.64		28	17.28					107	66.05		8	4.94		162	
	FOURTH				Excluded					2	40.00		2	40.00					0	0.00		1	20.00		5	
		TOTAL								16	9.88		30	18.52					107	66.05		9	5.56		162	
	FIFTH									3	33.33		2	22.22					4	44.44			Excluded		9	
		TOTAL								19	11.73		32	19.75					111	68.52					162	
	SIXTH									3	9.38			Excluded					29	90.63					32	
		TOTAL								22	13.58								140	86.42					162	
																			Elected							
																										
Healy                                                          																										
	FIRST			62	5.35		21	1.81		351	30.28		201	17.34		3	0.26		409	35.29		112	9.66		1159	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		1	33.33		3	
		TOTAL		62	5.35		21	1.81		351	30.28		202	17.43					410	35.38		113	9.75		1159	
	THIRD			9	42.86			Excluded		3	14.29		2	9.52					5	23.81		2	9.52		21	
		TOTAL		71	6.13					354	30.54		204	17.60					415	35.81		115	9.92		1159	
	FOURTH				Excluded					31	43.66		17	23.94					20	28.17		3	4.23		71	
		TOTAL								385	33.22		221	19.07					435	37.53		118	10.18		1159	
	FIFTH									23	19.49		19	16.10					76	64.41			Excluded		118	
		TOTAL								408	35.20		240	20.71					511	44.09					1159	
	SIXTH									67	27.92			Excluded					173	72.08					240	
		TOTAL								475	40.98								684	59.02					1159	
																			Elected							
																										
Herberton                                                      																										
	FIRST			17	2.85		30	5.03		157	26.34		56	9.40		1	0.17		259	43.46		76	12.75		596	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		18	3.02		30	5.03		157	26.34		56	9.40					259	43.46		76	12.75		596	
	THIRD			17	56.67			Excluded		10	33.33		0	0.00					3	10.00		0	0.00		30	
		TOTAL		35	5.87					167	28.02		56	9.40					262	43.96		76	12.75		596	
	FOURTH				Excluded					23	65.71		5	14.29					3	8.57		4	11.43		35	
		TOTAL								190	31.88		61	10.23					265	44.46		80	13.42		596	
	FIFTH									6	7.50		11	13.75					63	78.75			Excluded		80	
		TOTAL								196	32.89		72	12.08					328	55.03					596	
	SIXTH									9	12.50			Excluded					63	87.50					72	
		TOTAL								205	34.40								391	65.60					596	
																			Elected							
																										
Homestead                                                      																										
	FIRST			0	0.00		0	0.00		25	35.71		4	5.71		0	0.00		31	44.29		10	14.29		70	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		25	35.71		4	5.71					31	44.29		10	14.29		70	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		0	0.00					25	35.71		4	5.71					31	44.29		10	14.29		70	
	FOURTH				Excluded					0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL								25	35.71		4	5.71					31	44.29		10	14.29		70	
	FIFTH									0	0.00		1	10.00					9	90.00			Excluded		10	
		TOTAL								25	35.71		5	7.14					40	57.14					70	
	SIXTH									1	20.00			Excluded					4	80.00					5	
		TOTAL								26	37.14								44	62.86					70	
																			Elected							
																										
Hughenden                                                      																										
	FIRST			8	1.17		5	0.73		220	32.21		77	11.27		1	0.15		284	41.58		88	12.88		683	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		9	1.32		5	0.73		220	32.21		77	11.27					284	41.58		88	12.88		683	
	THIRD			3	60.00			Excluded		1	20.00		0	0.00					1	20.00		0	0.00		5	
		TOTAL		12	1.76					221	32.36		77	11.27					285	41.73		88	12.88		683	
	FOURTH				Excluded					8	66.67		1	8.33					3	25.00		0	0.00		12	
		TOTAL								229	33.53		78	11.42					288	42.17		88	12.88		683	
	FIFTH									13	14.77		2	2.27					73	82.95			Excluded		88	
		TOTAL								242	35.43		80	11.71					361	52.86					683	
	SIXTH									13	16.25			Excluded					67	83.75					80	
		TOTAL								255	37.34								428	62.66					683	
																			Elected							
																										
Ingham                                                         																										
	FIRST			50	2.66		20	1.07		479	25.52		249	13.27		6	0.32		873	46.51		200	10.66		1877	
	SECOND			1	16.67		0	0.00		1	16.67		0	0.00			Excluded		2	33.33		2	33.33		6	
		TOTAL		51	2.72		20	1.07		480	25.57		249	13.27					875	46.62		202	10.76		1877	
	THIRD			8	40.00			Excluded		5	25.00		2	10.00					1	5.00		4	20.00		20	
		TOTAL		59	3.14					485	25.84		251	13.37					876	46.67		206	10.97		1877	
	FOURTH				Excluded					37	62.71		12	20.34					7	11.86		3	5.08		59	
		TOTAL								522	27.81		263	14.01					883	47.04		209	11.13		1877	
	FIFTH									25	11.96		16	7.66					168	80.38			Excluded		209	
		TOTAL								547	29.14		279	14.86					1051	55.99					1877	
	SIXTH									40	14.34			Excluded					239	85.66					279	
		TOTAL								587	31.27								1290	68.73					1877	
																			Elected							
																										
Ingham Hospital                                                																										
	FIRST			28	2.42		6	0.52		321	27.77		185	16.00		2	0.17		539	46.63		75	6.49		1156	
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		28	2.42		7	0.61		321	27.77		186	16.09					539	46.63		75	6.49		1156	
	THIRD			4	57.14			Excluded		0	0.00		0	0.00					3	42.86		0	0.00		7	
		TOTAL		32	2.77					321	27.77		186	16.09					542	46.89		75	6.49		1156	
	FOURTH				Excluded					25	78.13		3	9.38					3	9.38		1	3.13		32	
		TOTAL								346	29.93		189	16.35					545	47.15		76	6.57		1156	
	FIFTH									12	15.79		4	5.26					60	78.95			Excluded		76	
		TOTAL								358	30.97		193	16.70					605	52.34					1156	
	SIXTH									23	11.92			Excluded					170	88.08					193	
		TOTAL								381	32.96								775	67.04					1156	
																			Elected							
																										
Innisfail                                                      																										
	FIRST			46	2.37		43	2.22		569	29.31		229	11.80		5	0.26		929	47.86		120	6.18		1941	
	SECOND			0	0.00		0	0.00		0	0.00		1	20.00			Excluded		2	40.00		2	40.00		5	
		TOTAL		46	2.37		43	2.22		569	29.31		230	11.85					931	47.96		122	6.29		1941	
	THIRD			21	48.84			Excluded		9	20.93		4	9.30					6	13.95		3	6.98		43	
		TOTAL		67	3.45					578	29.78		234	12.06					937	48.27		125	6.44		1941	
	FOURTH				Excluded					33	49.25		17	25.37					15	22.39		2	2.99		67	
		TOTAL								611	31.48		251	12.93					952	49.05		127	6.54		1941	
	FIFTH									10	7.87		18	14.17					99	77.95			Excluded		127	
		TOTAL								621	31.99		269	13.86					1051	54.15					1941	
	SIXTH									52	19.33			Excluded					217	80.67					269	
		TOTAL								673	34.67								1268	65.33					1941	
																			Elected							
																										
Innisfail East                                                 																										
	FIRST			27	2.27		14	1.18		331	27.79		136	11.42		0	0.00		577	48.45		106	8.90		1191	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		27	2.27		14	1.18		331	27.79		136	11.42					577	48.45		106	8.90		1191	
	THIRD			7	50.00			Excluded		4	28.57		1	7.14					1	7.14		1	7.14		14	
		TOTAL		34	2.85					335	28.13		137	11.50					578	48.53		107	8.98		1191	
	FOURTH				Excluded					18	52.94		9	26.47					7	20.59		0	0.00		34	
		TOTAL								353	29.64		146	12.26					585	49.12		107	8.98		1191	
	FIFTH									14	13.08		7	6.54					86	80.37			Excluded		107	
		TOTAL								367	30.81		153	12.85					671	56.34					1191	
	SIXTH									31	20.26			Excluded					122	79.74					153	
		TOTAL								398	33.42								793	66.58					1191	
																			Elected							
																										
Innisfail Hospital                                             																										
	FIRST			13	2.06		6	0.95		170	26.98		79	12.54		3	0.48		322	51.11		37	5.87		630	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33			Excluded		2	66.67		0	0.00		3	
		TOTAL		13	2.06		6	0.95		170	26.98		80	12.70					324	51.43		37	5.87		630	
	THIRD			1	16.67			Excluded		3	50.00		0	0.00					2	33.33		0	0.00		6	
		TOTAL		14	2.22					173	27.46		80	12.70					326	51.75		37	5.87		630	
	FOURTH				Excluded					7	50.00		3	21.43					2	14.29		2	14.29		14	
		TOTAL								180	28.57		83	13.17					328	52.06		39	6.19		630	
	FIFTH									7	17.95		4	10.26					28	71.79			Excluded		39	
		TOTAL								187	29.68		87	13.81					356	56.51					630	
	SIXTH									16	18.39			Excluded					71	81.61					87	
		TOTAL								203	32.22								427	67.78					630	
																			Elected							
																										
Innot Hot Springs                                              																										
	FIRST			0	0.00		9	6.25		21	14.58		12	8.33		0	0.00		76	52.78		26	18.06		144	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		9	6.25		21	14.58		12	8.33					76	52.78		26	18.06		144	
	THIRD			5	55.56			Excluded		3	33.33		0	0.00					1	11.11		0	0.00		9	
		TOTAL		5	3.47					24	16.67		12	8.33					77	53.47		26	18.06		144	
	FOURTH				Excluded					4	80.00		0	0.00					1	20.00		0	0.00		5	
		TOTAL								28	19.44		12	8.33					78	54.17		26	18.06		144	
	FIFTH									0	0.00		2	7.69					24	92.31			Excluded		26	
		TOTAL								28	19.44		14	9.72					102	70.83					144	
	SIXTH									2	14.29			Excluded					12	85.71					14	
		TOTAL								30	20.83								114	79.17					144	
																			Elected							
																										
Irvinebank                                                     																										
	FIRST			1	1.47		3	4.41		21	30.88		1	1.47		0	0.00		38	55.88		4	5.88		68	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		1	1.47		3	4.41		21	30.88		1	1.47					38	55.88		4	5.88		68	
	THIRD			0	0.00			Excluded		2	66.67		0	0.00					0	0.00		1	33.33		3	
		TOTAL		1	1.47					23	33.82		1	1.47					38	55.88		5	7.35		68	
	FOURTH				Excluded					1	100.00		0	0.00					0	0.00		0	0.00		1	
		TOTAL								24	35.29		1	1.47					38	55.88		5	7.35		68	
	FIFTH									1	20.00		0	0.00					4	80.00			Excluded		5	
		TOTAL								25	36.76		1	1.47					42	61.76					68	
	SIXTH									0	0.00			Excluded					1	100.00					1	
		TOTAL								25	36.76								43	63.24					68	
																			Elected							
																										
Julia Creek                                                    																										
	FIRST			4	1.55		4	1.55		36	13.95		52	20.16		1	0.39		141	54.65		20	7.75		258	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		4	1.55		4	1.55		36	13.95		52	20.16					142	55.04		20	7.75		258	
	THIRD			1	25.00			Excluded		2	50.00		1	25.00					0	0.00		0	0.00		4	
		TOTAL		5	1.94					38	14.73		53	20.54					142	55.04		20	7.75		258	
	FOURTH				Excluded					2	40.00		1	20.00					2	40.00		0	0.00		5	
		TOTAL								40	15.50		54	20.93					144	55.81		20	7.75		258	
	FIFTH									3	15.00		4	20.00					13	65.00			Excluded		20	
		TOTAL								43	16.67		58	22.48					157	60.85					258	
	SIXTH									3	5.17			Excluded					55	94.83					58	
		TOTAL								46	17.83								212	82.17					258	
																			Elected							
																										
Kairi                                                          																										
	FIRST			12	2.86		7	1.67		55	13.13		69	16.47		0	0.00		231	55.13		45	10.74		419	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		12	2.86		7	1.67		55	13.13		69	16.47					231	55.13		45	10.74		419	
	THIRD			4	57.14			Excluded		3	42.86		0	0.00					0	0.00		0	0.00		7	
		TOTAL		16	3.82					58	13.84		69	16.47					231	55.13		45	10.74		419	
	FOURTH				Excluded					13	81.25		0	0.00					1	6.25		2	12.50		16	
		TOTAL								71	16.95		69	16.47					232	55.37		47	11.22		419	
	FIFTH									3	6.38		5	10.64					39	82.98			Excluded		47	
		TOTAL								74	17.66		74	17.66					271	64.68					419	
	SIXTH									7	9.46			Excluded					67	90.54					74	
		TOTAL								81	19.33								338	80.67					419	
																			Elected							
																										
Kalkadoon                                                      																										
	FIRST			34	5.15		16	2.42		253	38.33		83	12.58		2	0.30		232	35.15		40	6.06		660	
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		34	5.15		17	2.58		253	38.33		84	12.73					232	35.15		40	6.06		660	
	THIRD			8	47.06			Excluded		3	17.65		0	0.00					3	17.65		3	17.65		17	
		TOTAL		42	6.36					256	38.79		84	12.73					235	35.61		43	6.52		660	
	FOURTH				Excluded					25	59.52		9	21.43					8	19.05		0	0.00		42	
		TOTAL								281	42.58		93	14.09					243	36.82		43	6.52		660	
	FIFTH									12	27.91		4	9.30					27	62.79			Excluded		43	
		TOTAL								293	44.39		97	14.70					270	40.91					660	
	SIXTH									8	8.25			Excluded					89	91.75					97	
		TOTAL								301	45.61								359	54.39					660	
																			Elected							
																										
Karumba                                                        																										
	FIRST			13	5.00		5	1.92		42	16.15		31	11.92		1	0.38		118	45.38		50	19.23		260	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		13	5.00		5	1.92		42	16.15		31	11.92					119	45.77		50	19.23		260	
	THIRD			5	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		5	
		TOTAL		18	6.92					42	16.15		31	11.92					119	45.77		50	19.23		260	
	FOURTH				Excluded					7	38.89		6	33.33					5	27.78		0	0.00		18	
		TOTAL								49	18.85		37	14.23					124	47.69		50	19.23		260	
	FIFTH									5	10.00		9	18.00					36	72.00			Excluded		50	
		TOTAL								54	20.77		46	17.69					160	61.54					260	
	SIXTH									7	15.22			Excluded					39	84.78					46	
		TOTAL								61	23.46								199	76.54					260	
																			Elected							
																										
Kennedy                                                        																										
	FIRST			5	2.26		4	1.81		29	13.12		34	15.38		0	0.00		123	55.66		26	11.76		221	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		5	2.26		4	1.81		29	13.12		34	15.38					123	55.66		26	11.76		221	
	THIRD			3	75.00			Excluded		0	0.00		0	0.00					1	25.00		0	0.00		4	
		TOTAL		8	3.62					29	13.12		34	15.38					124	56.11		26	11.76		221	
	FOURTH				Excluded					6	75.00		0	0.00					2	25.00		0	0.00		8	
		TOTAL								35	15.84		34	15.38					126	57.01		26	11.76		221	
	FIFTH									1	3.85		1	3.85					24	92.31			Excluded		26	
		TOTAL								36	16.29		35	15.84					150	67.87					221	
	SIXTH									1	2.86			Excluded					34	97.14					35	
		TOTAL								37	16.74								184	83.26					221	
																			Elected							
																										
Kurrimine Beach                                                																										
	FIRST			4	0.98		6	1.46		76	18.54		57	13.90		1	0.24		227	55.37		39	9.51		410	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		4	0.98		7	1.71		76	18.54		57	13.90					227	55.37		39	9.51		410	
	THIRD			3	42.86			Excluded		0	0.00		2	28.57					1	14.29		1	14.29		7	
		TOTAL		7	1.71					76	18.54		59	14.39					228	55.61		40	9.76		410	
	FOURTH				Excluded					5	71.43		0	0.00					1	14.29		1	14.29		7	
		TOTAL								81	19.76		59	14.39					229	55.85		41	10.00		410	
	FIFTH									1	2.44		6	14.63					34	82.93			Excluded		41	
		TOTAL								82	20.00		65	15.85					263	64.15					410	
	SIXTH									4	6.15			Excluded					61	93.85					65	
		TOTAL								86	20.98								324	79.02					410	
																			Elected							
																										
Long Pocket                                                    																										
	FIRST			1	0.61		1	0.61		14	8.54		22	13.41		0	0.00		106	64.63		20	12.20		164	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		1	0.61		1	0.61		14	8.54		22	13.41					106	64.63		20	12.20		164	
	THIRD			1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1	
		TOTAL		2	1.22					14	8.54		22	13.41					106	64.63		20	12.20		164	
	FOURTH				Excluded					2	100.00		0	0.00					0	0.00		0	0.00		2	
		TOTAL								16	9.76		22	13.41					106	64.63		20	12.20		164	
	FIFTH									1	5.00		3	15.00					16	80.00			Excluded		20	
		TOTAL								17	10.37		25	15.24					122	74.39					164	
	SIXTH									3	12.00			Excluded					22	88.00					25	
		TOTAL								20	12.20								144	87.80					164	
																			Elected							
																										
Lower Tully                                                    																										
	FIRST			10	2.67		4	1.07		42	11.23		54	14.44		2	0.53		230	61.50		32	8.56		374	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		0	0.00		2	
		TOTAL		10	2.67		4	1.07		43	11.50		54	14.44					231	61.76		32	8.56		374	
	THIRD			3	75.00			Excluded		1	25.00		0	0.00					0	0.00		0	0.00		4	
		TOTAL		13	3.48					44	11.76		54	14.44					231	61.76		32	8.56		374	
	FOURTH				Excluded					5	38.46		2	15.38					5	38.46		1	7.69		13	
		TOTAL								49	13.10		56	14.97					236	63.10		33	8.82		374	
	FIFTH									4	12.12		2	6.06					27	81.82			Excluded		33	
		TOTAL								53	14.17		58	15.51					263	70.32					374	
	SIXTH									6	10.34			Excluded					52	89.66					58	
		TOTAL								59	15.78								315	84.22					374	
																			Elected							
																										
Lucinda                                                        																										
	FIRST			2	0.64		2	0.64		63	20.13		46	14.70		0	0.00		154	49.20		46	14.70		313	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	0.64		2	0.64		63	20.13		46	14.70					154	49.20		46	14.70		313	
	THIRD			0	0.00			Excluded		1	50.00		0	0.00					0	0.00		1	50.00		2	
		TOTAL		2	0.64					64	20.45		46	14.70					154	49.20		47	15.02		313	
	FOURTH				Excluded					1	50.00		0	0.00					0	0.00		1	50.00		2	
		TOTAL								65	20.77		46	14.70					154	49.20		48	15.34		313	
	FIFTH									4	8.33		4	8.33					40	83.33			Excluded		48	
		TOTAL								69	22.04		50	15.97					194	61.98					313	
	SIXTH									6	12.00			Excluded					44	88.00					50	
		TOTAL								75	23.96								238	76.04					313	
																			Elected							
																										
Macknade                                                       																										
	FIRST			5	1.89		1	0.38		65	24.62		33	12.50		1	0.38		141	53.41		18	6.82		264	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		5	1.89		1	0.38		65	24.62		34	12.88					141	53.41		18	6.82		264	
	THIRD			0	0.00			Excluded		1	100.00		0	0.00					0	0.00		0	0.00		1	
		TOTAL		5	1.89					66	25.00		34	12.88					141	53.41		18	6.82		264	
	FOURTH				Excluded					1	20.00		0	0.00					2	40.00		2	40.00		5	
		TOTAL								67	25.38		34	12.88					143	54.17		20	7.58		264	
	FIFTH									3	15.00		5	25.00					12	60.00			Excluded		20	
		TOTAL								70	26.52		39	14.77					155	58.71					264	
	SIXTH									9	23.08			Excluded					30	76.92					39	
		TOTAL								79	29.92								185	70.08					264	
																			Elected							
																										
