House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Leichhardt																							
				EAST			ENTSCH			TREZISE			METCALFE			PUGH			SALIER				
	FIFTH				Excluded		92	60.13		61	39.87											153	
		TOTAL					944	66.86		468	33.14											1412	
							Elected																
																							
Stratford                                                      																							
	FIRST			63	6.86		462	50.27		240	26.12		101	10.99		5	0.54		48	5.22		919	
	SECOND			2	40.00		1	20.00		1	20.00		1	20.00			Excluded		0	0.00		5	
		TOTAL		65	7.07		463	50.38		241	26.22		102	11.10					48	5.22		919	
	THIRD			1	2.08		7	14.58		8	16.67		32	66.67						Excluded		48	
		TOTAL		66	7.18		470	51.14		249	27.09		134	14.58								919	
	FOURTH			10	7.46		16	11.94		108	80.60			Excluded								134	
		TOTAL		76	8.27		486	52.88		357	38.85											919	
	FIFTH				Excluded		46	60.53		30	39.47											76	
		TOTAL					532	57.89		387	42.11											919	
							Elected																
																							
Tamwoy                                                         																							
	FIRST			5	1.77		108	38.16		163	57.60		1	0.35		1	0.35		5	1.77		283	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		5	1.77		108	38.16		163	57.60		1	0.35					6	2.12		283	
	THIRD			1	16.67		0	0.00		1	16.67		4	66.67						Excluded		6	
		TOTAL		6	2.12		108	38.16		164	57.95		5	1.77								283	
	FOURTH			1	20.00		0	0.00		4	80.00			Excluded								5	
		TOTAL		7	2.47		108	38.16		168	59.36											283	
	FIFTH				Excluded		3	42.86		4	57.14											7	
		TOTAL					111	39.22		172	60.78											283	
							Elected																
																							
Thursday Island                                                																							
	FIRST			21	2.33		394	43.73		435	48.28		22	2.44		5	0.55		24	2.66		901	
	SECOND			0	0.00		0	0.00		1	20.00		1	20.00			Excluded		3	60.00		5	
		TOTAL		21	2.33		394	43.73		436	48.39		23	2.55					27	3.00		901	
	THIRD			2	7.41		8	29.63		5	18.52		12	44.44						Excluded		27	
		TOTAL		23	2.55		402	44.62		441	48.95		35	3.88								901	
	FOURTH			3	8.57		6	17.14		26	74.29			Excluded								35	
		TOTAL		26	2.89		408	45.28		467	51.83											901	
	FIFTH				Excluded		20	76.92		6	23.08											26	
		TOTAL					428	47.50		473	52.50											901	
							Elected																
																							
Trinity Beach                                                  																							
	FIRST			198	6.19		1714	53.56		946	29.56		211	6.59		17	0.53		114	3.56		3200	
	SECOND			5	29.41		4	23.53		2	11.76		2	11.76			Excluded		4	23.53		17	
		TOTAL		203	6.34		1718	53.69		948	29.63		213	6.66					118	3.69		3200	
	THIRD			5	4.24		15	12.71		39	33.05		59	50.00						Excluded		118	
		TOTAL		208	6.50		1733	54.16		987	30.84		272	8.50								3200	
	FOURTH			21	7.72		60	22.06		191	70.22			Excluded								272	
		TOTAL		229	7.16		1793	56.03		1178	36.81											3200	
	FIFTH				Excluded		122	53.28		107	46.72											229	
		TOTAL					1915	59.84		1285	40.16											3200	
							Elected																
																							
Weipa North                                                    																							
	FIRST			89	10.18		430	49.20		298	34.10		18	2.06		9	1.03		30	3.43		874	
	SECOND			3	33.33		1	11.11		1	11.11		0	0.00			Excluded		4	44.44		9	
		TOTAL		92	10.53		431	49.31		299	34.21		18	2.06					34	3.89		874	
	THIRD			3	8.82		8	23.53		9	26.47		14	41.18						Excluded		34	
		TOTAL		95	10.87		439	50.23		308	35.24		32	3.66								874	
	FOURTH			4	12.50		13	40.63		15	46.88			Excluded								32	
		TOTAL		99	11.33		452	51.72		323	36.96											874	
	FIFTH				Excluded		50	50.51		49	49.49											99	
		TOTAL					502	57.44		372	42.56											874	
							Elected																
																							
White Rock                                                     																							
	FIRST			196	9.69		1013	50.07		660	32.62		67	3.31		23	1.14		64	3.16		2023	
	SECOND			3	13.04		4	17.39		2	8.70		7	30.43			Excluded		7	30.43		23	
		TOTAL		199	9.84		1017	50.27		662	32.72		74	3.66					71	3.51		2023	
	THIRD			6	8.45		10	14.08		20	28.17		35	49.30						Excluded		71	
		TOTAL		205	10.13		1027	50.77		682	33.71		109	5.39								2023	
	FOURTH			20	18.35		25	22.94		64	58.72			Excluded								109	
		TOTAL		225	11.12		1052	52.00		746	36.88											2023	
	FIFTH				Excluded		111	49.33		114	50.67											225	
		TOTAL					1163	57.49		860	42.51											2023	
							Elected																
																							
Whitfield                                                      																							
	FIRST			137	6.33		1211	55.99		581	26.86		126	5.83		16	0.74		92	4.25		2163	
	SECOND			4	25.00		1	6.25		1	6.25		7	43.75			Excluded		3	18.75		16	
		TOTAL		141	6.52		1212	56.03		582	26.91		133	6.15					95	4.39		2163	
	THIRD			6	6.32		11	11.58		22	23.16		56	58.95						Excluded		95	
		TOTAL		147	6.80		1223	56.54		604	27.92		189	8.74								2163	
	FOURTH			16	8.47		39	20.63		134	70.90			Excluded								189	
		TOTAL		163	7.54		1262	58.34		738	34.12											2163	
	FIFTH				Excluded		92	56.44		71	43.56											163	
		TOTAL					1354	62.60		809	37.40											2163	
							Elected																
																							
Wonga Beach                                                    																							
	FIRST			61	16.09		173	45.65		122	32.19		11	2.90		2	0.53		10	2.64		379	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		61	16.09		173	45.65		122	32.19		11	2.90					12	3.17		379	
	THIRD			2	16.67		1	8.33		2	16.67		7	58.33						Excluded		12	
		TOTAL		63	16.62		174	45.91		124	32.72		18	4.75								379	
	FOURTH			4	22.22		4	22.22		10	55.56			Excluded								18	
		TOTAL		67	17.68		178	46.97		134	35.36											379	
	FIFTH				Excluded		29	43.28		38	56.72											67	
		TOTAL					207	54.62		172	45.38											379	
							Elected																
																							
Woree                                                          																							
	FIRST			358	9.20		2101	54.01		1159	29.79		108	2.78		23	0.59		141	3.62		3890	
	SECOND			2	8.70		4	17.39		1	4.35		9	39.13			Excluded		7	30.43		23	
		TOTAL		360	9.25		2105	54.11		1160	29.82		117	3.01					148	3.80		3890	
	THIRD			9	6.08		28	18.92		33	22.30		78	52.70						Excluded		148	
		TOTAL		369	9.49		2133	54.83		1193	30.67		195	5.01								3890	
	FOURTH			28	14.36		44	22.56		123	63.08			Excluded								195	
		TOTAL		397	10.21		2177	55.96		1316	33.83											3890	
	FIFTH				Excluded		203	51.13		194	48.87											397	
		TOTAL					2380	61.18		1510	38.82											3890	
							Elected																
																							
Yarrabah                                                       																							
	FIRST			19	2.52		112	14.83		589	78.01		9	1.19		7	0.93		19	2.52		755	
	SECOND			0	0.00		1	14.29		5	71.43		1	14.29			Excluded		0	0.00		7	
		TOTAL		19	2.52		113	14.97		594	78.68		10	1.32					19	2.52		755	
	THIRD			3	15.79		2	10.53		11	57.89		3	15.79						Excluded		19	
		TOTAL		22	2.91		115	15.23		605	80.13		13	1.72								755	
	FOURTH			3	23.08		2	15.38		8	61.54			Excluded								13	
		TOTAL		25	3.31		117	15.50		613	81.19											755	
	FIFTH				Excluded		16	64.00		9	36.00											25	
		TOTAL					133	17.62		622	82.38											755	
							Elected																
																							
Yorkeys Knob                                                   																							
	FIRST			106	8.62		600	48.82		370	30.11		97	7.89		5	0.41		51	4.15		1229	
	SECOND			0	0.00		1	20.00		2	40.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		106	8.62		601	48.90		372	30.27		98	7.97					52	4.23		1229	
	THIRD			3	5.77		9	17.31		11	21.15		29	55.77						Excluded		52	
		TOTAL		109	8.87		610	49.63		383	31.16		127	10.33								1229	
	FOURTH			7	5.51		31	24.41		89	70.08			Excluded								127	
		TOTAL		116	9.44		641	52.16		472	38.41											1229	
	FIFTH				Excluded		69	59.48		47	40.52											116	
		TOTAL					710	57.77		519	42.23											1229	
							Elected																
																							
Special Hospital Team 1                                        																							
	FIRST			10	6.17		86	53.09		60	37.04		3	1.85		2	1.23		1	0.62		162	
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		10	6.17		87	53.70		60	37.04		4	2.47					1	0.62		162	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL		10	6.17		87	53.70		60	37.04		5	3.09								162	
	FOURTH			2	40.00		1	20.00		2	40.00			Excluded								5	
		TOTAL		12	7.41		88	54.32		62	38.27											162	
	FIFTH				Excluded		4	33.33		8	66.67											12	
		TOTAL					92	56.79		70	43.21											162	
							Elected																
																							
Special Hospital Team 2                                        																							
	FIRST			3	4.23		15	21.13		49	69.01		3	4.23		0	0.00		1	1.41		71	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	4.23		15	21.13		49	69.01		3	4.23					1	1.41		71	
	THIRD			0	0.00		0	0.00		1	100.00		0	0.00						Excluded		1	
		TOTAL		3	4.23		15	21.13		50	70.42		3	4.23								71	
	FOURTH			0	0.00		1	33.33		2	66.67			Excluded								3	
		TOTAL		3	4.23		16	22.54		52	73.24											71	
	FIFTH				Excluded		0	0.00		3	100.00											3	
		TOTAL					16	22.54		55	77.46											71	
							Elected																
																							
Remote Mobile Team 1                                           																							
	FIRST			30	3.29		243	26.64		612	67.11		18	1.97		0	0.00		9	0.99		912	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		30	3.29		243	26.64		612	67.11		18	1.97					9	0.99		912	
	THIRD			2	22.22		2	22.22		2	22.22		3	33.33						Excluded		9	
		TOTAL		32	3.51		245	26.86		614	67.32		21	2.30								912	
	FOURTH			4	19.05		6	28.57		11	52.38			Excluded								21	
		TOTAL		36	3.95		251	27.52		625	68.53											912	
	FIFTH				Excluded		27	75.00		9	25.00											36	
		TOTAL					278	30.48		634	69.52											912	
							Elected																
																							
Remote Mobile Team 2                                           																							
	FIRST			16	1.85		250	28.94		577	66.78		10	1.16		3	0.35		8	0.93		864	
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		16	1.85		251	29.05		577	66.78		11	1.27					9	1.04		864	
	THIRD			0	0.00		1	11.11		3	33.33		5	55.56						Excluded		9	
		TOTAL		16	1.85		252	29.17		580	67.13		16	1.85								864	
	FOURTH			2	12.50		4	25.00		10	62.50			Excluded								16	
		TOTAL		18	2.08		256	29.63		590	68.29											864	
	FIFTH				Excluded		11	61.11		7	38.89											18	
		TOTAL					267	30.90		597	69.10											864	
							Elected																
																							
Remote Mobile Team 3                                           																							
	FIRST			1	1.11		33	36.67		53	58.89		2	2.22		0	0.00		1	1.11		90	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.11		33	36.67		53	58.89		2	2.22					1	1.11		90	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL		1	1.11		33	36.67		53	58.89		3	3.33								90	
	FOURTH			0	0.00		1	33.33		2	66.67			Excluded								3	
		TOTAL		1	1.11		34	37.78		55	61.11											90	
	FIFTH				Excluded		1	100.00		0	0.00											1	
		TOTAL					35	38.89		55	61.11											90	
							Elected																
																							
ABSENT																							
	FIRST			336	9.75		1718	49.87		994	28.85		193	5.60		58	1.68		146	4.24		3445	
	SECOND			11	18.97		14	24.14		7	12.07		17	29.31			Excluded		9	15.52		58	
		TOTAL		347	10.07		1732	50.28		1001	29.06		210	6.10					155	4.50		3445	
	THIRD			14	9.03		34	21.94		47	30.32		60	38.71						Excluded		155	
		TOTAL		361	10.48		1766	51.26		1048	30.42		270	7.84								3445	
	FOURTH			34	12.59		56	20.74		180	66.67			Excluded								270	
		TOTAL		395	11.47		1822	52.89		1228	35.65											3445	
	FIFTH				Excluded		256	64.81		139	35.19											395	
		TOTAL					2078	60.32		1367	39.68											3445	
							Elected																
																							
POSTAL																							
	FIRST			253	10.13		1383	55.39		694	27.79		83	3.32		16	0.64		68	2.72		2497	
	SECOND			1	6.25		4	25.00		5	31.25		4	25.00			Excluded		2	12.50		16	
		TOTAL		254	10.17		1387	55.55		699	27.99		87	3.48					70	2.80		2497	
	THIRD			1	1.43		14	20.00		17	24.29		38	54.29						Excluded		70	
		TOTAL		255	10.21		1401	56.11		716	28.67		125	5.01								2497	
	FOURTH			10	8.00		40	32.00		75	60.00			Excluded								125	
		TOTAL		265	10.61		1441	57.71		791	31.68											2497	
	FIFTH				Excluded		165	62.26		100	37.74											265	
		TOTAL					1606	64.32		891	35.68											2497	
							Elected																
																							
PRE POLL																							
	FIRST			255	7.10		1935	53.88		987	27.49		221	6.15		28	0.78		165	4.59		3591	
	SECOND			4	14.29		8	28.57		1	3.57		8	28.57			Excluded		7	25.00		28	
		TOTAL		259	7.21		1943	54.11		988	27.51		229	6.38					172	4.79		3591	
	THIRD			9	5.23		42	24.42		39	22.67		82	47.67						Excluded		172	
		TOTAL		268	7.46		1985	55.28		1027	28.60		311	8.66								3591	
	FOURTH			37	11.90		80	25.72		194	62.38			Excluded								311	
		TOTAL		305	8.49		2065	57.50		1221	34.00											3591	
	FIFTH				Excluded		176	57.70		129	42.30											305	
		TOTAL					2241	62.41		1350	37.59											3591	
							Elected																
																							
PROVISIONAL																							
	FIRST			97	8.79		452	40.98		408	36.99		70	6.35		15	1.36		61	5.53		1103	
	SECOND			2	13.33		0	0.00		3	20.00		5	33.33			Excluded		5	33.33		15	
		TOTAL		99	8.98		452	40.98		411	37.26		75	6.80					66	5.98		1103	
	THIRD			5	7.58		11	16.67		15	22.73		35	53.03						Excluded		66	
		TOTAL		104	9.43		463	41.98		426	38.62		110	9.97								1103	
	FOURTH			11	10.00		32	29.09		67	60.91			Excluded								110	
		TOTAL		115	10.43		495	44.88		493	44.70											1103	
	FIFTH				Excluded		68	59.13		47	40.87											115	
		TOTAL					563	51.04		540	48.96											1103	
							Elected																
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
