General Information - 2001 Election: Queensland			
Polling Places			
			
Polling Place Name	Premises	Address	Suburb
Pacific Paradise	Pacific Paradise State School	Menzies Dr	PACIFIC PARADISE
Peregian Beach	Peregian Beach Kindergarten	Rufous St	PEREGIAN BEACH
Pie Creek	Pie Creek Hall	Herron Rd	PIE CREEK
Pomona	Pomona Memorial Hall	Reserve St	POMONA
Tewantin	Tewantin State School	Werin St	TEWANTIN
Tinbeerwah	Tinbeerwah Bush Fire Brigade	Sunrise Rd	TINBEERWAH
Veteran	Veteran Hall	9 Sandy Creek Rd	VETERAN
Wolvi	Wolvi State School		WOLVI
Yandina	Yandina School of Arts Hall	Farrell St	YANDINA


Fisher			
Alexandra Headland	Suncity Bowl	Mari St	ALEXANDRA HEADLAND
Aroona	Aroona Child Care Centre	134 Beerburrum St	AROONA
Arthur Street	Caloundra Scout Hall	Cnr Arthur & Lewis Sts	CALOUNDRA
Brisbane City (Fisher)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Buddina	Kawana Community Centre Hall	Nanyima St	BUDDINA
Buderim	Buderim Craft Centre Cottage	Church St	BUDERIM
Buderim Central	Eden Lea Retirement Village	Townsend Rd	BUDERIM
Buderim Garden Village	Buderim Garden Village	Mooloolaba Rd	BUDERIM
Buderim Immanuel Lutheran College	Immanuel Lutheran College	35 Rim Road	BUDERIM
Buderim North	North Buderim Child Care Centre	1-3 Lakeshore Ave	BUDERIM
Buderim Pines	Gumnuts Childcare Centre	58-60 Buderim Pines Dr	BUDERIM
Buderim South	Matthew Flinders Anglican College	Stringybark Rd	BUDERIM
Caloundra	Caloundra Civic Centre	16A Minchinton St	CALOUNDRA
Caloundra West	Caloundra High School	Cnr Queen and Bower Sts	CALOUNDRA
Cotton Tree	Maroochy Neighbourhood Centre	2 Fifth Ave	MAROOCHYDORE
Currimundi	Currimundi State School	Buderim St	CURRIMUNDI
Currimundi West	Talara Primary College	Talara Street	CURRIMUNDI
Diddillibah	Diddillibah Hall	664 Diddillibah Rd	DIDDILLIBAH
Eudlo	Eudlo State School	Rosebed St	EUDLO
Forest Glen	Sunshine Coast Grammar School	372 Mons Rd	FOREST GLEN
Glenview	Glenview State School	Stevens Rd	GLENVIEW
Golden Beach	Golden Beach State School	Gregory St	GOLDEN BEACH
Kawana Waters	Kawana Waters State High School	Sportsman Pde	BOKARINA
Kuluin	Kuluin State School	Tallow Wood Dr	KULUIN
Little Mountain	Little Mountain Early Childhood Centre	2A Keneland Dr	LITTLE MOUNTAIN
Maroochydore	Maroochydore High School	Maroochydore Rd	MAROOCHYDORE
Maroochydore East	Millwell Road Community Centre	11 Millwell Rd East	MAROOCHYDORE
Minyama	Kawana Child Care Centre & Preschool	2 Jarrah St	MINYAMA
Mooloolaba	Mooloolaba State School	Douglas St	MOOLOOLABA
Mooloolah	Mooloolah State School	Kings Rd	MOOLOOLAH
Mountain Creek	Mountain Creek State High School	Lady Musgrave Dr	MOUNTAIN CREEK
Ocean View Avenue	Mooloolaba Early Childhood Centre	7 Ocean View Avenue	MOOLOOLABA
Palmwoods	Palmwoods State School	111 Palmwoods-Montville Rd	PALMWOODS
Shelly Beach	Our Lady Of The Rosary Primary School	Alfred St	CALOUNDRA
Sippy Downs	Chancellor Primary School	Scholars Way	SIPPY DOWNS
Warana	Living Waters Christian Centre	6 Kawana Island Blvd	WARANA
Woombye	Woombye State School	Pine Grove Rd	WOOMBYE
Wurtulla	Yindi Theatre	30 Naroon Cres	WURTULLA


Forde			
Aratula	Aratula State School	Elizabeth St	ARATULA
Beaudesert	Beaudesert Civic Centre	82 Brisbane St	BEAUDESERT
Beechmont	Beechmont State School	Beechmont Rd	BEECHMONT
Beenleigh	Beenleigh Community Centre	Cnr Crete & Kent Sts	BEENLEIGH
Beenleigh Central	Beenleigh State High School	Alamein St	BEENLEIGH
Bethania	Bethania Lutheran Primary School	Glastonbury Dr	BETHANIA
Boonah	Boonah State School	Park St	BOONAH
Brisbane City (Forde)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Canowindra (Forde)	Ormeau State School	Mirambeena Dr	PIMPAMA
Canungra	Canungra State School	Christie St	CANUNGRA
Cedar Creek	Cedar Creek State School	Beaudesert-Beenleigh Rd	CEDAR CREEK
Coomera (Forde)	Coomera State School	Dreamworld Parkwy	COOMERA
Cornubia (Forde)	Chisholm Catholic College	204 California Creek Rd	CORNUBIA
Eagleby	Eagleby State School	Cnr Herse's & Fryar Rds	EAGLEBY
Eagleby South	Eagleby South State School	Cnr Fryar & River Hills Rds	EAGLEBY
Edens Landing	Edens Landing State School	Jamie Nicolson Ave	EDENS LANDING
Flagstone	Flagstone State School	Poinciana Dr, Flagstone	JIMBOOMBA
Greenbank	Greenbank State School	24 Goodna Rd	GREENBANK
Helensvale North (Forde)	Helensvale High School	Discovery Dr	HELENSVALE
Hillview	Hillview Memorial Hall	Widgee Creek Rd	HILLVIEW
Jimboomba	Jimboomba State School	Mt Lindesay Hwy	JIMBOOMBA
Kalbar	Kalbar State School	George St	KALBAR
Kerry	Kerry Memorial Hall	Kerry Rd	KERRY
Loganholme (Forde)	Loganholme State School	Wandilla Cres	LOGANHOLME
Loganlea	Loganlea State High School	Neridah St	LOGANLEA
Logan Reserve	Logan Reserve State School	School Rd	LOGAN RESERVE
Logan Village	Logan Village State School	North St	LOGAN VILLAGE
Marsden (Forde)	Marsden State High School	Muchow Rd	WATERFORD WEST
Mount Alford	Mount Alford State School	Mt Alford Rd	MOUNT ALFORD
Mount Warren Park	Mount Warren Park State School	Mt Warren Blvd	MOUNT WARREN PARK
Nerang West (Forde)	Nerang State High School	Weedons Rd	NERANG
Numinbah Valley	Numinbah Valley State School	Nerang-Murwillumbah Rd	NUMINBAH VALLEY
Oxenford	Oxenford State School	Michigan Dr	OXENFORD
Pacific Pines	Pacific Pines High School	Archipelago Dr	GAVEN
Park Ridge (Forde)	Park Ridge State High School	Lancewood St	PARK RIDGE
Pimpama	Pimpama State School	Hotham Creek Rd	PIMPAMA
Rathdowney	Rathdowney State School	Mt Lindesay Hwy	RATHDOWNEY
Roadvale	Roadvale State School	Roadvale Rd	ROADVALE
Shailer Park (Forde)	Shailer Park High School	Leaf St	SHAILER PARK
St. Bernard	St. Bernard State School	School Rd	MOUNT TAMBORINE
Studio Village	Gaven State School	Universal St	OXENFORD
Tamborine	Tamborine Memorial Hall	Waterford-Tamborine Rd	TAMBORINE
Tamborine North	Tamborine Mountain State School	Curtis Rd	NORTH TAMBORINE
Tamrookum	Tamrookum State School	Mt Lindesay Hwy	TAMROOKUM
Upper Coomera	Upper Coomera School of Arts Hall	Reserve Rd	UPPER COOMERA
Waterford	Waterford State School	40 Nerang St	WATERFORD
Waterford West	Waterford West State School	John St	WATERFORD WEST
Windaroo	Windaroo Valley State High School	Beaudesert-Beenleigh Rd	BAHRS SCRUB
Woodhill	Woodhill State School	Mt Lindesay Hwy	WOODHILL


Griffith			
Balmoral	Balmoral State High School	259 Thynne Rd	MORNINGSIDE
Belmont School	Belmont State School	1281 Old Cleveland Rd	CARINDALE
Brisbane City (Griffith)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Broadwater	Downlands Group Scout Hall	Abbeville St	UPPER MOUNT GRAVATT
Bulimba	St John's Anglican Church	171 Oxford St	BULIMBA
Camp Hill	Camp Hill State Pre-school Cntr	Wiles St	CAMP HILL
Camp Hill High	Camp Hill High School	Cnr Samuel & Burn Sts	CAMP HILL
Cannon Hill	Cannon Hill State School	825 Wynnum Rd	CANNON HILL
Carina	Mayfield State School	37 Paget St	CARINA
Carina Heights	Salvation Army Hall	Cnr Gallipoli Rd & Chataway St	CARINA HEIGHTS
Carindale	Carina State Pre School	1385 Creek Rd	CARINDALE
Cavendish Road	Cavendish Road High School	Cnr Cavendish & Holland Rds	HOLLAND PARK
Chatsworth Road	St Stephens Anglican Church	343 Cavendish Rd	COORPAROO
Coorparoo	Queen Alexandra Home	347 Old Cleveland Rd	COORPAROO
Coorparoo South	Coorparoo Uniting Church Hall	9 York St	COORPAROO
Greenmeadows	Pine Mountain Uniting Church	330 Pine Mountain Rd	MOUNT GRAVATT EAST
Greenslopes School (Griffith)	Greenslopes State School	559 Logan Rd	GREENSLOPES
Gumdale (Griffith)	Gumdale Progress Hall	737 New Cleveland Rd	GUMDALE
Holland Park (Griffith)	St Matthews Anglican Church Hall	Swain St	HOLLAND PARK WEST
Holland Park School	Holland Park State School	59 Abbotsleigh Rd	HOLLAND PARK
Majestic Park	Coorparoo Kindergarten	53 Meridian St	COORPAROO
Mansfield (Griffith)	Mansfield State School	Ham Rd	MANSFIELD
Morningside	Morningside Uniting Church Hall	43 Thynne Rd	MORNINGSIDE
Morningside State School	Morningside State School	Pashen St	MORNINGSIDE
Mount Gravatt (Griffith)	Mt Gravatt State School	1263 Logan Rd	MOUNT GRAVATT
Mount Gravatt East	Mt Gravatt East State School	50 Newnham Rd	MOUNT GRAVATT EAST
Mt Petrie (Griffith)	Mt Petrie State School	950 Mt Gravatt-Capalaba Rd	MACKENZIE
Mount Thompson	Chester Estate Scout Hall	Crewe St	MOUNT GRAVATT EAST
Murarrie	Murarrie Progress Assn Community Hall	10 Queensport Rd	MURARRIE
Norman Creek	Norman Park Uniting Church	Cnr McIlwraith Ave &Bennetts Rd	NORMAN PARK
Norman Park	Norman Park State School	68 Agnew St	NORMAN PARK
Regina Caeli	Regina Caeli	32 Lavington St	COORPAROO
St James	St James Catholic Church	165 Old Cleveland Rd	COORPAROO
Seven Hills College	Morningside TAFE Campus	3 Clearview Tce	SEVEN HILLS
Seville Road	Seville Road State School	Oates Ave	HOLLAND PARK
Tingalpa	Tingalpa State Pre School	Tenbar St	TINGALPA
Wondall Heights (Griffith)	Wondall Heights State School	260 Wondall Rd	WYNNUM WEST


Groom			
Acland	Acland State School	6 Allen St	ACLAND
Baker Street	Toowoomba Education Centre	Baker St	TOOWOOMBA
Biddeston	Biddeston State School	Toowoomba-Cecil Plains Rd	BIDDESTON
Bongeen	Bongeen State School	Windmill Rd	BONGEEN
Bowenville	Bowenville State School	Irvingdale St	BOWENVILLE
Brisbane City (Groom)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Brookstead	Brookstead State School	Gore Hwy	BROOKSTEAD
Cambooya	Cambooya State School	Harrow St	CAMBOOYA
Charlton	Charlton State School	Warrego Hwy	CHARLTON
Clifton	Clifton State School	Tooth St	CLIFTON
Darling Heights	Darling Heights State School	Wuth St	TOOWOOMBA
Drayton	Drayton State School	55 Brisbane St	TOOWOOMBA
Fairview Heights	Fairview Heights State School	McDougall St	TOOWOOMBA
Felton East	Felton East Public Hall	Toowoomba-Karara Rd	FELTON EAST
Gabbinbar	Gabbinbar State School	Stenner & Mackenzie Sts	TOOWOOMBA
Geham	Geham State School	New England Hwy	GEHAM
Glenvale	Glenvale State School	224 Glenvale Rd	TOOWOOMBA
Goombungee	Goombungee State School	74 Mocatta St	GOOMBUNGEE
Gowrie	Gowrie State School	Old Homebush Rd	GOWRIE
Greenmount East	Emu Creek State School	New England Hwy	GREENMOUNT EAST
Harlaxton	Harlaxton State School	110 Ruthven St	TOOWOOMBA
Harlaxton North	Harlaxton Community Hall	Gleeson Cres	TOOWOOMBA
Harristown	Harristown State High School	South St	TOOWOOMBA
Harristown East	Scots Uniting Church Hall	221 West St	TOOWOOMBA
Highfields	Highfields State School	New England Hwy	HIGHFIELDS
Jondaryan	Jondaryan State School	Scott Rd	JONDARYAN
Kingsthorpe	Kingsthorpe State School	Goombungee Rd	KINGSTHORPE
Kulpi	Kulpi State School	Oakey Rd	KULPI
Maclagan	Maclagan Public Hall	Margaret St	MACLAGAN
Meringandan	Meringandan State School	Meringandan-Shirley Rd	MERINGANDAN
Middle Ridge	Middle Ridge State School	203 Spring St	TOOWOOMBA
Mount Lofty	St Thomas' Hall	Allen & Jellicoe Sts	TOOWOOMBA
Mount Tyson	Mount Tyson State School	Main St	MOUNT TYSON
Newtown	Newtown State School	Albert St	TOOWOOMBA
Nobby	Nobby State School	4 Davenport St	NOBBY
Oakey	Oakey State High School	Campbell St	OAKEY
Pilton	Pilton State School	Pilton Valley Rd	PILTON
Pittsworth	Pittsworth State School	Hume St	PITTSWORTH
Quinalow	Quinalow State School	Progress St	QUINALOW
Rangeville	Rangeville State School	32a High St	TOOWOOMBA
Rockville	Rockville State School	3 Holberton St	TOOWOOMBA
Ryeford	Ryeford State School	Clifton-Leyburn Rd	RYEFORD
St Josephs College	St Josephs College	54 James St	TOOWOOMBA
Southbrook	Southbrook State School	Gore Hwy	SOUTHBROOK
South End	Trinity Lutheran Church Hall	270 Hume St	TOOWOOMBA
Southtown	Centenary Heights High School	Ramsay St	TOOWOOMBA
The Range	Fairholme College	40 Wirra Wirra St	TOOWOOMBA
Toowoomba City	St Lukes Hall	590 Ruthven St	TOOWOOMBA
Toowoomba East	Toowoomba East State School	Arthur St	TOOWOOMBA
Toowoomba North	Holy Name Primary School	188 Bridge St	TOOWOOMBA
Toowoomba Taylor St	Toowoomba North State School	Taylor & Mort Sts	TOOWOOMBA
Toowoomba West	Good Shepherd Lutheran Hall	Tor & Karrool Sts	TOOWOOMBA
Tor Street North	Sacred Heart School	263 Tor St	TOOWOOMBA
Westbrook	Bunkers Hill State School	Bunkers Hill School Rd	WESTBROOK
Wilsonton	Wilsonton State School	Denyer St	TOOWOOMBA
Wyreema	Wyreema State School	High St	WYREEMA


Herbert			
Aitkenvale	Aitkenvale State School	67 Wotton St	AITKENVALE
Alice River	Progress Association Hall	Progress Rd	ALICE RIVER
Annandale	Annandale State School	Cnr Oleander & Yolanda Dve	ANNANDALE
Annandale East	T'ville Grammar Junior School	Brazier Dve	ANNANDALE
Arcadia	Magnetic Island Bowls Club	Marine Pde	ARCADIA
Belgian Gardens	Belgian Gardens State School	43 Potts St	BELGIAN GARDENS
Brisbane City (Herbert)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Condon	Thuringowa State High School	Vickers Rd	CONDON
Cranbrook	Cranbrook State School	Alice St	CRANBROOK
Cungulla	Cungulla Community Hall	Frank Randell Dve	CUNGULLA
Currajong	Currajong State School	140 Palmerston St	GULLIVER
Currajong North	The Marian School	Cnr Hugh & Corcoran Sts	CURRAJONG
Cutheringa	St Peters Church Hall	Ralston St	WEST END
Deeragun	St Anthonys School	Veales Rd	DEERAGUN
Douglas	Student Services Mall	James Cook University	DOUGLAS
Garbutt	Garbutt State School	76 Chandler St	GARBUTT
Heatley	Heatley State School	410 Fulham Rd	HEATLEY
Hermit Park	Hermit Park State School	Surrey St	HYDE PARK
Hermit Park South	TAAC Hall, Corcoran Park	Queens Rd	HERMIT PARK
Kelso	Kelso State School	Yvette St	KELSO
Kirwan	Kirwan State School	21 Burnda St	KIRWAN
Kirwan South	Kirwan State High School	Hudson St	KIRWAN
Mount Louisa	Mount Louisa Uniting Church	485 Bayswater Rd	MOUNT LOUISA
Mundingburra	Mundingburra State School	77 Ross River Rd	MUNDINGBURRA
Mundingburra South	Mundingburra South Pre-school	40 Burt St	MUNDINGBURRA
Nelly Bay	Magnetic Island State School	Mandalay Ave	NELLY BAY
Nome	Nome Rural Fire Brigade Hall	Parkland Rd	ALLIGATOR CREEK
Northern Beaches	Northern Beaches Community Recreation Centre	Meranti St	DEERAGUN
North Ward	Townsville Central State School	Warburton St	NORTH WARD
Oonoonba	Oonoonba State Pre-School	Ooonoonba Rd	OONOONBA
Pallarenda	Queensland Parks & Wildlife	Marlow St	PALLARENDA
Palm Island	Bwgcolman Community School	Creek Rd	PALM ISLAND
Picnic Bay	Baptist Church	25 Wansfell St	PICNIC BAY
Pimlico	Pimlico State High School	Fulham Rd	GULLIVER
Railway Estate	Railway Estate State School	39 Railway Ave	RAILWAY ESTATE
Rasmussen	Rasmussen State School	19 Allambie La	RASMUSSEN
Stuart	Stuart State Pre-school	3 Dwyer St	STUART
The Weir	Weir State School	Ross River Rd	KIRWAN
Townsville City	State Government Building	Cnr Stanley & Walker Sts	TOWNSVILLE CITY
Townsville Hospital	Townsville Hospital	100 Angus Smith Dve	DOUGLAS
Townsville South	Townsville South State School	78 Tully St	SOUTH TOWNSVILLE
Townsville West	Townsville West State School	8 Wilson St	WEST END
Vincent	Vincent State School	280 Palmerston St	VINCENT
Willows	The Willows State School	Bilberry St	KIRWAN
Woodstock	Woodstock State School	Woodstock Ave	WOODSTOCK
Wulguru	Wulguru State School	Edison St	WULGURU


Hinkler			
Agnes Water	Agnes Water Pre-School	Donohue Dr	AGNES WATER
Alloway	Alloway State School	Goodwood Rd	BUNDABERG
Ambrose	Ambrose State School	Gentle Annie Rd	AMBROSE
Apple Tree Creek	Memorial Hall	Bruce Hwy	APPLE TREE CREEK
Avoca	Avoca State School	Twyford St	BUNDABERG
Avondale	Avondale State School	Avondale Rd	AVONDALE
Bajool	Bajool State School	Mill St	BAJOOL
Baree	Baree School of Arts	Creek St	BAREE
Bargara	Council Administration Building	160 Hughes Rd	BARGARA
Benaraby	Benaraby State School	O'Connor Rd	BENARABY
Booyal	Booyal Central State School	Bruce Hwy	BOOYAL
Bororen	Bororen State School	Kent St	BOROREN
Boyne Island	Boyne Tannum Community Centre	Wyndham Ave	BOYNE ISLAND
Branyan	Branyan Road State School	Branyan Dr	BUNDABERG
Brisbane City (Hinkler)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Bundaberg	Bundaberg Civic Centre	Bourbong St	BUNDABERG
Bundaberg Central	Rum City Band Hall	72 Targo St	BUNDABERG
Bundaberg East	Bundaberg East State School	33 Scotland St	BUNDABERG
Bundaberg North	Nth Bundaberg Progress Assn Hall	18 Queen St	BUNDABERG
Bundaberg North West	Bundaberg North State School	Mount Perry Rd	BUNDABERG
Bundaberg South	Bundaberg South State School	Cnr George & Walla Sts	BUNDABERG
Bundaberg West	Bundaberg West State School	183 George St	BUNDABERG
Burnett Heads	Pre-School	Burnett Heads Rd	BURNETT HEADS
Calliope	Calliope Pre-School	Dawson Hwy	CALLIOPE
Childers	Childers Showground	Ridgway St	CHILDERS
Clinton	Clinton State School	Harvey Rd	GLADSTONE
Clinton St John's	St John's Primary School	15 J Hickey Ave	GLADSTONE
Cordalba	Cordalba State School	John St	CORDALBA
Elliott Heads	Elliott Heads State School	Breusch St	ELLIOTT HEADS
Givelda	Givelda State School	Pine Creek Rd	GIVELDA
Gladstone	Port Curtis Education Centre	74 Auckland St	GLADSTONE
Gladstone South	Gladstone South State School	153 Toolooa St	GLADSTONE
Gladstone Valley	Gladstone Kindergarten	149 Auckland St	GLADSTONE
Gladstone West	Gladstone West State School	Boles St	GLADSTONE
Gooburrum	Gooburrum State School	Gooburrum Rd	GOOBURRUM
Goodwood	Goodwood State School	Goodwood Rd	GOODWOOD
Kalkie	Kalkie State School	Bargara Rd	BUNDABERG
Kepnock	Kepnock High School	Kepnock Rd	BUNDABERG
Kin Kora	Kin Kora State School	Hibiscus Ave	GLADSTONE
Lowmead	Lowmead State School	Gay St	LOWMEAD
Millbank	Millbank Progress Asscn Hall	Cnr Avoca and Walker Sts	BUNDABERG
Miriam Vale	Miriam Vale State School	Roe St	MIRIAM VALE
Moore Park	Moore Park Community Hall	Club Ave	MOORE PARK
Mount Larcom	Mount Larcom State School	Bruce Hwy	MOUNT LARCOM
Mount Morgan	Mount Morgan School of Arts	Morgan St	MOUNT MORGAN
Norville	Norville Progress Hall	Maynard St	BUNDABERG
Oakwood	Oakwood State School	Rosedale Rd	OAKWOOD
Rosedale	Rosedale State School	James St	ROSEDALE
Sharon	Sharon State School	Gin Gin Rd	SHARON
South Kolan	Kolan South State School	Gin Gin Rd	SOUTH KOLAN
Tannum Sands	Tannum Sands State School	Waratah Cres	TANNUM SANDS
Thabeban	Thabeban State School	Goodwood Rd	BUNDABERG
Toolooa	Toolooa High School	Philip St	GLADSTONE
Ubobo	Ubobo State School	Cedarvale Rd	UBOBO
Walkervale	Walkervale State School	Hurst St	BUNDABERG
Wartburg	Wartburg State School	Coast Rd	WARTBURG
Woodgate	Woodgate Community Hall	Esplanade	WOODGATE
Woongarra	Woongarra Pre-School	Elliott Heads Rd	BUNDABERG
Yandaran	Yandaran State School	School Lane	YANDARAN
Yarroon	Andersons Auto City Showroom	56 Yarroon St	GLADSTONE
Yarwun	Yarwun State School	Calliope River Rd	YARWUN


Kennedy			
Abergowrie	Abergowrie State School	Abergowrie Rd	ABERGOWRIE
Aloomba	Aloomba State School	Neilsen St	ALOOMBA
Atherton	Merrilands Hall	Robert St	ATHERTON
Atherton North	Atherton State High School	Maunds Rd	ATHERTON
Babinda	Babinda RSL Hall	Munro St	BABINDA
Bambaroo	Bambaroo State School	Bruce Hwy	BAMBAROO
Bellenden Ker	Bellenden Ker State School	Harvey Creek Rd	BELLENDEN KER
Biboohra	Biboohra State School	Mount Molloy Rd	BIBOOHRA
Bluewater	Bluewater State School	Buckby St	BLUEWATER
Boulia	Boulia State School	Templeton St	BOULIA
Bramston Beach	Fire Station		BRAMSTON BEACH
Brisbane City (Kennedy)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Burketown	Burketown State School	Beames St	BURKETOWN
Butchers Creek	Butchers Creek State School	Gadaloff Rd	BUTCHERS CREEK
Camooweal	Camooweal State School	Nowranie St	CAMOOWEAL
Cardwell	Cardwell State School	Victoria St	CARDWELL
Charters Towers	Dalrymple Shire Chambers	Mosman St	CHARTERS TOWERS
Charters Towers Central	Central State School	Mexican St	CHARTERS TOWERS
Charters Towers North	Charters Towers TAFE	11-15 Church Street	CHARTERS TOWERS
Chillagoe	Chillagoe State School	Cathedral St	CHILLAGOE
Cloncurry	Cloncurry State School	Daintree St	CLONCURRY
Croydon	Croydon State School	Brown St	CROYDON
Dajarra	Dajarra State School	Matheson St	DAJARRA
Dimbulah	Dimbulah State School	Kennedy St	DIMBULAH
Doomadgee	Doomadgee State School	Doomadgee Rd	DOOMADGEE
East Palmerston	Palmerston East State School	Palmerston Hwy	EAST PALMERSTON
Einasleigh	Einasleigh Post Office	Baroota St	EINASLEIGH
El Arish	El Arish State School	28 Chauvel St	EL ARISH
Emerald Creek	Henderson's Residence	Kennedy Hwy	EMERALD CREEK
Evelyn Central	Evelyn Central Community Hall	Kennedy Hwy	EVELYN CENTRAL
Feluga	Feluga State School	East Feluga Rd	FELUGA
Flying Fish Point	Flying Fish Point CWA Hall	Ellis St	FLYING FISH POINT
Forrest Beach	Forrest Beach State School	Pandanus St	FORREST BEACH
Forsayth	Forsayth State School	Second St	FORSAYTH
Garradunga	Garradunga Community Hall	Garradunga Rd	GARRADUNGA
Georgetown	Georgetown State School	High St	GEORGETOWN
Goondi	Goondi State School	Maple St	GOONDI
Gordonvale	Gordonvale State School	28 George St	GORDONVALE
Greenvale	Greenvale State School	Cassia Court	GREENVALE
Halifax	Halifax State School	17 Victoria Tce	HALIFAX
Happy Valley	Happy Valley State School	Twenty-third Ave	MOUNT ISA
Hawkins Creek	Hawkins Creek State School	Gortons Rd	HAWKINS CREEK
Healy	Healy State School	Thomson Rd	MOUNT ISA
Herberton	Herberton Shire Hall	William St	HERBERTON
Homestead	Homestead State School	Flinders Hwy	HOMESTEAD
Hughenden	Hughenden Court House	65 Brodie St	HUGHENDEN
Ingham	Ingham State School	28 McIlwraith St	INGHAM
Ingham Hospital	Ingham Hospital	McIlwraith St	INGHAM
Innisfail	Ellen Maruff House	49 Rankin St	INNISFAIL
Innisfail East	Innisfail East State School	92 Mourilyan Rd	INNISFAIL
Innisfail Hospital	Innisfail Hospital Dental Clinic	87 Rankin St	INNISFAIL
Innot Hot Springs	Innot Hot Springs Progress Association Hall	Kennedy Hwy	INNOT HOT SPRINGS
Irvinebank	Irvinebank School Of Arts	Kennedy Hwy	IRVINEBANK
Julia Creek	Julia Creek Court House	14 Burke St	JULIA CREEK
Kairi	Kairi State School	McGeehan Rd	KAIRI
Kalkadoon	Kalkadoon State High School	Abel Smith Pde	MOUNT ISA
Karumba	Karumba State School	Yappar St	KARUMBA
Kennedy	Kennedy State School	Kennedy Creek Rd	KENNEDY
Kurrimine Beach	Kurrimine Beach Progress Association Hall	Murdering Point Rd	KURRIMINE BEACH
Long Pocket	Long Pocket CWA Hall	Ingham-Abergowrie Rd	LONG POCKET
Lower Tully	Lower Tully State School	Tully Heads Rd	LOWER TULLY
Lucinda	Lucinda Point State School	Patterson Pde	LUCINDA
Mcdonnell Creek	McDonnell Creek State School	Bruce Hwy	DEERAL
Mckinlay	McKinlay QCWA		MCKINLAY
Macknade	Macknade State School	79 Farrell Dr	MACKNADE
Malanda	Malanda State School	24 Mary St	MALANDA
Mareeba	Mareeba State School Assembly Hall	Constance St	MAREEBA
Mareeba Hospital	Mareeba Hospital	21 Lloyd St	MAREEBA
Mareeba West	Mareeba State High School	Jasper St	MAREEBA
Mena Creek	Mena Creek State School	Mena Creek Rd	MENA CREEK
Millaa Millaa	Millaa Millaa State School	Palm Ave	MILLAA MILLAA
Mingela	Mingela State School	Burdekin St	MINGELA
Miriwinni	Miriwinni State School	Bruce Hwy	MIRIWINNI
Mission Beach	Mission Beach Progress Hall	Porters Promenade	MISSION BEACH
Moresby	Moresby State School	Main St	MORESBY
Mornington Island	Mornington Island State School	Lardil St	MORNINGTON ISLAND
Mount Garnet	Mount Garnet CWA Hall	Garnet St	MOUNT GARNET
Mount Isa	Central State School Library	Miles St	MOUNT ISA
Mount Isa Hospital	Mount Isa Hospital	30 Camooweal St	MOUNT ISA
Mount Isa West	Mount Isa State High School	Fifth Ave	MOUNT ISA
Mount Surprise	Mount Surprise State School	Garland St	MOUNT SURPRISE
Mourilyan	Mourilyan State Pre School	34 Mourilyan Harbour Rd	MOURILYAN
Murray Upper	Murray Upper State School	Upper Murray Rd	MURRAY UPPER
Mutchilba	Mutchilba State School	Dimbulah Rd	MUTCHILBA
Normanton	Normanton Court House	Haig Street	NORMANTON
Pentland	Pentland State School	Gilmore St	PENTLAND
Prairie	Prairie State School	Savage St	PRAIRIE
Queenton	Charters Towers Choristers Hall	York St	CHARTERS TOWERS
Ravenshoe	Ravenshoe State School	Moore St	RAVENSHOE
Ravenswood	Ravenswood State School	School St	RAVENSWOOD
Richmond	Richmond Court House	Goldring St	RICHMOND
Richmond Hill	Richmond Hill State School	Baker St	CHARTERS TOWERS
Rollingstone	Rollingstone State School	Tealby St	ROLLINGSTONE
Silkwood	Silkwood State School	Japoon Rd	SILKWOOD
Soldiers Hill	Barkly State School	Bougainville St	MOUNT ISA
South Johnstone	South Johnstone State School	East Ave	SOUTH JOHNSTONE
South Mission Beach	South Mission Beach Community Hall	South Mission Beach Road	SOUTH MISSION BEACH
Sunset	Sunset State School	Abel Smith Pde	MOUNT ISA
Tolga	Tolga State School	Kennedy Hwy	TOLGA
Toobanna	Toobanna State School	Bruce Hwy	TOOBANNA
Townview	Townview State School	Kookaburra St	MOUNT ISA
Trebonne	Trebonne State School	Stone River Rd	TREBONNE
Tully	Tully Court House	46 Bryant St	TULLY
Tully Hospital	Red Cross Room Tully Hospital	Bryant St	TULLY
Upper Barron	Upper Barron State School	Kennedy Hwy	UPPER BARRON
Upper Stone	Upper Stone CWA Hall	Stone River Rd	UPPER STONE
Victoria Estate	Victoria Plantation State School	Forrest Beach Rd	VICTORIA ESTATE
Walkamin	Walkamin State School	Wattle St	WALKAMIN
Wangan	Mundoo State School	100 Cardier Rd	WANGAN
Wondecla	Wondecla Showgrounds Kiosk	Ravenshoe Rd	WONDECLA
Yungaburra	Yungaburra State School	4 Maple St	YUNGABURRA


Leichhardt			
Alexandra Bay	Alexandra Bay State School	Cape Tribulation Rd	COW BAY
Aurukun	Aurukun State School	Wuungkam St	AURUKUN
Balaclava	Balaclava State School	418 Mulgrave Rd	CAIRNS
Bamaga	Bamaga State School	Anu St	BAMAGA
