House of Representatives - 2001 Election: Queensland																													
Distribution of Preferences																													
By Polling Place																													
Ryan																													
				GILLIES			JOHNSON			LANGENAUER			STASSE			DREW			SHORT			BRAZIER			ALLEN-ANKINS				
	SECOND			7	29.17		4	16.67		7	29.17		1	4.17		1	4.17		2	8.33		2	8.33			Excluded		24	
		TOTAL		184	8.61		928	43.43		203	9.50		161	7.53		26	1.22		601	28.12		34	1.59					2137	
	THIRD			0	0.00		4	11.76		4	11.76		12	35.29		2	5.88		12	35.29			Excluded					34	
		TOTAL		184	8.61		932	43.61		207	9.69		173	8.10		28	1.31		613	28.69								2137	
	FOURTH			8	28.57		7	25.00		1	3.57		6	21.43			Excluded		6	21.43								28	
		TOTAL		192	8.98		939	43.94		208	9.73		179	8.38					619	28.97								2137	
	FIFTH			10	5.59		23	12.85		97	54.19			Excluded					49	27.37								179	
		TOTAL		202	9.45		962	45.02		305	14.27								668	31.26								2137	
	SIXTH				Excluded		163	80.69		26	12.87								13	6.44								202	
		TOTAL					1125	52.64		331	15.49								681	31.87								2137	
	SEVENTH						93	28.10			Excluded								238	71.90								331	
		TOTAL					1218	57.00											919	43.00								2137	
							Elected																						
																													
Taringa                                                        																													
	FIRST			114	6.58		771	44.49		123	7.10		118	6.81		21	1.21		540	31.16		31	1.79		15	0.87		1733	
	SECOND			3	20.00		5	33.33		2	13.33		2	13.33		1	6.67		1	6.67		1	6.67			Excluded		15	
		TOTAL		117	6.75		776	44.78		125	7.21		120	6.92		22	1.27		541	31.22		32	1.85					1733	
	THIRD			3	9.38		7	21.88		1	3.13		12	37.50		0	0.00		9	28.13			Excluded					32	
		TOTAL		120	6.92		783	45.18		126	7.27		132	7.62		22	1.27		550	31.74								1733	
	FOURTH			7	31.82		8	36.36		1	4.55		2	9.09			Excluded		4	18.18								22	
		TOTAL		127	7.33		791	45.64		127	7.33		134	7.73					554	31.97								1733	
	FIFTH			5	3.73		17	12.69		62	46.27			Excluded					50	37.31								134	
		TOTAL		132	7.62		808	46.62		189	10.91								604	34.85								1733	
	SIXTH				Excluded		109	82.58		15	11.36								8	6.06								132	
		TOTAL					917	52.91		204	11.77								612	35.31								1733	
	SEVENTH						64	31.37			Excluded								140	68.63								204	
		TOTAL					981	56.61											752	43.39								1733	
							Elected																						
																													
The Gap                                                        																													
	FIRST			122	3.94		1456	47.06		188	6.08		160	5.17		46	1.49		1047	33.84		37	1.20		38	1.23		3094	
	SECOND			5	13.16		7	18.42		5	13.16		9	23.68		3	7.89		2	5.26		7	18.42			Excluded		38	
		TOTAL		127	4.10		1463	47.29		193	6.24		169	5.46		49	1.58		1049	33.90		44	1.42					3094	
	THIRD			4	9.09		5	11.36		3	6.82		19	43.18		4	9.09		9	20.45			Excluded					44	
		TOTAL		131	4.23		1468	47.45		196	6.33		188	6.08		53	1.71		1058	34.20								3094	
	FOURTH			15	28.30		15	28.30		5	9.43		11	20.75			Excluded		7	13.21								53	
		TOTAL		146	4.72		1483	47.93		201	6.50		199	6.43					1065	34.42								3094	
	FIFTH			15	7.54		18	9.05		90	45.23			Excluded					76	38.19								199	
		TOTAL		161	5.20		1501	48.51		291	9.41								1141	36.88								3094	
	SIXTH				Excluded		133	82.61		18	11.18								10	6.21								161	
		TOTAL					1634	52.81		309	9.99								1151	37.20								3094	
	SEVENTH						98	31.72			Excluded								211	68.28								309	
		TOTAL					1732	55.98											1362	44.02								3094	
							Elected																						
																													
The Gap East                                                   																													
	FIRST			158	4.70		1538	45.77		193	5.74		209	6.22		43	1.28		1139	33.90		47	1.40		33	0.98		3360	
	SECOND			4	12.12		5	15.15		5	15.15		4	12.12		2	6.06		6	18.18		7	21.21			Excluded		33	
		TOTAL		162	4.82		1543	45.92		198	5.89		213	6.34		45	1.34		1145	34.08		54	1.61					3360	
	THIRD			1	1.85		10	18.52		2	3.70		23	42.59		6	11.11		12	22.22			Excluded					54	
		TOTAL		163	4.85		1553	46.22		200	5.95		236	7.02		51	1.52		1157	34.43								3360	
	FOURTH			12	23.53		14	27.45		4	7.84		11	21.57			Excluded		10	19.61								51	
		TOTAL		175	5.21		1567	46.64		204	6.07		247	7.35					1167	34.73								3360	
	FIFTH			12	4.86		32	12.96		109	44.13			Excluded					94	38.06								247	
		TOTAL		187	5.57		1599	47.59		313	9.32								1261	37.53								3360	
	SIXTH				Excluded		163	87.17		18	9.63								6	3.21								187	
		TOTAL					1762	52.44		331	9.85								1267	37.71								3360	
	SEVENTH						96	29.00			Excluded								235	71.00								331	
		TOTAL					1858	55.30											1502	44.70								3360	
							Elected																						
																													
The Gap West                                                   																													
	FIRST			132	5.97		1117	50.50		116	5.24		102	4.61		26	1.18		672	30.38		25	1.13		22	0.99		2212	
	SECOND			4	18.18		5	22.73		3	13.64		3	13.64		2	9.09		2	9.09		3	13.64			Excluded		22	
		TOTAL		136	6.15		1122	50.72		119	5.38		105	4.75		28	1.27		674	30.47		28	1.27					2212	
	THIRD			1	3.57		4	14.29		2	7.14		13	46.43		2	7.14		6	21.43			Excluded					28	
		TOTAL		137	6.19		1126	50.90		121	5.47		118	5.33		30	1.36		680	30.74								2212	
	FOURTH			8	26.67		7	23.33		1	3.33		4	13.33			Excluded		10	33.33								30	
		TOTAL		145	6.56		1133	51.22		122	5.52		122	5.52					690	31.19								2212	
	FIFTH			10	8.20		14	11.48		55	45.08			Excluded					43	35.25								122	
		TOTAL		155	7.01		1147	51.85		177	8.00								733	33.14								2212	
	SIXTH				Excluded		123	79.35		23	14.84								9	5.81								155	
		TOTAL					1270	57.41		200	9.04								742	33.54								2212	
	SEVENTH						73	36.50			Excluded								127	63.50								200	
		TOTAL					1343	60.71											869	39.29								2212	
							Elected																						
																													
Toowong (Ryan)                                                 																													
	FIRST			162	5.80		1154	41.33		263	9.42		198	7.09		32	1.15		890	31.88		48	1.72		45	1.61		2792	
	SECOND			2	4.44		12	26.67		11	24.44		6	13.33		6	13.33		5	11.11		3	6.67			Excluded		45	
		TOTAL		164	5.87		1166	41.76		274	9.81		204	7.31		38	1.36		895	32.06		51	1.83					2792	
	THIRD			6	11.76		9	17.65		1	1.96		24	47.06		1	1.96		10	19.61			Excluded					51	
		TOTAL		170	6.09		1175	42.08		275	9.85		228	8.17		39	1.40		905	32.41								2792	
	FOURTH			12	30.77		8	20.51		7	17.95		5	12.82			Excluded		7	17.95								39	
		TOTAL		182	6.52		1183	42.37		282	10.10		233	8.35					912	32.66								2792	
	FIFTH			7	3.00		18	7.73		128	54.94			Excluded					80	34.33								233	
		TOTAL		189	6.77		1201	43.02		410	14.68								992	35.53								2792	
	SIXTH				Excluded		163	86.24		18	9.52								8	4.23								189	
		TOTAL					1364	48.85		428	15.33								1000	35.82								2792	
	SEVENTH						137	32.01			Excluded								291	67.99								428	
		TOTAL					1501	53.76											1291	46.24								2792	
							Elected																						
																													
Toowong West                                                   																													
	FIRST			51	5.26		384	39.63		67	6.91		97	10.01		12	1.24		333	34.37		15	1.55		10	1.03		969	
	SECOND			2	20.00		1	10.00		3	30.00		3	30.00		0	0.00		0	0.00		1	10.00			Excluded		10	
		TOTAL		53	5.47		385	39.73		70	7.22		100	10.32		12	1.24		333	34.37		16	1.65					969	
	THIRD			0	0.00		2	12.50		0	0.00		10	62.50		0	0.00		4	25.00			Excluded					16	
		TOTAL		53	5.47		387	39.94		70	7.22		110	11.35		12	1.24		337	34.78								969	
	FOURTH			3	25.00		5	41.67		0	0.00		1	8.33			Excluded		3	25.00								12	
		TOTAL		56	5.78		392	40.45		70	7.22		111	11.46					340	35.09								969	
	FIFTH			5	4.50		6	5.41		58	52.25			Excluded					42	37.84								111	
		TOTAL		61	6.30		398	41.07		128	13.21								382	39.42								969	
	SIXTH				Excluded		42	68.85		10	16.39								9	14.75								61	
		TOTAL					440	45.41		138	14.24								391	40.35								969	
	SEVENTH						36	26.09			Excluded								102	73.91								138	
		TOTAL					476	49.12											493	50.88								969	
							Elected																						
																													
Upper Brookfield                                               																													
	FIRST			43	15.25		94	33.33		3	1.06		40	14.18		10	3.55		84	29.79		6	2.13		2	0.71		282	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		43	15.25		94	33.33		3	1.06		41	14.54		11	3.90		84	29.79		6	2.13					282	
	THIRD			0	0.00		0	0.00		0	0.00		5	83.33		0	0.00		1	16.67			Excluded					6	
		TOTAL		43	15.25		94	33.33		3	1.06		46	16.31		11	3.90		85	30.14								282	
	FOURTH			5	45.45		4	36.36		1	9.09		0	0.00			Excluded		1	9.09								11	
		TOTAL		48	17.02		98	34.75		4	1.42		46	16.31					86	30.50								282	
	FIFTH			2	4.35		4	8.70		21	45.65			Excluded					19	41.30								46	
		TOTAL		50	17.73		102	36.17		25	8.87								105	37.23								282	
	SIXTH				Excluded		45	90.00		1	2.00								4	8.00								50	
		TOTAL					147	52.13		26	9.22								109	38.65								282	
	SEVENTH						3	11.54			Excluded								23	88.46								26	
		TOTAL					150	53.19											132	46.81								282	
							Elected																						
																													
Special Hospital Team 1                                        																													
	FIRST			14	7.04		114	57.29		0	0.00		0	0.00		3	1.51		67	33.67		1	0.50		0	0.00		199	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		14	7.04		114	57.29		0	0.00		0	0.00		3	1.51		67	33.67		1	0.50					199	
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	
		TOTAL		14	7.04		115	57.79		0	0.00		0	0.00		3	1.51		67	33.67								199	
	FOURTH			2	66.67		1	33.33		0	0.00		0	0.00			Excluded		0	0.00								3	
		TOTAL		16	8.04		116	58.29		0	0.00		0	0.00					67	33.67								199	
	FIFTH			0	0.00		0	0.00		0	0.00			Excluded					0	0.00								0	
		TOTAL		16	8.04		116	58.29		0	0.00								67	33.67								199	
	SIXTH				Excluded		15	93.75		1	6.25								0	0.00								16	
		TOTAL					131	65.83		1	0.50								67	33.67								199	
	SEVENTH						1	100.00			Excluded								0	0.00								1	
		TOTAL					132	66.33											67	33.67								199	
							Elected																						
																													
Special Hospital Team 2                                        																													
	FIRST			50	23.47		109	51.17		4	1.88		1	0.47		3	1.41		46	21.60		0	0.00		0	0.00		213	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		50	23.47		109	51.17		4	1.88		1	0.47		3	1.41		46	21.60		0	0.00					213	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		50	23.47		109	51.17		4	1.88		1	0.47		3	1.41		46	21.60								213	
	FOURTH			1	33.33		1	33.33		0	0.00		0	0.00			Excluded		1	33.33								3	
		TOTAL		51	23.94		110	51.64		4	1.88		1	0.47					47	22.07								213	
	FIFTH			0	0.00		0	0.00		1	100.00			Excluded					0	0.00								1	
		TOTAL		51	23.94		110	51.64		5	2.35								47	22.07								213	
	SIXTH				Excluded		48	94.12		2	3.92								1	1.96								51	
		TOTAL					158	74.18		7	3.29								48	22.54								213	
	SEVENTH						1	14.29			Excluded								6	85.71								7	
		TOTAL					159	74.65											54	25.35								213	
							Elected																						
																													
ABSENT																													
	FIRST			247	4.63		2445	45.83		416	7.80		369	6.92		131	2.46		1506	28.23		129	2.42		92	1.72		5335	
	SECOND			10	10.87		13	14.13		15	16.30		20	21.74		10	10.87		8	8.70		16	17.39			Excluded		92	
		TOTAL		257	4.82		2458	46.07		431	8.08		389	7.29		141	2.64		1514	28.38		145	2.72					5335	
	THIRD			5	3.45		16	11.03		16	11.03		62	42.76		13	8.97		33	22.76			Excluded					145	
		TOTAL		262	4.91		2474	46.37		447	8.38		451	8.45		154	2.89		1547	29.00								5335	
	FOURTH			25	16.23		41	26.62		16	10.39		34	22.08			Excluded		38	24.68								154	
		TOTAL		287	5.38		2515	47.14		463	8.68		485	9.09					1585	29.71								5335	
	FIFTH			32	6.60		67	13.81		260	53.61			Excluded					126	25.98								485	
		TOTAL		319	5.98		2582	48.40		723	13.55								1711	32.07								5335	
	SIXTH				Excluded		245	76.80		38	11.91								36	11.29								319	
		TOTAL					2827	52.99		761	14.26								1747	32.75								5335	
	SEVENTH						272	35.74			Excluded								489	64.26								761	
		TOTAL					3099	58.09											2236	41.91								5335	
							Elected																						
																													
POSTAL																													
	FIRST			210	5.67		1941	52.43		141	3.81		132	3.57		94	2.54		1126	30.42		20	0.54		38	1.03		3702	
	SECOND			6	15.79		9	23.68		6	15.79		3	7.89		1	2.63		10	26.32		3	7.89			Excluded		38	
		TOTAL		216	5.83		1950	52.67		147	3.97		135	3.65		95	2.57		1136	30.69		23	0.62					3702	
	THIRD			2	8.70		4	17.39		1	4.35		10	43.48		2	8.70		4	17.39			Excluded					23	
		TOTAL		218	5.89		1954	52.78		148	4.00		145	3.92		97	2.62		1140	30.79								3702	
	FOURTH			17	17.53		38	39.18		6	6.19		13	13.40			Excluded		23	23.71								97	
		TOTAL		235	6.35		1992	53.81		154	4.16		158	4.27					1163	31.42								3702	
	FIFTH			16	10.13		16	10.13		82	51.90			Excluded					44	27.85								158	
		TOTAL		251	6.78		2008	54.24		236	6.37								1207	32.60								3702	
	SIXTH				Excluded		199	79.28		31	12.35								21	8.37								251	
		TOTAL					2207	59.62		267	7.21								1228	33.17								3702	
	SEVENTH						82	30.71			Excluded								185	69.29								267	
		TOTAL					2289	61.83											1413	38.17								3702	
							Elected																						
																													
PRE POLL																													
	FIRST			226	5.85		1793	46.44		234	6.06		197	5.10		70	1.81		1249	32.35		47	1.22		45	1.17		3861	
	SECOND			8	17.78		9	20.00		9	20.00		6	13.33		0	0.00		7	15.56		6	13.33			Excluded		45	
		TOTAL		234	6.06		1802	46.67		243	6.29		203	5.26		70	1.81		1256	32.53		53	1.37					3861	
	THIRD			4	7.55		6	11.32		7	13.21		26	49.06		3	5.66		7	13.21			Excluded					53	
		TOTAL		238	6.16		1808	46.83		250	6.48		229	5.93		73	1.89		1263	32.71								3861	
	FOURTH			21	28.77		22	30.14		8	10.96		12	16.44			Excluded		10	13.70								73	
		TOTAL		259	6.71		1830	47.40		258	6.68		241	6.24					1273	32.97								3861	
	FIFTH			12	4.98		25	10.37		125	51.87			Excluded					79	32.78								241	
		TOTAL		271	7.02		1855	48.04		383	9.92								1352	35.02								3861	
	SIXTH				Excluded		210	77.49		36	13.28								25	9.23								271	
		TOTAL					2065	53.48		419	10.85								1377	35.66								3861	
	SEVENTH						138	32.94			Excluded								281	67.06								419	
		TOTAL					2203	57.06											1658	42.94								3861	
							Elected																						
																													
PROVISIONAL																													
	FIRST			14	3.83		162	44.26		20	5.46		34	9.29		9	2.46		110	30.05		12	3.28		5	1.37		366	
	SECOND			1	20.00		0	0.00		1	20.00		1	20.00		0	0.00		1	20.00		1	20.00			Excluded		5	
		TOTAL		15	4.10		162	44.26		21	5.74		35	9.56		9	2.46		111	30.33		13	3.55					366	
	THIRD			0	0.00		2	15.38		3	23.08		5	38.46		0	0.00		3	23.08			Excluded					13	
		TOTAL		15	4.10		164	44.81		24	6.56		40	10.93		9	2.46		114	31.15								366	
	FOURTH			2	22.22		3	33.33		0	0.00		3	33.33			Excluded		1	11.11								9	
		TOTAL		17	4.64		167	45.63		24	6.56		43	11.75					115	31.42								366	
	FIFTH			1	2.33		3	6.98		24	55.81			Excluded					15	34.88								43	
		TOTAL		18	4.92		170	46.45		48	13.11								130	35.52								366	
	SIXTH				Excluded		12	66.67		1	5.56								5	27.78								18	
		TOTAL					182	49.73		49	13.39								135	36.89								366	
	SEVENTH						19	38.78			Excluded								30	61.22								49	
		TOTAL					201	54.92											165	45.08								366	
							Elected																						
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
