House of Representatives - 2001 Election: Queensland							
Swing to ALP							
By Division by Polling Place							
Blair							
							
Polling Place	Formal	WENDT		THOMPSON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Kuluin	1701	723	42.50	978	57.50	-0.05
Little Mountain	1446	501	34.65	945	65.35	-2.13
Maroochydore	2117	878	41.47	1239	58.53	0.28
Maroochydore East	2836	1158	40.83	1678	59.17	-4.33
Minyama	636	161	25.31	475	74.69	-16.15
Mooloolaba	3305	1261	38.15	2044	61.85	1.91
Mooloolah	1103	529	47.96	574	52.04	-1.33
Mountain Creek	3194	1098	34.38	2096	65.62	-0.19	
Ocean View Avenue	1021	382	37.41	639	62.59	1.40	
Palmwoods	1839	685	37.25	1154	62.75	1.61	
Shelly Beach	1383	541	39.12	842	60.88	-0.51	
Sippy Downs	1721	622	36.14	1099	63.86	1.48	
Special Hospital Team 1	188	72	38.30	116	61.70	5.27	
Special Hospital Team 2	142	49	34.51	93	65.49	7.55	
Warana	647	277	42.81	370	57.19	-0.50	
Woombye	1628	578	35.50	1050	64.50	-1.22	
Wurtulla	922	405	43.93	517	56.07	-2.39	
ABSENT	4052	1583	39.07	2469	60.93	-	
POSTAL	4033	1207	29.93	2826	70.07	-	
PRE POLL	5452	1889	34.65	3563	65.35	-	
PROVISIONAL	695	302	43.45	393	56.55	-	
Division Total	77323	29335	37.94	47988	62.06	-1.07	
							
							
Forde							
							
Polling Place	Formal	SMITH		ELSON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Aratula	430	129	30.00	301	70.00	-1.19	
Beaudesert	3352	1218	36.34	2134	63.66	-2.16	
Beechmont	377	166	44.03	211	55.97	5.87	
Beenleigh	3212	1604	49.94	1608	50.06	-3.92	
Beenleigh Central	934	482	51.61	452	48.39	-1.18	
Bethania	2139	1040	48.62	1099	51.38	-2.57	
Boonah	1954	610	31.22	1344	68.78	-5.12	
Brisbane City (Forde)	82	31	37.80	51	62.20	-14.97	
Canowindra (Forde)	1655	589	35.59	1066	64.41	-1.95	
Canungra	1120	359	32.05	761	67.95	3.10	
Cedar Creek	380	149	39.21	231	60.79	-1.37	
Coomera (Forde)	959	382	39.83	577	60.17	6.03
Cornubia (Forde)	336	93	27.68	243	72.32	-5.59
Eagleby	1088	626	57.54	462	42.46	-1.14
Eagleby South	2322	1353	58.27	969	41.73	-5.30
Edens Landing	1686	762	45.20	924	54.80	-5.55
Flagstone	978	483	49.39	495	50.61	-2.78
Greenbank	2452	1160	47.31	1292	52.69	-2.69
Helensvale North (Forde)	277	112	40.43	165	59.57	-3.32
Hillview	149	44	29.53	105	70.47	-4.53
Jimboomba	4731	2108	44.56	2623	55.44	-0.34
Kalbar	843	228	27.05	615	72.95	-9.89
Kerry	231	41	17.75	190	82.25	-2.98
Logan Reserve	1121	459	40.95	662	59.05	-3.08
Logan Village	2692	1222	45.39	1470	54.61	0.22
Loganholme (Forde)	1571	748	47.61	823	52.39	-2.60
Loganlea	1714	904	52.74	810	47.26	-4.77
Marsden (Forde)	1294	766	59.20	528	40.80	-4.41
Mount Alford	328	70	21.34	258	78.66	-5.90
Mount Warren Park	3328	1451	43.60	1877	56.40	-5.62
Nerang West (Forde)	559	199	35.60	360	64.40	-8.20
Numinbah Valley	109	41	37.61	68	62.39	8.20
Oxenford	1994	676	33.90	1318	66.10	0.02
Pacific Pines	1101	399	36.24	702	63.76	-7.56
Park Ridge (Forde)	2199	1013	46.07	1186	53.93	-2.32
Pimpama	312	80	25.64	232	74.36	-4.32
Rathdowney	398	137	34.42	261	65.58	1.23
Roadvale	359	109	30.36	250	69.64	-1.55
Shailer Park (Forde)	607	209	34.43	398	65.57	-3.76
Special Hospital Team 1	28	13	46.43	15	53.57	-4.64
Special Hospital Team 2	86	45	52.33	41	47.67	10.79
Special Hospital Team 3	120	36	30.00	84	70.00	0.45
St. Bernard	878	287	32.69	591	67.31	-0.81
Studio Village	1934	828	42.81	1106	57.19	-0.94	
Tamborine	1062	458	43.13	604	56.87	-1.30	
Tamborine North	2106	852	40.46	1254	59.54	1.86	
Tamrookum	643	196	30.48	447	69.52	-1.04	
Upper Coomera	1196	407	34.03	789	65.97	3.24	
Waterford	384	167	43.49	217	56.51	-6.34	
Waterford West	2585	1379	53.35	1206	46.65	-3.62	
Windaroo	2041	719	35.23	1322	64.77	-3.81	
Woodhill	857	296	34.54	561	65.46	-4.72	
ABSENT	5036	2110	41.90	2926	58.10	-	
POSTAL	3481	1420	40.79	2061	59.21	-	
PRE POLL	2632	1074	40.81	1558	59.19	-	
PROVISIONAL	600	296	49.33	304	50.67	-	
Division Total	77042	32835	42.62	44207	57.38	-2.13	
							
							
Griffith							
							
Polling Place	Formal	RUDD		VASTA		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Balmoral	1307	796	60.90	511	39.10	2.65	
Belmont School	6014	2727	45.34	3287	54.66	7.61	
Brisbane City (Griffith)	435	263	60.46	172	39.54	-0.77	
Broadwater	319	193	60.50	126	39.50	-2.86	
Bulimba	3650	2106	57.70	1544	42.30	3.09	
Camp Hill	2477	1399	56.48	1078	43.52	3.17	
Camp Hill High	1982	1049	52.93	933	47.07	2.88	
Cannon Hill	3324	2248	67.63	1076	32.37	4.13	
Carina	2170	1358	62.58	812	37.42	2.43	
Carina Heights	2612	1532	58.65	1080	41.35	3.69	
Carindale	4284	2339	54.60	1945	45.40	1.15	
Cavendish Road	1716	959	55.89	757	44.11	1.33	
Chatsworth Road	1685	790	46.88	895	53.12	6.80
Coorparoo	3015	1776	58.91	1239	41.09	5.42
Coorparoo South	863	457	52.95	406	47.05	7.27
Greenmeadows	1028	444	43.19	584	56.81	0.39
Greenslopes School (Griffith)	1156	681	58.91	475	41.09	8.09
Gumdale (Griffith)	2194	1000	45.58	1194	54.42	3.80
Holland Park (Griffith)	340	173	50.88	167	49.12	-0.32
Holland Park School	1190	582	48.91	608	51.09	4.79
Majestic Park	863	353	40.90	510	59.10	5.38
Mansfield (Griffith)	2974	1425	47.92	1549	52.08	3.38
Morningside	1935	1206	62.33	729	37.67	4.23
Morningside State School	1443	869	60.22	574	39.78	3.73
Mount Gravatt (Griffith)	1147	615	53.62	532	46.38	0.93
Mount Gravatt East	3644	2092	57.41	1552	42.59	2.41
Mount Thompson	1490	874	58.66	616	41.34	1.95
Mt Petrie (Griffith)	917	380	41.44	537	58.56	9.85
Murarrie	1342	1045	77.87	297	22.13	2.07	
Norman Creek	1963	1186	60.42	777	39.58	5.71	
Norman Park	1405	817	58.15	588	41.85	4.83	
Regina Caeli	532	256	48.12	276	51.88	7.84	
Seven Hills College	1452	895	61.64	557	38.36	3.88	
Seville Road	1302	894	68.66	408	31.34	3.10	
Special Hospital Team 1	410	191	46.59	219	53.41	3.64	
St James	1195	672	56.23	523	43.77	5.80	
Tingalpa	3512	2242	63.84	1270	36.16	4.15	
Wondall Heights (Griffith)	394	271	68.78	123	31.22	9.14	
ABSENT	5895	3103	52.64	2792	47.36	-	
POSTAL	4916	2714	55.21	2202	44.79	-	
PRE POLL	2850	1409	49.44	1441	50.56	-	
PROVISIONAL	472	273	57.84	199	42.16	-	
Division Total	83814	46654	55.66	37160	44.34	3.24	
							
							
Groom							
							
Polling Place	Formal	KING		MACFARLANE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Acland	184	64	34.78	120	65.22	10.78	
Baker Street	469	177	37.74	292	62.26	5.09	
Biddeston	356	75	21.07	281	78.93	-1.09	
Bongeen	114	5	4.39	109	95.61	-2.58	
Bowenville	173	30	17.34	143	82.66	4.28	
Brisbane City (Groom)	82	30	36.59	52	63.41	-4.59	
Brookstead	149	28	18.79	121	81.21	7.45	
Cambooya	682	194	28.45	488	71.55	-3.58	
Charlton	607	155	25.54	452	74.46	-1.16	
Clifton	797	229	28.73	568	71.27	1.65	
Darling Heights	3185	1113	34.95	2072	65.05	-2.32	
Drayton	1486	519	34.93	967	65.07	-2.57
Fairview Heights	999	340	34.03	659	65.97	-6.45
Felton East	142	14	9.86	128	90.14	-5.47
Gabbinbar	1835	529	28.83	1306	71.17	-0.60
Geham	386	140	36.27	246	63.73	3.46
Glenvale	1927	547	28.39	1380	71.61	-4.39
Goombungee	625	207	33.12	418	66.88	1.52
Gowrie	758	212	27.97	546	72.03	-3.03
Greenmount East	426	128	30.05	298	69.95	8.52
Harlaxton	1617	656	40.57	961	59.43	-4.99
Harlaxton North	248	124	50.00	124	50.00	-4.07
Harristown	2745	1086	39.56	1659	60.44	-2.25
Harristown East	1371	501	36.54	870	63.46	-4.59
Highfields	2536	767	30.24	1769	69.76	-0.36
Jondaryan	261	63	24.14	198	75.86	5.86
Kingsthorpe	859	374	43.54	485	56.46	3.44
Kulpi	188	34	18.09	154	81.91	1.42
Maclagan	99	19	19.19	80	80.81	5.81
Meringandan	606	209	34.49	397	65.51	0.73
Middle Ridge	3294	940	28.54	2354	71.46	-1.39
Mount Lofty	1320	564	42.73	756	57.27	-2.92
Mount Tyson	240	66	27.50	174	72.50	3.02
Newtown	2765	1209	43.73	1556	56.27	-5.15
Nobby	204	51	25.00	153	75.00	5.00
Oakey	2189	873	39.88	1316	60.12	-0.79
Pilton	158	39	24.68	119	75.32	8.55
Pittsworth	1688	538	31.87	1150	68.13	-0.09
Quinalow	162	36	22.22	126	77.78	7.03
Rangeville	3332	992	29.77	2340	70.23	-0.85
Rockville	1127	546	48.45	581	51.55	-0.44
Ryeford	149	25	16.78	124	83.22	4.58
South End	1805	643	35.62	1162	64.38	-6.03
Southbrook	336	91	27.08	245	72.92	4.10
Southtown	3224	1241	38.49	1983	61.51	-1.11
Special Hospital Team 1	297	97	32.66	200	67.34	2.10
Special Hospital Team 2	331	109	32.93	222	67.07	6.04
St Josephs College	1033	369	35.72	664	64.28	-1.81
The Range	1033	234	22.65	799	77.35	0.46
Toowoomba City	1466	657	44.82	809	55.18	-3.29
Toowoomba East	2646	932	35.22	1714	64.78	-5.38
Toowoomba North	956	457	47.80	499	52.20	-2.32
Toowoomba Taylor St	1355	672	49.59	683	50.41	-0.52
Toowoomba West	1890	731	38.68	1159	61.32	-1.77
Tor Street North	2192	911	41.56	1281	58.44	0.33
Westbrook	647	181	27.98	466	72.02	1.02
Wilsonton	3102	1191	38.39	1911	61.61	-5.20
Wyreema	518	163	31.47	355	68.53	-3.26
ABSENT	4583	1577	34.41	3006	65.59	-
POSTAL	4081	1178	28.87	2903	71.13	-	
PRE POLL	3401	1091	32.08	2310	67.92	-	
PROVISIONAL	612	273	44.61	339	55.39	-	
Division Total	78048	27246	34.91	50802	65.09	-2.05	
							
							
Herbert							
							
Polling Place	Formal	HILL		LINDSAY		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Aitkenvale	2148	1066	49.63	1082	50.37	-1.86	
Alice River	1024	433	42.29	591	57.71	0.10	
Annandale	2996	1061	35.41	1935	64.59	0.55	
Annandale East	1708	568	33.26	1140	66.74	-4.76	
Arcadia	430	220	51.16	210	48.84	2.24	
Belgian Gardens	1194	542	45.39	652	54.61	1.44	
Brisbane City (Herbert)	60	28	46.67	32	53.33	10.43
Condon	2195	1169	53.26	1026	46.74	0.24
Cranbrook	2403	1078	44.86	1325	55.14	-2.10
Cungulla	141	79	56.03	62	43.97	7.28
Currajong	2505	1380	55.09	1125	44.91	-1.81
Currajong North	652	337	51.69	315	48.31	-1.12
Cutheringa	949	502	52.90	447	47.10	-0.42
Deeragun	1949	895	45.92	1054	54.08	-1.55
Douglas	461	204	44.25	257	55.75	-5.40
Garbutt	1520	970	63.82	550	36.18	-2.72
Heatley	2992	1519	50.77	1473	49.23	-0.18
Hermit Park	1787	1019	57.02	768	42.98	1.90
Hermit Park South	1325	710	53.58	615	46.42	2.28
Kelso	2032	1129	55.56	903	44.44	1.24
Kirwan	3361	1452	43.20	1909	56.80	-1.92
Kirwan South	3508	1649	47.01	1859	52.99	1.66
Mount Louisa	1733	789	45.53	944	54.47	-3.75
Mundingburra	2722	1299	47.72	1423	52.28	-1.15
Mundingburra South	1276	601	47.10	675	52.90	-2.57
Nelly Bay	520	265	50.96	255	49.04	7.70
Nome	872	396	45.41	476	54.59	-3.11
North Ward	2702	1142	42.26	1560	57.74	-2.08
Northern Beaches	1933	1001	51.78	932	48.22	-0.20
Oonoonba	1066	676	63.41	390	36.59	-2.11
Pallarenda	489	212	43.35	277	56.65	1.65
Palm Island	683	545	79.80	138	20.20	-3.84
Picnic Bay	247	121	48.99	126	51.01	-3.88
Pimlico	1985	1031	51.94	954	48.06	0.97
Railway Estate	1566	915	58.43	651	41.57	1.04
Rasmussen	2136	1137	53.23	999	46.77	4.07
Special Hospital Team 1	155	75	48.39	80	51.61	-1.00
Special Hospital Team 2	181	87	48.07	94	51.93	-13.04
Stuart	618	335	54.21	283	45.79	-1.77	
The Weir	2212	1020	46.11	1192	53.89	-0.22	
Townsville City	737	383	51.97	354	48.03	1.26	
Townsville Hospital	427	229	53.63	198	46.37	4.89	
Townsville South	851	528	62.04	323	37.96	1.64	
Townsville West	804	382	47.51	422	52.49	-8.21	
Vincent	1645	858	52.16	787	47.84	-1.96	
Willows	1713	669	39.05	1044	60.95	0.80	
Woodstock	378	182	48.15	196	51.85	7.33	
Wulguru	2873	1559	54.26	1314	45.74	-0.67	
ABSENT	3528	1662	47.11	1866	52.89	-	
POSTAL	3407	1482	43.50	1925	56.50	-	
PRE POLL	4544	1693	37.26	2851	62.74	-	
PROVISIONAL	902	506	56.10	396	43.90	-	
Division Total	82245	39790	48.38	42455	51.62	-1.52	
							
							
Hinkler							
							
Polling Place	Formal	DORRON		NEVILLE		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Agnes Water	715	341	47.69	374	52.31	6.08	
Alloway	476	156	32.77	320	67.23	4.74	
Ambrose	217	114	52.53	103	47.47	4.23	
Apple Tree Creek	439	184	41.91	255	58.09	-4.16	
Avoca	2718	1195	43.97	1523	56.03	0.34	
Avondale	240	91	37.92	149	62.08	1.52	
Bajool	233	111	47.64	122	52.36	2.76	
Baree	375	254	67.73	121	32.27	2.70	
Bargara	2853	1168	40.94	1685	59.06	-3.19	
Benaraby	490	239	48.78	251	51.22	5.15	
Booyal	105	43	40.95	62	59.05	1.44	
Bororen	295	118	40.00	177	60.00	0.44
Boyne Island	2210	1137	51.45	1073	48.55	-3.36
Branyan	689	286	41.51	403	58.49	0.56
Brisbane City (Hinkler)	87	36	41.38	51	58.62	-9.03
Bundaberg	1587	785	49.46	802	50.54	1.25
Bundaberg Central	646	349	54.02	297	45.98	-3.48
Bundaberg East	1862	878	47.15	984	52.85	1.25
Bundaberg North	1326	738	55.66	588	44.34	-
Bundaberg North West	1364	736	53.96	628	46.04	-1.81
Bundaberg South	2262	1173	51.86	1089	48.14	0.45
Bundaberg West	2029	1037	51.11	992	48.89	0.38
Burnett Heads	1173	675	57.54	498	42.46	5.56
Calliope	1456	713	48.97	743	51.03	1.50
Childers	1548	741	47.87	807	52.13	3.46
Clinton	1919	1223	63.73	696	36.27	3.29
Clinton St John's	1807	958	53.02	849	46.98	-7.48
Cordalba	346	137	39.60	209	60.40	-1.93
Elliott Heads	649	292	44.99	357	55.01	2.04
Givelda	168	76	45.24	92	54.76	6.47
Gladstone	1406	760	54.05	646	45.95	-2.40
Gladstone South	2051	1318	64.26	733	35.74	-0.94
Gladstone Valley	927	578	62.35	349	37.65	1.26
Gladstone West	1647	974	59.14	673	40.86	-0.03
Gooburrum	575	178	30.96	397	69.04	3.17
Goodwood	163	84	51.53	79	48.47	-2.58
Kalkie	683	257	37.63	426	62.37	6.02
Kepnock	1419	706	49.75	713	50.25	0.82
Kin Kora	2282	1302	57.06	980	42.94	-1.21
Lowmead	93	31	33.33	62	66.67	0.98
Millbank	1606	780	48.57	826	51.43	-0.61
Miriam Vale	446	177	39.69	269	60.31	4.19
Moore Park	789	332	42.08	457	57.92	-0.82
Mount Larcom	315	154	48.89	161	51.11	0.14
Mount Morgan	1103	797	72.26	306	27.74	4.84
Norville	2348	1221	52.00	1127	48.00	0.38
Oakwood	637	223	35.01	414	64.99	1.83
Rosedale	358	132	36.87	226	63.13	-0.70
Sharon	612	222	36.27	390	63.73	0.82
South Kolan	559	252	45.08	307	54.92	3.49
Special Hospital Team 1	301	123	40.86	178	59.14	4.94
Special Hospital Team 2	31	19	61.29	12	38.71	-2.24
Special Hospital Team 3	88	50	56.82	38	43.18	16.34
Special Hospital Team 4	46	23	50.00	23	50.00	-
Special Hospital Team 5	14	7	50.00	7	50.00	-
Tannum Sands	1260	656	52.06	604	47.94	2.55
Thabeban	1963	973	49.57	990	50.43	1.09
Toolooa	330	193	58.48	137	41.52	0.15
Ubobo	150	53	35.33	97	64.67	1.60
Walkervale	1973	1067	54.08	906	45.92	-0.73	
Wartburg	230	121	52.61	109	47.39	7.24	
Woodgate	454	167	36.78	287	63.22	-0.55	
Woongarra	832	315	37.86	517	62.14	2.38	
Yandaran	428	198	46.26	230	53.74	7.64	
Yarroon	1275	715	56.08	560	43.92	-1.25	
Yarwun	311	157	50.48	154	49.52	7.12	
ABSENT	3689	1795	48.66	1894	51.34	-	
POSTAL	3816	1748	45.81	2068	54.19	-	
PRE POLL	4715	2165	45.92	2550	54.08	-	
PROVISIONAL	511	321	62.82	190	37.18	-	
Division Total	74720	37328	49.96	37392	50.04	0.30	
							
							
Kennedy							
							
Polling Place	Formal	NEILAN		LYLE		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Abergowrie	195	41	21.03	154	78.97	-	
Aloomba	258	91	35.27	167	64.73	-	
Atherton	2314	856	36.99	1458	63.01	-	
Atherton North	1030	348	33.79	682	66.21	-	
Babinda	823	385	46.78	438	53.22	-	
Bambaroo	205	60	29.27	145	70.73	-	
Bellenden Ker	117	30	25.64	87	74.36	-	
Biboohra	265	90	33.96	175	66.04	-	
Bluewater	1373	636	46.32	737	53.68	-	
Boulia	177	97	54.80	80	45.20	-	
Bramston Beach	94	25	26.60	69	73.40	-	
Brisbane City (Kennedy)	55	21	38.18	34	61.82	-	
Burketown	83	55	66.26	28	33.73	-	
Butchers Creek	140	59	42.14	81	57.86	-	
Camooweal	79	47	59.49	32	40.51	-
Cardwell	800	255	31.87	545	68.12	-
Charters Towers	1212	482	39.77	730	60.23	-
Charters Towers Central	1000	413	41.30	587	58.70	-
Charters Towers North	257	107	41.63	150	58.37	-
Chillagoe	171	49	28.65	122	71.34	-
Cloncurry	1243	557	44.81	686	55.19	-
Croydon	135	54	40.00	81	60.00	-
Dajarra	85	62	72.94	23	27.06	-
Dimbulah	529	204	38.56	325	61.44	-
Doomadgee	361	320	88.64	41	11.36	-
East Palmerston	218	59	27.06	159	72.94	-
Einasleigh	32	5	15.62	27	84.37	-
El Arish	414	149	35.99	265	64.01	-
Emerald Creek	273	72	26.37	201	73.63	-
Evelyn Central	62	21	33.87	41	66.13	-
Feluga	230	62	26.96	168	73.04	-
Flying Fish Point	276	119	43.12	157	56.88	-
Forrest Beach	583	247	42.37	336	57.63	-
Forsayth	72	19	26.39	53	73.61	-
Garradunga	245	56	22.86	189	77.14	-
Georgetown	141	46	32.62	95	67.38	-
Goondi	1055	438	41.52	617	58.48	-
Gordonvale	2520	1077	42.74	1443	57.26	-
Greenvale	81	23	28.40	58	71.60	-
Halifax	598	320	53.51	278	46.49	-
Happy Valley	857	388	45.27	469	54.73	-
Hawkins Creek	162	43	26.54	119	73.46	-
Healy	1159	563	48.58	596	51.42	-
Herberton	596	312	52.35	284	47.65	-
Homestead	70	37	52.86	33	47.14	-
Hughenden	683	336	49.19	347	50.81	-
Ingham	1877	759	40.44	1118	59.56	-
Ingham Hospital	1156	498	43.08	658	56.92	-
Innisfail	1941	856	44.10	1085	55.90	-
Innisfail East	1191	528	44.33	663	55.67	-
Innisfail Hospital	630	271	43.02	359	56.98	-
Innot Hot Springs	144	50	34.72	94	65.28	-
Irvinebank	68	37	54.41	31	45.59	-
Julia Creek	258	70	27.13	188	72.87	-
Kairi	419	131	31.26	288	68.74	-
Kalkadoon	660	389	58.94	271	41.06	-
Karumba	260	88	33.85	172	66.15	-
Kennedy	221	66	29.86	155	70.14	-
Kurrimine Beach	410	114	27.80	296	72.20	-
Long Pocket	164	35	21.34	129	78.66	-
Lower Tully	374	114	30.48	260	69.52	-
Lucinda	313	112	35.78	201	64.22	-
Macknade	264	103	39.02	161	60.98	-
Malanda	1761	710	40.32	1051	59.68	-
Mareeba	2685	998	37.17	1687	62.83	-
Mareeba Hospital	939	365	38.87	574	61.13	-
Mareeba West	1143	491	42.96	652	57.04	-
Mcdonnell Creek	198	58	29.29	140	70.71	-
Mckinlay	27	4	14.81	23	85.18	-
Mena Creek	349	104	29.80	245	70.20	-
Millaa Millaa	400	183	45.75	217	54.25	-
Mingela	38	12	31.58	26	68.42	-
Miriwinni	443	125	28.22	318	71.78	-
Mission Beach	636	243	38.21	393	61.79	-
Moresby	278	86	30.94	192	69.06	-
Mornington Island	392	315	80.36	77	19.64	-
Mount Garnet	270	122	45.19	148	54.81	-
Mount Isa	1789	819	45.78	970	54.22	-
Mount Isa Hospital	399	225	56.39	174	43.61	-
Mount Isa West	376	220	58.51	156	41.49	-
Mount Surprise	62	24	38.71	38	61.29	-
Mourilyan	806	299	37.10	507	62.90	-
Murray Upper	266	95	35.71	171	64.29	-
Mutchilba	225	65	28.89	160	71.11	-
Normanton	557	380	68.22	177	31.78	-
Pentland	151	54	35.76	97	64.24	-
Prairie	55	12	21.82	43	78.18	-
Queenton	1345	563	41.86	782	58.14	-
Ravenshoe	1024	385	37.60	639	62.40	-
Ravenswood	173	66	38.15	107	61.85	-
Richmond	395	144	36.46	251	63.54	-
Richmond Hill	936	370	39.53	566	60.47	-
Rollingstone	596	235	39.43	361	60.57	-
Silkwood	371	122	32.88	249	67.12	-
Soldiers Hill	941	485	51.54	456	48.46	-
South Johnstone	347	164	47.26	183	52.74	-
South Mission Beach	660	238	36.06	422	63.94	-
Special Hospital Team 1	15	8	53.33	7	46.67	-
Special Hospital Team 2	23	12	52.17	11	47.83	-
Special Hospital Team 3	40	18	45.00	22	55.00	-
Special Hospital Team 4	50	19	38.00	31	62.00	-
Special Hospital Team 5	105	50	47.62	55	52.38	-
Special Hospital Team 6	18	8	44.44	10	55.56	-
Special Hospital Team 7	20	15	75.00	5	25.00	-
Special Hospital Team 8	21	9	42.86	12	57.14	-
Special Hospital Team 9	21	14	66.67	7	33.33	-
Sunset	1284	626	48.75	658	51.25	-
Tolga	1229	382	31.08	847	68.92	-
Toobanna	354	118	33.33	236	66.67	-
Townview	926	478	51.62	448	48.38	-
Trebonne	434	106	24.42	328	75.58	-	
Tully	1296	499	38.50	797	61.50	-	
Tully Hospital	640	233	36.41	407	63.59	-	
Upper Barron	125	28	22.40	97	77.60	-	
Upper Stone	68	17	25.00	51	75.00	-	
Victoria Estate	491	123	25.05	368	74.95	-	
Walkamin	288	84	29.17	204	70.83	-	
Wangan	511	176	34.44	335	65.56	-	
Wondecla	255	101	39.61	154	60.39	-	
Yungaburra	1024	384	37.50	640	62.50	-	
ABSENT	4947	2322	46.94	2625	53.06	-	
POSTAL	3942	1043	26.46	2899	73.54	-	
PRE POLL	1876	950	50.64	926	49.36	-	
PROVISIONAL	769	421	54.75	348	45.25	-	
Division Total	75483	30982	41.05	44501	58.95		
							
							
Leichhardt							
							
Polling Place	Formal	TREZISE		ENTSCH		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Alexandra Bay	265	132	49.81	133	50.19	-5.37	
Aurukun	503	357	70.97	146	29.03	-12.25	
Balaclava	2351	1055	44.87	1296	55.13	-0.59	
Bamaga	385	269	69.87	116	30.13	4.29	
Bloomfield	207	122	58.94	85	41.06	-10.06	
Brinsmead	1349	420	31.13	929	68.87	-7.62	
Brisbane City (Leichhardt)	63	28	44.44	35	55.56	-1.17	
Cairns	759	332	43.74	427	56.26	-1.46	
Cairns Base Hospital	532	264	49.62	268	50.38	-1.73	
Cairns North	1608	696	43.28	912	56.72	-2.87	
Cairns West	2592	1341	51.74	1251	48.26	-1.72	
Caravonica	2849	1062	37.28	1787	62.72	-0.56
Clifton Beach	1343	515	38.35	828	61.65	4.32
Coen	159	91	57.23	68	42.77	-8.48
Cooktown	915	359	39.23	556	60.77	-5.89
Daintree	158	66	41.77	92	58.23	-5.60
Earlville	3102	1162	37.46	1940	62.54	-0.71
Edge Hill	3528	1384	39.23	2144	60.77	-1.01
Edmonton	3562	1403	39.39	2159	60.61	-0.24
Freshwater	987	382	38.70	605	61.30	0.95
Hambledon	2839	1191	41.95	1648	58.05	-1.61
Holloways Beach	1009	456	45.19	553	54.81	-1.18
Hope Vale	302	198	65.56	104	34.44	-18.37
Horn Island	202	127	62.87	75	37.13	-3.31
Injinoo	221	147	66.52	74	33.48	3.46
Julatten	367	148	40.33	219	59.67	-2.70
Kowanyama	418	326	77.99	92	22.01	1.12
Kuranda	1518	793	52.24	725	47.76	-1.36
Laura	64	40	62.50	24	37.50	18.82
Lockhart River	277	194	70.04	83	29.96	-0.29
Machans Beach	520	341	65.58	179	34.42	2.06
Manunda	1223	555	45.38	668	54.62	-0.91
Miallo	332	96	28.92	236	71.08	-8.39
Mossman	1709	738	43.18	971	56.82	-2.03
Mount Molloy	170	90	52.94	80	47.06	1.16
Napranum	299	197	65.89	102	34.11	-20.26
New Mapoon	185	106	57.30	79	42.70	-1.90
Parramatta	2721	1285	47.23	1436	52.77	-3.91
Pormpuraaw	303	130	42.90	173	57.10	-29.03
Port Douglas	1610	579	35.96	1031	64.04	0.91
Redlynch	1412	468	33.14	944	66.86	-0.76
Remote Mobile Team 1	912	634	69.52	278	30.48	7.06
Remote Mobile Team 2	864	597	69.10	267	30.90	7.93
Remote Mobile Team 3	90	55	61.11	35	38.89	-4.74
Special Hospital Team 1	162	70	43.21	92	56.79	-7.94
Special Hospital Team 2	71	55	77.46	16	22.54	-
Stratford	919	387	42.11	532	57.89	-0.02
Tamwoy	283	172	60.78	111	39.22	6.62
Thursday Island	901	473	52.50	428	47.50	-1.84
Trinity Beach	3200	1285	40.16	1915	59.84	-3.01
Weipa North	874	372	42.56	502	57.44	-5.49
White Rock	2023	860	42.51	1163	57.49	-4.45
Whitfield	2163	809	37.40	1354	62.60	-1.73
Wonga Beach	379	172	45.38	207	54.62	3.82
Woree	3890	1510	38.82	2380	61.18	-1.09
Yarrabah	755	622	82.38	133	17.62	-3.64
Yorkeys Knob	1229	519	42.23	710	57.77	3.97
ABSENT	3445	1367	39.68	2078	60.32	-
POSTAL	2497	891	35.68	1606	64.32	-
PRE POLL	3591	1350	37.59	2241	62.41	-	
PROVISIONAL	1103	540	48.96	563	51.04	-	
Division Total	74269	32385	43.61	41884	56.39	-2.34	
							
							
Lilley							
							
Polling Place	Formal	SWAN		ROSS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Ascot	2507	622	24.81	1885	75.19	-0.60	
Aspley (Lilley)	1377	721	52.36	656	47.64	4.68	
Aspley East	1897	843	44.44	1054	55.56	0.67	
Banyo	1646	1164	70.72	482	29.28	5.03	
Banyo East	1782	1169	65.60	613	34.40	2.26	
Boondall	4278	2408	56.29	1870	43.71	1.48	
Brighton	1868	1228	65.74	640	34.26	-0.38	
Brighton South	1882	1232	65.46	650	34.54	-0.42
Brisbane City (Lilley)	450	276	61.33	174	38.67	0.88
Chermside East	2237	1307	58.43	930	41.57	4.09
Clayfield	1703	635	37.29	1068	62.71	4.28
Clayfield West	2355	918	38.98	1437	61.02	3.90
Deagon	1178	787	66.81	391	33.19	0.30
Eventide Home	738	454	61.52	284	38.48	-4.77
Freemasons Homes	370	187	50.54	183	49.46	7.77
Geebung	2401	1387	57.77	1014	42.23	3.19
Gordon Park	1727	951	55.07	776	44.93	-0.48
Hamilton	2378	871	36.63	1507	63.37	1.94
