House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Hinkler																							
					BATES			MELVILLE			WHITE			DORRON			NEVILLE			JANKE			
		TOTAL											780	48.57		826	51.43					1606	
																Elected							
																							
Miriam Vale                                                    																							
	FIRST			8	1.79		44	9.87		4	0.90		127	28.48		224	50.22		39	8.74		446	
	SECOND			2	50.00		0	0.00			Excluded		0	0.00		1	25.00		1	25.00		4	
		TOTAL		10	2.24		44	9.87					127	28.48		225	50.45		40	8.97		446	
	THIRD				Excluded		4	40.00					5	50.00		1	10.00		0	0.00		10	
		TOTAL					48	10.76					132	29.60		226	50.67		40	8.97		446	
	FOURTH						19	47.50					8	20.00		13	32.50			Excluded		40	
		TOTAL					67	15.02					140	31.39		239	53.59					446	
	FIFTH							Excluded					37	55.22		30	44.78					67	
		TOTAL											177	39.69		269	60.31					446	
																Elected							
																							
Moore Park                                                     																							
	FIRST			15	1.90		83	10.52		9	1.14		243	30.80		355	44.99		84	10.65		789	
	SECOND			3	33.33		1	11.11			Excluded		2	22.22		0	0.00		3	33.33		9	
		TOTAL		18	2.28		84	10.65					245	31.05		355	44.99		87	11.03		789	
	THIRD				Excluded		9	50.00					4	22.22		3	16.67		2	11.11		18	
		TOTAL					93	11.79					249	31.56		358	45.37		89	11.28		789	
	FOURTH						35	39.33					21	23.60		33	37.08			Excluded		89	
		TOTAL					128	16.22					270	34.22		391	49.56					789	
	FIFTH							Excluded					62	48.44		66	51.56					128	
		TOTAL											332	42.08		457	57.92					789	
																Elected							
																							
Mount Larcom                                                   																							
	FIRST			12	3.81		30	9.52		6	1.90		100	31.75		117	37.14		50	15.87		315	
	SECOND			0	0.00		2	33.33			Excluded		2	33.33		0	0.00		2	33.33		6	
		TOTAL		12	3.81		32	10.16					102	32.38		117	37.14		52	16.51		315	
	THIRD				Excluded		5	41.67					5	41.67		2	16.67		0	0.00		12	
		TOTAL					37	11.75					107	33.97		119	37.78		52	16.51		315	
	FOURTH						28	53.85					9	17.31		15	28.85			Excluded		52	
		TOTAL					65	20.63					116	36.83		134	42.54					315	
	FIFTH							Excluded					38	58.46		27	41.54					65	
		TOTAL											154	48.89		161	51.11					315	
																Elected							
																							
Mount Morgan                                                   																							
	FIRST			14	1.27		44	3.99		12	1.09		672	60.92		224	20.31		137	12.42		1103	
	SECOND			3	25.00		4	33.33			Excluded		3	25.00		1	8.33		1	8.33		12	
		TOTAL		17	1.54		48	4.35					675	61.20		225	20.40		138	12.51		1103	
	THIRD				Excluded		11	64.71					4	23.53		1	5.88		1	5.88		17	
		TOTAL					59	5.35					679	61.56		226	20.49		139	12.60		1103	
	FOURTH						89	64.03					21	15.11		29	20.86			Excluded		139	
		TOTAL					148	13.42					700	63.46		255	23.12					1103	
	FIFTH							Excluded					97	65.54		51	34.46					148	
		TOTAL											797	72.26		306	27.74					1103	
																Elected							
																							
Norville                                                       																							
	FIRST			45	1.92		275	11.71		45	1.92		941	40.08		870	37.05		172	7.33		2348	
	SECOND			18	40.00		8	17.78			Excluded		10	22.22		7	15.56		2	4.44		45	
		TOTAL		63	2.68		283	12.05					951	40.50		877	37.35		174	7.41		2348	
	THIRD				Excluded		29	46.03					24	38.10		6	9.52		4	6.35		63	
		TOTAL					312	13.29					975	41.52		883	37.61		178	7.58		2348	
	FOURTH						100	56.18					36	20.22		42	23.60			Excluded		178	
		TOTAL					412	17.55					1011	43.06		925	39.40					2348	
	FIFTH							Excluded					210	50.97		202	49.03					412	
		TOTAL											1221	52.00		1127	48.00					2348	
																Elected							
																							
Oakwood                                                        																							
	FIRST			9	1.41		91	14.29		6	0.94		148	23.23		305	47.88		78	12.24		637	
	SECOND			2	33.33		1	16.67			Excluded		2	33.33		0	0.00		1	16.67		6	
		TOTAL		11	1.73		92	14.44					150	23.55		305	47.88		79	12.40		637	
	THIRD				Excluded		8	72.73					1	9.09		1	9.09		1	9.09		11	
		TOTAL					100	15.70					151	23.70		306	48.04		80	12.56		637	
	FOURTH						46	57.50					5	6.25		29	36.25			Excluded		80	
		TOTAL					146	22.92					156	24.49		335	52.59					637	
	FIFTH							Excluded					67	45.89		79	54.11					146	
		TOTAL											223	35.01		414	64.99					637	
																Elected							
																							
Rosedale                                                       																							
	FIRST			11	3.07		27	7.54		3	0.84		84	23.46		179	50.00		54	15.08		358	
	SECOND			2	66.67		0	0.00			Excluded		1	33.33		0	0.00		0	0.00		3	
		TOTAL		13	3.63		27	7.54					85	23.74		179	50.00		54	15.08		358	
	THIRD				Excluded		5	38.46					5	38.46		1	7.69		2	15.38		13	
		TOTAL					32	8.94					90	25.14		180	50.28		56	15.64		358	
	FOURTH						30	53.57					13	23.21		13	23.21			Excluded		56	
		TOTAL					62	17.32					103	28.77		193	53.91					358	
	FIFTH							Excluded					29	46.77		33	53.23					62	
		TOTAL											132	36.87		226	63.13					358	
																Elected							
																							
Sharon                                                         																							
	FIRST			7	1.14		102	16.67		4	0.65		133	21.73		280	45.75		86	14.05		612	
	SECOND			2	50.00		0	0.00			Excluded		0	0.00		2	50.00		0	0.00		4	
		TOTAL		9	1.47		102	16.67					133	21.73		282	46.08		86	14.05		612	
	THIRD				Excluded		4	44.44					2	22.22		2	22.22		1	11.11		9	
		TOTAL					106	17.32					135	22.06		284	46.41		87	14.22		612	
	FOURTH						57	65.52					9	10.34		21	24.14			Excluded		87	
		TOTAL					163	26.63					144	23.53		305	49.84					612	
	FIFTH							Excluded					78	47.85		85	52.15					163	
		TOTAL											222	36.27		390	63.73					612	
																Elected							
																							
South Kolan                                                    																							
	FIRST			8	1.43		126	22.54		8	1.43		160	28.62		178	31.84		79	14.13		559	
	SECOND			4	50.00		2	25.00			Excluded		0	0.00		1	12.50		1	12.50		8	
		TOTAL		12	2.15		128	22.90					160	28.62		179	32.02		80	14.31		559	
	THIRD				Excluded		5	41.67					3	25.00		1	8.33		3	25.00		12	
		TOTAL					133	23.79					163	29.16		180	32.20		83	14.85		559	
	FOURTH						44	53.01					15	18.07		24	28.92			Excluded		83	
		TOTAL					177	31.66					178	31.84		204	36.49					559	
	FIFTH							Excluded					74	41.81		103	58.19					177	
		TOTAL											252	45.08		307	54.92					559	
																Elected							
																							
Tannum Sands                                                   																							
	FIRST			43	3.41		91	7.22		27	2.14		537	42.62		490	38.89		72	5.71		1260	
	SECOND			9	33.33		10	37.04			Excluded		5	18.52		1	3.70		2	7.41		27	
		TOTAL		52	4.13		101	8.02					542	43.02		491	38.97		74	5.87		1260	
	THIRD				Excluded		24	46.15					18	34.62		7	13.46		3	5.77		52	
		TOTAL					125	9.92					560	44.44		498	39.52		77	6.11		1260	
	FOURTH						33	42.86					14	18.18		30	38.96			Excluded		77	
		TOTAL					158	12.54					574	45.56		528	41.90					1260	
	FIFTH							Excluded					82	51.90		76	48.10					158	
		TOTAL											656	52.06		604	47.94					1260	
																Elected							
																							
Thabeban                                                       																							
	FIRST			37	1.88		232	11.82		24	1.22		770	39.23		741	37.75		159	8.10		1963	
	SECOND			6	25.00		8	33.33			Excluded		5	20.83		0	0.00		5	20.83		24	
		TOTAL		43	2.19		240	12.23					775	39.48		741	37.75		164	8.35		1963	
	THIRD				Excluded		24	55.81					10	23.26		6	13.95		3	6.98		43	
		TOTAL					264	13.45					785	39.99		747	38.05		167	8.51		1963	
	FOURTH						87	52.10					30	17.96		50	29.94			Excluded		167	
		TOTAL					351	17.88					815	41.52		797	40.60					1963	
	FIFTH							Excluded					158	45.01		193	54.99					351	
		TOTAL											973	49.57		990	50.43					1963	
																Elected							
																							
Toolooa                                                        																							
	FIRST			7	2.12		34	10.30		6	1.82		149	45.15		110	33.33		24	7.27		330	
	SECOND			0	0.00		2	33.33			Excluded		2	33.33		1	16.67		1	16.67		6	
		TOTAL		7	2.12		36	10.91					151	45.76		111	33.64		25	7.58		330	
	THIRD				Excluded		3	42.86					3	42.86		1	14.29		0	0.00		7	
		TOTAL					39	11.82					154	46.67		112	33.94		25	7.58		330	
	FOURTH						12	48.00					6	24.00		7	28.00			Excluded		25	
		TOTAL					51	15.45					160	48.48		119	36.06					330	
	FIFTH							Excluded					33	64.71		18	35.29					51	
		TOTAL											193	58.48		137	41.52					330	
																Elected							
																							
Ubobo                                                          																							
	FIRST			9	6.00		17	11.33		3	2.00		28	18.67		73	48.67		20	13.33		150	
	SECOND			2	66.67		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		3	
		TOTAL		11	7.33		18	12.00					28	18.67		73	48.67		20	13.33		150	
	THIRD				Excluded		8	72.73					2	18.18		0	0.00		1	9.09		11	
		TOTAL					26	17.33					30	20.00		73	48.67		21	14.00		150	
	FOURTH						10	47.62					6	28.57		5	23.81			Excluded		21	
		TOTAL					36	24.00					36	24.00		78	52.00					150	
	FIFTH							Excluded					17	47.22		19	52.78					36	
		TOTAL											53	35.33		97	64.67					150	
																Elected							
																							
Walkervale                                                     																							
	FIRST			40	2.03		211	10.69		28	1.42		838	42.47		720	36.49		136	6.89		1973	
	SECOND			6	21.43		5	17.86			Excluded		9	32.14		6	21.43		2	7.14		28	
		TOTAL		46	2.33		216	10.95					847	42.93		726	36.80		138	6.99		1973	
	THIRD				Excluded		29	63.04					9	19.57		1	2.17		7	15.22		46	
		TOTAL					245	12.42					856	43.39		727	36.85		145	7.35		1973	
	FOURTH						71	48.97					38	26.21		36	24.83			Excluded		145	
		TOTAL					316	16.02					894	45.31		763	38.67					1973	
	FIFTH							Excluded					173	54.75		143	45.25					316	
		TOTAL											1067	54.08		906	45.92					1973	
																Elected							
																							
Wartburg                                                       																							
	FIRST			10	4.35		15	6.52		4	1.74		75	32.61		77	33.48		49	21.30		230	
	SECOND			2	50.00		0	0.00			Excluded		2	50.00		0	0.00		0	0.00		4	
		TOTAL		12	5.22		15	6.52					77	33.48		77	33.48		49	21.30		230	
	THIRD				Excluded		4	33.33					4	33.33		3	25.00		1	8.33		12	
		TOTAL					19	8.26					81	35.22		80	34.78		50	21.74		230	
	FOURTH						23	46.00					7	14.00		20	40.00			Excluded		50	
		TOTAL					42	18.26					88	38.26		100	43.48					230	
	FIFTH							Excluded					33	78.57		9	21.43					42	
		TOTAL											121	52.61		109	47.39					230	
																Elected							
																							
Woodgate                                                       																							
	FIRST			9	1.98		28	6.17		3	0.66		128	28.19		251	55.29		35	7.71		454	
	SECOND			0	0.00		0	0.00			Excluded		1	33.33		2	66.67		0	0.00		3	
		TOTAL		9	1.98		28	6.17					129	28.41		253	55.73		35	7.71		454	
	THIRD				Excluded		1	11.11					8	88.89		0	0.00		0	0.00		9	
		TOTAL					29	6.39					137	30.18		253	55.73		35	7.71		454	
	FOURTH						16	45.71					9	25.71		10	28.57			Excluded		35	
		TOTAL					45	9.91					146	32.16		263	57.93					454	
	FIFTH							Excluded					21	46.67		24	53.33					45	
		TOTAL											167	36.78		287	63.22					454	
																Elected							
																							
Woongarra                                                      																							
	FIRST			17	2.04		115	13.82		11	1.32		225	27.04		388	46.63		76	9.13		832	
	SECOND			4	36.36		1	9.09			Excluded		4	36.36		2	18.18		0	0.00		11	
		TOTAL		21	2.52		116	13.94					229	27.52		390	46.88		76	9.13		832	
	THIRD				Excluded		7	33.33					7	33.33		6	28.57		1	4.76		21	
		TOTAL					123	14.78					236	28.37		396	47.60		77	9.25		832	
	FOURTH						35	45.45					19	24.68		23	29.87			Excluded		77	
		TOTAL					158	18.99					255	30.65		419	50.36					832	
	FIFTH							Excluded					60	37.97		98	62.03					158	
		TOTAL											315	37.86		517	62.14					832	
																Elected							
																							
Yandaran                                                       																							
	FIRST			4	0.93		85	19.86		2	0.47		110	25.70		150	35.05		77	17.99		428	
	SECOND			0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		4	0.93		86	20.09					111	25.93		150	35.05		77	17.99		428	
	THIRD				Excluded		2	50.00					2	50.00		0	0.00		0	0.00		4	
		TOTAL					88	20.56					113	26.40		150	35.05		77	17.99		428	
	FOURTH						51	66.23					9	11.69		17	22.08			Excluded		77	
		TOTAL					139	32.48					122	28.50		167	39.02					428	
	FIFTH							Excluded					76	54.68		63	45.32					139	
		TOTAL											198	46.26		230	53.74					428	
																Elected							
																							
Yarroon                                                        																							
	FIRST			22	1.73		99	7.76		21	1.65		584	45.80		460	36.08		89	6.98		1275	
	SECOND			8	38.10		3	14.29			Excluded		8	38.10		1	4.76		1	4.76		21	
		TOTAL		30	2.35		102	8.00					592	46.43		461	36.16		90	7.06		1275	
	THIRD				Excluded		17	56.67					7	23.33		1	3.33		5	16.67		30	
		TOTAL					119	9.33					599	46.98		462	36.24		95	7.45		1275	
	FOURTH						50	52.63					22	23.16		23	24.21			Excluded		95	
		TOTAL					169	13.25					621	48.71		485	38.04					1275	
	FIFTH							Excluded					94	55.62		75	44.38					169	
		TOTAL											715	56.08		560	43.92					1275	
																Elected							
																							
Yarwun                                                         																							
	FIRST			14	4.50		43	13.83		2	0.64		94	30.23		119	38.26		39	12.54		311	
	SECOND			0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		14	4.50		44	14.15					95	30.55		119	38.26		39	12.54		311	
	THIRD				Excluded		8	57.14					4	28.57		0	0.00		2	14.29		14	
		TOTAL					52	16.72					99	31.83		119	38.26		41	13.18		311	
	FOURTH						30	73.17					6	14.63		5	12.20			Excluded		41	
		TOTAL					82	26.37					105	33.76		124	39.87					311	
	FIFTH							Excluded					52	63.41		30	36.59					82	
		TOTAL											157	50.48		154	49.52					311	
																Elected							
																							
Special Hospital Team 1                                        																							
	FIRST			6	1.99		22	7.31		3	1.00		98	32.56		163	54.15		9	2.99		301	
	SECOND			1	33.33		1	33.33			Excluded		1	33.33		0	0.00		0	0.00		3	
		TOTAL		7	2.33		23	7.64					99	32.89		163	54.15		9	2.99		301	
	THIRD				Excluded		6	85.71					1	14.29		0	0.00		0	0.00		7	
		TOTAL					29	9.63					100	33.22		163	54.15		9	2.99		301	
	FOURTH						3	33.33					2	22.22		4	44.44			Excluded		9	
		TOTAL					32	10.63					102	33.89		167	55.48					301	
	FIFTH							Excluded					21	65.63		11	34.38					32	
		TOTAL											123	40.86		178	59.14					301	
																Elected							
																							
Special Hospital Team 2                                        																							
	FIRST			1	3.23		1	3.23		0	0.00		15	48.39		8	25.81		6	19.35		31	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	3.23		1	3.23					15	48.39		8	25.81		6	19.35		31	
	THIRD				Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL					2	6.45					15	48.39		8	25.81		6	19.35		31	
	FOURTH						1	16.67					2	33.33		3	50.00			Excluded		6	
		TOTAL					3	9.68					17	54.84		11	35.48					31	
	FIFTH							Excluded					2	66.67		1	33.33					3	
		TOTAL											19	61.29		12	38.71					31	
																Elected							
																							
Special Hospital Team 3                                        																							
	FIRST			1	1.14		2	2.27		0	0.00		47	53.41		37	42.05		1	1.14		88	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.14		2	2.27					47	53.41		37	42.05		1	1.14		88	
	THIRD				Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL					3	3.41					47	53.41		37	42.05		1	1.14		88	
	FOURTH						0	0.00					1	100.00		0	0.00			Excluded		1	
		TOTAL					3	3.41					48	54.55		37	42.05					88	
	FIFTH							Excluded					2	66.67		1	33.33					3	
		TOTAL											50	56.82		38	43.18					88	
																Elected							
																							
Special Hospital Team 4                                        																							
	FIRST			2	4.35		1	2.17		0	0.00		21	45.65		22	47.83		0	0.00		46	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	4.35		1	2.17					21	45.65		22	47.83		0	0.00		46	
	THIRD				Excluded		2	100.00					0	0.00		0	0.00		0	0.00		2	
		TOTAL					3	6.52					21	45.65		22	47.83		0	0.00		46	
	FOURTH						0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL					3	6.52					21	45.65		22	47.83					46	
	FIFTH							Excluded					2	66.67		1	33.33					3	
		TOTAL											23	50.00		23	50.00					46	
																Elected							
																							
Special Hospital Team 5                                        																							
	FIRST			0	0.00		0	0.00		0	0.00		7	50.00		7	50.00		0	0.00		14	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00					7	50.00		7	50.00		0	0.00		14	
	THIRD				Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL					0	0.00					7	50.00		7	50.00		0	0.00		14	
	FOURTH						0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL					0	0.00					7	50.00		7	50.00					14	
	FIFTH							Excluded					0	0.00		0	0.00					0	
		TOTAL											7	50.00		7	50.00					14	
																Elected							
																							
ABSENT																							
	FIRST			165	4.47		311	8.43		164	4.45		1315	35.65		1378	37.35		356	9.65		3689	
	SECOND			45	27.44		41	25.00			Excluded		43	26.22		26	15.85		9	5.49		164	
		TOTAL		210	5.69		352	9.54					1358	36.81		1404	38.06		365	9.89		3689	
	THIRD				Excluded		104	49.52					52	24.76		28	13.33		26	12.38		210	
		TOTAL					456	12.36					1410	38.22		1432	38.82		391	10.60		3689	
	FOURTH						161	41.18					103	26.34		127	32.48			Excluded		391	
		TOTAL					617	16.73					1513	41.01		1559	42.26					3689	
	FIFTH							Excluded					282	45.71		335	54.29					617	
		TOTAL											1795	48.66		1894	51.34					3689	
																Elected							
																							
POSTAL																							
	FIRST			67	1.76		248	6.50		65	1.70		1379	36.14		1668	43.71		389	10.19		3816	
	SECOND			24	36.92		15	23.08			Excluded		19	29.23		2	3.08		5	7.69		65	
		TOTAL		91	2.38		263	6.89					1398	36.64		1670	43.76		394	10.32		3816	
	THIRD				Excluded		43	47.25					25	27.47		12	13.19		11	12.09		91	
		TOTAL					306	8.02					1423	37.29		1682	44.08		405	10.61		3816	
	FOURTH						165	40.74					88	21.73		152	37.53			Excluded		405	
		TOTAL					471	12.34					1511	39.60		1834	48.06					3816	
	FIFTH							Excluded					237	50.32		234	49.68					471	
		TOTAL											1748	45.81		2068	54.19					3816	
																Elected							
																							
PRE POLL																							
	FIRST			113	2.40		427	9.06		107	2.27		1637	34.72		2013	42.69		418	8.87		4715	
	SECOND			25	23.36		29	27.10			Excluded		23	21.50		24	22.43		6	5.61		107	
		TOTAL		138	2.93		456	9.67					1660	35.21		2037	43.20		424	8.99		4715	
	THIRD				Excluded		56	40.58					51	36.96		16	11.59		15	10.87		138	
		TOTAL					512	10.86					1711	36.29		2053	43.54		439	9.31		4715	
	FOURTH						207	47.15					94	21.41		138	31.44			Excluded		439	
		TOTAL					719	15.25					1805	38.28		2191	46.47					4715	
	FIFTH							Excluded					360	50.07		359	49.93					719	
		TOTAL											2165	45.92		2550	54.08					4715	
																Elected							
																							
PROVISIONAL																							
	FIRST			27	5.28		43	8.41		11	2.15		237	46.38		135	26.42		58	11.35		511	
	SECOND			3	27.27		2	18.18			Excluded		4	36.36		0	0.00		2	18.18		11	
		TOTAL		30	5.87		45	8.81					241	47.16		135	26.42		60	11.74		511	
	THIRD				Excluded		14	46.67					9	30.00		4	13.33		3	10.00		30	
		TOTAL					59	11.55					250	48.92		139	27.20		63	12.33		511	
	FOURTH						30	47.62					18	28.57		15	23.81			Excluded		63	
		TOTAL					89	17.42					268	52.45		154	30.14					511	
	FIFTH							Excluded					53	59.55		36	40.45					89	
		TOTAL											321	62.82		190	37.18					511	
																Elected							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
