House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Longman																										
				BECKETT			SCOPES			PATRICK			BROUGH			HALLAM			HARDWICK			BOWDEN				
	FIFTH			23	60.53						Excluded		4	10.53								11	28.95		38	
		TOTAL		211	35.05								304	50.50								87	14.45		602	
	SIXTH			46	52.87								41	47.13									Excluded		87	
		TOTAL		257	42.69								345	57.31											602	
													Elected													
																										
Toorbul                                                        																										
	FIRST			192	36.85		4	0.77		11	2.11		218	41.84		9	1.73		0	0.00		87	16.70		521	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		192	36.85		4	0.77		11	2.11		218	41.84		9	1.73					87	16.70		521	
	THIRD			0	0.00		0	0.00		0	0.00		3	33.33			Excluded					6	66.67		9	
		TOTAL		192	36.85		4	0.77		11	2.11		221	42.42								93	17.85		521	
	FOURTH			2	50.00			Excluded		2	50.00		0	0.00								0	0.00		4	
		TOTAL		194	37.24					13	2.50		221	42.42								93	17.85		521	
	FIFTH			9	69.23						Excluded		2	15.38								2	15.38		13	
		TOTAL		203	38.96								223	42.80								95	18.23		521	
	SIXTH			64	67.37								31	32.63									Excluded		95	
		TOTAL		267	51.25								254	48.75											521	
													Elected													
																										
Wamuran                                                        																										
	FIRST			360	29.65		33	2.72		43	3.54		608	50.08		32	2.64		5	0.41		133	10.96		1214	
	SECOND			1	20.00		0	0.00		0	0.00		0	0.00		1	20.00			Excluded		3	60.00		5	
		TOTAL		361	29.74		33	2.72		43	3.54		608	50.08		33	2.72					136	11.20		1214	
	THIRD			3	9.09		5	15.15		3	9.09		6	18.18			Excluded					16	48.48		33	
		TOTAL		364	29.98		38	3.13		46	3.79		614	50.58								152	12.52		1214	
	FOURTH			9	23.68			Excluded		19	50.00		6	15.79								4	10.53		38	
		TOTAL		373	30.72					65	5.35		620	51.07								156	12.85		1214	
	FIFTH			38	58.46						Excluded		18	27.69								9	13.85		65	
		TOTAL		411	33.86								638	52.55								165	13.59		1214	
	SIXTH			96	58.18								69	41.82									Excluded		165	
		TOTAL		507	41.76								707	58.24											1214	
													Elected													
																										
Woodford                                                       																										
	FIRST			633	32.75		65	3.36		74	3.83		849	43.92		65	3.36		15	0.78		232	12.00		1933	
	SECOND			1	6.67		1	6.67		0	0.00		1	6.67		5	33.33			Excluded		7	46.67		15	
		TOTAL		634	32.80		66	3.41		74	3.83		850	43.97		70	3.62					239	12.36		1933	
	THIRD			8	11.43		8	11.43		6	8.57		16	22.86			Excluded					32	45.71		70	
		TOTAL		642	33.21		74	3.83		80	4.14		866	44.80								271	14.02		1933	
	FOURTH			23	31.08			Excluded		26	35.14		9	12.16								16	21.62		74	
		TOTAL		665	34.40					106	5.48		875	45.27								287	14.85		1933	
	FIFTH			64	60.38						Excluded		24	22.64								18	16.98		106	
		TOTAL		729	37.71								899	46.51								305	15.78		1933	
	SIXTH			158	51.80								147	48.20									Excluded		305	
		TOTAL		887	45.89								1046	54.11											1933	
													Elected													
																										
Woorim                                                         																										
	FIRST			454	41.73		25	2.30		25	2.30		516	47.43		13	1.19		2	0.18		53	4.87		1088	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		2	
		TOTAL		454	41.73		25	2.30		25	2.30		516	47.43		15	1.38					53	4.87		1088	
	THIRD			2	13.33		1	6.67		3	20.00		2	13.33			Excluded					7	46.67		15	
		TOTAL		456	41.91		26	2.39		28	2.57		518	47.61								60	5.51		1088	
	FOURTH			6	23.08			Excluded		13	50.00		6	23.08								1	3.85		26	
		TOTAL		462	42.46					41	3.77		524	48.16								61	5.61		1088	
	FIFTH			29	70.73						Excluded		7	17.07								5	12.20		41	
		TOTAL		491	45.13								531	48.81								66	6.07		1088	
	SIXTH			30	45.45								36	54.55									Excluded		66	
		TOTAL		521	47.89								567	52.11											1088	
													Elected													
																										
Special Hospital Team 1                                        																										
	FIRST			127	37.69		3	0.89		7	2.08		179	53.12		5	1.48		0	0.00		16	4.75		337	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		127	37.69		3	0.89		7	2.08		179	53.12		5	1.48					16	4.75		337	
	THIRD			0	0.00		1	20.00		0	0.00		2	40.00			Excluded					2	40.00		5	
		TOTAL		127	37.69		4	1.19		7	2.08		181	53.71								18	5.34		337	
	FOURTH			1	25.00			Excluded		0	0.00		0	0.00								3	75.00		4	
		TOTAL		128	37.98					7	2.08		181	53.71								21	6.23		337	
	FIFTH			4	57.14						Excluded		3	42.86								0	0.00		7	
		TOTAL		132	39.17								184	54.60								21	6.23		337	
	SIXTH			11	52.38								10	47.62									Excluded		21	
		TOTAL		143	42.43								194	57.57											337	
													Elected													
																										
Special Hospital Team 2                                        																										
	FIRST			74	43.79		3	1.78		0	0.00		84	49.70		1	0.59		0	0.00		7	4.14		169	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		74	43.79		3	1.78		0	0.00		84	49.70		1	0.59					7	4.14		169	
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	
		TOTAL		75	44.38		3	1.78		0	0.00		84	49.70								7	4.14		169	
	FOURTH			1	33.33			Excluded		1	33.33		1	33.33								0	0.00		3	
		TOTAL		76	44.97					1	0.59		85	50.30								7	4.14		169	
	FIFTH			0	0.00						Excluded		1	100.00								0	0.00		1	
		TOTAL		76	44.97								86	50.89								7	4.14		169	
	SIXTH			3	42.86								4	57.14									Excluded		7	
		TOTAL		79	46.75								90	53.25											169	
													Elected													
																										
ABSENT																										
	FIRST			1396	33.39		257	6.15		242	5.79		1769	42.31		107	2.56		20	0.48		390	9.33		4181	
	SECOND			1	5.00		1	5.00		0	0.00		1	5.00		9	45.00			Excluded		8	40.00		20	
		TOTAL		1397	33.41		258	6.17		242	5.79		1770	42.33		116	2.77					398	9.52		4181	
	THIRD			15	12.93		31	26.72		16	13.79		25	21.55			Excluded					29	25.00		116	
		TOTAL		1412	33.77		289	6.91		258	6.17		1795	42.93								427	10.21		4181	
	FOURTH			82	28.37			Excluded		135	46.71		38	13.15								34	11.76		289	
		TOTAL		1494	35.73					393	9.40		1833	43.84								461	11.03		4181	
	FIFTH			203	51.65						Excluded		132	33.59								58	14.76		393	
		TOTAL		1697	40.59								1965	47.00								519	12.41		4181	
	SIXTH			235	45.28								284	54.72									Excluded		519	
		TOTAL		1932	46.21								2249	53.79											4181	
													Elected													
																										
POSTAL																										
	FIRST			1145	32.09		71	1.99		106	2.97		1899	53.22		47	1.32		8	0.22		292	8.18		3568	
	SECOND			0	0.00		1	12.50		1	12.50		0	0.00		4	50.00			Excluded		2	25.00		8	
		TOTAL		1145	32.09		72	2.02		107	3.00		1899	53.22		51	1.43					294	8.24		3568	
	THIRD			9	17.65		5	9.80		9	17.65		15	29.41			Excluded					13	25.49		51	
		TOTAL		1154	32.34		77	2.16		116	3.25		1914	53.64								307	8.60		3568	
	FOURTH			20	25.97			Excluded		40	51.95		10	12.99								7	9.09		77	
		TOTAL		1174	32.90					156	4.37		1924	53.92								314	8.80		3568	
	FIFTH			88	56.41						Excluded		41	26.28								27	17.31		156	
		TOTAL		1262	35.37								1965	55.07								341	9.56		3568	
	SIXTH			159	46.63								182	53.37									Excluded		341	
		TOTAL		1421	39.83								2147	60.17											3568	
													Elected													
																										
PRE POLL																										
	FIRST			934	33.93		93	3.38		110	4.00		1289	46.82		49	1.78		9	0.33		269	9.77		2753	
	SECOND			1	11.11		0	0.00		1	11.11		2	22.22		0	0.00			Excluded		5	55.56		9	
		TOTAL		935	33.96		93	3.38		111	4.03		1291	46.89		49	1.78					274	9.95		2753	
	THIRD			14	28.57		10	20.41		5	10.20		9	18.37			Excluded					11	22.45		49	
		TOTAL		949	34.47		103	3.74		116	4.21		1300	47.22								285	10.35		2753	
	FOURTH			30	29.13			Excluded		45	43.69		12	11.65								16	15.53		103	
		TOTAL		979	35.56					161	5.85		1312	47.66								301	10.93		2753	
	FIFTH			100	62.11						Excluded		45	27.95								16	9.94		161	
		TOTAL		1079	39.19								1357	49.29								317	11.51		2753	
	SIXTH			155	48.90								162	51.10									Excluded		317	
		TOTAL		1234	44.82								1519	55.18											2753	
													Elected													
																										
PROVISIONAL																										
	FIRST			221	41.94		37	7.02		24	4.55		182	34.54		13	2.47		2	0.38		48	9.11		527	
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		221	41.94		38	7.21		24	4.55		183	34.72		13	2.47					48	9.11		527	
	THIRD			2	15.38		1	7.69		2	15.38		5	38.46			Excluded					3	23.08		13	
		TOTAL		223	42.31		39	7.40		26	4.93		188	35.67								51	9.68		527	
	FOURTH			11	28.21			Excluded		16	41.03		7	17.95								5	12.82		39	
		TOTAL		234	44.40					42	7.97		195	37.00								56	10.63		527	
	FIFTH			22	52.38						Excluded		16	38.10								4	9.52		42	
		TOTAL		256	48.58								211	40.04								60	11.39		527	
	SIXTH			31	51.67								29	48.33									Excluded		60	
		TOTAL		287	54.46								240	45.54											527	
													Elected													
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
