House of Representatives - 2001 Election: Queensland																														
Distribution of Preferences 																														
By Polling Place																														
Capricornia																														
				GILLHAM			CLARKE			LEVER			SCHUBACK			MURPHY			JOHNS			TAYLOR			MUIR			LIVERMORE		
	THIRD			Excluded		10	71.43		1	7.14		1	7.14					0	0.00		1	7.14		0	0.00		1	7.14		14
		TOTAL				165	8.18		398	19.72		13	0.64					34	1.68		330	16.35		43	2.13		1035	51.29		2018
	FOURTH					5	38.46		2	15.38			Excluded					2	15.38		1	7.69		0	0.00		3	23.08		13
		TOTAL				170	8.42		400	19.82								36	1.78		331	16.40		43	2.13		1038	51.44		2018
	FIFTH					2	4.65		2	4.65								10	23.26		3	6.98			Excluded		26	60.47		43
		TOTAL				172	8.52		402	19.92								46	2.28		334	16.55					1064	52.73		2018
	SIXTH					4	8.70		5	10.87									Excluded		3	6.52					34	73.91		46
		TOTAL				176	8.72		407	20.17											337	16.70					1098	54.41		2018
	SEVENTH						Excluded		62	35.23											50	28.41					64	36.36		176
		TOTAL							469	23.24											387	19.18					1162	57.58		2018
	EIGHTH								343	88.63												Excluded					44	11.37		387
		TOTAL							812	40.24																	1206	59.76		2018
																											Elected			
																														
Farnborough                                                    																														
	FIRST		3	0.29		93	9.03		257	24.95		9	0.87		1	0.10		17	1.65		181	17.57		62	6.02		407	39.51		1030
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL	3	0.29		93	9.03		257	24.95		9	0.87					17	1.65		181	17.57		63	6.12		407	39.51		1030
	THIRD			Excluded		2	66.67		1	33.33		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL				95	9.22		258	25.05		9	0.87					17	1.65		181	17.57		63	6.12		407	39.51		1030
	FOURTH					2	22.22		4	44.44			Excluded					2	22.22		0	0.00		1	11.11		0	0.00		9
		TOTAL				97	9.42		262	25.44								19	1.84		181	17.57		64	6.21		407	39.51		1030
	FIFTH					6	9.38		4	6.25								22	34.38		1	1.56			Excluded		31	48.44		64
		TOTAL				103	10.00		266	25.83								41	3.98		182	17.67					438	42.52		1030
	SIXTH					5	12.20		6	14.63									Excluded		1	2.44					29	70.73		41
		TOTAL				108	10.49		272	26.41											183	17.77					467	45.34		1030
	SEVENTH						Excluded		37	34.26											36	33.33					35	32.41		108
		TOTAL							309	30.00											219	21.26					502	48.74		1030
	EIGHTH								188	85.84												Excluded					31	14.16		219
		TOTAL							497	48.25																	533	51.75		1030
																											Elected			
																														
Frenchville                                                    																														
	FIRST		2	0.12		81	4.70		441	25.61		7	0.41		11	0.64		25	1.45		415	24.10		19	1.10		721	41.87		1722
	SECOND		0	0.00		1	9.09		0	0.00		1	9.09			Excluded		2	18.18		0	0.00		1	9.09		6	54.55		11
		TOTAL	2	0.12		82	4.76		441	25.61		8	0.46					27	1.57		415	24.10		20	1.16		727	42.22		1722
	THIRD			Excluded		1	50.00		1	50.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				83	4.82		442	25.67		8	0.46					27	1.57		415	24.10		20	1.16		727	42.22		1722
	FOURTH					3	37.50		0	0.00			Excluded					2	25.00		1	12.50		1	12.50		1	12.50		8
		TOTAL				86	4.99		442	25.67								29	1.68		416	24.16		21	1.22		728	42.28		1722
	FIFTH					0	0.00		3	14.29								9	42.86		3	14.29			Excluded		6	28.57		21
		TOTAL				86	4.99		445	25.84								38	2.21		419	24.33					734	42.62		1722
	SIXTH					2	5.26		8	21.05									Excluded		3	7.89					25	65.79		38
		TOTAL				88	5.11		453	26.31											422	24.51					759	44.08		1722
	SEVENTH						Excluded		33	37.50											33	37.50					22	25.00		88
		TOTAL							486	28.22											455	26.42					781	45.35		1722
	EIGHTH								406	89.23												Excluded					49	10.77		455
		TOTAL							892	51.80																	830	48.20		1722
																											Elected			
																														
Glenden                                                        																														
	FIRST		30	8.43		20	5.62		48	13.48		5	1.40		3	0.84		4	1.12		59	16.57		3	0.84		184	51.69		356
	SECOND		0	0.00		0	0.00		1	33.33		0	0.00			Excluded		1	33.33		0	0.00		0	0.00		1	33.33		3
		TOTAL	30	8.43		20	5.62		49	13.76		5	1.40					5	1.40		59	16.57		3	0.84		185	51.97		356
	THIRD			Excluded		18	60.00		1	3.33		0	0.00					1	3.33		1	3.33		1	3.33		8	26.67		30
		TOTAL				38	10.67		50	14.04		5	1.40					6	1.69		60	16.85		4	1.12		193	54.21		356
	FOURTH					0	0.00		0	0.00			Excluded					2	40.00		0	0.00		1	20.00		2	40.00		5
		TOTAL				38	10.67		50	14.04								8	2.25		60	16.85		5	1.40		195	54.78		356
	FIFTH					0	0.00		2	40.00								1	20.00		0	0.00			Excluded		2	40.00		5
		TOTAL				38	10.67		52	14.61								9	2.53		60	16.85					197	55.34		356
	SIXTH					1	11.11		3	33.33									Excluded		1	11.11					4	44.44		9
		TOTAL				39	10.96		55	15.45											61	17.13					201	56.46		356
	SEVENTH						Excluded		16	41.03											13	33.33					10	25.64		39
		TOTAL							71	19.94											74	20.79					211	59.27		356
	EIGHTH								56	75.68												Excluded					18	24.32		74
		TOTAL							127	35.67																	229	64.33		356
																											Elected			
																														
Glenmore                                                       																														
	FIRST		12	0.37		204	6.28		601	18.50		14	0.43		11	0.34		63	1.94		588	18.10		48	1.48		1707	52.56		3248
	SECOND		1	9.09		1	9.09		3	27.27		2	18.18			Excluded		0	0.00		1	9.09		2	18.18		1	9.09		11
		TOTAL	13	0.40		205	6.31		604	18.60		16	0.49					63	1.94		589	18.13		50	1.54		1708	52.59		3248
	THIRD			Excluded		10	76.92		0	0.00		2	15.38					0	0.00		0	0.00		0	0.00		1	7.69		13
		TOTAL				215	6.62		604	18.60		18	0.55					63	1.94		589	18.13		50	1.54		1709	52.62		3248
	FOURTH					1	5.56		3	16.67			Excluded					3	16.67		3	16.67		4	22.22		4	22.22		18
		TOTAL				216	6.65		607	18.69								66	2.03		592	18.23		54	1.66		1713	52.74		3248
	FIFTH					5	9.26		4	7.41								24	44.44		3	5.56			Excluded		18	33.33		54
		TOTAL				221	6.80		611	18.81								90	2.77		595	18.32					1731	53.29		3248
	SIXTH					15	16.67		17	18.89									Excluded		11	12.22					47	52.22		90
		TOTAL				236	7.27		628	19.33											606	18.66					1778	54.74		3248
	SEVENTH						Excluded		79	33.47											98	41.53					59	25.00		236
		TOTAL							707	21.77											704	21.67					1837	56.56		3248
	EIGHTH								604	85.80												Excluded					100	14.20		704
		TOTAL							1311	40.36																	1937	59.64		3248
																											Elected			
																														
Gracemere                                                      																														
	FIRST		11	0.43		264	10.28		567	22.08		26	1.01		15	0.58		37	1.44		443	17.25		14	0.55		1191	46.38		2568
	SECOND		0	0.00		2	13.33		1	6.67		5	33.33			Excluded		3	20.00		1	6.67		0	0.00		3	20.00		15
		TOTAL	11	0.43		266	10.36		568	22.12		31	1.21					40	1.56		444	17.29		14	0.55		1194	46.50		2568
	THIRD			Excluded		7	63.64		0	0.00		1	9.09					0	0.00		0	0.00		0	0.00		3	27.27		11
		TOTAL				273	10.63		568	22.12		32	1.25					40	1.56		444	17.29		14	0.55		1197	46.61		2568
	FOURTH					8	25.00		7	21.88			Excluded					8	25.00		2	6.25		3	9.38		4	12.50		32
		TOTAL				281	10.94		575	22.39								48	1.87		446	17.37		17	0.66		1201	46.77		2568
	FIFTH					3	17.65		1	5.88								6	35.29		4	23.53			Excluded		3	17.65		17
		TOTAL				284	11.06		576	22.43								54	2.10		450	17.52					1204	46.88		2568
	SIXTH					13	24.07		11	20.37									Excluded		5	9.26					25	46.30		54
		TOTAL				297	11.57		587	22.86											455	17.72					1229	47.86		2568
	SEVENTH						Excluded		105	35.35											96	32.32					96	32.32		297
		TOTAL							692	26.95											551	21.46					1325	51.60		2568
	EIGHTH								462	83.85												Excluded					89	16.15		551
		TOTAL							1154	44.94																	1414	55.06		2568
																											Elected			
																														
Ilfracombe                                                     																														
	FIRST		0	0.00		11	9.57		46	40.00		0	0.00		0	0.00		2	1.74		27	23.48		0	0.00		29	25.22		115
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	0	0.00		11	9.57		46	40.00		0	0.00					2	1.74		27	23.48		0	0.00		29	25.22		115
	THIRD			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				11	9.57		46	40.00		0	0.00					2	1.74		27	23.48		0	0.00		29	25.22		115
	FOURTH					0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				11	9.57		46	40.00								2	1.74		27	23.48		0	0.00		29	25.22		115
	FIFTH					0	0.00		0	0.00								0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL				11	9.57		46	40.00								2	1.74		27	23.48					29	25.22		115
	SIXTH					0	0.00		0	0.00									Excluded		1	50.00					1	50.00		2
		TOTAL				11	9.57		46	40.00											28	24.35					30	26.09		115
	SEVENTH						Excluded		6	54.55											2	18.18					3	27.27		11
		TOTAL							52	45.22											30	26.09					33	28.70		115
	EIGHTH								26	86.67												Excluded					4	13.33		30
		TOTAL							78	67.83																	37	32.17		115
																											Elected			
																														
Jericho                                                        																														
	FIRST		0	0.00		17	15.45		37	33.64		1	0.91		0	0.00		0	0.00		22	20.00		0	0.00		33	30.00		110
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	0	0.00		17	15.45		37	33.64		1	0.91					0	0.00		22	20.00		0	0.00		33	30.00		110
	THIRD			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				17	15.45		37	33.64		1	0.91					0	0.00		22	20.00		0	0.00		33	30.00		110
	FOURTH					1	100.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL				18	16.36		37	33.64								0	0.00		22	20.00		0	0.00		33	30.00		110
	FIFTH					0	0.00		0	0.00								0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL				18	16.36		37	33.64								0	0.00		22	20.00					33	30.00		110
	SIXTH					0	0.00		0	0.00									Excluded		0	0.00					0	0.00		0
		TOTAL				18	16.36		37	33.64											22	20.00					33	30.00		110
	SEVENTH						Excluded		11	61.11											2	11.11					5	27.78		18
		TOTAL							48	43.64											24	21.82					38	34.55		110
	EIGHTH								24	100.00												Excluded					0	0.00		24
		TOTAL							72	65.45																	38	34.55		110
																											Elected			
																														
Keppel Sands                                                   																														
	FIRST		5	1.63		40	13.03		79	25.73		1	0.33		0	0.00		2	0.65		26	8.47		5	1.63		149	48.53		307
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	5	1.63		40	13.03		79	25.73		1	0.33					2	0.65		26	8.47		5	1.63		149	48.53		307
	THIRD			Excluded		3	60.00		1	20.00		1	20.00					0	0.00		0	0.00		0	0.00		0	0.00		5
		TOTAL				43	14.01		80	26.06		2	0.65					2	0.65		26	8.47		5	1.63		149	48.53		307
	FOURTH					1	50.00		1	50.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				44	14.33		81	26.38								2	0.65		26	8.47		5	1.63		149	48.53		307
	FIFTH					0	0.00		1	20.00								1	20.00		0	0.00			Excluded		3	60.00		5
		TOTAL				44	14.33		82	26.71								3	0.98		26	8.47					152	49.51		307
	SIXTH					0	0.00		0	0.00									Excluded		0	0.00					3	100.00		3
		TOTAL				44	14.33		82	26.71											26	8.47					155	50.49		307
	SEVENTH						Excluded		19	43.18											9	20.45					16	36.36		44
		TOTAL							101	32.90											35	11.40					171	55.70		307
	EIGHTH								29	82.86												Excluded					6	17.14		35
		TOTAL							130	42.35																	177	57.65		307
																											Elected			
																														
Kilcummin                                                      																														
	FIRST		0	0.00		7	9.86		42	59.15		1	1.41		0	0.00		1	1.41		14	19.72		0	0.00		6	8.45		71
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	0	0.00		7	9.86		42	59.15		1	1.41					1	1.41		14	19.72		0	0.00		6	8.45		71
	THIRD			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				7	9.86		42	59.15		1	1.41					1	1.41		14	19.72		0	0.00		6	8.45		71
	FOURTH					0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL				7	9.86		42	59.15								1	1.41		14	19.72		0	0.00		7	9.86		71
	FIFTH					0	0.00		0	0.00								0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL				7	9.86		42	59.15								1	1.41		14	19.72					7	9.86		71
	SIXTH					0	0.00		0	0.00									Excluded		0	0.00					1	100.00		1
		TOTAL				7	9.86		42	59.15											14	19.72					8	11.27		71
	SEVENTH						Excluded		4	57.14											2	28.57					1	14.29		7
		TOTAL							46	64.79											16	22.54					9	12.68		71
	EIGHTH								15	93.75												Excluded					1	6.25		16
		TOTAL							61	85.92																	10	14.08		71
																											Elected			
																														
Koongal                                                        																														
	FIRST		2	0.29		43	6.16		97	13.90		2	0.29		3	0.43		11	1.58		108	15.47		15	2.15		417	59.74		698
	SECOND		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		3
		TOTAL	2	0.29		43	6.16		97	13.90		3	0.43					12	1.72		108	15.47		16	2.29		417	59.74		698
	THIRD			Excluded		0	0.00		1	50.00		1	50.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				43	6.16		98	14.04		4	0.57					12	1.72		108	15.47		16	2.29		417	59.74		698
	FOURTH					1	25.00		2	50.00			Excluded					1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL				44	6.30		100	14.33								13	1.86		108	15.47		16	2.29		417	59.74		698
	FIFTH					1	6.25		3	18.75								4	25.00		1	6.25			Excluded		7	43.75		16
		TOTAL				45	6.45		103	14.76								17	2.44		109	15.62					424	60.74		698
	SIXTH					1	5.88		5	29.41									Excluded		1	5.88					10	58.82		17
		TOTAL				46	6.59		108	15.47											110	15.76					434	62.18		698
	SEVENTH						Excluded		17	36.96											16	34.78					13	28.26		46
		TOTAL							125	17.91											126	18.05					447	64.04		698
	EIGHTH								102	80.95												Excluded					24	19.05		126
		TOTAL							227	32.52																	471	67.48		698
																											Elected			
																														
Lakes Creek                                                    																														
	FIRST		3	0.35		81	9.53		173	20.35		7	0.82		2	0.24		9	1.06		100	11.76		17	2.00		458	53.88		850
	SECOND		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		2
		TOTAL	3	0.35		81	9.53		173	20.35		8	0.94					9	1.06		100	11.76		18	2.12		458	53.88		850
	THIRD			Excluded		2	66.67		1	33.33		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL				83	9.76		174	20.47		8	0.94					9	1.06		100	11.76		18	2.12		458	53.88		850
	FOURTH					3	37.50		2	25.00			Excluded					0	0.00		0	0.00		1	12.50		2	25.00		8
		TOTAL				86	10.12		176	20.71								9	1.06		100	11.76		19	2.24		460	54.12		850
	FIFTH					2	10.53		3	15.79								5	26.32		0	0.00			Excluded		9	47.37		19
		TOTAL				88	10.35		179	21.06								14	1.65		100	11.76					469	55.18		850
	SIXTH					4	28.57		2	14.29									Excluded		2	14.29					6	42.86		14
		TOTAL				92	10.82		181	21.29											102	12.00					475	55.88		850
	SEVENTH						Excluded		34	36.96											29	31.52					29	31.52		92
		TOTAL							215	25.29											131	15.41					504	59.29		850
	EIGHTH								107	81.68												Excluded					24	18.32		131
		TOTAL							322	37.88																	528	62.12		850
																											Elected			
																														
Longreach                                                      																														
	FIRST		27	1.54		128	7.31		480	27.41		12	0.69		8	0.46		17	0.97		368	21.02		10	0.57		701	40.03		1751
	SECOND		0	0.00		2	25.00		0	0.00		4	50.00			Excluded		2	25.00		0	0.00		0	0.00		0	0.00		8
		TOTAL	27	1.54		130	7.42		480	27.41		16	0.91					19	1.09		368	21.02		10	0.57		701	40.03		1751
	THIRD			Excluded		19	70.37		3	11.11		1	3.70					1	3.70		1	3.70		1	3.70		1	3.70		27
		TOTAL				149	8.51		483	27.58		17	0.97					20	1.14		369	21.07		11	0.63		702	40.09		1751
	FOURTH					5	29.41		4	23.53			Excluded					2	11.76		1	5.88		4	23.53		1	5.88		17
		TOTAL				154	8.79		487	27.81								22	1.26		370	21.13		15	0.86		703	40.15		1751
	FIFTH					1	6.67		1	6.67								6	40.00		2	13.33			Excluded		5	33.33		15
		TOTAL				155	8.85		488	27.87								28	1.60		372	21.25					708	40.43		1751
	SIXTH					3	10.71		5	17.86									Excluded		9	32.14					11	39.29		28
		TOTAL				158	9.02		493	28.16											381	21.76					719	41.06		1751
	SEVENTH						Excluded		68	43.04											56	35.44					34	21.52		158
		TOTAL							561	32.04											437	24.96					753	43.00		1751
	EIGHTH								357	81.69												Excluded					80	18.31		437
		TOTAL							918	52.43																	833	47.57		1751
																											Elected			
																														
Marlborough                                                    																														
	FIRST		0	0.00		11	7.64		66	45.83		2	1.39		0	0.00		0	0.00		31	21.53		3	2.08		31	21.53		144
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	0	0.00		11	7.64		66	45.83		2	1.39					0	0.00		31	21.53		3	2.08		31	21.53		144
	THIRD			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				11	7.64		66	45.83		2	1.39					0	0.00		31	21.53		3	2.08		31	21.53		144
	FOURTH					1	50.00		1	50.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				12	8.33		67	46.53								0	0.00		31	21.53		3	2.08		31	21.53		144
	FIFTH					0	0.00		0	0.00								2	66.67		0	0.00			Excluded		1	33.33		3
		TOTAL				12	8.33		67	46.53								2	1.39		31	21.53					32	22.22		144
	SIXTH					0	0.00		0	0.00									Excluded		0	0.00					2	100.00		2
		TOTAL				12	8.33		67	46.53											31	21.53					34	23.61		144
	SEVENTH						Excluded		5	41.67											3	25.00					4	33.33		12
		TOTAL							72	50.00											34	23.61					38	26.39		144
	EIGHTH								30	88.24												Excluded					4	11.76		34
		TOTAL							102	70.83																	42	29.17		144
																											Elected			
																														
Middlemount                                                    																														
	FIRST		2	0.26		47	6.16		88	11.53		4	0.52		1	0.13		11	1.44		73	9.57		9	1.18		528	69.20		763
	SECOND		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL	2	0.26		47	6.16		88	11.53		5	0.66					11	1.44		73	9.57		9	1.18		528	69.20		763
	THIRD			Excluded		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				49	6.42		88	11.53		5	0.66					11	1.44		73	9.57		9	1.18		528	69.20		763
	FOURTH					0	0.00		1	20.00			Excluded					1	20.00		1	20.00		0	0.00		2	40.00		5
		TOTAL				49	6.42		89	11.66								12	1.57		74	9.70		9	1.18		530	69.46		763
	FIFTH					1	11.11		1	11.11								3	33.33		2	22.22			Excluded		2	22.22		9
		TOTAL				50	6.55		90	11.80								15	1.97		76	9.96					532	69.72		763
	SIXTH					2	13.33		1	6.67									Excluded		5	33.33					7	46.67		15
		TOTAL				52	6.82		91	11.93											81	10.62					539	70.64		763
	SEVENTH						Excluded		19	36.54											9	17.31					24	46.15		52
		TOTAL							110	14.42											90	11.80					563	73.79		763
	EIGHTH								72	80.00												Excluded					18	20.00		90
		TOTAL							182	23.85																	581	76.15		763
																											Elected			
																														
Moranbah                                                       																														
	FIRST		8	0.64		74	5.92		62	4.96		5	0.40		1	0.08		28	2.24		136	10.89		12	0.96		923	73.90		1249
	SECOND		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL	8	0.64		74	5.92		62	4.96		6	0.48					28	2.24		136	10.89		12	0.96		923	73.90		1249
	THIRD			Excluded		4	50.00		2	25.00		1	12.50					0	0.00		0	0.00		0	0.00		1	12.50		8
		TOTAL				78	6.24		64	5.12		7	0.56					28	2.24		136	10.89		12	0.96		924	73.98		1249
	FOURTH					2	28.57		3	42.86			Excluded					0	0.00		0	0.00		1	14.29		1	14.29		7
		TOTAL				80	6.41		67	5.36								28	2.24		136	10.89		13	1.04		925	74.06		1249
	FIFTH					0	0.00		2	15.38								4	30.77		2	15.38			Excluded		5	38.46		13
		TOTAL				80	6.41		69	5.52								32	2.56		138	11.05					930	74.46		1249
	SIXTH					5	15.63		6	18.75									Excluded		9	28.13					12	37.50		32
		TOTAL				85	6.81		75	6.00											147	11.77					942	75.42		1249
	SEVENTH						Excluded		23	27.06											33	38.82					29	34.12		85
		TOTAL							98	7.85											180	14.41					971	77.74		1249
	EIGHTH								149	82.78												Excluded					31	17.22		180
		TOTAL							247	19.78																	1002	80.22		1249
																											Elected			
																														
Moranbah West                                                  																														
	FIRST		8	0.55		96	6.60		156	10.72		7	0.48		10	0.69		22	1.51		230	15.81		17	1.17		909	62.47		1455
	SECOND		0	0.00		0	0.00		0	0.00		8	80.00			Excluded		1	10.00		1	10.00		0	0.00		0	0.00		10
		TOTAL	8	0.55		96	6.60		156	10.72		15	1.03					23	1.58		231	15.88		17	1.17		909	62.47		1455
	THIRD			Excluded		3	37.50		2	25.00		0	0.00					0	0.00		0	0.00		0	0.00		3	37.50		8
		TOTAL				99	6.80		158	10.86		15	1.03					23	1.58		231	15.88		17	1.17		912	62.68		1455
	FOURTH					2	13.33		5	33.33			Excluded					3	20.00		1	6.67		4	26.67		0	0.00		15
		TOTAL				101	6.94		163	11.20								26	1.79		232	15.95		21	1.44		912	62.68		1455
	FIFTH					3	14.29		2	9.52								6	28.57		3	14.29			Excluded		7	33.33		21
		TOTAL				104	7.15		165	11.34								32	2.20		235	16.15					919	63.16		1455
	SIXTH					2	6.25		11	34.38									Excluded		7	21.88					12	37.50		32
		TOTAL				106	7.29		176	12.10											242	16.63					931	63.99		1455
	SEVENTH						Excluded		29	27.36											49	46.23					28	26.42		106
		TOTAL							205	14.09											291	20.00					959	65.91		1455
	EIGHTH								240	82.47												Excluded					51	17.53		291
		TOTAL							445	30.58																	1010	69.42		1455
																											Elected			
																														
Mount Archer                                                   																														
	FIRST		6	0.29		123	5.87		423	20.19		18	0.86		8	0.38		30	1.43		357	17.04		21	1.00		1109	52.94		2095
	SECOND		1	12.50		1	12.50		2	25.00		2	25.00			Excluded		1	12.50		0	0.00		0	0.00		1	12.50		8
		TOTAL	7	0.33		124	5.92		425	20.29		20	0.95					31	1.48		357	17.04		21	1.00		1110	52.98		2095
	THIRD			Excluded		5	71.43		2	28.57		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		7
		TOTAL				129	6.16		427	20.38		20	0.95					31	1.48		357	17.04		21	1.00		1110	52.98		2095
	FOURTH					4	20.00		5	25.00			Excluded					5	25.00		1	5.00		1	5.00		4	20.00		20
		TOTAL				133	6.35		432	20.62								36	1.72		358	17.09		22	1.05		1114	53.17		2095
	FIFTH					2	9.09		5	22.73								6	27.27		1	4.55			Excluded		8	36.36		22
		TOTAL				135	6.44		437	20.86								42	2.00		359	17.14					1122	53.56		2095
	SIXTH					5	11.90		5	11.90									Excluded		10	23.81					22	52.38		42
		TOTAL				140	6.68		442	21.10											369	17.61					1144	54.61		2095
	SEVENTH						Excluded		46	32.86											53	37.86					41	29.29		140
		TOTAL							488	23.29											422	20.14					1185	56.56		2095
	EIGHTH								354	83.89												Excluded					68	16.11		422
		TOTAL							842	40.19																	1253	59.81		2095
																											Elected			
																														
Muttaburra                                                     																														
	FIRST		0	0.00		7	8.75		30	37.50		0	0.00		0	0.00		0	0.00		7	8.75		0	0.00		36	45.00		80
	SECOND		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL	0	0.00		7	8.75		30	37.50		0	0.00					0	0.00		7	8.75		0	0.00		36	45.00		80
	THIRD			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				7	8.75		30	37.50		0	0.00					0	0.00		7	8.75		0	0.00		36	45.00		80
	FOURTH					0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL				7	8.75		30	37.50								0	0.00		7	8.75		0	0.00		36	45.00		80
	FIFTH					0	0.00		0	0.00								0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL				7	8.75		30	37.50								0	0.00		7	8.75					36	45.00		80
	SIXTH					0	0.00		0	0.00									Excluded		0	0.00					0	0.00		0
		TOTAL				7	8.75		30	37.50											7	8.75					36	45.00		80
	SEVENTH						Excluded		4	57.14											2	28.57					1	14.29		7
		TOTAL							34	42.50											9	11.25					37	46.25		80
	EIGHTH								6	66.67												Excluded					3	33.33		9
		TOTAL							40	50.00																	40	50.00		80
																											Elected			
																														
Nebo                                                           																														
	FIRST		13	5.46		18	7.56		88	36.97		2	0.84		2	0.84		4	1.68		33	13.87		0	0.00		78	32.77		238
	SECOND		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL	13	5.46		18	7.56		89	37.39		2	0.84					5	2.10		33	13.87		0	0.00		78	32.77		238
	THIRD			Excluded		9	69.23		3	23.08		0	0.00					0	0.00		0	0.00		0	0.00		1	7.69		13
		TOTAL				27	11.34		92	38.66		2	0.84					5	2.10		33	13.87		0	0.00		79	33.19		238
	FOURTH					2	100.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL				29	12.18		92	38.66								5	2.10		33	13.87		0	0.00		79	33.19		238
	FIFTH					0	0.00		0	0.00								0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL				29	12.18		92	38.66								5	2.10		33	13.87					79	33.19		238
	SIXTH					2	40.00		2	40.00									Excluded		1	20.00					0	0.00		5
		TOTAL				31	13.03		94	39.50											34	14.29					79	33.19		238
	SEVENTH						Excluded		14	45.16											9	29.03					8	25.81		31
		TOTAL							108	45.38											43	18.07					87	36.55		238
	EIGHTH								37	86.05												Excluded					6	13.95		43
		TOTAL							145	60.92																	93	39.08		238
																											Elected			
																														
Norman Road                                                    																														
	FIRST		5	0.26		92	4.75		425	21.95		8	0.41		11	0.57		39	2.01		360	18.60		24	1.24		972	50.21		1936
	SECOND		0	0.00		1	9.09		1	9.09		4	36.36			Excluded		2	18.18		2	18.18		1	9.09		0	0.00		11
		TOTAL	5	0.26		93	4.80		426	22.00		12	0.62					41	2.12		362	18.70		25	1.29		972	50.21		1936
	THIRD			Excluded		2	40.00		2	40.00		0	0.00					0	0.00		0	0.00		0	0.00		1	20.00		5
		TOTAL				95	4.91		428	22.11		12	0.62					41	2.12		362	18.70		25	1.29		973	50.26		1936
	FOURTH					4	33.33		3	25.00			Excluded					0	0.00		2	16.67		1	8.33		2	16.67		12
		TOTAL				99	5.11		431	22.26								41	2.12		364	18.80		26	1.34		975	50.36		1936
	FIFTH					1	3.85		3	11.54								2	7.69		7	26.92			Excluded		13	50.00		26
		TOTAL				100	5.17		434	22.42								43	2.22		371	19.16					988	51.03		1936
	SIXTH					3	6.98		6	13.95									Excluded		6	13.95					28	65.12		43
		TOTAL				103	5.32		440	22.73											377	19.47					1016	52.48		1936
	SEVENTH						Excluded		32	31.07											44	42.72					27	26.21		103
		TOTAL							472	24.38											421	21.75					1043	53.87		1936
	EIGHTH								365	86.70												Excluded					56	13.30		421
