House of Representatives - 2001 Election: Queensland																																
Distribution of Preferences																																
By Polling Place																																
Moncrieff																																
				TOBIAS			CARROLL			CIOBO			DOUGLAS			CHATTERJEE			ALECKSON			MILLAR			DERRICK			HEPBURN				
	SIXTH									6	18.75		9	28.13		5	15.63						Excluded		12	37.50					32	
		TOTAL								411	57.72		58	8.15		171	24.02								72	10.11					712	
	SEVENTH									43	74.14			Excluded		10	17.24								5	8.62					58	
		TOTAL								454	63.76					181	25.42								77	10.81					712	
	EIGHTH									31	40.26					46	59.74									Excluded					77	
		TOTAL								485	68.12					227	31.88														712	
										Elected																						
																																
Merrimac (Moncrieff)                                           																																
	FIRST			44	2.84		10	0.65		867	55.94		103	6.65		338	21.81		28	1.81		63	4.06		57	3.68		40	2.58		1550	
	SECOND			5	50.00			Excluded		4	40.00		0	0.00		0	0.00		0	0.00		1	10.00		0	0.00		0	0.00		10	
		TOTAL		49	3.16					871	56.19		103	6.65		338	21.81		28	1.81		64	4.13		57	3.68		40	2.58		1550	
	THIRD			4	14.29					4	14.29		2	7.14		2	7.14			Excluded		14	50.00		2	7.14		0	0.00		28	
		TOTAL		53	3.42					875	56.45		105	6.77		340	21.94					78	5.03		59	3.81		40	2.58		1550	
	FOURTH				Excluded					21	39.62		10	18.87		6	11.32					2	3.77		4	7.55		10	18.87		53	
		TOTAL								896	57.81		115	7.42		346	22.32					80	5.16		63	4.06		50	3.23		1550	
	FIFTH									10	20.00		6	12.00		11	22.00					4	8.00		19	38.00			Excluded		50	
		TOTAL								906	58.45		121	7.81		357	23.03					84	5.42		82	5.29					1550	
	SIXTH									27	32.14		24	28.57		18	21.43						Excluded		15	17.86					84	
		TOTAL								933	60.19		145	9.35		375	24.19								97	6.26					1550	
	SEVENTH									106	73.10			Excluded		13	8.97								26	17.93					145	
		TOTAL								1039	67.03					388	25.03								123	7.94					1550	
	EIGHTH									65	52.85					58	47.15									Excluded					123	
		TOTAL								1104	71.23					446	28.77														1550	
										Elected																						
																																
Moana Park (Moncrieff)                                         																																
	FIRST			47	3.21		4	0.27		896	61.12		104	7.09		259	17.67		11	0.75		66	4.50		43	2.93		36	2.46		1466	
	SECOND			2	50.00			Excluded		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		49	3.34					896	61.12		104	7.09		261	17.80		11	0.75		66	4.50		43	2.93		36	2.46		1466	
	THIRD			0	0.00					1	9.09		0	0.00		0	0.00			Excluded		10	90.91		0	0.00		0	0.00		11	
		TOTAL		49	3.34					897	61.19		104	7.09		261	17.80					76	5.18		43	2.93		36	2.46		1466	
	FOURTH				Excluded					17	34.69		3	6.12		4	8.16					2	4.08		20	40.82		3	6.12		49	
		TOTAL								914	62.35		107	7.30		265	18.08					78	5.32		63	4.30		39	2.66		1466	
	FIFTH									4	10.26		5	12.82		7	17.95					6	15.38		17	43.59			Excluded		39	
		TOTAL								918	62.62		112	7.64		272	18.55					84	5.73		80	5.46					1466	
	SIXTH									37	44.05		23	27.38		11	13.10						Excluded		13	15.48					84	
		TOTAL								955	65.14		135	9.21		283	19.30								93	6.34					1466	
	SEVENTH									100	74.07			Excluded		8	5.93								27	20.00					135	
		TOTAL								1055	71.96					291	19.85								120	8.19					1466	
	EIGHTH									65	54.17					55	45.83									Excluded					120	
		TOTAL								1120	76.40					346	23.60														1466	
										Elected																						
																																
Musgrave Hill                                                  																																
	FIRST			92	3.28		15	0.53		1069	38.07		118	4.20		966	34.40		33	1.18		216	7.69		169	6.02		130	4.63		2808	
	SECOND			8	53.33			Excluded		0	0.00		3	20.00		3	20.00		1	6.67		0	0.00		0	0.00		0	0.00		15	
		TOTAL		100	3.56					1069	38.07		121	4.31		969	34.51		34	1.21		216	7.69		169	6.02		130	4.63		2808	
	THIRD			9	26.47					0	0.00		1	2.94		2	5.88			Excluded		20	58.82		1	2.94		1	2.94		34	
		TOTAL		109	3.88					1069	38.07		122	4.34		971	34.58					236	8.40		170	6.05		131	4.67		2808	
	FOURTH				Excluded					54	49.54		7	6.42		10	9.17					9	8.26		20	18.35		9	8.26		109	
		TOTAL								1123	39.99		129	4.59		981	34.94					245	8.73		190	6.77		140	4.99		2808	
	FIFTH									25	17.86		7	5.00		32	22.86					15	10.71		61	43.57			Excluded		140	
		TOTAL								1148	40.88		136	4.84		1013	36.08					260	9.26		251	8.94					2808	
	SIXTH									50	19.23		52	20.00		53	20.38						Excluded		105	40.38					260	
		TOTAL								1198	42.66		188	6.70		1066	37.96								356	12.68					2808	
	SEVENTH									123	65.43			Excluded		22	11.70								43	22.87					188	
		TOTAL								1321	47.04					1088	38.75								399	14.21					2808	
	EIGHTH									161	40.35					238	59.65									Excluded					399	
		TOTAL								1482	52.78					1326	47.22														2808	
										Elected																						
																																
Nerang                                                         																																
	FIRST			97	5.12		3	0.16		881	46.47		120	6.33		463	24.42		14	0.74		154	8.12		94	4.96		70	3.69		1896	
	SECOND			0	0.00			Excluded		0	0.00		1	33.33		0	0.00		1	33.33		1	33.33		0	0.00		0	0.00		3	
		TOTAL		97	5.12					881	46.47		121	6.38		463	24.42		15	0.79		155	8.18		94	4.96		70	3.69		1896	
	THIRD			4	26.67					2	13.33		3	20.00		1	6.67			Excluded		3	20.00		1	6.67		1	6.67		15	
		TOTAL		101	5.33					883	46.57		124	6.54		464	24.47					158	8.33		95	5.01		71	3.74		1896	
	FOURTH				Excluded					32	31.68		9	8.91		4	3.96					4	3.96		40	39.60		12	11.88		101	
		TOTAL								915	48.26		133	7.01		468	24.68					162	8.54		135	7.12		83	4.38		1896	
	FIFTH									6	7.23		11	13.25		15	18.07					13	15.66		38	45.78			Excluded		83	
		TOTAL								921	48.58		144	7.59		483	25.47					175	9.23		173	9.12					1896	
	SIXTH									54	30.86		22	12.57		40	22.86						Excluded		59	33.71					175	
		TOTAL								975	51.42		166	8.76		523	27.58								232	12.24					1896	
	SEVENTH									106	63.86			Excluded		28	16.87								32	19.28					166	
		TOTAL								1081	57.01					551	29.06								264	13.92					1896	
	EIGHTH									124	46.97					140	53.03									Excluded					264	
		TOTAL								1205	63.55					691	36.45														1896	
										Elected																						
																																
Nerang South                                                   																																
	FIRST			86	2.34		22	0.60		1622	44.22		244	6.65		1037	28.27		49	1.34		275	7.50		199	5.43		134	3.65		3668	
	SECOND			12	54.55			Excluded		3	13.64		2	9.09		2	9.09		1	4.55		0	0.00		0	0.00		2	9.09		22	
		TOTAL		98	2.67					1625	44.30		246	6.71		1039	28.33		50	1.36		275	7.50		199	5.43		136	3.71		3668	
	THIRD			8	16.00					6	12.00		2	4.00		1	2.00			Excluded		27	54.00		1	2.00		5	10.00		50	
		TOTAL		106	2.89					1631	44.47		248	6.76		1040	28.35					302	8.23		200	5.45		141	3.84		3668	
	FOURTH				Excluded					52	49.06		17	16.04		9	8.49					8	7.55		15	14.15		5	4.72		106	
		TOTAL								1683	45.88		265	7.22		1049	28.60					310	8.45		215	5.86		146	3.98		3668	
	FIFTH									25	17.12		6	4.11		28	19.18					26	17.81		61	41.78			Excluded		146	
		TOTAL								1708	46.56		271	7.39		1077	29.36					336	9.16		276	7.52					3668	
	SIXTH									85	25.30		48	14.29		43	12.80						Excluded		160	47.62					336	
		TOTAL								1793	48.88		319	8.70		1120	30.53								436	11.89					3668	
	SEVENTH									222	69.59			Excluded		30	9.40								67	21.00					319	
		TOTAL								2015	54.93					1150	31.35								503	13.71					3668	
	EIGHTH									186	36.98					317	63.02									Excluded					503	
		TOTAL								2201	60.01					1467	39.99														3668	
										Elected																						
																																
Nerang West (Moncrieff)                                        																																
	FIRST			123	4.20		9	0.31		1346	46.00		189	6.46		771	26.35		12	0.41		165	5.64		149	5.09		162	5.54		2926	
	SECOND			4	44.44			Excluded		0	0.00		1	11.11		3	33.33		0	0.00		1	11.11		0	0.00		0	0.00		9	
		TOTAL		127	4.34					1346	46.00		190	6.49		774	26.45		12	0.41		166	5.67		149	5.09		162	5.54		2926	
	THIRD			5	41.67					0	0.00		3	25.00		1	8.33			Excluded		2	16.67		1	8.33		0	0.00		12	
		TOTAL		132	4.51					1346	46.00		193	6.60		775	26.49					168	5.74		150	5.13		162	5.54		2926	
	FOURTH				Excluded					49	37.12		22	16.67		10	7.58					5	3.79		36	27.27		10	7.58		132	
		TOTAL								1395	47.68		215	7.35		785	26.83					173	5.91		186	6.36		172	5.88		2926	
	FIFTH									30	17.44		9	5.23		22	12.79					26	15.12		85	49.42			Excluded		172	
		TOTAL								1425	48.70		224	7.66		807	27.58					199	6.80		271	9.26					2926	
	SIXTH									62	31.16		35	17.59		40	20.10						Excluded		62	31.16					199	
		TOTAL								1487	50.82		259	8.85		847	28.95								333	11.38					2926	
	SEVENTH									204	78.76			Excluded		24	9.27								31	11.97					259	
		TOTAL								1691	57.79					871	29.77								364	12.44					2926	
	EIGHTH									138	37.91					226	62.09									Excluded					364	
		TOTAL								1829	62.51					1097	37.49														2926	
										Elected																						
																																
Parklands                                                      																																
	FIRST			13	2.67		1	0.21		253	51.95		45	9.24		110	22.59		1	0.21		25	5.13		19	3.90		20	4.11		487	
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		14	2.87					253	51.95		45	9.24		110	22.59		1	0.21		25	5.13		19	3.90		20	4.11		487	
	THIRD			1	100.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		15	3.08					253	51.95		45	9.24		110	22.59					25	5.13		19	3.90		20	4.11		487	
	FOURTH				Excluded					5	33.33		1	6.67		3	20.00					1	6.67		4	26.67		1	6.67		15	
		TOTAL								258	52.98		46	9.45		113	23.20					26	5.34		23	4.72		21	4.31		487	
	FIFTH									3	14.29		1	4.76		6	28.57					4	19.05		7	33.33			Excluded		21	
		TOTAL								261	53.59		47	9.65		119	24.44					30	6.16		30	6.16					487	
	SIXTH									7	23.33		6	20.00		1	3.33						Excluded		16	53.33					30	
		TOTAL								268	55.03		53	10.88		120	24.64								46	9.45					487	
	SEVENTH									48	90.57			Excluded		2	3.77								3	5.66					53	
		TOTAL								316	64.89					122	25.05								49	10.06					487	
	EIGHTH									18	36.73					31	63.27									Excluded					49	
		TOTAL								334	68.58					153	31.42														487	
										Elected																						
																																
Southport                                                      																																
	FIRST			75	3.40		13	0.59		1011	45.81		91	4.12		660	29.90		12	0.54		120	5.44		116	5.26		109	4.94		2207	
	SECOND			7	53.85			Excluded		1	7.69		3	23.08		1	7.69		0	0.00		0	0.00		1	7.69		0	0.00		13	
		TOTAL		82	3.72					1012	45.85		94	4.26		661	29.95		12	0.54		120	5.44		117	5.30		109	4.94		2207	
	THIRD			2	16.67					0	0.00		1	8.33		3	25.00			Excluded		4	33.33		2	16.67		0	0.00		12	
		TOTAL		84	3.81					1012	45.85		95	4.30		664	30.09					124	5.62		119	5.39		109	4.94		2207	
	FOURTH				Excluded					37	44.05		14	16.67		9	10.71					6	7.14		9	10.71		9	10.71		84	
		TOTAL								1049	47.53		109	4.94		673	30.49					130	5.89		128	5.80		118	5.35		2207	
	FIFTH									14	11.86		3	2.54		16	13.56					14	11.86		71	60.17			Excluded		118	
		TOTAL								1063	48.16		112	5.07		689	31.22					144	6.52		199	9.02					2207	
	SIXTH									46	31.94		23	15.97		23	15.97						Excluded		52	36.11					144	
		TOTAL								1109	50.25		135	6.12		712	32.26								251	11.37					2207	
	SEVENTH									97	71.85			Excluded		13	9.63								25	18.52					135	
		TOTAL								1206	54.64					725	32.85								276	12.51					2207	
	EIGHTH									94	34.06					182	65.94									Excluded					276	
		TOTAL								1300	58.90					907	41.10														2207	
										Elected																						
																																
Southport North                                                																																
	FIRST			13	2.46		2	0.38		227	42.99		39	7.39		156	29.55		10	1.89		27	5.11		22	4.17		32	6.06		528	
	SECOND			1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		14	2.65					228	43.18		39	7.39		156	29.55		10	1.89		27	5.11		22	4.17		32	6.06		528	
	THIRD			3	30.00					0	0.00		0	0.00		0	0.00			Excluded		7	70.00		0	0.00		0	0.00		10	
		TOTAL		17	3.22					228	43.18		39	7.39		156	29.55					34	6.44		22	4.17		32	6.06		528	
	FOURTH				Excluded					6	35.29		2	11.76		3	17.65					1	5.88		3	17.65		2	11.76		17	
		TOTAL								234	44.32		41	7.77		159	30.11					35	6.63		25	4.73		34	6.44		528	
	FIFTH									3	8.82		4	11.76		9	26.47					6	17.65		12	35.29			Excluded		34	
		TOTAL								237	44.89		45	8.52		168	31.82					41	7.77		37	7.01					528	
	SIXTH									12	29.27		10	24.39		9	21.95						Excluded		10	24.39					41	
		TOTAL								249	47.16		55	10.42		177	33.52								47	8.90					528	
	SEVENTH									34	61.82			Excluded		7	12.73								14	25.45					55	
		TOTAL								283	53.60					184	34.85								61	11.55					528	
	EIGHTH									24	39.34					37	60.66									Excluded					61	
		TOTAL								307	58.14					221	41.86														528	
										Elected																						
																																
Southport West                                                 																																
	FIRST			38	2.46		7	0.45		615	39.78		122	7.89		488	31.57		40	2.59		91	5.89		70	4.53		75	4.85		1546	
	SECOND			4	57.14			Excluded		1	14.29		0	0.00		0	0.00		0	0.00		0	0.00		2	28.57		0	0.00		7	
		TOTAL		42	2.72					616	39.84		122	7.89		488	31.57		40	2.59		91	5.89		72	4.66		75	4.85		1546	
	THIRD			8	20.00					2	5.00		2	5.00		2	5.00			Excluded		21	52.50		2	5.00		3	7.50		40	
		TOTAL		50	3.23					618	39.97		124	8.02		490	31.69					112	7.24		74	4.79		78	5.05		1546	
	FOURTH				Excluded					15	30.00		8	16.00		5	10.00					5	10.00		9	18.00		8	16.00		50	
		TOTAL								633	40.94		132	8.54		495	32.02					117	7.57		83	5.37		86	5.56		1546	
	FIFTH									9	10.47		5	5.81		14	16.28					10	11.63		48	55.81			Excluded		86	
		TOTAL								642	41.53		137	8.86		509	32.92					127	8.21		131	8.47					1546	
	SIXTH									37	29.13		30	23.62		24	18.90						Excluded		36	28.35					127	
		TOTAL								679	43.92		167	10.80		533	34.48								167	10.80					1546	
	SEVENTH									115	68.86			Excluded		16	9.58								36	21.56					167	
		TOTAL								794	51.36					549	35.51								203	13.13					1546	
	EIGHTH									89	43.84					114	56.16									Excluded					203	
		TOTAL								883	57.12					663	42.88														1546	
										Elected																						
																																
Surfers Paradise                                               																																
	FIRST			38	2.90		3	0.23		624	47.67		72	5.50		377	28.80		4	0.31		71	5.42		50	3.82		70	5.35		1309	
	SECOND			1	33.33			Excluded		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		3	
		TOTAL		39	2.98					624	47.67		73	5.58		377	28.80		5	0.38		71	5.42		50	3.82		70	5.35		1309	
	THIRD			1	20.00					1	20.00		0	0.00		0	0.00			Excluded		2	40.00		0	0.00		1	20.00		5	
		TOTAL		40	3.06					625	47.75		73	5.58		377	28.80					73	5.58		50	3.82		71	5.42		1309	
	FOURTH				Excluded					11	27.50		4	10.00		3	7.50					5	12.50		10	25.00		7	17.50		40	
		TOTAL								636	48.59		77	5.88		380	29.03					78	5.96		60	4.58		78	5.96		1309	
	FIFTH									12	15.38		8	10.26		18	23.08					5	6.41		35	44.87			Excluded		78	
		TOTAL								648	49.50		85	6.49		398	30.40					83	6.34		95	7.26					1309	
	SIXTH									18	21.69		9	10.84		16	19.28						Excluded		40	48.19					83	
		TOTAL								666	50.88		94	7.18		414	31.63								135	10.31					1309	
	SEVENTH									67	71.28			Excluded		9	9.57								18	19.15					94	
		TOTAL								733	56.00					423	32.31								153	11.69					1309	
	EIGHTH									51	33.33					102	66.67									Excluded					153	
		TOTAL								784	59.89					525	40.11														1309	
										Elected																						
																																
Tallai (Moncrieff)                                             																																
	FIRST			36	2.72		9	0.68		790	59.76		52	3.93		217	16.41		3	0.23		91	6.88		63	4.77		61	4.61		1322	
	SECOND			4	44.44			Excluded		0	0.00		1	11.11		1	11.11		3	33.33		0	0.00		0	0.00		0	0.00		9	
		TOTAL		40	3.03					790	59.76		53	4.01		218	16.49		6	0.45		91	6.88		63	4.77		61	4.61		1322	
	THIRD			2	33.33					0	0.00		3	50.00		0	0.00			Excluded		1	16.67		0	0.00		0	0.00		6	
		TOTAL		42	3.18					790	59.76		56	4.24		218	16.49					92	6.96		63	4.77		61	4.61		1322	
	FOURTH				Excluded					17	40.48		8	19.05		5	11.90					2	4.76		4	9.52		6	14.29		42	
		TOTAL								807	61.04		64	4.84		223	16.87					94	7.11		67	5.07		67	5.07		1322	
	FIFTH									14	20.90		5	7.46		10	14.93					4	5.97		34	50.75			Excluded		67	
		TOTAL								821	62.10		69	5.22		233	17.62					98	7.41		101	7.64					1322	
	SIXTH									35	35.71		7	7.14		23	23.47						Excluded		33	33.67					98	
		TOTAL								856	64.75		76	5.75		256	19.36								134	10.14					1322	
	SEVENTH									55	72.37			Excluded		13	17.11								8	10.53					76	
		TOTAL								911	68.91					269	20.35								142	10.74					1322	
	EIGHTH									50	35.21					92	64.79									Excluded					142	
		TOTAL								961	72.69					361	27.31														1322	
										Elected																						
																																
William Duncan                                                 																																
	FIRST			81	2.68		16	0.53		1520	50.31		169	5.59		829	27.44		15	0.50		159	5.26		110	3.64		122	4.04		3021	
	SECOND			8	50.00			Excluded		5	31.25		1	6.25		0	0.00		1	6.25		0	0.00		0	0.00		1	6.25		16	
		TOTAL		89	2.95					1525	50.48		170	5.63		829	27.44		16	0.53		159	5.26		110	3.64		123	4.07		3021	
	THIRD			2	12.50					1	6.25		2	12.50		1	6.25			Excluded		7	43.75		2	12.50		1	6.25		16	
		TOTAL		91	3.01					1526	50.51		172	5.69		830	27.47					166	5.49		112	3.71		124	4.10		3021	
	FOURTH				Excluded					35	38.46		10	10.99		11	12.09					11	12.09		12	13.19		12	13.19		91	
		TOTAL								1561	51.67		182	6.02		841	27.84					177	5.86		124	4.10		136	4.50		3021	
	FIFTH									23	16.91		11	8.09		25	18.38					20	14.71		57	41.91			Excluded		136	
		TOTAL								1584	52.43		193	6.39		866	28.67					197	6.52		181	5.99					3021	
	SIXTH									55	27.92		33	16.75		41	20.81						Excluded		68	34.52					197	
		TOTAL								1639	54.25		226	7.48		907	30.02								249	8.24					3021	
	SEVENTH									157	69.47			Excluded		27	11.95								42	18.58					226	
		TOTAL								1796	59.45					934	30.92								291	9.63					3021	
	EIGHTH									112	38.49					179	61.51									Excluded					291	
		TOTAL								1908	63.16					1113	36.84														3021	
										Elected																						
																																
Worongary                                                      																																
	FIRST			12	1.82		1	0.15		315	47.73		42	6.36		193	29.24		3	0.45		36	5.45		42	6.36		16	2.42		660	
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		13	1.97					315	47.73		42	6.36		193	29.24		3	0.45		36	5.45		42	6.36		16	2.42		660	
	THIRD			3	100.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		3	
		TOTAL		16	2.42					315	47.73		42	6.36		193	29.24					36	5.45		42	6.36		16	2.42		660	
	FOURTH				Excluded					7	43.75		3	18.75		3	18.75					0	0.00		2	12.50		1	6.25		16	
		TOTAL								322	48.79		45	6.82		196	29.70					36	5.45		44	6.67		17	2.58		660	
	FIFTH									2	11.76		0	0.00		3	17.65					3	17.65		9	52.94			Excluded		17	
		TOTAL								324	49.09		45	6.82		199	30.15					39	5.91		53	8.03					660	
	SIXTH									10	25.64		4	10.26		9	23.08						Excluded		16	41.03					39	
		TOTAL								334	50.61		49	7.42		208	31.52								69	10.45					660	
	SEVENTH									37	75.51			Excluded		6	12.24								6	12.24					49	
		TOTAL								371	56.21					214	32.42								75	11.36					660	
	EIGHTH									27	36.00					48	64.00									Excluded					75	
		TOTAL								398	60.30					262	39.70														660	
										Elected																						
																																
Special Hospital Team 1                                        																																
	FIRST			7	3.78		0	0.00		97	52.43		9	4.86		55	29.73		5	2.70		4	2.16		5	2.70		3	1.62		185	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		7	3.78					97	52.43		9	4.86		55	29.73		5	2.70		4	2.16		5	2.70		3	1.62		185	
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		4	80.00		0	0.00		1	20.00		5	
		TOTAL		7	3.78					97	52.43		9	4.86		55	29.73					8	4.32		5	2.70		4	2.16		185	
	FOURTH				Excluded					4	57.14		1	14.29		1	14.29					0	0.00		1	14.29		0	0.00		7	
		TOTAL								101	54.59		10	5.41		56	30.27					8	4.32		6	3.24		4	2.16		185	
	FIFTH									2	50.00		0	0.00		0	0.00					0	0.00		2	50.00			Excluded		4	
		TOTAL								103	55.68		10	5.41		56	30.27					8	4.32		8	4.32					185	
	SIXTH									1	12.50		2	25.00		0	0.00						Excluded		5	62.50					8	
		TOTAL								104	56.22		12	6.49		56	30.27								13	7.03					185	
	SEVENTH									7	58.33			Excluded		3	25.00								2	16.67					12	
		TOTAL								111	60.00					59	31.89								15	8.11					185	
	EIGHTH									6	40.00					9	60.00									Excluded					15	
		TOTAL								117	63.24					68	36.76														185	
										Elected																						
																																
Special Hospital Team 2                                        																																
	FIRST			6	2.52		0	0.00		155	65.13		14	5.88		53	22.27		3	1.26		4	1.68		3	1.26		0	0.00		238	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		6	2.52					155	65.13		14	5.88		53	22.27		3	1.26		4	1.68		3	1.26		0	0.00		238	
	THIRD			3	100.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		3	
		TOTAL		9	3.78					155	65.13		14	5.88		53	22.27					4	1.68		3	1.26		0	0.00		238	
	FOURTH				Excluded					4	44.44		2	22.22		0	0.00					0	0.00		2	22.22		1	11.11		9	
		TOTAL								159	66.81		16	6.72		53	22.27					4	1.68		5	2.10		1	0.42		238	
	FIFTH									1	100.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		1	
		TOTAL								160	67.23		16	6.72		53	22.27					4	1.68		5	2.10					238	
	SIXTH									3	75.00		1	25.00		0	0.00						Excluded		0	0.00					4	
		TOTAL								163	68.49		17	7.14		53	22.27								5	2.10					238	
	SEVENTH									15	88.24			Excluded		1	5.88								1	5.88					17	
		TOTAL								178	74.79					54	22.69								6	2.52					238	
	EIGHTH									1	16.67					5	83.33									Excluded					6	
		TOTAL								179	75.21					59	24.79														238	
										Elected																						
																																
Special Hospital Team 3                                        																																
	FIRST			8	2.15		3	0.81		249	66.94		23	6.18		79	21.24		1	0.27		4	1.08		1	0.27		4	1.08		372	
	SECOND			1	33.33			Excluded		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL		9	2.42					250	67.20		24	6.45		79	21.24		1	0.27		4	1.08		1	0.27		4	1.08		372	
	THIRD			1	100.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		10	2.69					250	67.20		24	6.45		79	21.24					4	1.08		1	0.27		4	1.08		372	
	FOURTH				Excluded					7	70.00		1	10.00		1	10.00					0	0.00		1	10.00		0	0.00		10	
		TOTAL								257	69.09		25	6.72		80	21.51					4	1.08		2	0.54		4	1.08		372	
	FIFTH									2	50.00		0	0.00		0	0.00					0	0.00		2	50.00			Excluded		4	
		TOTAL								259	69.62		25	6.72		80	21.51					4	1.08		4	1.08					372	
	SIXTH									2	50.00		1	25.00		1	25.00						Excluded		0	0.00					4	
		TOTAL								261	70.16		26	6.99		81	21.77								4	1.08					372	
	SEVENTH									25	96.15			Excluded		0	0.00								1	3.85					26	
		TOTAL								286	76.88					81	21.77								5	1.34					372	
	EIGHTH									4	80.00					1	20.00									Excluded					5	
		TOTAL								290	77.96					82	22.04														372	
										Elected																						
																																
Special Hospital Team 4                                        																																
	FIRST			8	9.52		0	0.00		36	42.86		1	1.19		24	28.57		2	2.38		7	8.33		4	4.76		2	2.38		84	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		8	9.52					36	42.86		1	1.19		24	28.57		2	2.38		7	8.33		4	4.76		2	2.38		84	
	THIRD			1	50.00					0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		9	10.71					36	42.86		1	1.19		25	29.76					7	8.33		4	4.76		2	2.38		84	
	FOURTH				Excluded					7	77.78		0	0.00		0	0.00					0	0.00		1	11.11		1	11.11		9	
		TOTAL								43	51.19		1	1.19		25	29.76					7	8.33		5	5.95		3	3.57		84	
	FIFTH									0	0.00		0	0.00		1	33.33					1	33.33		1	33.33			Excluded		3	
		TOTAL								43	51.19		1	1.19		26	30.95					8	9.52		6	7.14					84	
	SIXTH									1	12.50		1	12.50		0	0.00						Excluded		6	75.00					8	
		TOTAL								44	52.38		2	2.38		26	30.95								12	14.29					84	
	SEVENTH									2	100.00			Excluded		0	0.00								0	0.00					2	
		TOTAL								46	54.76					26	30.95								12	14.29					84	
	EIGHTH									6	50.00					6	50.00									Excluded					12	
		TOTAL								52	61.90					32	38.10														84	
										Elected																						
																																
ABSENT																																
	FIRST			141	3.46		40	0.98		1908	46.80		198	4.86		931	22.84		39	0.96		291	7.14		257	6.30		272	6.67		4077	
	SECOND			25	62.50			Excluded		4	10.00		2	5.00		4	10.00		1	2.50		2	5.00		1	2.50		1	2.50		40	
		TOTAL		166	4.07					1912	46.90		200	4.91		935	22.93		40	0.98		293	7.19		258	6.33		273	6.70		4077	
	THIRD			15	37.50					4	10.00		4	10.00		2	5.00			Excluded		5	12.50		5	12.50		5	12.50		40	
		TOTAL		181	4.44					1916	47.00		204	5.00		937	22.98					298	7.31		263	6.45		278	6.82		4077	
	FOURTH				Excluded					82	45.30		27	14.92		15	8.29					18	9.94		12	6.63		27	14.92		181	
		TOTAL								1998	49.01		231	5.67		952	23.35					316	7.75		275	6.75		305	7.48		4077	
	FIFTH									52	17.05		18	5.90		64	20.98					41	13.44		130	42.62			Excluded		305	
		TOTAL								2050	50.28		249	6.11		1016	24.92					357	8.76		405	9.93					4077	
	SIXTH									101	28.29		53	14.85		78	21.85						Excluded		125	35.01					357	
		TOTAL								2151	52.76		302	7.41		1094	26.83								530	13.00					4077	
	SEVENTH									212	70.20			Excluded		45	14.90								45	14.90					302	
		TOTAL								2363	57.96					1139	27.94								575	14.10					4077	
	EIGHTH									230	40.00					345	60.00									Excluded					575	
		TOTAL								2593	63.60					1484	36.40														4077	
										Elected																						
																																
POSTAL																																
	FIRST			37	0.96		12	0.31		2124	55.37		226	5.89		963	25.10		18	0.47		269	7.01		107	2.79		80	2.09		3836	
	SECOND			4	33.33			Excluded		2	16.67		3	25.00		2	16.67		1	8.33		0	0.00		0	0.00		0	0.00		12	
		TOTAL		41	1.07					2126	55.42		229	5.97		965	25.16		19	0.50		269	7.01		107	2.79		80	2.09		3836	
	THIRD			9	47.37					1	5.26		2	10.53		1	5.26			Excluded		4	21.05		2	10.53		0	0.00		19	
		TOTAL		50	1.30					2127	55.45		231	6.02		966	25.18					273	7.12		109	2.84		80	2.09		3836	
	FOURTH				Excluded					11	22.00		9	18.00		7	14.00					5	10.00		7	14.00		11	22.00		50	
		TOTAL								2138	55.74		240	6.26		973	25.36					278	7.25		116	3.02		91	2.37		3836	
	FIFTH									10	10.99		3	3.30		24	26.37					5	5.49		49	53.85			Excluded		91	
		TOTAL								2148	56.00		243	6.33		997	25.99					283	7.38		165	4.30					3836	
	SIXTH									96	33.92		44	15.55		73	25.80						Excluded		70	24.73					283	
