House of Representatives - 2001 Election: Queensland																						
Distribution of Preferences																						
By Polling Place																						
Fairfax																						
					SOMLYAY			JACKSON			MACKELLAR			RINGROSE			HENDERSON			PAULGER		
	FIFTH			4	57.14											3	42.86			Excluded		7
		TOTAL		41	85.42											7	14.58					48
				Elected																		
																						
Pacific Paradise                                               																						
	FIRST			802	43.49		78	4.23		133	7.21		76	4.12		604	32.75		151	8.19		1844
	SECOND			14	17.95			Excluded		5	6.41		33	42.31		14	17.95		12	15.38		78
		TOTAL		816	44.25					138	7.48		109	5.91		618	33.51		163	8.84		1844
	THIRD			19	17.43					11	10.09			Excluded		34	31.19		45	41.28		109
		TOTAL		835	45.28					149	8.08					652	35.36		208	11.28		1844
	FOURTH			37	24.83						Excluded					29	19.46		83	55.70		149
		TOTAL		872	47.29											681	36.93		291	15.78		1844
	FIFTH			121	41.58											170	58.42			Excluded		291
		TOTAL		993	53.85											851	46.15					1844
				Elected																		
																						
Peregian Beach                                                 																						
	FIRST			862	48.18		74	4.14		75	4.19		182	10.17		513	28.68		83	4.64		1789
	SECOND			15	20.27			Excluded		4	5.41		35	47.30		11	14.86		9	12.16		74
		TOTAL		877	49.02					79	4.42		217	12.13		524	29.29		92	5.14		1789
	THIRD			22	10.14					3	1.38			Excluded		134	61.75		58	26.73		217
		TOTAL		899	50.25					82	4.58					658	36.78		150	8.38		1789
	FOURTH			13	15.85						Excluded					13	15.85		56	68.29		82
		TOTAL		912	50.98											671	37.51		206	11.51		1789
	FIFTH			65	31.55											141	68.45			Excluded		206
		TOTAL		977	54.61											812	45.39					1789
				Elected																		
																						
Pie Creek                                                      																						
	FIRST			198	47.71		9	2.17		61	14.70		6	1.45		87	20.96		54	13.01		415
	SECOND			1	11.11			Excluded		3	33.33		3	33.33		1	11.11		1	11.11		9
		TOTAL		199	47.95					64	15.42		9	2.17		88	21.20		55	13.25		415
	THIRD			0	0.00					0	0.00			Excluded		8	88.89		1	11.11		9
		TOTAL		199	47.95					64	15.42					96	23.13		56	13.49		415
	FOURTH			11	17.19						Excluded					6	9.38		47	73.44		64
		TOTAL		210	50.60											102	24.58		103	24.82		415
	FIFTH			47	45.63											56	54.37			Excluded		103
		TOTAL		257	61.93											158	38.07					415
				Elected																		
																						
Pomona                                                         																						
	FIRST			543	38.08		57	4.00		146	10.24		104	7.29		397	27.84		179	12.55		1426
	SECOND			2	3.51			Excluded		1	1.75		28	49.12		14	24.56		12	21.05		57
		TOTAL		545	38.22					147	10.31		132	9.26		411	28.82		191	13.39		1426
	THIRD			11	8.33					3	2.27			Excluded		75	56.82		43	32.58		132
		TOTAL		556	38.99					150	10.52					486	34.08		234	16.41		1426
	FOURTH			40	26.67						Excluded					24	16.00		86	57.33		150
		TOTAL		596	41.80											510	35.76		320	22.44		1426
	FIFTH			152	47.50											168	52.50			Excluded		320
		TOTAL		748	52.45											678	47.55					1426
				Elected																		
																						
Tewantin                                                       																						
	FIRST			2060	48.60		230	5.43		286	6.75		170	4.01		1217	28.71		276	6.51		4239
	SECOND			30	13.04			Excluded		11	4.78		122	53.04		49	21.30		18	7.83		230
		TOTAL		2090	49.30					297	7.01		292	6.89		1266	29.87		294	6.94		4239
	THIRD			27	9.25					12	4.11			Excluded		117	40.07		136	46.58		292
		TOTAL		2117	49.94					309	7.29					1383	32.63		430	10.14		4239
	FOURTH			78	25.24						Excluded					61	19.74		170	55.02		309
		TOTAL		2195	51.78											1444	34.06		600	14.15		4239
	FIFTH			246	41.00											354	59.00			Excluded		600
		TOTAL		2441	57.58											1798	42.42					4239
				Elected																		
																						
Tinbeerwah                                                     																						
	FIRST			407	58.23		32	4.58		45	6.44		11	1.57		156	22.32		48	6.87		699
	SECOND			4	12.50			Excluded		3	9.38		14	43.75		5	15.63		6	18.75		32
		TOTAL		411	58.80					48	6.87		25	3.58		161	23.03		54	7.73		699
	THIRD			5	20.00					1	4.00			Excluded		11	44.00		8	32.00		25
		TOTAL		416	59.51					49	7.01					172	24.61		62	8.87		699
	FOURTH			11	22.45						Excluded					9	18.37		29	59.18		49
		TOTAL		427	61.09											181	25.89		91	13.02		699
	FIFTH			37	40.66											54	59.34			Excluded		91
		TOTAL		464	66.38											235	33.62					699
				Elected																		
																						
Veteran                                                        																						
	FIRST			137	43.49		7	2.22		60	19.05		9	2.86		51	16.19		51	16.19		315
	SECOND			0	0.00			Excluded		3	42.86		0	0.00		2	28.57		2	28.57		7
		TOTAL		137	43.49					63	20.00		9	2.86		53	16.83		53	16.83		315
	THIRD			2	22.22					0	0.00			Excluded		3	33.33		4	44.44		9
		TOTAL		139	44.13					63	20.00					56	17.78		57	18.10		315
	FOURTH			12	19.05						Excluded					7	11.11		44	69.84		63
		TOTAL		151	47.94											63	20.00		101	32.06		315
	FIFTH			51	50.50											50	49.50			Excluded		101
		TOTAL		202	64.13											113	35.87					315
				Elected																		
																						
Wolvi                                                          																						
	FIRST			119	44.91		5	1.89		44	16.60		9	3.40		70	26.42		18	6.79		265
	SECOND			1	20.00			Excluded		1	20.00		1	20.00		1	20.00		1	20.00		5
		TOTAL		120	45.28					45	16.98		10	3.77		71	26.79		19	7.17		265
	THIRD			0	0.00					0	0.00			Excluded		5	50.00		5	50.00		10
		TOTAL		120	45.28					45	16.98					76	28.68		24	9.06		265
	FOURTH			9	20.00						Excluded					4	8.89		32	71.11		45
		TOTAL		129	48.68											80	30.19		56	21.13		265
	FIFTH			21	37.50											35	62.50			Excluded		56
		TOTAL		150	56.60											115	43.40					265
				Elected																		
																						
Yandina                                                        																						
	FIRST			1107	43.51		129	5.07		186	7.31		156	6.13		622	24.45		344	13.52		2544
	SECOND			15	11.63			Excluded		8	6.20		64	49.61		24	18.60		18	13.95		129
		TOTAL		1122	44.10					194	7.63		220	8.65		646	25.39		362	14.23		2544
	THIRD			23	10.45					12	5.45			Excluded		95	43.18		90	40.91		220
		TOTAL		1145	45.01					206	8.10					741	29.13		452	17.77		2544
	FOURTH			39	18.93						Excluded					34	16.50		133	64.56		206
		TOTAL		1184	46.54											775	30.46		585	23.00		2544
	FIFTH			262	44.79											323	55.21			Excluded		585
		TOTAL		1446	56.84											1098	43.16					2544
				Elected																		
																						
Special Hospital Team 1                                        																						
	FIRST			166	65.87		5	1.98		10	3.97		4	1.59		44	17.46		23	9.13		252
	SECOND			3	60.00			Excluded		0	0.00		2	40.00		0	0.00		0	0.00		5
		TOTAL		169	67.06					10	3.97		6	2.38		44	17.46		23	9.13		252
	THIRD			1	16.67					1	16.67			Excluded		4	66.67		0	0.00		6
		TOTAL		170	67.46					11	4.37					48	19.05		23	9.13		252
	FOURTH			4	36.36						Excluded					4	36.36		3	27.27		11
		TOTAL		174	69.05											52	20.63		26	10.32		252
	FIFTH			16	61.54											10	38.46			Excluded		26
		TOTAL		190	75.40											62	24.60					252
				Elected																		
																						
Special Hospital Team 2                                        																						
	FIRST			82	59.42		3	2.17		6	4.35		4	2.90		39	28.26		4	2.90		138
	SECOND			1	33.33			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		3
		TOTAL		83	60.14					7	5.07		4	2.90		40	28.99		4	2.90		138
	THIRD			0	0.00					1	25.00			Excluded		2	50.00		1	25.00		4
		TOTAL		83	60.14					8	5.80					42	30.43		5	3.62		138
	FOURTH			2	25.00						Excluded					4	50.00		2	25.00		8
		TOTAL		85	61.59											46	33.33		7	5.07		138
	FIFTH			5	71.43											2	28.57			Excluded		7
		TOTAL		90	65.22											48	34.78					138
				Elected																		
																						
Special Hospital Team 3                                        																						
	FIRST			67	51.94		4	3.10		8	6.20		2	1.55		33	25.58		15	11.63		129
	SECOND			0	0.00			Excluded		2	50.00		0	0.00		1	25.00		1	25.00		4
		TOTAL		67	51.94					10	7.75		2	1.55		34	26.36		16	12.40		129
	THIRD			1	50.00					1	50.00			Excluded		0	0.00		0	0.00		2
		TOTAL		68	52.71					11	8.53					34	26.36		16	12.40		129
	FOURTH			3	27.27						Excluded					2	18.18		6	54.55		11
		TOTAL		71	55.04											36	27.91		22	17.05		129
	FIFTH			12	54.55											10	45.45			Excluded		22
		TOTAL		83	64.34											46	35.66					129
				Elected																		
																						
ABSENT																						
	FIRST			1956	44.67		285	6.51		424	9.68		327	7.47		1044	23.84		343	7.83		4379
	SECOND			63	22.11			Excluded		19	6.67		111	38.95		56	19.65		36	12.63		285
		TOTAL		2019	46.11					443	10.12		438	10.00		1100	25.12		379	8.65		4379
	THIRD			64	14.61					36	8.22			Excluded		197	44.98		141	32.19		438
		TOTAL		2083	47.57					479	10.94					1297	29.62		520	11.87		4379
	FOURTH			136	28.39						Excluded					108	22.55		235	49.06		479
		TOTAL		2219	50.67											1405	32.08		755	17.24		4379
	FIFTH			369	48.87											386	51.13			Excluded		755
		TOTAL		2588	59.10											1791	40.90					4379
				Elected																		
																						
POSTAL																						
	FIRST			2130	57.99		148	4.03		241	6.56		101	2.75		792	21.56		261	7.11		3673
	SECOND			27	18.24			Excluded		6	4.05		50	33.78		50	33.78		15	10.14		148
		TOTAL		2157	58.73					247	6.72		151	4.11		842	22.92		276	7.51		3673
	THIRD			24	15.89					13	8.61			Excluded		68	45.03		46	30.46		151
		TOTAL		2181	59.38					260	7.08					910	24.78		322	8.77		3673
	FOURTH			76	29.23						Excluded					51	19.62		133	51.15		260
		TOTAL		2257	61.45											961	26.16		455	12.39		3673
	FIFTH			256	56.26											199	43.74			Excluded		455
		TOTAL		2513	68.42											1160	31.58					3673
				Elected																		
																						
PRE POLL																						
	FIRST			1836	47.15		185	4.75		351	9.01		213	5.47		972	24.96		337	8.65		3894
	SECOND			30	16.22			Excluded		14	7.57		75	40.54		38	20.54		28	15.14		185
		TOTAL		1866	47.92					365	9.37		288	7.40		1010	25.94		365	9.37		3894
	THIRD			50	17.36					18	6.25			Excluded		118	40.97		102	35.42		288
		TOTAL		1916	49.20					383	9.84					1128	28.97		467	11.99		3894
	FOURTH			119	31.07						Excluded					61	15.93		203	53.00		383
		TOTAL		2035	52.26											1189	30.53		670	17.21		3894
	FIFTH			331	49.40											339	50.60			Excluded		670
		TOTAL		2366	60.76											1528	39.24					3894
				Elected																		
																						
PROVISIONAL																						
	FIRST			226	38.50		52	8.86		48	8.18		58	9.88		171	29.13		32	5.45		587
	SECOND			12	23.08			Excluded		2	3.85		23	44.23		8	15.38		7	13.46		52
		TOTAL		238	40.55					50	8.52		81	13.80		179	30.49		39	6.64		587
	THIRD			12	14.81					10	12.35			Excluded		27	33.33		32	39.51		81
		TOTAL		250	42.59					60	10.22					206	35.09		71	12.10		587
	FOURTH			17	28.33						Excluded					12	20.00		31	51.67		60
		TOTAL		267	45.49											218	37.14		102	17.38		587
	FIFTH			40	39.22											62	60.78			Excluded		102
		TOTAL		307	52.30											280	47.70					587
				Elected																		
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						



																						
