House of Representatives - 2001 Election: Queensland																								
Distribution of Preferences 																								
By Polling Place																								
Brisbane																								
				MONSOUR			JANSEN			NIELSEN			LAVELLE			EKERT			DEWAR			BEVIS		
	FOURTH		14	50.00			Excluded		6	21.43								1	3.57		7	25.00		28
		TOTAL	313	44.27					38	5.37								58	8.20		298	42.15		707
	FIFTH		5	13.16						Excluded								21	55.26		12	31.58		38
		TOTAL	318	44.98														79	11.17		310	43.85		707
	SIXTH		21	26.58															Excluded		58	73.42		79
		TOTAL	339	47.95																	368	52.05		707
																					Elected			
																								
Oxford Park (Brisbane)                                         																								
	FIRST		224	36.78		21	3.45		22	3.61		5	0.82		24	3.94		34	5.58		279	45.81		609
	SECOND		0	0.00		1	20.00		2	40.00			Excluded		1	20.00		0	0.00		1	20.00		5
		TOTAL	224	36.78		22	3.61		24	3.94					25	4.11		34	5.58		280	45.98		609
	THIRD		22	88.00		1	4.00		0	0.00						Excluded		0	0.00		2	8.00		25
		TOTAL	246	40.39		23	3.78		24	3.94								34	5.58		282	46.31		609
	FOURTH		7	30.43			Excluded		8	34.78								2	8.70		6	26.09		23
		TOTAL	253	41.54					32	5.25								36	5.91		288	47.29		609
	FIFTH		5	15.63						Excluded								16	50.00		11	34.38		32
		TOTAL	258	42.36														52	8.54		299	49.10		609
	SIXTH		9	17.31															Excluded		43	82.69		52
		TOTAL	267	43.84																	342	56.16		609
																					Elected			
																								
Paddington                                                     																								
	FIRST		631	39.91		15	0.95		166	10.50		22	1.39		25	1.58		168	10.63		554	35.04		1581
	SECOND		2	9.09		1	4.55		13	59.09			Excluded		1	4.55		4	18.18		1	4.55		22
		TOTAL	633	40.04		16	1.01		179	11.32					26	1.64		172	10.88		555	35.10		1581
	THIRD		20	76.92		1	3.85		0	0.00						Excluded		4	15.38		1	3.85		26
		TOTAL	653	41.30		17	1.08		179	11.32								176	11.13		556	35.17		1581
	FOURTH		9	52.94			Excluded		4	23.53								2	11.76		2	11.76		17
		TOTAL	662	41.87					183	11.57								178	11.26		558	35.29		1581
	FIFTH		15	8.20						Excluded								123	67.21		45	24.59		183
		TOTAL	677	42.82														301	19.04		603	38.14		1581
	SIXTH		66	21.93															Excluded		235	78.07		301
		TOTAL	743	47.00																	838	53.00		1581
																					Elected			
																								
Petrie Terrace                                                 																								
	FIRST		318	36.26		19	2.17		86	9.81		6	0.68		14	1.60		106	12.09		328	37.40		877
	SECOND		0	0.00		0	0.00		3	50.00			Excluded		0	0.00		2	33.33		1	16.67		6
		TOTAL	318	36.26		19	2.17		89	10.15					14	1.60		108	12.31		329	37.51		877
	THIRD		9	64.29		1	7.14		2	14.29						Excluded		1	7.14		1	7.14		14
		TOTAL	327	37.29		20	2.28		91	10.38								109	12.43		330	37.63		877
	FOURTH		9	45.00			Excluded		3	15.00								3	15.00		5	25.00		20
		TOTAL	336	38.31					94	10.72								112	12.77		335	38.20		877
	FIFTH		14	14.89						Excluded								47	50.00		33	35.11		94
		TOTAL	350	39.91														159	18.13		368	41.96		877
	SIXTH		40	25.16															Excluded		119	74.84		159
		TOTAL	390	44.47																	487	55.53		877
																					Elected			
																								
Princess Alexandra Hospital                                    																								
	FIRST		92	26.67		14	4.06		26	7.54		8	2.32		5	1.45		25	7.25		175	50.72		345
	SECOND		0	0.00		1	12.50		4	50.00			Excluded		0	0.00		0	0.00		3	37.50		8
		TOTAL	92	26.67		15	4.35		30	8.70					5	1.45		25	7.25		178	51.59		345
	THIRD		2	40.00		0	0.00		0	0.00						Excluded		3	60.00		0	0.00		5
		TOTAL	94	27.25		15	4.35		30	8.70								28	8.12		178	51.59		345
	FOURTH		4	26.67			Excluded		5	33.33								1	6.67		5	33.33		15
		TOTAL	98	28.41					35	10.14								29	8.41		183	53.04		345
	FIFTH		1	2.86						Excluded								26	74.29		8	22.86		35
		TOTAL	99	28.70														55	15.94		191	55.36		345
	SIXTH		6	10.91															Excluded		49	89.09		55
		TOTAL	105	30.43																	240	69.57		345
																					Elected			
																								
Rainworth                                                      																								
	FIRST		898	46.15		25	1.28		196	10.07		10	0.51		59	3.03		138	7.09		620	31.86		1946
	SECOND		0	0.00		1	10.00		6	60.00			Excluded		0	0.00		1	10.00		2	20.00		10
		TOTAL	898	46.15		26	1.34		202	10.38					59	3.03		139	7.14		622	31.96		1946
	THIRD		47	79.66		3	5.08		1	1.69						Excluded		4	6.78		4	6.78		59
		TOTAL	945	48.56		29	1.49		203	10.43								143	7.35		626	32.17		1946
	FOURTH		12	41.38			Excluded		10	34.48								2	6.90		5	17.24		29
		TOTAL	957	49.18					213	10.95								145	7.45		631	32.43		1946
	FIFTH		23	10.80						Excluded								118	55.40		72	33.80		213
		TOTAL	980	50.36														263	13.51		703	36.13		1946
	SIXTH		48	18.25															Excluded		215	81.75		263
		TOTAL	1028	52.83																	918	47.17		1946
																					Elected			
																								
Red Hill                                                       																								
	FIRST		559	35.58		25	1.59		189	12.03		10	0.64		31	1.97		219	13.94		538	34.25		1571
	SECOND		1	10.00		0	0.00		4	40.00			Excluded		0	0.00		3	30.00		2	20.00		10
		TOTAL	560	35.65		25	1.59		193	12.29					31	1.97		222	14.13		540	34.37		1571
	THIRD		28	90.32		0	0.00		1	3.23						Excluded		1	3.23		1	3.23		31
		TOTAL	588	37.43		25	1.59		194	12.35								223	14.19		541	34.44		1571
	FOURTH		11	44.00			Excluded		6	24.00								4	16.00		4	16.00		25
		TOTAL	599	38.13					200	12.73								227	14.45		545	34.69		1571
	FIFTH		16	8.00						Excluded								139	69.50		45	22.50		200
		TOTAL	615	39.15														366	23.30		590	37.56		1571
	SIXTH		78	21.31															Excluded		288	78.69		366
		TOTAL	693	44.11																	878	55.89		1571
																					Elected			
																								
Royal Brisbane Hospital                                        																								
	FIRST		94	33.57		5	1.79		26	9.29		0	0.00		7	2.50		28	10.00		120	42.86		280
	SECOND		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL	94	33.57		5	1.79		26	9.29					7	2.50		28	10.00		120	42.86		280
	THIRD		5	71.43		1	14.29		0	0.00						Excluded		0	0.00		1	14.29		7
		TOTAL	99	35.36		6	2.14		26	9.29								28	10.00		121	43.21		280
	FOURTH		1	16.67			Excluded		3	50.00								0	0.00		2	33.33		6
		TOTAL	100	35.71					29	10.36								28	10.00		123	43.93		280
	FIFTH		2	6.90						Excluded								20	68.97		7	24.14		29
		TOTAL	102	36.43														48	17.14		130	46.43		280
	SIXTH		12	25.00															Excluded		36	75.00		48
		TOTAL	114	40.71																	166	59.29		280
																					Elected			
																								
South Brisbane                                                 																								
	FIRST		479	30.13		24	1.51		197	12.39		26	1.64		17	1.07		171	10.75		676	42.52		1590
	SECOND		0	0.00		1	3.85		19	73.08			Excluded		0	0.00		2	7.69		4	15.38		26
		TOTAL	479	30.13		25	1.57		216	13.58					17	1.07		173	10.88		680	42.77		1590
	THIRD		12	70.59		0	0.00		3	17.65						Excluded		0	0.00		2	11.76		17
		TOTAL	491	30.88		25	1.57		219	13.77								173	10.88		682	42.89		1590
	FOURTH		14	56.00			Excluded		7	28.00								2	8.00		2	8.00		25
		TOTAL	505	31.76					226	14.21								175	11.01		684	43.02		1590
	FIFTH		13	5.75						Excluded								134	59.29		79	34.96		226
		TOTAL	518	32.58														309	19.43		763	47.99		1590
	SIXTH		49	15.86															Excluded		260	84.14		309
		TOTAL	567	35.66																	1023	64.34		1590
																					Elected			
																								
Spring Hill                                                    																								
	FIRST		510	43.52		19	1.62		99	8.45		14	1.19		22	1.88		129	11.01		379	32.34		1172
	SECOND		2	14.29		0	0.00		10	71.43			Excluded		1	7.14		0	0.00		1	7.14		14
		TOTAL	512	43.69		19	1.62		109	9.30					23	1.96		129	11.01		380	32.42		1172
	THIRD		19	82.61		2	8.70		1	4.35						Excluded		0	0.00		1	4.35		23
		TOTAL	531	45.31		21	1.79		110	9.39								129	11.01		381	32.51		1172
	FOURTH		14	66.67			Excluded		3	14.29								0	0.00		4	19.05		21
		TOTAL	545	46.50					113	9.64								129	11.01		385	32.85		1172
	FIFTH		12	10.62						Excluded								67	59.29		34	30.09		113
		TOTAL	557	47.53														196	16.72		419	35.75		1172
	SIXTH		54	27.55															Excluded		142	72.45		196
		TOTAL	611	52.13																	561	47.87		1172
																					Elected			
																								
Stafford (Brisbane)                                            																								
	FIRST		179	38.66		18	3.89		30	6.48		2	0.43		5	1.08		43	9.29		186	40.17		463
	SECOND		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL	179	38.66		18	3.89		32	6.91					5	1.08		43	9.29		186	40.17		463
	THIRD		3	60.00		1	20.00		0	0.00						Excluded		1	20.00		0	0.00		5
		TOTAL	182	39.31		19	4.10		32	6.91								44	9.50		186	40.17		463
	FOURTH		5	26.32			Excluded		7	36.84								2	10.53		5	26.32		19
		TOTAL	187	40.39					39	8.42								46	9.94		191	41.25		463
	FIFTH		4	10.26						Excluded								21	53.85		14	35.90		39
		TOTAL	191	41.25														67	14.47		205	44.28		463
	SIXTH		19	28.36															Excluded		48	71.64		67
		TOTAL	210	45.36																	253	54.64		463
																					Elected			
																								
Stafford West (Brisbane)                                       																								
	FIRST		120	39.74		13	4.30		15	4.97		3	0.99		4	1.32		26	8.61		121	40.07		302
	SECOND		0	0.00		3	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		3
		TOTAL	120	39.74		16	5.30		15	4.97					4	1.32		26	8.61		121	40.07		302
	THIRD		3	75.00		1	25.00		0	0.00						Excluded		0	0.00		0	0.00		4
		TOTAL	123	40.73		17	5.63		15	4.97								26	8.61		121	40.07		302
	FOURTH		7	41.18			Excluded		4	23.53								2	11.76		4	23.53		17
		TOTAL	130	43.05					19	6.29								28	9.27		125	41.39		302
	FIFTH		3	15.79						Excluded								14	73.68		2	10.53		19
		TOTAL	133	44.04														42	13.91		127	42.05		302
	SIXTH		15	35.71															Excluded		27	64.29		42
		TOTAL	148	49.01																	154	50.99		302
																					Elected			
																								
Toowong (Brisbane)                                             																								
	FIRST		172	40.28		14	3.28		31	7.26		2	0.47		8	1.87		51	11.94		149	34.89		427
	SECOND		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		2
		TOTAL	172	40.28		15	3.51		31	7.26					8	1.87		52	12.18		149	34.89		427
	THIRD		5	62.50		0	0.00		0	0.00						Excluded		0	0.00		3	37.50		8
		TOTAL	177	41.45		15	3.51		31	7.26								52	12.18		152	35.60		427
	FOURTH		6	40.00			Excluded		4	26.67								4	26.67		1	6.67		15
		TOTAL	183	42.86					35	8.20								56	13.11		153	35.83		427
	FIFTH		4	11.43						Excluded								20	57.14		11	31.43		35
		TOTAL	187	43.79														76	17.80		164	38.41		427
	SIXTH		16	21.05															Excluded		60	78.95		76
		TOTAL	203	47.54																	224	52.46		427
																					Elected			
																								
West End                                                       																								
	FIRST		530	20.66		38	1.48		395	15.40		68	2.65		19	0.74		280	10.92		1235	48.15		2565
	SECOND		0	0.00		1	1.47		48	70.59			Excluded		3	4.41		5	7.35		11	16.18		68
		TOTAL	530	20.66		39	1.52		443	17.27					22	0.86		285	11.11		1246	48.58		2565
	THIRD		12	54.55		2	9.09		1	4.55						Excluded		6	27.27		1	4.55		22
		TOTAL	542	21.13		41	1.60		444	17.31								291	11.35		1247	48.62		2565
	FOURTH		15	36.59			Excluded		17	41.46								2	4.88		7	17.07		41
		TOTAL	557	21.72					461	17.97								293	11.42		1254	48.89		2565
	FIFTH		27	5.86						Excluded								280	60.74		154	33.41		461
		TOTAL	584	22.77														573	22.34		1408	54.89		2565
	SIXTH		65	11.34															Excluded		508	88.66		573
		TOTAL	649	25.30																	1916	74.70		2565
																					Elected			
																								
Wilston School                                                 																								
	FIRST		1271	41.36		53	1.72		162	5.27		24	0.78		67	2.18		261	8.49		1235	40.19		3073
	SECOND		3	12.50		2	8.33		14	58.33			Excluded		1	4.17		0	0.00		4	16.67		24
		TOTAL	1274	41.46		55	1.79		176	5.73					68	2.21		261	8.49		1239	40.32		3073
	THIRD		59	86.76		2	2.94		2	2.94						Excluded		3	4.41		2	2.94		68
		TOTAL	1333	43.38		57	1.85		178	5.79								264	8.59		1241	40.38		3073
	FOURTH		31	54.39			Excluded		12	21.05								7	12.28		7	12.28		57
		TOTAL	1364	44.39					190	6.18								271	8.82		1248	40.61		3073
	FIFTH		29	15.26						Excluded								110	57.89		51	26.84		190
		TOTAL	1393	45.33														381	12.40		1299	42.27		3073
	SIXTH		106	27.82															Excluded		275	72.18		381
		TOTAL	1499	48.78																	1574	51.22		3073
																					Elected			
																								
Windsor                                                        																								
	FIRST		539	37.22		43	2.97		101	6.98		15	1.04		30	2.07		145	10.01		575	39.71		1448
	SECOND		1	6.67		1	6.67		11	73.33			Excluded		2	13.33		0	0.00		0	0.00		15
		TOTAL	540	37.29		44	3.04		112	7.73					32	2.21		145	10.01		575	39.71		1448
	THIRD		28	87.50		2	6.25		0	0.00						Excluded		1	3.13		1	3.13		32
		TOTAL	568	39.23		46	3.18		112	7.73								146	10.08		576	39.78		1448
	FOURTH		16	34.78			Excluded		18	39.13								3	6.52		9	19.57		46
		TOTAL	584	40.33					130	8.98								149	10.29		585	40.40		1448
	FIFTH		14	10.77						Excluded								81	62.31		35	26.92		130
		TOTAL	598	41.30														230	15.88		620	42.82		1448
	SIXTH		65	28.26															Excluded		165	71.74		230
		TOTAL	663	45.79																	785	54.21		1448
																					Elected			
																								
Windsor School                                                 																								
	FIRST		545	39.12		28	2.01		96	6.89		6	0.43		8	0.57		120	8.61		590	42.35		1393
	SECOND		1	16.67		1	16.67		3	50.00			Excluded		0	0.00		1	16.67		0	0.00		6
		TOTAL	546	39.20		29	2.08		99	7.11					8	0.57		121	8.69		590	42.35		1393
	THIRD		6	75.00		1	12.50		1	12.50						Excluded		0	0.00		0	0.00		8
		TOTAL	552	39.63		30	2.15		100	7.18								121	8.69		590	42.35		1393
	FOURTH		13	43.33			Excluded		12	40.00								1	3.33		4	13.33		30
		TOTAL	565	40.56					112	8.04								122	8.76		594	42.64		1393
	FIFTH		18	16.07						Excluded								74	66.07		20	17.86		112
		TOTAL	583	41.85														196	14.07		614	44.08		1393
	SIXTH		40	20.41															Excluded		156	79.59		196
		TOTAL	623	44.72																	770	55.28		1393
																					Elected			
																								
Special Hospital Team 1                                        																								
	FIRST		109	50.23		3	1.38		0	0.00		1	0.46		10	4.61		2	0.92		92	42.40		217
	SECOND		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL	110	50.69		3	1.38		0	0.00					10	4.61		2	0.92		92	42.40		217
	THIRD		9	90.00		1	10.00		0	0.00						Excluded		0	0.00		0	0.00		10
		TOTAL	119	54.84		4	1.84		0	0.00								2	0.92		92	42.40		217
	FOURTH		2	50.00			Excluded		1	25.00								1	25.00		0	0.00		4
		TOTAL	121	55.76					1	0.46								3	1.38		92	42.40		217
	FIFTH		1	100.00						Excluded								0	0.00		0	0.00		1
		TOTAL	122	56.22														3	1.38		92	42.40		217
	SIXTH		0	0.00															Excluded		3	100.00		3
		TOTAL	122	56.22																	95	43.78		217
																					Elected			
																								
Special Hospital Team 2                                        																								
	FIRST		39	45.88		2	2.35		0	0.00		0	0.00		0	0.00		0	0.00		44	51.76		85
	SECOND		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL	39	45.88		2	2.35		0	0.00					0	0.00		0	0.00		44	51.76		85
	THIRD		0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0
		TOTAL	39	45.88		2	2.35		0	0.00								0	0.00		44	51.76		85
	FOURTH		0	0.00			Excluded		2	100.00								0	0.00		0	0.00		2
		TOTAL	39	45.88					2	2.35								0	0.00		44	51.76		85
	FIFTH		2	100.00						Excluded								0	0.00		0	0.00		2
		TOTAL	41	48.24														0	0.00		44	51.76		85
	SIXTH		0	0.00															Excluded		0	0.00		0
		TOTAL	41	48.24																	44	51.76		85
																					Elected			
																								
Special Hospital Team 3                                        																								
	FIRST		52	44.83		3	2.59		1	0.86		1	0.86		6	5.17		2	1.72		51	43.97		116
	SECOND		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL	52	44.83		3	2.59		1	0.86					6	5.17		2	1.72		52	44.83		116
	THIRD		4	66.67		0	0.00		0	0.00						Excluded		1	16.67		1	16.67		6
		TOTAL	56	48.28		3	2.59		1	0.86								3	2.59		53	45.69		116
	FOURTH		0	0.00			Excluded		0	0.00								0	0.00		3	100.00		3
		TOTAL	56	48.28					1	0.86								3	2.59		56	48.28		116
	FIFTH		0	0.00						Excluded								0	0.00		1	100.00		1
		TOTAL	56	48.28														3	2.59		57	49.14		116
	SIXTH		2	66.67															Excluded		1	33.33		3
		TOTAL	58	50.00																	58	50.00		116
																					Elected			
																								
Special Hospital Team 4                                        																								
	FIRST		74	44.31		3	1.80		0	0.00		0	0.00		8	4.79		3	1.80		79	47.31		167
	SECOND		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL	74	44.31		3	1.80		0	0.00					8	4.79		3	1.80		79	47.31		167
	THIRD		7	87.50		0	0.00		0	0.00						Excluded		0	0.00		1	12.50		8
		TOTAL	81	48.50		3	1.80		0	0.00								3	1.80		80	47.90		167
	FOURTH		3	100.00			Excluded		0	0.00								0	0.00		0	0.00		3
		TOTAL	84	50.30					0	0.00								3	1.80		80	47.90		167
	FIFTH		0	0.00						Excluded								0	0.00		0	0.00		0
		TOTAL	84	50.30														3	1.80		80	47.90		167
	SIXTH		0	0.00															Excluded		3	100.00		3
		TOTAL	84	50.30																	83	49.70		167
																					Elected			
																								
ABSENT																								
	FIRST		3049	39.74		220	2.87		730	9.52		95	1.24		193	2.52		780	10.17		2605	33.95		7672
	SECOND		12	12.63		10	10.53		27	28.42			Excluded		10	10.53		24	25.26		12	12.63		95
		TOTAL	3061	39.90		230	3.00		757	9.87					203	2.65		804	10.48		2617	34.11		7672
	THIRD		127	62.56		13	6.40		21	10.34						Excluded		25	12.32		17	8.37		203
		TOTAL	3188	41.55		243	3.17		778	10.14								829	10.81		2634	34.33		7672
	FOURTH		107	44.03			Excluded		60	24.69								35	14.40		41	16.87		243
		TOTAL	3295	42.95					838	10.92								864	11.26		2675	34.87		7672
	FIFTH		130	15.51						Excluded								485	57.88		223	26.61		838
		TOTAL	3425	44.64														1349	17.58		2898	37.77		7672
	SIXTH		361	26.76															Excluded		988	73.24		1349
		TOTAL	3786	49.35																	3886	50.65		7672
																					Elected			
																								
POSTAL																								
	FIRST		1787	39.40		143	3.15		169	3.73		22	0.49		97	2.14		209	4.61		2108	46.48		4535
	SECOND		2	9.09		2	9.09		7	31.82			Excluded		1	4.55		7	31.82		3	13.64		22
		TOTAL	1789	39.45		145	3.20		176	3.88					98	2.16		216	4.76		2111	46.55		4535
	THIRD		71	72.45		6	6.12		3	3.06						Excluded		9	9.18		9	9.18		98
		TOTAL	1860	41.01		151	3.33		179	3.95								225	4.96		2120	46.75		4535
	FOURTH		67	44.37			Excluded		28	18.54								17	11.26		39	25.83		151
		TOTAL	1927	42.49					207	4.56								242	5.34		2159	47.61		4535
	FIFTH		37	17.87						Excluded								101	48.79		69	33.33		207
		TOTAL	1964	43.31														343	7.56		2228	49.13		4535
	SIXTH		93	27.11															Excluded		250	72.89		343
		TOTAL	2057	45.36																	2478	54.64		4535
																					Elected			
																								
PRE POLL																								
	FIRST		1938	42.84		99	2.19		408	9.02		38	0.84		84	1.86		389	8.60		1568	34.66		4524
	SECOND		2	5.26		3	7.89		16	42.11			Excluded		4	10.53		7	18.42		6	15.79		38
		TOTAL	1940	42.88		102	2.25		424	9.37					88	1.95		396	8.75		1574	34.79		4524
	THIRD		57	64.77		7	7.95		9	10.23						Excluded		8	9.09		7	7.95		88
		TOTAL	1997	44.14		109	2.41		433	9.57								404	8.93		1581	34.95		4524
	FOURTH		53	48.62			Excluded		29	26.61								12	11.01		15	13.76		109
		TOTAL	2050	45.31					462	10.21								416	9.20		1596	35.28		4524
	FIFTH		55	11.90						Excluded								288	62.34		119	25.76		462
		TOTAL	2105	46.53														704	15.56		1715	37.91		4524
	SIXTH		194	27.56															Excluded		510	72.44		704
		TOTAL	2299	50.82																	2225	49.18		4524
																					Elected			
																								
PROVISIONAL																								
	FIRST		224	28.83		16	2.06		94	12.10		7	0.90		15	1.93		132	16.99		289	37.19		777
	SECOND		1	14.29		1	14.29		4	57.14			Excluded		1	14.29		0	0.00		0	0.00		7
		TOTAL	225	28.96		17	2.19		98	12.61					16	2.06		132	16.99		289	37.19		777
	THIRD		9	56.25		2	12.50		2	12.50						Excluded		2	12.50		1	6.25		16
		TOTAL	234	30.12		19	2.45		100	12.87								134	17.25		290	37.32		777
	FOURTH		8	42.11			Excluded		3	15.79								2	10.53		6	31.58		19
		TOTAL	242	31.15					103	13.26								136	17.50		296	38.10		777
	FIFTH		7	6.80						Excluded								66	64.08		30	29.13		103
		TOTAL	249	32.05														202	26.00		326	41.96		777
	SIXTH		44	21.78															Excluded		158	78.22		202
		TOTAL	293	37.71																	484	62.29		777
																					Elected			
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
