House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Groom																										
					KANE			WUERSCHING			HOY			MACFARLANE			KING			BERRY			EYRES			
		TOTAL		56	4.24		110	8.33		86	6.52		597	45.23		431	32.65					40	3.03		1320	
	THIRD			14	35.00		2	5.00		5	12.50		6	15.00		13	32.50						Excluded		40	
		TOTAL		70	5.30		112	8.48		91	6.89		603	45.68		444	33.64								1320	
	FOURTH				Excluded		12	17.14		12	17.14		11	15.71		35	50.00								70	
		TOTAL					124	9.39		103	7.80		614	46.52		479	36.29								1320	
	FIFTH						37	35.92			Excluded		27	26.21		39	37.86								103	
		TOTAL					161	12.20					641	48.56		518	39.24								1320	
	SIXTH							Excluded					115	71.43		46	28.57								161	
		TOTAL											756	57.27		564	42.73								1320	
													Elected													
																										
Mount Tyson                                                    																										
	FIRST			3	1.25		68	28.33		33	13.75		80	33.33		36	15.00		16	6.67		4	1.67		240	
	SECOND			0	0.00		2	12.50		8	50.00		0	0.00		6	37.50			Excluded		0	0.00		16	
		TOTAL		3	1.25		70	29.17		41	17.08		80	33.33		42	17.50					4	1.67		240	
	THIRD			3	75.00		1	25.00		0	0.00		0	0.00		0	0.00						Excluded		4	
		TOTAL		6	2.50		71	29.58		41	17.08		80	33.33		42	17.50								240	
	FOURTH				Excluded		0	0.00		0	0.00		2	33.33		4	66.67								6	
		TOTAL					71	29.58		41	17.08		82	34.17		46	19.17								240	
	FIFTH						22	53.66			Excluded		7	17.07		12	29.27								41	
		TOTAL					93	38.75					89	37.08		58	24.17								240	
	SIXTH							Excluded					85	91.40		8	8.60								93	
		TOTAL											174	72.50		66	27.50								240	
													Elected													
																										
Newtown                                                        																										
	FIRST			94	3.40		246	8.90		239	8.64		1141	41.27		880	31.83		68	2.46		97	3.51		2765	
	SECOND			8	11.76		7	10.29		5	7.35		8	11.76		19	27.94			Excluded		21	30.88		68	
		TOTAL		102	3.69		253	9.15		244	8.82		1149	41.56		899	32.51					118	4.27		2765	
	THIRD			51	43.22		7	5.93		13	11.02		16	13.56		31	26.27						Excluded		118	
		TOTAL		153	5.53		260	9.40		257	9.29		1165	42.13		930	33.63								2765	
	FOURTH				Excluded		32	20.92		26	16.99		23	15.03		72	47.06								153	
		TOTAL					292	10.56		283	10.24		1188	42.97		1002	36.24								2765	
	FIFTH						89	31.45			Excluded		76	26.86		118	41.70								283	
		TOTAL					381	13.78					1264	45.71		1120	40.51								2765	
	SIXTH							Excluded					292	76.64		89	23.36								381	
		TOTAL											1556	56.27		1209	43.73								2765	
													Elected													
																										
Nobby                                                          																										
	FIRST			4	1.96		37	18.14		28	13.73		93	45.59		24	11.76		13	6.37		5	2.45		204	
	SECOND			1	7.69		2	15.38		8	61.54		0	0.00		1	7.69			Excluded		1	7.69		13	
		TOTAL		5	2.45		39	19.12		36	17.65		93	45.59		25	12.25					6	2.94		204	
	THIRD			3	50.00		0	0.00		2	33.33		0	0.00		1	16.67						Excluded		6	
		TOTAL		8	3.92		39	19.12		38	18.63		93	45.59		26	12.75								204	
	FOURTH				Excluded		0	0.00		2	25.00		1	12.50		5	62.50								8	
		TOTAL					39	19.12		40	19.61		94	46.08		31	15.20								204	
	FIFTH						15	37.50			Excluded		12	30.00		13	32.50								40	
		TOTAL					54	26.47					106	51.96		44	21.57								204	
	SIXTH							Excluded					47	87.04		7	12.96								54	
		TOTAL											153	75.00		51	25.00								204	
													Elected													
																										
Oakey                                                          																										
	FIRST			47	2.15		294	13.43		294	13.43		817	37.32		562	25.67		152	6.94		23	1.05		2189	
	SECOND			8	5.26		23	15.13		44	28.95		22	14.47		41	26.97			Excluded		14	9.21		152	
		TOTAL		55	2.51		317	14.48		338	15.44		839	38.33		603	27.55					37	1.69		2189	
	THIRD			6	16.22		4	10.81		9	24.32		1	2.70		17	45.95						Excluded		37	
		TOTAL		61	2.79		321	14.66		347	15.85		840	38.37		620	28.32								2189	
	FOURTH				Excluded		19	31.15		15	24.59		8	13.11		19	31.15								61	
		TOTAL					340	15.53		362	16.54		848	38.74		639	29.19								2189	
	FIFTH						142	39.23			Excluded		90	24.86		130	35.91								362	
		TOTAL					482	22.02					938	42.85		769	35.13								2189	
	SIXTH							Excluded					378	78.42		104	21.58								482	
		TOTAL											1316	60.12		873	39.88								2189	
													Elected													
																										
Pilton                                                         																										
	FIRST			6	3.80		23	14.56		23	14.56		85	53.80		17	10.76		2	1.27		2	1.27		158	
	SECOND			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		6	3.80		24	15.19		24	15.19		85	53.80		17	10.76					2	1.27		158	
	THIRD			1	50.00		0	0.00		0	0.00		1	50.00		0	0.00						Excluded		2	
		TOTAL		7	4.43		24	15.19		24	15.19		86	54.43		17	10.76								158	
	FOURTH				Excluded		0	0.00		1	14.29		1	14.29		5	71.43								7	
		TOTAL					24	15.19		25	15.82		87	55.06		22	13.92								158	
	FIFTH						9	36.00			Excluded		6	24.00		10	40.00								25	
		TOTAL					33	20.89					93	58.86		32	20.25								158	
	SIXTH							Excluded					26	78.79		7	21.21								33	
		TOTAL											119	75.32		39	24.68								158	
													Elected													
																										
Pittsworth                                                     																										
	FIRST			34	2.01		226	13.39		224	13.27		773	45.79		358	21.21		50	2.96		23	1.36		1688	
	SECOND			4	8.00		9	18.00		9	18.00		4	8.00		14	28.00			Excluded		10	20.00		50	
		TOTAL		38	2.25		235	13.92		233	13.80		777	46.03		372	22.04					33	1.95		1688	
	THIRD			9	27.27		5	15.15		2	6.06		10	30.30		7	21.21						Excluded		33	
		TOTAL		47	2.78		240	14.22		235	13.92		787	46.62		379	22.45								1688	
	FOURTH				Excluded		15	31.91		8	17.02		8	17.02		16	34.04								47	
		TOTAL					255	15.11		243	14.40		795	47.10		395	23.40								1688	
	FIFTH						89	36.63			Excluded		59	24.28		95	39.09								243	
		TOTAL					344	20.38					854	50.59		490	29.03								1688	
	SIXTH							Excluded					296	86.05		48	13.95								344	
		TOTAL											1150	68.13		538	31.87								1688	
													Elected													
																										
Quinalow                                                       																										
	FIRST			4	2.47		45	27.78		32	19.75		61	37.65		8	4.94		9	5.56		3	1.85		162	
	SECOND			0	0.00		2	22.22		4	44.44		2	22.22		0	0.00			Excluded		1	11.11		9	
		TOTAL		4	2.47		47	29.01		36	22.22		63	38.89		8	4.94					4	2.47		162	
	THIRD			1	25.00		0	0.00		0	0.00		0	0.00		3	75.00						Excluded		4	
		TOTAL		5	3.09		47	29.01		36	22.22		63	38.89		11	6.79								162	
	FOURTH				Excluded		1	20.00		1	20.00		1	20.00		2	40.00								5	
		TOTAL					48	29.63		37	22.84		64	39.51		13	8.02								162	
	FIFTH						14	37.84			Excluded		8	21.62		15	40.54								37	
		TOTAL					62	38.27					72	44.44		28	17.28								162	
	SIXTH							Excluded					54	87.10		8	12.90								62	
		TOTAL											126	77.78		36	22.22								162	
													Elected													
																										
Rangeville                                                     																										
	FIRST			128	3.84		351	10.53		165	4.95		1800	54.02		679	20.38		74	2.22		135	4.05		3332	
	SECOND			17	22.97		5	6.76		12	16.22		11	14.86		12	16.22			Excluded		17	22.97		74	
		TOTAL		145	4.35		356	10.68		177	5.31		1811	54.35		691	20.74					152	4.56		3332	
	THIRD			79	51.97		12	7.89		11	7.24		22	14.47		28	18.42						Excluded		152	
		TOTAL		224	6.72		368	11.04		188	5.64		1833	55.01		719	21.58								3332	
	FOURTH				Excluded		40	17.86		13	5.80		49	21.88		122	54.46								224	
		TOTAL					408	12.24		201	6.03		1882	56.48		841	25.24								3332	
	FIFTH						88	43.78			Excluded		50	24.88		63	31.34								201	
		TOTAL					496	14.89					1932	57.98		904	27.13								3332	
	SIXTH							Excluded					408	82.26		88	17.74								496	
		TOTAL											2340	70.23		992	29.77								3332	
													Elected													
																										
Rockville                                                      																										
	FIRST			39	3.46		94	8.34		120	10.65		405	35.94		404	35.85		24	2.13		41	3.64		1127	
	SECOND			7	29.17		1	4.17		8	33.33		4	16.67		1	4.17			Excluded		3	12.50		24	
		TOTAL		46	4.08		95	8.43		128	11.36		409	36.29		405	35.94					44	3.90		1127	
	THIRD			15	34.09		6	13.64		3	6.82		6	13.64		14	31.82						Excluded		44	
		TOTAL		61	5.41		101	8.96		131	11.62		415	36.82		419	37.18								1127	
	FOURTH				Excluded		18	29.51		13	21.31		13	21.31		17	27.87								61	
		TOTAL					119	10.56		144	12.78		428	37.98		436	38.69								1127	
	FIFTH						43	29.86			Excluded		32	22.22		69	47.92								144	
		TOTAL					162	14.37					460	40.82		505	44.81								1127	
	SIXTH							Excluded					121	74.69		41	25.31								162	
		TOTAL											581	51.55		546	48.45								1127	
													Elected													
																										
Ryeford                                                        																										
	FIRST			1	0.67		28	18.79		21	14.09		75	50.34		14	9.40		8	5.37		2	1.34		149	
	SECOND			1	12.50		1	12.50		4	50.00		2	25.00		0	0.00			Excluded		0	0.00		8	
		TOTAL		2	1.34		29	19.46		25	16.78		77	51.68		14	9.40					2	1.34		149	
	THIRD			1	50.00		0	0.00		1	50.00		0	0.00		0	0.00						Excluded		2	
		TOTAL		3	2.01		29	19.46		26	17.45		77	51.68		14	9.40								149	
	FOURTH				Excluded		0	0.00		2	66.67		0	0.00		1	33.33								3	
		TOTAL					29	19.46		28	18.79		77	51.68		15	10.07								149	
	FIFTH						12	42.86			Excluded		10	35.71		6	21.43								28	
		TOTAL					41	27.52					87	58.39		21	14.09								149	
	SIXTH							Excluded					37	90.24		4	9.76								41	
		TOTAL											124	83.22		25	16.78								149	
													Elected													
																										
South End                                                      																										
	FIRST			82	4.54		162	8.98		145	8.03		876	48.53		450	24.93		34	1.88		56	3.10		1805	
	SECOND			11	32.35		4	11.76		2	5.88		5	14.71		8	23.53			Excluded		4	11.76		34	
		TOTAL		93	5.15		166	9.20		147	8.14		881	48.81		458	25.37					60	3.32		1805	
	THIRD			22	36.67		4	6.67		4	6.67		10	16.67		20	33.33						Excluded		60	
		TOTAL		115	6.37		170	9.42		151	8.37		891	49.36		478	26.48								1805	
	FOURTH				Excluded		21	18.26		17	14.78		23	20.00		54	46.96								115	
		TOTAL					191	10.58		168	9.31		914	50.64		532	29.47								1805	
	FIFTH						62	36.90			Excluded		42	25.00		64	38.10								168	
		TOTAL					253	14.02					956	52.96		596	33.02								1805	
	SIXTH							Excluded					206	81.42		47	18.58								253	
		TOTAL											1162	64.38		643	35.62								1805	
													Elected													
																										
Southbrook                                                     																										
	FIRST			4	1.19		62	18.45		49	14.58		152	45.24		60	17.86		7	2.08		2	0.60		336	
	SECOND			1	14.29		3	42.86		1	14.29		0	0.00		0	0.00			Excluded		2	28.57		7	
		TOTAL		5	1.49		65	19.35		50	14.88		152	45.24		60	17.86					4	1.19		336	
	THIRD			0	0.00		1	25.00		0	0.00		1	25.00		2	50.00						Excluded		4	
		TOTAL		5	1.49		66	19.64		50	14.88		153	45.54		62	18.45								336	
	FOURTH				Excluded		0	0.00		2	40.00		0	0.00		3	60.00								5	
		TOTAL					66	19.64		52	15.48		153	45.54		65	19.35								336	
	FIFTH						23	44.23			Excluded		9	17.31		20	38.46								52	
		TOTAL					89	26.49					162	48.21		85	25.30								336	
	SIXTH							Excluded					83	93.26		6	6.74								89	
		TOTAL											245	72.92		91	27.08								336	
													Elected													
																										
Southtown                                                      																										
	FIRST			138	4.28		302	9.37		234	7.26		1469	45.56		863	26.77		78	2.42		140	4.34		3224	
	SECOND			15	19.23		5	6.41		22	28.21		18	23.08		6	7.69			Excluded		12	15.38		78	
		TOTAL		153	4.75		307	9.52		256	7.94		1487	46.12		869	26.95					152	4.71		3224	
	THIRD			69	45.39		10	6.58		8	5.26		20	13.16		45	29.61						Excluded		152	
		TOTAL		222	6.89		317	9.83		264	8.19		1507	46.74		914	28.35								3224	
	FOURTH				Excluded		45	20.27		30	13.51		26	11.71		121	54.50								222	
		TOTAL					362	11.23		294	9.12		1533	47.55		1035	32.10								3224	
	FIFTH						115	39.12			Excluded		86	29.25		93	31.63								294	
		TOTAL					477	14.80					1619	50.22		1128	34.99								3224	
	SIXTH							Excluded					364	76.31		113	23.69								477	
		TOTAL											1983	61.51		1241	38.49								3224	
													Elected													
																										
St Josephs College                                             																										
	FIRST			55	5.32		111	10.75		73	7.07		491	47.53		249	24.10		5	0.48		49	4.74		1033	
	SECOND			1	20.00		1	20.00		0	0.00		1	20.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		56	5.42		112	10.84		73	7.07		492	47.63		250	24.20					50	4.84		1033	
	THIRD			21	42.00		2	4.00		3	6.00		5	10.00		19	38.00						Excluded		50	
		TOTAL		77	7.45		114	11.04		76	7.36		497	48.11		269	26.04								1033	
	FOURTH				Excluded		13	16.88		9	11.69		12	15.58		43	55.84								77	
		TOTAL					127	12.29		85	8.23		509	49.27		312	30.20								1033	
	FIFTH						35	41.18			Excluded		22	25.88		28	32.94								85	
		TOTAL					162	15.68					531	51.40		340	32.91								1033	
	SIXTH							Excluded					133	82.10		29	17.90								162	
		TOTAL											664	64.28		369	35.72								1033	
													Elected													
																										
The Range                                                      																										
	FIRST			44	4.26		113	10.94		37	3.58		642	62.15		155	15.00		18	1.74		24	2.32		1033	
	SECOND			3	16.67		7	38.89		4	22.22		1	5.56		1	5.56			Excluded		2	11.11		18	
		TOTAL		47	4.55		120	11.62		41	3.97		643	62.25		156	15.10					26	2.52		1033	
	THIRD			10	38.46		4	15.38		0	0.00		5	19.23		7	26.92						Excluded		26	
		TOTAL		57	5.52		124	12.00		41	3.97		648	62.73		163	15.78								1033	
	FOURTH				Excluded		9	15.79		2	3.51		13	22.81		33	57.89								57	
		TOTAL					133	12.88		43	4.16		661	63.99		196	18.97								1033	
	FIFTH						17	39.53			Excluded		14	32.56		12	27.91								43	
		TOTAL					150	14.52					675	65.34		208	20.14								1033	
	SIXTH							Excluded					124	82.67		26	17.33								150	
		TOTAL											799	77.35		234	22.65								1033	
													Elected													
																										
Toowoomba City                                                 																										
	FIRST			84	5.73		126	8.59		101	6.89		595	40.59		480	32.74		24	1.64		56	3.82		1466	
	SECOND			3	12.50		4	16.67		3	12.50		6	25.00		3	12.50			Excluded		5	20.83		24	
		TOTAL		87	5.93		130	8.87		104	7.09		601	41.00		483	32.95					61	4.16		1466	
	THIRD			19	31.15		8	13.11		3	4.92		10	16.39		21	34.43						Excluded		61	
		TOTAL		106	7.23		138	9.41		107	7.30		611	41.68		504	34.38								1466	
	FOURTH				Excluded		25	23.58		16	15.09		19	17.92		46	43.40								106	
		TOTAL					163	11.12		123	8.39		630	42.97		550	37.52								1466	
	FIFTH						39	31.71			Excluded		26	21.14		58	47.15								123	
		TOTAL					202	13.78					656	44.75		608	41.47								1466	
	SIXTH							Excluded					153	75.74		49	24.26								202	
		TOTAL											809	55.18		657	44.82								1466	
													Elected													
																										
Toowoomba East                                                 																										
	FIRST			141	5.33		205	7.75		125	4.72		1324	50.04		656	24.79		35	1.32		160	6.05		2646	
	SECOND			5	14.29		3	8.57		8	22.86		6	17.14		5	14.29			Excluded		8	22.86		35	
		TOTAL		146	5.52		208	7.86		133	5.03		1330	50.26		661	24.98					168	6.35		2646	
	THIRD			100	59.52		12	7.14		1	0.60		23	13.69		32	19.05						Excluded		168	
		TOTAL		246	9.30		220	8.31		134	5.06		1353	51.13		693	26.19								2646	
	FOURTH				Excluded		40	16.26		24	9.76		44	17.89		138	56.10								246	
		TOTAL					260	9.83		158	5.97		1397	52.80		831	31.41								2646	
	FIFTH						62	39.24			Excluded		56	35.44		40	25.32								158	
		TOTAL					322	12.17					1453	54.91		871	32.92								2646	
	SIXTH							Excluded					261	81.06		61	18.94								322	
		TOTAL											1714	64.78		932	35.22								2646	
													Elected													
																										
Toowoomba North                                                																										
	FIRST			43	4.50		97	10.15		72	7.53		359	37.55		311	32.53		33	3.45		41	4.29		956	
	SECOND			4	12.12		1	3.03		4	12.12		8	24.24		6	18.18			Excluded		10	30.30		33	
		TOTAL		47	4.92		98	10.25		76	7.95		367	38.39		317	33.16					51	5.33		956	
	THIRD			21	41.18		5	9.80		6	11.76		5	9.80		14	27.45						Excluded		51	
		TOTAL		68	7.11		103	10.77		82	8.58		372	38.91		331	34.62								956	
	FOURTH				Excluded		10	14.71		12	17.65		13	19.12		33	48.53								68	
		TOTAL					113	11.82		94	9.83		385	40.27		364	38.08								956	
	FIFTH						41	43.62			Excluded		14	14.89		39	41.49								94	
		TOTAL					154	16.11					399	41.74		403	42.15								956	
	SIXTH							Excluded					100	64.94		54	35.06								154	
		TOTAL											499	52.20		457	47.80								956	
													Elected													
																										
Toowoomba Taylor St                                            																										
	FIRST			82	6.05		98	7.23		117	8.63		493	36.38		473	34.91		27	1.99		65	4.80		1355	
	SECOND			4	14.81		2	7.41		3	11.11		6	22.22		7	25.93			Excluded		5	18.52		27	
		TOTAL		86	6.35		100	7.38		120	8.86		499	36.83		480	35.42					70	5.17		1355	
	THIRD			27	38.57		8	11.43		4	5.71		10	14.29		21	30.00						Excluded		70	
		TOTAL		113	8.34		108	7.97		124	9.15		509	37.56		501	36.97								1355	
	FOURTH				Excluded		28	24.78		15	13.27		9	7.96		61	53.98								113	
		TOTAL					136	10.04		139	10.26		518	38.23		562	41.48								1355	
	FIFTH						44	31.65			Excluded		33	23.74		62	44.60								139	
		TOTAL					180	13.28					551	40.66		624	46.05								1355	
	SIXTH							Excluded					132	73.33		48	26.67								180	
		TOTAL											683	50.41		672	49.59								1355	
													Elected													
																										
Toowoomba West                                                 																										
	FIRST			45	2.38		175	9.26		174	9.21		860	45.50		539	28.52		56	2.96		41	2.17		1890	
	SECOND			7	12.50		8	14.29		14	25.00		11	19.64		5	8.93			Excluded		11	19.64		56	
		TOTAL		52	2.75		183	9.68		188	9.95		871	46.08		544	28.78					52	2.75		1890	
	THIRD			17	32.69		4	7.69		7	13.46		4	7.69		20	38.46						Excluded		52	
		TOTAL		69	3.65		187	9.89		195	10.32		875	46.30		564	29.84								1890	
	FOURTH				Excluded		21	30.43		9	13.04		12	17.39		27	39.13								69	
		TOTAL					208	11.01		204	10.79		887	46.93		591	31.27								1890	
	FIFTH						68	33.33			Excluded		55	26.96		81	39.71								204	
		TOTAL					276	14.60					942	49.84		672	35.56								1890	
	SIXTH							Excluded					217	78.62		59	21.38								276	
		TOTAL											1159	61.32		731	38.68								1890	
													Elected													
																										
Tor Street North                                               																										
	FIRST			77	3.51		207	9.44		174	7.94		949	43.29		673	30.70		55	2.51		57	2.60		2192	
	SECOND			6	10.91		8	14.55		6	10.91		7	12.73		10	18.18			Excluded		18	32.73		55	
		TOTAL		83	3.79		215	9.81		180	8.21		956	43.61		683	31.16					75	3.42		2192	
	THIRD			27	36.00		4	5.33		11	14.67		10	13.33		23	30.67						Excluded		75	
		TOTAL		110	5.02		219	9.99		191	8.71		966	44.07		706	32.21								2192	
	FOURTH				Excluded		39	35.45		19	17.27		14	12.73		38	34.55								110	
		TOTAL					258	11.77		210	9.58		980	44.71		744	33.94								2192	
	FIFTH						66	31.43			Excluded		49	23.33		95	45.24								210	
		TOTAL					324	14.78					1029	46.94		839	38.28								2192	
	SIXTH							Excluded					252	77.78		72	22.22								324	
		TOTAL											1281	58.44		911	41.56								2192	
													Elected													
																										
Westbrook                                                      																										
	FIRST			13	2.01		81	12.52		92	14.22		316	48.84		103	15.92		22	3.40		20	3.09		647	
	SECOND			2	9.09		9	40.91		5	22.73		1	4.55		2	9.09			Excluded		3	13.64		22	
		TOTAL		15	2.32		90	13.91		97	14.99		317	49.00		105	16.23					23	3.55		647	
	THIRD			9	39.13		2	8.70		4	17.39		2	8.70		6	26.09						Excluded		23	
		TOTAL		24	3.71		92	14.22		101	15.61		319	49.30		111	17.16								647	
	FOURTH				Excluded		7	29.17		7	29.17		6	25.00		4	16.67								24	
		TOTAL					99	15.30		108	16.69		325	50.23		115	17.77								647	
	FIFTH						36	33.33			Excluded		29	26.85		43	39.81								108	
		TOTAL					135	20.87					354	54.71		158	24.42								647	
	SIXTH							Excluded					112	82.96		23	17.04								135	
		TOTAL											466	72.02		181	27.98								647	
													Elected													
																										
Wilsonton                                                      																										
	FIRST			112	3.61		277	8.93		306	9.86		1419	45.74		820	26.43		62	2.00		106	3.42		3102	
	SECOND			7	11.29		5	8.06		12	19.35		8	12.90		11	17.74			Excluded		19	30.65		62	
		TOTAL		119	3.84		282	9.09		318	10.25		1427	46.00		831	26.79					125	4.03		3102	
	THIRD			55	44.00		6	4.80		11	8.80		19	15.20		34	27.20						Excluded		125	
		TOTAL		174	5.61		288	9.28		329	10.61		1446	46.62		865	27.89								3102	
	FOURTH				Excluded		43	24.71		26	14.94		28	16.09		77	44.25								174	
		TOTAL					331	10.67		355	11.44		1474	47.52		942	30.37								3102	
	FIFTH						129	36.34			Excluded		94	26.48		132	37.18								355	
		TOTAL					460	14.83					1568	50.55		1074	34.62								3102	
	SIXTH							Excluded					343	74.57		117	25.43								460	
		TOTAL											1911	61.61		1191	38.39								3102	
													Elected													
																										
Wyreema                                                        																										
	FIRST			8	1.54		89	17.18		68	13.13		235	45.37		94	18.15		19	3.67		5	0.97		518	
	SECOND			1	5.26		2	10.53		4	21.05		4	21.05		5	26.32			Excluded		3	15.79		19	
		TOTAL		9	1.74		91	17.57		72	13.90		239	46.14		99	19.11					8	1.54		518	
	THIRD			3	37.50		1	12.50		0	0.00		2	25.00		2	25.00						Excluded		8	
		TOTAL		12	2.32		92	17.76		72	13.90		241	46.53		101	19.50								518	
	FOURTH				Excluded		3	25.00		2	16.67		4	33.33		3	25.00								12	
		TOTAL					95	18.34		74	14.29		245	47.30		104	20.08								518	
	FIFTH						32	43.24			Excluded		17	22.97		25	33.78								74	
		TOTAL					127	24.52					262	50.58		129	24.90								518	
	SIXTH							Excluded					93	73.23		34	26.77								127	
		TOTAL											355	68.53		163	31.47								518	
													Elected													
																										
Special Hospital Team 1                                        																										
	FIRST			18	6.06		44	14.81		18	6.06		141	47.47		68	22.90		6	2.02		2	0.67		297	
	SECOND			1	16.67		0	0.00		2	33.33		0	0.00		1	16.67			Excluded		2	33.33		6	
		TOTAL		19	6.40		44	14.81		20	6.73		141	47.47		69	23.23					4	1.35		297	
	THIRD			3	75.00		0	0.00		0	0.00		0	0.00		1	25.00						Excluded		4	
		TOTAL		22	7.41		44	14.81		20	6.73		141	47.47		70	23.57								297	
	FOURTH				Excluded		9	40.91		1	4.55		1	4.55		11	50.00								22	
		TOTAL					53	17.85		21	7.07		142	47.81		81	27.27								297	
	FIFTH						11	52.38			Excluded		6	28.57		4	19.05								21	
		TOTAL					64	21.55					148	49.83		85	28.62								297	
	SIXTH							Excluded					52	81.25		12	18.75								64	
		TOTAL											200	67.34		97	32.66								297	
													Elected													
																										
Special Hospital Team 2                                        																										
	FIRST			3	0.91		31	9.37		11	3.32		186	56.19		99	29.91		0	0.00		1	0.30		331	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	0.91		31	9.37		11	3.32		186	56.19		99	29.91					1	0.30		331	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00						Excluded		1	
		TOTAL		3	0.91		31	9.37		11	3.32		187	56.50		99	29.91								331	
	FOURTH				Excluded		0	0.00		0	0.00		2	66.67		1	33.33								3	
		TOTAL					31	9.37		11	3.32		189	57.10		100	30.21								331	
	FIFTH						2	18.18			Excluded		4	36.36		5	45.45								11	
		TOTAL					33	9.97					193	58.31		105	31.72								331	
	SIXTH							Excluded					29	87.88		4	12.12								33	
		TOTAL											222	67.07		109	32.93								331	
													Elected													
																										
ABSENT																										
	FIRST			247	5.39		509	11.11		406	8.86		2041	44.53		1007	21.97		136	2.97		237	5.17		4583	
	SECOND			14	10.29		23	16.91		35	25.74		17	12.50		19	13.97			Excluded		28	20.59		136	
		TOTAL		261	5.69		532	11.61		441	9.62		2058	44.91		1026	22.39					265	5.78		4583	
	THIRD			99	37.36		28	10.57		16	6.04		42	15.85		80	30.19						Excluded		265	
		TOTAL		360	7.86		560	12.22		457	9.97		2100	45.82		1106	24.13								4583	
	FOURTH				Excluded		99	27.50		40	11.11		76	21.11		145	40.28								360	
		TOTAL					659	14.38		497	10.84		2176	47.48		1251	27.30								4583	
	FIFTH						212	42.66			Excluded		135	27.16		150	30.18								497	
		TOTAL					871	19.01					2311	50.43		1401	30.57								4583	
	SIXTH							Excluded					695	79.79		176	20.21								871	
		TOTAL											3006	65.59		1577	34.41								4583	
													Elected													
																										
POSTAL																										
	FIRST			72	1.76		586	14.36		391	9.58		2031	49.77		823	20.17		95	2.33		83	2.03		4081	
	SECOND			11	11.58		15	15.79		22	23.16		15	15.79		16	16.84			Excluded		16	16.84		95	
		TOTAL		83	2.03		601	14.73		413	10.12		2046	50.13		839	20.56					99	2.43		4081	
	THIRD			37	37.37		6	6.06		9	9.09		16	16.16		31	31.31						Excluded		99	
		TOTAL		120	2.94		607	14.87		422	10.34		2062	50.53		870	21.32								4081	
	FOURTH				Excluded		19	15.83		19	15.83		22	18.33		60	50.00								120	
		TOTAL					626	15.34		441	10.81		2084	51.07		930	22.79								4081	
	FIFTH						224	50.79			Excluded		123	27.89		94	21.32								441	
		TOTAL					850	20.83					2207	54.08		1024	25.09								4081	
	SIXTH							Excluded					696	81.88		154	18.12								850	
		TOTAL											2903	71.13		1178	28.87								4081	
													Elected													
																										
PRE POLL																										
	FIRST			127	3.73		328	9.64		291	8.56		1726	50.75		734	21.58		82	2.41		113	3.32		3401	
	SECOND			13	15.85		8	9.76		25	30.49		12	14.63		8	9.76			Excluded		16	19.51		82	
		TOTAL		140	4.12		336	9.88		316	9.29		1738	51.10		742	21.82					129	3.79		3401	
	THIRD			43	33.33		10	7.75		13	10.08		24	18.60		39	30.23						Excluded		129	
		TOTAL		183	5.38		346	10.17		329	9.67		1762	51.81		781	22.96								3401	
	FOURTH				Excluded		52	28.42		20	10.93		28	15.30		83	45.36								183	
		TOTAL					398	11.70		349	10.26		1790	52.63		864	25.40								3401	
	FIFTH						152	43.55			Excluded		93	26.65		104	29.80								349	
		TOTAL					550	16.17					1883	55.37		968	28.46								3401	
	SIXTH							Excluded					427	77.64		123	22.36								550	
		TOTAL											2310	67.92		1091	32.08								3401	
													Elected													
																										
PROVISIONAL																										
	FIRST			48	7.84		53	8.66		57	9.31		229	37.42		179	29.25		18	2.94		28	4.58		612	
	SECOND			5	27.78		0	0.00		3	16.67		2	11.11		5	27.78			Excluded		3	16.67		18	
		TOTAL		53	8.66		53	8.66		60	9.80		231	37.75		184	30.07					31	5.07		612	
	THIRD			15	48.39		1	3.23		2	6.45		4	12.90		9	29.03						Excluded		31	
		TOTAL		68	11.11		54	8.82		62	10.13		235	38.40		193	31.54								612	
	FOURTH				Excluded		19	27.94		13	19.12		10	14.71		26	38.24								68	
		TOTAL					73	11.93		75	12.25		245	40.03		219	35.78								612	
	FIFTH						33	44.00			Excluded		20	26.67		22	29.33								75	
		TOTAL					106	17.32					265	43.30		241	39.38								612	
	SIXTH							Excluded					74	69.81		32	30.19								106	
		TOTAL											339	55.39		273	44.61								612	
													Elected													
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
