House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
McPherson																										
				LIGHT			LEWIS			MAY			BRADLEY			TRIGGER			GOODWIN			WHITE				
	FIFTH			126	52.07			Excluded		64	26.45					52	21.49								242	
		TOTAL		307	11.30					1389	51.12					1021	37.58								2717	
	SIXTH				Excluded					109	35.50					198	64.50								307	
		TOTAL								1498	55.13					1219	44.87								2717	
										Elected																
																										
Tallai (McPherson)                                             																										
	FIRST			131	5.15		189	7.43		1465	57.56		20	0.79		633	24.87		13	0.51		94	3.69		2545	
	SECOND			3	23.08		2	15.38		0	0.00		6	46.15		1	7.69			Excluded		1	7.69		13	
		TOTAL		134	5.27		191	7.50		1465	57.56		26	1.02		634	24.91					95	3.73		2545	
	THIRD			6	23.08		5	19.23		10	38.46			Excluded		3	11.54					2	7.69		26	
		TOTAL		140	5.50		196	7.70		1475	57.96					637	25.03					97	3.81		2545	
	FOURTH			43	44.33		5	5.15		22	22.68					27	27.84						Excluded		97	
		TOTAL		183	7.19		201	7.90		1497	58.82					664	26.09								2545	
	FIFTH			104	51.74			Excluded		69	34.33					28	13.93								201	
		TOTAL		287	11.28					1566	61.53					692	27.19								2545	
	SIXTH				Excluded					112	39.02					175	60.98								287	
		TOTAL								1678	65.93					867	34.07								2545	
										Elected																
																										
Tallebudgera                                                   																										
	FIRST			81	5.88		96	6.97		776	56.31		8	0.58		350	25.40		4	0.29		63	4.57		1378	
	SECOND			1	25.00		0	0.00		0	0.00		3	75.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		82	5.95		96	6.97		776	56.31		11	0.80		350	25.40					63	4.57		1378	
	THIRD			1	9.09		1	9.09		4	36.36			Excluded		1	9.09					4	36.36		11	
		TOTAL		83	6.02		97	7.04		780	56.60					351	25.47					67	4.86		1378	
	FOURTH			45	67.16		1	1.49		12	17.91					9	13.43						Excluded		67	
		TOTAL		128	9.29		98	7.11		792	57.47					360	26.12								1378	
	FIFTH			44	44.90			Excluded		39	39.80					15	15.31								98	
		TOTAL		172	12.48					831	60.30					375	27.21								1378	
	SIXTH				Excluded					52	30.23					120	69.77								172	
		TOTAL								883	64.08					495	35.92								1378	
										Elected																
																										
Tallebudgera Valley                                            																										
	FIRST			42	9.35		30	6.68		252	56.12		3	0.67		107	23.83		2	0.45		13	2.90		449	
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		42	9.35		30	6.68		252	56.12		5	1.11		107	23.83					13	2.90		449	
	THIRD			0	0.00		3	60.00		0	0.00			Excluded		1	20.00					1	20.00		5	
		TOTAL		42	9.35		33	7.35		252	56.12					108	24.05					14	3.12		449	
	FOURTH			7	50.00		0	0.00		2	14.29					5	35.71						Excluded		14	
		TOTAL		49	10.91		33	7.35		254	56.57					113	25.17								449	
	FIFTH			15	45.45			Excluded		15	45.45					3	9.09								33	
		TOTAL		64	14.25					269	59.91					116	25.84								449	
	SIXTH				Excluded					9	14.06					55	85.94								64	
		TOTAL								278	61.92					171	38.08								449	
										Elected																
																										
Tugun                                                          																										
	FIRST			176	5.05		258	7.41		1712	49.17		24	0.69		1131	32.48		18	0.52		163	4.68		3482	
	SECOND			3	16.67		0	0.00		3	16.67		8	44.44		1	5.56			Excluded		3	16.67		18	
		TOTAL		179	5.14		258	7.41		1715	49.25		32	0.92		1132	32.51					166	4.77		3482	
	THIRD			6	18.75		12	37.50		7	21.88			Excluded		3	9.38					4	12.50		32	
		TOTAL		185	5.31		270	7.75		1722	49.45					1135	32.60					170	4.88		3482	
	FOURTH			104	61.18		7	4.12		18	10.59					41	24.12						Excluded		170	
		TOTAL		289	8.30		277	7.96		1740	49.97					1176	33.77								3482	
	FIFTH			123	44.40			Excluded		100	36.10					54	19.49								277	
		TOTAL		412	11.83					1840	52.84					1230	35.32								3482	
	SIXTH				Excluded					136	33.01					276	66.99								412	
		TOTAL								1976	56.75					1506	43.25								3482	
										Elected																
																										
Special Hospital Team 1                                        																										
	FIRST			5	2.09		6	2.51		144	60.25		3	1.26		79	33.05		0	0.00		2	0.84		239	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	2.09		6	2.51		144	60.25		3	1.26		79	33.05					2	0.84		239	
	THIRD			0	0.00		0	0.00		2	66.67			Excluded		1	33.33					0	0.00		3	
		TOTAL		5	2.09		6	2.51		146	61.09					80	33.47					2	0.84		239	
	FOURTH			1	50.00		0	0.00		1	50.00					0	0.00						Excluded		2	
		TOTAL		6	2.51		6	2.51		147	61.51					80	33.47								239	
	FIFTH			1	16.67			Excluded		2	33.33					3	50.00								6	
		TOTAL		7	2.93					149	62.34					83	34.73								239	
	SIXTH				Excluded					5	71.43					2	28.57								7	
		TOTAL								154	64.44					85	35.56								239	
										Elected																
																										
Special Hospital Team 2                                        																										
	FIRST			6	2.75		2	0.92		145	66.51		2	0.92		57	26.15		2	0.92		4	1.83		218	
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		7	3.21		2	0.92		146	66.97		2	0.92		57	26.15					4	1.83		218	
	THIRD			1	50.00		0	0.00		1	50.00			Excluded		0	0.00					0	0.00		2	
		TOTAL		8	3.67		2	0.92		147	67.43					57	26.15					4	1.83		218	
	FOURTH			1	25.00		0	0.00		1	25.00					2	50.00						Excluded		4	
		TOTAL		9	4.13		2	0.92		148	67.89					59	27.06								218	
	FIFTH			2	100.00			Excluded		0	0.00					0	0.00								2	
		TOTAL		11	5.05					148	67.89					59	27.06								218	
	SIXTH				Excluded					7	63.64					4	36.36								11	
		TOTAL								155	71.10					63	28.90								218	
										Elected																
																										
ABSENT																										
	FIRST			275	8.15		234	6.94		1741	51.62		44	1.30		834	24.73		27	0.80		218	6.46		3373	
	SECOND			2	7.41		1	3.70		3	11.11		12	44.44		4	14.81			Excluded		5	18.52		27	
		TOTAL		277	8.21		235	6.97		1744	51.70		56	1.66		838	24.84					223	6.61		3373	
	THIRD			15	26.79		9	16.07		12	21.43			Excluded		11	19.64					9	16.07		56	
		TOTAL		292	8.66		244	7.23		1756	52.06					849	25.17					232	6.88		3373	
	FOURTH			101	43.53		9	3.88		45	19.40					77	33.19						Excluded		232	
		TOTAL		393	11.65		253	7.50		1801	53.39					926	27.45								3373	
	FIFTH			104	41.11			Excluded		82	32.41					67	26.48								253	
		TOTAL		497	14.73					1883	55.83					993	29.44								3373	
	SIXTH				Excluded					253	50.91					244	49.09								497	
		TOTAL								2136	63.33					1237	36.67								3373	
										Elected																
																										
POSTAL																										
	FIRST			97	2.66		215	5.90		2181	59.82		22	0.60		989	27.13		23	0.63		119	3.26		3646	
	SECOND			1	4.35		0	0.00		4	17.39		12	52.17		3	13.04			Excluded		3	13.04		23	
		TOTAL		98	2.69		215	5.90		2185	59.93		34	0.93		992	27.21					122	3.35		3646	
	THIRD			3	8.82		11	32.35		8	23.53			Excluded		6	17.65					6	17.65		34	
		TOTAL		101	2.77		226	6.20		2193	60.15					998	27.37					128	3.51		3646	
	FOURTH			45	35.16		8	6.25		33	25.78					42	32.81						Excluded		128	
		TOTAL		146	4.00		234	6.42		2226	61.05					1040	28.52								3646	
	FIFTH			47	20.09			Excluded		119	50.85					68	29.06								234	
		TOTAL		193	5.29					2345	64.32					1108	30.39								3646	
	SIXTH				Excluded					69	35.75					124	64.25								193	
		TOTAL								2414	66.21					1232	33.79								3646	
										Elected																
																										
PRE POLL																										
	FIRST			370	4.63		468	5.86		4479	56.06		59	0.74		2262	28.31		41	0.51		310	3.88		7989	
	SECOND			5	12.20		4	9.76		4	9.76		13	31.71		7	17.07			Excluded		8	19.51		41	
		TOTAL		375	4.69		472	5.91		4483	56.11		72	0.90		2269	28.40					318	3.98		7989	
	THIRD			13	18.06		9	12.50		16	22.22			Excluded		19	26.39					15	20.83		72	
		TOTAL		388	4.86		481	6.02		4499	56.31					2288	28.64					333	4.17		7989	
	FOURTH			135	40.54		21	6.31		67	20.12					110	33.03						Excluded		333	
		TOTAL		523	6.55		502	6.28		4566	57.15					2398	30.02								7989	
	FIFTH			185	36.85			Excluded		197	39.24					120	23.90								502	
		TOTAL		708	8.86					4763	59.62					2518	31.52								7989	
	SIXTH				Excluded					274	38.70					434	61.30								708	
		TOTAL								5037	63.05					2952	36.95								7989	
										Elected																
																										
PROVISIONAL																										
	FIRST			62	7.57		61	7.45		398	48.60		7	0.85		244	29.79		5	0.61		42	5.13		819	
	SECOND			1	20.00		0	0.00		0	0.00		1	20.00		2	40.00			Excluded		1	20.00		5	
		TOTAL		63	7.69		61	7.45		398	48.60		8	0.98		246	30.04					43	5.25		819	
	THIRD			1	12.50		3	37.50		2	25.00			Excluded		1	12.50					1	12.50		8	
		TOTAL		64	7.81		64	7.81		400	48.84					247	30.16					44	5.37		819	
	FOURTH			20	45.45		6	13.64		11	25.00					7	15.91						Excluded		44	
		TOTAL		84	10.26		70	8.55		411	50.18					254	31.01								819	
	FIFTH			30	42.86			Excluded		20	28.57					20	28.57								70	
		TOTAL		114	13.92					431	52.63					274	33.46								819	
	SIXTH				Excluded					54	47.37					60	52.63								114	
		TOTAL								485	59.22					334	40.78								819	
										Elected																
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
