House of Representatives - 2001 Election: Tasmania																			
Distribution of Preferences 																			
By Polling Place																			
																			
Braddon																			
				SIDEBOTTOM			PATTISON			THOMPSON			COOPER			PICKFORD			
		TOTAL		96	43.64		99	45.00		12	5.45					13	5.91		220
	THIRD			3	23.08		9	69.23		1	7.69						Excluded		13
		TOTAL		99	45.00		108	49.09		13	5.91								220
	FOURTH			8	61.54		5	38.46			Excluded								13
		TOTAL		107	48.64		113	51.36											220
				Elected															
																			
Sulphur Creek                                                  																			
	FIRST			154	41.62		168	45.41		27	7.30		9	2.43		12	3.24		370
	SECOND			3	33.33		3	33.33		2	22.22			Excluded		1	11.11		9
		TOTAL		157	42.43		171	46.22		29	7.84					13	3.51		370
	THIRD			3	23.08		6	46.15		4	30.77						Excluded		13
		TOTAL		160	43.24		177	47.84		33	8.92								370
	FOURTH			21	63.64		12	36.36			Excluded								33
		TOTAL		181	48.92		189	51.08											370
				Elected															
																			
Togari                                                         																			
	FIRST			34	40.96		42	50.60		2	2.41		3	3.61		2	2.41		83
	SECOND			0	0.00		0	0.00		1	33.33			Excluded		2	66.67		3
		TOTAL		34	40.96		42	50.60		3	3.61					4	4.82		83
	THIRD			3	75.00		1	25.00		0	0.00						Excluded		4
		TOTAL		37	44.58		43	51.81		3	3.61								83
	FOURTH			1	33.33		2	66.67			Excluded								3
		TOTAL		38	45.78		45	54.22											83
				Elected															
																			
Turners Beach                                                  																			
	FIRST			330	40.84		376	46.53		50	6.19		16	1.98		36	4.46		808
	SECOND			3	18.75		5	31.25		5	31.25			Excluded		3	18.75		16
		TOTAL		333	41.21		381	47.15		55	6.81					39	4.83		808
	THIRD			16	41.03		13	33.33		10	25.64						Excluded		39
		TOTAL		349	43.19		394	48.76		65	8.04								808
	FOURTH			45	69.23		20	30.77			Excluded								65
		TOTAL		394	48.76		414	51.24											808
				Elected															
																			
Ulverstone Central                                             																			
	FIRST			601	47.06		549	42.99		57	4.46		24	1.88		46	3.60		1277
	SECOND			10	41.67		6	25.00		5	20.83			Excluded		3	12.50		24
		TOTAL		611	47.85		555	43.46		62	4.86					49	3.84		1277
	THIRD			16	32.65		16	32.65		17	34.69						Excluded		49
		TOTAL		627	49.10		571	44.71		79	6.19								1277
	FOURTH			52	65.82		27	34.18			Excluded								79
		TOTAL		679	53.17		598	46.83											1277
				Elected															
																			
Ulverstone East                                                																			
	FIRST			456	45.10		456	45.10		43	4.25		15	1.48		41	4.06		1011
	SECOND			6	40.00		2	13.33		5	33.33			Excluded		2	13.33		15
		TOTAL		462	45.70		458	45.30		48	4.75					43	4.25		1011
	THIRD			13	30.23		20	46.51		10	23.26						Excluded		43
		TOTAL		475	46.98		478	47.28		58	5.74								1011
	FOURTH			36	62.07		22	37.93			Excluded								58
		TOTAL		511	50.54		500	49.46											1011
				Elected															
																			
Ulverstone South                                               																			
	FIRST			1017	48.57		800	38.20		132	6.30		53	2.53		92	4.39		2094
	SECOND			14	26.42		9	16.98		24	45.28			Excluded		6	11.32		53
		TOTAL		1031	49.24		809	38.63		156	7.45					98	4.68		2094
	THIRD			36	36.73		32	32.65		30	30.61						Excluded		98
		TOTAL		1067	50.96		841	40.16		186	8.88								2094
	FOURTH			117	62.90		69	37.10			Excluded								186
		TOTAL		1184	56.54		910	43.46											2094
				Elected															
																			
Ulverstone West                                                																			
	FIRST			995	51.50		732	37.89		81	4.19		31	1.60		93	4.81		1932
	SECOND			7	22.58		8	25.81		9	29.03			Excluded		7	22.58		31
		TOTAL		1002	51.86		740	38.30		90	4.66					100	5.18		1932
	THIRD			36	36.00		27	27.00		37	37.00						Excluded		100
		TOTAL		1038	53.73		767	39.70		127	6.57								1932
	FOURTH			78	61.42		49	38.58			Excluded								127
		TOTAL		1116	57.76		816	42.24											1932
				Elected															
																			
Upper Burnie                                                   																			
	FIRST			716	53.12		492	36.50		66	4.90		23	1.71		51	3.78		1348
	SECOND			5	21.74		4	17.39		8	34.78			Excluded		6	26.09		23
		TOTAL		721	53.49		496	36.80		74	5.49					57	4.23		1348
	THIRD			20	35.09		27	47.37		10	17.54						Excluded		57
		TOTAL		741	54.97		523	38.80		84	6.23								1348
	FOURTH			60	71.43		24	28.57			Excluded								84
		TOTAL		801	59.42		547	40.58											1348
				Elected															
																			
Valley Road                                                    																			
	FIRST			1113	49.69		899	40.13		79	3.53		63	2.81		86	3.84		2240
	SECOND			22	34.92		15	23.81		20	31.75			Excluded		6	9.52		63
		TOTAL		1135	50.67		914	40.80		99	4.42					92	4.11		2240
	THIRD			44	47.83		24	26.09		24	26.09						Excluded		92
		TOTAL		1179	52.63		938	41.88		123	5.49								2240
	FOURTH			83	67.48		40	32.52			Excluded								123
		TOTAL		1262	56.34		978	43.66											2240
				Elected															
																			
Waratah                                                        																			
	FIRST			86	62.32		32	23.19		8	5.80		1	0.72		11	7.97		138
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		86	62.32		32	23.19		8	5.80					12	8.70		138
	THIRD			3	25.00		0	0.00		9	75.00						Excluded		12
		TOTAL		89	64.49		32	23.19		17	12.32								138
	FOURTH			7	41.18		10	58.82			Excluded								17
		TOTAL		96	69.57		42	30.43											138
				Elected															
																			
Wesley Vale                                                    																			
	FIRST			96	28.32		189	55.75		23	6.78		12	3.54		19	5.60		339
	SECOND			4	33.33		2	16.67		4	33.33			Excluded		2	16.67		12
		TOTAL		100	29.50		191	56.34		27	7.96					21	6.19		339
	THIRD			9	42.86		6	28.57		6	28.57						Excluded		21
		TOTAL		109	32.15		197	58.11		33	9.73								339
	FOURTH			19	57.58		14	42.42			Excluded								33
		TOTAL		128	37.76		211	62.24											339
				Elected															
																			
Wivenhoe                                                       																			
	FIRST			172	49.71		133	38.44		23	6.65		7	2.02		11	3.18		346
	SECOND			1	14.29		2	28.57		3	42.86			Excluded		1	14.29		7
		TOTAL		173	50.00		135	39.02		26	7.51					12	3.47		346
	THIRD			6	50.00		2	16.67		4	33.33						Excluded		12
		TOTAL		179	51.73		137	39.60		30	8.67								346
	FOURTH			18	60.00		12	40.00			Excluded								30
		TOTAL		197	56.94		149	43.06											346
				Elected															
																			
Wynyard Central                                                																			
	FIRST			968	47.43		783	38.36		120	5.88		89	4.36		81	3.97		2041
	SECOND			24	26.97		19	21.35		36	40.45			Excluded		10	11.24		89
		TOTAL		992	48.60		802	39.29		156	7.64					91	4.46		2041
	THIRD			34	37.36		24	26.37		33	36.26						Excluded		91
		TOTAL		1026	50.27		826	40.47		189	9.26								2041
	FOURTH			116	61.38		73	38.62			Excluded								189
		TOTAL		1142	55.95		899	44.05											2041
				Elected															
																			
Wynyard East                                                   																			
	FIRST			312	59.32		134	25.48		36	6.84		22	4.18		22	4.18		526
	SECOND			14	63.64		3	13.64		3	13.64			Excluded		2	9.09		22
		TOTAL		326	61.98		137	26.05		39	7.41					24	4.56		526
	THIRD			14	58.33		6	25.00		4	16.67						Excluded		24
		TOTAL		340	64.64		143	27.19		43	8.17								526
	FOURTH			31	72.09		12	27.91			Excluded								43
		TOTAL		371	70.53		155	29.47											526
				Elected															
																			
Wynyard West                                                   																			
	FIRST			495	48.86		386	38.10		65	6.42		23	2.27		44	4.34		1013
	SECOND			5	21.74		8	34.78		8	34.78			Excluded		2	8.70		23
		TOTAL		500	49.36		394	38.89		73	7.21					46	4.54		1013
	THIRD			21	45.65		15	32.61		10	21.74						Excluded		46
		TOTAL		521	51.43		409	40.38		83	8.19								1013
	FOURTH			60	72.29		23	27.71			Excluded								83
		TOTAL		581	57.35		432	42.65											1013
				Elected															
																			
Yolla                                                          																			
	FIRST			157	38.67		155	38.18		45	11.08		21	5.17		28	6.90		406
	SECOND			9	42.86		2	9.52		10	47.62			Excluded		0	0.00		21
		TOTAL		166	40.89		157	38.67		55	13.55					28	6.90		406
	THIRD			14	50.00		7	25.00		7	25.00						Excluded		28
		TOTAL		180	44.33		164	40.39		62	15.27								406
	FOURTH			41	66.13		21	33.87			Excluded								62
		TOTAL		221	54.43		185	45.57											406
				Elected															
																			
Special Hospital Team 1                                        																			
	FIRST			26	50.00		24	46.15		0	0.00		1	1.92		1	1.92		52
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1
		TOTAL		26	50.00		25	48.08		0	0.00					1	1.92		52
	THIRD			0	0.00		1	100.00		0	0.00						Excluded		1
		TOTAL		26	50.00		26	50.00		0	0.00								52
	FOURTH			0	0.00		0	0.00			Excluded								0
		TOTAL		26	50.00		26	50.00											52
				Elected															
																			
Special Hospital Team 2                                        																			
	FIRST			90	54.55		65	39.39		5	3.03		1	0.61		4	2.42		165
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1
		TOTAL		90	54.55		66	40.00		5	3.03					4	2.42		165
	THIRD			2	50.00		1	25.00		1	25.00						Excluded		4
		TOTAL		92	55.76		67	40.61		6	3.64								165
	FOURTH			3	50.00		3	50.00			Excluded								6
		TOTAL		95	57.58		70	42.42											165
				Elected															
																			
Special Hospital Team 3                                        																			
	FIRST			69	51.88		56	42.11		4	3.01		0	0.00		4	3.01		133
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		69	51.88		56	42.11		4	3.01					4	3.01		133
	THIRD			1	25.00		3	75.00		0	0.00						Excluded		4
		TOTAL		70	52.63		59	44.36		4	3.01								133
	FOURTH			3	75.00		1	25.00			Excluded								4
		TOTAL		73	54.89		60	45.11											133
				Elected															
																			
Special Hospital Team 4                                        																			
	FIRST			87	40.65		111	51.87		5	2.34		2	0.93		9	4.21		214
	SECOND			0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2
		TOTAL		87	40.65		112	52.34		6	2.80					9	4.21		214
	THIRD			1	11.11		5	55.56		3	33.33						Excluded		9
		TOTAL		88	41.12		117	54.67		9	4.21								214
	FOURTH			4	44.44		5	55.56			Excluded								9
		TOTAL		92	42.99		122	57.01											214
				Elected															
																			
ABSENT																			
	FIRST			942	44.52		798	37.71		188	8.88		104	4.91		84	3.97		2116
	SECOND			29	27.88		20	19.23		47	45.19			Excluded		8	7.69		104
		TOTAL		971	45.89		818	38.66		235	11.11					92	4.35		2116
	THIRD			26	28.26		25	27.17		41	44.57						Excluded		92
		TOTAL		997	47.12		843	39.84		276	13.04								2116
	FOURTH			171	61.96		105	38.04			Excluded								276
		TOTAL		1168	55.20		948	44.80											2116
				Elected															
																			
POSTAL																			
	FIRST			928	42.84		968	44.69		114	5.26		68	3.14		88	4.06		2166
	SECOND			24	35.29		18	26.47		19	27.94			Excluded		7	10.29		68
		TOTAL		952	43.95		986	45.52		133	6.14					95	4.39		2166
	THIRD			37	38.95		31	32.63		27	28.42						Excluded		95
		TOTAL		989	45.66		1017	46.95		160	7.39								2166
	FOURTH			102	63.75		58	36.25			Excluded								160
		TOTAL		1091	50.37		1075	49.63											2166
				Elected															
																			
PRE POLL																			
	FIRST			1080	43.05		1035	41.25		172	6.86		103	4.11		119	4.74		2509
	SECOND			33	32.04		29	28.16		34	33.01			Excluded		7	6.80		103
		TOTAL		1113	44.36		1064	42.41		206	8.21					126	5.02		2509
	THIRD			35	27.78		43	34.13		48	38.10						Excluded		126
		TOTAL		1148	45.76		1107	44.12		254	10.12								2509
	FOURTH			154	60.63		100	39.37			Excluded								254
		TOTAL		1302	51.89		1207	48.11											2509
				Elected															
																			
PROVISIONAL																			
	FIRST			346	64.07		127	23.52		33	6.11		22	4.07		12	2.22		540
	SECOND			5	22.73		5	22.73		10	45.45			Excluded		2	9.09		22
		TOTAL		351	65.00		132	24.44		43	7.96					14	2.59		540
	THIRD			5	35.71		5	35.71		4	28.57						Excluded		14
		TOTAL		356	65.93		137	25.37		47	8.70								540
	FOURTH			26	55.32		21	44.68			Excluded								47
		TOTAL		382	70.74		158	29.26											540
				Elected															
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
