House of Representatives - 2001 Election: Tasmania												
Two Candidate Preferred Preference Flow Result												
By Polling Place by Division												
												
Lyons (62942)												
		Candidate		                  	"ADAMS, Dick"		                	"PAGE, Geoff"		                	Total	
		"ANDERSON, Sonia (DEM)"	13		10	76.92		3	23.08		13	
		Total	83		434	65.17		232	34.83		666	

	Tullah											
			1st Prefs		111	68.94		50	31.06		161	
		"BATCHELOR, Neil (HAN)"	7		3	42.86		4	57.14		7	
		"MORRIS, Tim (GRN)"	14		9	64.29		5	35.71		14	
		"ANDERSON, Sonia (DEM)"	7		6	85.71		1	14.29		7	
		Total	28		129	68.25		60	31.75		189	

	Tunbridge											
			1st Prefs		50	66.67		25	33.33		75	
		"BATCHELOR, Neil (HAN)"	3		0	0.00		3	100.00		3	
		"MORRIS, Tim (GRN)"	5		5	100.00		0	0.00		5	
		"ANDERSON, Sonia (DEM)"	1		0	0.00		1	100.00		1	
		Total	9		55	65.48		29	34.52		84	

	Tunnack											
			1st Prefs		92	53.80		79	46.20		171	
		"BATCHELOR, Neil (HAN)"	14		1	7.14		13	92.86		14	
		"MORRIS, Tim (GRN)"	3		2	66.67		1	33.33		3	
		"ANDERSON, Sonia (DEM)"	4		2	50.00		2	50.00		4	
		Total	21		97	50.52		95	49.48		192	

	Wayatinah											
			1st Prefs		13	52.00		12	48.00		25	
		"BATCHELOR, Neil (HAN)"	2		1	50.00		1	50.00		2	
		"MORRIS, Tim (GRN)"	2		2	100.00		0	0.00		2	
		"ANDERSON, Sonia (DEM)"	4		3	75.00		1	25.00		4	
		Total	8		19	57.58		14	42.42		33	

	Westbury											
			1st Prefs		488	45.61		582	54.39		1070	
		"BATCHELOR, Neil (HAN)"	75		32	42.67		43	57.33		75	
		"MORRIS, Tim (GRN)"	91		66	72.53		25	27.47		91	
		"ANDERSON, Sonia (DEM)"	69		35	50.72		34	49.28		69	
		Total	235		621	47.59		684	52.41		1305	

	Westerway											
			1st Prefs		111	66.87		55	33.13		166	
		"BATCHELOR, Neil (HAN)"	8		4	50.00		4	50.00		8	
		"MORRIS, Tim (GRN)"	22		17	77.27		5	22.73		22	
		"ANDERSON, Sonia (DEM)"	5		3	60.00		2	40.00		5	
		Total	35		135	67.16		66	32.84		201	

	Whitemore											
			1st Prefs		26	25.74		75	74.26		101	
		"BATCHELOR, Neil (HAN)"	3		3	100.00		0	0.00		3	
		"MORRIS, Tim (GRN)"	5		3	60.00		2	40.00		5	
		"ANDERSON, Sonia (DEM)"	7		4	57.14		3	42.86		7	
		Total	15		36	31.03		80	68.97		116	

	Wilmot											
			1st Prefs		94	47.24		105	52.76		199	
		"BATCHELOR, Neil (HAN)"	12		4	33.33		8	66.67		12	
		"MORRIS, Tim (GRN)"	36		26	72.22		10	27.78		36	
		"ANDERSON, Sonia (DEM)"	10		7	70.00		3	30.00		10	
		Total	58		131	50.97		126	49.03		257	

	Zeehan											
			1st Prefs		253	70.67		105	29.33		358	
		"BATCHELOR, Neil (HAN)"	29		17	58.62		12	41.38		29	
		"MORRIS, Tim (GRN)"	21		14	66.67		7	33.33		21	
		"ANDERSON, Sonia (DEM)"	15		8	53.33		7	46.67		15	
		Total	65		292	69.03		131	30.97		423	

	Special Hospitals											
			1st Prefs		99	63.46		57	36.54		156	
		"BATCHELOR, Neil (HAN)"	19		15	78.95		4	21.05		19	
		"MORRIS, Tim (GRN)"	6		3	50.00		3	50.00		6	
		"ANDERSON, Sonia (DEM)"	5		4	80.00		1	20.00		5	
		Total	30		121	65.05		65	34.95		186	

	Total Ordinary											
			1st Prefs		24026	57.19		17983	42.81		42009	
		"BATCHELOR, Neil (HAN)"	2654		1463	55.12		1191	44.88		2654	
		"MORRIS, Tim (GRN)"	3369		2543	75.48		826	24.52		3369	
		"ANDERSON, Sonia (DEM)"	2173		1274	58.63		899	41.37		2173	
		Total	8196		29306	58.37		20899	41.63		50205	

	ABSENT											
			1st Prefs		1607	56.07		1259	43.93		2866	
		"BATCHELOR, Neil (HAN)"	195		129	66.15		66	33.85		195	
		"MORRIS, Tim (GRN)"	393		285	72.52		108	27.48		393	
		"ANDERSON, Sonia (DEM)"	249		140	56.22		109	43.78		249	
		Total	837		2161	58.36		1542	41.64		3703	

	POSTAL											
			1st Prefs		1206	54.15		1021	45.85		2227	
		"BATCHELOR, Neil (HAN)"	176		87	49.43		89	50.57		176	
		"MORRIS, Tim (GRN)"	169		120	71.01		49	28.99		169	
		"ANDERSON, Sonia (DEM)"	92		59	64.13		33	35.87		92	
		Total	437		1472	55.26		1192	44.74		2664	

	PRE_POLL											
			1st Prefs		583	49.91		585	50.09		1168	
		"BATCHELOR, Neil (HAN)"	94		66	70.21		28	29.79		94	
		"MORRIS, Tim (GRN)"	159		114	71.70		45	28.30		159	
		"ANDERSON, Sonia (DEM)"	100		57	57.00		43	43.00		100	
		Total	353		820	53.91		701	46.09		1521	

	PROVISIONAL											
			1st Prefs		174	72.80		65	27.20		239	
		"BATCHELOR, Neil (HAN)"	22		11	50.00		11	50.00		22	
		"MORRIS, Tim (GRN)"	23		17	73.91		6	26.09		23	
		"ANDERSON, Sonia (DEM)"	16		9	56.25		7	43.75		16	
		Total	61		211	70.33		89	29.67		300	

	Division Summary											
			1st Prefs		27596	56.89		20913	43.11		48509	
		"BATCHELOR, Neil (HAN)"	3141		1756	55.91		1385	44.09		3141	
		"MORRIS, Tim (GRN)"	4113		3079	74.86		1034	25.14		4113	
		"ANDERSON, Sonia (DEM)"	2630		1539	58.52		1091	41.48		2630	
		Total	9884		33970	58.17		24423	41.83		58393	
