House of Representatives - 2001 Election: Tasmania																				
Distribution of Preferences																				
By Polling Place																				
																				
Lyons																				
				BATCHELOR			ADAMS			MORRIS			PAGE			ANDERSON				
		TOTAL					1594	69.58					697	30.42					2291	
							Elected													
																				
New Norfolk North                                              																				
	FIRST			49	5.21		678	72.05		32	3.40		152	16.15		30	3.19		941	
	SECOND			6	20.00		10	33.33		7	23.33		7	23.33			Excluded		30	
		TOTAL		55	5.84		688	73.11		39	4.14		159	16.90					941	
	THIRD				Excluded		33	60.00		8	14.55		14	25.45					55	
		TOTAL					721	76.62		47	4.99		173	18.38					941	
	FOURTH						33	70.21			Excluded		14	29.79					47	
		TOTAL					754	80.13					187	19.87					941	
							Elected													
																				
Nubeena                                                        																				
	FIRST			19	3.45		279	50.64		67	12.16		169	30.67		17	3.09		551	
	SECOND			2	11.76		7	41.18		6	35.29		2	11.76			Excluded		17	
		TOTAL		21	3.81		286	51.91		73	13.25		171	31.03					551	
	THIRD				Excluded		9	42.86		4	19.05		8	38.10					21	
		TOTAL					295	53.54		77	13.97		179	32.49					551	
	FOURTH						59	76.62			Excluded		18	23.38					77	
		TOTAL					354	64.25					197	35.75					551	
							Elected													
																				
Oatlands                                                       																				
	FIRST			29	4.84		309	51.59		29	4.84		218	36.39		14	2.34		599	
	SECOND			1	7.14		6	42.86		4	28.57		3	21.43			Excluded		14	
		TOTAL		30	5.01		315	52.59		33	5.51		221	36.89					599	
	THIRD				Excluded		17	56.67		5	16.67		8	26.67					30	
		TOTAL					332	55.43		38	6.34		229	38.23					599	
	FOURTH						29	76.32			Excluded		9	23.68					38	
		TOTAL					361	60.27					238	39.73					599	
							Elected													
																				
Orford                                                         																				
	FIRST			17	3.73		178	39.04		27	5.92		211	46.27		23	5.04		456	
	SECOND			2	8.70		8	34.78		4	17.39		9	39.13			Excluded		23	
		TOTAL		19	4.17		186	40.79		31	6.80		220	48.25					456	
	THIRD				Excluded		10	52.63		2	10.53		7	36.84					19	
		TOTAL					196	42.98		33	7.24		227	49.78					456	
	FOURTH						26	78.79			Excluded		7	21.21					33	
		TOTAL					222	48.68					234	51.32					456	
							Elected													
																				
Ouse                                                           																				
	FIRST			13	5.73		117	51.54		7	3.08		82	36.12		8	3.52		227	
	SECOND			2	25.00		2	25.00		0	0.00		4	50.00			Excluded		8	
		TOTAL		15	6.61		119	52.42		7	3.08		86	37.89					227	
	THIRD				Excluded		7	46.67		3	20.00		5	33.33					15	
		TOTAL					126	55.51		10	4.41		91	40.09					227	
	FOURTH						8	80.00			Excluded		2	20.00					10	
		TOTAL					134	59.03					93	40.97					227	
							Elected													
																				
Parattah                                                       																				
	FIRST			5	3.38		86	58.11		6	4.05		42	28.38		9	6.08		148	
	SECOND			0	0.00		5	55.56		3	33.33		1	11.11			Excluded		9	
		TOTAL		5	3.38		91	61.49		9	6.08		43	29.05					148	
	THIRD				Excluded		3	60.00		0	0.00		2	40.00					5	
		TOTAL					94	63.51		9	6.08		45	30.41					148	
	FOURTH						5	55.56			Excluded		4	44.44					9	
		TOTAL					99	66.89					49	33.11					148	
							Elected													
																				
Perth                                                          																				
	FIRST			75	4.58		822	50.15		78	4.76		598	36.49		66	4.03		1639	
	SECOND			9	13.64		19	28.79		23	34.85		15	22.73			Excluded		66	
		TOTAL		84	5.13		841	51.31		101	6.16		613	37.40					1639	
	THIRD				Excluded		38	45.24		17	20.24		29	34.52					84	
		TOTAL					879	53.63		118	7.20		642	39.17					1639	
	FOURTH						79	66.95			Excluded		39	33.05					118	
		TOTAL					958	58.45					681	41.55					1639	
							Elected													
																				
Pontville                                                      																				
	FIRST			18	4.03		223	49.89		29	6.49		155	34.68		22	4.92		447	
	SECOND			4	18.18		7	31.82		6	27.27		5	22.73			Excluded		22	
		TOTAL		22	4.92		230	51.45		35	7.83		160	35.79					447	
	THIRD				Excluded		10	45.45		6	27.27		6	27.27					22	
		TOTAL					240	53.69		41	9.17		166	37.14					447	
	FOURTH						24	58.54			Excluded		17	41.46					41	
		TOTAL					264	59.06					183	40.94					447	
							Elected													
																				
Port Arthur                                                    																				
	FIRST			8	4.42		87	48.07		17	9.39		60	33.15		9	4.97		181	
	SECOND			1	11.11		3	33.33		3	33.33		2	22.22			Excluded		9	
		TOTAL		9	4.97		90	49.72		20	11.05		62	34.25					181	
	THIRD				Excluded		5	55.56		2	22.22		2	22.22					9	
		TOTAL					95	52.49		22	12.15		64	35.36					181	
	FOURTH						17	77.27			Excluded		5	22.73					22	
		TOTAL					112	61.88					69	38.12					181	
							Elected													
																				
Primrose Sands                                                 																				
	FIRST			20	5.15		259	66.75		18	4.64		73	18.81		18	4.64		388	
	SECOND			0	0.00		5	27.78		7	38.89		6	33.33			Excluded		18	
		TOTAL		20	5.15		264	68.04		25	6.44		79	20.36					388	
	THIRD				Excluded		10	50.00		2	10.00		8	40.00					20	
		TOTAL					274	70.62		27	6.96		87	22.42					388	
	FOURTH						17	62.96			Excluded		10	37.04					27	
		TOTAL					291	75.00					97	25.00					388	
							Elected													
																				
Pyengana                                                       																				
	FIRST			2	1.87		35	32.71		19	17.76		48	44.86		3	2.80		107	
	SECOND			0	0.00		0	0.00		1	33.33		2	66.67			Excluded		3	
		TOTAL		2	1.87		35	32.71		20	18.69		50	46.73					107	
	THIRD				Excluded		0	0.00		1	50.00		1	50.00					2	
		TOTAL					35	32.71		21	19.63		51	47.66					107	
	FOURTH						14	66.67			Excluded		7	33.33					21	
		TOTAL					49	45.79					58	54.21					107	
							Elected													
																				
Queenstown                                                     																				
	FIRST			65	5.37		687	56.73		41	3.39		392	32.37		26	2.15		1211	
	SECOND			4	15.38		5	19.23		7	26.92		10	38.46			Excluded		26	
		TOTAL		69	5.70		692	57.14		48	3.96		402	33.20					1211	
	THIRD				Excluded		42	60.87		7	10.14		20	28.99					69	
		TOTAL					734	60.61		55	4.54		422	34.85					1211	
	FOURTH						34	61.82			Excluded		21	38.18					55	
		TOTAL					768	63.42					443	36.58					1211	
							Elected													
																				
Railton                                                        																				
	FIRST			44	6.18		340	47.75		29	4.07		262	36.80		37	5.20		712	
	SECOND			8	21.62		10	27.03		12	32.43		7	18.92			Excluded		37	
		TOTAL		52	7.30		350	49.16		41	5.76		269	37.78					712	
	THIRD				Excluded		19	36.54		15	28.85		18	34.62					52	
		TOTAL					369	51.83		56	7.87		287	40.31					712	
	FOURTH						31	55.36			Excluded		25	44.64					56	
		TOTAL					400	56.18					312	43.82					712	
							Elected													
																				
Richmond                                                       																				
	FIRST			29	3.09		397	42.37		82	8.75		375	40.02		54	5.76		937	
	SECOND			4	7.41		18	33.33		18	33.33		14	25.93			Excluded		54	
		TOTAL		33	3.52		415	44.29		100	10.67		389	41.52					937	
	THIRD				Excluded		17	51.52		7	21.21		9	27.27					33	
		TOTAL					432	46.10		107	11.42		398	42.48					937	
	FOURTH						70	65.42			Excluded		37	34.58					107	
		TOTAL					502	53.58					435	46.42					937	
							Elected													
																				
Rosebery                                                       																				
	FIRST			39	7.75		350	69.58		6	1.19		81	16.10		27	5.37		503	
	SECOND			6	22.22		9	33.33		8	29.63		4	14.81			Excluded		27	
		TOTAL		45	8.95		359	71.37		14	2.78		85	16.90					503	
	THIRD				Excluded		23	51.11		11	24.44		11	24.44					45	
		TOTAL					382	75.94		25	4.97		96	19.09					503	
	FOURTH						20	80.00			Excluded		5	20.00					25	
		TOTAL					402	79.92					101	20.08					503	
							Elected													
																				
Ross                                                           																				
	FIRST			10	3.80		143	54.37		10	3.80		93	35.36		7	2.66		263	
	SECOND			2	28.57		3	42.86		2	28.57		0	0.00			Excluded		7	
		TOTAL		12	4.56		146	55.51		12	4.56		93	35.36					263	
	THIRD				Excluded		9	75.00		1	8.33		2	16.67					12	
		TOTAL					155	58.94		13	4.94		95	36.12					263	
	FOURTH						7	53.85			Excluded		6	46.15					13	
		TOTAL					162	61.60					101	38.40					263	
							Elected													
																				
Saltwater River                                                																				
	FIRST			4	3.77		55	51.89		5	4.72		37	34.91		5	4.72		106	
	SECOND			1	20.00		1	20.00		1	20.00		2	40.00			Excluded		5	
		TOTAL		5	4.72		56	52.83		6	5.66		39	36.79					106	
	THIRD				Excluded		2	40.00		0	0.00		3	60.00					5	
		TOTAL					58	54.72		6	5.66		42	39.62					106	
	FOURTH						3	50.00			Excluded		3	50.00					6	
		TOTAL					61	57.55					45	42.45					106	
							Elected													
																				
Scamander                                                      																				
	FIRST			19	3.51		302	55.82		45	8.32		153	28.28		22	4.07		541	
	SECOND			1	4.55		5	22.73		9	40.91		7	31.82			Excluded		22	
		TOTAL		20	3.70		307	56.75		54	9.98		160	29.57					541	
	THIRD				Excluded		7	35.00		6	30.00		7	35.00					20	
		TOTAL					314	58.04		60	11.09		167	30.87					541	
	FOURTH						45	75.00			Excluded		15	25.00					60	
		TOTAL					359	66.36					182	33.64					541	
							Elected													
																				
Sheffield                                                      																				
	FIRST			70	6.06		418	36.19		83	7.19		525	45.45		59	5.11		1155	
	SECOND			3	5.08		20	33.90		18	30.51		18	30.51			Excluded		59	
		TOTAL		73	6.32		438	37.92		101	8.74		543	47.01					1155	
	THIRD				Excluded		22	30.14		13	17.81		38	52.05					73	
		TOTAL					460	39.83		114	9.87		581	50.30					1155	
	FOURTH						87	76.32			Excluded		27	23.68					114	
		TOTAL					547	47.36					608	52.64					1155	
							Elected													
																				
Sidmouth                                                       																				
	FIRST			29	5.53		205	39.12		42	8.02		221	42.18		27	5.15		524	
	SECOND			2	7.41		9	33.33		10	37.04		6	22.22			Excluded		27	
		TOTAL		31	5.92		214	40.84		52	9.92		227	43.32					524	
	THIRD				Excluded		10	32.26		9	29.03		12	38.71					31	
		TOTAL					224	42.75		61	11.64		239	45.61					524	
	FOURTH						44	72.13			Excluded		17	27.87					61	
		TOTAL					268	51.15					256	48.85					524	
							Elected													
																				
Sorell                                                         																				
	FIRST			92	4.70		876	44.74		115	5.87		789	40.30		86	4.39		1958	
	SECOND			7	8.14		28	32.56		27	31.40		24	27.91			Excluded		86	
		TOTAL		99	5.06		904	46.17		142	7.25		813	41.52					1958	
	THIRD				Excluded		45	45.45		24	24.24		30	30.30					99	
		TOTAL					949	48.47		166	8.48		843	43.05					1958	
	FOURTH						121	72.89			Excluded		45	27.11					166	
		TOTAL					1070	54.65					888	45.35					1958	
							Elected													
																				
St Helens                                                      																				
	FIRST			97	5.89		792	48.06		126	7.65		568	34.47		65	3.94		1648	
	SECOND			8	12.31		21	32.31		27	41.54		9	13.85			Excluded		65	
		TOTAL		105	6.37		813	49.33		153	9.28		577	35.01					1648	
	THIRD				Excluded		42	40.00		20	19.05		43	40.95					105	
		TOTAL					855	51.88		173	10.50		620	37.62					1648	
	FOURTH						126	72.83			Excluded		47	27.17					173	
		TOTAL					981	59.53					667	40.47					1648	
							Elected													
																				
St Marys                                                       																				
	FIRST			29	5.17		335	59.71		66	11.76		111	19.79		20	3.57		561	
	SECOND			0	0.00		8	40.00		7	35.00		5	25.00			Excluded		20	
		TOTAL		29	5.17		343	61.14		73	13.01		116	20.68					561	
	THIRD				Excluded		16	55.17		6	20.69		7	24.14					29	
		TOTAL					359	63.99		79	14.08		123	21.93					561	
	FOURTH						66	83.54			Excluded		13	16.46					79	
		TOTAL					425	75.76					136	24.24					561	
							Elected													
																				
Strahan                                                        																				
	FIRST			28	6.75		196	47.23		30	7.23		146	35.18		15	3.61		415	
	SECOND			3	20.00		3	20.00		6	40.00		3	20.00			Excluded		15	
		TOTAL		31	7.47		199	47.95		36	8.67		149	35.90					415	
	THIRD				Excluded		13	41.94		4	12.90		14	45.16					31	
		TOTAL					212	51.08		40	9.64		163	39.28					415	
	FOURTH						32	80.00			Excluded		8	20.00					40	
		TOTAL					244	58.80					171	41.20					415	
							Elected													
																				
Swansea                                                        																				
	FIRST			22	3.44		324	50.70		36	5.63		242	37.87		15	2.35		639	
	SECOND			2	13.33		4	26.67		3	20.00		6	40.00			Excluded		15	
		TOTAL		24	3.76		328	51.33		39	6.10		248	38.81					639	
	THIRD				Excluded		15	62.50		5	20.83		4	16.67					24	
		TOTAL					343	53.68		44	6.89		252	39.44					639	
	FOURTH						31	70.45			Excluded		13	29.55					44	
		TOTAL					374	58.53					265	41.47					639	
							Elected													
																				
Taranna                                                        																				
	FIRST			19	5.94		137	42.81		50	15.63		101	31.56		13	4.06		320	
	SECOND			0	0.00		8	61.54		5	38.46		0	0.00			Excluded		13	
		TOTAL		19	5.94		145	45.31		55	17.19		101	31.56					320	
	THIRD				Excluded		10	52.63		5	26.32		4	21.05					19	
		TOTAL					155	48.44		60	18.75		105	32.81					320	
	FOURTH						45	75.00			Excluded		15	25.00					60	
		TOTAL					200	62.50					120	37.50					320	
							Elected													
																				
Tea Tree                                                       																				
	FIRST			12	7.06		52	30.59		11	6.47		86	50.59		9	5.29		170	
	SECOND			2	22.22		1	11.11		0	0.00		6	66.67			Excluded		9	
		TOTAL		14	8.24		53	31.18		11	6.47		92	54.12					170	
	THIRD				Excluded		7	50.00		4	28.57		3	21.43					14	
		TOTAL					60	35.29		15	8.82		95	55.88					170	
	FOURTH						12	80.00			Excluded		3	20.00					15	
		TOTAL					72	42.35					98	57.65					170	
							Elected													
																				
Triabunna                                                      																				
	FIRST			44	6.61		375	56.31		26	3.90		208	31.23		13	1.95		666	
	SECOND			2	15.38		6	46.15		2	15.38		3	23.08			Excluded		13	
		TOTAL		46	6.91		381	57.21		28	4.20		211	31.68					666	
	THIRD				Excluded		32	69.57		2	4.35		12	26.09					46	
		TOTAL					413	62.01		30	4.50		223	33.48					666	
	FOURTH						21	70.00			Excluded		9	30.00					30	
		TOTAL					434	65.17					232	34.83					666	
							Elected													
																				
Tullah                                                         																				
	FIRST			7	3.70		111	58.73		14	7.41		50	26.46		7	3.70		189	
	SECOND			0	0.00		5	71.43		2	28.57		0	0.00			Excluded		7	
		TOTAL		7	3.70		116	61.38		16	8.47		50	26.46					189	
	THIRD				Excluded		1	14.29		2	28.57		4	57.14					7	
		TOTAL					117	61.90		18	9.52		54	28.57					189	
	FOURTH						12	66.67			Excluded		6	33.33					18	
		TOTAL					129	68.25					60	31.75					189	
							Elected													
																				
Tunbridge                                                      																				
	FIRST			3	3.57		50	59.52		5	5.95		25	29.76		1	1.19		84	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		4	4.76		50	59.52		5	5.95		25	29.76					84	
	THIRD				Excluded		0	0.00		2	50.00		2	50.00					4	
		TOTAL					50	59.52		7	8.33		27	32.14					84	
	FOURTH						5	71.43			Excluded		2	28.57					7	
		TOTAL					55	65.48					29	34.52					84	
							Elected													
																				
Tunnack                                                        																				
	FIRST			14	7.29		92	47.92		3	1.56		79	41.15		4	2.08		192	
	SECOND			0	0.00		2	50.00		0	0.00		2	50.00			Excluded		4	
		TOTAL		14	7.29		94	48.96		3	1.56		81	42.19					192	
	THIRD				Excluded		1	7.14		4	28.57		9	64.29					14	
		TOTAL					95	49.48		7	3.65		90	46.88					192	
	FOURTH						2	28.57			Excluded		5	71.43					7	
		TOTAL					97	50.52					95	49.48					192	
							Elected													
																				
Wayatinah                                                      																				
	FIRST			2	6.06		13	39.39		2	6.06		12	36.36		4	12.12		33	
	SECOND			1	25.00		1	25.00		1	25.00		1	25.00			Excluded		4	
		TOTAL		3	9.09		14	42.42		3	9.09		13	39.39					33	
	THIRD				Excluded		1	33.33		2	66.67		0	0.00					3	
		TOTAL					15	45.45		5	15.15		13	39.39					33	
	FOURTH						4	80.00			Excluded		1	20.00					5	
		TOTAL					19	57.58					14	42.42					33	
							Elected													
																				
Westbury                                                       																				
	FIRST			75	5.75		488	37.39		91	6.97		582	44.60		69	5.29		1305	
	SECOND			5	7.25		19	27.54		25	36.23		20	28.99			Excluded		69	
		TOTAL		80	6.13		507	38.85		116	8.89		602	46.13					1305	
	THIRD				Excluded		25	31.25		17	21.25		38	47.50					80	
		TOTAL					532	40.77		133	10.19		640	49.04					1305	
	FOURTH						89	66.92			Excluded		44	33.08					133	
		TOTAL					621	47.59					684	52.41					1305	
							Elected													
																				
Westerway                                                      																				
	FIRST			8	3.98		111	55.22		22	10.95		55	27.36		5	2.49		201	
	SECOND			1	20.00		2	40.00		0	0.00		2	40.00			Excluded		5	
		TOTAL		9	4.48		113	56.22		22	10.95		57	28.36					201	
	THIRD				Excluded		4	44.44		2	22.22		3	33.33					9	
		TOTAL					117	58.21		24	11.94		60	29.85					201	
	FOURTH						18	75.00			Excluded		6	25.00					24	
		TOTAL					135	67.16					66	32.84					201	
							Elected													
																				
Whitemore                                                      																				
	FIRST			3	2.59		26	22.41		5	4.31		75	64.66		7	6.03		116	
	SECOND			0	0.00		4	57.14		1	14.29		2	28.57			Excluded		7	
		TOTAL		3	2.59		30	25.86		6	5.17		77	66.38					116	
	THIRD				Excluded		3	100.00		0	0.00		0	0.00					3	
		TOTAL					33	28.45		6	5.17		77	66.38					116	
	FOURTH						3	50.00			Excluded		3	50.00					6	
		TOTAL					36	31.03					80	68.97					116	
							Elected													
																				
Wilmot                                                         																				
	FIRST			12	4.67		94	36.58		36	14.01		105	40.86		10	3.89		257	
	SECOND			0	0.00		5	50.00		2	20.00		3	30.00			Excluded		10	
		TOTAL		12	4.67		99	38.52		38	14.79		108	42.02					257	
	THIRD				Excluded		3	25.00		1	8.33		8	66.67					12	
		TOTAL					102	39.69		39	15.18		116	45.14					257	
	FOURTH						29	74.36			Excluded		10	25.64					39	
		TOTAL					131	50.97					126	49.03					257	
							Elected													
																				
Zeehan                                                         																				
	FIRST			29	6.86		253	59.81		21	4.96		105	24.82		15	3.55		423	
	SECOND			1	6.67		6	40.00		1	6.67		7	46.67			Excluded		15	
		TOTAL		30	7.09		259	61.23		22	5.20		112	26.48					423	
	THIRD				Excluded		15	50.00		6	20.00		9	30.00					30	
		TOTAL					274	64.78		28	6.62		121	28.61					423	
	FOURTH						18	64.29			Excluded		10	35.71					28	
		TOTAL					292	69.03					131	30.97					423	
							Elected													
																				
Special Hospital Team 1                                        																				
	FIRST			8	7.48		57	53.27		4	3.74		34	31.78		4	3.74		107	
	SECOND			1	25.00		2	50.00		1	25.00		0	0.00			Excluded		4	
		TOTAL		9	8.41		59	55.14		5	4.67		34	31.78					107	
	THIRD				Excluded		5	55.56		3	33.33		1	11.11					9	
		TOTAL					64	59.81		8	7.48		35	32.71					107	
	FOURTH						4	50.00			Excluded		4	50.00					8	
		TOTAL					68	63.55					39	36.45					107	
							Elected													
																				
Special Hospital Team 2                                        																				
	FIRST			8	13.33		32	53.33		2	3.33		17	28.33		1	1.67		60	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1	
		TOTAL		8	13.33		32	53.33		2	3.33		18	30.00					60	
	THIRD				Excluded		6	75.00		1	12.50		1	12.50					8	
		TOTAL					38	63.33		3	5.00		19	31.67					60	
	FOURTH						2	66.67			Excluded		1	33.33					3	
		TOTAL					40	66.67					20	33.33					60	
							Elected													
																				
Special Hospital Team 3                                        																				
	FIRST			3	15.79		10	52.63		0	0.00		6	31.58		0	0.00		19	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		3	15.79		10	52.63		0	0.00		6	31.58					19	
	THIRD				Excluded		2	66.67		1	33.33		0	0.00					3	
		TOTAL					12	63.16		1	5.26		6	31.58					19	
	FOURTH						1	100.00			Excluded		0	0.00					1	
		TOTAL					13	68.42					6	31.58					19	
							Elected													
																				
ABSENT																				
	FIRST			195	5.27		1607	43.40		393	10.61		1259	34.00		249	6.72		3703	
	SECOND			14	5.62		69	27.71		94	37.75		72	28.92			Excluded		249	
		TOTAL		209	5.64		1676	45.26		487	13.15		1331	35.94					3703	
	THIRD				Excluded		108	51.67		45	21.53		56	26.79					209	
		TOTAL					1784	48.18		532	14.37		1387	37.46					3703	
	FOURTH						377	70.86			Excluded		155	29.14					532	
		TOTAL					2161	58.36					1542	41.64					3703	
							Elected													
																				
POSTAL																				
	FIRST			176	6.61		1206	45.27		169	6.34		1021	38.33		92	3.45		2664	
	SECOND			13	14.13		26	28.26		36	39.13		17	18.48			Excluded		92	
		TOTAL		189	7.09		1232	46.25		205	7.70		1038	38.96					2664	
	THIRD				Excluded		80	42.33		31	16.40		78	41.27					189	
		TOTAL					1312	49.25		236	8.86		1116	41.89					2664	
	FOURTH						160	67.80			Excluded		76	32.20					236	
		TOTAL					1472	55.26					1192	44.74					2664	
							Elected													
																				
PRE POLL																				
	FIRST			94	6.18		583	38.33		159	10.45		585	38.46		100	6.57		1521	
	SECOND			5	5.00		24	24.00		48	48.00		23	23.00			Excluded		100	
		TOTAL		99	6.51		607	39.91		207	13.61		608	39.97					1521	
	THIRD				Excluded		59	59.60		16	16.16		24	24.24					99	
		TOTAL					666	43.79		223	14.66		632	41.55					1521	
	FOURTH						154	69.06			Excluded		69	30.94					223	
		TOTAL					820	53.91					701	46.09					1521	
							Elected													
																				
PROVISIONAL																				
	FIRST			22	7.33		174	58.00		23	7.67		65	21.67		16	5.33		300	
	SECOND			5	31.25		4	25.00		5	31.25		2	12.50			Excluded		16	
		TOTAL		27	9.00		178	59.33		28	9.33		67	22.33					300	
	THIRD				Excluded		12	44.44		10	37.04		5	18.52					27	
		TOTAL					190	63.33		38	12.67		72	24.00					300	
	FOURTH						21	55.26			Excluded		17	44.74					38	
		TOTAL					211	70.33					89	29.67					300	
							Elected													
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
