House of Representatives - 2001 Election: Tasmania																												
Distribution of Preferences 																												
By Polling Place																												
																												
Bass																												
				COLLINS			DOCKRAY			BOOTH			LARNER			BENNEWORTH			O'BYRNE			COLGRAVE			HARDMAN			
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		35	5.43		66	10.25		65	10.09					210	32.61		239	37.11		22	3.42		7	1.09		644
	THIRD			3	42.86		0	0.00		0	0.00					0	0.00		2	28.57		2	28.57			Excluded		7
		TOTAL		38	5.90		66	10.25		65	10.09					210	32.61		241	37.42		24	3.73					644
	FOURTH			3	4.55			Excluded		31	46.97					16	24.24		10	15.15		6	9.09					66
		TOTAL		41	6.37					96	14.91					226	35.09		251	38.98		30	4.66					644
	FIFTH				Excluded					20	48.78					10	24.39		7	17.07		4	9.76					41
		TOTAL								116	18.01					236	36.65		258	40.06		34	5.28					644
	SIXTH									16	47.06					6	17.65		12	35.29			Excluded					34
		TOTAL								132	20.50					242	37.58		270	41.93								644
	SEVENTH										Excluded					40	30.30		92	69.70								132
		TOTAL														282	43.79		362	56.21								644
																			Elected									
																												
Mowbray                                                        																												
	FIRST			54	3.45		16	1.02		71	4.53		7	0.45		486	31.03		859	54.85		62	3.96		11	0.70		1566
	SECOND			1	14.29		1	14.29		3	42.86			Excluded		0	0.00		2	28.57		0	0.00		0	0.00		7
		TOTAL		55	3.51		17	1.09		74	4.73					486	31.03		861	54.98		62	3.96		11	0.70		1566
	THIRD			4	36.36		0	0.00		0	0.00					2	18.18		3	27.27		2	18.18			Excluded		11
		TOTAL		59	3.77		17	1.09		74	4.73					488	31.16		864	55.17		64	4.09					1566
	FOURTH			4	23.53			Excluded		1	5.88					8	47.06		2	11.76		2	11.76					17
		TOTAL		63	4.02					75	4.79					496	31.67		866	55.30		66	4.21					1566
	FIFTH				Excluded					25	39.68					14	22.22		18	28.57		6	9.52					63
		TOTAL								100	6.39					510	32.57		884	56.45		72	4.60					1566
	SIXTH									35	48.61					11	15.28		26	36.11			Excluded					72
		TOTAL								135	8.62					521	33.27		910	58.11								1566
	SEVENTH										Excluded					44	32.59		91	67.41								135
		TOTAL														565	36.08		1001	63.92								1566
																			Elected									
																												
Myrtle Park                                                    																												
	FIRST			4	8.51		2	4.26		4	8.51		0	0.00		12	25.53		22	46.81		1	2.13		2	4.26		47
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	8.51		2	4.26		4	8.51					12	25.53		22	46.81		1	2.13		2	4.26		47
	THIRD			0	0.00		0	0.00		1	50.00					1	50.00		0	0.00		0	0.00			Excluded		2
		TOTAL		4	8.51		2	4.26		5	10.64					13	27.66		22	46.81		1	2.13					47
	FOURTH			0	0.00			Excluded		1	50.00					0	0.00		1	50.00		0	0.00					2
		TOTAL		4	8.51					6	12.77					13	27.66		23	48.94		1	2.13					47
	FIFTH				Excluded					1	25.00					0	0.00		3	75.00		0	0.00					4
		TOTAL								7	14.89					13	27.66		26	55.32		1	2.13					47
	SIXTH									1	100.00					0	0.00		0	0.00			Excluded					1
		TOTAL								8	17.02					13	27.66		26	55.32								47
	SEVENTH										Excluded					2	25.00		6	75.00								8
		TOTAL														15	31.91		32	68.09								47
																			Elected									
																												
Nabowla                                                        																												
	FIRST			5	6.17		2	2.47		7	8.64		0	0.00		33	40.74		31	38.27		2	2.47		1	1.23		81
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	6.17		2	2.47		7	8.64					33	40.74		31	38.27		2	2.47		1	1.23		81
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00		1	100.00		0	0.00			Excluded		1
		TOTAL		5	6.17		2	2.47		7	8.64					33	40.74		32	39.51		2	2.47					81
	FOURTH			0	0.00			Excluded		2	100.00					0	0.00		0	0.00		0	0.00					2
		TOTAL		5	6.17					9	11.11					33	40.74		32	39.51		2	2.47					81
	FIFTH				Excluded					2	40.00					0	0.00		1	20.00		2	40.00					5
		TOTAL								11	13.58					33	40.74		33	40.74		4	4.94					81
	SIXTH									2	50.00					2	50.00		0	0.00			Excluded					4
		TOTAL								13	16.05					35	43.21		33	40.74								81
	SEVENTH										Excluded					5	38.46		8	61.54								13
		TOTAL														40	49.38		41	50.62								81
																			Elected									
																												
Newnham                                                        																												
	FIRST			88	3.30		38	1.43		111	4.17		7	0.26		937	35.16		1361	51.07		99	3.71		24	0.90		2665
	SECOND			0	0.00		2	28.57		2	28.57			Excluded		2	28.57		1	14.29		0	0.00		0	0.00		7
		TOTAL		88	3.30		40	1.50		113	4.24					939	35.23		1362	51.11		99	3.71		24	0.90		2665
	THIRD			6	25.00		1	4.17		2	8.33					3	12.50		5	20.83		7	29.17			Excluded		24
		TOTAL		94	3.53		41	1.54		115	4.32					942	35.35		1367	51.29		106	3.98					2665
	FOURTH			7	17.07			Excluded		2	4.88					21	51.22		9	21.95		2	4.88					41
		TOTAL		101	3.79					117	4.39					963	36.14		1376	51.63		108	4.05					2665
	FIFTH				Excluded					33	32.67					22	21.78		27	26.73		19	18.81					101
		TOTAL								150	5.63					985	36.96		1403	52.65		127	4.77					2665
	SIXTH									47	37.01					31	24.41		49	38.58			Excluded					127
		TOTAL								197	7.39					1016	38.12		1452	54.48								2665
	SEVENTH										Excluded					77	39.09		120	60.91								197
		TOTAL														1093	41.01		1572	58.99								2665
																			Elected									
																												
Newstead                                                       																												
	FIRST			37	2.19		23	1.36		99	5.85		1	0.06		861	50.89		594	35.11		62	3.66		15	0.89		1692
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL		37	2.19		23	1.36		99	5.85					861	50.89		594	35.11		62	3.66		16	0.95		1692
	THIRD			2	12.50		0	0.00		0	0.00					3	18.75		5	31.25		6	37.50			Excluded		16
		TOTAL		39	2.30		23	1.36		99	5.85					864	51.06		599	35.40		68	4.02					1692
	FOURTH			3	13.04			Excluded		7	30.43					6	26.09		4	17.39		3	13.04					23
		TOTAL		42	2.48					106	6.26					870	51.42		603	35.64		71	4.20					1692
	FIFTH				Excluded					16	38.10					11	26.19		11	26.19		4	9.52					42
		TOTAL								122	7.21					881	52.07		614	36.29		75	4.43					1692
	SIXTH									34	45.33					13	17.33		28	37.33			Excluded					75
		TOTAL								156	9.22					894	52.84		642	37.94								1692
	SEVENTH										Excluded					41	26.28		115	73.72								156
		TOTAL														935	55.26		757	44.74								1692
																			Elected									
																												
Norwood                                                        																												
	FIRST			61	2.58		26	1.10		101	4.27		2	0.08		1374	58.02		708	29.90		82	3.46		14	0.59		2368
	SECOND			2	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		63	2.66		26	1.10		101	4.27					1374	58.02		708	29.90		82	3.46		14	0.59		2368
	THIRD			1	7.14		3	21.43		1	7.14					1	7.14		5	35.71		3	21.43			Excluded		14
		TOTAL		64	2.70		29	1.22		102	4.31					1375	58.07		713	30.11		85	3.59					2368
	FOURTH			3	10.34			Excluded		6	20.69					15	51.72		2	6.90		3	10.34					29
		TOTAL		67	2.83					108	4.56					1390	58.70		715	30.19		88	3.72					2368
	FIFTH				Excluded					28	41.79					19	28.36		13	19.40		7	10.45					67
		TOTAL								136	5.74					1409	59.50		728	30.74		95	4.01					2368
	SIXTH									35	36.84					21	22.11		39	41.05			Excluded					95
		TOTAL								171	7.22					1430	60.39		767	32.39								2368
	SEVENTH										Excluded					82	47.95		89	52.05								171
		TOTAL														1512	63.85		856	36.15								2368
																			Elected									
																												
Nunamara                                                       																												
	FIRST			9	4.05		7	3.15		27	12.16		2	0.90		73	32.88		91	40.99		8	3.60		5	2.25		222
	SECOND			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		10	4.50		7	3.15		28	12.61					73	32.88		91	40.99		8	3.60		5	2.25		222
	THIRD			0	0.00		0	0.00		0	0.00					2	40.00		1	20.00		2	40.00			Excluded		5
		TOTAL		10	4.50		7	3.15		28	12.61					75	33.78		92	41.44		10	4.50					222
	FOURTH			2	28.57			Excluded		1	14.29					3	42.86		1	14.29		0	0.00					7
		TOTAL		12	5.41					29	13.06					78	35.14		93	41.89		10	4.50					222
	FIFTH				Excluded					6	50.00					1	8.33		3	25.00		2	16.67					12
		TOTAL								35	15.77					79	35.59		96	43.24		12	5.41					222
	SIXTH									2	16.67					3	25.00		7	58.33			Excluded					12
		TOTAL								37	16.67					82	36.94		103	46.40								222
	SEVENTH										Excluded					14	37.84		23	62.16								37
		TOTAL														96	43.24		126	56.76								222
																			Elected									
																												
Pioneer                                                        																												
	FIRST			7	11.29		0	0.00		3	4.84		0	0.00		18	29.03		33	53.23		0	0.00		1	1.61		62
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		7	11.29		0	0.00		3	4.84					18	29.03		33	53.23		0	0.00		1	1.61		62
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00			Excluded		1
		TOTAL		7	11.29		0	0.00		3	4.84					18	29.03		33	53.23		1	1.61					62
	FOURTH			0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00					0
		TOTAL		7	11.29					3	4.84					18	29.03		33	53.23		1	1.61					62
	FIFTH				Excluded					1	14.29					2	28.57		2	28.57		2	28.57					7
		TOTAL								4	6.45					20	32.26		35	56.45		3	4.84					62
	SIXTH									1	33.33					0	0.00		2	66.67			Excluded					3
		TOTAL								5	8.06					20	32.26		37	59.68								62
	SEVENTH										Excluded					1	20.00		4	80.00								5
		TOTAL														21	33.87		41	66.13								62
																			Elected									
																												
Pipers River                                                   																												
	FIRST			16	5.93		14	5.19		21	7.78		2	0.74		108	40.00		101	37.41		7	2.59		1	0.37		270
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		16	5.93		14	5.19		22	8.15					108	40.00		102	37.78		7	2.59		1	0.37		270
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00			Excluded		1
		TOTAL		16	5.93		14	5.19		22	8.15					108	40.00		102	37.78		8	2.96					270
	FOURTH			3	21.43			Excluded		2	14.29					7	50.00		1	7.14		1	7.14					14
		TOTAL		19	7.04					24	8.89					115	42.59		103	38.15		9	3.33					270
	FIFTH				Excluded					8	42.11					3	15.79		5	26.32		3	15.79					19
		TOTAL								32	11.85					118	43.70		108	40.00		12	4.44					270
	SIXTH									4	33.33					4	33.33		4	33.33			Excluded					12
		TOTAL								36	13.33					122	45.19		112	41.48								270
	SEVENTH										Excluded					17	47.22		19	52.78								36
		TOTAL														139	51.48		131	48.52								270
																			Elected									
																												
Prospect                                                       																												
	FIRST			37	2.29		22	1.36		43	2.66		2	0.12		756	46.81		678	41.98		65	4.02		12	0.74		1615
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		37	2.29		22	1.36		43	2.66					757	46.87		679	42.04		65	4.02		12	0.74		1615
	THIRD			2	16.67		0	0.00		0	0.00					1	8.33		2	16.67		7	58.33			Excluded		12
		TOTAL		39	2.41		22	1.36		43	2.66					758	46.93		681	42.17		72	4.46					1615
	FOURTH			3	13.64			Excluded		3	13.64					11	50.00		4	18.18		1	4.55					22
		TOTAL		42	2.60					46	2.85					769	47.62		685	42.41		73	4.52					1615
	FIFTH				Excluded					22	52.38					12	28.57		4	9.52		4	9.52					42
		TOTAL								68	4.21					781	48.36		689	42.66		77	4.77					1615
	SIXTH									36	46.75					16	20.78		25	32.47			Excluded					77
		TOTAL								104	6.44					797	49.35		714	44.21								1615
	SEVENTH										Excluded					46	44.23		58	55.77								104
		TOTAL														843	52.20		772	47.80								1615
																			Elected									
																												
Prospect Vale                                                  																												
	FIRST			17	1.63		17	1.63		40	3.83		1	0.10		579	55.41		360	34.45		22	2.11		9	0.86		1045
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL		17	1.63		17	1.63		40	3.83					579	55.41		360	34.45		22	2.11		10	0.96		1045
	THIRD			3	30.00		0	0.00		0	0.00					2	20.00		3	30.00		2	20.00			Excluded		10
		TOTAL		20	1.91		17	1.63		40	3.83					581	55.60		363	34.74		24	2.30					1045
	FOURTH			2	11.76			Excluded		5	29.41					6	35.29		3	17.65		1	5.88					17
		TOTAL		22	2.11					45	4.31					587	56.17		366	35.02		25	2.39					1045
	FIFTH				Excluded					7	31.82					6	27.27		6	27.27		3	13.64					22
		TOTAL								52	4.98					593	56.75		372	35.60		28	2.68					1045
	SIXTH									12	42.86					7	25.00		9	32.14			Excluded					28
		TOTAL								64	6.12					600	57.42		381	36.46								1045
	SEVENTH										Excluded					37	57.81		27	42.19								64
		TOTAL														637	60.96		408	39.04								1045
																			Elected									
																												
Ravenswood                                                     																												
	FIRST			96	4.60		19	0.91		59	2.83		10	0.48		449	21.52		1353	64.86		71	3.40		29	1.39		2086
	SECOND			3	30.00		2	20.00		3	30.00			Excluded		0	0.00		1	10.00		1	10.00		0	0.00		10
		TOTAL		99	4.75		21	1.01		62	2.97					449	21.52		1354	64.91		72	3.45		29	1.39		2086
	THIRD			6	20.69		2	6.90		1	3.45					4	13.79		6	20.69		10	34.48			Excluded		29
		TOTAL		105	5.03		23	1.10		63	3.02					453	21.72		1360	65.20		82	3.93					2086
	FOURTH			3	13.04			Excluded		7	30.43					5	21.74		6	26.09		2	8.70					23
		TOTAL		108	5.18					70	3.36					458	21.96		1366	65.48		84	4.03					2086
	FIFTH				Excluded					46	42.59					19	17.59		23	21.30		20	18.52					108
		TOTAL								116	5.56					477	22.87		1389	66.59		104	4.99					2086
	SIXTH									48	46.15					17	16.35		39	37.50			Excluded					104
		TOTAL								164	7.86					494	23.68		1428	68.46								2086
	SEVENTH										Excluded					87	53.05		77	46.95								164
		TOTAL														581	27.85		1505	72.15								2086
																			Elected									
																												
Ringarooma                                                     																												
	FIRST			20	4.94		7	1.73		21	5.19		1	0.25		201	49.63		149	36.79		3	0.74		3	0.74		405
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		20	4.94		7	1.73		22	5.43					201	49.63		149	36.79		3	0.74		3	0.74		405
	THIRD			0	0.00		0	0.00		0	0.00					1	33.33		2	66.67		0	0.00			Excluded		3
		TOTAL		20	4.94		7	1.73		22	5.43					202	49.88		151	37.28		3	0.74					405
	FOURTH			1	14.29			Excluded		4	57.14					2	28.57		0	0.00		0	0.00					7
		TOTAL		21	5.19					26	6.42					204	50.37		151	37.28		3	0.74					405
	FIFTH				Excluded					5	23.81					7	33.33		4	19.05		5	23.81					21
		TOTAL								31	7.65					211	52.10		155	38.27		8	1.98					405
	SIXTH									2	25.00					1	12.50		5	62.50			Excluded					8
		TOTAL								33	8.15					212	52.35		160	39.51								405
	SEVENTH										Excluded					13	39.39		20	60.61								33
		TOTAL														225	55.56		180	44.44								405
																			Elected									
																												
Riverside                                                      																												
	FIRST			65	2.46		29	1.10		143	5.40		5	0.19		1418	53.59		852	32.20		110	4.16		24	0.91		2646
	SECOND			0	0.00		1	20.00		2	40.00			Excluded		0	0.00		1	20.00		1	20.00		0	0.00		5
		TOTAL		65	2.46		30	1.13		145	5.48					1418	53.59		853	32.24		111	4.20		24	0.91		2646
	THIRD			9	37.50		2	8.33		0	0.00					4	16.67		1	4.17		8	33.33			Excluded		24
		TOTAL		74	2.80		32	1.21		145	5.48					1422	53.74		854	32.28		119	4.50					2646
	FOURTH			4	12.50			Excluded		10	31.25					13	40.63		2	6.25		3	9.38					32
		TOTAL		78	2.95					155	5.86					1435	54.23		856	32.35		122	4.61					2646
	FIFTH				Excluded					27	34.62					24	30.77		15	19.23		12	15.38					78
		TOTAL								182	6.88					1459	55.14		871	32.92		134	5.06					2646
	SIXTH									58	43.28					23	17.16		53	39.55			Excluded					134
		TOTAL								240	9.07					1482	56.01		924	34.92								2646
	SEVENTH										Excluded					88	36.67		152	63.33								240
		TOTAL														1570	59.33		1076	40.67								2646
																			Elected									
																												
Riverside West                                                 																												
	FIRST			26	2.71		13	1.35		45	4.69		0	0.00		476	49.58		343	35.73		52	5.42		5	0.52		960
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		26	2.71		13	1.35		45	4.69					476	49.58		343	35.73		52	5.42		5	0.52		960
	THIRD			1	20.00		0	0.00		2	40.00					2	40.00		0	0.00		0	0.00			Excluded		5
		TOTAL		27	2.81		13	1.35		47	4.90					478	49.79		343	35.73		52	5.42					960
	FOURTH			0	0.00			Excluded		4	30.77					4	30.77		3	23.08		2	15.38					13
		TOTAL		27	2.81					51	5.31					482	50.21		346	36.04		54	5.63					960
	FIFTH				Excluded					14	51.85					5	18.52		3	11.11		5	18.52					27
		TOTAL								65	6.77					487	50.73		349	36.35		59	6.15					960
	SIXTH									26	44.07					13	22.03		20	33.90			Excluded					59
		TOTAL								91	9.48					500	52.08		369	38.44								960
	SEVENTH										Excluded					44	48.35		47	51.65								91
		TOTAL														544	56.67		416	43.33								960
																			Elected									
																												
Rocherlea                                                      																												
	FIRST			56	4.56		19	1.55		51	4.16		5	0.41		292	23.80		752	61.29		28	2.28		24	1.96		1227
	SECOND			2	40.00		1	20.00		1	20.00			Excluded		0	0.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		58	4.73		20	1.63		52	4.24					292	23.80		753	61.37		28	2.28		24	1.96		1227
	THIRD			7	29.17		2	8.33		2	8.33					3	12.50		4	16.67		6	25.00			Excluded		24
		TOTAL		65	5.30		22	1.79		54	4.40					295	24.04		757	61.70		34	2.77					1227
	FOURTH			9	40.91			Excluded		5	22.73					4	18.18		4	18.18		0	0.00					22
		TOTAL		74	6.03					59	4.81					299	24.37		761	62.02		34	2.77					1227
	FIFTH				Excluded					35	47.30					11	14.86		18	24.32		10	13.51					74
		TOTAL								94	7.66					310	25.26		779	63.49		44	3.59					1227
	SIXTH									14	31.82					12	27.27		18	40.91			Excluded					44
		TOTAL								108	8.80					322	26.24		797	64.96								1227
	SEVENTH										Excluded					51	47.22		57	52.78								108
		TOTAL														373	30.40		854	69.60								1227
																			Elected									
																												
Scottsdale                                                     																												
	FIRST			46	2.51		40	2.19		61	3.33		7	0.38		891	48.69		729	39.84		38	2.08		18	0.98		1830
	SECOND			0	0.00		1	14.29		2	28.57			Excluded		1	14.29		2	28.57		1	14.29		0	0.00		7
		TOTAL		46	2.51		41	2.24		63	3.44					892	48.74		731	39.95		39	2.13		18	0.98		1830
	THIRD			5	27.78		1	5.56		0	0.00					2	11.11		2	11.11		8	44.44			Excluded		18
		TOTAL		51	2.79		42	2.30		63	3.44					894	48.85		733	40.05		47	2.57					1830
	FOURTH			11	26.19			Excluded		7	16.67					16	38.10		6	14.29		2	4.76					42
		TOTAL		62	3.39					70	3.83					910	49.73		739	40.38		49	2.68					1830
	FIFTH				Excluded					29	46.77					15	24.19		6	9.68		12	19.35					62
		TOTAL								99	5.41					925	50.55		745	40.71		61	3.33					1830
	SIXTH									29	47.54					15	24.59		17	27.87			Excluded					61
		TOTAL								128	6.99					940	51.37		762	41.64								1830
	SEVENTH										Excluded					56	43.75		72	56.25								128
		TOTAL														996	54.43		834	45.57								1830
																			Elected									
																												
South Launceston                                               																												
	FIRST			25	2.52		11	1.11		95	9.58		1	0.10		364	36.69		438	44.15		45	4.54		13	1.31		992
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		25	2.52		12	1.21		95	9.58					364	36.69		438	44.15		45	4.54		13	1.31		992
	THIRD			1	7.69		3	23.08		2	15.38					3	23.08		2	15.38		2	15.38			Excluded		13
		TOTAL		26	2.62		15	1.51		97	9.78					367	37.00		440	44.35		47	4.74					992
	FOURTH			2	13.33			Excluded		3	20.00					5	33.33		4	26.67		1	6.67					15
		TOTAL		28	2.82					100	10.08					372	37.50		444	44.76		48	4.84					992
	FIFTH				Excluded					19	67.86					3	10.71		4	14.29		2	7.14					28
		TOTAL								119	12.00					375	37.80		448	45.16		50	5.04					992
	SIXTH									23	46.00					9	18.00		18	36.00			Excluded					50
		TOTAL								142	14.31					384	38.71		466	46.98								992
	SEVENTH										Excluded					44	30.99		98	69.01								142
		TOTAL														428	43.15		564	56.85								992
																			Elected									
																												
St Leonards                                                    																												
	FIRST			45	4.21		8	0.75		60	5.61		3	0.28		461	43.08		444	41.50		33	3.08		16	1.50		1070
	SECOND			0	0.00		1	33.33		0	0.00			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		3
		TOTAL		45	4.21		9	0.84		60	5.61					462	43.18		444	41.50		34	3.18		16	1.50		1070
	THIRD			2	12.50		0	0.00		0	0.00					3	18.75		7	43.75		4	25.00			Excluded		16
		TOTAL		47	4.39		9	0.84		60	5.61					465	43.46		451	42.15		38	3.55					1070
	FOURTH			4	44.44			Excluded		3	33.33					0	0.00		0	0.00		2	22.22					9
		TOTAL		51	4.77					63	5.89					465	43.46		451	42.15		40	3.74					1070
	FIFTH				Excluded					17	33.33					12	23.53		14	27.45		8	15.69					51
		TOTAL								80	7.48					477	44.58		465	43.46		48	4.49					1070
	SIXTH									15	31.25					9	18.75		24	50.00			Excluded					48
		TOTAL								95	8.88					486	45.42		489	45.70								1070
	SEVENTH										Excluded					48	50.53		47	49.47								95
		TOTAL														534	49.91		536	50.09								1070
																			Elected									
																												
Summerhill                                                     																												
	FIRST			101	2.97		35	1.03		143	4.20		9	0.26		1479	43.46		1498	44.02		108	3.17		30	0.88		3403
	SECOND			1	11.11		2	22.22		0	0.00			Excluded		1	11.11		3	33.33		1	11.11		1	11.11		9
		TOTAL		102	3.00		37	1.09		143	4.20					1480	43.49		1501	44.11		109	3.20		31	0.91		3403
	THIRD			9	29.03		1	3.23		0	0.00					7	22.58		5	16.13		9	29.03			Excluded		31
		TOTAL		111	3.26		38	1.12		143	4.20					1487	43.70		1506	44.26		118	3.47					3403
	FOURTH			6	15.79			Excluded		6	15.79					20	52.63		4	10.53		2	5.26					38
		TOTAL		117	3.44					149	4.38					1507	44.28		1510	44.37		120	3.53					3403
	FIFTH				Excluded					47	40.17					26	22.22		35	29.91		9	7.69					117
		TOTAL								196	5.76					1533	45.05		1545	45.40		129	3.79					3403
	SIXTH									49	37.98					30	23.26		50	38.76			Excluded					129
		TOTAL								245	7.20					1563	45.93		1595	46.87								3403
	SEVENTH										Excluded					103	42.04		142	57.96								245
		TOTAL														1666	48.96		1737	51.04								3403
																			Elected									
																												
Trevallyn                                                      																												
	FIRST			39	1.93		22	1.09		237	11.74		2	0.10		964	47.77		652	32.31		95	4.71		7	0.35		2018
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		1	50.00		0	0.00		2
		TOTAL		39	1.93		22	1.09		237	11.74					964	47.77		653	32.36		96	4.76		7	0.35		2018
	THIRD			3	42.86		2	28.57		0	0.00					0	0.00		0	0.00		2	28.57			Excluded		7
		TOTAL		42	2.08		24	1.19		237	11.74					964	47.77		653	32.36		98	4.86					2018
	FOURTH			1	4.17			Excluded		10	41.67					10	41.67		3	12.50		0	0.00					24
		TOTAL		43	2.13					247	12.24					974	48.27		656	32.51		98	4.86					2018
	FIFTH				Excluded					19	44.19					8	18.60		13	30.23		3	6.98					43
		TOTAL								266	13.18					982	48.66		669	33.15		101	5.00					2018
	SIXTH									52	51.49					18	17.82		31	30.69			Excluded					101
		TOTAL								318	15.76					1000	49.55		700	34.69								2018
	SEVENTH										Excluded					88	27.67		230	72.33								318
		TOTAL														1088	53.91		930	46.09								2018
																			Elected									
																												
Waverley                                                       																												
	FIRST			30	3.47		6	0.69		33	3.82		1	0.12		199	23.03		558	64.58		23	2.66		14	1.62		864
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		30	3.47		6	0.69		33	3.82					199	23.03		559	64.70		23	2.66		14	1.62		864
	THIRD			4	28.57		1	7.14		2	14.29					0	0.00		2	14.29		5	35.71			Excluded		14
		TOTAL		34	3.94		7	0.81		35	4.05					199	23.03		561	64.93		28	3.24					864
	FOURTH			2	28.57			Excluded		3	42.86					2	28.57		0	0.00		0	0.00					7
		TOTAL		36	4.17					38	4.40					201	23.26		561	64.93		28	3.24					864
	FIFTH				Excluded					16	44.44					10	27.78		7	19.44		3	8.33					36
		TOTAL								54	6.25					211	24.42		568	65.74		31	3.59					864
	SIXTH									13	41.94					3	9.68		15	48.39			Excluded					31
		TOTAL								67	7.75					214	24.77		583	67.48								864
	SEVENTH										Excluded					26	38.81		41	61.19								67
		TOTAL														240	27.78		624	72.22								864
																			Elected									
																												
West Launceston                                                																												
	FIRST			30	1.75		27	1.57		187	10.88		3	0.17		678	39.46		689	40.10		91	5.30		13	0.76		1718
	SECOND			0	0.00		1	33.33		1	33.33			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		30	1.75		28	1.63		188	10.94					678	39.46		690	40.16		91	5.30		13	0.76		1718
	THIRD			3	23.08		0	0.00		3	23.08					1	7.69		4	30.77		2	15.38			Excluded		13
		TOTAL		33	1.92		28	1.63		191	11.12					679	39.52		694	40.40		93	5.41					1718
	FOURTH			2	7.14			Excluded		10	35.71					12	42.86		2	7.14		2	7.14					28
		TOTAL		35	2.04					201	11.70					691	40.22		696	40.51		95	5.53					1718
	FIFTH				Excluded					14	40.00					11	31.43		5	14.29		5	14.29					35
		TOTAL								215	12.51					702	40.86		701	40.80		100	5.82					1718
	SIXTH									39	39.00					22	22.00		39	39.00			Excluded					100
		TOTAL								254	14.78					724	42.14		740	43.07								1718
	SEVENTH										Excluded					67	26.38		187	73.62								254
		TOTAL														791	46.04		927	53.96								1718
																			Elected									
																												
Weymouth                                                       																												
	FIRST			3	2.56		1	0.85		9	7.69		0	0.00		65	55.56		37	31.62		2	1.71		0	0.00		117
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	2.56		1	0.85		9	7.69					65	55.56		37	31.62		2	1.71		0	0.00		117
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		3	2.56		1	0.85		9	7.69					65	55.56		37	31.62		2	1.71					117
	FOURTH			0	0.00			Excluded		0	0.00					1	100.00		0	0.00		0	0.00					1
		TOTAL		3	2.56					9	7.69					66	56.41		37	31.62		2	1.71					117
	FIFTH				Excluded					0	0.00					1	33.33		2	66.67		0	0.00					3
		TOTAL								9	7.69					67	57.26		39	33.33		2	1.71					117
	SIXTH									1	50.00					1	50.00		0	0.00			Excluded					2
		TOTAL								10	8.55					68	58.12		39	33.33								117
	SEVENTH										Excluded					3	30.00		7	70.00								10
		TOTAL														71	60.68		46	39.32								117
																			Elected									
																												
Whitemark                                                      																												
	FIRST			11	3.47		7	2.21		24	7.57		2	0.63		159	50.16		105	33.12		3	0.95		6	1.89		317
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		11	3.47		7	2.21		24	7.57					160	50.47		106	33.44		3	0.95		6	1.89		317
	THIRD			2	33.33		0	0.00		0	0.00					2	33.33		1	16.67		1	16.67			Excluded		6
		TOTAL		13	4.10		7	2.21		24	7.57					162	51.10		107	33.75		4	1.26					317
	FOURTH			1	14.29			Excluded		1	14.29					3	42.86		2	28.57		0	0.00					7
