House of Representatives - 2001 Election: New South Wales																												
Distribution of Preferences 																												
By Polling Place																												
																												
Berowra																												
				SPARKS			BALL			CHOI			SLATER			RUDDOCK			GALE			NANNELLI			GALLAGHER			
Hornsby South                                                  																												
	FIRST			100	7.12		39	2.78		24	1.71		378	26.92		728	51.85		88	6.27		34	2.42		13	0.93		1404
	SECOND			0	0.00		1	7.69		0	0.00		0	0.00		7	53.85		3	23.08		2	15.38			Excluded		13
		TOTAL		100	7.12		40	2.85		24	1.71		378	26.92		735	52.35		91	6.48		36	2.56					1404
	THIRD			5	20.83		0	0.00			Excluded		12	50.00		5	20.83		1	4.17		1	4.17					24
		TOTAL		105	7.48		40	2.85					390	27.78		740	52.71		92	6.55		37	2.64					1404
	FOURTH			7	17.50			Excluded					3	7.50		18	45.00		4	10.00		8	20.00					40
		TOTAL		112	7.98								393	27.99		758	53.99		96	6.84		45	3.21					1404
	FIFTH			8	17.78								7	15.56		22	48.89		8	17.78			Excluded					45
		TOTAL		120	8.55								400	28.49		780	55.56		104	7.41								1404
	SIXTH			52	50.00								38	36.54		14	13.46			Excluded								104
		TOTAL		172	12.25								438	31.20		794	56.55											1404
	SEVENTH				Excluded								134	77.91		38	22.09											172
		TOTAL											572	40.74		832	59.26											1404
																Elected												
																												
Hornsby West                                                   																												
	FIRST			63	7.36		22	2.57		14	1.64		240	28.04		421	49.18		62	7.24		19	2.22		15	1.75		856
	SECOND			4	26.67		4	26.67		0	0.00		2	13.33		1	6.67		3	20.00		1	6.67			Excluded		15
		TOTAL		67	7.83		26	3.04		14	1.64		242	28.27		422	49.30		65	7.59		20	2.34					856
	THIRD			0	0.00		2	14.29			Excluded		9	64.29		1	7.14		2	14.29		0	0.00					14
		TOTAL		67	7.83		28	3.27					251	29.32		423	49.42		67	7.83		20	2.34					856
	FOURTH			7	25.00			Excluded					4	14.29		8	28.57		5	17.86		4	14.29					28
		TOTAL		74	8.64								255	29.79		431	50.35		72	8.41		24	2.80					856
	FIFTH			6	25.00								5	20.83		12	50.00		1	4.17			Excluded					24
		TOTAL		80	9.35								260	30.37		443	51.75		73	8.53								856
	SIXTH			43	58.90								21	28.77		9	12.33			Excluded								73
		TOTAL		123	14.37								281	32.83		452	52.80											856
	SEVENTH				Excluded								91	73.98		32	26.02											123
		TOTAL											372	43.46		484	56.54											856
																Elected												
																												
John Purchase                                                  																												
	FIRST			231	6.21		23	0.62		125	3.36		957	25.71		2153	57.85		119	3.20		90	2.42		24	0.64		3722
	SECOND			2	8.33		3	12.50		2	8.33		10	41.67		4	16.67		2	8.33		1	4.17			Excluded		24
		TOTAL		233	6.26		26	0.70		127	3.41		967	25.98		2157	57.95		121	3.25		91	2.44					3722
	THIRD			21	16.54		5	3.94			Excluded		58	45.67		32	25.20		10	7.87		1	0.79					127
		TOTAL		254	6.82		31	0.83					1025	27.54		2189	58.81		131	3.52		92	2.47					3722
	FOURTH			5	16.13			Excluded					7	22.58		11	35.48		5	16.13		3	9.68					31
		TOTAL		259	6.96								1032	27.73		2200	59.11		136	3.65		95	2.55					3722
	FIFTH			6	6.32								24	25.26		54	56.84		11	11.58			Excluded					95
		TOTAL		265	7.12								1056	28.37		2254	60.56		147	3.95								3722
	SIXTH			62	42.18								54	36.73		31	21.09			Excluded								147
		TOTAL		327	8.79								1110	29.82		2285	61.39											3722
	SEVENTH				Excluded								232	70.95		95	29.05											327
		TOTAL											1342	36.06		2380	63.94											3722
																Elected												
																												
Maroota                                                        																												
	FIRST			19	6.29		27	8.94		0	0.00		44	14.57		184	60.93		15	4.97		1	0.33		12	3.97		302
	SECOND			1	8.33		1	8.33		0	0.00		1	8.33		4	33.33		4	33.33		1	8.33			Excluded		12
		TOTAL		20	6.62		28	9.27		0	0.00		45	14.90		188	62.25		19	6.29		2	0.66					302
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		20	6.62		28	9.27					45	14.90		188	62.25		19	6.29		2	0.66					302
	FOURTH			1	3.57			Excluded					6	21.43		11	39.29		6	21.43		4	14.29					28
		TOTAL		21	6.95								51	16.89		199	65.89		25	8.28		6	1.99					302
	FIFTH			1	16.67								0	0.00		4	66.67		1	16.67			Excluded					6
		TOTAL		22	7.28								51	16.89		203	67.22		26	8.61								302
	SIXTH			14	53.85								8	30.77		4	15.38			Excluded								26
		TOTAL		36	11.92								59	19.54		207	68.54											302
	SEVENTH				Excluded								23	63.89		13	36.11											36
		TOTAL											82	27.15		220	72.85											302
																Elected												
																												
Maroota South                                                  																												
	FIRST			9	2.61		23	6.67		0	0.00		43	12.46		246	71.30		19	5.51		0	0.00		5	1.45		345
	SECOND			1	20.00		1	20.00		0	0.00		1	20.00		0	0.00		0	0.00		2	40.00			Excluded		5
		TOTAL		10	2.90		24	6.96		0	0.00		44	12.75		246	71.30		19	5.51		2	0.58					345
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		10	2.90		24	6.96					44	12.75		246	71.30		19	5.51		2	0.58					345
	FOURTH			5	20.83			Excluded					3	12.50		9	37.50		0	0.00		7	29.17					24
		TOTAL		15	4.35								47	13.62		255	73.91		19	5.51		9	2.61					345
	FIFTH			2	22.22								1	11.11		2	22.22		4	44.44			Excluded					9
		TOTAL		17	4.93								48	13.91		257	74.49		23	6.67								345
	SIXTH			10	43.48								8	34.78		5	21.74			Excluded								23
		TOTAL		27	7.83								56	16.23		262	75.94											345
	SEVENTH				Excluded								23	85.19		4	14.81											27
		TOTAL											79	22.90		266	77.10											345
																Elected												
																												
Middle Dural                                                   																												
	FIRST			41	4.32		19	2.00		5	0.53		126	13.28		685	72.18		49	5.16		12	1.26		12	1.26		949
	SECOND			0	0.00		0	0.00		1	8.33		3	25.00		7	58.33		1	8.33		0	0.00			Excluded		12
		TOTAL		41	4.32		19	2.00		6	0.63		129	13.59		692	72.92		50	5.27		12	1.26					949
	THIRD			0	0.00		0	0.00			Excluded		3	50.00		1	16.67		2	33.33		0	0.00					6
		TOTAL		41	4.32		19	2.00					132	13.91		693	73.02		52	5.48		12	1.26					949
	FOURTH			4	21.05			Excluded					0	0.00		11	57.89		2	10.53		2	10.53					19
		TOTAL		45	4.74								132	13.91		704	74.18		54	5.69		14	1.48					949
	FIFTH			0	0.00								1	7.14		12	85.71		1	7.14			Excluded					14
		TOTAL		45	4.74								133	14.01		716	75.45		55	5.80								949
	SIXTH			38	69.09								8	14.55		9	16.36			Excluded								55
		TOTAL		83	8.75								141	14.86		725	76.40											949
	SEVENTH				Excluded								67	80.72		16	19.28											83
		TOTAL											208	21.92		741	78.08											949
																Elected												
																												
Mount Colah                                                    																												
	FIRST			214	8.03		60	2.25		24	0.90		690	25.90		1440	54.05		110	4.13		43	1.61		83	3.12		2664
	SECOND			12	14.46		8	9.64		1	1.20		20	24.10		19	22.89		13	15.66		10	12.05			Excluded		83
		TOTAL		226	8.48		68	2.55		25	0.94		710	26.65		1459	54.77		123	4.62		53	1.99					2664
	THIRD			7	28.00		2	8.00			Excluded		6	24.00		5	20.00		3	12.00		2	8.00					25
		TOTAL		233	8.75		70	2.63					716	26.88		1464	54.95		126	4.73		55	2.06					2664
	FOURTH			14	20.00			Excluded					11	15.71		24	34.29		17	24.29		4	5.71					70
		TOTAL		247	9.27								727	27.29		1488	55.86		143	5.37		59	2.21					2664
	FIFTH			9	15.25								6	10.17		33	55.93		11	18.64			Excluded					59
		TOTAL		256	9.61								733	27.52		1521	57.09		154	5.78								2664
	SIXTH			84	54.55								43	27.92		27	17.53			Excluded								154
		TOTAL		340	12.76								776	29.13		1548	58.11											2664
	SEVENTH				Excluded								235	69.12		105	30.88											340
		TOTAL											1011	37.95		1653	62.05											2664
																Elected												
																												
Mount Kuring-Gai                                               																												
	FIRST			56	4.87		26	2.26		8	0.70		296	25.76		645	56.14		73	6.35		17	1.48		28	2.44		1149
	SECOND			1	3.57		7	25.00		1	3.57		5	17.86		3	10.71		10	35.71		1	3.57			Excluded		28
		TOTAL		57	4.96		33	2.87		9	0.78		301	26.20		648	56.40		83	7.22		18	1.57					1149
	THIRD			1	11.11		0	0.00			Excluded		5	55.56		1	11.11		1	11.11		1	11.11					9
		TOTAL		58	5.05		33	2.87					306	26.63		649	56.48		84	7.31		19	1.65					1149
	FOURTH			9	27.27			Excluded					9	27.27		6	18.18		5	15.15		4	12.12					33
		TOTAL		67	5.83								315	27.42		655	57.01		89	7.75		23	2.00					1149
	FIFTH			3	13.04								6	26.09		10	43.48		4	17.39			Excluded					23
		TOTAL		70	6.09								321	27.94		665	57.88		93	8.09								1149
	SIXTH			44	47.31								34	36.56		15	16.13			Excluded								93
		TOTAL		114	9.92								355	30.90		680	59.18											1149
	SEVENTH				Excluded								80	70.18		34	29.82											114
		TOTAL											435	37.86		714	62.14											1149
																Elected												
																												
Normanhurst                                                    																												
	FIRST			166	8.22		30	1.49		32	1.58		473	23.43		1126	55.77		123	6.09		43	2.13		26	1.29		2019
	SECOND			4	15.38		2	7.69		1	3.85		6	23.08		2	7.69		7	26.92		4	15.38			Excluded		26
		TOTAL		170	8.42		32	1.58		33	1.63		479	23.72		1128	55.87		130	6.44		47	2.33					2019
	THIRD			13	39.39		1	3.03			Excluded		5	15.15		9	27.27		4	12.12		1	3.03					33
		TOTAL		183	9.06		33	1.63					484	23.97		1137	56.32		134	6.64		48	2.38					2019
	FOURTH			6	18.18			Excluded					3	9.09		18	54.55		3	9.09		3	9.09					33
		TOTAL		189	9.36								487	24.12		1155	57.21		137	6.79		51	2.53					2019
	FIFTH			4	7.84								3	5.88		36	70.59		8	15.69			Excluded					51
		TOTAL		193	9.56								490	24.27		1191	58.99		145	7.18								2019
	SIXTH			71	48.97								48	33.10		26	17.93			Excluded								145
		TOTAL		264	13.08								538	26.65		1217	60.28											2019
	SEVENTH				Excluded								182	68.94		82	31.06											264
		TOTAL											720	35.66		1299	64.34											2019
																Elected												
																												
Normanhurst West                                               																												
	FIRST			180	8.56		30	1.43		14	0.67		516	24.54		1164	55.35		118	5.61		57	2.71		24	1.14		2103
	SECOND			2	8.33		2	8.33		1	4.17		6	25.00		5	20.83		6	25.00		2	8.33			Excluded		24
		TOTAL		182	8.65		32	1.52		15	0.71		522	24.82		1169	55.59		124	5.90		59	2.81					2103
	THIRD			4	26.67		0	0.00			Excluded		3	20.00		3	20.00		5	33.33		0	0.00					15
		TOTAL		186	8.84		32	1.52					525	24.96		1172	55.73		129	6.13		59	2.81					2103
	FOURTH			3	9.38			Excluded					11	34.38		13	40.63		3	9.38		2	6.25					32
		TOTAL		189	8.99								536	25.49		1185	56.35		132	6.28		61	2.90					2103
	FIFTH			6	9.84								5	8.20		40	65.57		10	16.39			Excluded					61
		TOTAL		195	9.27								541	25.73		1225	58.25		142	6.75								2103
	SIXTH			80	56.34								41	28.87		21	14.79			Excluded								142
		TOTAL		275	13.08								582	27.67		1246	59.25											2103
	SEVENTH				Excluded								201	73.09		74	26.91											275
		TOTAL											783	37.23		1320	62.77											2103
																Elected												
																												
Oakhill Drive (Berowra)                                        																												
	FIRST			37	4.32		8	0.93		29	3.38		217	25.32		531	61.96		20	2.33		11	1.28		4	0.47		857
	SECOND			2	50.00		0	0.00		0	0.00		1	25.00		0	0.00		1	25.00		0	0.00			Excluded		4
		TOTAL		39	4.55		8	0.93		29	3.38		218	25.44		531	61.96		21	2.45		11	1.28					857
	THIRD			1	3.45		0	0.00			Excluded		17	58.62		6	20.69		2	6.90		3	10.34					29
		TOTAL		40	4.67		8	0.93					235	27.42		537	62.66		23	2.68		14	1.63					857
	FOURTH			0	0.00			Excluded					4	50.00		2	25.00		2	25.00		0	0.00					8
		TOTAL		40	4.67								239	27.89		539	62.89		25	2.92		14	1.63					857
	FIFTH			1	7.14								1	7.14		9	64.29		3	21.43			Excluded					14
		TOTAL		41	4.78								240	28.00		548	63.94		28	3.27								857
	SIXTH			14	50.00								8	28.57		6	21.43			Excluded								28
		TOTAL		55	6.42								248	28.94		554	64.64											857
	SEVENTH				Excluded								43	78.18		12	21.82											55
		TOTAL											291	33.96		566	66.04											857
																Elected												
																												
Pennant Hills                                                  																												
	FIRST			237	7.18		45	1.36		72	2.18		824	24.95		1786	54.09		193	5.84		107	3.24		38	1.15		3302
	SECOND			7	18.42		4	10.53		2	5.26		8	21.05		6	15.79		5	13.16		6	15.79			Excluded		38
		TOTAL		244	7.39		49	1.48		74	2.24		832	25.20		1792	54.27		198	6.00		113	3.42					3302
	THIRD			11	14.86		2	2.70			Excluded		32	43.24		11	14.86		13	17.57		5	6.76					74
		TOTAL		255	7.72		51	1.54					864	26.17		1803	54.60		211	6.39		118	3.57					3302
	FOURTH			10	19.61			Excluded					12	23.53		17	33.33		8	15.69		4	7.84					51
		TOTAL		265	8.03								876	26.53		1820	55.12		219	6.63		122	3.69					3302
	FIFTH			16	13.11								22	18.03		69	56.56		15	12.30			Excluded					122
		TOTAL		281	8.51								898	27.20		1889	57.21		234	7.09								3302
	SIXTH			97	41.45								94	40.17		43	18.38			Excluded								234
		TOTAL		378	11.45								992	30.04		1932	58.51											3302
	SEVENTH				Excluded								271	71.69		107	28.31											378
		TOTAL											1263	38.25		2039	61.75											3302
																Elected												
																												
Roselea (Berowra)                                              																												
	FIRST			89	7.34		34	2.81		16	1.32		242	19.97		742	61.22		57	4.70		27	2.23		5	0.41		1212
	SECOND			2	40.00		0	0.00		0	0.00		1	20.00		2	40.00		0	0.00		0	0.00			Excluded		5
		TOTAL		91	7.51		34	2.81		16	1.32		243	20.05		744	61.39		57	4.70		27	2.23					1212
	THIRD			3	18.75		0	0.00			Excluded		7	43.75		4	25.00		2	12.50		0	0.00					16
		TOTAL		94	7.76		34	2.81					250	20.63		748	61.72		59	4.87		27	2.23					1212
	FOURTH			9	26.47			Excluded					10	29.41		5	14.71		5	14.71		5	14.71					34
		TOTAL		103	8.50								260	21.45		753	62.13		64	5.28		32	2.64					1212
	FIFTH			2	6.25								4	12.50		25	78.13		1	3.13			Excluded					32
		TOTAL		105	8.66								264	21.78		778	64.19		65	5.36								1212
	SIXTH			26	40.00								30	46.15		9	13.85			Excluded								65
		TOTAL		131	10.81								294	24.26		787	64.93											1212
	SEVENTH				Excluded								101	77.10		30	22.90											131
		TOTAL											395	32.59		817	67.41											1212
																Elected												
																												
Sydney (Berowra)                                               																												
	FIRST			19	16.10		0	0.00		2	1.69		25	21.19		52	44.07		17	14.41		0	0.00		3	2.54		118
	SECOND			0	0.00		0	0.00		0	0.00		2	66.67		0	0.00		1	33.33		0	0.00			Excluded		3
		TOTAL		19	16.10		0	0.00		2	1.69		27	22.88		52	44.07		18	15.25		0	0.00					118
	THIRD			1	50.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00					2
		TOTAL		20	16.95		0	0.00					27	22.88		52	44.07		19	16.10		0	0.00					118
	FOURTH			0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		20	16.95								27	22.88		52	44.07		19	16.10		0	0.00					118
	FIFTH			0	0.00								0	0.00		0	0.00		0	0.00			Excluded					0
		TOTAL		20	16.95								27	22.88		52	44.07		19	16.10								118
	SIXTH			9	47.37								7	36.84		3	15.79			Excluded								19
		TOTAL		29	24.58								34	28.81		55	46.61											118
	SEVENTH				Excluded								22	75.86		7	24.14											29
		TOTAL											56	47.46		62	52.54											118
																Elected												
																												
Thompsons Corner (Berowra)                                     																												
	FIRST			131	6.00		41	1.88		21	0.96		448	20.53		1334	61.14		115	5.27		77	3.53		15	0.69		2182
	SECOND			0	0.00		2	13.33		2	13.33		2	13.33		4	26.67		2	13.33		3	20.00			Excluded		15
		TOTAL		131	6.00		43	1.97		23	1.05		450	20.62		1338	61.32		117	5.36		80	3.67					2182
	THIRD			7	30.43		0	0.00			Excluded		12	52.17		1	4.35		2	8.70		1	4.35					23
		TOTAL		138	6.32		43	1.97					462	21.17		1339	61.37		119	5.45		81	3.71					2182
	FOURTH			7	16.28			Excluded					4	9.30		20	46.51		5	11.63		7	16.28					43
		TOTAL		145	6.65								466	21.36		1359	62.28		124	5.68		88	4.03					2182
	FIFTH			6	6.82								8	9.09		62	70.45		12	13.64			Excluded					88
		TOTAL		151	6.92								474	21.72		1421	65.12		136	6.23								2182
	SIXTH			65	47.79								47	34.56		24	17.65			Excluded								136
		TOTAL		216	9.90								521	23.88		1445	66.22											2182
	SEVENTH				Excluded								167	77.31		49	22.69											216
		TOTAL											688	31.53		1494	68.47											2182
																Elected												
																												
Thornleigh                                                     																												
	FIRST			91	6.40		19	1.34		12	0.84		374	26.30		807	56.75		71	4.99		32	2.25		16	1.13		1422
	SECOND			3	18.75		1	6.25		0	0.00		5	31.25		4	25.00		3	18.75		0	0.00			Excluded		16
		TOTAL		94	6.61		20	1.41		12	0.84		379	26.65		811	57.03		74	5.20		32	2.25					1422
	THIRD			3	25.00		1	8.33			Excluded		7	58.33		1	8.33		0	0.00		0	0.00					12
		TOTAL		97	6.82		21	1.48					386	27.14		812	57.10		74	5.20		32	2.25					1422
	FOURTH			1	4.76			Excluded					4	19.05		10	47.62		5	23.81		1	4.76					21
		TOTAL		98	6.89								390	27.43		822	57.81		79	5.56		33	2.32					1422
	FIFTH			2	6.06								2	6.06		27	81.82		2	6.06			Excluded					33
		TOTAL		100	7.03								392	27.57		849	59.70		81	5.70								1422
	SIXTH			42	51.85								28	34.57		11	13.58			Excluded								81
		TOTAL		142	9.99								420	29.54		860	60.48											1422
	SEVENTH				Excluded								104	73.24		38	26.76											142
		TOTAL											524	36.85		898	63.15											1422
																Elected												
																												
Waitara                                                        																												
	FIRST			129	6.40		31	1.54		36	1.78		506	25.09		1176	58.30		86	4.26		33	1.64		20	0.99		2017
	SECOND			1	5.00		5	25.00		0	0.00		5	25.00		4	20.00		3	15.00		2	10.00			Excluded		20
		TOTAL		130	6.45		36	1.78		36	1.78		511	25.33		1180	58.50		89	4.41		35	1.74					2017
	THIRD			11	30.56		0	0.00			Excluded		14	38.89		2	5.56		8	22.22		1	2.78					36
		TOTAL		141	6.99		36	1.78					525	26.03		1182	58.60		97	4.81		36	1.78					2017
	FOURTH			7	19.44			Excluded					4	11.11		12	33.33		11	30.56		2	5.56					36
		TOTAL		148	7.34								529	26.23		1194	59.20		108	5.35		38	1.88					2017
	FIFTH			1	2.63								5	13.16		21	55.26		11	28.95			Excluded					38
		TOTAL		149	7.39								534	26.47		1215	60.24		119	5.90								2017
	SIXTH			53	44.54								42	35.29		24	20.17			Excluded								119
		TOTAL		202	10.01								576	28.56		1239	61.43											2017
	SEVENTH				Excluded								142	70.30		60	29.70											202
		TOTAL											718	35.60		1299	64.40											2017
																Elected												
																												
Waitara South                                                  																												
	FIRST			18	4.65		2	0.52		3	0.78		73	18.86		274	70.80		11	2.84		4	1.03		2	0.52		387
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		2
		TOTAL		18	4.65		2	0.52		3	0.78		73	18.86		274	70.80		12	3.10		5	1.29					387
	THIRD			0	0.00		0	0.00			Excluded		1	33.33		1	33.33		0	0.00		1	33.33					3
		TOTAL		18	4.65		2	0.52					74	19.12		275	71.06		12	3.10		6	1.55					387
	FOURTH			1	50.00			Excluded					0	0.00		0	0.00		1	50.00		0	0.00					2
		TOTAL		19	4.91								74	19.12		275	71.06		13	3.36		6	1.55					387
	FIFTH			0	0.00								0	0.00		2	33.33		4	66.67			Excluded					6
		TOTAL		19	4.91								74	19.12		277	71.58		17	4.39								387
	SIXTH			9	52.94								5	29.41		3	17.65			Excluded								17
		TOTAL		28	7.24								79	20.41		280	72.35											387
	SEVENTH				Excluded								22	78.57		6	21.43											28
		TOTAL											101	26.10		286	73.90											387
																Elected												
																												
Westleigh                                                      																												
	FIRST			244	7.13		47	1.37		35	1.02		685	20.01		2127	62.12		173	5.05		89	2.60		24	0.70		3424
	SECOND			5	20.83		1	4.17		1	4.17		8	33.33		4	16.67		4	16.67		1	4.17			Excluded		24
		TOTAL		249	7.27		48	1.40		36	1.05		693	20.24		2131	62.24		177	5.17		90	2.63					3424
	THIRD			15	41.67		2	5.56			Excluded		9	25.00		6	16.67		2	5.56		2	5.56					36
		TOTAL		264	7.71		50	1.46					702	20.50		2137	62.41		179	5.23		92	2.69					3424
	FOURTH			9	18.00			Excluded					8	16.00		18	36.00		9	18.00		6	12.00					50
		TOTAL		273	7.97								710	20.74		2155	62.94		188	5.49		98	2.86					3424
	FIFTH			14	14.29								12	12.24		58	59.18		14	14.29			Excluded					98
		TOTAL		287	8.38								722	21.09		2213	64.63		202	5.90								3424
	SIXTH			114	56.44								53	26.24		35	17.33			Excluded								202
		TOTAL		401	11.71								775	22.63		2248	65.65											3424
	SEVENTH				Excluded								289	72.07		112	27.93											401
		TOTAL											1064	31.07		2360	68.93											3424
																Elected												
																												
Wisemans Ferry (Berowra)                                       																												
	FIRST			8	5.26		5	3.29		1	0.66		39	25.66		86	56.58		9	5.92		0	0.00		4	2.63		152
	SECOND			1	25.00		0	0.00		0	0.00		2	50.00		0	0.00		1	25.00		0	0.00			Excluded		4
		TOTAL		9	5.92		5	3.29		1	0.66		41	26.97		86	56.58		10	6.58		0	0.00					152
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					1
		TOTAL		9	5.92		6	3.95					41	26.97		86	56.58		10	6.58		0	0.00					152
	FOURTH			0	0.00			Excluded					2	33.33		2	33.33		0	0.00		2	33.33					6
		TOTAL		9	5.92								43	28.29		88	57.89		10	6.58		2	1.32					152
	FIFTH			0	0.00								0	0.00		2	100.00		0	0.00			Excluded					2
		TOTAL		9	5.92								43	28.29		90	59.21		10	6.58								152
	SIXTH			5	50.00								3	30.00		2	20.00			Excluded								10
		TOTAL		14	9.21								46	30.26		92	60.53											152
	SEVENTH				Excluded								10	71.43		4	28.57											14
		TOTAL											56	36.84		96	63.16											152
																Elected												
																												
Special Hospital Team 1                                        																												
	FIRST			1	1.47		0	0.00		0	0.00		14	20.59		49	72.06		2	2.94		2	2.94		0	0.00		68
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		1	1.47		0	0.00		0	0.00		14	20.59		49	72.06		2	2.94		2	2.94					68
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		1	1.47		0	0.00					14	20.59		49	72.06		2	2.94		2	2.94					68
	FOURTH			0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		1	1.47								14	20.59		49	72.06		2	2.94		2	2.94					68
	FIFTH			0	0.00								0	0.00		2	100.00		0	0.00			Excluded					2
		TOTAL		1	1.47								14	20.59		51	75.00		2	2.94								68
	SIXTH			2	100.00								0	0.00		0	0.00			Excluded								2
		TOTAL		3	4.41								14	20.59		51	75.00											68
	SEVENTH				Excluded								3	100.00		0	0.00											3
		TOTAL											17	25.00		51	75.00											68
																Elected												
																												
Special Hospital Team 2                                        																												
	FIRST			6	4.32		1	0.72		0	0.00		16	11.51		101	72.66		1	0.72		14	10.07		0	0.00		139
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		6	4.32		1	0.72		0	0.00		16	11.51		101	72.66		1	0.72		14	10.07					139
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		6	4.32		1	0.72					16	11.51		101	72.66		1	0.72		14	10.07					139
	FOURTH			0	0.00			Excluded					0	0.00		0	0.00		0	0.00		1	100.00					1
		TOTAL		6	4.32								16	11.51		101	72.66		1	0.72		15	10.79					139
	FIFTH			1	6.67								0	0.00		14	93.33		0	0.00			Excluded					15
		TOTAL		7	5.04								16	11.51		115	82.73		1	0.72								139
	SIXTH			0	0.00								0	0.00		1	100.00			Excluded								1
		TOTAL		7	5.04								16	11.51		116	83.45											139
	SEVENTH				Excluded								5	71.43		2	28.57											7
		TOTAL											21	15.11		118	84.89											139
																Elected												
																												
Special Hospital Team 3                                        																												
	FIRST			5	2.07		0	0.00		0	0.00		32	13.22		198	81.82		0	0.00		5	2.07		2	0.83		242
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		2
		TOTAL		5	2.07		0	0.00		0	0.00		32	13.22		199	82.23		1	0.41		5	2.07					242
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		5	2.07		0	0.00					32	13.22		199	82.23		1	0.41		5	2.07					242
	FOURTH			0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		5	2.07								32	13.22		199	82.23		1	0.41		5	2.07					242
	FIFTH			0	0.00								0	0.00		4	80.00		1	20.00			Excluded					5
		TOTAL		5	2.07								32	13.22		203	83.88		2	0.83								242
	SIXTH			1	50.00								0	0.00		1	50.00			Excluded								2
		TOTAL		6	2.48								32	13.22		204	84.30											242
	SEVENTH				Excluded								5	83.33		1	16.67											6
		TOTAL											37	15.29		205	84.71											242
																Elected												
																												
Special Hospital Team 4                                        																												
	FIRST			0	0.00		0	0.00		0	0.00		1	11.11		7	77.78		0	0.00		0	0.00		1	11.11		9
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
		TOTAL		0	0.00		0	0.00		0	0.00		1	11.11		7	77.78		0	0.00		1	11.11					9
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		0	0.00		0	0.00					1	11.11		7	77.78		0	0.00		1	11.11					9
	FOURTH			0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		0	0.00								1	11.11		7	77.78		0	0.00		1	11.11					9
	FIFTH			0	0.00								1	100.00		0	0.00		0	0.00			Excluded					1
		TOTAL		0	0.00								2	22.22		7	77.78		0	0.00								9
	SIXTH			0	0.00								0	0.00		0	0.00			Excluded								0
		TOTAL		0	0.00								2	22.22		7	77.78											9
	SEVENTH				Excluded								0	0.00		0	0.00											0
		TOTAL											2	22.22		7	77.78											9
																Elected												
																												
ABSENT																												
	FIRST			449	8.53		137	2.60		39	0.74		1021	19.39		2904	55.15		465	8.83		120	2.28		131	2.49		5266
	SECOND			11	8.40		10	7.63		3	2.29		32	24.43		23	17.56		37	28.24		15	11.45			Excluded		131
		TOTAL		460	8.74		147	2.79		42	0.80		1053	20.00		2927	55.58		502	9.53		135	2.56					5266
	THIRD			6	14.29		2	4.76			Excluded		14	33.33		4	9.52		11	26.19		5	11.90					42
		TOTAL		466	8.85		149	2.83					1067	20.26		2931	55.66		513	9.74		140	2.66					5266
	FOURTH			33	22.15			Excluded					28	18.79		51	34.23		25	16.78		12	8.05					149
		TOTAL		499	9.48								1095	20.79		2982	56.63		538	10.22		152	2.89					5266
	FIFTH			23	15.13								20	13.16		76	50.00		33	21.71			Excluded					152
		TOTAL		522	9.91								1115	21.17		3058	58.07		571	10.84								5266
	SIXTH			301	52.71								172	30.12		98	17.16			Excluded								571
		TOTAL		823	15.63								1287	24.44		3156	59.93											5266
	SEVENTH				Excluded								580	70.47		243	29.53											823
		TOTAL											1867	35.45		3399	64.55											5266
																Elected												
																												
POSTAL																												
	FIRST			108	3.67		63	2.14		47	1.60		489	16.62		2054	69.79		96	3.26		54	1.83		32	1.09		2943
	SECOND			2	6.25		2	6.25		3	9.38		11	34.38		8	25.00		3	9.38		3	9.38			Excluded		32
		TOTAL		110	3.74		65	2.21		50	1.70		500	16.99		2062	70.06		99	3.36		57	1.94					2943
