House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences																									
By Polling Place																									
																									
Warringah																									
				LAM			MACDONALD			HERAGHTY			ABBOTT			BURRIDGE			FERGUSON			KELLY			
	FOURTH			11	22.45		25	51.02		7	14.29		6	12.24			Excluded								49
		TOTAL		104	5.85		702	39.50		168	9.45		803	45.19											1777
	FIFTH				Excluded		77	74.04		15	14.42		12	11.54											104
		TOTAL					779	43.84		183	10.30		815	45.86											1777
	SIXTH						145	79.23			Excluded		38	20.77											183
		TOTAL					924	52.00					853	48.00											1777
													Elected												
																									
Seaforth                                                       																									
	FIRST			72	2.71		828	31.17		226	8.51		1421	53.50		49	1.84		13	0.49		47	1.77		2656
	SECOND			5	38.46		1	7.69		1	7.69		2	15.38		0	0.00			Excluded		4	30.77		13
		TOTAL		77	2.90		829	31.21		227	8.55		1423	53.58		49	1.84					51	1.92		2656
	THIRD			5	9.80		17	33.33		5	9.80		21	41.18		3	5.88						Excluded		51
		TOTAL		82	3.09		846	31.85		232	8.73		1444	54.37		52	1.96								2656
	FOURTH			12	23.08		20	38.46		7	13.46		13	25.00			Excluded								52
		TOTAL		94	3.54		866	32.61		239	9.00		1457	54.86											2656
	FIFTH				Excluded		62	65.96		17	18.09		15	15.96											94
		TOTAL					928	34.94		256	9.64		1472	55.42											2656
	SIXTH						225	87.89			Excluded		31	12.11											256
		TOTAL					1153	43.41					1503	56.59											2656
													Elected												
																									
Seaforth East                                                  																									
	FIRST			54	2.86		519	27.52		143	7.58		1102	58.43		40	2.12		10	0.53		18	0.95		1886
	SECOND			2	20.00		2	20.00		1	10.00		2	20.00		2	20.00			Excluded		1	10.00		10
		TOTAL		56	2.97		521	27.62		144	7.64		1104	58.54		42	2.23					19	1.01		1886
	THIRD			0	0.00		9	47.37		3	15.79		6	31.58		1	5.26						Excluded		19
		TOTAL		56	2.97		530	28.10		147	7.79		1110	58.85		43	2.28								1886
	FOURTH			14	32.56		15	34.88		5	11.63		9	20.93			Excluded								43
		TOTAL		70	3.71		545	28.90		152	8.06		1119	59.33											1886
	FIFTH				Excluded		52	74.29		9	12.86		9	12.86											70
		TOTAL					597	31.65		161	8.54		1128	59.81											1886
	SIXTH						134	83.23			Excluded		27	16.77											161
		TOTAL					731	38.76					1155	61.24											1886
													Elected												
																									
Spit Junction                                                  																									
	FIRST			33	2.49		332	25.06		148	11.17		752	56.75		36	2.72		9	0.68		15	1.13		1325
	SECOND			2	22.22		2	22.22		2	22.22		1	11.11		1	11.11			Excluded		1	11.11		9
		TOTAL		35	2.64		334	25.21		150	11.32		753	56.83		37	2.79					16	1.21		1325
	THIRD			3	18.75		1	6.25		1	6.25		8	50.00		3	18.75						Excluded		16
		TOTAL		38	2.87		335	25.28		151	11.40		761	57.43		40	3.02								1325
	FOURTH			8	20.00		19	47.50		5	12.50		8	20.00			Excluded								40
		TOTAL		46	3.47		354	26.72		156	11.77		769	58.04											1325
	FIFTH				Excluded		23	50.00		11	23.91		12	26.09											46
		TOTAL					377	28.45		167	12.60		781	58.94											1325
	SIXTH						144	86.23			Excluded		23	13.77											167
		TOTAL					521	39.32					804	60.68											1325
													Elected												
																									
Sydney (Warringah)                                             																									
	FIRST			14	11.97		36	30.77		14	11.97		46	39.32		7	5.98		0	0.00		0	0.00		117
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		14	11.97		36	30.77		14	11.97		46	39.32		7	5.98					0	0.00		117
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0
		TOTAL		14	11.97		36	30.77		14	11.97		46	39.32		7	5.98								117
	FOURTH			5	71.43		0	0.00		1	14.29		1	14.29			Excluded								7
		TOTAL		19	16.24		36	30.77		15	12.82		47	40.17											117
	FIFTH				Excluded		11	57.89		7	36.84		1	5.26											19
		TOTAL					47	40.17		22	18.80		48	41.03											117
	SIXTH						18	81.82			Excluded		4	18.18											22
		TOTAL					65	55.56					52	44.44											117
													Elected												
																									
Wingala                                                        																									
	FIRST			79	3.52		716	31.92		329	14.67		995	44.36		55	2.45		17	0.76		52	2.32		2243
	SECOND			5	29.41		5	29.41		3	17.65		2	11.76		1	5.88			Excluded		1	5.88		17
		TOTAL		84	3.74		721	32.14		332	14.80		997	44.45		56	2.50					53	2.36		2243
	THIRD			6	11.32		14	26.42		4	7.55		22	41.51		7	13.21						Excluded		53
		TOTAL		90	4.01		735	32.77		336	14.98		1019	45.43		63	2.81								2243
	FOURTH			22	34.92		19	30.16		10	15.87		12	19.05			Excluded								63
		TOTAL		112	4.99		754	33.62		346	15.43		1031	45.97											2243
	FIFTH				Excluded		75	66.96		21	18.75		16	14.29											112
		TOTAL					829	36.96		367	16.36		1047	46.68											2243
	SIXTH						328	89.37			Excluded		39	10.63											367
		TOTAL					1157	51.58					1086	48.42											2243
													Elected												
																									
Special Hospital Team 1                                        																									
	FIRST			1	1.75		7	12.28		9	15.79		38	66.67		0	0.00		0	0.00		2	3.51		57
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		1	1.75		7	12.28		9	15.79		38	66.67		0	0.00					2	3.51		57
	THIRD			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00						Excluded		2
		TOTAL		1	1.75		7	12.28		9	15.79		40	70.18		0	0.00								57
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								0
		TOTAL		1	1.75		7	12.28		9	15.79		40	70.18											57
	FIFTH				Excluded		1	100.00		0	0.00		0	0.00											1
		TOTAL					8	14.04		9	15.79		40	70.18											57
	SIXTH						7	77.78			Excluded		2	22.22											9
		TOTAL					15	26.32					42	73.68											57
													Elected												
																									
Special Hospital Team 2                                        																									
	FIRST			0	0.00		3	7.69		12	30.77		24	61.54		0	0.00		0	0.00		0	0.00		39
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		0	0.00		3	7.69		12	30.77		24	61.54		0	0.00					0	0.00		39
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0
		TOTAL		0	0.00		3	7.69		12	30.77		24	61.54		0	0.00								39
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								0
		TOTAL		0	0.00		3	7.69		12	30.77		24	61.54											39
	FIFTH				Excluded		0	0.00		0	0.00		0	0.00											0
		TOTAL					3	7.69		12	30.77		24	61.54											39
	SIXTH						9	75.00			Excluded		3	25.00											12
		TOTAL					12	30.77					27	69.23											39
													Elected												
																									
Special Hospital Team 3                                        																									
	FIRST			1	1.11		14	15.56		15	16.67		58	64.44		1	1.11		0	0.00		1	1.11		90
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		1	1.11		14	15.56		15	16.67		58	64.44		1	1.11					1	1.11		90
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00						Excluded		1
		TOTAL		1	1.11		14	15.56		15	16.67		58	64.44		2	2.22								90
	FOURTH			0	0.00		0	0.00		0	0.00		2	100.00			Excluded								2
		TOTAL		1	1.11		14	15.56		15	16.67		60	66.67											90
	FIFTH				Excluded		0	0.00		1	100.00		0	0.00											1
		TOTAL					14	15.56		16	17.78		60	66.67											90
	SIXTH						16	100.00			Excluded		0	0.00											16
		TOTAL					30	33.33					60	66.67											90
													Elected												
																									
ABSENT																									
	FIRST			371	7.04		1112	21.10		736	13.97		2593	49.20		281	5.33		69	1.31		108	2.05		5270
	SECOND			19	27.54		10	14.49		8	11.59		10	14.49		14	20.29			Excluded		8	11.59		69
		TOTAL		390	7.40		1122	21.29		744	14.12		2603	49.39		295	5.60					116	2.20		5270
	THIRD			18	15.52		27	23.28		13	11.21		41	35.34		17	14.66						Excluded		116
		TOTAL		408	7.74		1149	21.80		757	14.36		2644	50.17		312	5.92								5270
	FOURTH			142	45.51		57	18.27		58	18.59		55	17.63			Excluded								312
		TOTAL		550	10.44		1206	22.88		815	15.46		2699	51.21											5270
	FIFTH				Excluded		319	58.00		135	24.55		96	17.45											550
		TOTAL					1525	28.94		950	18.03		2795	53.04											5270
	SIXTH						732	77.05			Excluded		218	22.95											950
		TOTAL					2257	42.83					3013	57.17											5270
													Elected												
																									
POSTAL																									
	FIRST			63	2.17		611	21.07		345	11.90		1736	59.86		53	1.83		18	0.62		74	2.55		2900
	SECOND			3	16.67		6	33.33		3	16.67		2	11.11		4	22.22			Excluded		0	0.00		18
		TOTAL		66	2.28		617	21.28		348	12.00		1738	59.93		57	1.97					74	2.55		2900
	THIRD			3	4.05		28	37.84		10	13.51		31	41.89		2	2.70						Excluded		74
		TOTAL		69	2.38		645	22.24		358	12.34		1769	61.00		59	2.03								2900
	FOURTH			19	32.20		13	22.03		14	23.73		13	22.03			Excluded								59
		TOTAL		88	3.03		658	22.69		372	12.83		1782	61.45											2900
	FIFTH				Excluded		53	60.23		26	29.55		9	10.23											88
		TOTAL					711	24.52		398	13.72		1791	61.76											2900
	SIXTH						315	79.15			Excluded		83	20.85											398
		TOTAL					1026	35.38					1874	64.62											2900
													Elected												
																									
PRE POLL																									
	FIRST			207	4.03		1392	27.13		703	13.70		2539	49.48		182	3.55		33	0.64		75	1.46		5131
	SECOND			10	30.30		4	12.12		6	18.18		3	9.09		6	18.18			Excluded		4	12.12		33
		TOTAL		217	4.23		1396	27.21		709	13.82		2542	49.54		188	3.66					79	1.54		5131
	THIRD			10	12.66		24	30.38		9	11.39		27	34.18		9	11.39						Excluded		79
		TOTAL		227	4.42		1420	27.67		718	13.99		2569	50.07		197	3.84								5131
	FOURTH			54	27.41		54	27.41		45	22.84		44	22.34			Excluded								197
		TOTAL		281	5.48		1474	28.73		763	14.87		2613	50.93											5131
	FIFTH				Excluded		167	59.43		77	27.40		37	13.17											281
		TOTAL					1641	31.98		840	16.37		2650	51.65											5131
	SIXTH						659	78.45			Excluded		181	21.55											840
		TOTAL					2300	44.83					2831	55.17											5131
													Elected												
																									
PROVISIONAL																									
	FIRST			38	9.18		91	21.98		80	19.32		179	43.24		17	4.11		4	0.97		5	1.21		414
	SECOND			1	25.00		1	25.00		2	50.00		0	0.00		0	0.00			Excluded		0	0.00		4
		TOTAL		39	9.42		92	22.22		82	19.81		179	43.24		17	4.11					5	1.21		414
	THIRD			2	40.00		0	0.00		2	40.00		0	0.00		1	20.00						Excluded		5
		TOTAL		41	9.90		92	22.22		84	20.29		179	43.24		18	4.35								414
	FOURTH			5	27.78		6	33.33		1	5.56		6	33.33			Excluded								18
		TOTAL		46	11.11		98	23.67		85	20.53		185	44.69											414
	FIFTH				Excluded		32	69.57		9	19.57		5	10.87											46
		TOTAL					130	31.40		94	22.71		190	45.89											414
	SIXTH						83	88.30			Excluded		11	11.70											94
		TOTAL					213	51.45					201	48.55											414
													Elected												
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
