House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Paterson (82782)											
		Candidate		"HORNE, Bob"		                 	"BALDWIN, Bob"		               	Total	
		"SHAW, Ian (NP)"	35	6	17.14		29	82.86		35	
		"DAVIES, Sharon (DEM)"	9	5	55.56		4	44.44		9	
		"RANKE, Aina (GRN)"	18	14	77.78		4	22.22		18	
		"HENNELLY, Paul (FPY)"	6	5	83.33		1	16.67		6	
		"KING, Tony (CEC)"	2	2	100.00		0	0.00		2	
		"CARY, Paul (HAN)"	66	36	54.55		30	45.45		66	
		Total	136	316	46.88		358	53.12		674	

	Seaham										
			1st Prefs	341	44.75		421	55.25		762	
		"SHAW, Ian (NP)"	99	9	9.09		90	90.91		99	
		"DAVIES, Sharon (DEM)"	38	30	78.95		8	21.05		38	
		"RANKE, Aina (GRN)"	32	23	71.88		9	28.13		32	
		"HENNELLY, Paul (FPY)"	1	0	0.00		1	100.00		1	
		"KING, Tony (CEC)"	2	2	100.00		0	0.00		2	
		"CARY, Paul (HAN)"	58	28	48.28		30	51.72		58	
		Total	230	433	43.65		559	56.35		992	

	Shoal Bay										
			1st Prefs	388	50.85		375	49.15		763	
		"SHAW, Ian (NP)"	39	4	10.26		35	89.74		39	
		"DAVIES, Sharon (DEM)"	19	12	63.16		7	36.84		19	
		"RANKE, Aina (GRN)"	26	22	84.62		4	15.38		26	
		"HENNELLY, Paul (FPY)"	8	6	75.00		2	25.00		8	
		"KING, Tony (CEC)"	0	0	0.00		0	0.00		0	
		"CARY, Paul (HAN)"	38	6	15.79		32	84.21		38	
		Total	130	438	49.05		455	50.95		893	

	Soldiers Point										
			1st Prefs	307	43.12		405	56.88		712	
		"SHAW, Ian (NP)"	45	3	6.67		42	93.33		45	
		"DAVIES, Sharon (DEM)"	15	12	80.00		3	20.00		15	
		"RANKE, Aina (GRN)"	22	16	72.73		6	27.27		22	
		"HENNELLY, Paul (FPY)"	15	11	73.33		4	26.67		15	
		"KING, Tony (CEC)"	2	1	50.00		1	50.00		2	
		"CARY, Paul (HAN)"	24	10	41.67		14	58.33		24	
		Total	123	360	43.11		475	56.89		835	

	Stratford										
			1st Prefs	37	35.24		68	64.76		105	
		"SHAW, Ian (NP)"	63	8	12.70		55	87.30		63	
		"DAVIES, Sharon (DEM)"	6	1	16.67		5	83.33		6	
		"RANKE, Aina (GRN)"	3	3	100.00		0	0.00		3	
		"HENNELLY, Paul (FPY)"	0	0	0.00		0	0.00		0	
		"KING, Tony (CEC)"	0	0	0.00		0	0.00		0	
		"CARY, Paul (HAN)"	11	3	27.27		8	72.73		11	
		Total	83	52	27.66		136	72.34		188	

	Stroud										
			1st Prefs	158	39.11		246	60.89		404	
		"SHAW, Ian (NP)"	83	6	7.23		77	92.77		83	
		"DAVIES, Sharon (DEM)"	12	9	75.00		3	25.00		12	
		"RANKE, Aina (GRN)"	8	7	87.50		1	12.50		8	
		"HENNELLY, Paul (FPY)"	2	0	0.00		2	100.00		2	
		"KING, Tony (CEC)"	1	1	100.00		0	0.00		1	
		"CARY, Paul (HAN)"	27	13	48.15		14	51.85		27	
		Total	133	194	36.13		343	63.87		537	

	Stroud Road										
			1st Prefs	55	43.65		71	56.35		126	
		"SHAW, Ian (NP)"	39	1	2.56		38	97.44		39	
		"DAVIES, Sharon (DEM)"	3	3	100.00		0	0.00		3	
		"RANKE, Aina (GRN)"	3	3	100.00		0	0.00		3	
		"HENNELLY, Paul (FPY)"	0	0	0.00		0	0.00		0	
		"KING, Tony (CEC)"	0	0	0.00		0	0.00		0	
		"CARY, Paul (HAN)"	11	5	45.45		6	54.55		11	
		Total	56	67	36.81		115	63.19		182	

	Sydney (Paterson)										
			1st Prefs	15	50.00		15	50.00		30	
		"SHAW, Ian (NP)"	1	0	0.00		1	100.00		1	
		"DAVIES, Sharon (DEM)"	0	0	0.00		0	0.00		0	
		"RANKE, Aina (GRN)"	4	2	50.00		2	50.00		4	
		"HENNELLY, Paul (FPY)"	0	0	0.00		0	0.00		0	
		"KING, Tony (CEC)"	0	0	0.00		0	0.00		0	
		"CARY, Paul (HAN)"	0	0	0.00		0	0.00		0	
		Total	5	17	48.57		18	51.43		35	

	Tanilba Bay										
			1st Prefs	709	59.83		476	40.17		1185	
		"SHAW, Ian (NP)"	80	15	18.75		65	81.25		80	
		"DAVIES, Sharon (DEM)"	56	39	69.64		17	30.36		56	
		"RANKE, Aina (GRN)"	43	34	79.07		9	20.93		43	
		"HENNELLY, Paul (FPY)"	14	8	57.14		6	42.86		14	
		"KING, Tony (CEC)"	2	2	100.00		0	0.00		2	
		"CARY, Paul (HAN)"	90	42	46.67		48	53.33		90	
		Total	285	849	57.76		621	42.24		1470	

	Tarro										
			1st Prefs	382	66.55		192	33.45		574	
		"SHAW, Ian (NP)"	15	3	20.00		12	80.00		15	
		"DAVIES, Sharon (DEM)"	18	13	72.22		5	27.78		18	
		"RANKE, Aina (GRN)"	16	9	56.25		7	43.75		16	
		"HENNELLY, Paul (FPY)"	7	5	71.43		2	28.57		7	
		"KING, Tony (CEC)"	0	0	0.00		0	0.00		0	
		"CARY, Paul (HAN)"	33	12	36.36		21	63.64		33	
		Total	89	424	63.95		239	36.05		663	

	Tea Gardens										
			1st Prefs	403	47.58		444	52.42		847	
		"SHAW, Ian (NP)"	71	3	4.23		68	95.77		71	
		"DAVIES, Sharon (DEM)"	16	11	68.75		5	31.25		16	
		"RANKE, Aina (GRN)"	21	19	90.48		2	9.52		21	
		"HENNELLY, Paul (FPY)"	34	22	64.71		12	35.29		34	
		"KING, Tony (CEC)"	28	17	60.71		11	39.29		28	
		"CARY, Paul (HAN)"	46	18	39.13		28	60.87		46	
		Total	216	493	46.38		570	53.62		1063	

	Thornton										
			1st Prefs	1789	64.77		973	35.23		2762	
		"SHAW, Ian (NP)"	59	7	11.86		52	88.14		59	
		"DAVIES, Sharon (DEM)"	122	94	77.05		28	22.95		122	
		"RANKE, Aina (GRN)"	63	42	66.67		21	33.33		63	
		"HENNELLY, Paul (FPY)"	29	15	51.72		14	48.28		29	
		"KING, Tony (CEC)"	14	8	57.14		6	42.86		14	
		"CARY, Paul (HAN)"	120	57	47.50		63	52.50		120	
		Total	407	2012	63.49		1157	36.51		3169	

	Tomago										
			1st Prefs	53	61.63		33	38.37		86	
		"SHAW, Ian (NP)"	3	0	0.00		3	100.00		3	
		"DAVIES, Sharon (DEM)"	3	3	100.00		0	0.00		3	
		"RANKE, Aina (GRN)"	0	0	0.00		0	0.00		0	
		"HENNELLY, Paul (FPY)"	3	2	66.67		1	33.33		3	
		"KING, Tony (CEC)"	0	0	0.00		0	0.00		0	
		"CARY, Paul (HAN)"	15	9	60.00		6	40.00		15	
		Total	24	67	60.91		43	39.09		110	

	Tuncurry										
			1st Prefs	914	50.41		899	49.59		1813	
		"SHAW, Ian (NP)"	242	16	6.61		226	93.39		242	
		"DAVIES, Sharon (DEM)"	39	25	64.10		14	35.90		39	
		"RANKE, Aina (GRN)"	43	32	74.42		11	25.58		43	
		"HENNELLY, Paul (FPY)"	14	5	35.71		9	64.29		14	
		"KING, Tony (CEC)"	3	0	0.00		3	100.00		3	
		"CARY, Paul (HAN)"	190	58	30.53		132	69.47		190	
		Total	531	1050	44.80		1294	55.20		2344	

	Tuncurry South										
			1st Prefs	321	45.08		391	54.92		712	
		"SHAW, Ian (NP)"	74	4	5.41		70	94.59		74	
		"DAVIES, Sharon (DEM)"	13	6	46.15		7	53.85		13	
		"RANKE, Aina (GRN)"	18	11	61.11		7	38.89		18	
		"HENNELLY, Paul (FPY)"	6	5	83.33		1	16.67		6	
		"KING, Tony (CEC)"	1	0	0.00		1	100.00		1	
		"CARY, Paul (HAN)"	61	17	27.87		44	72.13		61	
		Total	173	364	41.13		521	58.87		885	

	Vacy										
			1st Prefs	143	46.73		163	53.27		306	
		"SHAW, Ian (NP)"	26	1	3.85		25	96.15		26	
		"DAVIES, Sharon (DEM)"	18	15	83.33		3	16.67		18	
		"RANKE, Aina (GRN)"	20	15	75.00		5	25.00		20	
		"HENNELLY, Paul (FPY)"	2	2	100.00		0	0.00		2	
		"KING, Tony (CEC)"	2	2	100.00		0	0.00		2	
		"CARY, Paul (HAN)"	20	7	35.00		13	65.00		20	
		Total	88	185	46.95		209	53.05		394	

	Wallarobba										
			1st Prefs	41	39.42		63	60.58		104	
		"SHAW, Ian (NP)"	24	1	4.17		23	95.83		24	
		"DAVIES, Sharon (DEM)"	2	2	100.00		0	0.00		2	
		"RANKE, Aina (GRN)"	7	7	100.00		0	0.00		7	
		"HENNELLY, Paul (FPY)"	0	0	0.00		0	0.00		0	
		"KING, Tony (CEC)"	0	0	0.00		0	0.00		0	
		"CARY, Paul (HAN)"	10	5	50.00		5	50.00		10	
		Total	43	56	38.10		91	61.90		147	

	Wards River										
			1st Prefs	34	51.52		32	48.48		66	
		"SHAW, Ian (NP)"	27	2	7.41		25	92.59		27	
		"DAVIES, Sharon (DEM)"	2	1	50.00		1	50.00		2	
		"RANKE, Aina (GRN)"	3	3	100.00		0	0.00		3	
		"HENNELLY, Paul (FPY)"	3	1	33.33		2	66.67		3	
		"KING, Tony (CEC)"	2	1	50.00		1	50.00		2	
		"CARY, Paul (HAN)"	11	4	36.36		7	63.64		11	
		Total	48	46	40.35		68	59.65		114	

	Williamtown										
			1st Prefs	219	48.45		233	51.55		452	
		"SHAW, Ian (NP)"	62	5	8.06		57	91.94		62	
		"DAVIES, Sharon (DEM)"	14	8	57.14		6	42.86		14	
		"RANKE, Aina (GRN)"	18	13	72.22		5	27.78		18	
		"HENNELLY, Paul (FPY)"	2	0	0.00		2	100.00		2	
		"KING, Tony (CEC)"	3	1	33.33		2	66.67		3	
		"CARY, Paul (HAN)"	53	17	32.08		36	67.92		53	
		Total	152	263	43.54		341	56.46		604	

	Wirreanda Medowie										
			1st Prefs	718	46.56		824	53.44		1542	
		"SHAW, Ian (NP)"	83	15	18.07		68	81.93		83	
		"DAVIES, Sharon (DEM)"	78	54	69.23		24	30.77		78	
		"RANKE, Aina (GRN)"	39	30	76.92		9	23.08		39	
		"HENNELLY, Paul (FPY)"	13	6	46.15		7	53.85		13	
		"KING, Tony (CEC)"	6	3	50.00		3	50.00		6	
		"CARY, Paul (HAN)"	129	41	31.78		88	68.22		129	
		Total	348	867	45.87		1023	54.13		1890	

	Woodberry										
			1st Prefs	1108	73.62		397	26.38		1505	
		"SHAW, Ian (NP)"	40	13	32.50		27	67.50		40	
		"DAVIES, Sharon (DEM)"	34	27	79.41		7	20.59		34	
		"RANKE, Aina (GRN)"	51	40	78.43		11	21.57		51	
		"HENNELLY, Paul (FPY)"	24	13	54.17		11	45.83		24	
		"KING, Tony (CEC)"	4	0	0.00		4	100.00		4	
		"CARY, Paul (HAN)"	79	37	46.84		42	53.16		79	
		Total	232	1238	71.27		499	28.73		1737	

	Woodville										
			1st Prefs	142	45.66		169	54.34		311	
		"SHAW, Ian (NP)"	31	3	9.68		28	90.32		31	
		"DAVIES, Sharon (DEM)"	12	9	75.00		3	25.00		12	
		"RANKE, Aina (GRN)"	25	20	80.00		5	20.00		25	
		"HENNELLY, Paul (FPY)"	3	2	66.67		1	33.33		3	
		"KING, Tony (CEC)"	3	0	0.00		3	100.00		3	
		"CARY, Paul (HAN)"	22	12	54.55		10	45.45		22	
		Total	96	188	46.19		219	53.81		407	

	Wootton										
			1st Prefs	28	41.18		40	58.82		68	
		"SHAW, Ian (NP)"	18	0	0.00		18	100.00		18	
		"DAVIES, Sharon (DEM)"	5	4	80.00		1	20.00		5	
		"RANKE, Aina (GRN)"	7	7	100.00		0	0.00		7	
		"HENNELLY, Paul (FPY)"	1	1	100.00		0	0.00		1	
		"KING, Tony (CEC)"	2	0	0.00		2	100.00		2	
		"CARY, Paul (HAN)"	10	4	40.00		6	60.00		10	
		Total	43	44	39.64		67	60.36		111	

	Special Hospitals										
			1st Prefs	99	51.03		95	48.97		194	
		"SHAW, Ian (NP)"	8	1	12.50		7	87.50		8	
		"DAVIES, Sharon (DEM)"	5	4	80.00		1	20.00		5	
		"RANKE, Aina (GRN)"	1	1	100.00		0	0.00		1	
		"HENNELLY, Paul (FPY)"	0	0	0.00		0	0.00		0	
		"KING, Tony (CEC)"	0	0	0.00		0	0.00		0	
		"CARY, Paul (HAN)"	4	1	25.00		3	75.00		4	
		Total	18	106	50.00		106	50.00		212	

	Total Ordinary										
			1st Prefs	26426	50.93		25459	49.07		51885	
		"SHAW, Ian (NP)"	4664	562	12.05		4102	87.95		4664	
		"DAVIES, Sharon (DEM)"	1626	1197	73.62		429	26.38		1626	
		"RANKE, Aina (GRN)"	1674	1271	75.93		403	24.07		1674	
		"HENNELLY, Paul (FPY)"	584	346	59.25		238	40.75		584	
		"KING, Tony (CEC)"	288	152	52.78		136	47.22		288	
		"CARY, Paul (HAN)"	3477	1431	41.16		2046	58.84		3477	
		Total	12313	31385	48.89		32813	51.11		64198	

	ABSENT										
			1st Prefs	1557	50.68		1515	49.32		3072	
		"SHAW, Ian (NP)"	197	36	18.27		161	81.73		197	
		"DAVIES, Sharon (DEM)"	163	104	63.80		59	36.20		163	
		"RANKE, Aina (GRN)"	208	142	68.27		66	31.73		208	
		"HENNELLY, Paul (FPY)"	72	43	59.72		29	40.28		72	
		"KING, Tony (CEC)"	27	12	44.44		15	55.56		27	
		"CARY, Paul (HAN)"	220	113	51.36		107	48.64		220	
		Total	887	2007	50.69		1952	49.31		3959	

	POSTAL										
			1st Prefs	1255	45.84		1483	54.16		2738	
		"SHAW, Ian (NP)"	257	20	7.78		237	92.22		257	
		"DAVIES, Sharon (DEM)"	73	53	72.60		20	27.40		73	
		"RANKE, Aina (GRN)"	58	45	77.59		13	22.41		58	
		"HENNELLY, Paul (FPY)"	19	13	68.42		6	31.58		19	
		"KING, Tony (CEC)"	15	10	66.67		5	33.33		15	
		"CARY, Paul (HAN)"	194	86	44.33		108	55.67		194	
		Total	616	1482	44.19		1872	55.81		3354	

	PRE_POLL										
			1st Prefs	1967	47.55		2170	52.45		4137	
		"SHAW, Ian (NP)"	401	48	11.97		353	88.03		401	
		"DAVIES, Sharon (DEM)"	110	61	55.45		49	44.55		110	
		"RANKE, Aina (GRN)"	125	90	72.00		35	28.00		125	
		"HENNELLY, Paul (FPY)"	36	16	44.44		20	55.56		36	
		"KING, Tony (CEC)"	9	5	55.56		4	44.44		9	
		"CARY, Paul (HAN)"	322	127	39.44		195	60.56		322	
		Total	1003	2314	45.02		2826	54.98		5140	

	PROVISIONAL										
			1st Prefs	225	59.37		154	40.63		379	
		"SHAW, Ian (NP)"	25	9	36.00		16	64.00		25	
		"DAVIES, Sharon (DEM)"	7	5	71.43		2	28.57		7	
		"RANKE, Aina (GRN)"	30	18	60.00		12	40.00		30	
		"HENNELLY, Paul (FPY)"	9	6	66.67		3	33.33		9	
		"KING, Tony (CEC)"	0	0	0.00		0	0.00		0	
		"CARY, Paul (HAN)"	20	12	60.00		8	40.00		20	
		Total	91	275	58.51		195	41.49		470	

	Division Summary										
			1st Prefs	31430	50.52		30781	49.48		62211	
		"SHAW, Ian (NP)"	5544	675	12.18		4869	87.82		5544	
		"DAVIES, Sharon (DEM)"	1979	1420	71.75		559	28.25		1979	
		"RANKE, Aina (GRN)"	2095	1566	74.75		529	25.25		2095	
		"HENNELLY, Paul (FPY)"	720	424	58.89		296	41.11		720	
		"KING, Tony (CEC)"	339	179	52.80		160	47.20		339	
		"CARY, Paul (HAN)"	4233	1769	41.79		2464	58.21		4233	
		Total	14910	37463	48.58		39658	51.42		77121	
