House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences																									
By Polling Place																									
																									
Watson																									
				NAM			GRIFFITHS			MCLEAY			POULSEN			FITZSIMMONS			PLOOY			FARRELL			
	FOURTH			11	22.45		18	36.73		16	32.65						Excluded		4	8.16					49
		TOTAL		148	8.82		49	2.92		1264	75.33								217	12.93					1678
	FIFTH				Excluded		86	58.11		53	35.81								9	6.08					148
		TOTAL					135	8.05		1317	78.49								226	13.47					1678
	SIXTH							Excluded		111	82.22								24	17.78					135
		TOTAL								1428	85.10								250	14.90					1678
										Elected															
																									
Mccallums Hill                                                 																									
	FIRST			92	2.74		135	4.01		1773	52.72		14	0.42		95	2.82		1094	32.53		160	4.76		3363
	SECOND			2	14.29		0	0.00		5	35.71			Excluded		3	21.43		4	28.57		0	0.00		14
		TOTAL		94	2.80		135	4.01		1778	52.87					98	2.91		1098	32.65		160	4.76		3363
	THIRD			8	5.00		8	5.00		29	18.13					23	14.38		92	57.50			Excluded		160
		TOTAL		102	3.03		143	4.25		1807	53.73					121	3.60		1190	35.39					3363
	FOURTH			18	14.88		33	27.27		49	40.50						Excluded		21	17.36					121
		TOTAL		120	3.57		176	5.23		1856	55.19								1211	36.01					3363
	FIFTH				Excluded		68	56.67		45	37.50								7	5.83					120
		TOTAL					244	7.26		1901	56.53								1218	36.22					3363
	SIXTH							Excluded		191	78.28								53	21.72					244
		TOTAL								2092	62.21								1271	37.79					3363
										Elected															
																									
Ponyara Road                                                   																									
	FIRST			49	3.80		61	4.73		556	43.10		3	0.23		31	2.40		541	41.94		49	3.80		1290
	SECOND			2	66.67		1	33.33		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		3
		TOTAL		51	3.95		62	4.81		556	43.10					31	2.40		541	41.94		49	3.80		1290
	THIRD			0	0.00		4	8.16		13	26.53					5	10.20		27	55.10			Excluded		49
		TOTAL		51	3.95		66	5.12		569	44.11					36	2.79		568	44.03					1290
	FOURTH			5	13.89		16	44.44		7	19.44						Excluded		8	22.22					36
		TOTAL		56	4.34		82	6.36		576	44.65								576	44.65					1290
	FIFTH				Excluded		26	46.43		28	50.00								2	3.57					56
		TOTAL					108	8.37		604	46.82								578	44.81					1290
	SIXTH							Excluded		75	69.44								33	30.56					108
		TOTAL								679	52.64								611	47.36					1290
										Elected															
																									
Sutton Park                                                    																									
	FIRST			35	2.75		51	4.01		625	49.10		12	0.94		40	3.14		476	37.39		34	2.67		1273
	SECOND			2	16.67		2	16.67		6	50.00			Excluded		1	8.33		1	8.33		0	0.00		12
		TOTAL		37	2.91		53	4.16		631	49.57					41	3.22		477	37.47		34	2.67		1273
	THIRD			3	8.82		5	14.71		6	17.65					4	11.76		16	47.06			Excluded		34
		TOTAL		40	3.14		58	4.56		637	50.04					45	3.53		493	38.73					1273
	FOURTH			11	24.44		16	35.56		12	26.67						Excluded		6	13.33					45
		TOTAL		51	4.01		74	5.81		649	50.98								499	39.20					1273
	FIFTH				Excluded		35	68.63		11	21.57								5	9.80					51
		TOTAL					109	8.56		660	51.85								504	39.59					1273
	SIXTH							Excluded		86	78.90								23	21.10					109
		TOTAL								746	58.60								527	41.40					1273
										Elected															
																									
Sydney (Watson)                                                																									
	FIRST			10	5.41		20	10.81		105	56.76		1	0.54		11	5.95		36	19.46		2	1.08		185
	SECOND			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		11	5.95		20	10.81		105	56.76					11	5.95		36	19.46		2	1.08		185
	THIRD			1	50.00		0	0.00		0	0.00					1	50.00		0	0.00			Excluded		2
		TOTAL		12	6.49		20	10.81		105	56.76					12	6.49		36	19.46					185
	FOURTH			4	33.33		2	16.67		2	16.67						Excluded		4	33.33					12
		TOTAL		16	8.65		22	11.89		107	57.84								40	21.62					185
	FIFTH				Excluded		6	37.50		9	56.25								1	6.25					16
		TOTAL					28	15.14		116	62.70								41	22.16					185
	SIXTH							Excluded		22	78.57								6	21.43					28
		TOTAL								138	74.59								47	25.41					185
										Elected															
																									
Undercliffe                                                    																									
	FIRST			69	4.02		81	4.72		739	43.09		7	0.41		176	10.26		593	34.58		50	2.92		1715
	SECOND			1	14.29		0	0.00		3	42.86			Excluded		3	42.86		0	0.00		0	0.00		7
		TOTAL		70	4.08		81	4.72		742	43.27					179	10.44		593	34.58		50	2.92		1715
	THIRD			7	14.00		1	2.00		6	12.00					9	18.00		27	54.00			Excluded		50
		TOTAL		77	4.49		82	4.78		748	43.62					188	10.96		620	36.15					1715
	FOURTH			30	15.96		113	60.11		26	13.83						Excluded		19	10.11					188
		TOTAL		107	6.24		195	11.37		774	45.13								639	37.26					1715
	FIFTH				Excluded		69	64.49		24	22.43								14	13.08					107
		TOTAL					264	15.39		798	46.53								653	38.08					1715
	SIXTH							Excluded		205	77.65								59	22.35					264
		TOTAL								1003	58.48								712	41.52					1715
										Elected															
																									
Wiley Park East                                                																									
	FIRST			51	5.81		34	3.87		615	70.05		3	0.34		25	2.85		132	15.03		18	2.05		878
	SECOND			0	0.00		0	0.00		2	66.67			Excluded		1	33.33		0	0.00		0	0.00		3
		TOTAL		51	5.81		34	3.87		617	70.27					26	2.96		132	15.03		18	2.05		878
	THIRD			1	5.56		0	0.00		2	11.11					5	27.78		10	55.56			Excluded		18
		TOTAL		52	5.92		34	3.87		619	70.50					31	3.53		142	16.17					878
	FOURTH			4	12.90		14	45.16		9	29.03						Excluded		4	12.90					31
		TOTAL		56	6.38		48	5.47		628	71.53								146	16.63					878
	FIFTH				Excluded		24	42.86		29	51.79								3	5.36					56
		TOTAL					72	8.20		657	74.83								149	16.97					878
	SIXTH							Excluded		64	88.89								8	11.11					72
		TOTAL								721	82.12								157	17.88					878
										Elected															
																									
Wiley Park West (Watson)                                       																									
	FIRST			76	14.02		17	3.14		333	61.44		10	1.85		17	3.14		71	13.10		18	3.32		542
	SECOND			0	0.00		1	10.00		4	40.00			Excluded		4	40.00		1	10.00		0	0.00		10
		TOTAL		76	14.02		18	3.32		337	62.18					21	3.87		72	13.28		18	3.32		542
	THIRD			3	16.67		3	16.67		3	16.67					1	5.56		8	44.44			Excluded		18
		TOTAL		79	14.58		21	3.87		340	62.73					22	4.06		80	14.76					542
	FOURTH			1	4.55		6	27.27		7	31.82						Excluded		8	36.36					22
		TOTAL		80	14.76		27	4.98		347	64.02								88	16.24					542
	FIFTH				Excluded		49	61.25		27	33.75								4	5.00					80
		TOTAL					76	14.02		374	69.00								92	16.97					542
	SIXTH							Excluded		67	88.16								9	11.84					76
		TOTAL								441	81.37								101	18.63					542
										Elected															
																									
Special Hospital Team 1                                        																									
	FIRST			0	0.00		0	0.00		23	38.33		0	0.00		0	0.00		34	56.67		3	5.00		60
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00		23	38.33					0	0.00		34	56.67		3	5.00		60
	THIRD			2	66.67		0	0.00		1	33.33					0	0.00		0	0.00			Excluded		3
		TOTAL		2	3.33		0	0.00		24	40.00					0	0.00		34	56.67					60
	FOURTH			0	0.00		0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		2	3.33		0	0.00		24	40.00								34	56.67					60
	FIFTH				Excluded		2	100.00		0	0.00								0	0.00					2
		TOTAL					2	3.33		24	40.00								34	56.67					60
	SIXTH							Excluded		2	100.00								0	0.00					2
		TOTAL								26	43.33								34	56.67					60
										Elected															
																									
ABSENT																									
	FIRST			250	5.02		282	5.66		2481	49.84		49	0.98		272	5.46		1414	28.40		230	4.62		4978
	SECOND			5	10.20		5	10.20		17	34.69			Excluded		14	28.57		4	8.16		4	8.16		49
		TOTAL		255	5.12		287	5.77		2498	50.18					286	5.75		1418	28.49		234	4.70		4978
	THIRD			19	8.12		19	8.12		56	23.93					47	20.09		93	39.74			Excluded		234
		TOTAL		274	5.50		306	6.15		2554	51.31					333	6.69		1511	30.35					4978
	FOURTH			37	11.11		136	40.84		102	30.63						Excluded		58	17.42					333
		TOTAL		311	6.25		442	8.88		2656	53.35								1569	31.52					4978
	FIFTH				Excluded		158	50.80		117	37.62								36	11.58					311
		TOTAL					600	12.05		2773	55.71								1605	32.24					4978
	SIXTH							Excluded		450	75.00								150	25.00					600
		TOTAL								3223	64.74								1755	35.26					4978
										Elected															
																									
POSTAL																									
	FIRST			62	2.97		72	3.45		944	45.23		7	0.34		32	1.53		859	41.16		111	5.32		2087
	SECOND			1	14.29		0	0.00		4	57.14			Excluded		1	14.29		1	14.29		0	0.00		7
		TOTAL		63	3.02		72	3.45		948	45.42					33	1.58		860	41.21		111	5.32		2087
	THIRD			10	9.01		9	8.11		26	23.42					13	11.71		53	47.75			Excluded		111
		TOTAL		73	3.50		81	3.88		974	46.67					46	2.20		913	43.75					2087
	FOURTH			9	19.57		14	30.43		18	39.13						Excluded		5	10.87					46
		TOTAL		82	3.93		95	4.55		992	47.53								918	43.99					2087
	FIFTH				Excluded		36	43.90		35	42.68								11	13.41					82
		TOTAL					131	6.28		1027	49.21								929	44.51					2087
	SIXTH							Excluded		91	69.47								40	30.53					131
		TOTAL								1118	53.57								969	46.43					2087
										Elected															
																									
PRE POLL																									
	FIRST			161	6.95		125	5.39		1181	50.95		14	0.60		83	3.58		681	29.38		73	3.15		2318
	SECOND			1	7.14		2	14.29		5	35.71			Excluded		5	35.71		1	7.14		0	0.00		14
		TOTAL		162	6.99		127	5.48		1186	51.16					88	3.80		682	29.42		73	3.15		2318
	THIRD			8	10.96		2	2.74		14	19.18					11	15.07		38	52.05			Excluded		73
		TOTAL		170	7.33		129	5.57		1200	51.77					99	4.27		720	31.06					2318
	FOURTH			12	12.12		34	34.34		33	33.33						Excluded		20	20.20					99
		TOTAL		182	7.85		163	7.03		1233	53.19								740	31.92					2318
	FIFTH				Excluded		58	31.87		95	52.20								29	15.93					182
		TOTAL					221	9.53		1328	57.29								769	33.18					2318
	SIXTH							Excluded		172	77.83								49	22.17					221
		TOTAL								1500	64.71								818	35.29					2318
										Elected															
																									
PROVISIONAL																									
	FIRST			43	7.31		22	3.74		385	65.48		6	1.02		18	3.06		105	17.86		9	1.53		588
	SECOND			1	16.67		1	16.67		3	50.00			Excluded		0	0.00		1	16.67		0	0.00		6
		TOTAL		44	7.48		23	3.91		388	65.99					18	3.06		106	18.03		9	1.53		588
	THIRD			0	0.00		0	0.00		3	33.33					2	22.22		4	44.44			Excluded		9
		TOTAL		44	7.48		23	3.91		391	66.50					20	3.40		110	18.71					588
	FOURTH			6	30.00		5	25.00		8	40.00						Excluded		1	5.00					20
		TOTAL		50	8.50		28	4.76		399	67.86								111	18.88					588
	FIFTH				Excluded		34	68.00		14	28.00								2	4.00					50
		TOTAL					62	10.54		413	70.24								113	19.22					588
	SIXTH							Excluded		56	90.32								6	9.68					62
		TOTAL								469	79.76								119	20.24					588
										Elected															
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
