House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Riverina (87399)											
					"ALBISTON, "			"HULL,"			
		"TURNER, Neil (HAN)"	18		8	44.44		10	55.56	18	
		"GRAHAM, Rex (DEM)"	6		2	33.33		4	66.67	6	
		"DANCEY, Russell Francis (CTA)"	26		3	11.54		23	88.46	26	
		"MOORE, Catherine (GRN)"	13		9	69.23		4	30.77	13	
		Total	72		176	38.60		280	61.40	456	

	Parkview										
			1st Prefs		305	37.89		500	62.11	805	
		"RICHTER, Dennis (IND)"	15		9	60.00		6	40.00	15	
		"TURNER, Neil (HAN)"	48		21	43.75		27	56.25	48	
		"GRAHAM, Rex (DEM)"	17		12	70.59		5	29.41	17	
		"DANCEY, Russell Francis (CTA)"	16		3	18.75		13	81.25	16	
		"MOORE, Catherine (GRN)"	11		9	81.82		2	18.18	11	
		Total	107		359	39.36		553	60.64	912	

	Rankins Springs										
			1st Prefs		29	24.79		88	75.21	117	
		"RICHTER, Dennis (IND)"	1		0	0.00		1	100.00	1	
		"TURNER, Neil (HAN)"	18		5	27.78		13	72.22	18	
		"GRAHAM, Rex (DEM)"	0		0	0.00		0	0.00	0	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	0		0	0.00		0	0.00	0	
		Total	19		34	25.00		102	75.00	136	

	San Isidore										
			1st Prefs		44	29.93		103	70.07	147	
		"RICHTER, Dennis (IND)"	4		2	50.00		2	50.00	4	
		"TURNER, Neil (HAN)"	15		4	26.67		11	73.33	15	
		"GRAHAM, Rex (DEM)"	17		8	47.06		9	52.94	17	
		"DANCEY, Russell Francis (CTA)"	19		4	21.05		15	78.95	19	
		"MOORE, Catherine (GRN)"	5		2	40.00		3	60.00	5	
		Total	60		64	30.92		143	69.08	207	

	Stockinbingal										
			1st Prefs		74	30.33		170	69.67	244	
		"RICHTER, Dennis (IND)"	8		6	75.00		2	25.00	8	
		"TURNER, Neil (HAN)"	31		7	22.58		24	77.42	31	
		"GRAHAM, Rex (DEM)"	6		5	83.33		1	16.67	6	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	2		1	50.00		1	50.00	2	
		Total	47		93	31.96		198	68.04	291	

	Sturt										
			1st Prefs		429	22.02		1519	77.98	1948	
		"RICHTER, Dennis (IND)"	41		19	46.34		22	53.66	41	
		"TURNER, Neil (HAN)"	87		32	36.78		55	63.22	87	
		"GRAHAM, Rex (DEM)"	81		43	53.09		38	46.91	81	
		"DANCEY, Russell Francis (CTA)"	71		8	11.27		63	88.73	71	
		"MOORE, Catherine (GRN)"	61		36	59.02		25	40.98	61	
		Total	341		567	24.77		1722	75.23	2289	

	Sydney (Riverina)										
			1st Prefs		3	10.71		25	89.29	28	
		"RICHTER, Dennis (IND)"	3		0	0.00		3	100.00	3	
		"TURNER, Neil (HAN)"	0		0	0.00		0	0.00	0	
		"GRAHAM, Rex (DEM)"	1		0	0.00		1	100.00	1	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	4		3	75.00		1	25.00	4	
		Total	8		6	16.67		30	83.33	36	

	Tarcutta										
			1st Prefs		45	14.29		270	85.71	315	
		"RICHTER, Dennis (IND)"	7		1	14.29		6	85.71	7	
		"TURNER, Neil (HAN)"	18		7	38.89		11	61.11	18	
		"GRAHAM, Rex (DEM)"	4		2	50.00		2	50.00	4	
		"DANCEY, Russell Francis (CTA)"	1		0	0.00		1	100.00	1	
		"MOORE, Catherine (GRN)"	4		1	25.00		3	75.00	4	
		Total	34		56	16.05		293	83.95	349	

	Tatton										
			1st Prefs		132	21.05		495	78.95	627	
		"RICHTER, Dennis (IND)"	12		6	50.00		6	50.00	12	
		"TURNER, Neil (HAN)"	12		4	33.33		8	66.67	12	
		"GRAHAM, Rex (DEM)"	19		9	47.37		10	52.63	19	
		"DANCEY, Russell Francis (CTA)"	22		1	4.55		21	95.45	22	
		"MOORE, Catherine (GRN)"	9		5	55.56		4	44.44	9	
		Total	74		157	22.40		544	77.60	701	

	Temora										
			1st Prefs		567	26.34		1586	73.66	2153	
		"RICHTER, Dennis (IND)"	69		37	53.62		32	46.38	69	
		"TURNER, Neil (HAN)"	141		55	39.01		86	60.99	141	
		"GRAHAM, Rex (DEM)"	38		16	42.11		22	57.89	38	
		"DANCEY, Russell Francis (CTA)"	71		19	26.76		52	73.24	71	
		"MOORE, Catherine (GRN)"	47		23	48.94		24	51.06	47	
		Total	366		717	28.46		1802	71.54	2519	

	Temora West										
			1st Prefs		135	24.15		424	75.85	559	
		"RICHTER, Dennis (IND)"	16		4	25.00		12	75.00	16	
		"TURNER, Neil (HAN)"	37		13	35.14		24	64.86	37	
		"GRAHAM, Rex (DEM)"	2		1	50.00		1	50.00	2	
		"DANCEY, Russell Francis (CTA)"	8		1	12.50		7	87.50	8	
		"MOORE, Catherine (GRN)"	10		4	40.00		6	60.00	10	
		Total	73		158	25.00		474	75.00	632	

	Tharbogang										
			1st Prefs		79	31.60		171	68.40	250	
		"RICHTER, Dennis (IND)"	7		4	57.14		3	42.86	7	
		"TURNER, Neil (HAN)"	15		5	33.33		10	66.67	15	
		"GRAHAM, Rex (DEM)"	3		1	33.33		2	66.67	3	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	2		1	50.00		1	50.00	2	
		Total	27		90	32.49		187	67.51	277	

	Tolland										
			1st Prefs		386	31.51		839	68.49	1225	
		"RICHTER, Dennis (IND)"	48		19	39.58		29	60.42	48	
		"TURNER, Neil (HAN)"	77		35	45.45		42	54.55	77	
		"GRAHAM, Rex (DEM)"	46		24	52.17		22	47.83	46	
		"DANCEY, Russell Francis (CTA)"	27		2	7.41		25	92.59	27	
		"MOORE, Catherine (GRN)"	25		12	48.00		13	52.00	25	
		Total	223		478	33.01		970	66.99	1448	

	Tumblong										
			1st Prefs		14	12.50		98	87.50	112	
		"RICHTER, Dennis (IND)"	3		2	66.67		1	33.33	3	
		"TURNER, Neil (HAN)"	7		1	14.29		6	85.71	7	
		"GRAHAM, Rex (DEM)"	0		0	0.00		0	0.00	0	
		"DANCEY, Russell Francis (CTA)"	2		0	0.00		2	100.00	2	
		"MOORE, Catherine (GRN)"	8		6	75.00		2	25.00	8	
		Total	20		23	17.42		109	82.58	132	

	Turvey Park										
			1st Prefs		395	25.78		1137	74.22	1532	
		"RICHTER, Dennis (IND)"	33		19	57.58		14	42.42	33	
		"TURNER, Neil (HAN)"	97		23	23.71		74	76.29	97	
		"GRAHAM, Rex (DEM)"	67		36	53.73		31	46.27	67	
		"DANCEY, Russell Francis (CTA)"	46		6	13.04		40	86.96	46	
		"MOORE, Catherine (GRN)"	71		43	60.56		28	39.44	71	
		Total	314		522	28.28		1324	71.72	1846	

	Uranquinty										
			1st Prefs		84	23.66		271	76.34	355	
		"RICHTER, Dennis (IND)"	12		8	66.67		4	33.33	12	
		"TURNER, Neil (HAN)"	58		17	29.31		41	70.69	58	
		"GRAHAM, Rex (DEM)"	7		4	57.14		3	42.86	7	
		"DANCEY, Russell Francis (CTA)"	8		0	0.00		8	100.00	8	
		"MOORE, Catherine (GRN)"	10		7	70.00		3	30.00	10	
		Total	95		120	26.67		330	73.33	450	

	Wagga Wagga										
			1st Prefs		394	28.04		1011	71.96	1405	
		"RICHTER, Dennis (IND)"	49		26	53.06		23	46.94	49	
		"TURNER, Neil (HAN)"	79		25	31.65		54	68.35	79	
		"GRAHAM, Rex (DEM)"	97		47	48.45		50	51.55	97	
		"DANCEY, Russell Francis (CTA)"	39		7	17.95		32	82.05	39	
		"MOORE, Catherine (GRN)"	106		62	58.49		44	41.51	106	
		Total	370		561	31.61		1214	68.39	1775	

	Wagga Wagga High										
			1st Prefs		121	24.10		381	75.90	502	
		"RICHTER, Dennis (IND)"	20		6	30.00		14	70.00	20	
		"TURNER, Neil (HAN)"	18		6	33.33		12	66.67	18	
		"GRAHAM, Rex (DEM)"	39		26	66.67		13	33.33	39	
		"DANCEY, Russell Francis (CTA)"	18		2	11.11		16	88.89	18	
		"MOORE, Catherine (GRN)"	34		23	67.65		11	32.35	34	
		Total	129		184	29.16		447	70.84	631	

	Wagga Wagga Hospital										
			1st Prefs		49	27.68		128	72.32	177	
		"RICHTER, Dennis (IND)"	10		9	90.00		1	10.00	10	
		"TURNER, Neil (HAN)"	17		6	35.29		11	64.71	17	
		"GRAHAM, Rex (DEM)"	12		2	16.67		10	83.33	12	
		"DANCEY, Russell Francis (CTA)"	7		0	0.00		7	100.00	7	
		"MOORE, Catherine (GRN)"	8		4	50.00		4	50.00	8	
		Total	54		70	30.30		161	69.70	231	

	Wagga Wagga North										
			1st Prefs		290	22.75		985	77.25	1275	
		"RICHTER, Dennis (IND)"	28		16	57.14		12	42.86	28	
		"TURNER, Neil (HAN)"	106		41	38.68		65	61.32	106	
		"GRAHAM, Rex (DEM)"	32		17	53.13		15	46.88	32	
		"DANCEY, Russell Francis (CTA)"	38		4	10.53		34	89.47	38	
		"MOORE, Catherine (GRN)"	55		35	63.64		20	36.36	55	
		Total	259		403	26.27		1131	73.73	1534	

	Wagga Wagga South										
			1st Prefs		330	28.06		846	71.94	1176	
		"RICHTER, Dennis (IND)"	32		16	50.00		16	50.00	32	
		"TURNER, Neil (HAN)"	58		31	53.45		27	46.55	58	
		"GRAHAM, Rex (DEM)"	106		60	56.60		46	43.40	106	
		"DANCEY, Russell Francis (CTA)"	35		6	17.14		29	82.86	35	
		"MOORE, Catherine (GRN)"	90		54	60.00		36	40.00	90	
		Total	321		497	33.20		1000	66.80	1497	

	Wagga Wagga West										
			1st Prefs		478	29.06		1167	70.94	1645	
		"RICHTER, Dennis (IND)"	42		27	64.29		15	35.71	42	
		"TURNER, Neil (HAN)"	97		41	42.27		56	57.73	97	
		"GRAHAM, Rex (DEM)"	56		30	53.57		26	46.43	56	
		"DANCEY, Russell Francis (CTA)"	36		8	22.22		28	77.78	36	
		"MOORE, Catherine (GRN)"	68		43	63.24		25	36.76	68	
		Total	299		627	32.25		1317	67.75	1944	

	Wallendbeen										
			1st Prefs		53	37.86		87	62.14	140	
		"RICHTER, Dennis (IND)"	1		1	100.00		0	0.00	1	
		"TURNER, Neil (HAN)"	18		7	38.89		11	61.11	18	
		"GRAHAM, Rex (DEM)"	2		1	50.00		1	50.00	2	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	6		5	83.33		1	16.67	6	
		Total	27		67	40.12		100	59.88	167	

	Wamoon										
			1st Prefs		54	26.87		147	73.13	201	
		"RICHTER, Dennis (IND)"	6		3	50.00		3	50.00	6	
		"TURNER, Neil (HAN)"	18		8	44.44		10	55.56	18	
		"GRAHAM, Rex (DEM)"	3		1	33.33		2	66.67	3	
		"DANCEY, Russell Francis (CTA)"	1		0	0.00		1	100.00	1	
		"MOORE, Catherine (GRN)"	3		1	33.33		2	66.67	3	
		Total	31		67	28.88		165	71.12	232	

	Wantabadgery										
			1st Prefs		11	11.58		84	88.42	95	
		"RICHTER, Dennis (IND)"	0		0	0.00		0	0.00	0	
		"TURNER, Neil (HAN)"	5		2	40.00		3	60.00	5	
		"GRAHAM, Rex (DEM)"	0		0	0.00		0	0.00	0	
		"DANCEY, Russell Francis (CTA)"	0		0	0.00		0	0.00	0	
		"MOORE, Catherine (GRN)"	1		0	0.00		1	100.00	1	
		Total	6		13	12.87		88	87.13	101	

	Whitton										
			1st Prefs		94	27.41		249	72.59	343	
		"RICHTER, Dennis (IND)"	10		6	60.00		4	40.00	10	
		"TURNER, Neil (HAN)"	33		7	21.21		26	78.79	33	
		"GRAHAM, Rex (DEM)"	2		0	0.00		2	100.00	2	
		"DANCEY, Russell Francis (CTA)"	2		0	0.00		2	100.00	2	
		"MOORE, Catherine (GRN)"	5		3	60.00		2	40.00	5	
		Total	52		110	27.85		285	72.15	395	

	Yanco										
			1st Prefs		191	35.90		341	64.10	532	
		"RICHTER, Dennis (IND)"	17		10	58.82		7	41.18	17	
		"TURNER, Neil (HAN)"	58		17	29.31		41	70.69	58	
		"GRAHAM, Rex (DEM)"	8		4	50.00		4	50.00	8	
		"DANCEY, Russell Francis (CTA)"	20		5	25.00		15	75.00	20	
		"MOORE, Catherine (GRN)"	12		8	66.67		4	33.33	12	
		Total	115		235	36.32		412	63.68	647	

	Yenda										
			1st Prefs		203	25.70		587	74.30	790	
		"RICHTER, Dennis (IND)"	11		7	63.64		4	36.36	11	
		"TURNER, Neil (HAN)"	60		26	43.33		34	56.67	60	
		"GRAHAM, Rex (DEM)"	11		6	54.55		5	45.45	11	
		"DANCEY, Russell Francis (CTA)"	5		3	60.00		2	40.00	5	
		"MOORE, Catherine (GRN)"	17		7	41.18		10	58.82	17	
		Total	104		252	28.19		642	71.81	894	

	Yoogali										
			1st Prefs		164	28.03		421	71.97	585	
		"RICHTER, Dennis (IND)"	11		4	36.36		7	63.64	11	
		"TURNER, Neil (HAN)"	16		4	25.00		12	75.00	16	
		"GRAHAM, Rex (DEM)"	5		1	20.00		4	80.00	5	
		"DANCEY, Russell Francis (CTA)"	4		0	0.00		4	100.00	4	
		"MOORE, Catherine (GRN)"	9		5	55.56		4	44.44	9	
		Total	45		178	28.25		452	71.75	630	

	Special Hospitals										
			1st Prefs		153	33.26		307	66.74	460	
		"RICHTER, Dennis (IND)"	10		4	40.00		6	60.00	10	
		"TURNER, Neil (HAN)"	2		1	50.00		1	50.00	2	
		"GRAHAM, Rex (DEM)"	6		1	16.67		5	83.33	6	
		"DANCEY, Russell Francis (CTA)"	8		3	37.50		5	62.50	8	
		"MOORE, Catherine (GRN)"	2		1	50.00		1	50.00	2	
		Total	28		163	33.40		325	66.60	488	

	Total Ordinary										
			1st Prefs		16773	28.63		41818	71.37	58591	
		"RICHTER, Dennis (IND)"	1543		824	53.40		719	46.60	1543	
		"TURNER, Neil (HAN)"	3831		1312	34.25		2519	65.75	3831	
		"GRAHAM, Rex (DEM)"	1604		835	52.06		769	47.94	1604	
		"DANCEY, Russell Francis (CTA)"	1190		205	17.23		985	82.77	1190	
		"MOORE, Catherine (GRN)"	1585		886	55.90		699	44.10	1585	
		Total	9753		20835	30.49		47509	69.51	68344	

	ABSENT										
			1st Prefs		753	25.59		2190	74.41	2943	
		"RICHTER, Dennis (IND)"	125		77	61.60		48	38.40	125	
		"TURNER, Neil (HAN)"	213		92	43.19		121	56.81	213	
		"GRAHAM, Rex (DEM)"	169		84	49.70		85	50.30	169	
		"DANCEY, Russell Francis (CTA)"	71		17	23.94		54	76.06	71	
		"MOORE, Catherine (GRN)"	172		85	49.42		87	50.58	172	
		Total	750		1108	30.00		2585	70.00	3693	

	POSTAL										
			1st Prefs		514	24.95		1546	75.05	2060	
		"RICHTER, Dennis (IND)"	24		11	45.83		13	54.17	24	
		"TURNER, Neil (HAN)"	124		38	30.65		86	69.35	124	
		"GRAHAM, Rex (DEM)"	60		26	43.33		34	56.67	60	
		"DANCEY, Russell Francis (CTA)"	29		2	6.90		27	93.10	29	
		"MOORE, Catherine (GRN)"	35		22	62.86		13	37.14	35	
		Total	272		613	26.29		1719	73.71	2332	

	PRE_POLL										
			1st Prefs		1049	23.22		3468	76.78	4517	
		"RICHTER, Dennis (IND)"	125		76	60.80		49	39.20	125	
		"TURNER, Neil (HAN)"	267		85	31.84		182	68.16	267	
		"GRAHAM, Rex (DEM)"	172		87	50.58		85	49.42	172	
		"DANCEY, Russell Francis (CTA)"	73		16	21.92		57	78.08	73	
		"MOORE, Catherine (GRN)"	140		67	47.86		73	52.14	140	
		Total	777		1380	26.07		3914	73.93	5294	

	PROVISIONAL										
			1st Prefs		196	35.96		349	64.04	545	
		"RICHTER, Dennis (IND)"	22		17	77.27		5	22.73	22	
		"TURNER, Neil (HAN)"	61		32	52.46		29	47.54	61	
		"GRAHAM, Rex (DEM)"	26		16	61.54		10	38.46	26	
		"DANCEY, Russell Francis (CTA)"	8		0	0.00		8	100.00	8	
		"MOORE, Catherine (GRN)"	22		12	54.55		10	45.45	22	
		Total	139		273	39.91		411	60.09	684	

	Division Summary										
			1st Prefs		19285	28.09		49371	71.91	68656	
		"RICHTER, Dennis (IND)"	1839		1005	54.65		834	45.35	1839	
		"TURNER, Neil (HAN)"	4496		1559	34.68		2937	65.32	4496	
		"GRAHAM, Rex (DEM)"	2031		1048	51.60		983	48.40	2031	
		"DANCEY, Russell Francis (CTA)"	1371		240	17.51		1131	82.49	1371	
		"MOORE, Catherine (GRN)"	1954		1072	54.86		882	45.14	1954	
		Total	11691		24209	30.13		56138	69.87	80347	
