House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Greenway																													
				BAWDEN			SHERWOOD			PETTITT			MOSSFIELD			VLATKO			FRANCIS			TANDA			HOLDER				
	THIRD			6	22.22			Excluded		3	11.11		6	22.22		5	18.52		4	14.81					3	11.11		27	
		TOTAL		123	8.17					58	3.85		801	53.22		40	2.66		49	3.26					434	28.84		1505	
	FOURTH			8	20.00					2	5.00		12	30.00			Excluded		15	37.50					3	7.50		40	
		TOTAL		131	8.70					60	3.99		813	54.02					64	4.25					437	29.04		1505	
	FIFTH			6	9.38					9	14.06		36	56.25						Excluded					13	20.31		64	
		TOTAL		137	9.10					69	4.58		849	56.41											450	29.90		1505	
	SIXTH				Excluded					40	29.20		27	19.71											70	51.09		137	
		TOTAL								109	7.24		876	58.21											520	34.55		1505	
	SEVENTH										Excluded		70	64.22											39	35.78		109	
		TOTAL											946	62.86											559	37.14		1505	
													Elected																
																													
Prospect                                                       																													
	FIRST			28	10.69		6	2.29		12	4.58		114	43.51		9	3.44		11	4.20		3	1.15		79	30.15		262	
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33		1	33.33		0	0.00			Excluded		0	0.00		3	
		TOTAL		28	10.69		6	2.29		13	4.96		115	43.89		10	3.82		11	4.20					79	30.15		262	
	THIRD			1	16.67			Excluded		3	50.00		1	16.67		0	0.00		0	0.00					1	16.67		6	
		TOTAL		29	11.07					16	6.11		116	44.27		10	3.82		11	4.20					80	30.53		262	
	FOURTH			2	20.00					0	0.00		5	50.00			Excluded		3	30.00					0	0.00		10	
		TOTAL		31	11.83					16	6.11		121	46.18					14	5.34					80	30.53		262	
	FIFTH			2	14.29					1	7.14		8	57.14						Excluded					3	21.43		14	
		TOTAL		33	12.60					17	6.49		129	49.24											83	31.68		262	
	SIXTH				Excluded					4	12.12		10	30.30											19	57.58		33	
		TOTAL								21	8.02		139	53.05											102	38.93		262	
	SEVENTH										Excluded		13	61.90											8	38.10		21	
		TOTAL											152	58.02											110	41.98		262	
													Elected																
																													
Quakers Hill                                                   																													
	FIRST			128	5.53		38	1.64		114	4.92		1185	51.17		62	2.68		98	4.23		17	0.73		674	29.10		2316	
	SECOND			0	0.00		1	5.88		2	11.76		5	29.41		1	5.88		3	17.65			Excluded		5	29.41		17	
		TOTAL		128	5.53		39	1.68		116	5.01		1190	51.38		63	2.72		101	4.36					679	29.32		2316	
	THIRD			5	12.82			Excluded		11	28.21		10	25.64		1	2.56		5	12.82					7	17.95		39	
		TOTAL		133	5.74					127	5.48		1200	51.81		64	2.76		106	4.58					686	29.62		2316	
	FOURTH			3	4.69					7	10.94		32	50.00			Excluded		15	23.44					7	10.94		64	
		TOTAL		136	5.87					134	5.79		1232	53.20					121	5.22					693	29.92		2316	
	FIFTH			14	11.57					9	7.44		64	52.89						Excluded					34	28.10		121	
		TOTAL		150	6.48					143	6.17		1296	55.96											727	31.39		2316	
	SIXTH				Excluded					52	34.67		30	20.00											68	45.33		150	
		TOTAL								195	8.42		1326	57.25											795	34.33		2316	
	SEVENTH										Excluded		106	54.36											89	45.64		195	
		TOTAL											1432	61.83											884	38.17		2316	
													Elected																
																													
Quakers Hill East                                              																													
	FIRST			167	5.20		47	1.46		163	5.07		1259	39.20		60	1.87		156	4.86		23	0.72		1337	41.63		3212	
	SECOND			2	8.70		2	8.70		0	0.00		8	34.78		3	13.04		5	21.74			Excluded		3	13.04		23	
		TOTAL		169	5.26		49	1.53		163	5.07		1267	39.45		63	1.96		161	5.01					1340	41.72		3212	
	THIRD			4	8.16			Excluded		19	38.78		13	26.53		2	4.08		3	6.12					8	16.33		49	
		TOTAL		173	5.39					182	5.67		1280	39.85		65	2.02		164	5.11					1348	41.97		3212	
	FOURTH			5	7.69					5	7.69		34	52.31			Excluded		16	24.62					5	7.69		65	
		TOTAL		178	5.54					187	5.82		1314	40.91					180	5.60					1353	42.12		3212	
	FIFTH			12	6.67					8	4.44		91	50.56						Excluded					69	38.33		180	
		TOTAL		190	5.92					195	6.07		1405	43.74											1422	44.27		3212	
	SIXTH				Excluded					44	23.16		37	19.47											109	57.37		190	
		TOTAL								239	7.44		1442	44.89											1531	47.67		3212	
	SEVENTH										Excluded		111	46.44											128	53.56		239	
		TOTAL											1553	48.35											1659	51.65		3212	
													Elected																
																													
Quakers Hill North                                             																													
	FIRST			146	5.26		45	1.62		91	3.28		1020	36.76		57	2.05		155	5.59		27	0.97		1234	44.47		2775	
	SECOND			0	0.00		0	0.00		1	3.70		9	33.33		3	11.11		8	29.63			Excluded		6	22.22		27	
		TOTAL		146	5.26		45	1.62		92	3.32		1029	37.08		60	2.16		163	5.87					1240	44.68		2775	
	THIRD			4	8.89			Excluded		15	33.33		10	22.22		5	11.11		1	2.22					10	22.22		45	
		TOTAL		150	5.41					107	3.86		1039	37.44		65	2.34		164	5.91					1250	45.05		2775	
	FOURTH			4	6.15					7	10.77		27	41.54			Excluded		17	26.15					10	15.38		65	
		TOTAL		154	5.55					114	4.11		1066	38.41					181	6.52					1260	45.41		2775	
	FIFTH			13	7.18					8	4.42		90	49.72						Excluded					70	38.67		181	
		TOTAL		167	6.02					122	4.40		1156	41.66											1330	47.93		2775	
	SIXTH				Excluded					35	20.96		42	25.15											90	53.89		167	
		TOTAL								157	5.66		1198	43.17											1420	51.17		2775	
	SEVENTH										Excluded		82	52.23											75	47.77		157	
		TOTAL											1280	46.13											1495	53.87		2775	
													Elected																
																													
Quakers Hill West                                              																													
	FIRST			17	7.52		4	1.77		9	3.98		119	52.65		6	2.65		10	4.42		3	1.33		58	25.66		226	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		17	7.52		4	1.77		9	3.98		120	53.10		6	2.65		11	4.87					59	26.11		226	
	THIRD			0	0.00			Excluded		3	75.00		1	25.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL		17	7.52					12	5.31		121	53.54		6	2.65		11	4.87					59	26.11		226	
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded		5	83.33					1	16.67		6	
		TOTAL		17	7.52					12	5.31		121	53.54					16	7.08					60	26.55		226	
	FIFTH			2	12.50					0	0.00		10	62.50						Excluded					4	25.00		16	
		TOTAL		19	8.41					12	5.31		131	57.96											64	28.32		226	
	SIXTH				Excluded					4	21.05		7	36.84											8	42.11		19	
		TOTAL								16	7.08		138	61.06											72	31.86		226	
	SEVENTH										Excluded		11	68.75											5	31.25		16	
		TOTAL											149	65.93											77	34.07		226	
													Elected																
																													
Riverstone                                                     																													
	FIRST			76	5.03		21	1.39		145	9.60		645	42.69		34	2.25		30	1.99		6	0.40		554	36.66		1511	
	SECOND			0	0.00		1	16.67		1	16.67		1	16.67		2	33.33		1	16.67			Excluded		0	0.00		6	
		TOTAL		76	5.03		22	1.46		146	9.66		646	42.75		36	2.38		31	2.05					554	36.66		1511	
	THIRD			3	13.64			Excluded		8	36.36		3	13.64		4	18.18		1	4.55					3	13.64		22	
		TOTAL		79	5.23					154	10.19		649	42.95		40	2.65		32	2.12					557	36.86		1511	
	FOURTH			2	5.00					5	12.50		10	25.00			Excluded		18	45.00					5	12.50		40	
		TOTAL		81	5.36					159	10.52		659	43.61					50	3.31					562	37.19		1511	
	FIFTH			11	22.00					2	4.00		24	48.00						Excluded					13	26.00		50	
		TOTAL		92	6.09					161	10.66		683	45.20											575	38.05		1511	
	SIXTH				Excluded					40	43.48		9	9.78											43	46.74		92	
		TOTAL								201	13.30		692	45.80											618	40.90		1511	
	SEVENTH										Excluded		92	45.77											109	54.23		201	
		TOTAL											784	51.89											727	48.11		1511	
													Elected																
																													
Riverstone East                                                																													
	FIRST			117	7.43		43	2.73		134	8.51		543	34.48		48	3.05		46	2.92		5	0.32		639	40.57		1575	
	SECOND			0	0.00		2	40.00		1	20.00		0	0.00		2	40.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		117	7.43		45	2.86		135	8.57		543	34.48		50	3.17		46	2.92					639	40.57		1575	
	THIRD			5	11.11			Excluded		23	51.11		4	8.89		6	13.33		1	2.22					6	13.33		45	
		TOTAL		122	7.75					158	10.03		547	34.73		56	3.56		47	2.98					645	40.95		1575	
	FOURTH			3	5.36					6	10.71		15	26.79			Excluded		22	39.29					10	17.86		56	
		TOTAL		125	7.94					164	10.41		562	35.68					69	4.38					655	41.59		1575	
	FIFTH			7	10.14					6	8.70		28	40.58						Excluded					28	40.58		69	
		TOTAL		132	8.38					170	10.79		590	37.46											683	43.37		1575	
	SIXTH				Excluded					40	30.30		15	11.36											77	58.33		132	
		TOTAL								210	13.33		605	38.41											760	48.25		1575	
	SEVENTH										Excluded		102	48.57											108	51.43		210	
		TOTAL											707	44.89											868	55.11		1575	
													Elected																
																													
Schofields                                                     																													
	FIRST			105	7.03		33	2.21		128	8.57		507	33.94		40	2.68		40	2.68		9	0.60		632	42.30		1494	
	SECOND			0	0.00		1	11.11		0	0.00		1	11.11		3	33.33		0	0.00			Excluded		4	44.44		9	
		TOTAL		105	7.03		34	2.28		128	8.57		508	34.00		43	2.88		40	2.68					636	42.57		1494	
	THIRD			3	8.82			Excluded		14	41.18		11	32.35		3	8.82		1	2.94					2	5.88		34	
		TOTAL		108	7.23					142	9.50		519	34.74		46	3.08		41	2.74					638	42.70		1494	
	FOURTH			3	6.52					6	13.04		12	26.09			Excluded		20	43.48					5	10.87		46	
		TOTAL		111	7.43					148	9.91		531	35.54					61	4.08					643	43.04		1494	
	FIFTH			4	6.56					5	8.20		32	52.46						Excluded					20	32.79		61	
		TOTAL		115	7.70					153	10.24		563	37.68											663	44.38		1494	
	SIXTH				Excluded					45	39.13		13	11.30											57	49.57		115	
		TOTAL								198	13.25		576	38.55											720	48.19		1494	
	SEVENTH										Excluded		88	44.44											110	55.56		198	
		TOTAL											664	44.44											830	55.56		1494	
													Elected																
																													
Seven Hills                                                    																													
	FIRST			101	6.00		38	2.26		126	7.49		826	49.08		47	2.79		48	2.85		17	1.01		480	28.52		1683	
	SECOND			0	0.00		1	5.88		0	0.00		7	41.18		4	23.53		4	23.53			Excluded		1	5.88		17	
		TOTAL		101	6.00		39	2.32		126	7.49		833	49.49		51	3.03		52	3.09					481	28.58		1683	
	THIRD			5	12.82			Excluded		14	35.90		8	20.51		3	7.69		1	2.56					8	20.51		39	
		TOTAL		106	6.30					140	8.32		841	49.97		54	3.21		53	3.15					489	29.06		1683	
	FOURTH			4	7.41					5	9.26		16	29.63			Excluded		26	48.15					3	5.56		54	
		TOTAL		110	6.54					145	8.62		857	50.92					79	4.69					492	29.23		1683	
	FIFTH			8	10.13					9	11.39		41	51.90						Excluded					21	26.58		79	
		TOTAL		118	7.01					154	9.15		898	53.36											513	30.48		1683	
	SIXTH				Excluded					45	38.14		24	20.34											49	41.53		118	
		TOTAL								199	11.82		922	54.78											562	33.39		1683	
	SEVENTH										Excluded		92	46.23											107	53.77		199	
		TOTAL											1014	60.25											669	39.75		1683	
													Elected																
																													
Seven Hills High                                               																													
	FIRST			94	5.92		43	2.71		99	6.23		590	37.15		48	3.02		77	4.85		12	0.76		625	39.36		1588	
	SECOND			1	8.33		0	0.00		2	16.67		4	33.33		3	25.00		1	8.33			Excluded		1	8.33		12	
		TOTAL		95	5.98		43	2.71		101	6.36		594	37.41		51	3.21		78	4.91					626	39.42		1588	
	THIRD			6	13.95			Excluded		13	30.23		11	25.58		3	6.98		4	9.30					6	13.95		43	
		TOTAL		101	6.36					114	7.18		605	38.10		54	3.40		82	5.16					632	39.80		1588	
	FOURTH			4	7.41					6	11.11		20	37.04			Excluded		21	38.89					3	5.56		54	
		TOTAL		105	6.61					120	7.56		625	39.36					103	6.49					635	39.99		1588	
	FIFTH			8	7.77					2	1.94		64	62.14						Excluded					29	28.16		103	
		TOTAL		113	7.12					122	7.68		689	43.39											664	41.81		1588	
	SIXTH				Excluded					24	21.24		24	21.24											65	57.52		113	
		TOTAL								146	9.19		713	44.90											729	45.91		1588	
	SEVENTH										Excluded		86	58.90											60	41.10		146	
		TOTAL											799	50.31											789	49.69		1588	
													Elected																
																													
Seven Hills North                                              																													
	FIRST			103	5.98		28	1.63		50	2.90		549	31.86		55	3.19		59	3.42		10	0.58		869	50.44		1723	
	SECOND			1	10.00		0	0.00		1	10.00		3	30.00		2	20.00		1	10.00			Excluded		2	20.00		10	
		TOTAL		104	6.04		28	1.63		51	2.96		552	32.04		57	3.31		60	3.48					871	50.55		1723	
	THIRD			2	7.14			Excluded		9	32.14		7	25.00		7	25.00		0	0.00					3	10.71		28	
		TOTAL		106	6.15					60	3.48		559	32.44		64	3.71		60	3.48					874	50.73		1723	
	FOURTH			3	4.69					6	9.38		10	15.63			Excluded		28	43.75					17	26.56		64	
		TOTAL		109	6.33					66	3.83		569	33.02					88	5.11					891	51.71		1723	
	FIFTH			15	17.05					2	2.27		49	55.68						Excluded					22	25.00		88	
		TOTAL		124	7.20					68	3.95		618	35.87											913	52.99		1723	
	SIXTH				Excluded					24	19.35		27	21.77											73	58.87		124	
		TOTAL								92	5.34		645	37.43											986	57.23		1723	
	SEVENTH										Excluded		49	53.26											43	46.74		92	
		TOTAL											694	40.28											1029	59.72		1723	
													Elected																
																													
Seven Hills West                                               																													
	FIRST			78	4.28		41	2.25		116	6.37		961	52.77		35	1.92		63	3.46		16	0.88		511	28.06		1821	
	SECOND			3	18.75		1	6.25		0	0.00		3	18.75		1	6.25		4	25.00			Excluded		4	25.00		16	
		TOTAL		81	4.45		42	2.31		116	6.37		964	52.94		36	1.98		67	3.68					515	28.28		1821	
	THIRD			5	11.90			Excluded		18	42.86		4	9.52		6	14.29		0	0.00					9	21.43		42	
		TOTAL		86	4.72					134	7.36		968	53.16		42	2.31		67	3.68					524	28.78		1821	
	FOURTH			2	4.76					3	7.14		21	50.00			Excluded		12	28.57					4	9.52		42	
		TOTAL		88	4.83					137	7.52		989	54.31					79	4.34					528	29.00		1821	
	FIFTH			6	7.59					10	12.66		52	65.82						Excluded					11	13.92		79	
		TOTAL		94	5.16					147	8.07		1041	57.17											539	29.60		1821	
	SIXTH				Excluded					35	37.23		18	19.15											41	43.62		94	
		TOTAL								182	9.99		1059	58.15											580	31.85		1821	
	SEVENTH										Excluded		96	52.75											86	47.25		182	
		TOTAL											1155	63.43											666	36.57		1821	
													Elected																
																													
St Michael's                                                   																													
	FIRST			97	7.78		11	0.88		54	4.33		631	50.64		34	2.73		38	3.05		14	1.12		367	29.45		1246	
	SECOND			1	7.14		1	7.14		0	0.00		2	14.29		3	21.43		3	21.43			Excluded		4	28.57		14	
		TOTAL		98	7.87		12	0.96		54	4.33		633	50.80		37	2.97		41	3.29					371	29.78		1246	
	THIRD			5	41.67			Excluded		3	25.00		1	8.33		1	8.33		0	0.00					2	16.67		12	
		TOTAL		103	8.27					57	4.57		634	50.88		38	3.05		41	3.29					373	29.94		1246	
	FOURTH			3	7.89					5	13.16		15	39.47			Excluded		9	23.68					6	15.79		38	
		TOTAL		106	8.51					62	4.98		649	52.09					50	4.01					379	30.42		1246	
	FIFTH			8	16.00					5	10.00		24	48.00						Excluded					13	26.00		50	
		TOTAL		114	9.15					67	5.38		673	54.01											392	31.46		1246	
	SIXTH				Excluded					39	34.21		26	22.81											49	42.98		114	
		TOTAL								106	8.51		699	56.10											441	35.39		1246	
	SEVENTH										Excluded		58	54.72											48	45.28		106	
		TOTAL											757	60.75											489	39.25		1246	
													Elected																
																													
Sydney (Greenway)                                              																													
	FIRST			3	2.59		1	0.86		0	0.00		60	51.72		6	5.17		5	4.31		1	0.86		40	34.48		116	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		3	2.59		1	0.86		0	0.00		60	51.72		7	6.03		5	4.31					40	34.48		116	
	THIRD			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		4	3.45					0	0.00		60	51.72		7	6.03		5	4.31					40	34.48		116	
	FOURTH			0	0.00					1	14.29		4	57.14			Excluded		1	14.29					1	14.29		7	
		TOTAL		4	3.45					1	0.86		64	55.17					6	5.17					41	35.34		116	
	FIFTH			0	0.00					1	16.67		4	66.67						Excluded					1	16.67		6	
		TOTAL		4	3.45					2	1.72		68	58.62											42	36.21		116	
	SIXTH				Excluded					1	25.00		2	50.00											1	25.00		4	
		TOTAL								3	2.59		70	60.34											43	37.07		116	
	SEVENTH										Excluded		0	0.00											3	100.00		3	
		TOTAL											70	60.34											46	39.66		116	
													Elected																
																													
Vineyard East (Greenway)                                       																													
	FIRST			12	7.89		3	1.97		21	13.82		46	30.26		1	0.66		4	2.63		5	3.29		60	39.47		152	
	SECOND			1	20.00		1	20.00		0	0.00		2	40.00		0	0.00		0	0.00			Excluded		1	20.00		5	
		TOTAL		13	8.55		4	2.63		21	13.82		48	31.58		1	0.66		4	2.63					61	40.13		152	
	THIRD			0	0.00			Excluded		3	75.00		0	0.00		0	0.00		0	0.00					1	25.00		4	
		TOTAL		13	8.55					24	15.79		48	31.58		1	0.66		4	2.63					62	40.79		152	
	FOURTH			1	100.00					0	0.00		0	0.00			Excluded		0	0.00					0	0.00		1	
		TOTAL		14	9.21					24	15.79		48	31.58					4	2.63					62	40.79		152	
	FIFTH			1	25.00					0	0.00		1	25.00						Excluded					2	50.00		4	
		TOTAL		15	9.87					24	15.79		49	32.24											64	42.11		152	
	SIXTH				Excluded					4	26.67		4	26.67											7	46.67		15	
		TOTAL								28	18.42		53	34.87											71	46.71		152	
	SEVENTH										Excluded		12	42.86											16	57.14		28	
		TOTAL											65	42.76											87	57.24		152	
													Elected																
																													
Walters Road (Greenway)                                        																													
	FIRST			67	6.00		32	2.87		55	4.93		530	47.49		39	3.49		31	2.78		12	1.08		350	31.36		1116	
	SECOND			1	8.33		0	0.00		0	0.00		6	50.00		1	8.33		3	25.00			Excluded		1	8.33		12	
		TOTAL		68	6.09		32	2.87		55	4.93		536	48.03		40	3.58		34	3.05					351	31.45		1116	
	THIRD			5	15.63			Excluded		11	34.38		10	31.25		2	6.25		3	9.38					1	3.13		32	
		TOTAL		73	6.54					66	5.91		546	48.92		42	3.76		37	3.32					352	31.54		1116	
	FOURTH			3	7.14					4	9.52		11	26.19			Excluded		19	45.24					5	11.90		42	
		TOTAL		76	6.81					70	6.27		557	49.91					56	5.02					357	31.99		1116	
	FIFTH			6	10.71					3	5.36		32	57.14						Excluded					15	26.79		56	
		TOTAL		82	7.35					73	6.54		589	52.78											372	33.33		1116	
	SIXTH				Excluded					34	41.46		15	18.29											33	40.24		82	
		TOTAL								107	9.59		604	54.12											405	36.29		1116	
	SEVENTH										Excluded		66	61.68											41	38.32		107	
		TOTAL											670	60.04											446	39.96		1116	
													Elected																
																													
Special Hospital Team 1                                        																													
	FIRST			14	7.37		1	0.53		1	0.53		70	36.84		1	0.53		2	1.05		1	0.53		100	52.63		190	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		15	7.89		1	0.53		1	0.53		70	36.84		1	0.53		2	1.05					100	52.63		190	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					1	100.00		1	
		TOTAL		15	7.89					1	0.53		70	36.84		1	0.53		2	1.05					101	53.16		190	
	FOURTH			0	0.00					0	0.00		1	100.00			Excluded		0	0.00					0	0.00		1	
		TOTAL		15	7.89					1	0.53		71	37.37					2	1.05					101	53.16		190	
	FIFTH			1	50.00					0	0.00		0	0.00						Excluded					1	50.00		2	
		TOTAL		16	8.42					1	0.53		71	37.37											102	53.68		190	
	SIXTH				Excluded					10	62.50		2	12.50											4	25.00		16	
		TOTAL								11	5.79		73	38.42											106	55.79		190	
	SEVENTH										Excluded		9	81.82											2	18.18		11	
		TOTAL											82	43.16											108	56.84		190	
													Elected																
																													
ABSENT																													
	FIRST			323	6.15		233	4.44		312	5.95		1765	33.63		250	4.76		251	4.78		65	1.24		2049	39.04		5248	
	SECOND			4	6.15		3	4.62		2	3.08		2	3.08		8	12.31		31	47.69			Excluded		15	23.08		65	
		TOTAL		327	6.23		236	4.50		314	5.98		1767	33.67		258	4.92		282	5.37					2064	39.33		5248	
	THIRD			31	13.14			Excluded		68	28.81		55	23.31		23	9.75		16	6.78					43	18.22		236	
		TOTAL		358	6.82					382	7.28		1822	34.72		281	5.35		298	5.68					2107	40.15		5248	
	FOURTH			26	9.25					38	13.52		75	26.69			Excluded		99	35.23					43	15.30		281	
		TOTAL		384	7.32					420	8.00		1897	36.15					397	7.56					2150	40.97		5248	
	FIFTH			34	8.56					47	11.84		192	48.36						Excluded					124	31.23		397	
		TOTAL		418	7.96					467	8.90		2089	39.81											2274	43.33		5248	
	SIXTH				Excluded					177	42.34		95	22.73											146	34.93		418	
		TOTAL								644	12.27		2184	41.62											2420	46.11		5248	
	SEVENTH										Excluded		435	67.55											209	32.45		644	
		TOTAL											2619	49.90											2629	50.10		5248	
													Elected																
																													
POSTAL																													
	FIRST			96	4.48		35	1.63		120	5.60		907	42.30		25	1.17		52	2.43		10	0.47		899	41.93		2144	
	SECOND			1	10.00		1	10.00		1	10.00		0	0.00		1	10.00		2	20.00			Excluded		4	40.00		10	
		TOTAL		97	4.52		36	1.68		121	5.64		907	42.30		26	1.21		54	2.52					903	42.12		2144	
	THIRD			3	8.33			Excluded		9	25.00		11	30.56		4	11.11		2	5.56					7	19.44		36	
		TOTAL		100	4.66					130	6.06		918	42.82		30	1.40		56	2.61					910	42.44		2144	
	FOURTH			4	13.33					1	3.33		9	30.00			Excluded		11	36.67					5	16.67		30	
		TOTAL		104	4.85					131	6.11		927	43.24					67	3.13					915	42.68		2144	
	FIFTH			7	10.45					7	10.45		36	53.73						Excluded					17	25.37		67	
		TOTAL		111	5.18					138	6.44		963	44.92											932	43.47		2144	
	SIXTH				Excluded					24	21.62		25	22.52											62	55.86		111	
		TOTAL								162	7.56		988	46.08											994	46.36		2144	
	SEVENTH										Excluded		63	38.89											99	61.11		162	
		TOTAL											1051	49.02											1093	50.98		2144	
													Elected																
																													
PRE POLL																													
	FIRST			169	5.67		73	2.45		183	6.15		1290	43.32		75	2.52		107	3.59		25	0.84		1056	35.46		2978	
	SECOND			2	8.00		3	12.00		3	12.00		6	24.00		2	8.00		3	12.00			Excluded		6	24.00		25	
		TOTAL		171	5.74		76	2.55		186	6.25		1296	43.52		77	2.59		110	3.69					1062	35.66		2978	
	THIRD			9	11.84			Excluded		23	30.26		16	21.05		7	9.21		7	9.21					14	18.42		76	
		TOTAL		180	6.04					209	7.02		1312	44.06		84	2.82		117	3.93					1076	36.13		2978	
	FOURTH			8	9.52					15	17.86		27	32.14			Excluded		21	25.00					13	15.48		84	
		TOTAL		188	6.31					224	7.52		1339	44.96					138	4.63					1089	36.57		2978	
	FIFTH			15	10.87					9	6.52		72	52.17						Excluded					42	30.43		138	
		TOTAL		203	6.82					233	7.82		1411	47.38											1131	37.98		2978	
	SIXTH				Excluded					65	32.02		51	25.12											87	42.86		203	
		TOTAL								298	10.01		1462	49.09											1218	40.90		2978	
	SEVENTH										Excluded		138	46.31											160	53.69		298	
		TOTAL											1600	53.73											1378	46.27		2978	
													Elected																
																													
PROVISIONAL																													
	FIRST			20	4.72		11	2.59		20	4.72		217	51.18		11	2.59		10	2.36		3	0.71		132	31.13		424	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		20	4.72		12	2.83		20	4.72		217	51.18		11	2.59		10	2.36					134	31.60		424	
	THIRD			1	8.33			Excluded		4	33.33		3	25.00		2	16.67		1	8.33					1	8.33		12	
		TOTAL		21	4.95					24	5.66		220	51.89		13	3.07		11	2.59					135	31.84		424	
	FOURTH			0	0.00					5	38.46		3	23.08			Excluded		4	30.77					1	7.69		13	
		TOTAL		21	4.95					29	6.84		223	52.59					15	3.54					136	32.08		424	
	FIFTH			3	20.00					1	6.67		6	40.00						Excluded					5	33.33		15	
		TOTAL		24	5.66					30	7.08		229	54.01											141	33.25		424	
	SIXTH				Excluded					5	20.83		7	29.17											12	50.00		24	
		TOTAL								35	8.25		236	55.66											153	36.08		424	
	SEVENTH										Excluded		19	54.29											16	45.71		35	
		TOTAL											255	60.14											169	39.86		424	
													Elected																
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
