House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
Kingsford Smith																							
				BROWN			NOTLEY-SMITH			HURWITZ			CARMAN			BRERETON			ZAKRZEWSKI				
	THIRD				Excluded		47	72.31		5	7.69					10	15.38		3	4.62		65	
		TOTAL					778	41.19		186	9.85					777	41.13		148	7.83		1889	
	FOURTH						15	10.14		98	66.22					35	23.65			Excluded		148	
		TOTAL					793	41.98		284	15.03					812	42.99					1889	
	FIFTH						75	26.41			Excluded					209	73.59					284	
		TOTAL					868	45.95								1021	54.05					1889	
																Elected							
																							
Sydney (Kingsford Smith)                                       																							
	FIRST			6	3.31		56	30.94		17	9.39		4	2.21		82	45.30		16	8.84		181	
	SECOND			0	0.00		1	25.00		2	50.00			Excluded		1	25.00		0	0.00		4	
		TOTAL		6	3.31		57	31.49		19	10.50					83	45.86		16	8.84		181	
	THIRD				Excluded		1	16.67		2	33.33					2	33.33		1	16.67		6	
		TOTAL					58	32.04		21	11.60					85	46.96		17	9.39		181	
	FOURTH						2	11.76		12	70.59					3	17.65			Excluded		17	
		TOTAL					60	33.15		33	18.23					88	48.62					181	
	FIFTH						10	30.30			Excluded					23	69.70					33	
		TOTAL					70	38.67								111	61.33					181	
																Elected							
																							
The Rainbow                                                    																							
	FIRST			30	2.60		442	38.24		104	9.00		6	0.52		502	43.43		72	6.23		1156	
	SECOND			1	16.67		0	0.00		4	66.67			Excluded		0	0.00		1	16.67		6	
		TOTAL		31	2.68		442	38.24		108	9.34					502	43.43		73	6.31		1156	
	THIRD				Excluded		16	51.61		8	25.81					6	19.35		1	3.23		31	
		TOTAL					458	39.62		116	10.03					508	43.94		74	6.40		1156	
	FOURTH						11	14.86		35	47.30					28	37.84			Excluded		74	
		TOTAL					469	40.57		151	13.06					536	46.37					1156	
	FIFTH						28	18.54			Excluded					123	81.46					151	
		TOTAL					497	42.99								659	57.01					1156	
																Elected							
																							
The Spot                                                       																							
	FIRST			29	2.69		373	34.54		138	12.78		9	0.83		417	38.61		114	10.56		1080	
	SECOND			0	0.00		2	22.22		2	22.22			Excluded		2	22.22		3	33.33		9	
		TOTAL		29	2.69		375	34.72		140	12.96					419	38.80		117	10.83		1080	
	THIRD				Excluded		16	55.17		7	24.14					5	17.24		1	3.45		29	
		TOTAL					391	36.20		147	13.61					424	39.26		118	10.93		1080	
	FOURTH						19	16.10		71	60.17					28	23.73			Excluded		118	
		TOTAL					410	37.96		218	20.19					452	41.85					1080	
	FIFTH						52	23.85			Excluded					166	76.15					218	
		TOTAL					462	42.78								618	57.22					1080	
																Elected							
																							
Special Hospital Team 1                                        																							
	FIRST			8	6.96		39	33.91		10	8.70		1	0.87		56	48.70		1	0.87		115	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		8	6.96		39	33.91		10	8.70					57	49.57		1	0.87		115	
	THIRD				Excluded		5	62.50		1	12.50					2	25.00		0	0.00		8	
		TOTAL					44	38.26		11	9.57					59	51.30		1	0.87		115	
	FOURTH						0	0.00		0	0.00					1	100.00			Excluded		1	
		TOTAL					44	38.26		11	9.57					60	52.17					115	
	FIFTH						6	54.55			Excluded					5	45.45					11	
		TOTAL					50	43.48								65	56.52					115	
																Elected							
																							
Special Hospital Team 2                                        																							
	FIRST			2	2.15		49	52.69		2	2.15		0	0.00		38	40.86		2	2.15		93	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	2.15		49	52.69		2	2.15					38	40.86		2	2.15		93	
	THIRD				Excluded		1	50.00		1	50.00					0	0.00		0	0.00		2	
		TOTAL					50	53.76		3	3.23					38	40.86		2	2.15		93	
	FOURTH						1	50.00		0	0.00					1	50.00			Excluded		2	
		TOTAL					51	54.84		3	3.23					39	41.94					93	
	FIFTH						1	33.33			Excluded					2	66.67					3	
		TOTAL					52	55.91								41	44.09					93	
																Elected							
																							
ABSENT																							
	FIRST			220	4.41		1754	35.12		547	10.95		84	1.68		1975	39.55		414	8.29		4994	
	SECOND			11	13.10		11	13.10		24	28.57			Excluded		29	34.52		9	10.71		84	
		TOTAL		231	4.63		1765	35.34		571	11.43					2004	40.13		423	8.47		4994	
	THIRD				Excluded		123	53.25		51	22.08					46	19.91		11	4.76		231	
		TOTAL					1888	37.81		622	12.45					2050	41.05		434	8.69		4994	
	FOURTH						61	14.06		211	48.62					162	37.33			Excluded		434	
		TOTAL					1949	39.03		833	16.68					2212	44.29					4994	
	FIFTH						224	26.89			Excluded					609	73.11					833	
		TOTAL					2173	43.51								2821	56.49					4994	
																Elected							
																							
POSTAL																							
	FIRST			132	4.87		1079	39.82		99	3.65		15	0.55		1264	46.64		121	4.46		2710	
	SECOND			0	0.00		5	33.33		3	20.00			Excluded		3	20.00		4	26.67		15	
		TOTAL		132	4.87		1084	40.00		102	3.76					1267	46.75		125	4.61		2710	
	THIRD				Excluded		60	45.45		16	12.12					45	34.09		11	8.33		132	
		TOTAL					1144	42.21		118	4.35					1312	48.41		136	5.02		2710	
	FOURTH						24	17.65		59	43.38					53	38.97			Excluded		136	
		TOTAL					1168	43.10		177	6.53					1365	50.37					2710	
	FIFTH						60	33.90			Excluded					117	66.10					177	
		TOTAL					1228	45.31								1482	54.69					2710	
																Elected							
																							
PRE POLL																							
	FIRST			180	4.60		1426	36.44		267	6.82		34	0.87		1728	44.16		278	7.10		3913	
	SECOND			4	11.76		6	17.65		11	32.35			Excluded		9	26.47		4	11.76		34	
		TOTAL		184	4.70		1432	36.60		278	7.10					1737	44.39		282	7.21		3913	
	THIRD				Excluded		113	61.41		27	14.67					31	16.85		13	7.07		184	
		TOTAL					1545	39.48		305	7.79					1768	45.18		295	7.54		3913	
	FOURTH						63	21.36		105	35.59					127	43.05			Excluded		295	
		TOTAL					1608	41.09		410	10.48					1895	48.43					3913	
	FIFTH						112	27.32			Excluded					298	72.68					410	
		TOTAL					1720	43.96								2193	56.04					3913	
																Elected							
																							
PROVISIONAL																							
	FIRST			31	4.94		190	30.25		42	6.69		7	1.11		329	52.39		29	4.62		628	
	SECOND			0	0.00		0	0.00		4	57.14			Excluded		2	28.57		1	14.29		7	
		TOTAL		31	4.94		190	30.25		46	7.32					331	52.71		30	4.78		628	
	THIRD				Excluded		21	67.74		7	22.58					1	3.23		2	6.45		31	
		TOTAL					211	33.60		53	8.44					332	52.87		32	5.10		628	
	FOURTH						6	18.75		13	40.63					13	40.63			Excluded		32	
		TOTAL					217	34.55		66	10.51					345	54.94					628	
	FIFTH						21	31.82			Excluded					45	68.18					66	
		TOTAL					238	37.90								390	62.10					628	
																Elected							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
