House of Representatives - 2001 Election: New South Wales 											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hunter (84649)											
		Candidate		"MACAULAY, Rob"		              	"FITZGIBBON, Joel"		           	Total	
		"LAWLER, Ann (CEC)"	49	30	61.22		19	38.78		49	
		"FOX, Bill (HAN)"	178	148	83.15		30	16.85		178	
		Total	423	932	43.15		1228	56.85		2160	

	Weston										
			1st Prefs	252	16.81		1247	83.19		1499	
		"O'BRIEN, Larry (GRN)"	88	40	45.45		48	54.55		88	
		"BENNISON, Rod (DEM)"	47	21	44.68		26	55.32		47	
		"LAWLER, Ann (CEC)"	18	7	38.89		11	61.11		18	
		"FOX, Bill (HAN)"	246	173	70.33		73	29.67		246	
		Total	399	493	25.97		1405	74.03		1898	

	Wollombi										
			1st Prefs	134	56.30		104	43.70		238	
		"O'BRIEN, Larry (GRN)"	92	20	21.74		72	78.26		92	
		"BENNISON, Rod (DEM)"	30	13	43.33		17	56.67		30	
		"LAWLER, Ann (CEC)"	1	0	0.00		1	100.00		1	
		"FOX, Bill (HAN)"	20	15	75.00		5	25.00		20	
		Total	143	182	47.77		199	52.23		381	

	Wybong										
			1st Prefs	51	56.67		39	43.33		90	
		"O'BRIEN, Larry (GRN)"	5	3	60.00		2	40.00		5	
		"BENNISON, Rod (DEM)"	6	4	66.67		2	33.33		6	
		"LAWLER, Ann (CEC)"	0	0	0.00		0	0.00		0	
		"FOX, Bill (HAN)"	15	11	73.33		4	26.67		15	
		Total	26	69	59.48		47	40.52		116	

	Prison Mobiles										
			1st Prefs	0	0.00		3	100.00		3	
		"O'BRIEN, Larry (GRN)"	0	0	0.00		0	0.00		0	
		"BENNISON, Rod (DEM)"	0	0	0.00		0	0.00		0	
		"LAWLER, Ann (CEC)"	0	0	0.00		0	0.00		0	
		"FOX, Bill (HAN)"	0	0	0.00		0	0.00		0	
		Total	0	0	0.00		3	100.00		3	

	Special Hospitals										
			1st Prefs	158	37.00		269	63.00		427	
		"O'BRIEN, Larry (GRN)"	7	5	71.43		2	28.57		7	
		"BENNISON, Rod (DEM)"	11	9	81.82		2	18.18		11	
		"LAWLER, Ann (CEC)"	11	4	36.36		7	63.64		11	
		"FOX, Bill (HAN)"	14	9	64.29		5	35.71		14	
		Total	43	185	39.36		285	60.64		470	

	Total Ordinary										
			1st Prefs	18323	34.46		34854	65.54		53177	
		"O'BRIEN, Larry (GRN)"	2961	1225	41.37		1736	58.63		2961	
		"BENNISON, Rod (DEM)"	2503	1170	46.74		1333	53.26		2503	
		"LAWLER, Ann (CEC)"	971	599	61.69		372	38.31		971	
		"FOX, Bill (HAN)"	6922	4812	69.52		2110	30.48		6922	
		Total	13357	26129	39.27		40405	60.73		66534	

	ABSENT										
			1st Prefs	1211	39.05		1890	60.95		3101	
		"O'BRIEN, Larry (GRN)"	320	139	43.44		181	56.56		320	
		"BENNISON, Rod (DEM)"	275	143	52.00		132	48.00		275	
		"LAWLER, Ann (CEC)"	70	42	60.00		28	40.00		70	
		"FOX, Bill (HAN)"	402	220	54.73		182	45.27		402	
		Total	1067	1755	42.11		2413	57.89		4168	

	POSTAL										
			1st Prefs	629	38.97		985	61.03		1614	
		"O'BRIEN, Larry (GRN)"	34	17	50.00		17	50.00		34	
		"BENNISON, Rod (DEM)"	75	39	52.00		36	48.00		75	
		"LAWLER, Ann (CEC)"	21	10	47.62		11	52.38		21	
		"FOX, Bill (HAN)"	166	99	59.64		67	40.36		166	
		Total	296	794	41.57		1116	58.43		1910	

	PRE_POLL										
			1st Prefs	1354	30.87		3032	69.13		4386	
		"O'BRIEN, Larry (GRN)"	194	70	36.08		124	63.92		194	
		"BENNISON, Rod (DEM)"	192	82	42.71		110	57.29		192	
		"LAWLER, Ann (CEC)"	63	40	63.49		23	36.51		63	
		"FOX, Bill (HAN)"	548	358	65.33		190	34.67		548	
		Total	997	1904	35.37		3479	64.63		5383	

	PROVISIONAL										
			1st Prefs	96	20.96		362	79.04		458	
		"O'BRIEN, Larry (GRN)"	44	21	47.73		23	52.27		44	
		"BENNISON, Rod (DEM)"	26	18	69.23		8	30.77		26	
		"LAWLER, Ann (CEC)"	12	8	66.67		4	33.33		12	
		"FOX, Bill (HAN)"	62	34	54.84		28	45.16		62	
		Total	144	177	29.40		425	70.60		602	

	Division Summary										
			1st Prefs	21613	34.45		41123	65.55		62736	
		"O'BRIEN, Larry (GRN)"	3553	1472	41.43		2081	58.57		3553	
		"BENNISON, Rod (DEM)"	3071	1452	47.28		1619	52.72		3071	
		"LAWLER, Ann (CEC)"	1137	699	61.48		438	38.52		1137	
		"FOX, Bill (HAN)"	8100	5523	68.19		2577	31.81		8100	
		Total	15861	30759	39.14		47838	60.86		78597	
