House of Representatives - 2001 Election: New South Wales																						
Distribution of Preferences 																						
By Polling Place																						
																						
Dobell																						
				LEE			HENNIG			KER			TICEHURST			FALCONER			HASTIE			
	FOURTH			10	14.71								23	33.82			Excluded		35	51.47		68
		TOTAL		717	57.45								431	34.54					100	8.01		1248
	FIFTH			60	60.00								40	40.00						Excluded		100
		TOTAL		777	62.26								471	37.74								1248
													Elected									
																						
Wyoming (Dobell)                                               																						
	FIRST			1063	41.64		64	2.51		88	3.45		1152	45.12		87	3.41		99	3.88		2553
	SECOND			15	23.44			Excluded		8	12.50		35	54.69		2	3.13		4	6.25		64
		TOTAL		1078	42.22					96	3.76		1187	46.49		89	3.49		103	4.03		2553
	THIRD			33	34.38						Excluded		17	17.71		11	11.46		35	36.46		96
		TOTAL		1111	43.52								1204	47.16		100	3.92		138	5.41		2553
	FOURTH			26	26.00								28	28.00			Excluded		46	46.00		100
		TOTAL		1137	44.54								1232	48.26					184	7.21		2553
	FIFTH			116	63.04								68	36.96						Excluded		184
		TOTAL		1253	49.08								1300	50.92								2553
													Elected									
																						
Wyoming Central                                                																						
	FIRST			781	38.28		56	2.75		73	3.58		930	45.59		79	3.87		121	5.93		2040
	SECOND			7	12.50			Excluded		5	8.93		35	62.50		3	5.36		6	10.71		56
		TOTAL		788	38.63					78	3.82		965	47.30		82	4.02		127	6.23		2040
	THIRD			26	33.33						Excluded		12	15.38		7	8.97		33	42.31		78
		TOTAL		814	39.90								977	47.89		89	4.36		160	7.84		2040
	FOURTH			20	22.47								29	32.58			Excluded		40	44.94		89
		TOTAL		834	40.88								1006	49.31					200	9.80		2040
	FIFTH			122	61.00								78	39.00						Excluded		200
		TOTAL		956	46.86								1084	53.14								2040
													Elected									
																						
Wyong                                                          																						
	FIRST			845	45.80		40	2.17		50	2.71		751	40.70		94	5.09		65	3.52		1845
	SECOND			6	15.00			Excluded		6	15.00		24	60.00		4	10.00		0	0.00		40
		TOTAL		851	46.12					56	3.04		775	42.01		98	5.31		65	3.52		1845
	THIRD			12	21.43						Excluded		11	19.64		5	8.93		28	50.00		56
		TOTAL		863	46.78								786	42.60		103	5.58		93	5.04		1845
	FOURTH			23	22.33								34	33.01			Excluded		46	44.66		103
		TOTAL		886	48.02								820	44.44					139	7.53		1845
	FIFTH			73	52.52								66	47.48						Excluded		139
		TOTAL		959	51.98								886	48.02								1845
													Elected									
																						
Wyong Creek                                                    																						
	FIRST			43	23.89		2	1.11		7	3.89		105	58.33		13	7.22		10	5.56		180
	SECOND			1	50.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		44	24.44					7	3.89		105	58.33		13	7.22		11	6.11		180
	THIRD			1	14.29						Excluded		2	28.57		1	14.29		3	42.86		7
		TOTAL		45	25.00								107	59.44		14	7.78		14	7.78		180
	FOURTH			2	14.29								8	57.14			Excluded		4	28.57		14
		TOTAL		47	26.11								115	63.89					18	10.00		180
	FIFTH			11	61.11								7	38.89						Excluded		18
		TOTAL		58	32.22								122	67.78								180
													Elected									
																						
Wyong East                                                     																						
	FIRST			247	43.64		18	3.18		22	3.89		252	44.52		10	1.77		17	3.00		566
	SECOND			2	11.11			Excluded		1	5.56		14	77.78		0	0.00		1	5.56		18
		TOTAL		249	43.99					23	4.06		266	47.00		10	1.77		18	3.18		566
	THIRD			7	30.43						Excluded		5	21.74		1	4.35		10	43.48		23
		TOTAL		256	45.23								271	47.88		11	1.94		28	4.95		566
	FOURTH			3	27.27								3	27.27			Excluded		5	45.45		11
		TOTAL		259	45.76								274	48.41					33	5.83		566
	FIFTH			21	63.64								12	36.36						Excluded		33
		TOTAL		280	49.47								286	50.53								566
													Elected									
																						
Wyongah                                                        																						
	FIRST			473	49.79		22	2.32		22	2.32		353	37.16		54	5.68		26	2.74		950
	SECOND			6	27.27			Excluded		0	0.00		8	36.36		4	18.18		4	18.18		22
		TOTAL		479	50.42					22	2.32		361	38.00		58	6.11		30	3.16		950
	THIRD			3	13.64						Excluded		7	31.82		1	4.55		11	50.00		22
		TOTAL		482	50.74								368	38.74		59	6.21		41	4.32		950
	FOURTH			17	28.81								17	28.81			Excluded		25	42.37		59
		TOTAL		499	52.53								385	40.53					66	6.95		950
	FIFTH			37	56.06								29	43.94						Excluded		66
		TOTAL		536	56.42								414	43.58								950
													Elected									
																						
Yarramalong                                                    																						
	FIRST			65	28.63		0	0.00		15	6.61		121	53.30		14	6.17		12	5.29		227
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		65	28.63					15	6.61		121	53.30		14	6.17		12	5.29		227
	THIRD			6	40.00						Excluded		4	26.67		0	0.00		5	33.33		15
		TOTAL		71	31.28								125	55.07		14	6.17		17	7.49		227
	FOURTH			3	21.43								4	28.57			Excluded		7	50.00		14
		TOTAL		74	32.60								129	56.83					24	10.57		227
	FIFTH			15	62.50								9	37.50						Excluded		24
		TOTAL		89	39.21								138	60.79								227
													Elected									
																						
Special Hospital Team 1                                        																						
	FIRST			80	41.67		1	0.52		2	1.04		102	53.13		4	2.08		3	1.56		192
	SECOND			0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		80	41.67					2	1.04		103	53.65		4	2.08		3	1.56		192
	THIRD			1	50.00						Excluded		0	0.00		0	0.00		1	50.00		2
		TOTAL		81	42.19								103	53.65		4	2.08		4	2.08		192
	FOURTH			3	75.00								0	0.00			Excluded		1	25.00		4
		TOTAL		84	43.75								103	53.65					5	2.60		192
	FIFTH			3	60.00								2	40.00						Excluded		5
		TOTAL		87	45.31								105	54.69								192
													Elected									
																						
Special Hospital Team 2                                        																						
	FIRST			93	52.25		1	0.56		1	0.56		81	45.51		1	0.56		1	0.56		178
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL		93	52.25					1	0.56		81	45.51		1	0.56		2	1.12		178
	THIRD			0	0.00						Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		93	52.25								81	45.51		1	0.56		3	1.69		178
	FOURTH			1	100.00								0	0.00			Excluded		0	0.00		1
		TOTAL		94	52.81								81	45.51					3	1.69		178
	FIFTH			1	33.33								2	66.67						Excluded		3
		TOTAL		95	53.37								83	46.63								178
													Elected									
																						
ABSENT																						
	FIRST			2303	41.62		131	2.37		343	6.20		2181	39.42		281	5.08		294	5.31		5533
	SECOND			26	19.85			Excluded		17	12.98		69	52.67		10	7.63		9	6.87		131
		TOTAL		2329	42.09					360	6.51		2250	40.67		291	5.26		303	5.48		5533
	THIRD			120	33.33						Excluded		68	18.89		30	8.33		142	39.44		360
		TOTAL		2449	44.26								2318	41.89		321	5.80		445	8.04		5533
	FOURTH			106	33.02								122	38.01			Excluded		93	28.97		321
		TOTAL		2555	46.18								2440	44.10					538	9.72		5533
	FIFTH			346	64.31								192	35.69						Excluded		538
		TOTAL		2901	52.43								2632	47.57								5533
													Elected									
																						
POSTAL																						
	FIRST			1095	40.78		32	1.19		47	1.75		1313	48.90		117	4.36		81	3.02		2685
	SECOND			8	25.00			Excluded		2	6.25		18	56.25		0	0.00		4	12.50		32
		TOTAL		1103	41.08					49	1.82		1331	49.57		117	4.36		85	3.17		2685
	THIRD			15	30.61						Excluded		9	18.37		7	14.29		18	36.73		49
		TOTAL		1118	41.64								1340	49.91		124	4.62		103	3.84		2685
	FOURTH			44	35.48								52	41.94			Excluded		28	22.58		124
		TOTAL		1162	43.28								1392	51.84					131	4.88		2685
	FIFTH			76	58.02								55	41.98						Excluded		131
		TOTAL		1238	46.11								1447	53.89								2685
													Elected									
																						
PRE POLL																						
	FIRST			1762	42.99		59	1.44		103	2.51		1816	44.30		205	5.00		154	3.76		4099
	SECOND			11	18.64			Excluded		5	8.47		37	62.71		0	0.00		6	10.17		59
		TOTAL		1773	43.25					108	2.63		1853	45.21		205	5.00		160	3.90		4099
	THIRD			28	25.93						Excluded		20	18.52		6	5.56		54	50.00		108
		TOTAL		1801	43.94								1873	45.69		211	5.15		214	5.22		4099
	FOURTH			68	32.23								82	38.86			Excluded		61	28.91		211
		TOTAL		1869	45.60								1955	47.69					275	6.71		4099
	FIFTH			157	57.09								118	42.91						Excluded		275
		TOTAL		2026	49.43								2073	50.57								4099
													Elected									
																						
PROVISIONAL																						
	FIRST			206	50.24		5	1.22		20	4.88		143	34.88		12	2.93		24	5.85		410
	SECOND			2	40.00			Excluded		0	0.00		2	40.00		0	0.00		1	20.00		5
		TOTAL		208	50.73					20	4.88		145	35.37		12	2.93		25	6.10		410
	THIRD			6	30.00						Excluded		7	35.00		2	10.00		5	25.00		20
		TOTAL		214	52.20								152	37.07		14	3.41		30	7.32		410
	FOURTH			5	35.71								3	21.43			Excluded		6	42.86		14
		TOTAL		219	53.41								155	37.80					36	8.78		410
	FIFTH			25	69.44								11	30.56						Excluded		36
		TOTAL		244	59.51								166	40.49								410
													Elected									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
