House of Representatives - 2001 Election: New South Wales														
Two Candidate Preferred Preference Flow Result														
By Polling Place														
														
Berowra (85766)														
		Candidate		                  	"SLATER, Richard"		            	"RUDDOCK, Philip Maxwell"		    	Exhausted		Total	
		"CHOI, Daniel (UNI)"	47		30	63.83		17	36.17		0		47	
		"GALE, Maureen (GRN)"	96		68	70.83		28	29.17		0		96	
		"NANNELLI, Owen (CTA)"	54		17	31.48		37	68.52		0		54	
		"GALLAGHER, P J (NGST)"	32		15	46.88		17	53.13		0		32	
		Total	400		724	24.60		2219	75.40		0		2943	

	PRE_POLL													
			1st Prefs		983	27.78		2556	72.22		                      		3539	
		"SPARKS, Philip (DEM)"	273		184	67.40		89	32.60		0		273	
		"BALL, Harry (HAN)"	99		40	40.40		59	59.60		0		99	
		"CHOI, Daniel (UNI)"	73		57	78.08		16	21.92		0		73	
		"GALE, Maureen (GRN)"	212		156	73.58		56	26.42		0		212	
		"NANNELLI, Owen (CTA)"	73		16	21.92		57	78.08		0		73	
		"GALLAGHER, P J (NGST)"	80		45	56.25		35	43.75		0		80	
		Total	810		1481	34.05		2868	65.95		0		4349	

	PROVISIONAL													
			1st Prefs		82	33.61		162	66.39		                      		244	
		"SPARKS, Philip (DEM)"	22		13	59.09		9	40.91		0		22	
		"BALL, Harry (HAN)"	7		3	42.86		4	57.14		0		7	
		"CHOI, Daniel (UNI)"	4		2	50.00		2	50.00		0		4	
		"GALE, Maureen (GRN)"	17		13	76.47		4	23.53		0		17	
		"NANNELLI, Owen (CTA)"	6		3	50.00		3	50.00		0		6	
		"GALLAGHER, P J (NGST)"	10		7	70.00		3	30.00		0		10	
		Total	66		123	39.68		187	60.32		0		310	

	Division Summary													
			1st Prefs		17748	28.03		45575	71.97		                      		63323	
		"SPARKS, Philip (DEM)"	5047		3517	69.68		1530	30.32		0		5047	
		"BALL, Harry (HAN)"	1537		635	41.31		902	58.69		0		1537	
		"CHOI, Daniel (UNI)"	1124		815	72.51		309	27.49		0		1124	
		"GALE, Maureen (GRN)"	4029		3002	74.51		1027	25.49		0		4029	
		"NANNELLI, Owen (CTA)"	1632		375	22.98		1257	77.02		0		1632	
		"GALLAGHER, P J (NGST)"	1117		639	57.21		478	42.79		0		1117	
		Total	14486		26731	34.35		51078	65.65		0		77809	
