House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Riverina																										
				RICHTER			TURNER			ALBISTON			HULL			GRAHAM			DANCEY			MOORE				
		TOTAL		23	2.14		37	3.44		269	25.00		725	67.38		9	0.84					13	1.21		1076	
	THIRD				Excluded		10	43.48		8	34.78		2	8.70		2	8.70					1	4.35		23	
		TOTAL					47	4.37		277	25.74		727	67.57		11	1.02					14	1.30		1076	
	FOURTH						4	28.57		1	7.14		2	14.29		7	50.00						Excluded		14	
		TOTAL					51	4.74		278	25.84		729	67.75		18	1.67								1076	
	FIFTH						0	0.00		9	50.00		9	50.00			Excluded								18	
		TOTAL					51	4.74		287	26.67		738	68.59											1076	
	SIXTH							Excluded		17	33.33		34	66.67											51	
		TOTAL								304	28.25		772	71.75											1076	
													Elected													
																										
Griffith North                                                 																										
	FIRST			32	1.79		66	3.69		425	23.76		1171	65.46		29	1.62		22	1.23		44	2.46		1789	
	SECOND			0	0.00		1	4.55		1	4.55		16	72.73		1	4.55			Excluded		3	13.64		22	
		TOTAL		32	1.79		67	3.75		426	23.81		1187	66.35		30	1.68					47	2.63		1789	
	THIRD				Excluded		13	40.63		5	15.63		6	18.75		5	15.63					3	9.38		32	
		TOTAL					80	4.47		431	24.09		1193	66.69		35	1.96					50	2.79		1789	
	FOURTH						5	10.00		13	26.00		13	26.00		19	38.00						Excluded		50	
		TOTAL					85	4.75		444	24.82		1206	67.41		54	3.02								1789	
	FIFTH						7	12.96		27	50.00		20	37.04			Excluded								54	
		TOTAL					92	5.14		471	26.33		1226	68.53											1789	
	SIXTH							Excluded		33	35.87		59	64.13											92	
		TOTAL								504	28.17		1285	71.83											1789	
													Elected													
																										
Griffith West                                                  																										
	FIRST			52	3.92		88	6.64		449	33.89		703	53.06		13	0.98		7	0.53		13	0.98		1325	
	SECOND			1	14.29		0	0.00		1	14.29		5	71.43		0	0.00			Excluded		0	0.00		7	
		TOTAL		53	4.00		88	6.64		450	33.96		708	53.43		13	0.98					13	0.98		1325	
	THIRD				Excluded		29	54.72		9	16.98		10	18.87		3	5.66					2	3.77		53	
		TOTAL					117	8.83		459	34.64		718	54.19		16	1.21					15	1.13		1325	
	FOURTH						4	26.67		4	26.67		3	20.00		4	26.67						Excluded		15	
		TOTAL					121	9.13		463	34.94		721	54.42		20	1.51								1325	
	FIFTH						3	15.00		7	35.00		10	50.00			Excluded								20	
		TOTAL					124	9.36		470	35.47		731	55.17											1325	
	SIXTH							Excluded		50	40.32		74	59.68											124	
		TOTAL								520	39.25		805	60.75											1325	
													Elected													
																										
Grong Grong                                                    																										
	FIRST			4	2.47		11	6.79		35	21.60		106	65.43		2	1.23		2	1.23		2	1.23		162	
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		4	2.47		11	6.79		35	21.60		108	66.67		2	1.23					2	1.23		162	
	THIRD				Excluded		3	75.00		0	0.00		1	25.00		0	0.00					0	0.00		4	
		TOTAL					14	8.64		35	21.60		109	67.28		2	1.23					2	1.23		162	
	FOURTH						0	0.00		1	50.00		1	50.00		0	0.00						Excluded		2	
		TOTAL					14	8.64		36	22.22		110	67.90		2	1.23								162	
	FIFTH						0	0.00		0	0.00		2	100.00			Excluded								2	
		TOTAL					14	8.64		36	22.22		112	69.14											162	
	SIXTH							Excluded		6	42.86		8	57.14											14	
		TOTAL								42	25.93		120	74.07											162	
													Elected													
																										
Gumly Gumly                                                    																										
	FIRST			11	3.55		30	9.68		77	24.84		176	56.77		7	2.26		1	0.32		8	2.58		310	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		11	3.55		30	9.68		77	24.84		177	57.10		7	2.26					8	2.58		310	
	THIRD				Excluded		3	27.27		1	9.09		4	36.36		2	18.18					1	9.09		11	
		TOTAL					33	10.65		78	25.16		181	58.39		9	2.90					9	2.90		310	
	FOURTH						2	22.22		0	0.00		7	77.78		0	0.00						Excluded		9	
		TOTAL					35	11.29		78	25.16		188	60.65		9	2.90								310	
	FIFTH						0	0.00		5	55.56		4	44.44			Excluded								9	
		TOTAL					35	11.29		83	26.77		192	61.94											310	
	SIXTH							Excluded		8	22.86		27	77.14											35	
		TOTAL								91	29.35		219	70.65											310	
													Elected													
																										
Gundagai                                                       																										
	FIRST			25	2.29		65	5.96		454	41.65		491	45.05		18	1.65		17	1.56		20	1.83		1090	
	SECOND			0	0.00		1	5.88		2	11.76		12	70.59		1	5.88			Excluded		1	5.88		17	
		TOTAL		25	2.29		66	6.06		456	41.83		503	46.15		19	1.74					21	1.93		1090	
	THIRD				Excluded		12	48.00		4	16.00		4	16.00		2	8.00					3	12.00		25	
		TOTAL					78	7.16		460	42.20		507	46.51		21	1.93					24	2.20		1090	
	FOURTH						3	12.50		5	20.83		3	12.50		13	54.17						Excluded		24	
		TOTAL					81	7.43		465	42.66		510	46.79		34	3.12								1090	
	FIFTH						6	17.65		17	50.00		11	32.35			Excluded								34	
		TOTAL					87	7.98		482	44.22		521	47.80											1090	
	SIXTH							Excluded		44	50.57		43	49.43											87	
		TOTAL								526	48.26		564	51.74											1090	
													Elected													
																										
Gundagai South                                                 																										
	FIRST			17	3.79		24	5.35		225	50.11		174	38.75		2	0.45		1	0.22		6	1.34		449	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		17	3.79		24	5.35		225	50.11		175	38.98		2	0.45					6	1.34		449	
	THIRD				Excluded		8	47.06		5	29.41		2	11.76		1	5.88					1	5.88		17	
		TOTAL					32	7.13		230	51.22		177	39.42		3	0.67					7	1.56		449	
	FOURTH						0	0.00		6	85.71		1	14.29		0	0.00						Excluded		7	
		TOTAL					32	7.13		236	52.56		178	39.64		3	0.67								449	
	FIFTH						0	0.00		2	66.67		1	33.33			Excluded								3	
		TOTAL					32	7.13		238	53.01		179	39.87											449	
	SIXTH							Excluded		18	56.25		14	43.75											32	
		TOTAL								256	57.02		193	42.98											449	
													Elected													
																										
Hanwood                                                        																										
	FIRST			20	2.21		51	5.63		171	18.87		632	69.76		17	1.88		4	0.44		11	1.21		906	
	SECOND			0	0.00		0	0.00		0	0.00		4	100.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		20	2.21		51	5.63		171	18.87		636	70.20		17	1.88					11	1.21		906	
	THIRD				Excluded		10	50.00		5	25.00		3	15.00		1	5.00					1	5.00		20	
		TOTAL					61	6.73		176	19.43		639	70.53		18	1.99					12	1.32		906	
	FOURTH						0	0.00		5	41.67		1	8.33		6	50.00						Excluded		12	
		TOTAL					61	6.73		181	19.98		640	70.64		24	2.65								906	
	FIFTH						0	0.00		11	45.83		13	54.17			Excluded								24	
		TOTAL					61	6.73		192	21.19		653	72.08											906	
	SIXTH							Excluded		14	22.95		47	77.05											61	
		TOTAL								206	22.74		700	77.26											906	
													Elected													
																										
Hay                                                            																										
	FIRST			26	1.93		100	7.42		374	27.74		809	60.01		12	0.89		5	0.37		22	1.63		1348	
	SECOND			0	0.00		0	0.00		0	0.00		3	60.00		2	40.00			Excluded		0	0.00		5	
		TOTAL		26	1.93		100	7.42		374	27.74		812	60.24		14	1.04					22	1.63		1348	
	THIRD				Excluded		14	53.85		3	11.54		4	15.38		2	7.69					3	11.54		26	
		TOTAL					114	8.46		377	27.97		816	60.53		16	1.19					25	1.85		1348	
	FOURTH						2	8.00		6	24.00		8	32.00		9	36.00						Excluded		25	
		TOTAL					116	8.61		383	28.41		824	61.13		25	1.85								1348	
	FIFTH						2	8.00		12	48.00		11	44.00			Excluded								25	
		TOTAL					118	8.75		395	29.30		835	61.94											1348	
	SIXTH							Excluded		41	34.75		77	65.25											118	
		TOTAL								436	32.34		912	67.66											1348	
													Elected													
																										
Hay Hospital                                                   																										
	FIRST			8	1.72		41	8.84		137	29.53		264	56.90		3	0.65		0	0.00		11	2.37		464	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		8	1.72		41	8.84		137	29.53		264	56.90		3	0.65					11	2.37		464	
	THIRD				Excluded		3	37.50		4	50.00		0	0.00		0	0.00					1	12.50		8	
		TOTAL					44	9.48		141	30.39		264	56.90		3	0.65					12	2.59		464	
	FOURTH						4	33.33		4	33.33		0	0.00		4	33.33						Excluded		12	
		TOTAL					48	10.34		145	31.25		264	56.90		7	1.51								464	
	FIFTH						0	0.00		3	42.86		4	57.14			Excluded								7	
		TOTAL					48	10.34		148	31.90		268	57.76											464	
	SIXTH							Excluded		15	31.25		33	68.75											48	
		TOTAL								163	35.13		301	64.87											464	
													Elected													
																										
Humula                                                         																										
	FIRST			1	1.14		12	13.64		18	20.45		54	61.36		1	1.14		0	0.00		2	2.27		88	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.14		12	13.64		18	20.45		54	61.36		1	1.14					2	2.27		88	
	THIRD				Excluded		0	0.00		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL					12	13.64		18	20.45		55	62.50		1	1.14					2	2.27		88	
	FOURTH						1	50.00		0	0.00		1	50.00		0	0.00						Excluded		2	
		TOTAL					13	14.77		18	20.45		56	63.64		1	1.14								88	
	FIFTH						0	0.00		1	100.00		0	0.00			Excluded								1	
		TOTAL					13	14.77		19	21.59		56	63.64											88	
	SIXTH							Excluded		5	38.46		8	61.54											13	
		TOTAL								24	27.27		64	72.73											88	
													Elected													
																										
Illabo                                                         																										
	FIRST			1	0.63		15	9.43		12	7.55		126	79.25		0	0.00		5	3.14		0	0.00		159	
	SECOND			0	0.00		0	0.00		0	0.00		5	100.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		1	0.63		15	9.43		12	7.55		131	82.39		0	0.00					0	0.00		159	
	THIRD				Excluded		0	0.00		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL					15	9.43		12	7.55		132	83.02		0	0.00					0	0.00		159	
	FOURTH						0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL					15	9.43		12	7.55		132	83.02		0	0.00								159	
	FIFTH						0	0.00		0	0.00		0	0.00			Excluded								0	
		TOTAL					15	9.43		12	7.55		132	83.02											159	
	SIXTH							Excluded		4	26.67		11	73.33											15	
		TOTAL								16	10.06		143	89.94											159	
													Elected													
																										
Junee                                                          																										
	FIRST			51	2.26		136	6.03		764	33.87		1179	52.26		39	1.73		44	1.95		43	1.91		2256	
	SECOND			3	6.82		2	4.55		3	6.82		36	81.82		0	0.00			Excluded		0	0.00		44	
		TOTAL		54	2.39		138	6.12		767	34.00		1215	53.86		39	1.73					43	1.91		2256	
	THIRD				Excluded		30	55.56		10	18.52		8	14.81		4	7.41					2	3.70		54	
		TOTAL					168	7.45		777	34.44		1223	54.21		43	1.91					45	1.99		2256	
	FOURTH						4	8.89		11	24.44		13	28.89		17	37.78						Excluded		45	
		TOTAL					172	7.62		788	34.93		1236	54.79		60	2.66								2256	
	FIFTH						7	11.67		28	46.67		25	41.67			Excluded								60	
		TOTAL					179	7.93		816	36.17		1261	55.90											2256	
	SIXTH							Excluded		89	49.72		90	50.28											179	
		TOTAL								905	40.12		1351	59.88											2256	
													Elected													
																										
Kapooka                                                        																										
	FIRST			1	1.45		6	8.70		4	5.80		48	69.57		10	14.49		0	0.00		0	0.00		69	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.45		6	8.70		4	5.80		48	69.57		10	14.49					0	0.00		69	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					1	100.00		1	
		TOTAL					6	8.70		4	5.80		48	69.57		10	14.49					1	1.45		69	
	FOURTH						0	0.00		0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL					6	8.70		4	5.80		48	69.57		11	15.94								69	
	FIFTH						1	9.09		3	27.27		7	63.64			Excluded								11	
		TOTAL					7	10.14		7	10.14		55	79.71											69	
	SIXTH							Excluded		0	0.00		7	100.00											7	
		TOTAL								7	10.14		62	89.86											69	
													Elected													
																										
Kooringal                                                      																										
	FIRST			56	2.07		118	4.36		497	18.36		1802	66.57		83	3.07		68	2.51		83	3.07		2707	
	SECOND			3	4.41		3	4.41		6	8.82		53	77.94		2	2.94			Excluded		1	1.47		68	
		TOTAL		59	2.18		121	4.47		503	18.58		1855	68.53		85	3.14					84	3.10		2707	
	THIRD				Excluded		14	23.73		9	15.25		24	40.68		6	10.17					6	10.17		59	
		TOTAL					135	4.99		512	18.91		1879	69.41		91	3.36					90	3.32		2707	
	FOURTH						14	15.56		24	26.67		23	25.56		29	32.22						Excluded		90	
		TOTAL					149	5.50		536	19.80		1902	70.26		120	4.43								2707	
	FIFTH						5	4.17		65	54.17		50	41.67			Excluded								120	
		TOTAL					154	5.69		601	22.20		1952	72.11											2707	
	SIXTH							Excluded		61	39.61		93	60.39											154	
		TOTAL								662	24.46		2045	75.54											2707	
													Elected													
																										
Ladysmith                                                      																										
	FIRST			4	1.38		15	5.17		31	10.69		217	74.83		6	2.07		7	2.41		10	3.45		290	
	SECOND			0	0.00		0	0.00		1	14.29		6	85.71		0	0.00			Excluded		0	0.00		7	
		TOTAL		4	1.38		15	5.17		32	11.03		223	76.90		6	2.07					10	3.45		290	
	THIRD				Excluded		2	50.00		0	0.00		2	50.00		0	0.00					0	0.00		4	
		TOTAL					17	5.86		32	11.03		225	77.59		6	2.07					10	3.45		290	
	FOURTH						0	0.00		1	10.00		5	50.00		4	40.00						Excluded		10	
		TOTAL					17	5.86		33	11.38		230	79.31		10	3.45								290	
	FIFTH						1	10.00		7	70.00		2	20.00			Excluded								10	
		TOTAL					18	6.21		40	13.79		232	80.00											290	
	SIXTH							Excluded		7	38.89		11	61.11											18	
		TOTAL								47	16.21		243	83.79											290	
													Elected													
																										
Lake Albert                                                    																										
	FIRST			50	2.12		86	3.65		433	18.36		1615	68.46		76	3.22		50	2.12		49	2.08		2359	
	SECOND			3	6.00		0	0.00		4	8.00		36	72.00		3	6.00			Excluded		4	8.00		50	
		TOTAL		53	2.25		86	3.65		437	18.52		1651	69.99		79	3.35					53	2.25		2359	
	THIRD				Excluded		20	37.74		8	15.09		13	24.53		5	9.43					7	13.21		53	
		TOTAL					106	4.49		445	18.86		1664	70.54		84	3.56					60	2.54		2359	
	FOURTH						1	1.67		14	23.33		19	31.67		26	43.33						Excluded		60	
		TOTAL					107	4.54		459	19.46		1683	71.34		110	4.66								2359	
	FIFTH						11	10.00		53	48.18		46	41.82			Excluded								110	
		TOTAL					118	5.00		512	21.70		1729	73.29											2359	
	SIXTH							Excluded		45	38.14		73	61.86											118	
		TOTAL								557	23.61		1802	76.39											2359	
													Elected													
																										
Lake Wyangan                                                   																										
	FIRST			9	2.00		37	8.20		102	22.62		287	63.64		5	1.11		3	0.67		8	1.77		451	
	SECOND			0	0.00		0	0.00		0	0.00		2	66.67		1	33.33			Excluded		0	0.00		3	
		TOTAL		9	2.00		37	8.20		102	22.62		289	64.08		6	1.33					8	1.77		451	
	THIRD				Excluded		4	44.44		1	11.11		1	11.11		1	11.11					2	22.22		9	
		TOTAL					41	9.09		103	22.84		290	64.30		7	1.55					10	2.22		451	
	FOURTH						1	10.00		2	20.00		1	10.00		6	60.00						Excluded		10	
		TOTAL					42	9.31		105	23.28		291	64.52		13	2.88								451	
	FIFTH						0	0.00		7	53.85		6	46.15			Excluded								13	
		TOTAL					42	9.31		112	24.83		297	65.85											451	
	SIXTH							Excluded		12	28.57		30	71.43											42	
		TOTAL								124	27.49		327	72.51											451	
													Elected													
																										
Leeton                                                         																										
	FIRST			38	1.80		120	5.68		582	27.53		1242	58.75		46	2.18		42	1.99		44	2.08		2114	
	SECOND			0	0.00		2	4.76		2	4.76		29	69.05		4	9.52			Excluded		5	11.90		42	
		TOTAL		38	1.80		122	5.77		584	27.63		1271	60.12		50	2.37					49	2.32		2114	
	THIRD				Excluded		15	39.47		7	18.42		9	23.68		4	10.53					3	7.89		38	
		TOTAL					137	6.48		591	27.96		1280	60.55		54	2.55					52	2.46		2114	
	FOURTH						6	11.54		12	23.08		9	17.31		25	48.08						Excluded		52	
		TOTAL					143	6.76		603	28.52		1289	60.97		79	3.74								2114	
	FIFTH						4	5.06		39	49.37		36	45.57			Excluded								79	
		TOTAL					147	6.95		642	30.37		1325	62.68											2114	
	SIXTH							Excluded		61	41.50		86	58.50											147	
		TOTAL								703	33.25		1411	66.75											2114	
													Elected													
																										
Leeton Hospital                                                																										
	FIRST			8	1.99		13	3.23		100	24.81		265	65.76		9	2.23		5	1.24		3	0.74		403	
	SECOND			0	0.00		0	0.00		0	0.00		5	100.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		8	1.99		13	3.23		100	24.81		270	67.00		9	2.23					3	0.74		403	
	THIRD				Excluded		4	50.00		0	0.00		4	50.00		0	0.00					0	0.00		8	
		TOTAL					17	4.22		100	24.81		274	67.99		9	2.23					3	0.74		403	
	FOURTH						0	0.00		1	33.33		1	33.33		1	33.33						Excluded		3	
		TOTAL					17	4.22		101	25.06		275	68.24		10	2.48								403	
	FIFTH						1	10.00		5	50.00		4	40.00			Excluded								10	
		TOTAL					18	4.47		106	26.30		279	69.23											403	
	SIXTH							Excluded		5	27.78		13	72.22											18	
		TOTAL								111	27.54		292	72.46											403	
													Elected													
																										
Mangoplah                                                      																										
	FIRST			4	1.78		11	4.89		8	3.56		194	86.22		2	0.89		4	1.78		2	0.89		225	
	SECOND			0	0.00		0	0.00		0	0.00		4	100.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		4	1.78		11	4.89		8	3.56		198	88.00		2	0.89					2	0.89		225	
	THIRD				Excluded		2	50.00		1	25.00		1	25.00		0	0.00					0	0.00		4	
		TOTAL					13	5.78		9	4.00		199	88.44		2	0.89					2	0.89		225	
	FOURTH						0	0.00		0	0.00		1	50.00		1	50.00						Excluded		2	
		TOTAL					13	5.78		9	4.00		200	88.89		3	1.33								225	
	FIFTH						1	33.33		1	33.33		1	33.33			Excluded								3	
		TOTAL					14	6.22		10	4.44		201	89.33											225	
	SIXTH							Excluded		2	14.29		12	85.71											14	
		TOTAL								12	5.33		213	94.67											225	
													Elected													
																										
Marrar                                                         																										
	FIRST			6	2.44		4	1.63		20	8.13		202	82.11		3	1.22		8	3.25		3	1.22		246	
	SECOND			0	0.00		0	0.00		0	0.00		8	100.00		0	0.00			Excluded		0	0.00		8	
		TOTAL		6	2.44		4	1.63		20	8.13		210	85.37		3	1.22					3	1.22		246	
	THIRD				Excluded		0	0.00		0	0.00		2	33.33		4	66.67					0	0.00		6	
		TOTAL					4	1.63		20	8.13		212	86.18		7	2.85					3	1.22		246	
	FOURTH						0	0.00		1	33.33		0	0.00		2	66.67						Excluded		3	
		TOTAL					4	1.63		21	8.54		212	86.18		9	3.66								246	
	FIFTH						1	11.11		6	66.67		2	22.22			Excluded								9	
		TOTAL					5	2.03		27	10.98		214	86.99											246	
	SIXTH							Excluded		3	60.00		2	40.00											5	
		TOTAL								30	12.20		216	87.80											246	
													Elected													
																										
Matong                                                         																										
	FIRST			4	2.90		8	5.80		25	18.12		97	70.29		1	0.72		2	1.45		1	0.72		138	
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		4	2.90		8	5.80		25	18.12		99	71.74		1	0.72					1	0.72		138	
	THIRD				Excluded		2	50.00		1	25.00		0	0.00		0	0.00					1	25.00		4	
		TOTAL					10	7.25		26	18.84		99	71.74		1	0.72					2	1.45		138	
	FOURTH						0	0.00		0	0.00		2	100.00		0	0.00						Excluded		2	
		TOTAL					10	7.25		26	18.84		101	73.19		1	0.72								138	
	FIFTH						0	0.00		1	100.00		0	0.00			Excluded								1	
		TOTAL					10	7.25		27	19.57		101	73.19											138	
	SIXTH							Excluded		4	40.00		6	60.00											10	
		TOTAL								31	22.46		107	77.54											138	
													Elected													
																										
Mount Austin                                                   																										
	FIRST			53	2.35		140	6.22		555	24.66		1326	58.91		61	2.71		43	1.91		73	3.24		2251	
	SECOND			4	9.30		0	0.00		4	9.30		29	67.44		3	6.98			Excluded		3	6.98		43	
		TOTAL		57	2.53		140	6.22		559	24.83		1355	60.20		64	2.84					76	3.38		2251	
	THIRD				Excluded		23	40.35		7	12.28		15	26.32		7	12.28					5	8.77		57	
		TOTAL					163	7.24		566	25.14		1370	60.86		71	3.15					81	3.60		2251	
	FOURTH						5	6.17		24	29.63		29	35.80		23	28.40						Excluded		81	
		TOTAL					168	7.46		590	26.21		1399	62.15		94	4.18								2251	
	FIFTH						7	7.45		39	41.49		48	51.06			Excluded								94	
		TOTAL					175	7.77		629	27.94		1447	64.28											2251	
	SIXTH							Excluded		71	40.57		104	59.43											175	
		TOTAL								700	31.10		1551	68.90											2251	
													Elected													
																										
Murrami                                                        																										
	FIRST			1	0.76		13	9.92		20	15.27		95	72.52		1	0.76		0	0.00		1	0.76		131	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.76		13	9.92		20	15.27		95	72.52		1	0.76					1	0.76		131	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					14	10.69		20	15.27		95	72.52		1	0.76					1	0.76		131	
	FOURTH						0	0.00		0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL					14	10.69		20	15.27		95	72.52		2	1.53								131	
	FIFTH						2	100.00		0	0.00		0	0.00			Excluded								2	
		TOTAL					16	12.21		20	15.27		95	72.52											131	
	SIXTH							Excluded		6	37.50		10	62.50											16	
		TOTAL								26	19.85		105	80.15											131	
													Elected													
																										
Nangus                                                         																										
	FIRST			2	1.43		4	2.86		36	25.71		95	67.86		0	0.00		1	0.71		2	1.43		140	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		2	1.43		4	2.86		36	25.71		96	68.57		0	0.00					2	1.43		140	
	THIRD				Excluded		1	50.00		1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					5	3.57		37	26.43		96	68.57		0	0.00					2	1.43		140	
	FOURTH						0	0.00		1	50.00		1	50.00		0	0.00						Excluded		2	
		TOTAL					5	3.57		38	27.14		97	69.29		0	0.00								140	
	FIFTH						0	0.00		0	0.00		0	0.00			Excluded								0	
		TOTAL					5	3.57		38	27.14		97	69.29											140	
	SIXTH							Excluded		4	80.00		1	20.00											5	
		TOTAL								42	30.00		98	70.00											140	
													Elected													
																										
Narrandera                                                     																										
	FIRST			45	2.94		129	8.43		381	24.90		897	58.63		21	1.37		31	2.03		26	1.70		1530	
	SECOND			5	16.13		1	3.23		3	9.68		18	58.06		2	6.45			Excluded		2	6.45		31	
		TOTAL		50	3.27		130	8.50		384	25.10		915	59.80		23	1.50					28	1.83		1530	
	THIRD				Excluded		22	44.00		10	20.00		12	24.00		3	6.00					3	6.00		50	
		TOTAL					152	9.93		394	25.75		927	60.59		26	1.70					31	2.03		1530	
	FOURTH						4	12.90		6	19.35		9	29.03		12	38.71						Excluded		31	
		TOTAL					156	10.20		400	26.14		936	61.18		38	2.48								1530	
	FIFTH						6	15.79		16	42.11		16	42.11			Excluded								38	
		TOTAL					162	10.59		416	27.19		952	62.22											1530	
	SIXTH							Excluded		55	33.95		107	66.05											162	
		TOTAL								471	30.78		1059	69.22											1530	
													Elected													
																										
Narrandera East                                                																										
	FIRST			9	1.43		24	3.81		191	30.32		378	60.00		7	1.11		12	1.90		9	1.43		630	
	SECOND			2	16.67		0	0.00		0	0.00		8	66.67		1	8.33			Excluded		1	8.33		12	
		TOTAL		11	1.75		24	3.81		191	30.32		386	61.27		8	1.27					10	1.59		630	
	THIRD				Excluded		5	45.45		3	27.27		3	27.27		0	0.00					0	0.00		11	
		TOTAL					29	4.60		194	30.79		389	61.75		8	1.27					10	1.59		630	
	FOURTH						0	0.00		3	30.00		3	30.00		4	40.00						Excluded		10	
		TOTAL					29	4.60		197	31.27		392	62.22		12	1.90								630	
	FIFTH						1	8.33		6	50.00		5	41.67			Excluded								12	
		TOTAL					30	4.76		203	32.22		397	63.02											630	
	SIXTH							Excluded		13	43.33		17	56.67											30	
		TOTAL								216	34.29		414	65.71											630	
													Elected													
																										
Narrandera West                                                																										
	FIRST			9	1.97		18	3.95		146	32.02		238	52.19		6	1.32		26	5.70		13	2.85		456	
	SECOND			0	0.00		0	0.00		3	11.54		23	88.46		0	0.00			Excluded		0	0.00		26	
		TOTAL		9	1.97		18	3.95		149	32.68		261	57.24		6	1.32					13	2.85		456	
	THIRD				Excluded		8	88.89		0	0.00		0	0.00		0	0.00					1	11.11		9	
		TOTAL					26	5.70		149	32.68		261	57.24		6	1.32					14	3.07		456	
	FOURTH						0	0.00		5	35.71		4	28.57		5	35.71						Excluded		14	
		TOTAL					26	5.70		154	33.77		265	58.11		11	2.41								456	
	FIFTH						4	36.36		4	36.36		3	27.27			Excluded								11	
		TOTAL					30	6.58		158	34.65		268	58.77											456	
	SIXTH							Excluded		18	60.00		12	40.00											30	
		TOTAL								176	38.60		280	61.40											456	
													Elected													
																										
Parkview                                                       																										
	FIRST			15	1.64		48	5.26		305	33.44		500	54.82		17	1.86		16	1.75		11	1.21		912	
	SECOND			0	0.00		1	6.25		1	6.25		12	75.00		1	6.25			Excluded		1	6.25		16	
		TOTAL		15	1.64		49	5.37		306	33.55		512	56.14		18	1.97					12	1.32		912	
	THIRD				Excluded		8	53.33		3	20.00		3	20.00		0	0.00					1	6.67		15	
		TOTAL					57	6.25		309	33.88		515	56.47		18	1.97					13	1.43		912	
	FOURTH						2	15.38		2	15.38		2	15.38		7	53.85						Excluded		13	
		TOTAL					59	6.47		311	34.10		517	56.69		25	2.74								912	
	FIFTH						3	12.00		16	64.00		6	24.00			Excluded								25	
		TOTAL					62	6.80		327	35.86		523	57.35											912	
	SIXTH							Excluded		32	51.61		30	48.39											62	
		TOTAL								359	39.36		553	60.64											912	
													Elected													
																										
Rankins Springs                                                																										
	FIRST			1	0.74		18	13.24		29	21.32		88	64.71		0	0.00		0	0.00		0	0.00		136	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.74		18	13.24		29	21.32		88	64.71		0	0.00					0	0.00		136	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					19	13.97		29	21.32		88	64.71		0	0.00					0	0.00		136	
	FOURTH						0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL					19	13.97		29	21.32		88	64.71		0	0.00								136	
	FIFTH						0	0.00		0	0.00		0	0.00			Excluded								0	
		TOTAL					19	13.97		29	21.32		88	64.71											136	
	SIXTH							Excluded		5	26.32		14	73.68											19	
		TOTAL								34	25.00		102	75.00											136	
													Elected													
																										
San Isidore                                                    																										
	FIRST			4	1.93		15	7.25		44	21.26		103	49.76		17	8.21		19	9.18		5	2.42		207	
	SECOND			1	5.26		1	5.26		1	5.26		13	68.42		1	5.26			Excluded		2	10.53		19	
		TOTAL		5	2.42		16	7.73		45	21.74		116	56.04		18	8.70					7	3.38		207	
	THIRD				Excluded		1	20.00		0	0.00		2	40.00		2	40.00					0	0.00		5	
		TOTAL					17	8.21		45	21.74		118	57.00		20	9.66					7	3.38		207	
	FOURTH						0	0.00		1	14.29		2	28.57		4	57.14						Excluded		7	
		TOTAL					17	8.21		46	22.22		120	57.97		24	11.59								207	
	FIFTH						3	12.50		10	41.67		11	45.83			Excluded								24	
		TOTAL					20	9.66		56	27.05		131	63.29											207	
	SIXTH							Excluded		8	40.00		12	60.00											20	
		TOTAL								64	30.92		143	69.08											207	
