House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
New England																							
				REINER			MCCARTHY			WINDSOR			BOUNDS			REARDON			ST. CLAIR				
	FIRST			6	5.94		31	30.69		12	11.88		14	13.86		0	0.00		38	37.62		101	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	5.94		31	30.69		12	11.88		14	13.86					38	37.62		101	
	THIRD				Excluded		3	50.00		2	33.33		1	16.67					0	0.00		6	
		TOTAL					34	33.66		14	13.86		15	14.85					38	37.62		101	
	FOURTH						4	26.67		3	20.00			Excluded					8	53.33		15	
		TOTAL					38	37.62		17	16.83								46	45.54		101	
	FIFTH							Excluded		28	73.68								10	26.32		38	
		TOTAL								45	44.55								56	55.45		101	
										Elected													
																							
Jubullum                                                       																							
	FIRST			2	4.76		34	80.95		1	2.38		1	2.38		1	2.38		3	7.14		42	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		2	4.76		34	80.95		2	4.76		1	2.38					3	7.14		42	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					36	85.71		2	4.76		1	2.38					3	7.14		42	
	FOURTH						1	100.00		0	0.00			Excluded					0	0.00		1	
		TOTAL					37	88.10		2	4.76								3	7.14		42	
	FIFTH							Excluded		23	62.16								14	37.84		37	
		TOTAL								25	59.52								17	40.48		42	
										Elected													
																							
Kentucky                                                       																							
	FIRST			4	2.07		13	6.74		92	47.67		3	1.55		0	0.00		81	41.97		193	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	2.07		13	6.74		92	47.67		3	1.55					81	41.97		193	
	THIRD				Excluded		1	25.00		3	75.00		0	0.00					0	0.00		4	
		TOTAL					14	7.25		95	49.22		3	1.55					81	41.97		193	
	FOURTH						0	0.00		2	66.67			Excluded					1	33.33		3	
		TOTAL					14	7.25		97	50.26								82	42.49		193	
	FIFTH							Excluded		10	71.43								4	28.57		14	
		TOTAL								107	55.44								86	44.56		193	
										Elected													
																							
Kingstown                                                      																							
	FIRST			0	0.00		5	5.10		30	30.61		5	5.10		0	0.00		58	59.18		98	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		5	5.10		30	30.61		5	5.10					58	59.18		98	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					5	5.10		30	30.61		5	5.10					58	59.18		98	
	FOURTH						2	40.00		3	60.00			Excluded					0	0.00		5	
		TOTAL					7	7.14		33	33.67								58	59.18		98	
	FIFTH							Excluded		7	100.00								0	0.00		7	
		TOTAL								40	40.82								58	59.18		98	
										Elected													
																							
Kootingal                                                      																							
	FIRST			10	0.78		85	6.64		742	57.92		29	2.26		3	0.23		412	32.16		1281	
	SECOND			2	66.67		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		3	
		TOTAL		12	0.94		85	6.64		742	57.92		30	2.34					412	32.16		1281	
	THIRD				Excluded		7	58.33		5	41.67		0	0.00					0	0.00		12	
		TOTAL					92	7.18		747	58.31		30	2.34					412	32.16		1281	
	FOURTH						7	23.33		17	56.67			Excluded					6	20.00		30	
		TOTAL					99	7.73		764	59.64								418	32.63		1281	
	FIFTH							Excluded		90	90.91								9	9.09		99	
		TOTAL								854	66.67								427	33.33		1281	
										Elected													
																							
Legume                                                         																							
	FIRST			1	0.66		15	9.87		9	5.92		17	11.18		1	0.66		109	71.71		152	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		2	1.32		15	9.87		9	5.92		17	11.18					109	71.71		152	
	THIRD				Excluded		0	0.00		1	50.00		1	50.00					0	0.00		2	
		TOTAL					15	9.87		10	6.58		18	11.84					109	71.71		152	
	FOURTH						4	22.22		7	38.89			Excluded					7	38.89		18	
		TOTAL					19	12.50		17	11.18								116	76.32		152	
	FIFTH							Excluded		16	84.21								3	15.79		19	
		TOTAL								33	21.71								119	78.29		152	
										Elected													
																							
Liston                                                         																							
	FIRST			7	4.96		18	12.77		19	13.48		4	2.84		9	6.38		84	59.57		141	
	SECOND			2	22.22		2	22.22		3	33.33		0	0.00			Excluded		2	22.22		9	
		TOTAL		9	6.38		20	14.18		22	15.60		4	2.84					86	60.99		141	
	THIRD				Excluded		5	55.56		2	22.22		0	0.00					2	22.22		9	
		TOTAL					25	17.73		24	17.02		4	2.84					88	62.41		141	
	FOURTH						1	25.00		1	25.00			Excluded					2	50.00		4	
		TOTAL					26	18.44		25	17.73								90	63.83		141	
	FIFTH							Excluded		20	76.92								6	23.08		26	
		TOTAL								45	31.91								96	68.09		141	
										Elected													
																							
Loomberah                                                      																							
	FIRST			1	0.57		5	2.86		78	44.57		5	2.86		2	1.14		84	48.00		175	
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		2	1.14		5	2.86		79	45.14		5	2.86					84	48.00		175	
	THIRD				Excluded		1	50.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL					6	3.43		80	45.71		5	2.86					84	48.00		175	
	FOURTH						0	0.00		4	80.00			Excluded					1	20.00		5	
		TOTAL					6	3.43		84	48.00								85	48.57		175	
	FIFTH							Excluded		6	100.00								0	0.00		6	
		TOTAL								90	51.43								85	48.57		175	
										Elected													
																							
Manilla                                                        																							
	FIRST			21	1.17		208	11.55		930	51.64		71	3.94		8	0.44		563	31.26		1801	
	SECOND			2	25.00		3	37.50		2	25.00		0	0.00			Excluded		1	12.50		8	
		TOTAL		23	1.28		211	11.72		932	51.75		71	3.94					564	31.32		1801	
	THIRD				Excluded		9	39.13		11	47.83		1	4.35					2	8.70		23	
		TOTAL					220	12.22		943	52.36		72	4.00					566	31.43		1801	
	FOURTH						12	16.67		50	69.44			Excluded					10	13.89		72	
		TOTAL					232	12.88		993	55.14								576	31.98		1801	
	FIFTH							Excluded		219	94.40								13	5.60		232	
		TOTAL								1212	67.30								589	32.70		1801	
										Elected													
																							
Martins Gully                                                  																							
	FIRST			29	4.37		48	7.23		297	44.73		6	0.90		6	0.90		278	41.87		664	
	SECOND			3	50.00		2	33.33		1	16.67		0	0.00			Excluded		0	0.00		6	
		TOTAL		32	4.82		50	7.53		298	44.88		6	0.90					278	41.87		664	
	THIRD				Excluded		16	50.00		15	46.88		1	3.13					0	0.00		32	
		TOTAL					66	9.94		313	47.14		7	1.05					278	41.87		664	
	FOURTH						2	28.57		4	57.14			Excluded					1	14.29		7	
		TOTAL					68	10.24		317	47.74								279	42.02		664	
	FIFTH							Excluded		62	91.18								6	8.82		68	
		TOTAL								379	57.08								285	42.92		664	
										Elected													
																							
Mole Crossing                                                  																							
	FIRST			3	3.33		3	3.33		7	7.78		19	21.11		0	0.00		58	64.44		90	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	3.33		3	3.33		7	7.78		19	21.11					58	64.44		90	
	THIRD				Excluded		1	33.33		2	66.67		0	0.00					0	0.00		3	
		TOTAL					4	4.44		9	10.00		19	21.11					58	64.44		90	
	FOURTH						3	15.79		7	36.84			Excluded					9	47.37		19	
		TOTAL					7	7.78		16	17.78								67	74.44		90	
	FIFTH							Excluded		7	100.00								0	0.00		7	
		TOTAL								23	25.56								67	74.44		90	
										Elected													
																							
Moonbi                                                         																							
	FIRST			6	1.14		18	3.43		288	54.86		13	2.48		3	0.57		197	37.52		525	
	SECOND			1	33.33		0	0.00		2	66.67		0	0.00			Excluded		0	0.00		3	
		TOTAL		7	1.33		18	3.43		290	55.24		13	2.48					197	37.52		525	
	THIRD				Excluded		3	42.86		3	42.86		0	0.00					1	14.29		7	
		TOTAL					21	4.00		293	55.81		13	2.48					198	37.71		525	
	FOURTH						0	0.00		7	53.85			Excluded					6	46.15		13	
		TOTAL					21	4.00		300	57.14								204	38.86		525	
	FIFTH							Excluded		19	90.48								2	9.52		21	
		TOTAL								319	60.76								206	39.24		525	
										Elected													
																							
Moor Creek                                                     																							
	FIRST			4	0.87		12	2.61		238	51.85		8	1.74		2	0.44		195	42.48		459	
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		5	1.09		12	2.61		239	52.07		8	1.74					195	42.48		459	
	THIRD				Excluded		2	40.00		3	60.00		0	0.00					0	0.00		5	
		TOTAL					14	3.05		242	52.72		8	1.74					195	42.48		459	
	FOURTH						0	0.00		7	87.50			Excluded					1	12.50		8	
		TOTAL					14	3.05		249	54.25								196	42.70		459	
	FIFTH							Excluded		13	92.86								1	7.14		14	
		TOTAL								262	57.08								197	42.92		459	
										Elected													
																							
Nazareth House                                                 																							
	FIRST			1	0.53		15	7.89		74	38.95		5	2.63		2	1.05		93	48.95		190	
	SECOND			2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		3	1.58		15	7.89		74	38.95		5	2.63					93	48.95		190	
	THIRD				Excluded		3	100.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL					18	9.47		74	38.95		5	2.63					93	48.95		190	
	FOURTH						0	0.00		2	40.00			Excluded					3	60.00		5	
		TOTAL					18	9.47		76	40.00								96	50.53		190	
	FIFTH							Excluded		13	72.22								5	27.78		18	
		TOTAL								89	46.84								101	53.16		190	
										Elected													
																							
Nemingha                                                       																							
	FIRST			7	0.99		28	3.98		401	56.96		16	2.27		3	0.43		249	35.37		704	
	SECOND			0	0.00		1	33.33		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		7	0.99		29	4.12		402	57.10		16	2.27					250	35.51		704	
	THIRD				Excluded		5	71.43		1	14.29		0	0.00					1	14.29		7	
		TOTAL					34	4.83		403	57.24		16	2.27					251	35.65		704	
	FOURTH						4	25.00		9	56.25			Excluded					3	18.75		16	
		TOTAL					38	5.40		412	58.52								254	36.08		704	
	FIFTH							Excluded		33	86.84								5	13.16		38	
		TOTAL								445	63.21								259	36.79		704	
										Elected													
																							
Niangala                                                       																							
	FIRST			0	0.00		4	3.54		59	52.21		3	2.65		1	0.88		46	40.71		113	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		1	0.88		4	3.54		59	52.21		3	2.65					46	40.71		113	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					5	4.42		59	52.21		3	2.65					46	40.71		113	
	FOURTH						0	0.00		2	66.67			Excluded					1	33.33		3	
		TOTAL					5	4.42		61	53.98								47	41.59		113	
	FIFTH							Excluded		4	80.00								1	20.00		5	
		TOTAL								65	57.52								48	42.48		113	
										Elected													
																							
Nowendoc                                                       																							
	FIRST			2	2.33		5	5.81		39	45.35		2	2.33		0	0.00		38	44.19		86	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	2.33		5	5.81		39	45.35		2	2.33					38	44.19		86	
	THIRD				Excluded		1	50.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL					6	6.98		39	45.35		2	2.33					39	45.35		86	
	FOURTH						0	0.00		0	0.00			Excluded					2	100.00		2	
		TOTAL					6	6.98		39	45.35								41	47.67		86	
	FIFTH							Excluded		5	83.33								1	16.67		6	
		TOTAL								44	51.16								42	48.84		86	
										Elected													
																							
Nundle                                                         																							
	FIRST			3	0.75		29	7.21		219	54.48		13	3.23		4	1.00		134	33.33		402	
	SECOND			0	0.00		0	0.00		3	75.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		3	0.75		29	7.21		222	55.22		13	3.23					135	33.58		402	
	THIRD				Excluded		2	66.67		1	33.33		0	0.00					0	0.00		3	
		TOTAL					31	7.71		223	55.47		13	3.23					135	33.58		402	
	FOURTH						2	15.38		7	53.85			Excluded					4	30.77		13	
		TOTAL					33	8.21		230	57.21								139	34.58		402	
	FIFTH							Excluded		30	90.91								3	9.09		33	
		TOTAL								260	64.68								142	35.32		402	
										Elected													
																							
Oxley Vale                                                     																							
	FIRST			10	0.64		99	6.33		907	58.03		38	2.43		3	0.19		506	32.37		1563	
	SECOND			1	33.33		0	0.00		2	66.67		0	0.00			Excluded		0	0.00		3	
		TOTAL		11	0.70		99	6.33		909	58.16		38	2.43					506	32.37		1563	
	THIRD				Excluded		6	54.55		3	27.27		1	9.09					1	9.09		11	
		TOTAL					105	6.72		912	58.35		39	2.50					507	32.44		1563	
	FOURTH						8	20.51		25	64.10			Excluded					6	15.38		39	
		TOTAL					113	7.23		937	59.95								513	32.82		1563	
	FIFTH							Excluded		101	89.38								12	10.62		113	
		TOTAL								1038	66.41								525	33.59		1563	
										Elected													
																							
Peel High                                                      																							
	FIRST			14	0.86		166	10.25		1027	63.40		39	2.41		6	0.37		368	22.72		1620	
	SECOND			2	33.33		0	0.00		1	16.67		1	16.67			Excluded		2	33.33		6	
		TOTAL		16	0.99		166	10.25		1028	63.46		40	2.47					370	22.84		1620	
	THIRD				Excluded		7	43.75		4	25.00		2	12.50					3	18.75		16	
		TOTAL					173	10.68		1032	63.70		42	2.59					373	23.02		1620	
	FOURTH						8	19.05		25	59.52			Excluded					9	21.43		42	
		TOTAL					181	11.17		1057	65.25								382	23.58		1620	
	FIFTH							Excluded		164	90.61								17	9.39		181	
		TOTAL								1221	75.37								399	24.63		1620	
										Elected													
																							
Red Range                                                      																							
	FIRST			0	0.00		12	8.39		32	22.38		3	2.10		0	0.00		96	67.13		143	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		12	8.39		32	22.38		3	2.10					96	67.13		143	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					12	8.39		32	22.38		3	2.10					96	67.13		143	
	FOURTH						0	0.00		2	66.67			Excluded					1	33.33		3	
		TOTAL					12	8.39		34	23.78								97	67.83		143	
	FIFTH							Excluded		10	83.33								2	16.67		12	
		TOTAL								44	30.77								99	69.23		143	
										Elected													
																							
Rocky River                                                    																							
	FIRST			9	4.15		31	14.29		106	48.85		3	1.38		6	2.76		62	28.57		217	
	SECOND			2	33.33		2	33.33		1	16.67		0	0.00			Excluded		1	16.67		6	
		TOTAL		11	5.07		33	15.21		107	49.31		3	1.38					63	29.03		217	
	THIRD				Excluded		8	72.73		2	18.18		0	0.00					1	9.09		11	
		TOTAL					41	18.89		109	50.23		3	1.38					64	29.49		217	
	FOURTH						0	0.00		3	100.00			Excluded					0	0.00		3	
		TOTAL					41	18.89		112	51.61								64	29.49		217	
	FIFTH							Excluded		39	95.12								2	4.88		41	
		TOTAL								151	69.59								66	30.41		217	
										Elected													
																							
Ross Hill                                                      																							
	FIRST			16	0.86		179	9.57		735	39.28		41	2.19		8	0.43		892	47.68		1871	
	SECOND			1	12.50		0	0.00		4	50.00		3	37.50			Excluded		0	0.00		8	
		TOTAL		17	0.91		179	9.57		739	39.50		44	2.35					892	47.68		1871	
	THIRD				Excluded		7	41.18		6	35.29		4	23.53					0	0.00		17	
		TOTAL					186	9.94		745	39.82		48	2.57					892	47.68		1871	
	FOURTH						9	18.75		24	50.00			Excluded					15	31.25		48	
		TOTAL					195	10.42		769	41.10								907	48.48		1871	
	FIFTH							Excluded		167	85.64								28	14.36		195	
		TOTAL								936	50.03								935	49.97		1871	
										Elected													
																							
Somerton                                                       																							
	FIRST			1	0.51		13	6.63		86	43.88		6	3.06		0	0.00		90	45.92		196	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.51		13	6.63		86	43.88		6	3.06					90	45.92		196	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					14	7.14		86	43.88		6	3.06					90	45.92		196	
	FOURTH						1	16.67		3	50.00			Excluded					2	33.33		6	
		TOTAL					15	7.65		89	45.41								92	46.94		196	
	FIFTH							Excluded		8	53.33								7	46.67		15	
		TOTAL								97	49.49								99	50.51		196	
										Elected													
																							
Sunnyside                                                      																							
	FIRST			5	3.18		5	3.18		23	14.65		7	4.46		3	1.91		114	72.61		157	
	SECOND			3	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		8	5.10		5	3.18		23	14.65		7	4.46					114	72.61		157	
	THIRD				Excluded		3	37.50		4	50.00		0	0.00					1	12.50		8	
		TOTAL					8	5.10		27	17.20		7	4.46					115	73.25		157	
	FOURTH						3	42.86		3	42.86			Excluded					1	14.29		7	
		TOTAL					11	7.01		30	19.11								116	73.89		157	
	FIFTH							Excluded		8	72.73								3	27.27		11	
		TOTAL								38	24.20								119	75.80		157	
										Elected													
																							
Sydney (New England)                                           																							
	FIRST			3	6.82		6	13.64		21	47.73		0	0.00		1	2.27		13	29.55		44	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		4	9.09		6	13.64		21	47.73		0	0.00					13	29.55		44	
	THIRD				Excluded		2	50.00		1	25.00		0	0.00					1	25.00		4	
		TOTAL					8	18.18		22	50.00		0	0.00					14	31.82		44	
	FOURTH						0	0.00		0	0.00			Excluded					0	0.00		0	
		TOTAL					8	18.18		22	50.00								14	31.82		44	
	FIFTH							Excluded		7	87.50								1	12.50		8	
		TOTAL								29	65.91								15	34.09		44	
										Elected													
																							
Tamworth                                                       																							
	FIRST			22	1.39		132	8.33		877	55.37		22	1.39		22	1.39		509	32.13		1584	
	SECOND			7	31.82		6	27.27		2	9.09		1	4.55			Excluded		6	27.27		22	
		TOTAL		29	1.83		138	8.71		879	55.49		23	1.45					515	32.51		1584	
	THIRD				Excluded		11	37.93		14	48.28		2	6.90					2	6.90		29	
		TOTAL					149	9.41		893	56.38		25	1.58					517	32.64		1584	
	FOURTH						7	28.00		15	60.00			Excluded					3	12.00		25	
		TOTAL					156	9.85		908	57.32								520	32.83		1584	
	FIFTH							Excluded		140	89.74								16	10.26		156	
		TOTAL								1048	66.16								536	33.84		1584	
										Elected													
																							
Tamworth High                                                  																							
	FIRST			30	0.69		367	8.49		2508	58.00		94	2.17		20	0.46		1305	30.18		4324	
	SECOND			6	30.00		4	20.00		7	35.00		1	5.00			Excluded		2	10.00		20	
		TOTAL		36	0.83		371	8.58		2515	58.16		95	2.20					1307	30.23		4324	
	THIRD				Excluded		17	47.22		12	33.33		5	13.89					2	5.56		36	
		TOTAL					388	8.97		2527	58.44		100	2.31					1309	30.27		4324	
	FOURTH						24	24.00		57	57.00			Excluded					19	19.00		100	
		TOTAL					412	9.53		2584	59.76								1328	30.71		4324	
	FIFTH							Excluded		362	87.86								50	12.14		412	
		TOTAL								2946	68.13								1378	31.87		4324	
										Elected													
																							
Tamworth Primary                                               																							
	FIRST			46	1.33		204	5.89		1818	52.47		52	1.50		33	0.95		1312	37.86		3465	
	SECOND			17	51.52		5	15.15		8	24.24		0	0.00			Excluded		3	9.09		33	
		TOTAL		63	1.82		209	6.03		1826	52.70		52	1.50					1315	37.95		3465	
	THIRD				Excluded		28	44.44		27	42.86		2	3.17					6	9.52		63	
		TOTAL					237	6.84		1853	53.48		54	1.56					1321	38.12		3465	
	FOURTH						6	11.11		34	62.96			Excluded					14	25.93		54	
		TOTAL					243	7.01		1887	54.46								1335	38.53		3465	
	FIFTH							Excluded		222	91.36								21	8.64		243	
		TOTAL								2109	60.87								1356	39.13		3465	
										Elected													
																							
Tamworth West                                                  																							
	FIRST			13	0.67		137	7.07		1127	58.18		23	1.19		10	0.52		627	32.37		1937	
	SECOND			1	10.00		3	30.00		5	50.00		0	0.00			Excluded		1	10.00		10	
		TOTAL		14	0.72		140	7.23		1132	58.44		23	1.19					628	32.42		1937	
	THIRD				Excluded		4	28.57		8	57.14		1	7.14					1	7.14		14	
		TOTAL					144	7.43		1140	58.85		24	1.24					629	32.47		1937	
	FOURTH						5	20.83		10	41.67			Excluded					9	37.50		24	
		TOTAL					149	7.69		1150	59.37								638	32.94		1937	
	FIFTH							Excluded		132	88.59								17	11.41		149	
		TOTAL								1282	66.18								655	33.82		1937	
										Elected													
																							
Tenterfield                                                    																							
	FIRST			63	2.91		404	18.64		483	22.29		100	4.61		30	1.38		1087	50.16		2167	
	SECOND			7	23.33		4	13.33		9	30.00		2	6.67			Excluded		8	26.67		30	
		TOTAL		70	3.23		408	18.83		492	22.70		102	4.71					1095	50.53		2167	
	THIRD				Excluded		32	45.71		30	42.86		5	7.14					3	4.29		70	
		TOTAL					440	20.30		522	24.09		107	4.94					1098	50.67		2167	
	FOURTH						28	26.17		46	42.99			Excluded					33	30.84		107	
		TOTAL					468	21.60		568	26.21								1131	52.19		2167	
	FIFTH							Excluded		393	83.97								75	16.03		468	
		TOTAL								961	44.35								1206	55.65		2167	
										Elected													
																							
Timbumburi                                                     																							
	FIRST			0	0.00		12	2.78		209	48.38		13	3.01		2	0.46		196	45.37		432	
	SECOND			0	0.00		2	100.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		0	0.00		14	3.24		209	48.38		13	3.01					196	45.37		432	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					14	3.24		209	48.38		13	3.01					196	45.37		432	
	FOURTH						2	15.38		9	69.23			Excluded					2	15.38		13	
		TOTAL					16	3.70		218	50.46								198	45.83		432	
	FIFTH							Excluded		14	87.50								2	12.50		16	
		TOTAL								232	53.70								200	46.30		432	
										Elected													
																							
Tingha                                                         																							
	FIRST			6	1.22		67	13.67		191	38.98		50	10.20		3	0.61		173	35.31		490	
	SECOND			0	0.00		1	33.33		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		6	1.22		68	13.88		192	39.18		50	10.20					174	35.51		490	
	THIRD				Excluded		3	50.00		2	33.33		0	0.00					1	16.67		6	
		TOTAL					71	14.49		194	39.59		50	10.20					175	35.71		490	
	FOURTH						14	28.00		22	44.00			Excluded					14	28.00		50	
		TOTAL					85	17.35		216	44.08								189	38.57		490	
	FIFTH							Excluded		69	81.18								16	18.82		85	
		TOTAL								285	58.16								205	41.84		490	
										Elected													
																							
Upper Horton                                                   																							
	FIRST			0	0.00		6	5.61		30	28.04		8	7.48		0	0.00		63	58.88		107	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		6	5.61		30	28.04		8	7.48					63	58.88		107	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					6	5.61		30	28.04		8	7.48					63	58.88		107	
	FOURTH						2	25.00		1	12.50			Excluded					5	62.50		8	
		TOTAL					8	7.48		31	28.97								68	63.55		107	
	FIFTH							Excluded		5	62.50								3	37.50		8	
		TOTAL								36	33.64								71	66.36		107	
										Elected													
																							
Uralla                                                         																							
	FIRST			51	2.95		277	16.05		783	45.37		28	1.62		19	1.10		568	32.91		1726	
	SECOND			7	36.84		4	21.05		5	26.32		1	5.26			Excluded		2	10.53		19	
		TOTAL		58	3.36		281	16.28		788	45.65		29	1.68					570	33.02		1726	
	THIRD				Excluded		35	60.34		18	31.03		2	3.45					3	5.17		58	
		TOTAL					316	18.31		806	46.70		31	1.80					573	33.20		1726	
	FOURTH						12	38.71		12	38.71			Excluded					7	22.58		31	
		TOTAL					328	19.00		818	47.39								580	33.60		1726	
	FIFTH							Excluded		292	89.02								36	10.98		328	
		TOTAL								1110	64.31								616	35.69		1726	
										Elected													
																							
Urbenville                                                     																							
	FIRST			8	5.03		32	20.13		12	7.55		8	5.03		1	0.63		98	61.64		159	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		8	5.03		32	20.13		13	8.18		8	5.03					98	61.64		159	
	THIRD				Excluded		5	62.50		2	25.00		1	12.50					0	0.00		8	
		TOTAL					37	23.27		15	9.43		9	5.66					98	61.64		159	
	FOURTH						1	11.11		3	33.33			Excluded					5	55.56		9	
		TOTAL					38	23.90		18	11.32								103	64.78		159	
	FIFTH							Excluded		32	84.21								6	15.79		38	
		TOTAL								50	31.45								109	68.55		159	
										Elected													
																							
Walcha                                                         																							
	FIRST			15	0.98		115	7.53		738	48.33		32	2.10		3	0.20		624	40.86		1527	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		16	1.05		115	7.53		738	48.33		32	2.10					626	41.00		1527	
	THIRD				Excluded		10	62.50		4	25.00		0	0.00					2	12.50		16	
		TOTAL					125	8.19		742	48.59		32	2.10					628	41.13		1527	
	FOURTH						3	9.38		24	75.00			Excluded					5	15.63		32	
		TOTAL					128	8.38		766	50.16								633	41.45		1527	
	FIFTH							Excluded		116	90.63								12	9.38		128	
		TOTAL								882	57.76								645	42.24		1527	
										Elected													
																							
Werris Creek                                                   																							
	FIRST			3	0.32		92	9.80		732	77.96		35	3.73		0	0.00		77	8.20		939	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	0.32		92	9.80		732	77.96		35	3.73					77	8.20		939	
	THIRD				Excluded		1	33.33		2	66.67		0	0.00					0	0.00		3	
		TOTAL					93	9.90		734	78.17		35	3.73					77	8.20		939	
	FOURTH						5	14.29		23	65.71			Excluded					7	20.00		35	
		TOTAL					98	10.44		757	80.62								84	8.95		939	
	FIFTH							Excluded		82	83.67								16	16.33		98	
		TOTAL								839	89.35								100	10.65		939	
										Elected													
																							
Westdale                                                       																							
	FIRST			6	0.58		45	4.32		589	56.53		26	2.50		4	0.38		372	35.70		1042	
	SECOND			0	0.00		0	0.00		3	75.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		6	0.58		45	4.32		592	56.81		26	2.50					373	35.80		1042	
	THIRD				Excluded		0	0.00		4	66.67		1	16.67					1	16.67		6	
		TOTAL					45	4.32		596	57.20		27	2.59					374	35.89		1042	
	FOURTH						9	33.33		16	59.26			Excluded					2	7.41		27	
		TOTAL					54	5.18		612	58.73								376	36.08		1042	
	FIFTH							Excluded		45	83.33								9	16.67		54	
		TOTAL								657	63.05								385	36.95		1042	
										Elected													
																							
Wollomombi                                                     																							
	FIRST			2	1.92		6	5.77		36	34.62		1	0.96		0	0.00		59	56.73		104	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.92		6	5.77		36	34.62		1	0.96					59	56.73		104	
	THIRD				Excluded		1	50.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL					7	6.73		36	34.62		1	0.96					60	57.69		104	
	FOURTH						0	0.00		0	0.00			Excluded					1	100.00		1	
		TOTAL					7	6.73		36	34.62								61	58.65		104	
	FIFTH							Excluded		4	57.14								3	42.86		7	
		TOTAL								40	38.46								64	61.54		104	
										Elected													
																							
Woolbrook                                                      																							
	FIRST			2	1.64		5	4.10		54	44.26		5	4.10		0	0.00		56	45.90		122	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.64		5	4.10		54	44.26		5	4.10					56	45.90		122	
	THIRD				Excluded		1	50.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL					6	4.92		55	45.08		5	4.10					56	45.90		122	
	FOURTH						2	40.00		1	20.00			Excluded					2	40.00		5	
		TOTAL					8	6.56		56	45.90								58	47.54		122	
	FIFTH							Excluded		7	87.50								1	12.50		8	
		TOTAL								63	51.64								59	48.36		122	
										Elected													
																							
Woolomin                                                       																							
	FIRST			2	1.09		25	13.59		97	52.72		3	1.63		0	0.00		57	30.98		184	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.09		25	13.59		97	52.72		3	1.63					57	30.98		184	
	THIRD				Excluded		1	50.00		0	0.00		1	50.00					0	0.00		2	
