House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Lindsay																																									
				PHILLIPS			BRADBURY			EDWARDS			COURTNEY			NIXON			WATERS			MITCHELL			WALKER			BROWN			KELLY			EYKAMP			LINDSAY-HENDERSON				
		TOTAL		61	2.65		685	29.71		51	2.21					78	3.38											50	2.17		1381	59.89								2306	
	EIGHTH				Excluded		23	37.70		4	6.56					5	8.20											11	18.03		18	29.51								61	
		TOTAL					708	30.70		55	2.39					83	3.60											61	2.65		1399	60.67								2306	
	NINTH						29	52.73			Excluded					2	3.64											15	27.27		9	16.36								55	
		TOTAL					737	31.96								85	3.69											76	3.30		1408	61.06								2306	
	TENTH						26	34.21								16	21.05												Excluded		34	44.74								76	
		TOTAL					763	33.09								101	4.38														1442	62.53								2306	
	ELEVENTH						45	44.55									Excluded														56	55.45								101	
		TOTAL					808	35.04																							1498	64.96								2306	
																															Elected										
																																									
Glenbrook                                                      																																									
	FIRST			65	2.97		595	27.23		162	7.41		9	0.41		78	3.57		106	4.85		5	0.23		1	0.05		72	3.30		1081	49.47		7	0.32		4	0.18		2185	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		65	2.97		595	27.23		162	7.41		9	0.41		78	3.57		106	4.85		5	0.23					73	3.34		1081	49.47		7	0.32		4	0.18		2185	
	THIRD			0	0.00		1	20.00		0	0.00		1	20.00		0	0.00		0	0.00			Excluded					1	20.00		0	0.00		0	0.00		2	40.00		5	
		TOTAL		65	2.97		596	27.28		162	7.41		10	0.46		78	3.57		106	4.85								74	3.39		1081	49.47		7	0.32		6	0.27		2185	
	FOURTH			0	0.00		0	0.00		0	0.00		3	50.00		1	16.67		0	0.00								1	16.67		1	16.67		0	0.00			Excluded		6	
		TOTAL		65	2.97		596	27.28		162	7.41		13	0.59		79	3.62		106	4.85								75	3.43		1082	49.52		7	0.32					2185	
	FIFTH			0	0.00		1	14.29		0	0.00		4	57.14		1	14.29		0	0.00								0	0.00		1	14.29			Excluded					7	
		TOTAL		65	2.97		597	27.32		162	7.41		17	0.78		80	3.66		106	4.85								75	3.43		1083	49.57								2185	
	SIXTH			2	11.76		1	5.88		2	11.76			Excluded		3	17.65		4	23.53								2	11.76		3	17.65								17	
		TOTAL		67	3.07		598	27.37		164	7.51					83	3.80		110	5.03								77	3.52		1086	49.70								2185	
	SEVENTH			3	2.73		40	36.36		35	31.82					1	0.91			Excluded								20	18.18		11	10.00								110	
		TOTAL		70	3.20		638	29.20		199	9.11					84	3.84											97	4.44		1097	50.21								2185	
	EIGHTH				Excluded		16	22.86		13	18.57					8	11.43											9	12.86		24	34.29								70	
		TOTAL					654	29.93		212	9.70					92	4.21											106	4.85		1121	51.30								2185	
	NINTH						91	42.92			Excluded					3	1.42											96	45.28		22	10.38								212	
		TOTAL					745	34.10								95	4.35											202	9.24		1143	52.31								2185	
	TENTH						126	62.38								27	13.37												Excluded		49	24.26								202	
		TOTAL					871	39.86								122	5.58														1192	54.55								2185	
	ELEVENTH						58	47.54									Excluded														64	52.46								122	
		TOTAL					929	42.52																							1256	57.48								2185	
																															Elected										
																																									
Glenmore Park                                                  																																									
	FIRST			68	1.87		1352	37.12		49	1.35		25	0.69		108	2.97		67	1.84		8	0.22		5	0.14		44	1.21		1872	51.40		27	0.74		17	0.47		3642	
	SECOND			0	0.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		2	40.00			Excluded		1	20.00		1	20.00		0	0.00		0	0.00		5	
		TOTAL		68	1.87		1353	37.15		49	1.35		25	0.69		108	2.97		67	1.84		10	0.27					45	1.24		1873	51.43		27	0.74		17	0.47		3642	
	THIRD			1	10.00		2	20.00		1	10.00		2	20.00		0	0.00		1	10.00			Excluded					1	10.00		0	0.00		2	20.00		0	0.00		10	
		TOTAL		69	1.89		1355	37.20		50	1.37		27	0.74		108	2.97		68	1.87								46	1.26		1873	51.43		29	0.80		17	0.47		3642	
	FOURTH			2	11.76		1	5.88		0	0.00		5	29.41		0	0.00		0	0.00								2	11.76		3	17.65		4	23.53			Excluded		17	
		TOTAL		71	1.95		1356	37.23		50	1.37		32	0.88		108	2.97		68	1.87								48	1.32		1876	51.51		33	0.91					3642	
	FIFTH			4	12.12		4	12.12		3	9.09		3	9.09		2	6.06		1	3.03								11	33.33		5	15.15			Excluded					33	
		TOTAL		75	2.06		1360	37.34		53	1.46		35	0.96		110	3.02		69	1.89								59	1.62		1881	51.65								3642	
	SIXTH			2	5.71		7	20.00		7	20.00			Excluded		5	14.29		4	11.43								2	5.71		8	22.86								35	
		TOTAL		77	2.11		1367	37.53		60	1.65					115	3.16		73	2.00								61	1.67		1889	51.87								3642	
	SEVENTH			6	8.22		20	27.40		20	27.40					6	8.22			Excluded								11	15.07		10	13.70								73	
		TOTAL		83	2.28		1387	38.08		80	2.20					121	3.32											72	1.98		1899	52.14								3642	
	EIGHTH				Excluded		33	39.76		15	18.07					3	3.61											3	3.61		29	34.94								83	
		TOTAL					1420	38.99		95	2.61					124	3.40											75	2.06		1928	52.94								3642	
	NINTH						34	35.79			Excluded					5	5.26											37	38.95		19	20.00								95	
		TOTAL					1454	39.92								129	3.54											112	3.08		1947	53.46								3642	
	TENTH						40	35.71								34	30.36												Excluded		38	33.93								112	
		TOTAL					1494	41.02								163	4.48														1985	54.50								3642	
	ELEVENTH						73	44.79									Excluded														90	55.21								163	
		TOTAL					1567	43.03																							2075	56.97								3642	
																															Elected										
																																									
Jamisontown                                                    																																									
	FIRST			31	1.81		622	36.37		24	1.40		41	2.40		94	5.50		30	1.75		9	0.53		4	0.23		29	1.70		802	46.90		14	0.82		10	0.58		1710	
	SECOND			2	50.00		0	0.00		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		33	1.93		622	36.37		24	1.40		41	2.40		96	5.61		30	1.75		9	0.53					29	1.70		802	46.90		14	0.82		10	0.58		1710	
	THIRD			0	0.00		3	33.33		1	11.11		0	0.00		1	11.11		2	22.22			Excluded					0	0.00		2	22.22		0	0.00		0	0.00		9	
		TOTAL		33	1.93		625	36.55		25	1.46		41	2.40		97	5.67		32	1.87								29	1.70		804	47.02		14	0.82		10	0.58		1710	
	FOURTH			1	10.00		0	0.00		1	10.00		2	20.00		0	0.00		1	10.00								0	0.00		1	10.00		4	40.00			Excluded		10	
		TOTAL		34	1.99		625	36.55		26	1.52		43	2.51		97	5.67		33	1.93								29	1.70		805	47.08		18	1.05					1710	
	FIFTH			0	0.00		4	22.22		0	0.00		0	0.00		2	11.11		0	0.00								6	33.33		6	33.33			Excluded					18	
		TOTAL		34	1.99		629	36.78		26	1.52		43	2.51		99	5.79		33	1.93								35	2.05		811	47.43								1710	
	SIXTH			2	4.65		9	20.93		9	20.93			Excluded		3	6.98		2	4.65								10	23.26		8	18.60								43	
		TOTAL		36	2.11		638	37.31		35	2.05					102	5.96		35	2.05								45	2.63		819	47.89								1710	
	SEVENTH			1	2.86		7	20.00		14	40.00					1	2.86			Excluded								5	14.29		7	20.00								35	
		TOTAL		37	2.16		645	37.72		49	2.87					103	6.02											50	2.92		826	48.30								1710	
	EIGHTH				Excluded		18	48.65		4	10.81					1	2.70											5	13.51		9	24.32								37	
		TOTAL					663	38.77		53	3.10					104	6.08											55	3.22		835	48.83								1710	
	NINTH						27	50.94			Excluded					3	5.66											11	20.75		12	22.64								53	
		TOTAL					690	40.35								107	6.26											66	3.86		847	49.53								1710	
	TENTH						33	50.00								18	27.27												Excluded		15	22.73								66	
		TOTAL					723	42.28								125	7.31														862	50.41								1710	
	ELEVENTH						44	35.20									Excluded														81	64.80								125	
		TOTAL					767	44.85																							943	55.15								1710	
																															Elected										
																																									
Kingswood                                                      																																									
	FIRST			79	4.87		688	42.42		44	2.71		19	1.17		89	5.49		37	2.28		4	0.25		1	0.06		27	1.66		613	37.79		15	0.92		6	0.37		1622	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		79	4.87		688	42.42		44	2.71		19	1.17		89	5.49		37	2.28		4	0.25					27	1.66		614	37.85		15	0.92		6	0.37		1622	
	THIRD			0	0.00		0	0.00		1	25.00		1	25.00		0	0.00		0	0.00			Excluded					2	50.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		79	4.87		688	42.42		45	2.77		20	1.23		89	5.49		37	2.28								29	1.79		614	37.85		15	0.92		6	0.37		1622	
	FOURTH			0	0.00		1	16.67		0	0.00		1	16.67		0	0.00		0	0.00								0	0.00		0	0.00		4	66.67			Excluded		6	
		TOTAL		79	4.87		689	42.48		45	2.77		21	1.29		89	5.49		37	2.28								29	1.79		614	37.85		19	1.17					1622	
	FIFTH			2	10.53		2	10.53		0	0.00		2	10.53		2	10.53		3	15.79								5	26.32		3	15.79			Excluded					19	
		TOTAL		81	4.99		691	42.60		45	2.77		23	1.42		91	5.61		40	2.47								34	2.10		617	38.04								1622	
	SIXTH			3	13.04		5	21.74		4	17.39			Excluded		2	8.70		4	17.39								4	17.39		1	4.35								23	
		TOTAL		84	5.18		696	42.91		49	3.02					93	5.73		44	2.71								38	2.34		618	38.10								1622	
	SEVENTH			3	6.82		14	31.82		8	18.18					5	11.36			Excluded								6	13.64		8	18.18								44	
		TOTAL		87	5.36		710	43.77		57	3.51					98	6.04											44	2.71		626	38.59								1622	
	EIGHTH				Excluded		22	25.29		10	11.49					6	6.90											20	22.99		29	33.33								87	
		TOTAL					732	45.13		67	4.13					104	6.41											64	3.95		655	40.38								1622	
	NINTH						28	41.79			Excluded					5	7.46											28	41.79		6	8.96								67	
		TOTAL					760	46.86								109	6.72											92	5.67		661	40.75								1622	
	TENTH						44	47.83								21	22.83												Excluded		27	29.35								92	
		TOTAL					804	49.57								130	8.01														688	42.42								1622	
	ELEVENTH						60	46.15									Excluded														70	53.85								130	
		TOTAL					864	53.27																							758	46.73								1622	
																															Elected										
																																									
Kingswood Park                                                 																																									
	FIRST			42	2.70		618	39.67		46	2.95		23	1.48		92	5.91		31	1.99		3	0.19		2	0.13		63	4.04		613	39.35		16	1.03		9	0.58		1558	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		42	2.70		618	39.67		46	2.95		23	1.48		92	5.91		31	1.99		5	0.32					63	4.04		613	39.35		16	1.03		9	0.58		1558	
	THIRD			0	0.00		0	0.00		0	0.00		1	20.00		1	20.00		1	20.00			Excluded					0	0.00		1	20.00		0	0.00		1	20.00		5	
		TOTAL		42	2.70		618	39.67		46	2.95		24	1.54		93	5.97		32	2.05								63	4.04		614	39.41		16	1.03		10	0.64		1558	
	FOURTH			1	10.00		2	20.00		1	10.00		1	10.00		0	0.00		0	0.00								0	0.00		2	20.00		3	30.00			Excluded		10	
		TOTAL		43	2.76		620	39.79		47	3.02		25	1.60		93	5.97		32	2.05								63	4.04		616	39.54		19	1.22					1558	
	FIFTH			1	5.26		3	15.79		4	21.05		0	0.00		3	15.79		1	5.26								4	21.05		3	15.79			Excluded					19	
		TOTAL		44	2.82		623	39.99		51	3.27		25	1.60		96	6.16		33	2.12								67	4.30		619	39.73								1558	
	SIXTH			1	4.00		3	12.00		3	12.00			Excluded		5	20.00		3	12.00								3	12.00		7	28.00								25	
		TOTAL		45	2.89		626	40.18		54	3.47					101	6.48		36	2.31								70	4.49		626	40.18								1558	
	SEVENTH			4	11.11		13	36.11		6	16.67					2	5.56			Excluded								9	25.00		2	5.56								36	
		TOTAL		49	3.15		639	41.01		60	3.85					103	6.61											79	5.07		628	40.31								1558	
	EIGHTH				Excluded		20	40.82		8	16.33					3	6.12											6	12.24		12	24.49								49	
		TOTAL					659	42.30		68	4.36					106	6.80											85	5.46		640	41.08								1558	
	NINTH						26	38.24			Excluded					7	10.29											25	36.76		10	14.71								68	
		TOTAL					685	43.97								113	7.25											110	7.06		650	41.72								1558	
	TENTH						45	40.91								24	21.82												Excluded		41	37.27								110	
		TOTAL					730	46.85								137	8.79														691	44.35								1558	
	ELEVENTH						70	51.09									Excluded														67	48.91								137	
		TOTAL					800	51.35																							758	48.65								1558	
																															Elected										
																																									
Kingswood South                                                																																									
	FIRST			43	3.08		572	41.00		25	1.79		7	0.50		90	6.45		35	2.51		7	0.50		3	0.22		29	2.08		573	41.08		6	0.43		5	0.36		1395	
	SECOND			1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL		44	3.15		572	41.00		25	1.79		8	0.57		90	6.45		35	2.51		8	0.57					29	2.08		573	41.08		6	0.43		5	0.36		1395	
	THIRD			0	0.00		3	37.50		0	0.00		1	12.50		1	12.50		1	12.50			Excluded					1	12.50		0	0.00		0	0.00		1	12.50		8	
		TOTAL		44	3.15		575	41.22		25	1.79		9	0.65		91	6.52		36	2.58								30	2.15		573	41.08		6	0.43		6	0.43		1395	
	FOURTH			0	0.00		1	16.67		0	0.00		3	50.00		0	0.00		0	0.00								1	16.67		1	16.67		0	0.00			Excluded		6	
		TOTAL		44	3.15		576	41.29		25	1.79		12	0.86		91	6.52		36	2.58								31	2.22		574	41.15		6	0.43					1395	
	FIFTH			0	0.00		2	33.33		0	0.00		0	0.00		2	33.33		1	16.67								1	16.67		0	0.00			Excluded					6	
		TOTAL		44	3.15		578	41.43		25	1.79		12	0.86		93	6.67		37	2.65								32	2.29		574	41.15								1395	
	SIXTH			0	0.00		1	8.33		3	25.00			Excluded		1	8.33		2	16.67								3	25.00		2	16.67								12	
		TOTAL		44	3.15		579	41.51		28	2.01					94	6.74		39	2.80								35	2.51		576	41.29								1395	
	SEVENTH			5	12.82		9	23.08		6	15.38					5	12.82			Excluded								9	23.08		5	12.82								39	
		TOTAL		49	3.51		588	42.15		34	2.44					99	7.10											44	3.15		581	41.65								1395	
	EIGHTH				Excluded		14	28.57		11	22.45					3	6.12											7	14.29		14	28.57								49	
		TOTAL					602	43.15		45	3.23					102	7.31											51	3.66		595	42.65								1395	
	NINTH						21	46.67			Excluded					6	13.33											12	26.67		6	13.33								45	
		TOTAL					623	44.66								108	7.74											63	4.52		601	43.08								1395	
	TENTH						24	38.10								13	20.63												Excluded		26	41.27								63	
		TOTAL					647	46.38								121	8.67														627	44.95								1395	
	ELEVENTH						47	38.84									Excluded														74	61.16								121	
		TOTAL					694	49.75																							701	50.25								1395	
																															Elected										
																																									
Lapstone                                                       																																									
	FIRST			28	2.41		305	26.27		75	6.46		3	0.26		43	3.70		56	4.82		0	0.00		1	0.09		51	4.39		594	51.16		2	0.17		3	0.26		1161	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		28	2.41		305	26.27		75	6.46		3	0.26		43	3.70		56	4.82		1	0.09					51	4.39		594	51.16		2	0.17		3	0.26		1161	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		28	2.41		305	26.27		75	6.46		3	0.26		43	3.70		57	4.91								51	4.39		594	51.16		2	0.17		3	0.26		1161	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	100.00								0	0.00		0	0.00		0	0.00			Excluded		3	
		TOTAL		28	2.41		305	26.27		75	6.46		3	0.26		43	3.70		60	5.17								51	4.39		594	51.16		2	0.17					1161	
	FIFTH			0	0.00		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00								0	0.00		0	0.00			Excluded					2	
		TOTAL		28	2.41		307	26.44		75	6.46		3	0.26		43	3.70		60	5.17								51	4.39		594	51.16								1161	
	SIXTH			0	0.00		1	33.33		1	33.33			Excluded		0	0.00		0	0.00								0	0.00		1	33.33								3	
		TOTAL		28	2.41		308	26.53		76	6.55					43	3.70		60	5.17								51	4.39		595	51.25								1161	
	SEVENTH			2	3.33		15	25.00		22	36.67					3	5.00			Excluded								11	18.33		7	11.67								60	
		TOTAL		30	2.58		323	27.82		98	8.44					46	3.96											62	5.34		602	51.85								1161	
	EIGHTH				Excluded		9	30.00		6	20.00					1	3.33											2	6.67		12	40.00								30	
		TOTAL					332	28.60		104	8.96					47	4.05											64	5.51		614	52.89								1161	
	NINTH						36	34.62			Excluded					4	3.85											54	51.92		10	9.62								104	
		TOTAL					368	31.70								51	4.39											118	10.16		624	53.75								1161	
	TENTH						80	67.80								8	6.78												Excluded		30	25.42								118	
		TOTAL					448	38.59								59	5.08														654	56.33								1161	
	ELEVENTH						32	54.24									Excluded														27	45.76								59	
		TOTAL					480	41.34																							681	58.66								1161	
																															Elected										
																																									
Leonay                                                         																																									
	FIRST			39	2.44		455	28.47		34	2.13		9	0.56		80	5.01		38	2.38		1	0.06		2	0.13		24	1.50		904	56.57		7	0.44		5	0.31		1598	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2	
		TOTAL		39	2.44		455	28.47		34	2.13		9	0.56		81	5.07		38	2.38		1	0.06					24	1.50		905	56.63		7	0.44		5	0.31		1598	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		39	2.44		455	28.47		34	2.13		9	0.56		81	5.07		38	2.38								24	1.50		906	56.70		7	0.44		5	0.31		1598	
	FOURTH			0	0.00		2	40.00		0	0.00		0	0.00		0	0.00		2	40.00								1	20.00		0	0.00		0	0.00			Excluded		5	
		TOTAL		39	2.44		457	28.60		34	2.13		9	0.56		81	5.07		40	2.50								25	1.56		906	56.70		7	0.44					1598	
	FIFTH			1	14.29		2	28.57		0	0.00		0	0.00		0	0.00		0	0.00								2	28.57		2	28.57			Excluded					7	
		TOTAL		40	2.50		459	28.72		34	2.13		9	0.56		81	5.07		40	2.50								27	1.69		908	56.82								1598	
	SIXTH			0	0.00		0	0.00		1	11.11			Excluded		2	22.22		4	44.44								1	11.11		1	11.11								9	
		TOTAL		40	2.50		459	28.72		35	2.19					83	5.19		44	2.75								28	1.75		909	56.88								1598	
	SEVENTH			7	15.91		12	27.27		10	22.73					1	2.27			Excluded								9	20.45		5	11.36								44	
		TOTAL		47	2.94		471	29.47		45	2.82					84	5.26											37	2.32		914	57.20								1598	
	EIGHTH				Excluded		8	17.02		5	10.64					7	14.89											10	21.28		17	36.17								47	
		TOTAL					479	29.97		50	3.13					91	5.69											47	2.94		931	58.26								1598	
	NINTH						24	48.00			Excluded					1	2.00											13	26.00		12	24.00								50	
		TOTAL					503	31.48								92	5.76											60	3.75		943	59.01								1598	
	TENTH						24	40.00								13	21.67												Excluded		23	38.33								60	
		TOTAL					527	32.98								105	6.57														966	60.45								1598	
	ELEVENTH						39	37.14									Excluded														66	62.86								105	
		TOTAL					566	35.42																							1032	64.58								1598	
																															Elected										
																																									
Llandilo                                                       																																									
	FIRST			33	3.15		244	23.28		16	1.53		2	0.19		74	7.06		13	1.24		2	0.19		0	0.00		104	9.92		543	51.81		12	1.15		5	0.48		1048	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		33	3.15		244	23.28		16	1.53		2	0.19		74	7.06		13	1.24		2	0.19					104	9.92		543	51.81		12	1.15		5	0.48		1048	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded					1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		33	3.15		244	23.28		16	1.53		3	0.29		74	7.06		13	1.24								105	10.02		543	51.81		12	1.15		5	0.48		1048	
	FOURTH			1	20.00		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00								0	0.00		1	20.00		2	40.00			Excluded		5	
		TOTAL		34	3.24		244	23.28		16	1.53		4	0.38		74	7.06		13	1.24								105	10.02		544	51.91		14	1.34					1048	
	FIFTH			2	14.29		1	7.14		0	0.00		1	7.14		2	14.29		0	0.00								3	21.43		5	35.71			Excluded					14	
		TOTAL		36	3.44		245	23.38		16	1.53		5	0.48		76	7.25		13	1.24								108	10.31		549	52.39								1048	
	SIXTH			0	0.00		1	20.00		0	0.00			Excluded		3	60.00		0	0.00								1	20.00		0	0.00								5	
		TOTAL		36	3.44		246	23.47		16	1.53					79	7.54		13	1.24								109	10.40		549	52.39								1048	
	SEVENTH			1	7.69		4	30.77		1	7.69					0	0.00			Excluded								3	23.08		4	30.77								13	
		TOTAL		37	3.53		250	23.85		17	1.62					79	7.54											112	10.69		553	52.77								1048	
	EIGHTH				Excluded		23	62.16		2	5.41					6	16.22											2	5.41		4	10.81								37	
		TOTAL					273	26.05		19	1.81					85	8.11											114	10.88		557	53.15								1048	
	NINTH						8	42.11			Excluded					0	0.00											8	42.11		3	15.79								19	
		TOTAL					281	26.81								85	8.11											122	11.64		560	53.44								1048	
	TENTH						46	37.70								39	31.97												Excluded		37	30.33								122	
		TOTAL					327	31.20								124	11.83														597	56.97								1048	
	ELEVENTH						50	40.32									Excluded														74	59.68								124	
		TOTAL					377	35.97																							671	64.03								1048	
																															Elected										
																																									
Londonderry                                                    																																									
	FIRST			59	3.46		498	29.23		29	1.70		9	0.53		147	8.63		26	1.53		3	0.18		3	0.18		75	4.40		810	47.54		31	1.82		14	0.82		1704	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	33.33		1	33.33		3	
		TOTAL		59	3.46		498	29.23		29	1.70		10	0.59		147	8.63		26	1.53		3	0.18					75	4.40		810	47.54		32	1.88		15	0.88		1704	
	THIRD			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		2	66.67		3	
		TOTAL		59	3.46		498	29.23		29	1.70		11	0.65		147	8.63		26	1.53								75	4.40		810	47.54		32	1.88		17	1.00		1704	
	FOURTH			1	5.88		0	0.00		1	5.88		3	17.65		1	5.88		0	0.00								3	17.65		4	23.53		4	23.53			Excluded		17	
		TOTAL		60	3.52		498	29.23		30	1.76		14	0.82		148	8.69		26	1.53								78	4.58		814	47.77		36	2.11					1704	
	FIFTH			3	8.33		3	8.33		3	8.33		5	13.89		6	16.67		3	8.33								4	11.11		9	25.00			Excluded					36	
		TOTAL		63	3.70		501	29.40		33	1.94		19	1.12		154	9.04		29	1.70								82	4.81		823	48.30								1704	
	SIXTH			4	21.05		2	10.53		4	21.05			Excluded		1	5.26		4	21.05								4	21.05		0	0.00								19	
		TOTAL		67	3.93		503	29.52		37	2.17					155	9.10		33	1.94								86	5.05		823	48.30								1704	
	SEVENTH			2	6.06		7	21.21		6	18.18					7	21.21			Excluded								9	27.27		2	6.06								33	
		TOTAL		69	4.05		510	29.93		43	2.52					162	9.51											95	5.58		825	48.42								1704	
	EIGHTH				Excluded		24	34.78		12	17.39					8	11.59											14	20.29		11	15.94								69	
		TOTAL					534	31.34		55	3.23					170	9.98											109	6.40		836	49.06								1704	
	NINTH						20	36.36			Excluded					12	21.82											19	34.55		4	7.27								55	
		TOTAL					554	32.51								182	10.68											128	7.51		840	49.30								1704	
	TENTH						46	35.94								28	21.88												Excluded		54	42.19								128	
		TOTAL					600	35.21								210	12.32														894	52.46								1704	
	ELEVENTH						74	35.24									Excluded														136	64.76								210	
		TOTAL					674	39.55																							1030	60.45								1704	
																															Elected										
																																									
Mulgoa                                                         																																									
	FIRST			26	2.57		220	21.76		20	1.98		5	0.49		34	3.36		10	0.99		2	0.20		0	0.00		22	2.18		660	65.28		6	0.59		6	0.59		1011	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		26	2.57		220	21.76		20	1.98		5	0.49		34	3.36		10	0.99		2	0.20					22	2.18		660	65.28		6	0.59		6	0.59		1011	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded					0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL		26	2.57		220	21.76		20	1.98		5	0.49		34	3.36		11	1.09								22	2.18		660	65.28		6	0.59		7	0.69		1011	
	FOURTH			1	14.29		0	0.00		0	0.00		2	28.57		0	0.00		0	0.00								1	14.29		2	28.57		1	14.29			Excluded		7	
		TOTAL		27	2.67		220	21.76		20	1.98		7	0.69		34	3.36		11	1.09								23	2.27		662	65.48		7	0.69					1011	
	FIFTH			1	14.29		0	0.00		3	42.86		1	14.29		0	0.00		0	0.00								2	28.57		0	0.00			Excluded					7	
		TOTAL		28	2.77		220	21.76		23	2.27		8	0.79		34	3.36		11	1.09								25	2.47		662	65.48								1011	
	SIXTH			1	12.50		0	0.00		3	37.50			Excluded		2	25.00		0	0.00								2	25.00		0	0.00								8	
		TOTAL		29	2.87		220	21.76		26	2.57					36	3.56		11	1.09								27	2.67		662	65.48								1011	
	SEVENTH			2	18.18		2	18.18		2	18.18					1	9.09			Excluded								1	9.09		3	27.27								11	
		TOTAL		31	3.07		222	21.96		28	2.77					37	3.66											28	2.77		665	65.78								1011	
	EIGHTH				Excluded		8	25.81		6	19.35					1	3.23											3	9.68		13	41.94								31	
		TOTAL					230	22.75		34	3.36					38	3.76											31	3.07		678	67.06								1011	
	NINTH						7	20.59			Excluded					4	11.76											11	32.35		12	35.29								34	
		TOTAL					237	23.44								42	4.15											42	4.15		690	68.25								1011	
	TENTH						19	45.24								10	23.81												Excluded		13	30.95								42	
		TOTAL					256	25.32								52	5.14														703	69.54								1011	
	ELEVENTH						21	40.38									Excluded														31	59.62								52	
		TOTAL					277	27.40																							734	72.60								1011	
																															Elected										
																																									
Nepean High                                                    																																									
	FIRST			52	3.31		533	33.97		40	2.55		8	0.51		88	5.61		39	2.49		6	0.38		5	0.32		46	2.93		739	47.10		7	0.45		6	0.38		1569	
	SECOND			1	20.00		2	40.00		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00			Excluded		0	0.00		1	20.00		0	0.00		0	0.00		5	
		TOTAL		53	3.38		535	34.10		40	2.55		8	0.51		89	5.67		39	2.49		6	0.38					46	2.93		740	47.16		7	0.45		6	0.38		1569	
	THIRD			0	0.00		1	16.67		0	0.00		0	0.00		1	16.67		1	16.67			Excluded					0	0.00		0	0.00		0	0.00		3	50.00		6	
		TOTAL		53	3.38		536	34.16		40	2.55		8	0.51		90	5.74		40	2.55								46	2.93		740	47.16		7	0.45		9	0.57		1569	
	FOURTH			3	33.33		0	0.00		0	0.00		1	11.11		0	0.00		0	0.00								1	11.11		3	33.33		1	11.11			Excluded		9	
		TOTAL		56	3.57		536	34.16		40	2.55		9	0.57		90	5.74		40	2.55								47	3.00		743	47.36		8	0.51					1569	
	FIFTH			0	0.00		2	25.00		0	0.00		0	0.00		1	12.50		1	12.50								3	37.50		1	12.50			Excluded					8	
		TOTAL		56	3.57		538	34.29		40	2.55		9	0.57		91	5.80		41	2.61								50	3.19		744	47.42								1569	
	SIXTH			2	22.22		1	11.11		1	11.11			Excluded		1	11.11		2	22.22								2	22.22		0	0.00								9	
		TOTAL		58	3.70		539	34.35		41	2.61					92	5.86		43	2.74								52	3.31		744	47.42								1569	
	SEVENTH			4	9.30		14	32.56		10	23.26					3	6.98			Excluded								6	13.95		6	13.95								43	
		TOTAL		62	3.95		553	35.25		51	3.25					95	6.05											58	3.70		750	47.80								1569	
