House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Mitchell																													
				MUDGEE			CADMAN			BAGGS			TAYLOR			MCSHANE			GREGORY			BURKE			EDER				
		TOTAL		18	1.38		757	57.83		104	7.94		50	3.82		323	24.68		29	2.22					28	2.14		1309	
	THIRD				Excluded		6	33.33		2	11.11		2	11.11		1	5.56		1	5.56					6	33.33		18	
		TOTAL					763	58.29		106	8.10		52	3.97		324	24.75		30	2.29					34	2.60		1309	
	FOURTH						16	53.33		4	13.33		2	6.67		5	16.67			Excluded					3	10.00		30	
		TOTAL					779	59.51		110	8.40		54	4.13		329	25.13								37	2.83		1309	
	FIFTH						23	62.16		1	2.70		4	10.81		9	24.32									Excluded		37	
		TOTAL					802	61.27		111	8.48		58	4.43		338	25.82											1309	
	SIXTH						15	25.86		26	44.83			Excluded		17	29.31											58	
		TOTAL					817	62.41		137	10.47					355	27.12											1309	
	SEVENTH						42	30.66			Excluded					95	69.34											137	
		TOTAL					859	65.62								450	34.38											1309	
							Elected																						
																													
Murray Farm                                                    																													
	FIRST			35	1.06		1913	58.13		183	5.56		115	3.49		867	26.34		87	2.64		28	0.85		63	1.91		3291	
	SECOND			2	7.14		4	14.29		3	10.71		6	21.43		6	21.43		6	21.43			Excluded		1	3.57		28	
		TOTAL		37	1.12		1917	58.25		186	5.65		121	3.68		873	26.53		93	2.83					64	1.94		3291	
	THIRD				Excluded		17	45.95		2	5.41		6	16.22		4	10.81		1	2.70					7	18.92		37	
		TOTAL					1934	58.77		188	5.71		127	3.86		877	26.65		94	2.86					71	2.16		3291	
	FOURTH						64	68.09		7	7.45		7	7.45		14	14.89			Excluded					2	2.13		94	
		TOTAL					1998	60.71		195	5.93		134	4.07		891	27.07								73	2.22		3291	
	FIFTH						42	57.53		7	9.59		16	21.92		8	10.96									Excluded		73	
		TOTAL					2040	61.99		202	6.14		150	4.56		899	27.32											3291	
	SIXTH						28	18.67		84	56.00			Excluded		38	25.33											150	
		TOTAL					2068	62.84		286	8.69					937	28.47											3291	
	SEVENTH						92	32.17			Excluded					194	67.83											286	
		TOTAL					2160	65.63								1131	34.37											3291	
							Elected																						
																													
North Rocks (Mitchell)                                         																													
	FIRST			30	1.39		1183	54.97		123	5.72		55	2.56		614	28.53		61	2.83		16	0.74		70	3.25		2152	
	SECOND			1	6.25		5	31.25		3	18.75		1	6.25		3	18.75		3	18.75			Excluded		0	0.00		16	
		TOTAL		31	1.44		1188	55.20		126	5.86		56	2.60		617	28.67		64	2.97					70	3.25		2152	
	THIRD				Excluded		20	64.52		3	9.68		1	3.23		3	9.68		0	0.00					4	12.90		31	
		TOTAL					1208	56.13		129	5.99		57	2.65		620	28.81		64	2.97					74	3.44		2152	
	FOURTH						49	76.56		4	6.25		5	7.81		5	7.81			Excluded					1	1.56		64	
		TOTAL					1257	58.41		133	6.18		62	2.88		625	29.04								75	3.49		2152	
	FIFTH						49	65.33		5	6.67		7	9.33		14	18.67									Excluded		75	
		TOTAL					1306	60.69		138	6.41		69	3.21		639	29.69											2152	
	SIXTH						12	17.39		39	56.52			Excluded		18	26.09											69	
		TOTAL					1318	61.25		177	8.22					657	30.53											2152	
	SEVENTH						86	48.59			Excluded					91	51.41											177	
		TOTAL					1404	65.24								748	34.76											2152	
							Elected																						
																													
Northmead High                                                 																													
	FIRST			21	1.41		833	55.94		73	4.90		46	3.09		433	29.08		29	1.95		15	1.01		39	2.62		1489	
	SECOND			0	0.00		3	20.00		3	20.00		4	26.67		1	6.67		1	6.67			Excluded		3	20.00		15	
		TOTAL		21	1.41		836	56.15		76	5.10		50	3.36		434	29.15		30	2.01					42	2.82		1489	
	THIRD				Excluded		10	47.62		3	14.29		1	4.76		2	9.52		1	4.76					4	19.05		21	
		TOTAL					846	56.82		79	5.31		51	3.43		436	29.28		31	2.08					46	3.09		1489	
	FOURTH						14	45.16		3	9.68		5	16.13		9	29.03			Excluded					0	0.00		31	
		TOTAL					860	57.76		82	5.51		56	3.76		445	29.89								46	3.09		1489	
	FIFTH						27	58.70		8	17.39		3	6.52		8	17.39									Excluded		46	
		TOTAL					887	59.57		90	6.04		59	3.96		453	30.42											1489	
	SIXTH						12	20.34		35	59.32			Excluded		12	20.34											59	
		TOTAL					899	60.38		125	8.39					465	31.23											1489	
	SEVENTH						39	31.20			Excluded					86	68.80											125	
		TOTAL					938	63.00								551	37.00											1489	
							Elected																						
																													
Oakhill Drive (Mitchell)                                       																													
	FIRST			22	1.26		1074	61.72		58	3.33		45	2.59		470	27.01		50	2.87		4	0.23		17	0.98		1740	
	SECOND			1	25.00		0	0.00		1	25.00		1	25.00		1	25.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		23	1.32		1074	61.72		59	3.39		46	2.64		471	27.07		50	2.87					17	0.98		1740	
	THIRD				Excluded		11	47.83		2	8.70		1	4.35		1	4.35		2	8.70					6	26.09		23	
		TOTAL					1085	62.36		61	3.51		47	2.70		472	27.13		52	2.99					23	1.32		1740	
	FOURTH						38	73.08		3	5.77		6	11.54		5	9.62			Excluded					0	0.00		52	
		TOTAL					1123	64.54		64	3.68		53	3.05		477	27.41								23	1.32		1740	
	FIFTH						9	39.13		2	8.70		5	21.74		7	30.43									Excluded		23	
		TOTAL					1132	65.06		66	3.79		58	3.33		484	27.82											1740	
	SIXTH						9	15.52		19	32.76			Excluded		30	51.72											58	
		TOTAL					1141	65.57		85	4.89					514	29.54											1740	
	SEVENTH						33	38.82			Excluded					52	61.18											85	
		TOTAL					1174	67.47								566	32.53											1740	
							Elected																						
																													
Rondelay                                                       																													
	FIRST			23	1.12		1352	65.89		73	3.56		73	3.56		410	19.98		35	1.71		17	0.83		69	3.36		2052	
	SECOND			3	17.65		3	17.65		3	17.65		3	17.65		2	11.76		2	11.76			Excluded		1	5.88		17	
		TOTAL		26	1.27		1355	66.03		76	3.70		76	3.70		412	20.08		37	1.80					70	3.41		2052	
	THIRD				Excluded		13	50.00		1	3.85		4	15.38		4	15.38		0	0.00					4	15.38		26	
		TOTAL					1368	66.67		77	3.75		80	3.90		416	20.27		37	1.80					74	3.61		2052	
	FOURTH						27	72.97		1	2.70		3	8.11		4	10.81			Excluded					2	5.41		37	
		TOTAL					1395	67.98		78	3.80		83	4.04		420	20.47								76	3.70		2052	
	FIFTH						44	57.89		5	6.58		10	13.16		17	22.37									Excluded		76	
		TOTAL					1439	70.13		83	4.04		93	4.53		437	21.30											2052	
	SIXTH						23	24.73		47	50.54			Excluded		23	24.73											93	
		TOTAL					1462	71.25		130	6.34					460	22.42											2052	
	SEVENTH						45	34.62			Excluded					85	65.38											130	
		TOTAL					1507	73.44								545	26.56											2052	
							Elected																						
																													
Rouse Hill                                                     																													
	FIRST			52	2.39		1485	68.12		53	2.43		36	1.65		401	18.39		33	1.51		24	1.10		96	4.40		2180	
	SECOND			3	12.50		2	8.33		2	8.33		1	4.17		1	4.17		6	25.00			Excluded		9	37.50		24	
		TOTAL		55	2.52		1487	68.21		55	2.52		37	1.70		402	18.44		39	1.79					105	4.82		2180	
	THIRD				Excluded		21	38.18		6	10.91		5	9.09		8	14.55		1	1.82					14	25.45		55	
		TOTAL					1508	69.17		61	2.80		42	1.93		410	18.81		40	1.83					119	5.46		2180	
	FOURTH						28	70.00		3	7.50		3	7.50		1	2.50			Excluded					5	12.50		40	
		TOTAL					1536	70.46		64	2.94		45	2.06		411	18.85								124	5.69		2180	
	FIFTH						75	60.48		9	7.26		22	17.74		18	14.52									Excluded		124	
		TOTAL					1611	73.90		73	3.35		67	3.07		429	19.68											2180	
	SIXTH						15	22.39		36	53.73			Excluded		16	23.88											67	
		TOTAL					1626	74.59		109	5.00					445	20.41											2180	
	SEVENTH						54	49.54			Excluded					55	50.46											109	
		TOTAL					1680	77.06								500	22.94											2180	
							Elected																						
																													
Samuel Gilbert                                                 																													
	FIRST			49	1.28		2609	67.96		196	5.11		76	1.98		711	18.52		76	1.98		26	0.68		96	2.50		3839	
	SECOND			2	7.69		5	19.23		5	19.23		4	15.38		4	15.38		0	0.00			Excluded		6	23.08		26	
		TOTAL		51	1.33		2614	68.09		201	5.24		80	2.08		715	18.62		76	1.98					102	2.66		3839	
	THIRD				Excluded		24	47.06		5	9.80		4	7.84		1	1.96		3	5.88					14	27.45		51	
		TOTAL					2638	68.72		206	5.37		84	2.19		716	18.65		79	2.06					116	3.02		3839	
	FOURTH						51	64.56		7	8.86		3	3.80		12	15.19			Excluded					6	7.59		79	
		TOTAL					2689	70.04		213	5.55		87	2.27		728	18.96								122	3.18		3839	
	FIFTH						75	61.48		13	10.66		19	15.57		15	12.30									Excluded		122	
		TOTAL					2764	72.00		226	5.89		106	2.76		743	19.35											3839	
	SIXTH						25	23.58		55	51.89			Excluded		26	24.53											106	
		TOTAL					2789	72.65		281	7.32					769	20.03											3839	
	SEVENTH						107	38.08			Excluded					174	61.92											281	
		TOTAL					2896	75.44								943	24.56											3839	
							Elected																						
																													
Sydney (Mitchell)                                              																													
	FIRST			3	2.88		51	49.04		6	5.77		3	2.88		36	34.62		2	1.92		2	1.92		1	0.96		104	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		3	2.88		52	50.00		6	5.77		3	2.88		36	34.62		3	2.88					1	0.96		104	
	THIRD				Excluded		1	33.33		0	0.00		0	0.00		0	0.00		1	33.33					1	33.33		3	
		TOTAL					53	50.96		6	5.77		3	2.88		36	34.62		4	3.85					2	1.92		104	
	FOURTH						1	25.00		0	0.00		1	25.00		2	50.00			Excluded					0	0.00		4	
		TOTAL					54	51.92		6	5.77		4	3.85		38	36.54								2	1.92		104	
	FIFTH						1	50.00		0	0.00		0	0.00		1	50.00									Excluded		2	
		TOTAL					55	52.88		6	5.77		4	3.85		39	37.50											104	
	SIXTH						0	0.00		3	75.00			Excluded		1	25.00											4	
		TOTAL					55	52.88		9	8.65					40	38.46											104	
	SEVENTH						4	44.44			Excluded					5	55.56											9	
		TOTAL					59	56.73								45	43.27											104	
							Elected																						
																													
The Hills Private Hospital                                     																													
	FIRST			3	1.78		111	65.68		7	4.14		3	1.78		38	22.49		2	1.18		1	0.59		4	2.37		169	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		3	1.78		112	66.27		7	4.14		3	1.78		38	22.49		2	1.18					4	2.37		169	
	THIRD				Excluded		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00					1	33.33		3	
		TOTAL					113	66.86		8	4.73		3	1.78		38	22.49		2	1.18					5	2.96		169	
	FOURTH						1	50.00		0	0.00		0	0.00		0	0.00			Excluded					1	50.00		2	
		TOTAL					114	67.46		8	4.73		3	1.78		38	22.49								6	3.55		169	
	FIFTH						4	66.67		0	0.00		1	16.67		1	16.67									Excluded		6	
		TOTAL					118	69.82		8	4.73		4	2.37		39	23.08											169	
	SIXTH						1	25.00		3	75.00			Excluded		0	0.00											4	
		TOTAL					119	70.41		11	6.51					39	23.08											169	
	SEVENTH						2	18.18			Excluded					9	81.82											11	
		TOTAL					121	71.60								48	28.40											169	
							Elected																						
																													
Thompsons Corner (Mitchell)                                    																													
	FIRST			16	1.45		683	61.98		51	4.63		35	3.18		263	23.87		18	1.63		12	1.09		24	2.18		1102	
	SECOND			0	0.00		5	41.67		2	16.67		3	25.00		0	0.00		2	16.67			Excluded		0	0.00		12	
		TOTAL		16	1.45		688	62.43		53	4.81		38	3.45		263	23.87		20	1.81					24	2.18		1102	
	THIRD				Excluded		5	31.25		1	6.25		2	12.50		3	18.75		1	6.25					4	25.00		16	
		TOTAL					693	62.89		54	4.90		40	3.63		266	24.14		21	1.91					28	2.54		1102	
	FOURTH						12	57.14		3	14.29		1	4.76		5	23.81			Excluded					0	0.00		21	
		TOTAL					705	63.97		57	5.17		41	3.72		271	24.59								28	2.54		1102	
	FIFTH						13	46.43		4	14.29		3	10.71		8	28.57									Excluded		28	
		TOTAL					718	65.15		61	5.54		44	3.99		279	25.32											1102	
	SIXTH						5	11.36		25	56.82			Excluded		14	31.82											44	
		TOTAL					723	65.61		86	7.80					293	26.59											1102	
	SEVENTH						29	33.72			Excluded					57	66.28											86	
		TOTAL					752	68.24								350	31.76											1102	
							Elected																						
																													
West Pennant Hills                                             																													
	FIRST			5	0.85		385	65.59		23	3.92		17	2.90		131	22.32		15	2.56		9	1.53		2	0.34		587	
	SECOND			1	11.11		3	33.33		1	11.11		2	22.22		0	0.00		1	11.11			Excluded		1	11.11		9	
		TOTAL		6	1.02		388	66.10		24	4.09		19	3.24		131	22.32		16	2.73					3	0.51		587	
	THIRD				Excluded		2	33.33		0	0.00		1	16.67		2	33.33		0	0.00					1	16.67		6	
		TOTAL					390	66.44		24	4.09		20	3.41		133	22.66		16	2.73					4	0.68		587	
	FOURTH						13	81.25		0	0.00		0	0.00		3	18.75			Excluded					0	0.00		16	
		TOTAL					403	68.65		24	4.09		20	3.41		136	23.17								4	0.68		587	
	FIFTH						3	75.00		0	0.00		0	0.00		1	25.00									Excluded		4	
		TOTAL					406	69.17		24	4.09		20	3.41		137	23.34											587	
	SIXTH						3	15.00		12	60.00			Excluded		5	25.00											20	
		TOTAL					409	69.68		36	6.13					142	24.19											587	
	SEVENTH						5	13.89			Excluded					31	86.11											36	
		TOTAL					414	70.53								173	29.47											587	
							Elected																						
																													
Wirreanda                                                      																													
	FIRST			3	0.52		407	70.78		19	3.30		10	1.74		113	19.65		17	2.96		2	0.35		4	0.70		575	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		3	0.52		407	70.78		19	3.30		11	1.91		114	19.83		17	2.96					4	0.70		575	
	THIRD				Excluded		2	66.67		0	0.00		0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL					409	71.13		19	3.30		11	1.91		115	20.00		17	2.96					4	0.70		575	
	FOURTH						14	82.35		0	0.00		0	0.00		3	17.65			Excluded					0	0.00		17	
		TOTAL					423	73.57		19	3.30		11	1.91		118	20.52								4	0.70		575	
	FIFTH						3	75.00		0	0.00		1	25.00		0	0.00									Excluded		4	
		TOTAL					426	74.09		19	3.30		12	2.09		118	20.52											575	
	SIXTH						2	16.67		8	66.67			Excluded		2	16.67											12	
		TOTAL					428	74.43		27	4.70					120	20.87											575	
	SEVENTH						9	33.33			Excluded					18	66.67											27	
		TOTAL					437	76.00								138	24.00											575	
							Elected																						
																													
Special Hospital Team 1                                        																													
	FIRST			0	0.00		36	81.82		1	2.27		1	2.27		6	13.64		0	0.00		0	0.00		0	0.00		44	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		36	81.82		1	2.27		1	2.27		6	13.64		0	0.00					0	0.00		44	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					36	81.82		1	2.27		1	2.27		6	13.64		0	0.00					0	0.00		44	
	FOURTH						0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	
		TOTAL					36	81.82		1	2.27		1	2.27		6	13.64								0	0.00		44	
	FIFTH						0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	
		TOTAL					36	81.82		1	2.27		1	2.27		6	13.64											44	
	SIXTH						0	0.00		0	0.00			Excluded		1	100.00											1	
		TOTAL					36	81.82		1	2.27					7	15.91											44	
	SEVENTH						1	100.00			Excluded					0	0.00											1	
		TOTAL					37	84.09								7	15.91											44	
							Elected																						
																													
ABSENT																													
	FIRST			215	3.78		3199	56.28		325	5.72		339	5.96		1172	20.62		116	2.04		89	1.57		229	4.03		5684	
	SECOND			8	8.99		22	24.72		17	19.10		15	16.85		15	16.85		6	6.74			Excluded		6	6.74		89	
		TOTAL		223	3.92		3221	56.67		342	6.02		354	6.23		1187	20.88		122	2.15					235	4.13		5684	
	THIRD				Excluded		100	44.84		23	10.31		26	11.66		27	12.11		7	3.14					40	17.94		223	
		TOTAL					3321	58.43		365	6.42		380	6.69		1214	21.36		129	2.27					275	4.84		5684	
	FOURTH						72	55.81		16	12.40		10	7.75		23	17.83			Excluded					8	6.20		129	
		TOTAL					3393	59.69		381	6.70		390	6.86		1237	21.76								283	4.98		5684	
	FIFTH						133	47.00		15	5.30		52	18.37		83	29.33									Excluded		283	
		TOTAL					3526	62.03		396	6.97		442	7.78		1320	23.22											5684	
	SIXTH						90	20.36		221	50.00			Excluded		131	29.64											442	
		TOTAL					3616	63.62		617	10.86					1451	25.53											5684	
	SEVENTH						280	45.38			Excluded					337	54.62											617	
		TOTAL					3896	68.54								1788	31.46											5684	
							Elected																						
																													
POSTAL																													
	FIRST			32	1.14		1993	71.13		95	3.39		58	2.07		442	15.77		60	2.14		28	1.00		94	3.35		2802	
	SECOND			1	3.57		10	35.71		2	7.14		6	21.43		5	17.86		2	7.14			Excluded		2	7.14		28	
		TOTAL		33	1.18		2003	71.48		97	3.46		64	2.28		447	15.95		62	2.21					96	3.43		2802	
	THIRD				Excluded		10	30.30		3	9.09		3	9.09		3	9.09		2	6.06					12	36.36		33	
		TOTAL					2013	71.84		100	3.57		67	2.39		450	16.06		64	2.28					108	3.85		2802	
	FOURTH						31	48.44		4	6.25		7	10.94		12	18.75			Excluded					10	15.63		64	
		TOTAL					2044	72.95		104	3.71		74	2.64		462	16.49								118	4.21		2802	
	FIFTH						75	63.56		7	5.93		16	13.56		20	16.95									Excluded		118	
		TOTAL					2119	75.62		111	3.96		90	3.21		482	17.20											2802	
	SIXTH						24	26.67		37	41.11			Excluded		29	32.22											90	
		TOTAL					2143	76.48		148	5.28					511	18.24											2802	
	SEVENTH						64	43.24			Excluded					84	56.76											148	
		TOTAL					2207	78.77								595	21.23											2802	
							Elected																						
																													
PRE POLL																													
	FIRST			65	1.76		2368	64.02		158	4.27		103	2.78		815	22.03		52	1.41		40	1.08		98	2.65		3699	
	SECOND			4	10.00		11	27.50		5	12.50		8	20.00		6	15.00		1	2.50			Excluded		5	12.50		40	
		TOTAL		69	1.87		2379	64.31		163	4.41		111	3.00		821	22.20		53	1.43					103	2.78		3699	
	THIRD				Excluded		35	50.72		9	13.04		5	7.25		6	8.70		1	1.45					13	18.84		69	
		TOTAL					2414	65.26		172	4.65		116	3.14		827	22.36		54	1.46					116	3.14		3699	
	FOURTH						31	57.41		4	7.41		5	9.26		7	12.96			Excluded					7	12.96		54	
		TOTAL					2445	66.10		176	4.76		121	3.27		834	22.55								123	3.33		3699	
	FIFTH						64	52.03		20	16.26		17	13.82		22	17.89									Excluded		123	
		TOTAL					2509	67.83		196	5.30		138	3.73		856	23.14											3699	
	SIXTH						29	21.01		66	47.83			Excluded		43	31.16											138	
		TOTAL					2538	68.61		262	7.08					899	24.30											3699	
	SEVENTH						114	43.51			Excluded					148	56.49											262	
		TOTAL					2652	71.70								1047	28.30											3699	
							Elected																						
																													
PROVISIONAL																													
	FIRST			5	1.62		183	59.42		17	5.52		9	2.92		74	24.03		7	2.27		6	1.95		7	2.27		308	
	SECOND			2	33.33		0	0.00		2	33.33		1	16.67		0	0.00		0	0.00			Excluded		1	16.67		6	
		TOTAL		7	2.27		183	59.42		19	6.17		10	3.25		74	24.03		7	2.27					8	2.60		308	
	THIRD				Excluded		5	71.43		0	0.00		1	14.29		0	0.00		0	0.00					1	14.29		7	
		TOTAL					188	61.04		19	6.17		11	3.57		74	24.03		7	2.27					9	2.92		308	
	FOURTH						5	71.43		1	14.29		0	0.00		1	14.29			Excluded					0	0.00		7	
		TOTAL					193	62.66		20	6.49		11	3.57		75	24.35								9	2.92		308	
	FIFTH						3	33.33		1	11.11		3	33.33		2	22.22									Excluded		9	
		TOTAL					196	63.64		21	6.82		14	4.55		77	25.00											308	
	SIXTH						7	50.00		5	35.71			Excluded		2	14.29											14	
		TOTAL					203	65.91		26	8.44					79	25.65											308	
	SEVENTH						13	50.00			Excluded					13	50.00											26	
		TOTAL					216	70.13								92	29.87											308	
							Elected																						
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
