House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Reid																													
				CHAMAS			ARCHER			MAXWELL			LEDERMANN			MACDONALD			YUSUF			O'CONNOR			FERGUSON				
		TOTAL		38	4.38		31	3.57		15	1.73		23	2.65					212	24.42		47	5.41		502	57.83		868	
	THIRD			4	17.39		4	17.39		5	21.74			Excluded					3	13.04		3	13.04		4	17.39		23	
		TOTAL		42	4.84		35	4.03		20	2.30								215	24.77		50	5.76		506	58.29		868	
	FOURTH			2	10.00		9	45.00			Excluded								4	20.00		1	5.00		4	20.00		20	
		TOTAL		44	5.07		44	5.07											219	25.23		51	5.88		510	58.76		868	
	FIFTH			19	43.18			Excluded											11	25.00		1	2.27		13	29.55		44	
		TOTAL		63	7.26														230	26.50		52	5.99		523	60.25		868	
	SIXTH			10	19.23														25	48.08			Excluded		17	32.69		52	
		TOTAL		73	8.41														255	29.38					540	62.21		868	
	SEVENTH				Excluded														48	65.75					25	34.25		73	
		TOTAL																	303	34.91					565	65.09		868	
																									Elected				
																													
Rawson                                                         																													
	FIRST			25	2.71		24	2.60		24	2.60		14	1.52		8	0.87		223	24.13		83	8.98		523	56.60		924	
	SECOND			4	50.00		2	25.00		0	0.00		0	0.00			Excluded		1	12.50		1	12.50		0	0.00		8	
		TOTAL		29	3.14		26	2.81		24	2.60		14	1.52					224	24.24		84	9.09		523	56.60		924	
	THIRD			0	0.00		1	7.14		3	21.43			Excluded					6	42.86		4	28.57		0	0.00		14	
		TOTAL		29	3.14		27	2.92		27	2.92								230	24.89		88	9.52		523	56.60		924	
	FOURTH			1	3.70		12	44.44			Excluded								2	7.41		2	7.41		10	37.04		27	
		TOTAL		30	3.25		39	4.22											232	25.11		90	9.74		533	57.68		924	
	FIFTH			15	38.46			Excluded											7	17.95		4	10.26		13	33.33		39	
		TOTAL		45	4.87														239	25.87		94	10.17		546	59.09		924	
	SIXTH			8	8.51														51	54.26			Excluded		35	37.23		94	
		TOTAL		53	5.74														290	31.39					581	62.88		924	
	SEVENTH				Excluded														39	73.58					14	26.42		53	
		TOTAL																	329	35.61					595	64.39		924	
																									Elected				
																													
Regents Park                                                   																													
	FIRST			54	4.10		48	3.64		26	1.97		44	3.34		13	0.99		246	18.68		75	5.69		811	61.58		1317	
	SECOND			2	15.38		0	0.00		4	30.77		2	15.38			Excluded		2	15.38		1	7.69		2	15.38		13	
		TOTAL		56	4.25		48	3.64		30	2.28		46	3.49					248	18.83		76	5.77		813	61.73		1317	
	THIRD			1	2.17		11	23.91		4	8.70			Excluded					17	36.96		4	8.70		9	19.57		46	
		TOTAL		57	4.33		59	4.48		34	2.58								265	20.12		80	6.07		822	62.41		1317	
	FOURTH			3	8.82		12	35.29			Excluded								4	11.76		5	14.71		10	29.41		34	
		TOTAL		60	4.56		71	5.39											269	20.43		85	6.45		832	63.17		1317	
	FIFTH			18	25.35			Excluded											21	29.58		5	7.04		27	38.03		71	
		TOTAL		78	5.92														290	22.02		90	6.83		859	65.22		1317	
	SIXTH			17	18.89														39	43.33			Excluded		34	37.78		90	
		TOTAL		95	7.21														329	24.98					893	67.81		1317	
	SEVENTH				Excluded														37	38.95					58	61.05		95	
		TOTAL																	366	27.79					951	72.21		1317	
																									Elected				
																													
Sherwood Grange                                                																													
	FIRST			41	3.03		50	3.70		34	2.51		37	2.73		13	0.96		447	33.04		88	6.50		643	47.52		1353	
	SECOND			0	0.00		0	0.00		2	15.38		0	0.00			Excluded		2	15.38		5	38.46		4	30.77		13	
		TOTAL		41	3.03		50	3.70		36	2.66		37	2.73					449	33.19		93	6.87		647	47.82		1353	
	THIRD			2	5.41		3	8.11		2	5.41			Excluded					16	43.24		3	8.11		11	29.73		37	
		TOTAL		43	3.18		53	3.92		38	2.81								465	34.37		96	7.10		658	48.63		1353	
	FOURTH			7	18.42		16	42.11			Excluded								3	7.89		4	10.53		8	21.05		38	
		TOTAL		50	3.70		69	5.10											468	34.59		100	7.39		666	49.22		1353	
	FIFTH			21	30.43			Excluded											19	27.54		9	13.04		20	28.99		69	
		TOTAL		71	5.25														487	35.99		109	8.06		686	50.70		1353	
	SIXTH			20	18.35														41	37.61			Excluded		48	44.04		109	
		TOTAL		91	6.73														528	39.02					734	54.25		1353	
	SEVENTH				Excluded														52	57.14					39	42.86		91	
		TOTAL																	580	42.87					773	57.13		1353	
																									Elected				
																													
Silverwater                                                    																													
	FIRST			41	4.15		38	3.85		37	3.74		10	1.01		14	1.42		255	25.81		39	3.95		554	56.07		988	
	SECOND			0	0.00		3	21.43		3	21.43		3	21.43			Excluded		3	21.43		1	7.14		1	7.14		14	
		TOTAL		41	4.15		41	4.15		40	4.05		13	1.32					258	26.11		40	4.05		555	56.17		988	
	THIRD			0	0.00		1	7.69		5	38.46			Excluded					6	46.15		0	0.00		1	7.69		13	
		TOTAL		41	4.15		42	4.25		45	4.55								264	26.72		40	4.05		556	56.28		988	
	FOURTH			5	11.11		24	53.33			Excluded								0	0.00		2	4.44		14	31.11		45	
		TOTAL		46	4.66		66	6.68											264	26.72		42	4.25		570	57.69		988	
	FIFTH			20	30.30			Excluded											13	19.70		7	10.61		26	39.39		66	
		TOTAL		66	6.68														277	28.04		49	4.96		596	60.32		988	
	SIXTH			9	18.37														19	38.78			Excluded		21	42.86		49	
		TOTAL		75	7.59														296	29.96					617	62.45		988	
	SEVENTH				Excluded														40	53.33					35	46.67		75	
		TOTAL																	336	34.01					652	65.99		988	
																									Elected				
																													
Sydney (Reid)                                                  																													
	FIRST			0	0.00		10	9.26		4	3.70		3	2.78		5	4.63		33	30.56		2	1.85		51	47.22		108	
	SECOND			0	0.00		1	20.00		0	0.00		1	20.00			Excluded		2	40.00		0	0.00		1	20.00		5	
		TOTAL		0	0.00		11	10.19		4	3.70		4	3.70					35	32.41		2	1.85		52	48.15		108	
	THIRD			0	0.00		0	0.00		4	100.00			Excluded					0	0.00		0	0.00		0	0.00		4	
		TOTAL		0	0.00		11	10.19		8	7.41								35	32.41		2	1.85		52	48.15		108	
	FOURTH			0	0.00		3	37.50			Excluded								2	25.00		1	12.50		2	25.00		8	
		TOTAL		0	0.00		14	12.96											37	34.26		3	2.78		54	50.00		108	
	FIFTH			6	42.86			Excluded											1	7.14		0	0.00		7	50.00		14	
		TOTAL		6	5.56														38	35.19		3	2.78		61	56.48		108	
	SIXTH			1	33.33														0	0.00			Excluded		2	66.67		3	
		TOTAL		7	6.48														38	35.19					63	58.33		108	
	SEVENTH				Excluded														5	71.43					2	28.57		7	
		TOTAL																	43	39.81					65	60.19		108	
																									Elected				
																													
Trinity Auburn                                                 																													
	FIRST			174	5.44		81	2.53		151	4.72		58	1.81		43	1.34		599	18.72		73	2.28		2021	63.16		3200	
	SECOND			9	20.93		6	13.95		7	16.28		4	9.30			Excluded		4	9.30		1	2.33		12	27.91		43	
		TOTAL		183	5.72		87	2.72		158	4.94		62	1.94					603	18.84		74	2.31		2033	63.53		3200	
	THIRD			8	12.90		5	8.06		13	20.97			Excluded					18	29.03		4	6.45		14	22.58		62	
		TOTAL		191	5.97		92	2.88		171	5.34								621	19.41		78	2.44		2047	63.97		3200	
	FOURTH			56	32.75		43	25.15			Excluded								20	11.70		7	4.09		45	26.32		171	
		TOTAL		247	7.72		135	4.22											641	20.03		85	2.66		2092	65.38		3200	
	FIFTH			38	28.15			Excluded											37	27.41		14	10.37		46	34.07		135	
		TOTAL		285	8.91														678	21.19		99	3.09		2138	66.81		3200	
	SIXTH			21	21.21														33	33.33			Excluded		45	45.45		99	
		TOTAL		306	9.56														711	22.22					2183	68.22		3200	
	SEVENTH				Excluded														115	37.58					191	62.42		306	
		TOTAL																	826	25.81					2374	74.19		3200	
																									Elected				
																													
Wentworthville South                                           																													
	FIRST			16	2.56		25	4.00		11	1.76		24	3.84		12	1.92		190	30.40		49	7.84		298	47.68		625	
	SECOND			0	0.00		4	33.33		1	8.33		3	25.00			Excluded		2	16.67		1	8.33		1	8.33		12	
		TOTAL		16	2.56		29	4.64		12	1.92		27	4.32					192	30.72		50	8.00		299	47.84		625	
	THIRD			0	0.00		2	7.41		4	14.81			Excluded					15	55.56		3	11.11		3	11.11		27	
		TOTAL		16	2.56		31	4.96		16	2.56								207	33.12		53	8.48		302	48.32		625	
	FOURTH			0	0.00		8	50.00			Excluded								4	25.00		2	12.50		2	12.50		16	
		TOTAL		16	2.56		39	6.24											211	33.76		55	8.80		304	48.64		625	
	FIFTH			9	23.08			Excluded											12	30.77		2	5.13		16	41.03		39	
		TOTAL		25	4.00														223	35.68		57	9.12		320	51.20		625	
	SIXTH			4	7.02														32	56.14			Excluded		21	36.84		57	
		TOTAL		29	4.64														255	40.80					341	54.56		625	
	SEVENTH				Excluded														21	72.41					8	27.59		29	
		TOTAL																	276	44.16					349	55.84		625	
																									Elected				
																													
Yennora (Reid)                                                 																													
	FIRST			47	7.69		17	2.78		20	3.27		11	1.80		6	0.98		108	17.68		32	5.24		370	60.56		611	
	SECOND			0	0.00		0	0.00		2	33.33		0	0.00			Excluded		1	16.67		1	16.67		2	33.33		6	
		TOTAL		47	7.69		17	2.78		22	3.60		11	1.80					109	17.84		33	5.40		372	60.88		611	
	THIRD			0	0.00		2	18.18		1	9.09			Excluded					5	45.45		0	0.00		3	27.27		11	
		TOTAL		47	7.69		19	3.11		23	3.76								114	18.66		33	5.40		375	61.37		611	
	FOURTH			4	17.39		4	17.39			Excluded								7	30.43		1	4.35		7	30.43		23	
		TOTAL		51	8.35		23	3.76											121	19.80		34	5.56		382	62.52		611	
	FIFTH			9	39.13			Excluded											7	30.43		2	8.70		5	21.74		23	
		TOTAL		60	9.82														128	20.95		36	5.89		387	63.34		611	
	SIXTH			10	27.78														18	50.00			Excluded		8	22.22		36	
		TOTAL		70	11.46														146	23.90					395	64.65		611	
	SEVENTH				Excluded														48	68.57					22	31.43		70	
		TOTAL																	194	31.75					417	68.25		611	
																									Elected				
																													
Special Hospital Team 1                                        																													
	FIRST			6	6.98		3	3.49		1	1.16		2	2.33		2	2.33		24	27.91		5	5.81		43	50.00		86	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		6	6.98		3	3.49		1	1.16		3	3.49					25	29.07		5	5.81		43	50.00		86	
	THIRD			0	0.00		0	0.00		2	66.67			Excluded					0	0.00		0	0.00		1	33.33		3	
		TOTAL		6	6.98		3	3.49		3	3.49								25	29.07		5	5.81		44	51.16		86	
	FOURTH			0	0.00		1	33.33			Excluded								1	33.33		0	0.00		1	33.33		3	
		TOTAL		6	6.98		4	4.65											26	30.23		5	5.81		45	52.33		86	
	FIFTH			1	25.00			Excluded											0	0.00		1	25.00		2	50.00		4	
		TOTAL		7	8.14														26	30.23		6	6.98		47	54.65		86	
	SIXTH			1	16.67														1	16.67			Excluded		4	66.67		6	
		TOTAL		8	9.30														27	31.40					51	59.30		86	
	SEVENTH				Excluded														6	75.00					2	25.00		8	
		TOTAL																	33	38.37					53	61.63		86	
																									Elected				
																													
Special Hospital Team 2                                        																													
	FIRST			6	11.11		1	1.85		0	0.00		0	0.00		0	0.00		17	31.48		1	1.85		29	53.70		54	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		6	11.11		1	1.85		0	0.00		0	0.00					17	31.48		1	1.85		29	53.70		54	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	
		TOTAL		6	11.11		1	1.85		0	0.00								17	31.48		1	1.85		29	53.70		54	
	FOURTH			0	0.00		0	0.00			Excluded								0	0.00		0	0.00		0	0.00		0	
		TOTAL		6	11.11		1	1.85											17	31.48		1	1.85		29	53.70		54	
	FIFTH			0	0.00			Excluded											0	0.00		0	0.00		1	100.00		1	
		TOTAL		6	11.11														17	31.48		1	1.85		30	55.56		54	
	SIXTH			0	0.00														0	0.00			Excluded		1	100.00		1	
		TOTAL		6	11.11														17	31.48					31	57.41		54	
	SEVENTH				Excluded														5	83.33					1	16.67		6	
		TOTAL																	22	40.74					32	59.26		54	
																									Elected				
																													
Prison Mobile Team 1                                           																													
	FIRST			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		2	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	50.00		2	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	50.00		0	0.00		0	0.00								0	0.00		0	0.00		1	50.00		2	
	FOURTH			0	0.00		0	0.00			Excluded								0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	50.00		0	0.00											0	0.00		0	0.00		1	50.00		2	
	FIFTH			0	0.00			Excluded											0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	50.00														0	0.00		0	0.00		1	50.00		2	
	SIXTH			0	0.00														0	0.00			Excluded		0	0.00		0	
		TOTAL		1	50.00														0	0.00					1	50.00		2	
	SEVENTH				Excluded														1	100.00					0	0.00		1	
		TOTAL																	1	50.00					1	50.00		2	
																									Elected				
																													
ABSENT																													
	FIRST			249	6.02		260	6.29		223	5.39		143	3.46		87	2.10		1033	24.98		229	5.54		1911	46.22		4135	
	SECOND			2	2.30		15	17.24		20	22.99		8	9.20			Excluded		14	16.09		12	13.79		16	18.39		87	
		TOTAL		251	6.07		275	6.65		243	5.88		151	3.65					1047	25.32		241	5.83		1927	46.60		4135	
	THIRD			15	9.93		14	9.27		26	17.22			Excluded					56	37.09		15	9.93		25	16.56		151	
		TOTAL		266	6.43		289	6.99		269	6.51								1103	26.67		256	6.19		1952	47.21		4135	
	FOURTH			38	14.13		103	38.29			Excluded								32	11.90		13	4.83		83	30.86		269	
		TOTAL		304	7.35		392	9.48											1135	27.45		269	6.51		2035	49.21		4135	
	FIFTH			115	29.34			Excluded											92	23.47		38	9.69		147	37.50		392	
		TOTAL		419	10.13														1227	29.67		307	7.42		2182	52.77		4135	
	SIXTH			42	13.68														121	39.41			Excluded		144	46.91		307	
		TOTAL		461	11.15														1348	32.60					2326	56.25		4135	
	SEVENTH				Excluded														305	66.16					156	33.84		461	
		TOTAL																	1653	39.98					2482	60.02		4135	
																									Elected				
																													
POSTAL																													
	FIRST			38	1.68		51	2.25		40	1.77		48	2.12		13	0.57		625	27.58		173	7.63		1278	56.40		2266	
	SECOND			1	7.69		3	23.08		1	7.69		0	0.00			Excluded		2	15.38		3	23.08		3	23.08		13	
		TOTAL		39	1.72		54	2.38		41	1.81		48	2.12					627	27.67		176	7.77		1281	56.53		2266	
	THIRD			4	8.33		7	14.58		7	14.58			Excluded					21	43.75		6	12.50		3	6.25		48	
		TOTAL		43	1.90		61	2.69		48	2.12								648	28.60		182	8.03		1284	56.66		2266	
	FOURTH			4	8.33		18	37.50			Excluded								6	12.50		8	16.67		12	25.00		48	
		TOTAL		47	2.07		79	3.49											654	28.86		190	8.38		1296	57.19		2266	
	FIFTH			15	18.99			Excluded											19	24.05		9	11.39		36	45.57		79	
		TOTAL		62	2.74														673	29.70		199	8.78		1332	58.78		2266	
	SIXTH			27	13.57														84	42.21			Excluded		88	44.22		199	
		TOTAL		89	3.93														757	33.41					1420	62.67		2266	
	SEVENTH				Excluded														63	70.79					26	29.21		89	
		TOTAL																	820	36.19					1446	63.81		2266	
																									Elected				
																													
PRE POLL																													
	FIRST			89	4.56		96	4.92		68	3.48		45	2.30		21	1.08		440	22.53		94	4.81		1100	56.32		1953	
	SECOND			2	9.52		3	14.29		1	4.76		2	9.52			Excluded		1	4.76		6	28.57		6	28.57		21	
		TOTAL		91	4.66		99	5.07		69	3.53		47	2.41					441	22.58		100	5.12		1106	56.63		1953	
	THIRD			5	10.64		6	12.77		6	12.77			Excluded					20	42.55		5	10.64		5	10.64		47	
		TOTAL		96	4.92		105	5.38		75	3.84								461	23.60		105	5.38		1111	56.89		1953	
	FOURTH			7	9.33		35	46.67			Excluded								4	5.33		6	8.00		23	30.67		75	
		TOTAL		103	5.27		140	7.17											465	23.81		111	5.68		1134	58.06		1953	
	FIFTH			34	24.29			Excluded											36	25.71		17	12.14		53	37.86		140	
		TOTAL		137	7.01														501	25.65		128	6.55		1187	60.78		1953	
	SIXTH			21	16.41														50	39.06			Excluded		57	44.53		128	
		TOTAL		158	8.09														551	28.21					1244	63.70		1953	
	SEVENTH				Excluded														98	62.03					60	37.97		158	
		TOTAL																	649	33.23					1304	66.77		1953	
																									Elected				
																													
PROVISIONAL																													
	FIRST			20	7.43		8	2.97		8	2.97		6	2.23		6	2.23		45	16.73		7	2.60		169	62.83		269	
	SECOND			0	0.00		2	33.33		2	33.33		0	0.00			Excluded		0	0.00		1	16.67		1	16.67		6	
		TOTAL		20	7.43		10	3.72		10	3.72		6	2.23					45	16.73		8	2.97		170	63.20		269	
	THIRD			0	0.00		3	50.00		2	33.33			Excluded					0	0.00		1	16.67		0	0.00		6	
		TOTAL		20	7.43		13	4.83		12	4.46								45	16.73		9	3.35		170	63.20		269	
	FOURTH			1	8.33		4	33.33			Excluded								2	16.67		0	0.00		5	41.67		12	
		TOTAL		21	7.81		17	6.32											47	17.47		9	3.35		175	65.06		269	
	FIFTH			5	29.41			Excluded											4	23.53		3	17.65		5	29.41		17	
		TOTAL		26	9.67														51	18.96		12	4.46		180	66.91		269	
	SIXTH			0	0.00														5	41.67			Excluded		7	58.33		12	
		TOTAL		26	9.67														56	20.82					187	69.52		269	
	SEVENTH				Excluded														19	73.08					7	26.92		26	
		TOTAL																	75	27.88					194	72.12		269	
																									Elected				
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
