House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Parkes (83036)											
		Candidate		"KNAGGE, Joe"		                	"COBB, John"		                 	Total	
		"WARD, Geoff (DEM)"	10	6	60.00		4	40.00		10	
		Total	39	274	51.80		255	48.20		529	

	Total Ordinary										
			1st Prefs	21582	40.03		32335	59.97		53917	
		"REDFERN, Bob (HAN)"	6724	3450	51.31		3274	48.69		6724	
		"DUNLOP, Samantha (GRN)"	1532	874	57.05		658	42.95		1532	
		"WARD, Geoff (DEM)"	1594	813	51.00		781	49.00		1594	
		Total	9850	26719	41.90		37048	58.10		63767	

	ABSENT										
			1st Prefs	1214	31.09		2691	68.91		3905	
		"REDFERN, Bob (HAN)"	426	163	38.26		263	61.74		426	
		"DUNLOP, Samantha (GRN)"	206	112	54.37		94	45.63		206	
		"WARD, Geoff (DEM)"	239	106	44.35		133	55.65		239	
		Total	871	1595	33.40		3181	66.60		4776	

	POSTAL										
			1st Prefs	765	29.05		1868	70.95		2633	
		"REDFERN, Bob (HAN)"	329	120	36.47		209	63.53		329	
		"DUNLOP, Samantha (GRN)"	48	29	60.42		19	39.58		48	
		"WARD, Geoff (DEM)"	78	43	55.13		35	44.87		78	
		Total	455	957	30.99		2131	69.01		3088	

	PRE_POLL										
			1st Prefs	1633	44.79		2013	55.21		3646	
		"REDFERN, Bob (HAN)"	434	242	55.76		192	44.24		434	
		"DUNLOP, Samantha (GRN)"	128	76	59.38		52	40.63		128	
		"WARD, Geoff (DEM)"	182	92	50.55		90	49.45		182	
		Total	744	2043	46.54		2347	53.46		4390	

	PROVISIONAL										
			1st Prefs	235	50.98		226	49.02		461	
		"REDFERN, Bob (HAN)"	56	26	46.43		30	53.57		56	
		"DUNLOP, Samantha (GRN)"	22	12	54.55		10	45.45		22	
		"WARD, Geoff (DEM)"	18	9	50.00		9	50.00		18	
		Total	96	282	50.63		275	49.37		557	

	Division Summary										
			1st Prefs	25429	39.39		39133	60.61		64562	
		"REDFERN, Bob (HAN)"	7969	4001	50.21		3968	49.79		7969	
		"DUNLOP, Samantha (GRN)"	1936	1103	56.97		833	43.03		1936	
		"WARD, Geoff (DEM)"	2111	1063	50.36		1048	49.64		2111	
		Total	12016	31596	41.26		44982	58.74		76578	
