House of Representatives - 2001 Election: New South Wales 											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Lyne (86901)											
		Candidate		"VAILE, Mark"		                	"STEVENS, Pat"		               	Total	
		"STANFIELD, Lynn (HAN)"	143	67	46.85		76	53.15		143	
		"SARA, Dane William (IND)"	21	10	47.62		11	52.38		21	
		"ISHERWOOD, Siobhan (GRN)"	70	32	45.71		38	54.29		70	
		"JIRMAN, Philip (DEM)"	80	31	38.75		49	61.25		80	
		"MULDOON, Graeme (CEC)"	8	3	37.50		5	62.50		8	
		Total	322	1623	66.08		833	33.92		2456	

	Port Macquarie West										
			1st Prefs	2271	66.95		1121	33.05		3392	
		"STANFIELD, Lynn (HAN)"	319	148	46.39		171	53.61		319	
		"SARA, Dane William (IND)"	36	21	58.33		15	41.67		36	
		"ISHERWOOD, Siobhan (GRN)"	78	37	47.44		41	52.56		78	
		"JIRMAN, Philip (DEM)"	94	43	45.74		51	54.26		94	
		"MULDOON, Graeme (CEC)"	6	3	50.00		3	50.00		6	
		Total	533	2523	64.28		1402	35.72		3925	

	Purfleet										
			1st Prefs	44	34.92		82	65.08		126	
		"STANFIELD, Lynn (HAN)"	12	5	41.67		7	58.33		12	
		"SARA, Dane William (IND)"	2	1	50.00		1	50.00		2	
		"ISHERWOOD, Siobhan (GRN)"	1	0	0.00		1	100.00		1	
		"JIRMAN, Philip (DEM)"	1	0	0.00		1	100.00		1	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	16	50	35.21		92	64.79		142	

	Rollands Plains										
			1st Prefs	108	80.60		26	19.40		134	
		"STANFIELD, Lynn (HAN)"	18	10	55.56		8	44.44		18	
		"SARA, Dane William (IND)"	1	0	0.00		1	100.00		1	
		"ISHERWOOD, Siobhan (GRN)"	10	0	0.00		10	100.00		10	
		"JIRMAN, Philip (DEM)"	10	7	70.00		3	30.00		10	
		"MULDOON, Graeme (CEC)"	3	0	0.00		3	100.00		3	
		Total	42	125	71.02		51	28.98		176	

	Settlement Shores										
			1st Prefs	772	67.48		372	32.52		1144	
		"STANFIELD, Lynn (HAN)"	100	44	44.00		56	56.00		100	
		"SARA, Dane William (IND)"	10	8	80.00		2	20.00		10	
		"ISHERWOOD, Siobhan (GRN)"	27	12	44.44		15	55.56		27	
		"JIRMAN, Philip (DEM)"	27	15	55.56		12	44.44		27	
		"MULDOON, Graeme (CEC)"	2	1	50.00		1	50.00		2	
		Total	166	852	65.04		458	34.96		1310	

	Sydney (Lyne)										
			1st Prefs	27	81.82		6	18.18		33	
		"STANFIELD, Lynn (HAN)"	0	0	0.00		0	0.00		0	
		"SARA, Dane William (IND)"	0	0	0.00		0	0.00		0	
		"ISHERWOOD, Siobhan (GRN)"	3	0	0.00		3	100.00		3	
		"JIRMAN, Philip (DEM)"	1	1	100.00		0	0.00		1	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	4	28	75.68		9	24.32		37	

	Tacking Point										
			1st Prefs	1443	69.14		644	30.86		2087	
		"STANFIELD, Lynn (HAN)"	131	58	44.27		73	55.73		131	
		"SARA, Dane William (IND)"	14	10	71.43		4	28.57		14	
		"ISHERWOOD, Siobhan (GRN)"	60	19	31.67		41	68.33		60	
		"JIRMAN, Philip (DEM)"	74	31	41.89		43	58.11		74	
		"MULDOON, Graeme (CEC)"	3	1	33.33		2	66.67		3	
		Total	282	1562	65.93		807	34.07		2369	

	Taree										
			1st Prefs	947	60.13		628	39.87		1575	
		"STANFIELD, Lynn (HAN)"	215	92	42.79		123	57.21		215	
		"SARA, Dane William (IND)"	27	19	70.37		8	29.63		27	
		"ISHERWOOD, Siobhan (GRN)"	39	14	35.90		25	64.10		39	
		"JIRMAN, Philip (DEM)"	56	15	26.79		41	73.21		56	
		"MULDOON, Graeme (CEC)"	8	2	25.00		6	75.00		8	
		Total	345	1089	56.72		831	43.28		1920	

	Taree Central										
			1st Prefs	581	64.99		313	35.01		894	
		"STANFIELD, Lynn (HAN)"	96	56	58.33		40	41.67		96	
		"SARA, Dane William (IND)"	8	7	87.50		1	12.50		8	
		"ISHERWOOD, Siobhan (GRN)"	33	13	39.39		20	60.61		33	
		"JIRMAN, Philip (DEM)"	24	10	41.67		14	58.33		24	
		"MULDOON, Graeme (CEC)"	10	7	70.00		3	30.00		10	
		Total	171	674	63.29		391	36.71		1065	

	Taree Hospital										
			1st Prefs	80	47.90		87	52.10		167	
		"STANFIELD, Lynn (HAN)"	17	8	47.06		9	52.94		17	
		"SARA, Dane William (IND)"	5	2	40.00		3	60.00		5	
		"ISHERWOOD, Siobhan (GRN)"	7	3	42.86		4	57.14		7	
		"JIRMAN, Philip (DEM)"	4	2	50.00		2	50.00		4	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	33	95	47.50		105	52.50		200	

	Taree North										
			1st Prefs	515	51.81		479	48.19		994	
		"STANFIELD, Lynn (HAN)"	156	57	36.54		99	63.46		156	
		"SARA, Dane William (IND)"	22	9	40.91		13	59.09		22	
		"ISHERWOOD, Siobhan (GRN)"	20	7	35.00		13	65.00		20	
		"JIRMAN, Philip (DEM)"	13	6	46.15		7	53.85		13	
		"MULDOON, Graeme (CEC)"	4	3	75.00		1	25.00		4	
		Total	215	597	49.38		612	50.62		1209	

	Taree West										
			1st Prefs	1437	65.26		765	34.74		2202	
		"STANFIELD, Lynn (HAN)"	253	113	44.66		140	55.34		253	
		"SARA, Dane William (IND)"	24	15	62.50		9	37.50		24	
		"ISHERWOOD, Siobhan (GRN)"	40	18	45.00		22	55.00		40	
		"JIRMAN, Philip (DEM)"	46	21	45.65		25	54.35		46	
		"MULDOON, Graeme (CEC)"	9	4	44.44		5	55.56		9	
		Total	372	1608	62.47		966	37.53		2574	

	Telegraph Point										
			1st Prefs	334	68.72		152	31.28		486	
		"STANFIELD, Lynn (HAN)"	86	39	45.35		47	54.65		86	
		"SARA, Dane William (IND)"	12	9	75.00		3	25.00		12	
		"ISHERWOOD, Siobhan (GRN)"	20	8	40.00		12	60.00		20	
		"JIRMAN, Philip (DEM)"	22	7	31.82		15	68.18		22	
		"MULDOON, Graeme (CEC)"	1	0	0.00		1	100.00		1	
		Total	141	397	63.32		230	36.68		627	

	Tinonee										
			1st Prefs	463	68.59		212	31.41		675	
		"STANFIELD, Lynn (HAN)"	113	52	46.02		61	53.98		113	
		"SARA, Dane William (IND)"	6	3	50.00		3	50.00		6	
		"ISHERWOOD, Siobhan (GRN)"	30	14	46.67		16	53.33		30	
		"JIRMAN, Philip (DEM)"	19	6	31.58		13	68.42		19	
		"MULDOON, Graeme (CEC)"	11	8	72.73		3	27.27		11	
		Total	179	546	63.93		308	36.07		854	

	Upper Lansdowne										
			1st Prefs	78	67.83		37	32.17		115	
		"STANFIELD, Lynn (HAN)"	23	14	60.87		9	39.13		23	
		"SARA, Dane William (IND)"	0	0	0.00		0	0.00		0	
		"ISHERWOOD, Siobhan (GRN)"	10	1	10.00		9	90.00		10	
		"JIRMAN, Philip (DEM)"	9	2	22.22		7	77.78		9	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	42	95	60.51		62	39.49		157	

	Wauchope										
			1st Prefs	1120	71.66		443	28.34		1563	
		"STANFIELD, Lynn (HAN)"	166	92	55.42		74	44.58		166	
		"SARA, Dane William (IND)"	24	15	62.50		9	37.50		24	
		"ISHERWOOD, Siobhan (GRN)"	63	17	26.98		46	73.02		63	
		"JIRMAN, Philip (DEM)"	42	12	28.57		30	71.43		42	
		"MULDOON, Graeme (CEC)"	8	3	37.50		5	62.50		8	
		Total	303	1259	67.47		607	32.53		1866	

	Wauchope South										
			1st Prefs	1087	74.15		379	25.85		1466	
		"STANFIELD, Lynn (HAN)"	167	90	53.89		77	46.11		167	
		"SARA, Dane William (IND)"	23	15	65.22		8	34.78		23	
		"ISHERWOOD, Siobhan (GRN)"	36	13	36.11		23	63.89		36	
		"JIRMAN, Philip (DEM)"	19	7	36.84		12	63.16		19	
		"MULDOON, Graeme (CEC)"	2	1	50.00		1	50.00		2	
		Total	247	1213	70.81		500	29.19		1713	

	West Haven										
			1st Prefs	450	61.31		284	38.69		734	
		"STANFIELD, Lynn (HAN)"	50	31	62.00		19	38.00		50	
		"SARA, Dane William (IND)"	12	8	66.67		4	33.33		12	
		"ISHERWOOD, Siobhan (GRN)"	22	9	40.91		13	59.09		22	
		"JIRMAN, Philip (DEM)"	18	7	38.89		11	61.11		18	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	102	505	60.41		331	39.59		836	

	Wherrol Flat										
			1st Prefs	77	63.64		44	36.36		121	
		"STANFIELD, Lynn (HAN)"	31	9	29.03		22	70.97		31	
		"SARA, Dane William (IND)"	0	0	0.00		0	0.00		0	
		"ISHERWOOD, Siobhan (GRN)"	9	3	33.33		6	66.67		9	
		"JIRMAN, Philip (DEM)"	7	1	14.29		6	85.71		7	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	47	90	53.57		78	46.43		168	

	Wingham										
			1st Prefs	752	65.28		400	34.72		1152	
		"STANFIELD, Lynn (HAN)"	192	91	47.40		101	52.60		192	
		"SARA, Dane William (IND)"	20	11	55.00		9	45.00		20	
		"ISHERWOOD, Siobhan (GRN)"	33	14	42.42		19	57.58		33	
		"JIRMAN, Philip (DEM)"	30	7	23.33		23	76.67		30	
		"MULDOON, Graeme (CEC)"	12	8	66.67		4	33.33		12	
		Total	287	883	61.36		556	38.64		1439	

	Wingham West										
			1st Prefs	1072	64.27		596	35.73		1668	
		"STANFIELD, Lynn (HAN)"	269	61	22.68		208	77.32		269	
		"SARA, Dane William (IND)"	22	9	40.91		13	59.09		22	
		"ISHERWOOD, Siobhan (GRN)"	41	9	21.95		32	78.05		41	
		"JIRMAN, Philip (DEM)"	44	14	31.82		30	68.18		44	
		"MULDOON, Graeme (CEC)"	19	13	68.42		6	31.58		19	
		Total	395	1178	57.10		885	42.90		2063	

	Yarras										
			1st Prefs	46	73.02		17	26.98		63	
		"STANFIELD, Lynn (HAN)"	9	7	77.78		2	22.22		9	
		"SARA, Dane William (IND)"	0	0	0.00		0	0.00		0	
		"ISHERWOOD, Siobhan (GRN)"	3	1	33.33		2	66.67		3	
		"JIRMAN, Philip (DEM)"	1	0	0.00		1	100.00		1	
		"MULDOON, Graeme (CEC)"	1	0	0.00		1	100.00		1	
		Total	14	54	70.13		23	29.87		77	

	Special Hospitals										
			1st Prefs	351	69.92		151	30.08		502	
		"STANFIELD, Lynn (HAN)"	29	24	82.76		5	17.24		29	
		"SARA, Dane William (IND)"	5	2	40.00		3	60.00		5	
		"ISHERWOOD, Siobhan (GRN)"	5	4	80.00		1	20.00		5	
		"JIRMAN, Philip (DEM)"	5	3	60.00		2	40.00		5	
		"MULDOON, Graeme (CEC)"	4	3	75.00		1	25.00		4	
		Total	48	387	70.36		163	29.64		550	

	Total Ordinary										
			1st Prefs	35608	63.95		20074	36.05		55682	
		"STANFIELD, Lynn (HAN)"	6847	3232	47.20		3615	52.80		6847	
		"SARA, Dane William (IND)"	768	473	61.59		295	38.41		768	
		"ISHERWOOD, Siobhan (GRN)"	1897	629	33.16		1268	66.84		1897	
		"JIRMAN, Philip (DEM)"	1768	669	37.84		1099	62.16		1768	
		"MULDOON, Graeme (CEC)"	206	108	52.43		98	47.57		206	
		Total	11486	40719	60.62		26449	39.38		67168	

	ABSENT										
			1st Prefs	2390	67.00		1177	33.00		3567	
		"STANFIELD, Lynn (HAN)"	475	307	64.63		168	35.37		475	
		"SARA, Dane William (IND)"	98	52	53.06		46	46.94		98	
		"ISHERWOOD, Siobhan (GRN)"	257	91	35.41		166	64.59		257	
		"JIRMAN, Philip (DEM)"	254	112	44.09		142	55.91		254	
		"MULDOON, Graeme (CEC)"	20	11	55.00		9	45.00		20	
		Total	1104	2963	63.43		1708	36.57		4671	

	POSTAL										
			1st Prefs	1449	67.11		710	32.89		2159	
		"STANFIELD, Lynn (HAN)"	228	135	59.21		93	40.79		228	
		"SARA, Dane William (IND)"	22	13	59.09		9	40.91		22	
		"ISHERWOOD, Siobhan (GRN)"	47	13	27.66		34	72.34		47	
		"JIRMAN, Philip (DEM)"	44	12	27.27		32	72.73		44	
		"MULDOON, Graeme (CEC)"	6	1	16.67		5	83.33		6	
		Total	347	1623	64.76		883	35.24		2506	

	PRE_POLL										
			1st Prefs	2880	70.16		1225	29.84		4105	
		"STANFIELD, Lynn (HAN)"	547	267	48.81		280	51.19		547	
		"SARA, Dane William (IND)"	60	38	63.33		22	36.67		60	
		"ISHERWOOD, Siobhan (GRN)"	134	49	36.57		85	63.43		134	
		"JIRMAN, Philip (DEM)"	147	58	39.46		89	60.54		147	
		"MULDOON, Graeme (CEC)"	10	5	50.00		5	50.00		10	
		Total	898	3297	65.90		1706	34.10		5003	

	PROVISIONAL										
			1st Prefs	372	62.94		219	37.06		591	
		"STANFIELD, Lynn (HAN)"	81	46	56.79		35	43.21		81	
		"SARA, Dane William (IND)"	15	5	33.33		10	66.67		15	
		"ISHERWOOD, Siobhan (GRN)"	45	21	46.67		24	53.33		45	
		"JIRMAN, Philip (DEM)"	24	9	37.50		15	62.50		24	
		"MULDOON, Graeme (CEC)"	5	2	40.00		3	60.00		5	
		Total	170	455	59.79		306	40.21		761	

	Division Summary										
			1st Prefs	42699	64.59		23405	35.41		66104	
		"STANFIELD, Lynn (HAN)"	8178	3987	48.75		4191	51.25		8178	
		"SARA, Dane William (IND)"	963	581	60.33		382	39.67		963	
		"ISHERWOOD, Siobhan (GRN)"	2380	803	33.74		1577	66.26		2380	
		"JIRMAN, Philip (DEM)"	2237	860	38.44		1377	61.56		2237	
		"MULDOON, Graeme (CEC)"	247	127	51.42		120	48.58		247	
		Total	14005	49057	61.24		31052	38.76		80109	
