House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Macquarie																										
				WILLIAMS			SEARLE			GRIGG			MAJOROS			BUCKLEY			BARTLETT			WARREN				
Medlow Bath                                                    																										
	FIRST			40	11.14		134	37.33		6	1.67		16	4.46		12	3.34		149	41.50		2	0.56		359	
	SECOND			1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		41	11.42		135	37.60		6	1.67		16	4.46		12	3.34		149	41.50					359	
	THIRD			0	0.00		0	0.00			Excluded		2	33.33		0	0.00		4	66.67					6	
		TOTAL		41	11.42		135	37.60					18	5.01		12	3.34		153	42.62					359	
	FOURTH			4	33.33		3	25.00					1	8.33			Excluded		4	33.33					12	
		TOTAL		45	12.53		138	38.44					19	5.29					157	43.73					359	
	FIFTH			10	52.63		4	21.05						Excluded					5	26.32					19	
		TOTAL		55	15.32		142	39.55											162	45.13					359	
	SIXTH				Excluded		49	89.09											6	10.91					55	
		TOTAL					191	53.20											168	46.80					359	
																			Elected							
																										
Mount Riverview                                                																										
	FIRST			87	5.59		399	25.66		42	2.70		71	4.57		79	5.08		856	55.05		21	1.35		1555	
	SECOND			10	47.62		2	9.52		2	9.52		1	4.76		0	0.00		6	28.57			Excluded		21	
		TOTAL		97	6.24		401	25.79		44	2.83		72	4.63		79	5.08		862	55.43					1555	
	THIRD			4	9.09		7	15.91			Excluded		4	9.09		1	2.27		28	63.64					44	
		TOTAL		101	6.50		408	26.24					76	4.89		80	5.14		890	57.23					1555	
	FOURTH			11	13.75		37	46.25					7	8.75			Excluded		25	31.25					80	
		TOTAL		112	7.20		445	28.62					83	5.34					915	58.84					1555	
	FIFTH			40	48.19		27	32.53						Excluded					16	19.28					83	
		TOTAL		152	9.77		472	30.35											931	59.87					1555	
	SIXTH				Excluded		114	75.00											38	25.00					152	
		TOTAL					586	37.68											969	62.32					1555	
																			Elected							
																										
Mount Victoria                                                 																										
	FIRST			62	13.90		148	33.18		11	2.47		25	5.61		30	6.73		168	37.67		2	0.45		446	
	SECOND			2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		64	14.35		148	33.18		11	2.47		25	5.61		30	6.73		168	37.67					446	
	THIRD			0	0.00		0	0.00			Excluded		2	18.18		1	9.09		8	72.73					11	
		TOTAL		64	14.35		148	33.18					27	6.05		31	6.95		176	39.46					446	
	FOURTH			4	12.90		12	38.71					4	12.90			Excluded		11	35.48					31	
		TOTAL		68	15.25		160	35.87					31	6.95					187	41.93					446	
	FIFTH			21	67.74		4	12.90						Excluded					6	19.35					31	
		TOTAL		89	19.96		164	36.77											193	43.27					446	
	SIXTH				Excluded		78	87.64											11	12.36					89	
		TOTAL					242	54.26											204	45.74					446	
																			Elected							
																										
Mount Wilson                                                   																										
	FIRST			13	15.66		17	20.48		0	0.00		2	2.41		2	2.41		49	59.04		0	0.00		83	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		13	15.66		17	20.48		0	0.00		2	2.41		2	2.41		49	59.04					83	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	
		TOTAL		13	15.66		17	20.48					2	2.41		2	2.41		49	59.04					83	
	FOURTH			0	0.00		0	0.00					0	0.00			Excluded		2	100.00					2	
		TOTAL		13	15.66		17	20.48					2	2.41					51	61.45					83	
	FIFTH			2	100.00		0	0.00						Excluded					0	0.00					2	
		TOTAL		15	18.07		17	20.48											51	61.45					83	
	SIXTH				Excluded		12	80.00											3	20.00					15	
		TOTAL					29	34.94											54	65.06					83	
																			Elected							
																										
North Richmond                                                 																										
	FIRST			140	5.25		523	19.60		52	1.95		90	3.37		165	6.18		1644	61.60		55	2.06		2669	
	SECOND			21	38.18		10	18.18		3	5.45		2	3.64		2	3.64		17	30.91			Excluded		55	
		TOTAL		161	6.03		533	19.97		55	2.06		92	3.45		167	6.26		1661	62.23					2669	
	THIRD			10	18.18		4	7.27			Excluded		2	3.64		8	14.55		31	56.36					55	
		TOTAL		171	6.41		537	20.12					94	3.52		175	6.56		1692	63.39					2669	
	FOURTH			25	14.29		72	41.14					12	6.86			Excluded		66	37.71					175	
		TOTAL		196	7.34		609	22.82					106	3.97					1758	65.87					2669	
	FIFTH			63	59.43		20	18.87						Excluded					23	21.70					106	
		TOTAL		259	9.70		629	23.57											1781	66.73					2669	
	SIXTH				Excluded		163	62.93											96	37.07					259	
		TOTAL					792	29.67											1877	70.33					2669	
																			Elected							
																										
Oakville                                                       																										
	FIRST			50	4.04		180	14.54		9	0.73		25	2.02		55	4.44		907	73.26		12	0.97		1238	
	SECOND			4	33.33		0	0.00		1	8.33		2	16.67		2	16.67		3	25.00			Excluded		12	
		TOTAL		54	4.36		180	14.54		10	0.81		27	2.18		57	4.60		910	73.51					1238	
	THIRD			3	30.00		1	10.00			Excluded		1	10.00		1	10.00		4	40.00					10	
		TOTAL		57	4.60		181	14.62					28	2.26		58	4.68		914	73.83					1238	
	FOURTH			7	12.07		13	22.41					7	12.07			Excluded		31	53.45					58	
		TOTAL		64	5.17		194	15.67					35	2.83					945	76.33					1238	
	FIFTH			19	54.29		5	14.29						Excluded					11	31.43					35	
		TOTAL		83	6.70		199	16.07											956	77.22					1238	
	SIXTH				Excluded		58	69.88											25	30.12					83	
		TOTAL					257	20.76											981	79.24					1238	
																			Elected							
																										
Pitt Town                                                      																										
	FIRST			43	4.01		223	20.82		10	0.93		15	1.40		47	4.39		719	67.13		14	1.31		1071	
	SECOND			7	50.00		3	21.43		0	0.00		2	14.29		1	7.14		1	7.14			Excluded		14	
		TOTAL		50	4.67		226	21.10		10	0.93		17	1.59		48	4.48		720	67.23					1071	
	THIRD			0	0.00		3	30.00			Excluded		0	0.00		0	0.00		7	70.00					10	
		TOTAL		50	4.67		229	21.38					17	1.59		48	4.48		727	67.88					1071	
	FOURTH			10	20.83		10	20.83					7	14.58			Excluded		21	43.75					48	
		TOTAL		60	5.60		239	22.32					24	2.24					748	69.84					1071	
	FIFTH			9	37.50		8	33.33						Excluded					7	29.17					24	
		TOTAL		69	6.44		247	23.06											755	70.49					1071	
	SIXTH				Excluded		45	65.22											24	34.78					69	
		TOTAL					292	27.26											779	72.74					1071	
																			Elected							
																										
Richmond                                                       																										
	FIRST			130	6.35		519	25.35		31	1.51		60	2.93		112	5.47		1149	56.13		46	2.25		2047	
	SECOND			21	45.65		8	17.39		1	2.17		3	6.52		4	8.70		9	19.57			Excluded		46	
		TOTAL		151	7.38		527	25.74		32	1.56		63	3.08		116	5.67		1158	56.57					2047	
	THIRD			3	9.38		2	6.25			Excluded		4	12.50		5	15.63		18	56.25					32	
		TOTAL		154	7.52		529	25.84					67	3.27		121	5.91		1176	57.45					2047	
	FOURTH			26	21.49		32	26.45					15	12.40			Excluded		48	39.67					121	
		TOTAL		180	8.79		561	27.41					82	4.01					1224	59.79					2047	
	FIFTH			39	47.56		29	35.37						Excluded					14	17.07					82	
		TOTAL		219	10.70		590	28.82											1238	60.48					2047	
	SIXTH				Excluded		162	73.97											57	26.03					219	
		TOTAL					752	36.74											1295	63.26					2047	
																			Elected							
																										
Richmond High                                                  																										
	FIRST			74	7.12		255	24.52		16	1.54		39	3.75		56	5.38		588	56.54		12	1.15		1040	
	SECOND			3	25.00		1	8.33		0	0.00		1	8.33		1	8.33		6	50.00			Excluded		12	
		TOTAL		77	7.40		256	24.62		16	1.54		40	3.85		57	5.48		594	57.12					1040	
	THIRD			0	0.00		2	12.50			Excluded		1	6.25		2	12.50		11	68.75					16	
		TOTAL		77	7.40		258	24.81					41	3.94		59	5.67		605	58.17					1040	
	FOURTH			15	25.42		15	25.42					6	10.17			Excluded		23	38.98					59	
		TOTAL		92	8.85		273	26.25					47	4.52					628	60.38					1040	
	FIFTH			19	40.43		16	34.04						Excluded					12	25.53					47	
		TOTAL		111	10.67		289	27.79											640	61.54					1040	
	SIXTH				Excluded		75	67.57											36	32.43					111	
		TOTAL					364	35.00											676	65.00					1040	
																			Elected							
																										
Springwood                                                     																										
	FIRST			271	10.80		720	28.69		78	3.11		179	7.13		97	3.86		1112	44.30		53	2.11		2510	
	SECOND			35	66.04		8	15.09		1	1.89		3	5.66		3	5.66		3	5.66			Excluded		53	
		TOTAL		306	12.19		728	29.00		79	3.15		182	7.25		100	3.98		1115	44.42					2510	
	THIRD			5	6.33		10	12.66			Excluded		7	8.86		7	8.86		50	63.29					79	
		TOTAL		311	12.39		738	29.40					189	7.53		107	4.26		1165	46.41					2510	
	FOURTH			16	14.95		50	46.73					12	11.21			Excluded		29	27.10					107	
		TOTAL		327	13.03		788	31.39					201	8.01					1194	47.57					2510	
	FIFTH			116	57.71		56	27.86						Excluded					29	14.43					201	
		TOTAL		443	17.65		844	33.63											1223	48.73					2510	
	SIXTH				Excluded		361	81.49											82	18.51					443	
		TOTAL					1205	48.01											1305	51.99					2510	
																			Elected							
																										
Springwood North                                               																										
	FIRST			127	6.54		531	27.34		47	2.42		156	8.03		68	3.50		995	51.24		18	0.93		1942	
	SECOND			8	44.44		3	16.67		2	11.11		2	11.11		1	5.56		2	11.11			Excluded		18	
		TOTAL		135	6.95		534	27.50		49	2.52		158	8.14		69	3.55		997	51.34					1942	
	THIRD			8	16.33		1	2.04			Excluded		4	8.16		2	4.08		34	69.39					49	
		TOTAL		143	7.36		535	27.55					162	8.34		71	3.66		1031	53.09					1942	
	FOURTH			7	9.86		39	54.93					6	8.45			Excluded		19	26.76					71	
		TOTAL		150	7.72		574	29.56					168	8.65					1050	54.07					1942	
	FIFTH			107	63.69		34	20.24						Excluded					27	16.07					168	
		TOTAL		257	13.23		608	31.31											1077	55.46					1942	
	SIXTH				Excluded		191	74.32											66	25.68					257	
		TOTAL					799	41.14											1143	58.86					1942	
																			Elected							
																										
Springwood South                                               																										
	FIRST			120	7.66		435	27.76		59	3.77		84	5.36		58	3.70		783	49.97		28	1.79		1567	
	SECOND			13	46.43		3	10.71		0	0.00		5	17.86		4	14.29		3	10.71			Excluded		28	
		TOTAL		133	8.49		438	27.95		59	3.77		89	5.68		62	3.96		786	50.16					1567	
	THIRD			8	13.56		5	8.47			Excluded		9	15.25		4	6.78		33	55.93					59	
		TOTAL		141	9.00		443	28.27					98	6.25		66	4.21		819	52.27					1567	
	FOURTH			11	16.67		20	30.30					6	9.09			Excluded		29	43.94					66	
		TOTAL		152	9.70		463	29.55					104	6.64					848	54.12					1567	
	FIFTH			55	52.88		27	25.96						Excluded					22	21.15					104	
		TOTAL		207	13.21		490	31.27											870	55.52					1567	
	SIXTH				Excluded		155	74.88											52	25.12					207	
		TOTAL					645	41.16											922	58.84					1567	
																			Elected							
																										
St Albans                                                      																										
	FIRST			20	13.79		39	26.90		2	1.38		4	2.76		5	3.45		75	51.72		0	0.00		145	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		20	13.79		39	26.90		2	1.38		4	2.76		5	3.45		75	51.72					145	
	THIRD			0	0.00		1	50.00			Excluded		0	0.00		0	0.00		1	50.00					2	
		TOTAL		20	13.79		40	27.59					4	2.76		5	3.45		76	52.41					145	
	FOURTH			2	40.00		1	20.00					0	0.00			Excluded		2	40.00					5	
		TOTAL		22	15.17		41	28.28					4	2.76					78	53.79					145	
	FIFTH			4	100.00		0	0.00						Excluded					0	0.00					4	
		TOTAL		26	17.93		41	28.28											78	53.79					145	
	SIXTH				Excluded		22	84.62											4	15.38					26	
		TOTAL					63	43.45											82	56.55					145	
																			Elected							
																										
Sydney (Macquarie)                                             																										
	FIRST			21	20.39		25	24.27		0	0.00		9	8.74		5	4.85		41	39.81		2	1.94		103	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		2	
		TOTAL		22	21.36		25	24.27		0	0.00		9	8.74		5	4.85		42	40.78					103	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	
		TOTAL		22	21.36		25	24.27					9	8.74		5	4.85		42	40.78					103	
	FOURTH			0	0.00		0	0.00					3	60.00			Excluded		2	40.00					5	
		TOTAL		22	21.36		25	24.27					12	11.65					44	42.72					103	
	FIFTH			6	50.00		5	41.67						Excluded					1	8.33					12	
		TOTAL		28	27.18		30	29.13											45	43.69					103	
	SIXTH				Excluded		24	85.71											4	14.29					28	
		TOTAL					54	52.43											49	47.57					103	
																			Elected							
																										
Tennyson                                                       																										
	FIRST			11	4.40		39	15.60		1	0.40		5	2.00		13	5.20		179	71.60		2	0.80		250	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		2	
		TOTAL		12	4.80		39	15.60		1	0.40		5	2.00		14	5.60		179	71.60					250	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00					1	
		TOTAL		12	4.80		39	15.60					5	2.00		14	5.60		180	72.00					250	
	FOURTH			4	28.57		2	14.29					2	14.29			Excluded		6	42.86					14	
		TOTAL		16	6.40		41	16.40					7	2.80					186	74.40					250	
	FIFTH			3	42.86		4	57.14						Excluded					0	0.00					7	
		TOTAL		19	7.60		45	18.00											186	74.40					250	
	SIXTH				Excluded		12	63.16											7	36.84					19	
		TOTAL					57	22.80											193	77.20					250	
																			Elected							
																										
Valley Heights                                                 																										
	FIRST			45	5.40		244	29.29		31	3.72		49	5.88		53	6.36		399	47.90		12	1.44		833	
	SECOND			3	25.00		0	0.00		0	0.00		4	33.33		4	33.33		1	8.33			Excluded		12	
		TOTAL		48	5.76		244	29.29		31	3.72		53	6.36		57	6.84		400	48.02					833	
	THIRD			2	6.45		1	3.23			Excluded		2	6.45		4	12.90		22	70.97					31	
		TOTAL		50	6.00		245	29.41					55	6.60		61	7.32		422	50.66					833	
	FOURTH			10	16.39		29	47.54					7	11.48			Excluded		15	24.59					61	
		TOTAL		60	7.20		274	32.89					62	7.44					437	52.46					833	
	FIFTH			36	58.06		17	27.42						Excluded					9	14.52					62	
		TOTAL		96	11.52		291	34.93											446	53.54					833	
	SIXTH				Excluded		76	79.17											20	20.83					96	
		TOTAL					367	44.06											466	55.94					833	
																			Elected							
																										
Vineyard East (Macquarie)                                      																										
	FIRST			11	2.87		90	23.50		3	0.78		5	1.31		37	9.66		232	60.57		5	1.31		383	
	SECOND			0	0.00		1	20.00		0	0.00		1	20.00		0	0.00		3	60.00			Excluded		5	
		TOTAL		11	2.87		91	23.76		3	0.78		6	1.57		37	9.66		235	61.36					383	
	THIRD			0	0.00		0	0.00			Excluded		1	33.33		0	0.00		2	66.67					3	
		TOTAL		11	2.87		91	23.76					7	1.83		37	9.66		237	61.88					383	
	FOURTH			3	8.11		19	51.35					2	5.41			Excluded		13	35.14					37	
		TOTAL		14	3.66		110	28.72					9	2.35					250	65.27					383	
	FIFTH			5	55.56		2	22.22						Excluded					2	22.22					9	
		TOTAL		19	4.96		112	29.24											252	65.80					383	
	SIXTH				Excluded		15	78.95											4	21.05					19	
		TOTAL					127	33.16											256	66.84					383	
																			Elected							
																										
Warrimoo                                                       																										
	FIRST			88	9.37		311	33.12		33	3.51		57	6.07		39	4.15		394	41.96		17	1.81		939	
	SECOND			6	35.29		4	23.53		0	0.00		1	5.88		0	0.00		6	35.29			Excluded		17	
		TOTAL		94	10.01		315	33.55		33	3.51		58	6.18		39	4.15		400	42.60					939	
	THIRD			3	9.09		2	6.06			Excluded		1	3.03		0	0.00		27	81.82					33	
		TOTAL		97	10.33		317	33.76					59	6.28		39	4.15		427	45.47					939	
	FOURTH			7	17.95		8	20.51					5	12.82			Excluded		19	48.72					39	
		TOTAL		104	11.08		325	34.61					64	6.82					446	47.50					939	
	FIFTH			34	53.13		22	34.38						Excluded					8	12.50					64	
		TOTAL		138	14.70		347	36.95											454	48.35					939	
	SIXTH				Excluded		110	79.71											28	20.29					138	
		TOTAL					457	48.67											482	51.33					939	
																			Elected							
																										
Wentworth Falls                                                																										
	FIRST			261	9.87		840	31.76		48	1.81		230	8.70		96	3.63		1145	43.29		25	0.95		2645	
	SECOND			10	40.00		4	16.00		0	0.00		2	8.00		2	8.00		7	28.00			Excluded		25	
		TOTAL		271	10.25		844	31.91		48	1.81		232	8.77		98	3.71		1152	43.55					2645	
	THIRD			8	16.67		4	8.33			Excluded		3	6.25		1	2.08		32	66.67					48	
		TOTAL		279	10.55		848	32.06					235	8.88		99	3.74		1184	44.76					2645	
	FOURTH			16	16.16		50	50.51					9	9.09			Excluded		24	24.24					99	
		TOTAL		295	11.15		898	33.95					244	9.22					1208	45.67					2645	
	FIFTH			153	62.70		58	23.77						Excluded					33	13.52					244	
		TOTAL		448	16.94		956	36.14											1241	46.92					2645	
	SIXTH				Excluded		373	83.26											75	16.74					448	
		TOTAL					1329	50.25											1316	49.75					2645	
																			Elected							
																										
Wilberforce                                                    																										
	FIRST			108	6.64		270	16.61		11	0.68		47	2.89		88	5.41		1084	66.67		18	1.11		1626	
	SECOND			4	22.22		2	11.11		0	0.00		3	16.67		3	16.67		6	33.33			Excluded		18	
		TOTAL		112	6.89		272	16.73		11	0.68		50	3.08		91	5.60		1090	67.04					1626	
	THIRD			2	18.18		2	18.18			Excluded		1	9.09		0	0.00		6	54.55					11	
		TOTAL		114	7.01		274	16.85					51	3.14		91	5.60		1096	67.40					1626	
	FOURTH			18	19.78		40	43.96					10	10.99			Excluded		23	25.27					91	
		TOTAL		132	8.12		314	19.31					61	3.75					1119	68.82					1626	
	FIFTH			21	34.43		27	44.26						Excluded					13	21.31					61	
		TOTAL		153	9.41		341	20.97											1132	69.62					1626	
	SIXTH				Excluded		108	70.59											45	29.41					153	
		TOTAL					449	27.61											1177	72.39					1626	
																			Elected							
																										
Windsor                                                        																										
	FIRST			94	5.77		423	25.95		19	1.17		64	3.93		114	6.99		899	55.15		17	1.04		1630	
	SECOND			9	52.94		1	5.88		1	5.88		1	5.88		1	5.88		4	23.53			Excluded		17	
		TOTAL		103	6.32		424	26.01		20	1.23		65	3.99		115	7.06		903	55.40					1630	
	THIRD			1	5.00		7	35.00			Excluded		1	5.00		2	10.00		9	45.00					20	
		TOTAL		104	6.38		431	26.44					66	4.05		117	7.18		912	55.95					1630	
	FOURTH			23	19.66		48	41.03					9	7.69			Excluded		37	31.62					117	
		TOTAL		127	7.79		479	29.39					75	4.60					949	58.22					1630	
	FIFTH			44	58.67		16	21.33						Excluded					15	20.00					75	
		TOTAL		171	10.49		495	30.37											964	59.14					1630	
	SIXTH				Excluded		129	75.44											42	24.56					171	
		TOTAL					624	38.28											1006	61.72					1630	
																			Elected							
																										
Windsor South                                                  																										
	FIRST			121	6.08		620	31.14		36	1.81		54	2.71		142	7.13		992	49.82		26	1.31		1991	
	SECOND			8	30.77		3	11.54		1	3.85		0	0.00		5	19.23		9	34.62			Excluded		26	
		TOTAL		129	6.48		623	31.29		37	1.86		54	2.71		147	7.38		1001	50.28					1991	
	THIRD			5	13.51		6	16.22			Excluded		4	10.81		4	10.81		18	48.65					37	
		TOTAL		134	6.73		629	31.59					58	2.91		151	7.58		1019	51.18					1991	
	FOURTH			31	20.53		74	49.01					13	8.61			Excluded		33	21.85					151	
		TOTAL		165	8.29		703	35.31					71	3.57					1052	52.84					1991	
	FIFTH			28	39.44		20	28.17						Excluded					23	32.39					71	
		TOTAL		193	9.69		723	36.31											1075	53.99					1991	
	SIXTH				Excluded		131	67.88											62	32.12					193	
		TOTAL					854	42.89											1137	57.11					1991	
																			Elected							
																										
Winmalee                                                       																										
	FIRST			122	4.34		743	26.46		74	2.64		166	5.91		134	4.77		1539	54.81		30	1.07		2808	
	SECOND			5	16.67		5	16.67		3	10.00		5	16.67		9	30.00		3	10.00			Excluded		30	
		TOTAL		127	4.52		748	26.64		77	2.74		171	6.09		143	5.09		1542	54.91					2808	
	THIRD			3	3.90		5	6.49			Excluded		9	11.69		7	9.09		53	68.83					77	
		TOTAL		130	4.63		753	26.82					180	6.41		150	5.34		1595	56.80					2808	
	FOURTH			28	18.67		61	40.67					15	10.00			Excluded		46	30.67					150	
		TOTAL		158	5.63		814	28.99					195	6.94					1641	58.44					2808	
	FIFTH			118	60.51		48	24.62						Excluded					29	14.87					195	
		TOTAL		276	9.83		862	30.70											1670	59.47					2808	
	SIXTH				Excluded		195	70.65											81	29.35					276	
		TOTAL					1057	37.64											1751	62.36					2808	
																			Elected							
																										
Wisemans Ferry (Macquarie)                                     																										
	FIRST			16	8.38		45	23.56		2	1.05		7	3.66		9	4.71		112	58.64		0	0.00		191	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		16	8.38		45	23.56		2	1.05		7	3.66		9	4.71		112	58.64					191	
	THIRD			0	0.00		1	50.00			Excluded		0	0.00		1	50.00		0	0.00					2	
		TOTAL		16	8.38		46	24.08					7	3.66		10	5.24		112	58.64					191	
	FOURTH			1	10.00		2	20.00					1	10.00			Excluded		6	60.00					10	
		TOTAL		17	8.90		48	25.13					8	4.19					118	61.78					191	
	FIFTH			4	50.00		4	50.00						Excluded					0	0.00					8	
		TOTAL		21	10.99		52	27.23											118	61.78					191	
	SIXTH				Excluded		17	80.95											4	19.05					21	
		TOTAL					69	36.13											122	63.87					191	
																			Elected							
																										
Woodford                                                       																										
	FIRST			101	11.66		286	33.03		10	1.15		65	7.51		40	4.62		352	40.65		12	1.39		866	
	SECOND			4	33.33		2	16.67		0	0.00		1	8.33		0	0.00		5	41.67			Excluded		12	
		TOTAL		105	12.12		288	33.26		10	1.15		66	7.62		40	4.62		357	41.22					866	
	THIRD			2	20.00		2	20.00			Excluded		0	0.00		0	0.00		6	60.00					10	
		TOTAL		107	12.36		290	33.49					66	7.62		40	4.62		363	41.92					866	
	FOURTH			11	27.50		12	30.00					4	10.00			Excluded		13	32.50					40	
		TOTAL		118	13.63		302	34.87					70	8.08					376	43.42					866	
	FIFTH			34	48.57		27	38.57						Excluded					9	12.86					70	
		TOTAL		152	17.55		329	37.99											385	44.46					866	
	SIXTH				Excluded		123	80.92											29	19.08					152	
		TOTAL					452	52.19											414	47.81					866	
																			Elected							
																										
Yarramundi                                                     																										
	FIRST			8	3.01		43	16.17		7	2.63		11	4.14		15	5.64		176	66.17		6	2.26		266	
	SECOND			4	66.67		1	16.67		0	0.00		0	0.00		1	16.67		0	0.00			Excluded		6	
		TOTAL		12	4.51		44	16.54		7	2.63		11	4.14		16	6.02		176	66.17					266	
	THIRD			0	0.00		1	14.29			Excluded		0	0.00		0	0.00		6	85.71					7	
		TOTAL		12	4.51		45	16.92					11	4.14		16	6.02		182	68.42					266	
	FOURTH			3	18.75		4	25.00					0	0.00			Excluded		9	56.25					16	
		TOTAL		15	5.64		49	18.42					11	4.14					191	71.80					266	
	FIFTH			5	45.45		4	36.36						Excluded					2	18.18					11	
		TOTAL		20	7.52		53	19.92											193	72.56					266	
	SIXTH				Excluded		14	70.00											6	30.00					20	
		TOTAL					67	25.19											199	74.81					266	
																			Elected							
																										
Special Hospital Team 1                                        																										
	FIRST			3	3.61		26	31.33		1	1.20		2	2.41		4	4.82		47	56.63		0	0.00		83	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		3	3.61		26	31.33		1	1.20		2	2.41		4	4.82		47	56.63					83	
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00					1	
		TOTAL		3	3.61		27	32.53					2	2.41		4	4.82		47	56.63					83	
	FOURTH			1	25.00		2	50.00					0	0.00			Excluded		1	25.00					4	
		TOTAL		4	4.82		29	34.94					2	2.41					48	57.83					83	
	FIFTH			2	100.00		0	0.00						Excluded					0	0.00					2	
		TOTAL		6	7.23		29	34.94											48	57.83					83	
	SIXTH				Excluded		5	83.33											1	16.67					6	
		TOTAL					34	40.96											49	59.04					83	
																			Elected							
																										
Special Hospital Team 2                                        																										
	FIRST			5	3.97		44	34.92		0	0.00		1	0.79		1	0.79		75	59.52		0	0.00		126	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		5	3.97		44	34.92		0	0.00		1	0.79		1	0.79		75	59.52					126	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	
		TOTAL		5	3.97		44	34.92					1	0.79		1	0.79		75	59.52					126	
	FOURTH			0	0.00		1	100.00					0	0.00			Excluded		0	0.00					1	
		TOTAL		5	3.97		45	35.71					1	0.79					75	59.52					126	
	FIFTH			0	0.00		0	0.00						Excluded					1	100.00					1	
		TOTAL		5	3.97		45	35.71											76	60.32					126	
	SIXTH				Excluded		4	80.00											1	20.00					5	
		TOTAL					49	38.89											77	61.11					126	
																			Elected							
																										
ABSENT																										
	FIRST			724	12.93		1452	25.93		126	2.25		365	6.52		297	5.30		2527	45.13		109	1.95		5600	
	SECOND			37	33.94		14	12.84		2	1.83		20	18.35		14	12.84		22	20.18			Excluded		109	
		TOTAL		761	13.59		1466	26.18		128	2.29		385	6.88		311	5.55		2549	45.52					5600	
	THIRD			8	6.25		26	20.31			Excluded		15	11.72		13	10.16		66	51.56					128	
		TOTAL		769	13.73		1492	26.64					400	7.14		324	5.79		2615	46.70					5600	
	FOURTH			76	23.46		59	18.21					41	12.65			Excluded		148	45.68					324	
		TOTAL		845	15.09		1551	27.70					441	7.88					2763	49.34					5600	
	FIFTH			209	47.39		142	32.20						Excluded					90	20.41					441	
		TOTAL		1054	18.82		1693	30.23											2853	50.95					5600	
	SIXTH				Excluded		791	75.05											263	24.95					1054	
		TOTAL					2484	44.36											3116	55.64					5600	
																			Elected							
																										
POSTAL																										
	FIRST			135	4.76		727	25.65		50	1.76		140	4.94		124	4.38		1622	57.23		36	1.27		2834	
	SECOND			10	27.78		6	16.67		0	0.00		1	2.78		4	11.11		15	41.67			Excluded		36	
		TOTAL		145	5.12		733	25.86		50	1.76		141	4.98		128	4.52		1637	57.76					2834	
	THIRD			1	2.00		3	6.00			Excluded		8	16.00		6	12.00		32	64.00					50	
		TOTAL		146	5.15		736	25.97					149	5.26		134	4.73		1669	58.89					2834	
	FOURTH			16	11.94		36	26.87					19	14.18			Excluded		63	47.01					134	
		TOTAL		162	5.72		772	27.24					168	5.93					1732	61.12					2834	
	FIFTH			67	39.88		61	36.31						Excluded					40	23.81					168	
		TOTAL		229	8.08		833	29.39											1772	62.53					2834	
	SIXTH				Excluded		171	74.67											58	25.33					229	
		TOTAL					1004	35.43											1830	64.57					2834	
																			Elected							
																										
PRE POLL																										
	FIRST			288	7.65		1049	27.88		65	1.73		248	6.59		186	4.94		1877	49.88		50	1.33		3763	
	SECOND			19	38.00		7	14.00		2	4.00		4	8.00		5	10.00		13	26.00			Excluded		50	
		TOTAL		307	8.16		1056	28.06		67	1.78		252	6.70		191	5.08		1890	50.23					3763	
	THIRD			8	11.94		8	11.94			Excluded		9	13.43		6	8.96		36	53.73					67	
		TOTAL		315	8.37		1064	28.28					261	6.94		197	5.24		1926	51.18					3763	
	FOURTH			41	20.81		43	21.83					23	11.68			Excluded		90	45.69					197	
		TOTAL		356	9.46		1107	29.42					284	7.55					2016	53.57					3763	
	FIFTH			136	47.89		86	30.28						Excluded					62	21.83					284	
		TOTAL		492	13.07		1193	31.70											2078	55.22					3763	
	SIXTH				Excluded		374	76.02											118	23.98					492	
		TOTAL					1567	41.64											2196	58.36					3763	
																			Elected							
																										
PROVISIONAL																										
	FIRST			42	11.63		100	27.70		7	1.94		24	6.65		19	5.26		167	46.26		2	0.55		361	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		1	50.00			Excluded		2	
		TOTAL		42	11.63		100	27.70		8	2.22		24	6.65		19	5.26		168	46.54					361	
