House of Representatives - 2001 Election: New South Wales																												
Distribution of Preferences																												
By Polling Place																												
																												
Werriwa																												
				URI			MASINA			WOODGER			TAN			BLANCH			BARSONY			LATHAM			KOTARSKI			
		TOTAL					438	41.95														524	50.19		82	7.85		1044
	SEVENTH						37	45.12														45	54.88			Excluded		82
		TOTAL					475	45.50														569	54.50					1044
																						Elected						
																												
Miller (Werriwa)                                               																												
	FIRST			49	3.60		263	19.30		19	1.39		25	1.83		19	1.39		24	1.76		893	65.52		71	5.21		1363
	SECOND			1	5.26		3	15.79			Excluded		1	5.26		1	5.26		5	26.32		2	10.53		6	31.58		19
		TOTAL		50	3.67		266	19.52					26	1.91		20	1.47		29	2.13		895	65.66		77	5.65		1363
	THIRD				Excluded		32	64.00					3	6.00		4	8.00		5	10.00		5	10.00		1	2.00		50
		TOTAL					298	21.86					29	2.13		24	1.76		34	2.49		900	66.03		78	5.72		1363
	FOURTH						9	31.03						Excluded		6	20.69		6	20.69		7	24.14		1	3.45		29
		TOTAL					307	22.52								30	2.20		40	2.93		907	66.54		79	5.80		1363
	FIFTH						7	17.50								13	32.50			Excluded		13	32.50		7	17.50		40
		TOTAL					314	23.04								43	3.15					920	67.50		86	6.31		1363
	SIXTH						12	27.91									Excluded					27	62.79		4	9.30		43
		TOTAL					326	23.92														947	69.48		90	6.60		1363
	SEVENTH						37	41.11														53	58.89			Excluded		90
		TOTAL					363	26.63														1000	73.37					1363
																						Elected						
																												
Minto                                                          																												
	FIRST			36	1.71		624	29.59		36	1.71		47	2.23		69	3.27		65	3.08		1127	53.44		105	4.98		2109
	SECOND			2	5.56		8	22.22			Excluded		3	8.33		5	13.89		3	8.33		4	11.11		11	30.56		36
		TOTAL		38	1.80		632	29.97					50	2.37		74	3.51		68	3.22		1131	53.63		116	5.50		2109
	THIRD				Excluded		27	71.05					1	2.63		3	7.89		2	5.26		5	13.16		0	0.00		38
		TOTAL					659	31.25					51	2.42		77	3.65		70	3.32		1136	53.86		116	5.50		2109
	FOURTH						27	52.94						Excluded		4	7.84		3	5.88		15	29.41		2	3.92		51
		TOTAL					686	32.53								81	3.84		73	3.46		1151	54.58		118	5.60		2109
	FIFTH						6	8.22								31	42.47			Excluded		28	38.36		8	10.96		73
		TOTAL					692	32.81								112	5.31					1179	55.90		126	5.97		2109
	SIXTH						28	25.00									Excluded					68	60.71		16	14.29		112
		TOTAL					720	34.14														1247	59.13		142	6.73		2109
	SEVENTH						63	44.37														79	55.63			Excluded		142
		TOTAL					783	37.13														1326	62.87					2109
																						Elected						
																												
Prestons                                                       																												
	FIRST			57	1.58		1227	34.09		27	0.75		80	2.22		85	2.36		95	2.64		1925	53.49		103	2.86		3599
	SECOND			0	0.00		6	22.22			Excluded		2	7.41		4	14.81		1	3.70		4	14.81		10	37.04		27
		TOTAL		57	1.58		1233	34.26					82	2.28		89	2.47		96	2.67		1929	53.60		113	3.14		3599
	THIRD				Excluded		44	77.19					4	7.02		3	5.26		2	3.51		2	3.51		2	3.51		57
		TOTAL					1277	35.48					86	2.39		92	2.56		98	2.72		1931	53.65		115	3.20		3599
	FOURTH						51	59.30						Excluded		6	6.98		4	4.65		20	23.26		5	5.81		86
		TOTAL					1328	36.90								98	2.72		102	2.83		1951	54.21		120	3.33		3599
	FIFTH						19	18.63								52	50.98			Excluded		23	22.55		8	7.84		102
		TOTAL					1347	37.43								150	4.17					1974	54.85		128	3.56		3599
	SIXTH						38	25.33									Excluded					103	68.67		9	6.00		150
		TOTAL					1385	38.48														2077	57.71		137	3.81		3599
	SEVENTH						66	48.18														71	51.82			Excluded		137
		TOTAL					1451	40.32														2148	59.68					3599
																						Elected						
																												
Prestons West                                                  																												
	FIRST			19	1.24		590	38.36		27	1.76		97	6.31		35	2.28		25	1.63		689	44.80		56	3.64		1538
	SECOND			2	7.41		8	29.63			Excluded		2	7.41		4	14.81		6	22.22		2	7.41		3	11.11		27
		TOTAL		21	1.37		598	38.88					99	6.44		39	2.54		31	2.02		691	44.93		59	3.84		1538
	THIRD				Excluded		12	57.14					1	4.76		2	9.52		5	23.81		1	4.76		0	0.00		21
		TOTAL					610	39.66					100	6.50		41	2.67		36	2.34		692	44.99		59	3.84		1538
	FOURTH						56	56.00						Excluded		12	12.00		7	7.00		21	21.00		4	4.00		100
		TOTAL					666	43.30								53	3.45		43	2.80		713	46.36		63	4.10		1538
	FIFTH						8	18.60								14	32.56			Excluded		13	30.23		8	18.60		43
		TOTAL					674	43.82								67	4.36					726	47.20		71	4.62		1538
	SIXTH						16	23.88									Excluded					41	61.19		10	14.93		67
		TOTAL					690	44.86														767	49.87		81	5.27		1538
	SEVENTH						47	58.02														34	41.98			Excluded		81
		TOTAL					737	47.92														801	52.08					1538
																						Elected						
																												
Robert Townson (Werriwa)                                       																												
	FIRST			26	0.95		1054	38.40		53	1.93		45	1.64		94	3.42		69	2.51		1272	46.34		132	4.81		2745
	SECOND			2	3.77		16	30.19			Excluded		2	3.77		2	3.77		11	20.75		8	15.09		12	22.64		53
		TOTAL		28	1.02		1070	38.98					47	1.71		96	3.50		80	2.91		1280	46.63		144	5.25		2745
	THIRD				Excluded		17	60.71					4	14.29		1	3.57		0	0.00		6	21.43		0	0.00		28
		TOTAL					1087	39.60					51	1.86		97	3.53		80	2.91		1286	46.85		144	5.25		2745
	FOURTH						19	37.25						Excluded		15	29.41		3	5.88		10	19.61		4	7.84		51
		TOTAL					1106	40.29								112	4.08		83	3.02		1296	47.21		148	5.39		2745
	FIFTH						7	8.43								29	34.94			Excluded		31	37.35		16	19.28		83
		TOTAL					1113	40.55								141	5.14					1327	48.34		164	5.97		2745
	SIXTH						38	26.95									Excluded					86	60.99		17	12.06		141
		TOTAL					1151	41.93														1413	51.48		181	6.59		2745
	SEVENTH						86	47.51														95	52.49			Excluded		181
		TOTAL					1237	45.06														1508	54.94					2745
																						Elected						
																												
Sackville Street                                               																												
	FIRST			40	1.75		928	40.56		42	1.84		35	1.53		66	2.88		35	1.53		989	43.23		153	6.69		2288
	SECOND			3	7.14		5	11.90			Excluded		3	7.14		5	11.90		6	14.29		8	19.05		12	28.57		42
		TOTAL		43	1.88		933	40.78					38	1.66		71	3.10		41	1.79		997	43.58		165	7.21		2288
	THIRD				Excluded		23	53.49					2	4.65		6	13.95		3	6.98		9	20.93		0	0.00		43
		TOTAL					956	41.78					40	1.75		77	3.37		44	1.92		1006	43.97		165	7.21		2288
	FOURTH						23	57.50						Excluded		7	17.50		3	7.50		6	15.00		1	2.50		40
		TOTAL					979	42.79								84	3.67		47	2.05		1012	44.23		166	7.26		2288
	FIFTH						6	12.77								15	31.91			Excluded		18	38.30		8	17.02		47
		TOTAL					985	43.05								99	4.33					1030	45.02		174	7.60		2288
	SIXTH						34	34.34									Excluded					53	53.54		12	12.12		99
		TOTAL					1019	44.54														1083	47.33		186	8.13		2288
	SEVENTH						127	68.28														59	31.72			Excluded		186
		TOTAL					1146	50.09														1142	49.91					2288
																						Elected						
																												
St Andrews                                                     																												
	FIRST			28	1.09		964	37.44		40	1.55		50	1.94		67	2.60		63	2.45		1248	48.47		115	4.47		2575
	SECOND			6	15.00		5	12.50			Excluded		1	2.50		4	10.00		8	20.00		6	15.00		10	25.00		40
		TOTAL		34	1.32		969	37.63					51	1.98		71	2.76		71	2.76		1254	48.70		125	4.85		2575
	THIRD				Excluded		20	58.82					4	11.76		1	2.94		3	8.82		0	0.00		6	17.65		34
		TOTAL					989	38.41					55	2.14		72	2.80		74	2.87		1254	48.70		131	5.09		2575
	FOURTH						24	43.64						Excluded		8	14.55		8	14.55		10	18.18		5	9.09		55
		TOTAL					1013	39.34								80	3.11		82	3.18		1264	49.09		136	5.28		2575
	FIFTH						8	9.76								26	31.71			Excluded		32	39.02		16	19.51		82
		TOTAL					1021	39.65								106	4.12					1296	50.33		152	5.90		2575
	SIXTH						30	28.30									Excluded					63	59.43		13	12.26		106
		TOTAL					1051	40.82														1359	52.78		165	6.41		2575
	SEVENTH						84	50.91														81	49.09			Excluded		165
		TOTAL					1135	44.08														1440	55.92					2575
																						Elected						
																												
St Andrews South                                               																												
	FIRST			17	1.42		396	33.08		30	2.51		23	1.92		44	3.68		28	2.34		600	50.13		59	4.93		1197
	SECOND			1	3.33		6	20.00			Excluded		2	6.67		4	13.33		4	13.33		6	20.00		7	23.33		30
		TOTAL		18	1.50		402	33.58					25	2.09		48	4.01		32	2.67		606	50.63		66	5.51		1197
	THIRD				Excluded		9	50.00					2	11.11		2	11.11		0	0.00		4	22.22		1	5.56		18
		TOTAL					411	34.34					27	2.26		50	4.18		32	2.67		610	50.96		67	5.60		1197
	FOURTH						11	40.74						Excluded		7	25.93		3	11.11		3	11.11		3	11.11		27
		TOTAL					422	35.25								57	4.76		35	2.92		613	51.21		70	5.85		1197
	FIFTH						12	34.29								5	14.29			Excluded		14	40.00		4	11.43		35
		TOTAL					434	36.26								62	5.18					627	52.38		74	6.18		1197
	SIXTH						19	30.65									Excluded					35	56.45		8	12.90		62
		TOTAL					453	37.84														662	55.30		82	6.85		1197
	SEVENTH						37	45.12														45	54.88			Excluded		82
		TOTAL					490	40.94														707	59.06					1197
																						Elected						
																												
Sydney (Werriwa)                                               																												
	FIRST			5	5.32		24	25.53		1	1.06		3	3.19		4	4.26		5	5.32		48	51.06		4	4.26		94
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		5	5.32		25	26.60					3	3.19		4	4.26		5	5.32		48	51.06		4	4.26		94
	THIRD				Excluded		2	40.00					0	0.00		1	20.00		1	20.00		1	20.00		0	0.00		5
		TOTAL					27	28.72					3	3.19		5	5.32		6	6.38		49	52.13		4	4.26		94
	FOURTH						3	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL					30	31.91								5	5.32		6	6.38		49	52.13		4	4.26		94
	FIFTH						1	16.67								1	16.67			Excluded		4	66.67		0	0.00		6
		TOTAL					31	32.98								6	6.38					53	56.38		4	4.26		94
	SIXTH						2	33.33									Excluded					4	66.67		0	0.00		6
		TOTAL					33	35.11														57	60.64		4	4.26		94
	SEVENTH						0	0.00														4	100.00			Excluded		4
		TOTAL					33	35.11														61	64.89					94
																						Elected						
																												
The Grange                                                     																												
	FIRST			27	2.11		358	27.95		33	2.58		33	2.58		29	2.26		25	1.95		719	56.13		57	4.45		1281
	SECOND			2	6.06		5	15.15			Excluded		1	3.03		2	6.06		6	18.18		9	27.27		8	24.24		33
		TOTAL		29	2.26		363	28.34					34	2.65		31	2.42		31	2.42		728	56.83		65	5.07		1281
	THIRD				Excluded		15	51.72					3	10.34		1	3.45		3	10.34		6	20.69		1	3.45		29
		TOTAL					378	29.51					37	2.89		32	2.50		34	2.65		734	57.30		66	5.15		1281
	FOURTH						16	43.24						Excluded		5	13.51		1	2.70		11	29.73		4	10.81		37
		TOTAL					394	30.76								37	2.89		35	2.73		745	58.16		70	5.46		1281
	FIFTH						4	11.43								7	20.00			Excluded		12	34.29		12	34.29		35
		TOTAL					398	31.07								44	3.43					757	59.09		82	6.40		1281
	SIXTH						17	38.64									Excluded					22	50.00		5	11.36		44
		TOTAL					415	32.40														779	60.81		87	6.79		1281
	SEVENTH						28	32.18														59	67.82			Excluded		87
		TOTAL					443	34.58														838	65.42					1281
																						Elected						
																												
West Hoxton                                                    																												
	FIRST			8	1.44		272	49.10		6	1.08		27	4.87		3	0.54		12	2.17		196	35.38		30	5.42		554
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2	33.33		4	66.67		6
		TOTAL		8	1.44		272	49.10					27	4.87		3	0.54		12	2.17		198	35.74		34	6.14		554
	THIRD				Excluded		4	50.00					3	37.50		1	12.50		0	0.00		0	0.00		0	0.00		8
		TOTAL					276	49.82					30	5.42		4	0.72		12	2.17		198	35.74		34	6.14		554
	FOURTH						24	80.00						Excluded		4	13.33		0	0.00		2	6.67		0	0.00		30
		TOTAL					300	54.15								8	1.44		12	2.17		200	36.10		34	6.14		554
	FIFTH						2	16.67								4	33.33			Excluded		5	41.67		1	8.33		12
		TOTAL					302	54.51								12	2.17					205	37.00		35	6.32		554
	SIXTH						5	41.67									Excluded					5	41.67		2	16.67		12
		TOTAL					307	55.42														210	37.91		37	6.68		554
	SEVENTH						25	67.57														12	32.43			Excluded		37
		TOTAL					332	59.93														222	40.07					554
																						Elected						
																												
Whiddon Homes                                                  																												
	FIRST			9	4.92		77	42.08		2	1.09		2	1.09		4	2.19		2	1.09		82	44.81		5	2.73		183
	SECOND			0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		9	4.92		78	42.62					3	1.64		4	2.19		2	1.09		82	44.81		5	2.73		183
	THIRD				Excluded		8	88.89					0	0.00		0	0.00		0	0.00		1	11.11		0	0.00		9
		TOTAL					86	46.99					3	1.64		4	2.19		2	1.09		83	45.36		5	2.73		183
	FOURTH						2	66.67						Excluded		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL					88	48.09								4	2.19		3	1.64		83	45.36		5	2.73		183
	FIFTH						0	0.00								2	66.67			Excluded		1	33.33		0	0.00		3
		TOTAL					88	48.09								6	3.28					84	45.90		5	2.73		183
	SIXTH						2	33.33									Excluded					4	66.67		0	0.00		6
		TOTAL					90	49.18														88	48.09		5	2.73		183
	SEVENTH						4	80.00														1	20.00			Excluded		5
		TOTAL					94	51.37														89	48.63					183
																						Elected						
																												
Special Hospital Team 1                                        																												
	FIRST			1	1.43		24	34.29		0	0.00		0	0.00		0	0.00		0	0.00		45	64.29		0	0.00		70
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	1.43		24	34.29					0	0.00		0	0.00		0	0.00		45	64.29		0	0.00		70
	THIRD				Excluded		0	0.00					1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL					24	34.29					1	1.43		0	0.00		0	0.00		45	64.29		0	0.00		70
	FOURTH						1	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL					25	35.71								0	0.00		0	0.00		45	64.29		0	0.00		70
	FIFTH						0	0.00								0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL					25	35.71								0	0.00					45	64.29		0	0.00		70
	SIXTH						0	0.00									Excluded					0	0.00		0	0.00		0
		TOTAL					25	35.71														45	64.29		0	0.00		70
	SEVENTH						0	0.00														0	0.00			Excluded		0
		TOTAL					25	35.71														45	64.29					70
																						Elected						
																												
ABSENT																												
	FIRST			183	3.27		1760	31.47		178	3.18		157	2.81		230	4.11		236	4.22		2505	44.80		343	6.13		5592
	SECOND			10	5.62		47	26.40			Excluded		10	5.62		18	10.11		19	10.67		31	17.42		43	24.16		178
		TOTAL		193	3.45		1807	32.31					167	2.99		248	4.43		255	4.56		2536	45.35		386	6.90		5592
	THIRD				Excluded		123	63.73					17	8.81		11	5.70		13	6.74		22	11.40		7	3.63		193
		TOTAL					1930	34.51					184	3.29		259	4.63		268	4.79		2558	45.74		393	7.03		5592
	FOURTH						85	46.20						Excluded		42	22.83		14	7.61		31	16.85		12	6.52		184
		TOTAL					2015	36.03								301	5.38		282	5.04		2589	46.30		405	7.24		5592
	FIFTH						64	22.70								89	31.56			Excluded		93	32.98		36	12.77		282
		TOTAL					2079	37.18								390	6.97					2682	47.96		441	7.89		5592
	SIXTH						129	33.08									Excluded					230	58.97		31	7.95		390
		TOTAL					2208	39.48														2912	52.07		472	8.44		5592
	SEVENTH						223	47.25														249	52.75			Excluded		472
		TOTAL					2431	43.47														3161	56.53					5592
																						Elected						
																												
POSTAL																												
	FIRST			19	1.22		542	34.70		48	3.07		31	1.98		44	2.82		26	1.66		747	47.82		105	6.72		1562
	SECOND			1	2.08		10	20.83			Excluded		3	6.25		3	6.25		2	4.17		11	22.92		18	37.50		48
		TOTAL		20	1.28		552	35.34					34	2.18		47	3.01		28	1.79		758	48.53		123	7.87		1562
	THIRD				Excluded		8	40.00					2	10.00		0	0.00		2	10.00		8	40.00		0	0.00		20
		TOTAL					560	35.85					36	2.30		47	3.01		30	1.92		766	49.04		123	7.87		1562
	FOURTH						19	52.78						Excluded		7	19.44		3	8.33		6	16.67		1	2.78		36
		TOTAL					579	37.07								54	3.46		33	2.11		772	49.42		124	7.94		1562
	FIFTH						6	18.18								11	33.33			Excluded		12	36.36		4	12.12		33
		TOTAL					585	37.45								65	4.16					784	50.19		128	8.19		1562
	SIXTH						18	27.69									Excluded					36	55.38		11	16.92		65
		TOTAL					603	38.60														820	52.50		139	8.90		1562
	SEVENTH						73	52.52														66	47.48			Excluded		139
		TOTAL					676	43.28														886	56.72					1562
																						Elected						
																												
PRE POLL																												
	FIRST			44	2.01		767	35.01		54	2.46		65	2.97		68	3.10		46	2.10		1012	46.19		135	6.16		2191
	SECOND			4	7.41		11	20.37			Excluded		3	5.56		6	11.11		6	11.11		10	18.52		14	25.93		54
		TOTAL		48	2.19		778	35.51					68	3.10		74	3.38		52	2.37		1022	46.65		149	6.80		2191
	THIRD				Excluded		31	64.58					6	12.50		1	2.08		4	8.33		6	12.50		0	0.00		48
		TOTAL					809	36.92					74	3.38		75	3.42		56	2.56		1028	46.92		149	6.80		2191
	FOURTH						31	41.89						Excluded		9	12.16		11	14.86		19	25.68		4	5.41		74
		TOTAL					840	38.34								84	3.83		67	3.06		1047	47.79		153	6.98		2191
	FIFTH						16	23.88								31	46.27			Excluded		19	28.36		1	1.49		67
		TOTAL					856	39.07								115	5.25					1066	48.65		154	7.03		2191
	SIXTH						36	31.30									Excluded					72	62.61		7	6.09		115
		TOTAL					892	40.71														1138	51.94		161	7.35		2191
	SEVENTH						95	59.01														66	40.99			Excluded		161
		TOTAL					987	45.05														1204	54.95					2191
																						Elected						
																												
PROVISIONAL																												
	FIRST			15	2.89		146	28.13		12	2.31		13	2.50		14	2.70		9	1.73		289	55.68		21	4.05		519
	SECOND			1	8.33		5	41.67			Excluded		0	0.00		1	8.33		1	8.33		0	0.00		4	33.33		12
		TOTAL		16	3.08		151	29.09					13	2.50		15	2.89		10	1.93		289	55.68		25	4.82		519
	THIRD				Excluded		8	50.00					3	18.75		2	12.50		2	12.50		1	6.25		0	0.00		16
		TOTAL					159	30.64					16	3.08		17	3.28		12	2.31		290	55.88		25	4.82		519
	FOURTH						7	43.75						Excluded		2	12.50		3	18.75		3	18.75		1	6.25		16
		TOTAL					166	31.98								19	3.66		15	2.89		293	56.45		26	5.01		519
	FIFTH						1	6.67								4	26.67			Excluded		10	66.67		0	0.00		15
		TOTAL					167	32.18								23	4.43					303	58.38		26	5.01		519
	SIXTH						10	43.48									Excluded					12	52.17		1	4.35		23
		TOTAL					177	34.10														315	60.69		27	5.20		519
	SEVENTH						12	44.44														15	55.56			Excluded		27
		TOTAL					189	36.42														330	63.58					519
																						Elected						
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
