House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Lindsay (81618)											
		Candidate		"BRADBURY, David"		            	"KELLY, Jackie"		              	Total	
		"EYKAMP, Jean M (NGST)"	6	6	100.00		0	0.00		6	
		"LINDSAY-HENDERSON, Steve (IND)"	4	3	75.00		1	25.00		4	
		Total	147	367	39.98		551	60.02		918	

	Sydney (Lindsay)										
			1st Prefs	32	50.00		32	50.00		64	
		"PHILLIPS, John (CTA)"	3	1	33.33		2	66.67		3	
		"EDWARDS, Lesley (GRN)"	8	7	87.50		1	12.50		8	
		"COURTNEY, Anthony David (IND)"	0	0	0.00		0	0.00		0	
		"NIXON, Bill (HAN)"	1	0	0.00		1	100.00		1	
		"WATERS, Geraldine (DEM)"	6	6	100.00		0	0.00		6	
		"MITCHELL, Graham (IND)"	1	0	0.00		1	100.00		1	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	1	0	0.00		1	100.00		1	
		"EYKAMP, Jean M (NGST)"	1	0	0.00		1	100.00		1	
		"LINDSAY-HENDERSON, Steve (IND)"	1	1	100.00		0	0.00		1	
		Total	22	47	54.65		39	45.35		86	

	Wallacia										
			1st Prefs	168	31.05		373	68.95		541	
		"PHILLIPS, John (CTA)"	15	7	46.67		8	53.33		15	
		"EDWARDS, Lesley (GRN)"	20	15	75.00		5	25.00		20	
		"COURTNEY, Anthony David (IND)"	4	2	50.00		2	50.00		4	
		"NIXON, Bill (HAN)"	42	14	33.33		28	66.67		42	
		"WATERS, Geraldine (DEM)"	22	10	45.45		12	54.55		22	
		"MITCHELL, Graham (IND)"	1	0	0.00		1	100.00		1	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	14	7	50.00		7	50.00		14	
		"EYKAMP, Jean M (NGST)"	9	5	55.56		4	44.44		9	
		"LINDSAY-HENDERSON, Steve (IND)"	8	5	62.50		3	37.50		8	
		Total	135	233	34.47		443	65.53		676	

	Werrington										
			1st Prefs	866	52.42		786	47.58		1652	
		"PHILLIPS, John (CTA)"	56	29	51.79		27	48.21		56	
		"EDWARDS, Lesley (GRN)"	22	18	81.82		4	18.18		22	
		"COURTNEY, Anthony David (IND)"	20	16	80.00		4	20.00		20	
		"NIXON, Bill (HAN)"	107	52	48.60		55	51.40		107	
		"WATERS, Geraldine (DEM)"	30	15	50.00		15	50.00		30	
		"MITCHELL, Graham (IND)"	9	6	66.67		3	33.33		9	
		"WALKER, Stephen (NCP)"	4	1	25.00		3	75.00		4	
		"BROWN, Geoff (SAS)"	104	66	63.46		38	36.54		104	
		"EYKAMP, Jean M (NGST)"	10	6	60.00		4	40.00		10	
		"LINDSAY-HENDERSON, Steve (IND)"	10	5	50.00		5	50.00		10	
		Total	372	1080	53.36		944	46.64		2024	

	Werrington County										
			1st Prefs	710	48.27		761	51.73		1471	
		"PHILLIPS, John (CTA)"	36	13	36.11		23	63.89		36	
		"EDWARDS, Lesley (GRN)"	35	29	82.86		6	17.14		35	
		"COURTNEY, Anthony David (IND)"	25	18	72.00		7	28.00		25	
		"NIXON, Bill (HAN)"	80	19	23.75		61	76.25		80	
		"WATERS, Geraldine (DEM)"	16	12	75.00		4	25.00		16	
		"MITCHELL, Graham (IND)"	3	3	100.00		0	0.00		3	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	113	60	53.10		53	46.90		113	
		"EYKAMP, Jean M (NGST)"	10	6	60.00		4	40.00		10	
		"LINDSAY-HENDERSON, Steve (IND)"	9	6	66.67		3	33.33		9	
		Total	327	876	48.72		922	51.28		1798	

	York										
			1st Prefs	1143	42.60		1540	57.40		2683	
		"PHILLIPS, John (CTA)"	66	29	43.94		37	56.06		66	
		"EDWARDS, Lesley (GRN)"	77	51	66.23		26	33.77		77	
		"COURTNEY, Anthony David (IND)"	59	26	44.07		33	55.93		59	
		"NIXON, Bill (HAN)"	186	59	31.72		127	68.28		186	
		"WATERS, Geraldine (DEM)"	43	28	65.12		15	34.88		43	
		"MITCHELL, Graham (IND)"	13	9	69.23		4	30.77		13	
		"WALKER, Stephen (NCP)"	5	4	80.00		1	20.00		5	
		"BROWN, Geoff (SAS)"	51	30	58.82		21	41.18		51	
		"EYKAMP, Jean M (NGST)"	21	13	61.90		8	38.10		21	
		"LINDSAY-HENDERSON, Steve (IND)"	12	7	58.33		5	41.67		12	
		Total	533	1399	43.50		1817	56.50		3216	

	Special Hospitals										
			1st Prefs	45	45.45		54	54.55		99	
		"PHILLIPS, John (CTA)"	3	1	33.33		2	66.67		3	
		"EDWARDS, Lesley (GRN)"	1	0	0.00		1	100.00		1	
		"COURTNEY, Anthony David (IND)"	0	0	0.00		0	0.00		0	
		"NIXON, Bill (HAN)"	0	0	0.00		0	0.00		0	
		"WATERS, Geraldine (DEM)"	0	0	0.00		0	0.00		0	
		"MITCHELL, Graham (IND)"	0	0	0.00		0	0.00		0	
		"WALKER, Stephen (NCP)"	0	0	0.00		0	0.00		0	
		"BROWN, Geoff (SAS)"	0	0	0.00		0	0.00		0	
		"EYKAMP, Jean M (NGST)"	0	0	0.00		0	0.00		0	
		"LINDSAY-HENDERSON, Steve (IND)"	1	1	100.00		0	0.00		1	
		Total	5	47	45.19		57	54.81		104	

	Total Ordinary										
			1st Prefs	21796	42.48		29517	57.52		51313	
		"PHILLIPS, John (CTA)"	1630	717	43.99		913	56.01		1630	
		"EDWARDS, Lesley (GRN)"	1471	1069	72.67		402	27.33		1471	
		"COURTNEY, Anthony David (IND)"	630	384	60.95		246	39.05		630	
		"NIXON, Bill (HAN)"	3144	1122	35.69		2022	64.31		3144	
		"WATERS, Geraldine (DEM)"	1250	835	66.80		415	33.20		1250	
		"MITCHELL, Graham (IND)"	185	126	68.11		59	31.89		185	
		"WALKER, Stephen (NCP)"	84	46	54.76		38	45.24		84	
		"BROWN, Geoff (SAS)"	2113	1259	59.58		854	40.42		2113	
		"EYKAMP, Jean M (NGST)"	418	247	59.09		171	40.91		418	
		"LINDSAY-HENDERSON, Steve (IND)"	274	130	47.45		144	52.55		274	
		Total	11199	27731	44.36		34781	55.64		62512	

	ABSENT										
			1st Prefs	1558	42.53		2105	57.47		3663	
		"PHILLIPS, John (CTA)"	171	88	51.46		83	48.54		171	
		"EDWARDS, Lesley (GRN)"	238	166	69.75		72	30.25		238	
		"COURTNEY, Anthony David (IND)"	51	29	56.86		22	43.14		51	
		"NIXON, Bill (HAN)"	281	151	53.74		130	46.26		281	
		"WATERS, Geraldine (DEM)"	173	113	65.32		60	34.68		173	
		"MITCHELL, Graham (IND)"	27	17	62.96		10	37.04		27	
		"WALKER, Stephen (NCP)"	26	16	61.54		10	38.46		26	
		"BROWN, Geoff (SAS)"	147	90	61.22		57	38.78		147	
		"EYKAMP, Jean M (NGST)"	79	42	53.16		37	46.84		79	
		"LINDSAY-HENDERSON, Steve (IND)"	82	33	40.24		49	59.76		82	
		Total	1275	2303	46.64		2635	53.36		4938	

	POSTAL										
			1st Prefs	709	41.27		1009	58.73		1718	
		"PHILLIPS, John (CTA)"	30	9	30.00		21	70.00		30	
		"EDWARDS, Lesley (GRN)"	28	19	67.86		9	32.14		28	
		"COURTNEY, Anthony David (IND)"	8	6	75.00		2	25.00		8	
		"NIXON, Bill (HAN)"	133	65	48.87		68	51.13		133	
		"WATERS, Geraldine (DEM)"	51	34	66.67		17	33.33		51	
		"MITCHELL, Graham (IND)"	5	2	40.00		3	60.00		5	
		"WALKER, Stephen (NCP)"	5	3	60.00		2	40.00		5	
		"BROWN, Geoff (SAS)"	37	24	64.86		13	35.14		37	
		"EYKAMP, Jean M (NGST)"	11	9	81.82		2	18.18		11	
		"LINDSAY-HENDERSON, Steve (IND)"	10	4	40.00		6	60.00		10	
		Total	318	884	43.42		1152	56.58		2036	

	PRE_POLL										
			1st Prefs	938	40.69		1367	59.31		2305	
		"PHILLIPS, John (CTA)"	75	40	53.33		35	46.67		75	
		"EDWARDS, Lesley (GRN)"	56	38	67.86		18	32.14		56	
		"COURTNEY, Anthony David (IND)"	23	11	47.83		12	52.17		23	
		"NIXON, Bill (HAN)"	173	68	39.31		105	60.69		173	
		"WATERS, Geraldine (DEM)"	96	72	75.00		24	25.00		96	
		"MITCHELL, Graham (IND)"	16	8	50.00		8	50.00		16	
		"WALKER, Stephen (NCP)"	3	2	66.67		1	33.33		3	
		"BROWN, Geoff (SAS)"	69	44	63.77		25	36.23		69	
		"EYKAMP, Jean M (NGST)"	15	9	60.00		6	40.00		15	
		"LINDSAY-HENDERSON, Steve (IND)"	25	13	52.00		12	48.00		25	
		Total	551	1243	43.52		1613	56.48		2856	

	PROVISIONAL										
			1st Prefs	319	48.33		341	51.67		660	
		"PHILLIPS, John (CTA)"	24	16	66.67		8	33.33		24	
		"EDWARDS, Lesley (GRN)"	26	15	57.69		11	42.31		26	
		"COURTNEY, Anthony David (IND)"	15	10	66.67		5	33.33		15	
		"NIXON, Bill (HAN)"	37	15	40.54		22	59.46		37	
		"WATERS, Geraldine (DEM)"	14	10	71.43		4	28.57		14	
		"MITCHELL, Graham (IND)"	3	1	33.33		2	66.67		3	
		"WALKER, Stephen (NCP)"	4	3	75.00		1	25.00		4	
		"BROWN, Geoff (SAS)"	25	17	68.00		8	32.00		25	
		"EYKAMP, Jean M (NGST)"	11	10	90.91		1	9.09		11	
		"LINDSAY-HENDERSON, Steve (IND)"	9	3	33.33		6	66.67		9	
		Total	168	419	50.60		409	49.40		828	

	Division Summary										
			1st Prefs	25320	42.44		34339	57.56		59659	
		"PHILLIPS, John (CTA)"	1930	870	45.08		1060	54.92		1930	
		"EDWARDS, Lesley (GRN)"	1819	1307	71.85		512	28.15		1819	
		"COURTNEY, Anthony David (IND)"	727	440	60.52		287	39.48		727	
		"NIXON, Bill (HAN)"	3768	1421	37.71		2347	62.29		3768	
		"WATERS, Geraldine (DEM)"	1584	1064	67.17		520	32.83		1584	
		"MITCHELL, Graham (IND)"	236	154	65.25		82	34.75		236	
		"WALKER, Stephen (NCP)"	122	70	57.38		52	42.62		122	
		"BROWN, Geoff (SAS)"	2391	1434	59.97		957	40.03		2391	
		"EYKAMP, Jean M (NGST)"	534	317	59.36		217	40.64		534	
		"LINDSAY-HENDERSON, Steve (IND)"	400	183	45.75		217	54.25		400	
		Total	13511	32580	44.53		40590	55.47		73170	
