House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result 											
By Polling Place											
											
Farrer (84423)											
		Candidate		"BOTT, Bill"		                 	"LEY, Sussan"			Total	
		"MILLEN, Frank (CLR)"	272	216	79.41		56	20.59		272	
		"CORBETT, David (IND)"	7	4	57.14		3	42.86		7	
		"PATERSON, Brett (DEM)"	16	12	75.00		4	25.00		16	
		"TAYLOR, Sue (IND)"	131	60	45.80		71	54.20		131	
		"GIBSON, Andrew (IND)"	12	5	41.67		7	58.33		12	
		Total	584	647	48.25		694	51.75		1341	

	Emery										
			1st Prefs	86	64.66		47	35.34		133	
		"SOBEY, Chris (GRN)"	0	0	0.00		0	0.00		0	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	11	7	63.64		4	36.36		11	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	5	4	80.00		1	20.00		5	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	3	1	33.33		2	66.67		3	
		"TAYLOR, Sue (IND)"	1	0	0.00		1	100.00		1	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	20	98	64.05		55	35.95		153	

	Euston										
			1st Prefs	102	42.50		138	57.50		240	
		"SOBEY, Chris (GRN)"	11	8	72.73		3	27.27		11	
		"WEYRICH, Tom (IND)"	4	3	75.00		1	25.00		4	
		"WILKINSON, Max (HAN)"	64	30	46.88		34	53.13		64	
		"WATSON, Stuart (IND)"	5	3	60.00		2	40.00		5	
		"KREUTZBERGER, Keith"	2	1	50.00		1	50.00		2	
		"MILLEN, Frank (CLR)"	54	41	75.93		13	24.07		54	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	3	1	33.33		2	66.67		3	
		"TAYLOR, Sue (IND)"	0	0	0.00		0	0.00		0	
		"GIBSON, Andrew (IND)"	6	1	16.67		5	83.33		6	
		Total	150	191	48.97		199	51.03		390	

	Finley										
			1st Prefs	552	47.79		603	52.21		1155	
		"SOBEY, Chris (GRN)"	32	21	65.63		11	34.38		32	
		"WEYRICH, Tom (IND)"	2	1	50.00		1	50.00		2	
		"WILKINSON, Max (HAN)"	56	38	67.86		18	32.14		56	
		"WATSON, Stuart (IND)"	14	9	64.29		5	35.71		14	
		"KREUTZBERGER, Keith"	3	1	33.33		2	66.67		3	
		"MILLEN, Frank (CLR)"	237	191	80.59		46	19.41		237	
		"CORBETT, David (IND)"	2	0	0.00		2	100.00		2	
		"PATERSON, Brett (DEM)"	26	14	53.85		12	46.15		26	
		"TAYLOR, Sue (IND)"	33	18	54.55		15	45.45		33	
		"GIBSON, Andrew (IND)"	10	5	50.00		5	50.00		10	
		Total	415	850	54.14		720	45.86		1570	

	Gerogery										
			1st Prefs	60	31.58		130	68.42		190	
		"SOBEY, Chris (GRN)"	7	5	71.43		2	28.57		7	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	20	13	65.00		7	35.00		20	
		"WATSON, Stuart (IND)"	4	0	0.00		4	100.00		4	
		"KREUTZBERGER, Keith"	9	5	55.56		4	44.44		9	
		"MILLEN, Frank (CLR)"	33	26	78.79		7	21.21		33	
		"CORBETT, David (IND)"	2	2	100.00		0	0.00		2	
		"PATERSON, Brett (DEM)"	9	7	77.78		2	22.22		9	
		"TAYLOR, Sue (IND)"	1	1	100.00		0	0.00		1	
		"GIBSON, Andrew (IND)"	1	0	0.00		1	100.00		1	
		Total	86	119	43.12		157	56.88		276	

	Glenroy										
			1st Prefs	333	27.73		868	72.27		1201	
		"SOBEY, Chris (GRN)"	90	53	58.89		37	41.11		90	
		"WEYRICH, Tom (IND)"	10	6	60.00		4	40.00		10	
		"WILKINSON, Max (HAN)"	133	56	42.11		77	57.89		133	
		"WATSON, Stuart (IND)"	19	11	57.89		8	42.11		19	
		"KREUTZBERGER, Keith"	32	22	68.75		10	31.25		32	
		"MILLEN, Frank (CLR)"	490	388	79.18		102	20.82		490	
		"CORBETT, David (IND)"	17	7	41.18		10	58.82		17	
		"PATERSON, Brett (DEM)"	103	52	50.49		51	49.51		103	
		"TAYLOR, Sue (IND)"	17	8	47.06		9	52.94		17	
		"GIBSON, Andrew (IND)"	17	13	76.47		4	23.53		17	
		Total	928	949	44.57		1180	55.43		2129	

	Gol Gol										
			1st Prefs	192	60.57		125	39.43		317	
		"SOBEY, Chris (GRN)"	8	6	75.00		2	25.00		8	
		"WEYRICH, Tom (IND)"	1	1	100.00		0	0.00		1	
		"WILKINSON, Max (HAN)"	81	20	24.69		61	75.31		81	
		"WATSON, Stuart (IND)"	2	0	0.00		2	100.00		2	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	69	62	89.86		7	10.14		69	
		"CORBETT, David (IND)"	2	1	50.00		1	50.00		2	
		"PATERSON, Brett (DEM)"	8	1	12.50		7	87.50		8	
		"TAYLOR, Sue (IND)"	1	0	0.00		1	100.00		1	
		"GIBSON, Andrew (IND)"	1	0	0.00		1	100.00		1	
		Total	173	283	57.76		207	42.24		490	

	Hatfield										
			1st Prefs	28	73.68		10	26.32		38	
		"SOBEY, Chris (GRN)"	0	0	0.00		0	0.00		0	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	1	0	0.00		1	100.00		1	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	2	2	100.00		0	0.00		2	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	0	0	0.00		0	0.00		0	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	3	30	73.17		11	26.83		41	

	Henty										
			1st Prefs	241	48.30		258	51.70		499	
		"SOBEY, Chris (GRN)"	17	9	52.94		8	47.06		17	
		"WEYRICH, Tom (IND)"	1	1	100.00		0	0.00		1	
		"WILKINSON, Max (HAN)"	55	33	60.00		22	40.00		55	
		"WATSON, Stuart (IND)"	9	3	33.33		6	66.67		9	
		"KREUTZBERGER, Keith"	5	4	80.00		1	20.00		5	
		"MILLEN, Frank (CLR)"	121	100	82.64		21	17.36		121	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	7	2	28.57		5	71.43		7	
		"TAYLOR, Sue (IND)"	6	2	33.33		4	66.67		6	
		"GIBSON, Andrew (IND)"	6	2	33.33		4	66.67		6	
		Total	228	398	54.75		329	45.25		727	

	Holbrook										
			1st Prefs	283	38.19		458	61.81		741	
		"SOBEY, Chris (GRN)"	23	11	47.83		12	52.17		23	
		"WEYRICH, Tom (IND)"	4	2	50.00		2	50.00		4	
		"WILKINSON, Max (HAN)"	67	33	49.25		34	50.75		67	
		"WATSON, Stuart (IND)"	18	13	72.22		5	27.78		18	
		"KREUTZBERGER, Keith"	14	7	50.00		7	50.00		14	
		"MILLEN, Frank (CLR)"	234	195	83.33		39	16.67		234	
		"CORBETT, David (IND)"	3	0	0.00		3	100.00		3	
		"PATERSON, Brett (DEM)"	12	4	33.33		8	66.67		12	
		"TAYLOR, Sue (IND)"	7	3	42.86		4	57.14		7	
		"GIBSON, Andrew (IND)"	1	1	100.00		0	0.00		1	
		Total	383	552	49.11		572	50.89		1124	

	Howlong										
			1st Prefs	253	34.66		477	65.34		730	
		"SOBEY, Chris (GRN)"	50	29	58.00		21	42.00		50	
		"WEYRICH, Tom (IND)"	7	7	100.00		0	0.00		7	
		"WILKINSON, Max (HAN)"	70	28	40.00		42	60.00		70	
		"WATSON, Stuart (IND)"	11	6	54.55		5	45.45		11	
		"KREUTZBERGER, Keith"	26	17	65.38		9	34.62		26	
		"MILLEN, Frank (CLR)"	353	313	88.67		40	11.33		353	
		"CORBETT, David (IND)"	12	5	41.67		7	58.33		12	
		"PATERSON, Brett (DEM)"	27	20	74.07		7	25.93		27	
		"TAYLOR, Sue (IND)"	17	12	70.59		5	29.41		17	
		"GIBSON, Andrew (IND)"	12	6	50.00		6	50.00		12	
		Total	585	696	52.93		619	47.07		1315	

	Hume										
			1st Prefs	209	25.27		618	74.73		827	
		"SOBEY, Chris (GRN)"	38	28	73.68		10	26.32		38	
		"WEYRICH, Tom (IND)"	11	7	63.64		4	36.36		11	
		"WILKINSON, Max (HAN)"	69	32	46.38		37	53.62		69	
		"WATSON, Stuart (IND)"	22	13	59.09		9	40.91		22	
		"KREUTZBERGER, Keith"	18	10	55.56		8	44.44		18	
		"MILLEN, Frank (CLR)"	365	307	84.11		58	15.89		365	
		"CORBETT, David (IND)"	9	3	33.33		6	66.67		9	
		"PATERSON, Brett (DEM)"	47	27	57.45		20	42.55		47	
		"TAYLOR, Sue (IND)"	19	13	68.42		6	31.58		19	
		"GIBSON, Andrew (IND)"	7	2	28.57		5	71.43		7	
		Total	605	651	45.46		781	54.54		1432	

	Jerilderie										
			1st Prefs	184	43.71		237	56.29		421	
		"SOBEY, Chris (GRN)"	9	9	100.00		0	0.00		9	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	44	19	43.18		25	56.82		44	
		"WATSON, Stuart (IND)"	6	3	50.00		3	50.00		6	
		"KREUTZBERGER, Keith"	3	2	66.67		1	33.33		3	
		"MILLEN, Frank (CLR)"	134	114	85.07		20	14.93		134	
		"CORBETT, David (IND)"	2	1	50.00		1	50.00		2	
		"PATERSON, Brett (DEM)"	6	2	33.33		4	66.67		6	
		"TAYLOR, Sue (IND)"	10	4	40.00		6	60.00		10	
		"GIBSON, Andrew (IND)"	1	0	0.00		1	100.00		1	
		Total	215	338	53.14		298	46.86		636	

	Jindera										
			1st Prefs	170	28.01		437	71.99		607	
		"SOBEY, Chris (GRN)"	40	21	52.50		19	47.50		40	
		"WEYRICH, Tom (IND)"	2	2	100.00		0	0.00		2	
		"WILKINSON, Max (HAN)"	62	33	53.23		29	46.77		62	
		"WATSON, Stuart (IND)"	8	7	87.50		1	12.50		8	
		"KREUTZBERGER, Keith"	19	7	36.84		12	63.16		19	
		"MILLEN, Frank (CLR)"	153	131	85.62		22	14.38		153	
		"CORBETT, David (IND)"	7	6	85.71		1	14.29		7	
		"PATERSON, Brett (DEM)"	25	11	44.00		14	56.00		25	
		"TAYLOR, Sue (IND)"	16	7	43.75		9	56.25		16	
		"GIBSON, Andrew (IND)"	1	1	100.00		0	0.00		1	
		Total	333	396	42.13		544	57.87		940	

	Jingellic										
			1st Prefs	23	31.51		50	68.49		73	
		"SOBEY, Chris (GRN)"	3	3	100.00		0	0.00		3	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	13	5	38.46		8	61.54		13	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	7	2	28.57		5	71.43		7	
		"MILLEN, Frank (CLR)"	11	9	81.82		2	18.18		11	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	3	3	100.00		0	0.00		3	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	37	45	40.91		65	59.09		110	

	Khancoban										
			1st Prefs	46	37.70		76	62.30		122	
		"SOBEY, Chris (GRN)"	4	1	25.00		3	75.00		4	
		"WEYRICH, Tom (IND)"	1	1	100.00		0	0.00		1	
		"WILKINSON, Max (HAN)"	17	4	23.53		13	76.47		17	
		"WATSON, Stuart (IND)"	1	0	0.00		1	100.00		1	
		"KREUTZBERGER, Keith"	2	0	0.00		2	100.00		2	
		"MILLEN, Frank (CLR)"	74	66	89.19		8	10.81		74	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	16	5	31.25		11	68.75		16	
		"TAYLOR, Sue (IND)"	12	8	66.67		4	33.33		12	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	128	132	52.80		118	47.20		250	

	Koraleigh										
			1st Prefs	36	25.71		104	74.29		140	
		"SOBEY, Chris (GRN)"	5	3	60.00		2	40.00		5	
		"WEYRICH, Tom (IND)"	1	1	100.00		0	0.00		1	
		"WILKINSON, Max (HAN)"	24	13	54.17		11	45.83		24	
		"WATSON, Stuart (IND)"	1	0	0.00		1	100.00		1	
		"KREUTZBERGER, Keith"	2	1	50.00		1	50.00		2	
		"MILLEN, Frank (CLR)"	27	23	85.19		4	14.81		27	
		"CORBETT, David (IND)"	2	1	50.00		1	50.00		2	
		"PATERSON, Brett (DEM)"	6	4	66.67		2	33.33		6	
		"TAYLOR, Sue (IND)"	2	1	50.00		1	50.00		2	
		"GIBSON, Andrew (IND)"	8	6	75.00		2	25.00		8	
		Total	78	89	40.83		129	59.17		218	

	Lacmalac										
			1st Prefs	26	25.00		78	75.00		104	
		"SOBEY, Chris (GRN)"	7	4	57.14		3	42.86		7	
		"WEYRICH, Tom (IND)"	1	1	100.00		0	0.00		1	
		"WILKINSON, Max (HAN)"	11	5	45.45		6	54.55		11	
		"WATSON, Stuart (IND)"	8	6	75.00		2	25.00		8	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	17	11	64.71		6	35.29		17	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	2	2	100.00		0	0.00		2	
		"TAYLOR, Sue (IND)"	1	0	0.00		1	100.00		1	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	48	56	36.84		96	63.16		152	

	Lavington										
			1st Prefs	475	29.80		1119	70.20		1594	
		"SOBEY, Chris (GRN)"	112	66	58.93		46	41.07		112	
		"WEYRICH, Tom (IND)"	30	20	66.67		10	33.33		30	
		"WILKINSON, Max (HAN)"	217	77	35.48		140	64.52		217	
		"WATSON, Stuart (IND)"	32	18	56.25		14	43.75		32	
		"KREUTZBERGER, Keith"	36	22	61.11		14	38.89		36	
		"MILLEN, Frank (CLR)"	684	572	83.63		112	16.37		684	
		"CORBETT, David (IND)"	17	10	58.82		7	41.18		17	
		"PATERSON, Brett (DEM)"	93	46	49.46		47	50.54		93	
		"TAYLOR, Sue (IND)"	36	21	58.33		15	41.67		36	
		"GIBSON, Andrew (IND)"	18	11	61.11		7	38.89		18	
		Total	1275	1338	46.64		1531	53.36		2869	

	Lavington East										
			1st Prefs	309	27.56		812	72.44		1121	
		"SOBEY, Chris (GRN)"	64	39	60.94		25	39.06		64	
		"WEYRICH, Tom (IND)"	7	6	85.71		1	14.29		7	
		"WILKINSON, Max (HAN)"	127	53	41.73		74	58.27		127	
		"WATSON, Stuart (IND)"	28	12	42.86		16	57.14		28	
		"KREUTZBERGER, Keith"	27	17	62.96		10	37.04		27	
		"MILLEN, Frank (CLR)"	455	372	81.76		83	18.24		455	
		"CORBETT, David (IND)"	10	8	80.00		2	20.00		10	
		"PATERSON, Brett (DEM)"	69	26	37.68		43	62.32		69	
		"TAYLOR, Sue (IND)"	26	15	57.69		11	42.31		26	
		"GIBSON, Andrew (IND)"	7	5	71.43		2	28.57		7	
		Total	820	862	44.41		1079	55.59		1941	

	Lockhart										
			1st Prefs	290	54.21		245	45.79		535	
		"SOBEY, Chris (GRN)"	11	7	63.64		4	36.36		11	
		"WEYRICH, Tom (IND)"	1	0	0.00		1	100.00		1	
		"WILKINSON, Max (HAN)"	44	15	34.09		29	65.91		44	
		"WATSON, Stuart (IND)"	11	7	63.64		4	36.36		11	
		"KREUTZBERGER, Keith"	6	4	66.67		2	33.33		6	
		"MILLEN, Frank (CLR)"	142	129	90.85		13	9.15		142	
		"CORBETT, David (IND)"	5	2	40.00		3	60.00		5	
		"PATERSON, Brett (DEM)"	8	3	37.50		5	62.50		8	
		"TAYLOR, Sue (IND)"	9	6	66.67		3	33.33		9	
		"GIBSON, Andrew (IND)"	2	1	50.00		1	50.00		2	
		Total	239	464	59.95		310	40.05		774	

	Lowesdale										
			1st Prefs	90	78.95		24	21.05		114	
		"SOBEY, Chris (GRN)"	2	2	100.00		0	0.00		2	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	5	3	60.00		2	40.00		5	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	1	1	100.00		0	0.00		1	
		"MILLEN, Frank (CLR)"	5	4	80.00		1	20.00		5	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	1	1	100.00		0	0.00		1	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	14	101	78.91		27	21.09		128	

	Mathoura										
			1st Prefs	127	45.85		150	54.15		277	
		"SOBEY, Chris (GRN)"	8	4	50.00		4	50.00		8	
		"WEYRICH, Tom (IND)"	42	29	69.05		13	30.95		42	
		"WILKINSON, Max (HAN)"	34	17	50.00		17	50.00		34	
		"WATSON, Stuart (IND)"	4	1	25.00		3	75.00		4	
		"KREUTZBERGER, Keith"	4	4	100.00		0	0.00		4	
		"MILLEN, Frank (CLR)"	141	117	82.98		24	17.02		141	
		"CORBETT, David (IND)"	2	1	50.00		1	50.00		2	
		"PATERSON, Brett (DEM)"	4	2	50.00		2	50.00		4	
		"TAYLOR, Sue (IND)"	13	6	46.15		7	53.85		13	
		"GIBSON, Andrew (IND)"	4	2	50.00		2	50.00		4	
		Total	256	310	58.16		223	41.84		533	

	Mayrung										
			1st Prefs	58	58.00		42	42.00		100	
		"SOBEY, Chris (GRN)"	2	2	100.00		0	0.00		2	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	6	4	66.67		2	33.33		6	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	3	1	33.33		2	66.67		3	
		"CORBETT, David (IND)"	1	0	0.00		1	100.00		1	
		"PATERSON, Brett (DEM)"	3	3	100.00		0	0.00		3	
		"TAYLOR, Sue (IND)"	3	2	66.67		1	33.33		3	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	18	70	59.32		48	40.68		118	

	Moama										
			1st Prefs	476	34.47		905	65.53		1381	
		"SOBEY, Chris (GRN)"	50	33	66.00		17	34.00		50	
		"WEYRICH, Tom (IND)"	80	52	65.00		28	35.00		80	
		"WILKINSON, Max (HAN)"	85	36	42.35		49	57.65		85	
		"WATSON, Stuart (IND)"	19	7	36.84		12	63.16		19	
		"KREUTZBERGER, Keith"	6	1	16.67		5	83.33		6	
		"MILLEN, Frank (CLR)"	428	378	88.32		50	11.68		428	
		"CORBETT, David (IND)"	8	7	87.50		1	12.50		8	
		"PATERSON, Brett (DEM)"	33	18	54.55		15	45.45		33	
		"TAYLOR, Sue (IND)"	30	16	53.33		14	46.67		30	
		"GIBSON, Andrew (IND)"	14	11	78.57		3	21.43		14	
		Total	753	1035	48.50		1099	51.50		2134	

	Morundah										
			1st Prefs	7	29.17		17	70.83		24	
		"SOBEY, Chris (GRN)"	2	2	100.00		0	0.00		2	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	3	1	33.33		2	66.67		3	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	1	0	0.00		1	100.00		1	
		"MILLEN, Frank (CLR)"	8	6	75.00		2	25.00		8	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	0	0	0.00		0	0.00		0	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	14	16	42.11		22	57.89		38	

	Morven										
			1st Prefs	9	18.75		39	81.25		48	
		"SOBEY, Chris (GRN)"	1	1	100.00		0	0.00		1	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	5	1	20.00		4	80.00		5	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	7	5	71.43		2	28.57		7	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	1	0	0.00		1	100.00		1	
		"TAYLOR, Sue (IND)"	1	1	100.00		0	0.00		1	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	15	17	26.98		46	73.02		63	

	Moulamein										
			1st Prefs	107	40.84		155	59.16		262	
		"SOBEY, Chris (GRN)"	2	2	100.00		0	0.00		2	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	31	21	67.74		10	32.26		31	
		"WATSON, Stuart (IND)"	2	0	0.00		2	100.00		2	
		"KREUTZBERGER, Keith"	3	1	33.33		2	66.67		3	
		"MILLEN, Frank (CLR)"	80	69	86.25		11	13.75		80	
		"CORBETT, David (IND)"	1	0	0.00		1	100.00		1	
		"PATERSON, Brett (DEM)"	4	3	75.00		1	25.00		4	
		"TAYLOR, Sue (IND)"	4	1	25.00		3	75.00		4	
		"GIBSON, Andrew (IND)"	1	0	0.00		1	100.00		1	
		Total	128	204	52.31		186	47.69		390	

	Mullengandra										
			1st Prefs	34	45.33		41	54.67		75	
		"SOBEY, Chris (GRN)"	6	3	50.00		3	50.00		6	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	15	8	53.33		7	46.67		15	
		"WATSON, Stuart (IND)"	1	1	100.00		0	0.00		1	
		"KREUTZBERGER, Keith"	2	2	100.00		0	0.00		2	
		"MILLEN, Frank (CLR)"	11	10	90.91		1	9.09		11	
		"CORBETT, David (IND)"	1	0	0.00		1	100.00		1	
		"PATERSON, Brett (DEM)"	2	1	50.00		1	50.00		2	
		"TAYLOR, Sue (IND)"	2	2	100.00		0	0.00		2	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	40	61	53.04		54	46.96		115	

	Mulwala										
			1st Prefs	453	56.41		350	43.59		803	
		"SOBEY, Chris (GRN)"	14	12	85.71		2	14.29		14	
		"WEYRICH, Tom (IND)"	3	2	66.67		1	33.33		3	
		"WILKINSON, Max (HAN)"	39	15	38.46		24	61.54		39	
		"WATSON, Stuart (IND)"	5	2	40.00		3	60.00		5	
		"KREUTZBERGER, Keith"	5	4	80.00		1	20.00		5	
		"MILLEN, Frank (CLR)"	292	265	90.75		27	9.25		292	
		"CORBETT, David (IND)"	2	1	50.00		1	50.00		2	
		"PATERSON, Brett (DEM)"	16	12	75.00		4	25.00		16	
		"TAYLOR, Sue (IND)"	3	2	66.67		1	33.33		3	
		"GIBSON, Andrew (IND)"	2	1	50.00		1	50.00		2	
		Total	381	769	64.95		415	35.05		1184	

	Murray Downs										
			1st Prefs	73	40.56		107	59.44		180	
		"SOBEY, Chris (GRN)"	3	3	100.00		0	0.00		3	
		"WEYRICH, Tom (IND)"	2	1	50.00		1	50.00		2	
		"WILKINSON, Max (HAN)"	10	6	60.00		4	40.00		10	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	25	22	88.00		3	12.00		25	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	1	1	100.00		0	0.00		1	
		"GIBSON, Andrew (IND)"	2	1	50.00		1	50.00		2	
		Total	43	107	47.98		116	52.02		223	

	Oaklands										
			1st Prefs	101	57.06		76	42.94		177	
		"SOBEY, Chris (GRN)"	4	1	25.00		3	75.00		4	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	11	5	45.45		6	54.55		11	
		"WATSON, Stuart (IND)"	1	1	100.00		0	0.00		1	
		"KREUTZBERGER, Keith"	2	2	100.00		0	0.00		2	
		"MILLEN, Frank (CLR)"	32	28	87.50		4	12.50		32	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	3	1	33.33		2	66.67		3	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	54	140	60.61		91	39.39		231	

	Pleasant Hills										
			1st Prefs	105	71.92		41	28.08		146	
		"SOBEY, Chris (GRN)"	1	1	100.00		0	0.00		1	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	1	1	100.00		0	0.00		1	
		"WATSON, Stuart (IND)"	0	0	0.00		0	0.00		0	
		"KREUTZBERGER, Keith"	2	2	100.00		0	0.00		2	
		"MILLEN, Frank (CLR)"	7	5	71.43		2	28.57		7	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	2	1	50.00		1	50.00		2	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	13	115	72.33		44	27.67		159	

	Pooncarie										
			1st Prefs	70	72.16		27	27.84		97	
		"SOBEY, Chris (GRN)"	1	1	100.00		0	0.00		1	
		"WEYRICH, Tom (IND)"	3	3	100.00		0	0.00		3	
		"WILKINSON, Max (HAN)"	13	2	15.38		11	84.62		13	
		"WATSON, Stuart (IND)"	1	1	100.00		0	0.00		1	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	7	6	85.71		1	14.29		7	
		"CORBETT, David (IND)"	1	1	100.00		0	0.00		1	
		"PATERSON, Brett (DEM)"	2	0	0.00		2	100.00		2	
		"TAYLOR, Sue (IND)"	1	1	100.00		0	0.00		1	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	29	85	67.46		41	32.54		126	

	Pretty Pine										
			1st Prefs	35	49.30		36	50.70		71	
		"SOBEY, Chris (GRN)"	1	1	100.00		0	0.00		1	
		"WEYRICH, Tom (IND)"	1	0	0.00		1	100.00		1	
		"WILKINSON, Max (HAN)"	3	2	66.67		1	33.33		3	
		"WATSON, Stuart (IND)"	2	1	50.00		1	50.00		2	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	6	4	66.67		2	33.33		6	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	0	0	0.00		0	0.00		0	
		"TAYLOR, Sue (IND)"	2	1	50.00		1	50.00		2	
		"GIBSON, Andrew (IND)"	0	0	0.00		0	0.00		0	
		Total	15	44	51.16		42	48.84		86	

	Rand										
			1st Prefs	48	31.58		104	68.42		152	
		"SOBEY, Chris (GRN)"	0	0	0.00		0	0.00		0	
		"WEYRICH, Tom (IND)"	1	0	0.00		1	100.00		1	
		"WILKINSON, Max (HAN)"	3	0	0.00		3	100.00		3	
