House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
Hunter																							
				MACAULAY			O'BRIEN			BENNISON			LAWLER			FOX			FITZGIBBON				
	FIFTH			24	55.81												Excluded		19	44.19		43	
		TOTAL		180	43.80														231	56.20		411	
																			Elected				
																							
Maitland High                                                  																							
	FIRST			366	32.19		72	6.33		57	5.01		24	2.11		118	10.38		500	43.98		1137	
	SECOND			4	16.67		4	16.67		3	12.50			Excluded		8	33.33		5	20.83		24	
		TOTAL		370	32.54		76	6.68		60	5.28					126	11.08		505	44.42		1137	
	THIRD			12	20.00		22	36.67			Excluded					6	10.00		20	33.33		60	
		TOTAL		382	33.60		98	8.62								132	11.61		525	46.17		1137	
	FOURTH			42	42.86			Excluded								13	13.27		43	43.88		98	
		TOTAL		424	37.29											145	12.75		568	49.96		1137	
	FIFTH			102	70.34												Excluded		43	29.66		145	
		TOTAL		526	46.26														611	53.74		1137	
																			Elected				
																							
Maitland Hospital                                              																							
	FIRST			188	31.39		35	5.84		35	5.84		18	3.01		56	9.35		267	44.57		599	
	SECOND			3	16.67		0	0.00		4	22.22			Excluded		10	55.56		1	5.56		18	
		TOTAL		191	31.89		35	5.84		39	6.51					66	11.02		268	44.74		599	
	THIRD			8	20.51		17	43.59			Excluded					5	12.82		9	23.08		39	
		TOTAL		199	33.22		52	8.68								71	11.85		277	46.24		599	
	FOURTH			17	32.69			Excluded								2	3.85		33	63.46		52	
		TOTAL		216	36.06											73	12.19		310	51.75		599	
	FIFTH			53	72.60												Excluded		20	27.40		73	
		TOTAL		269	44.91														330	55.09		599	
																			Elected				
																							
Maitland West                                                  																							
	FIRST			235	23.83		67	6.80		38	3.85		26	2.64		121	12.27		499	50.61		986	
	SECOND			2	7.69		2	7.69		0	0.00			Excluded		18	69.23		4	15.38		26	
		TOTAL		237	24.04		69	7.00		38	3.85					139	14.10		503	51.01		986	
	THIRD			10	26.32		16	42.11			Excluded					1	2.63		11	28.95		38	
		TOTAL		247	25.05		85	8.62								140	14.20		514	52.13		986	
	FOURTH			38	44.71			Excluded								11	12.94		36	42.35		85	
		TOTAL		285	28.90											151	15.31		550	55.78		986	
	FIFTH			102	67.55												Excluded		49	32.45		151	
		TOTAL		387	39.25														599	60.75		986	
																			Elected				
																							
Martindale                                                     																							
	FIRST			72	56.69		2	1.57		4	3.15		2	1.57		16	12.60		31	24.41		127	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		2	
		TOTAL		72	56.69		2	1.57		4	3.15					18	14.17		31	24.41		127	
	THIRD			2	50.00		1	25.00			Excluded					0	0.00		1	25.00		4	
		TOTAL		74	58.27		3	2.36								18	14.17		32	25.20		127	
	FOURTH			1	33.33			Excluded								1	33.33		1	33.33		3	
		TOTAL		75	59.06											19	14.96		33	25.98		127	
	FIFTH			16	84.21												Excluded		3	15.79		19	
		TOTAL		91	71.65														36	28.35		127	
																			Elected				
																							
Metford                                                        																							
	FIRST			551	26.94		80	3.91		80	3.91		37	1.81		212	10.37		1085	53.06		2045	
	SECOND			4	10.81		5	13.51		6	16.22			Excluded		15	40.54		7	18.92		37	
		TOTAL		555	27.14		85	4.16		86	4.21					227	11.10		1092	53.40		2045	
	THIRD			27	31.40		28	32.56			Excluded					3	3.49		28	32.56		86	
		TOTAL		582	28.46		113	5.53								230	11.25		1120	54.77		2045	
	FOURTH			37	32.74			Excluded								12	10.62		64	56.64		113	
		TOTAL		619	30.27											242	11.83		1184	57.90		2045	
	FIFTH			158	65.29												Excluded		84	34.71		242	
		TOTAL		777	38.00														1268	62.00		2045	
																			Elected				
																							
Milbrodale                                                     																							
	FIRST			94	37.60		8	3.20		9	3.60		5	2.00		47	18.80		87	34.80		250	
	SECOND			1	20.00		2	40.00		0	0.00			Excluded		2	40.00		0	0.00		5	
		TOTAL		95	38.00		10	4.00		9	3.60					49	19.60		87	34.80		250	
	THIRD			0	0.00		7	77.78			Excluded					1	11.11		1	11.11		9	
		TOTAL		95	38.00		17	6.80								50	20.00		88	35.20		250	
	FOURTH			2	11.76			Excluded								2	11.76		13	76.47		17	
		TOTAL		97	38.80											52	20.80		101	40.40		250	
	FIFTH			40	76.92												Excluded		12	23.08		52	
		TOTAL		137	54.80														113	45.20		250	
																			Elected				
																							
Millfield                                                      																							
	FIRST			82	23.50		29	8.31		13	3.72		4	1.15		49	14.04		172	49.28		349	
	SECOND			2	50.00		0	0.00		0	0.00			Excluded		1	25.00		1	25.00		4	
		TOTAL		84	24.07		29	8.31		13	3.72					50	14.33		173	49.57		349	
	THIRD			1	7.69		4	30.77			Excluded					3	23.08		5	38.46		13	
		TOTAL		85	24.36		33	9.46								53	15.19		178	51.00		349	
	FOURTH			10	30.30			Excluded								5	15.15		18	54.55		33	
		TOTAL		95	27.22											58	16.62		196	56.16		349	
	FIFTH			34	58.62												Excluded		24	41.38		58	
		TOTAL		129	36.96														220	63.04		349	
																			Elected				
																							
Mulbring                                                       																							
	FIRST			173	29.47		83	14.14		29	4.94		3	0.51		93	15.84		206	35.09		587	
	SECOND			0	0.00		0	0.00		2	66.67			Excluded		1	33.33		0	0.00		3	
		TOTAL		173	29.47		83	14.14		31	5.28					94	16.01		206	35.09		587	
	THIRD			5	16.13		15	48.39			Excluded					4	12.90		7	22.58		31	
		TOTAL		178	30.32		98	16.70								98	16.70		213	36.29		587	
	FOURTH			26	26.53			Excluded								8	8.16		64	65.31		98	
		TOTAL		204	34.75											106	18.06		277	47.19		587	
	FIFTH			73	68.87												Excluded		33	31.13		106	
		TOTAL		277	47.19														310	52.81		587	
																			Elected				
																							
Muswellbrook                                                   																							
	FIRST			372	32.78		34	3.00		42	3.70		23	2.03		113	9.96		551	48.55		1135	
	SECOND			2	8.70		4	17.39		7	30.43			Excluded		4	17.39		6	26.09		23	
		TOTAL		374	32.95		38	3.35		49	4.32					117	10.31		557	49.07		1135	
	THIRD			12	24.49		22	44.90			Excluded					7	14.29		8	16.33		49	
		TOTAL		386	34.01		60	5.29								124	10.93		565	49.78		1135	
	FOURTH			21	35.00			Excluded								12	20.00		27	45.00		60	
		TOTAL		407	35.86											136	11.98		592	52.16		1135	
	FIFTH			90	66.18												Excluded		46	33.82		136	
		TOTAL		497	43.79														638	56.21		1135	
																			Elected				
																							
Muswellbrook East                                              																							
	FIRST			404	33.67		27	2.25		35	2.92		20	1.67		79	6.58		635	52.92		1200	
	SECOND			4	20.00		3	15.00		4	20.00			Excluded		6	30.00		3	15.00		20	
		TOTAL		408	34.00		30	2.50		39	3.25					85	7.08		638	53.17		1200	
	THIRD			7	17.95		18	46.15			Excluded					2	5.13		12	30.77		39	
		TOTAL		415	34.58		48	4.00								87	7.25		650	54.17		1200	
	FOURTH			22	45.83			Excluded								6	12.50		20	41.67		48	
		TOTAL		437	36.42											93	7.75		670	55.83		1200	
	FIFTH			60	64.52												Excluded		33	35.48		93	
		TOTAL		497	41.42														703	58.58		1200	
																			Elected				
																							
Muswellbrook North                                             																							
	FIRST			636	32.55		60	3.07		52	2.66		21	1.07		130	6.65		1055	53.99		1954	
	SECOND			2	9.52		3	14.29		2	9.52			Excluded		9	42.86		5	23.81		21	
		TOTAL		638	32.65		63	3.22		54	2.76					139	7.11		1060	54.25		1954	
	THIRD			10	18.52		25	46.30			Excluded					1	1.85		18	33.33		54	
		TOTAL		648	33.16		88	4.50								140	7.16		1078	55.17		1954	
	FOURTH			28	31.82			Excluded								11	12.50		49	55.68		88	
		TOTAL		676	34.60											151	7.73		1127	57.68		1954	
	FIFTH			96	63.58												Excluded		55	36.42		151	
		TOTAL		772	39.51														1182	60.49		1954	
																			Elected				
																							
Muswellbrook South                                             																							
	FIRST			317	25.61		27	2.18		26	2.10		11	0.89		116	9.37		741	59.85		1238	
	SECOND			1	9.09		0	0.00		1	9.09			Excluded		3	27.27		6	54.55		11	
		TOTAL		318	25.69		27	2.18		27	2.18					119	9.61		747	60.34		1238	
	THIRD			6	22.22		11	40.74			Excluded					2	7.41		8	29.63		27	
		TOTAL		324	26.17		38	3.07								121	9.77		755	60.99		1238	
	FOURTH			21	55.26			Excluded								8	21.05		9	23.68		38	
		TOTAL		345	27.87											129	10.42		764	61.71		1238	
	FIFTH			74	57.36												Excluded		55	42.64		129	
		TOTAL		419	33.84														819	66.16		1238	
																			Elected				
																							
Neath                                                          																							
	FIRST			21	9.95		11	5.21		7	3.32		3	1.42		25	11.85		144	68.25		211	
	SECOND			1	33.33		0	0.00		1	33.33			Excluded		1	33.33		0	0.00		3	
		TOTAL		22	10.43		11	5.21		8	3.79					26	12.32		144	68.25		211	
	THIRD			3	37.50		2	25.00			Excluded					1	12.50		2	25.00		8	
		TOTAL		25	11.85		13	6.16								27	12.80		146	69.19		211	
	FOURTH			3	23.08			Excluded								4	30.77		6	46.15		13	
		TOTAL		28	13.27											31	14.69		152	72.04		211	
	FIFTH			19	61.29												Excluded		12	38.71		31	
		TOTAL		47	22.27														164	77.73		211	
																			Elected				
																							
North Rothbury                                                 																							
	FIRST			49	18.99		7	2.71		11	4.26		0	0.00		33	12.79		158	61.24		258	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		49	18.99		7	2.71		11	4.26					33	12.79		158	61.24		258	
	THIRD			1	9.09		6	54.55			Excluded					0	0.00		4	36.36		11	
		TOTAL		50	19.38		13	5.04								33	12.79		162	62.79		258	
	FOURTH			4	30.77			Excluded								3	23.08		6	46.15		13	
		TOTAL		54	20.93											36	13.95		168	65.12		258	
	FIFTH			24	66.67												Excluded		12	33.33		36	
		TOTAL		78	30.23														180	69.77		258	
																			Elected				
																							
Nulkaba                                                        																							
	FIRST			164	32.93		24	4.82		50	10.04		5	1.00		70	14.06		185	37.15		498	
	SECOND			0	0.00		1	20.00		0	0.00			Excluded		4	80.00		0	0.00		5	
		TOTAL		164	32.93		25	5.02		50	10.04					74	14.86		185	37.15		498	
	THIRD			8	16.00		33	66.00			Excluded					1	2.00		8	16.00		50	
		TOTAL		172	34.54		58	11.65								75	15.06		193	38.76		498	
	FOURTH			22	37.93			Excluded								1	1.72		35	60.34		58	
		TOTAL		194	38.96											76	15.26		228	45.78		498	
	FIFTH			58	76.32												Excluded		18	23.68		76	
		TOTAL		252	50.60														246	49.40		498	
																			Elected				
																							
Paxton                                                         																							
	FIRST			62	15.54		21	5.26		6	1.50		2	0.50		58	14.54		250	62.66		399	
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		2	
		TOTAL		62	15.54		21	5.26		7	1.75					59	14.79		250	62.66		399	
	THIRD			2	28.57		2	28.57			Excluded					0	0.00		3	42.86		7	
		TOTAL		64	16.04		23	5.76								59	14.79		253	63.41		399	
	FOURTH			8	34.78			Excluded								3	13.04		12	52.17		23	
		TOTAL		72	18.05											62	15.54		265	66.42		399	
	FIFTH			34	54.84												Excluded		28	45.16		62	
		TOTAL		106	26.57														293	73.43		399	
																			Elected				
																							
Pelaw Main                                                     																							
	FIRST			56	11.18		51	10.18		13	2.59		3	0.60		64	12.77		314	62.67		501	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	33.33		2	66.67		3	
		TOTAL		56	11.18		51	10.18		13	2.59					65	12.97		316	63.07		501	
	THIRD			1	7.69		5	38.46			Excluded					1	7.69		6	46.15		13	
		TOTAL		57	11.38		56	11.18								66	13.17		322	64.27		501	
	FOURTH			12	21.43			Excluded								13	23.21		31	55.36		56	
		TOTAL		69	13.77											79	15.77		353	70.46		501	
	FIFTH			42	53.16												Excluded		37	46.84		79	
		TOTAL		111	22.16														390	77.84		501	
																			Elected				
																							
Pokolbin                                                       																							
	FIRST			110	51.64		24	11.27		15	7.04		0	0.00		9	4.23		55	25.82		213	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		110	51.64		24	11.27		15	7.04					9	4.23		55	25.82		213	
	THIRD			8	53.33		4	26.67			Excluded					0	0.00		3	20.00		15	
		TOTAL		118	55.40		28	13.15								9	4.23		58	27.23		213	
	FOURTH			14	50.00			Excluded								2	7.14		12	42.86		28	
		TOTAL		132	61.97											11	5.16		70	32.86		213	
	FIFTH			8	72.73												Excluded		3	27.27		11	
		TOTAL		140	65.73														73	34.27		213	
																			Elected				
																							
Rutherford                                                     																							
	FIRST			349	26.16		52	3.90		31	2.32		49	3.67		119	8.92		734	55.02		1334	
	SECOND			9	18.37		7	14.29		8	16.33			Excluded		14	28.57		11	22.45		49	
		TOTAL		358	26.84		59	4.42		39	2.92					133	9.97		745	55.85		1334	
	THIRD			9	23.08		15	38.46			Excluded					4	10.26		11	28.21		39	
		TOTAL		367	27.51		74	5.55								137	10.27		756	56.67		1334	
	FOURTH			36	48.65			Excluded								10	13.51		28	37.84		74	
		TOTAL		403	30.21											147	11.02		784	58.77		1334	
	FIFTH			95	64.63												Excluded		52	35.37		147	
		TOTAL		498	37.33														836	62.67		1334	
																			Elected				
																							
Rutherford North                                               																							
	FIRST			795	30.34		110	4.20		72	2.75		65	2.48		217	8.28		1361	51.95		2620	
	SECOND			12	18.46		10	15.38		9	13.85			Excluded		16	24.62		18	27.69		65	
		TOTAL		807	30.80		120	4.58		81	3.09					233	8.89		1379	52.63		2620	
	THIRD			22	27.16		33	40.74			Excluded					7	8.64		19	23.46		81	
		TOTAL		829	31.64		153	5.84								240	9.16		1398	53.36		2620	
	FOURTH			59	38.56			Excluded								20	13.07		74	48.37		153	
		TOTAL		888	33.89											260	9.92		1472	56.18		2620	
	FIFTH			174	66.92												Excluded		86	33.08		260	
		TOTAL		1062	40.53														1558	59.47		2620	
																			Elected				
																							
Rutherford West                                                																							
	FIRST			157	25.20		22	3.53		20	3.21		11	1.77		78	12.52		335	53.77		623	
	SECOND			6	54.55		1	9.09		1	9.09			Excluded		0	0.00		3	27.27		11	
		TOTAL		163	26.16		23	3.69		21	3.37					78	12.52		338	54.25		623	
	THIRD			3	14.29		5	23.81			Excluded					2	9.52		11	52.38		21	
		TOTAL		166	26.65		28	4.49								80	12.84		349	56.02		623	
	FOURTH			10	35.71			Excluded								5	17.86		13	46.43		28	
		TOTAL		176	28.25											85	13.64		362	58.11		623	
	FIFTH			57	67.06												Excluded		28	32.94		85	
		TOTAL		233	37.40														390	62.60		623	
																			Elected				
																							
Sandy Hollow                                                   																							
	FIRST			103	43.83		5	2.13		4	1.70		1	0.43		19	8.09		103	43.83		235	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		103	43.83		6	2.55		4	1.70					19	8.09		103	43.83		235	
	THIRD			2	50.00		1	25.00			Excluded					0	0.00		1	25.00		4	
		TOTAL		105	44.68		7	2.98								19	8.09		104	44.26		235	
	FOURTH			2	28.57			Excluded								1	14.29		4	57.14		7	
		TOTAL		107	45.53											20	8.51		108	45.96		235	
	FIFTH			13	65.00												Excluded		7	35.00		20	
		TOTAL		120	51.06														115	48.94		235	
																			Elected				
																							
Singleton                                                      																							
	FIRST			530	37.62		72	5.11		51	3.62		10	0.71		134	9.51		612	43.44		1409	
	SECOND			4	40.00		2	20.00		1	10.00			Excluded		1	10.00		2	20.00		10	
		TOTAL		534	37.90		74	5.25		52	3.69					135	9.58		614	43.58		1409	
	THIRD			15	28.85		21	40.38			Excluded					2	3.85		14	26.92		52	
		TOTAL		549	38.96		95	6.74								137	9.72		628	44.57		1409	
	FOURTH			48	50.53			Excluded								11	11.58		36	37.89		95	
		TOTAL		597	42.37											148	10.50		664	47.13		1409	
	FIFTH			103	69.59												Excluded		45	30.41		148	
		TOTAL		700	49.68														709	50.32		1409	
																			Elected				
																							
Singleton East                                                 																							
	FIRST			390	46.15		19	2.25		22	2.60		3	0.36		54	6.39		357	42.25		845	
	SECOND			2	66.67		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		3	
		TOTAL		392	46.39		19	2.25		23	2.72					54	6.39		357	42.25		845	
	THIRD			4	17.39		11	47.83			Excluded					1	4.35		7	30.43		23	
		TOTAL		396	46.86		30	3.55								55	6.51		364	43.08		845	
	FOURTH			10	33.33			Excluded								3	10.00		17	56.67		30	
		TOTAL		406	48.05											58	6.86		381	45.09		845	
	FIFTH			39	67.24												Excluded		19	32.76		58	
		TOTAL		445	52.66														400	47.34		845	
																			Elected				
																							
Singleton Heights                                              																							
	FIRST			946	31.33		86	2.85		114	3.78		28	0.93		296	9.80		1549	51.31		3019	
	SECOND			4	14.29		2	7.14		6	21.43			Excluded		5	17.86		11	39.29		28	
		TOTAL		950	31.47		88	2.91		120	3.97					301	9.97		1560	51.67		3019	
	THIRD			27	22.50		47	39.17			Excluded					11	9.17		35	29.17		120	
		TOTAL		977	32.36		135	4.47								312	10.33		1595	52.83		3019	
	FOURTH			57	42.22			Excluded								19	14.07		59	43.70		135	
		TOTAL		1034	34.25											331	10.96		1654	54.79		3019	
	FIFTH			205	61.93												Excluded		126	38.07		331	
		TOTAL		1239	41.04														1780	58.96		3019	
																			Elected				
																							
Singleton South                                                																							
	FIRST			674	28.74		57	2.43		108	4.61		23	0.98		241	10.28		1242	52.96		2345	
	SECOND			5	21.74		3	13.04		2	8.70			Excluded		9	39.13		4	17.39		23	
		TOTAL		679	28.96		60	2.56		110	4.69					250	10.66		1246	53.13		2345	
	THIRD			31	28.18		43	39.09			Excluded					6	5.45		30	27.27		110	
		TOTAL		710	30.28		103	4.39								256	10.92		1276	54.41		2345	
	FOURTH			33	32.04			Excluded								14	13.59		56	54.37		103	
		TOTAL		743	31.68											270	11.51		1332	56.80		2345	
	FIFTH			189	70.00												Excluded		81	30.00		270	
		TOTAL		932	39.74														1413	60.26		2345	
																			Elected				
																							
Stanford Merthyr                                               																							
	FIRST			64	13.88		23	4.99		9	1.95		4	0.87		48	10.41		313	67.90		461	
	SECOND			1	25.00		0	0.00		1	25.00			Excluded		0	0.00		2	50.00		4	
		TOTAL		65	14.10		23	4.99		10	2.17					48	10.41		315	68.33		461	
	THIRD			1	10.00		4	40.00			Excluded					1	10.00		4	40.00		10	
		TOTAL		66	14.32		27	5.86								49	10.63		319	69.20		461	
	FOURTH			9	33.33			Excluded								5	18.52		13	48.15		27	
		TOTAL		75	16.27											54	11.71		332	72.02		461	
	FIFTH			38	70.37												Excluded		16	29.63		54	
		TOTAL		113	24.51														348	75.49		461	
																			Elected				
																							
Sydney (Hunter)                                                																							
	FIRST			12	38.71		3	9.68		1	3.23		0	0.00		1	3.23		14	45.16		31	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		12	38.71		3	9.68		1	3.23					1	3.23		14	45.16		31	
	THIRD			1	100.00		0	0.00			Excluded					0	0.00		0	0.00		1	
		TOTAL		13	41.94		3	9.68								1	3.23		14	45.16		31	
	FOURTH			1	33.33			Excluded								0	0.00		2	66.67		3	
		TOTAL		14	45.16											1	3.23		16	51.61		31	
	FIFTH			1	100.00												Excluded		0	0.00		1	
		TOTAL		15	48.39														16	51.61		31	
																			Elected				
																							
Telarah                                                        																							
	FIRST			337	21.05		64	4.00		44	2.75		33	2.06		214	13.37		909	56.78		1601	
	SECOND			2	6.06		7	21.21		1	3.03			Excluded		10	30.30		13	39.39		33	
		TOTAL		339	21.17		71	4.43		45	2.81					224	13.99		922	57.59		1601	
	THIRD			9	20.00		16	35.56			Excluded					5	11.11		15	33.33		45	
		TOTAL		348	21.74		87	5.43								229	14.30		937	58.53		1601	
	FOURTH			26	29.89			Excluded								13	14.94		48	55.17		87	
		TOTAL		374	23.36											242	15.12		985	61.52		1601	
	FIFTH			168	69.42												Excluded		74	30.58		242	
		TOTAL		542	33.85														1059	66.15		1601	
																			Elected				
																							
Tenambit                                                       																							
	FIRST			662	30.65		101	4.68		95	4.40		49	2.27		178	8.24		1075	49.77		2160	
	SECOND			13	26.53		7	14.29		9	18.37			Excluded		11	22.45		9	18.37		49	
		TOTAL		675	31.25		108	5.00		104	4.81					189	8.75		1084	50.19		2160	
	THIRD			19	18.27		52	50.00			Excluded					9	8.65		24	23.08		104	
		TOTAL		694	32.13		160	7.41								198	9.17		1108	51.30		2160	
	FOURTH			69	43.13			Excluded								19	11.88		72	45.00		160	
		TOTAL		763	35.32											217	10.05		1180	54.63		2160	
	FIFTH			169	77.88												Excluded		48	22.12		217	
		TOTAL		932	43.15														1228	56.85		2160	
																			Elected				
																							
Weston                                                         																							
	FIRST			252	13.28		88	4.64		47	2.48		18	0.95		246	12.96		1247	65.70		1898	
	SECOND			2	11.11		3	16.67		2	11.11			Excluded		2	11.11		9	50.00		18	
		TOTAL		254	13.38		91	4.79		49	2.58					248	13.07		1256	66.17		1898	
	THIRD			7	14.29		26	53.06			Excluded					5	10.20		11	22.45		49	
		TOTAL		261	13.75		117	6.16								253	13.33		1267	66.75		1898	
	FOURTH			42	35.90			Excluded								24	20.51		51	43.59		117	
		TOTAL		303	15.96											277	14.59		1318	69.44		1898	
	FIFTH			190	68.59												Excluded		87	31.41		277	
		TOTAL		493	25.97														1405	74.03		1898	
																			Elected				
																							
Wollombi                                                       																							
	FIRST			134	35.17		92	24.15		30	7.87		1	0.26		20	5.25		104	27.30		381	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		134	35.17		92	24.15		30	7.87					21	5.51		104	27.30		381	
	THIRD			3	10.00		20	66.67			Excluded					1	3.33		6	20.00		30	
		TOTAL		137	35.96		112	29.40								22	5.77		110	28.87		381	
	FOURTH			27	24.11			Excluded								8	7.14		77	68.75		112	
		TOTAL		164	43.04											30	7.87		187	49.08		381	
	FIFTH			18	60.00												Excluded		12	40.00		30	
		TOTAL		182	47.77														199	52.23		381	
																			Elected				
																							
Wybong                                                         																							
	FIRST			51	43.97		5	4.31		6	5.17		0	0.00		15	12.93		39	33.62		116	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		51	43.97		5	4.31		6	5.17					15	12.93		39	33.62		116	
	THIRD			3	50.00		2	33.33			Excluded					0	0.00		1	16.67		6	
		TOTAL		54	46.55		7	6.03								15	12.93		40	34.48		116	
	FOURTH			3	42.86			Excluded								1	14.29		3	42.86		7	
		TOTAL		57	49.14											16	13.79		43	37.07		116	
	FIFTH			12	75.00												Excluded		4	25.00		16	
		TOTAL		69	59.48														47	40.52		116	
																			Elected				
																							
Special Hospital Team 1                                        																							
	FIRST			14	9.40		2	1.34		2	1.34		2	1.34		4	2.68		125	83.89		149	
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		0	0.00		1	50.00		2	
		TOTAL		14	9.40		2	1.34		3	2.01					4	2.68		126	84.56		149	
	THIRD			1	33.33		1	33.33			Excluded					1	33.33		0	0.00		3	
		TOTAL		15	10.07		3	2.01								5	3.36		126	84.56		149	
	FOURTH			1	33.33			Excluded								1	33.33		1	33.33		3	
		TOTAL		16	10.74											6	4.03		127	85.23		149	
	FIFTH			3	50.00												Excluded		3	50.00		6	
		TOTAL		19	12.75														130	87.25		149	
																			Elected				
																							
Special Hospital Team 2                                        																							
	FIRST			95	45.02		3	1.42		4	1.90		6	2.84		9	4.27		94	44.55		211	
	SECOND			1	16.67		1	16.67		0	0.00			Excluded		2	33.33		2	33.33		6	
		TOTAL		96	45.50		4	1.90		4	1.90					11	5.21		96	45.50		211	
	THIRD			1	25.00		3	75.00			Excluded					0	0.00		0	0.00		4	
		TOTAL		97	45.97		7	3.32								11	5.21		96	45.50		211	
	FOURTH			6	85.71			Excluded								1	14.29		0	0.00		7	
		TOTAL		103	48.82											12	5.69		96	45.50		211	
	FIFTH			7	58.33												Excluded		5	41.67		12	
		TOTAL		110	52.13														101	47.87		211	
																			Elected				
																							
Special Hospital Team 3                                        																							
	FIRST			49	44.55		2	1.82		5	4.55		3	2.73		1	0.91		50	45.45		110	
	SECOND			0	0.00		0	0.00		1	33.33			Excluded		2	66.67		0	0.00		3	
		TOTAL		49	44.55		2	1.82		6	5.45					3	2.73		50	45.45		110	
	THIRD			2	33.33		3	50.00			Excluded					0	0.00		1	16.67		6	
		TOTAL		51	46.36		5	4.55								3	2.73		51	46.36		110	
	FOURTH			4	80.00			Excluded								0	0.00		1	20.00		5	
		TOTAL		55	50.00											3	2.73		52	47.27		110	
	FIFTH			1	33.33												Excluded		2	66.67		3	
		TOTAL		56	50.91														54	49.09		110	
																			Elected				
																							
Prison Mobile Team 1                                           																							
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	100.00		3	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00					0	0.00		3	100.00		3	
	THIRD			0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00								0	0.00		3	100.00		3	
	FOURTH			0	0.00			Excluded								0	0.00		0	0.00		0	
		TOTAL		0	0.00											0	0.00		3	100.00		3	
	FIFTH			0	0.00												Excluded		0	0.00		0	
		TOTAL		0	0.00														3	100.00		3	
																			Elected				
																							
ABSENT																							
	FIRST			1211	29.05		320	7.68		275	6.60		70	1.68		402	9.64		1890	45.35		4168	
	SECOND			15	21.43		12	17.14		17	24.29			Excluded		12	17.14		14	20.00		70	
		TOTAL		1226	29.41		332	7.97		292	7.01					414	9.93		1904	45.68		4168	
	THIRD			77	26.37		120	41.10			Excluded					25	8.56		70	23.97		292	
		TOTAL		1303	31.26		452	10.84								439	10.53		1974	47.36		4168	
	FOURTH			185	40.93			Excluded								60	13.27		207	45.80		452	
		TOTAL		1488	35.70											499	11.97		2181	52.33		4168	
	FIFTH			267	53.51												Excluded		232	46.49		499	
		TOTAL		1755	42.11														2413	57.89		4168	
																			Elected				
																							
POSTAL																							
	FIRST			629	32.93		34	1.78		75	3.93		21	1.10		166	8.69		985	51.57		1910	
	SECOND			3	14.29		2	9.52		3	14.29			Excluded		8	38.10		5	23.81		21	
		TOTAL		632	33.09		36	1.88		78	4.08					174	9.11		990	51.83		1910	
	THIRD			30	38.46		13	16.67			Excluded					7	8.97		28	35.90		78	
		TOTAL		662	34.66		49	2.57								181	9.48		1018	53.30		1910	
	FOURTH			22	44.90			Excluded								6	12.24		21	42.86		49	
		TOTAL		684	35.81											187	9.79		1039	54.40		1910	
	FIFTH			110	58.82												Excluded		77	41.18		187	
		TOTAL		794	41.57														1116	58.43		1910	
																			Elected				
																							
PRE POLL																							
	FIRST			1354	25.15		194	3.60		192	3.57		63	1.17		548	10.18		3032	56.33		5383	
	SECOND			18	28.57		9	14.29		9	14.29			Excluded		14	22.22		13	20.63		63	
		TOTAL		1372	25.49		203	3.77		201	3.73					562	10.44		3045	56.57		5383	
	THIRD			48	23.88		69	34.33			Excluded					12	5.97		72	35.82		201	
		TOTAL		1420	26.38		272	5.05								574	10.66		3117	57.90		5383	
	FOURTH			87	31.99			Excluded								38	13.97		147	54.04		272	
		TOTAL		1507	28.00											612	11.37		3264	60.64		5383	
	FIFTH			397	64.87												Excluded		215	35.13		612	
		TOTAL		1904	35.37														3479	64.63		5383	
																			Elected				
																							
PROVISIONAL																							
	FIRST			96	15.95		44	7.31		26	4.32		12	1.99		62	10.30		362	60.13		602	
	SECOND			3	25.00		1	8.33		3	25.00			Excluded		3	25.00		2	16.67		12	
		TOTAL		99	16.45		45	7.48		29	4.82					65	10.80		364	60.47		602	
	THIRD			9	31.03		11	37.93			Excluded					3	10.34		6	20.69		29	
		TOTAL		108	17.94		56	9.30								68	11.30		370	61.46		602	
	FOURTH			24	42.86			Excluded								11	19.64		21	37.50		56	
		TOTAL		132	21.93											79	13.12		391	64.95		602	
	FIFTH			45	56.96												Excluded		34	43.04		79	
		TOTAL		177	29.40														425	70.60		602	
																			Elected				
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
