House of Representatives - 2001 Election: New South Wales																				
Distribution of Preferences																				
By Polling Place																				
																				
Parkes																				
				KNAGGE			COBB			REDFERN			DUNLOP			WARD				
		TOTAL		830	28.64		1719	59.32		242	8.35					107	3.69		2898	
	THIRD			44	41.12		38	35.51		25	23.36						Excluded		107	
		TOTAL		874	30.16		1757	60.63		267	9.21								2898	
	FOURTH			115	43.07		152	56.93			Excluded								267	
		TOTAL		989	34.13		1909	65.87											2898	
							Elected													
																				
Parkes                                                         																				
	FIRST			532	32.09		873	52.65		151	9.11		57	3.44		45	2.71		1658	
	SECOND			21	36.84		15	26.32		8	14.04			Excluded		13	22.81		57	
		TOTAL		553	33.35		888	53.56		159	9.59					58	3.50		1658	
	THIRD			30	51.72		21	36.21		7	12.07						Excluded		58	
		TOTAL		583	35.16		909	54.83		166	10.01								1658	
	FOURTH			70	42.17		96	57.83			Excluded								166	
		TOTAL		653	39.38		1005	60.62											1658	
							Elected													
																				
Parkes East                                                    																				
	FIRST			314	27.16		682	59.00		90	7.79		46	3.98		24	2.08		1156	
	SECOND			5	10.87		18	39.13		6	13.04			Excluded		17	36.96		46	
		TOTAL		319	27.60		700	60.55		96	8.30					41	3.55		1156	
	THIRD			22	53.66		13	31.71		6	14.63						Excluded		41	
		TOTAL		341	29.50		713	61.68		102	8.82								1156	
	FOURTH			52	50.98		50	49.02			Excluded								102	
		TOTAL		393	34.00		763	66.00											1156	
							Elected													
																				
Parkes High                                                    																				
	FIRST			229	31.28		393	53.69		53	7.24		37	5.05		20	2.73		732	
	SECOND			9	24.32		5	13.51		4	10.81			Excluded		19	51.35		37	
		TOTAL		238	32.51		398	54.37		57	7.79					39	5.33		732	
	THIRD			21	53.85		14	35.90		4	10.26						Excluded		39	
		TOTAL		259	35.38		412	56.28		61	8.33								732	
	FOURTH			25	40.98		36	59.02			Excluded								61	
		TOTAL		284	38.80		448	61.20											732	
							Elected													
																				
Parkes Hospital                                                																				
	FIRST			220	33.85		357	54.92		44	6.77		15	2.31		14	2.15		650	
	SECOND			3	20.00		5	33.33		2	13.33			Excluded		5	33.33		15	
		TOTAL		223	34.31		362	55.69		46	7.08					19	2.92		650	
	THIRD			12	63.16		3	15.79		4	21.05						Excluded		19	
		TOTAL		235	36.15		365	56.15		50	7.69								650	
	FOURTH			12	24.00		38	76.00			Excluded								50	
		TOTAL		247	38.00		403	62.00											650	
							Elected													
																				
Parkes South                                                   																				
	FIRST			319	37.31		381	44.56		91	10.64		37	4.33		27	3.16		855	
	SECOND			10	27.03		6	16.22		7	18.92			Excluded		14	37.84		37	
		TOTAL		329	38.48		387	45.26		98	11.46					41	4.80		855	
	THIRD			15	36.59		16	39.02		10	24.39						Excluded		41	
		TOTAL		344	40.23		403	47.13		108	12.63								855	
	FOURTH			49	45.37		59	54.63			Excluded								108	
		TOTAL		393	45.96		462	54.04											855	
							Elected													
																				
Peak Hill                                                      																				
	FIRST			229	30.13		436	57.37		62	8.16		10	1.32		23	3.03		760	
	SECOND			2	20.00		1	10.00		1	10.00			Excluded		6	60.00		10	
		TOTAL		231	30.39		437	57.50		63	8.29					29	3.82		760	
	THIRD			11	37.93		11	37.93		7	24.14						Excluded		29	
		TOTAL		242	31.84		448	58.95		70	9.21								760	
	FOURTH			31	44.29		39	55.71			Excluded								70	
		TOTAL		273	35.92		487	64.08											760	
							Elected													
																				
Quandialla                                                     																				
	FIRST			39	18.84		132	63.77		23	11.11		7	3.38		6	2.90		207	
	SECOND			0	0.00		1	14.29		1	14.29			Excluded		5	71.43		7	
		TOTAL		39	18.84		133	64.25		24	11.59					11	5.31		207	
	THIRD			6	54.55		5	45.45		0	0.00						Excluded		11	
		TOTAL		45	21.74		138	66.67		24	11.59								207	
	FOURTH			7	29.17		17	70.83			Excluded								24	
		TOTAL		52	25.12		155	74.88											207	
							Elected													
																				
Rees Avenue                                                    																				
	FIRST			364	37.22		491	50.20		77	7.87		22	2.25		24	2.45		978	
	SECOND			5	22.73		3	13.64		4	18.18			Excluded		10	45.45		22	
		TOTAL		369	37.73		494	50.51		81	8.28					34	3.48		978	
	THIRD			13	38.24		18	52.94		3	8.82						Excluded		34	
		TOTAL		382	39.06		512	52.35		84	8.59								978	
	FOURTH			30	35.71		54	64.29			Excluded								84	
		TOTAL		412	42.13		566	57.87											978	
							Elected													
																				
Sydney (Parkes)                                                																				
	FIRST			4	15.38		18	69.23		1	3.85		3	11.54		0	0.00		26	
	SECOND			0	0.00		3	100.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		4	15.38		21	80.77		1	3.85					0	0.00		26	
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		4	15.38		21	80.77		1	3.85								26	
	FOURTH			0	0.00		1	100.00			Excluded								1	
		TOTAL		4	15.38		22	84.62											26	
							Elected													
																				
Tallimba                                                       																				
	FIRST			12	8.16		113	76.87		21	14.29		0	0.00		1	0.68		147	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		12	8.16		113	76.87		21	14.29					1	0.68		147	
	THIRD			1	100.00		0	0.00		0	0.00						Excluded		1	
		TOTAL		13	8.84		113	76.87		21	14.29								147	
	FOURTH			5	23.81		16	76.19			Excluded								21	
		TOTAL		18	12.24		129	87.76											147	
							Elected													
																				
Tibooburra                                                     																				
	FIRST			25	30.49		37	45.12		14	17.07		3	3.66		3	3.66		82	
	SECOND			0	0.00		1	33.33		0	0.00			Excluded		2	66.67		3	
		TOTAL		25	30.49		38	46.34		14	17.07					5	6.10		82	
	THIRD			3	60.00		2	40.00		0	0.00						Excluded		5	
		TOTAL		28	34.15		40	48.78		14	17.07								82	
	FOURTH			4	28.57		10	71.43			Excluded								14	
		TOTAL		32	39.02		50	60.98											82	
							Elected													
																				
Tilpa                                                          																				
	FIRST			7	16.28		28	65.12		4	9.30		1	2.33		3	6.98		43	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		7	16.28		28	65.12		4	9.30					4	9.30		43	
	THIRD			2	50.00		1	25.00		1	25.00						Excluded		4	
		TOTAL		9	20.93		29	67.44		5	11.63								43	
	FOURTH			3	60.00		2	40.00			Excluded								5	
		TOTAL		12	27.91		31	72.09											43	
							Elected													
																				
Tomingley                                                      																				
	FIRST			35	19.02		124	67.39		20	10.87		2	1.09		3	1.63		184	
	SECOND			0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		35	19.02		126	68.48		20	10.87					3	1.63		184	
	THIRD			2	66.67		1	33.33		0	0.00						Excluded		3	
		TOTAL		37	20.11		127	69.02		20	10.87								184	
	FOURTH			9	45.00		11	55.00			Excluded								20	
		TOTAL		46	25.00		138	75.00											184	
							Elected													
																				
Tottenham                                                      																				
	FIRST			75	17.99		274	65.71		58	13.91		2	0.48		8	1.92		417	
	SECOND			1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		76	18.23		274	65.71		58	13.91					9	2.16		417	
	THIRD			3	33.33		4	44.44		2	22.22						Excluded		9	
		TOTAL		79	18.94		278	66.67		60	14.39								417	
	FOURTH			34	56.67		26	43.33			Excluded								60	
		TOTAL		113	27.10		304	72.90											417	
							Elected													
																				
Trangie                                                        																				
	FIRST			260	33.12		439	55.92		57	7.26		15	1.91		14	1.78		785	
	SECOND			4	26.67		2	13.33		3	20.00			Excluded		6	40.00		15	
		TOTAL		264	33.63		441	56.18		60	7.64					20	2.55		785	
	THIRD			9	45.00		6	30.00		5	25.00						Excluded		20	
		TOTAL		273	34.78		447	56.94		65	8.28								785	
	FOURTH			29	44.62		36	55.38			Excluded								65	
		TOTAL		302	38.47		483	61.53											785	
							Elected													
																				
Trundle                                                        																				
	FIRST			80	16.06		344	69.08		66	13.25		3	0.60		5	1.00		498	
	SECOND			1	33.33		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		81	16.27		345	69.28		66	13.25					6	1.20		498	
	THIRD			2	33.33		3	50.00		1	16.67						Excluded		6	
		TOTAL		83	16.67		348	69.88		67	13.45								498	
	FOURTH			38	56.72		29	43.28			Excluded								67	
		TOTAL		121	24.30		377	75.70											498	
							Elected													
																				
Tullamore                                                      																				
	FIRST			56	19.18		190	65.07		37	12.67		3	1.03		6	2.05		292	
	SECOND			0	0.00		1	33.33		1	33.33			Excluded		1	33.33		3	
		TOTAL		56	19.18		191	65.41		38	13.01					7	2.40		292	
	THIRD			0	0.00		6	85.71		1	14.29						Excluded		7	
		TOTAL		56	19.18		197	67.47		39	13.36								292	
	FOURTH			12	30.77		27	69.23			Excluded								39	
		TOTAL		68	23.29		224	76.71											292	
							Elected													
																				
Tullibigeal                                                    																				
	FIRST			13	6.74		161	83.42		14	7.25		5	2.59		0	0.00		193	
	SECOND			1	20.00		2	40.00		0	0.00			Excluded		2	40.00		5	
		TOTAL		14	7.25		163	84.46		14	7.25					2	1.04		193	
	THIRD			0	0.00		1	50.00		1	50.00						Excluded		2	
		TOTAL		14	7.25		164	84.97		15	7.77								193	
	FOURTH			5	33.33		10	66.67			Excluded								15	
		TOTAL		19	9.84		174	90.16											193	
							Elected													
																				
Ungarie                                                        																				
	FIRST			74	18.69		255	64.39		50	12.63		8	2.02		9	2.27		396	
	SECOND			0	0.00		1	12.50		1	12.50			Excluded		6	75.00		8	
		TOTAL		74	18.69		256	64.65		51	12.88					15	3.79		396	
	THIRD			4	26.67		9	60.00		2	13.33						Excluded		15	
		TOTAL		78	19.70		265	66.92		53	13.38								396	
	FOURTH			26	49.06		27	50.94			Excluded								53	
		TOTAL		104	26.26		292	73.74											396	
							Elected													
																				
Warren                                                         																				
	FIRST			424	34.50		620	50.45		140	11.39		13	1.06		32	2.60		1229	
	SECOND			3	23.08		3	23.08		3	23.08			Excluded		4	30.77		13	
		TOTAL		427	34.74		623	50.69		143	11.64					36	2.93		1229	
	THIRD			14	38.89		12	33.33		10	27.78						Excluded		36	
		TOTAL		441	35.88		635	51.67		153	12.45								1229	
	FOURTH			68	44.44		85	55.56			Excluded								153	
		TOTAL		509	41.42		720	58.58											1229	
							Elected													
																				
Warroo                                                         																				
	FIRST			17	16.04		75	70.75		11	10.38		2	1.89		1	0.94		106	
	SECOND			1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		18	16.98		76	71.70		11	10.38					1	0.94		106	
	THIRD			1	100.00		0	0.00		0	0.00						Excluded		1	
		TOTAL		19	17.92		76	71.70		11	10.38								106	
	FOURTH			5	45.45		6	54.55			Excluded								11	
		TOTAL		24	22.64		82	77.36											106	
							Elected													
																				
Weethalle                                                      																				
	FIRST			39	15.35		178	70.08		25	9.84		6	2.36		6	2.36		254	
	SECOND			1	16.67		0	0.00		1	16.67			Excluded		4	66.67		6	
		TOTAL		40	15.75		178	70.08		26	10.24					10	3.94		254	
	THIRD			2	20.00		3	30.00		5	50.00						Excluded		10	
		TOTAL		42	16.54		181	71.26		31	12.20								254	
	FOURTH			16	51.61		15	48.39			Excluded								31	
		TOTAL		58	22.83		196	77.17											254	
							Elected													
																				
West Wyalong                                                   																				
	FIRST			386	23.75		925	56.92		248	15.26		28	1.72		38	2.34		1625	
	SECOND			7	25.00		5	17.86		3	10.71			Excluded		13	46.43		28	
		TOTAL		393	24.18		930	57.23		251	15.45					51	3.14		1625	
	THIRD			24	47.06		15	29.41		12	23.53						Excluded		51	
		TOTAL		417	25.66		945	58.15		263	16.18								1625	
	FOURTH			154	58.56		109	41.44			Excluded								263	
		TOTAL		571	35.14		1054	64.86											1625	
							Elected													
																				
White Cliffs                                                   																				
	FIRST			23	20.91		58	52.73		24	21.82		3	2.73		2	1.82		110	
	SECOND			1	33.33		1	33.33		1	33.33			Excluded		0	0.00		3	
		TOTAL		24	21.82		59	53.64		25	22.73					2	1.82		110	
	THIRD			1	50.00		1	50.00		0	0.00						Excluded		2	
		TOTAL		25	22.73		60	54.55		25	22.73								110	
	FOURTH			9	36.00		16	64.00			Excluded								25	
		TOTAL		34	30.91		76	69.09											110	
							Elected													
																				
Wilcannia                                                      																				
	FIRST			134	47.02		108	37.89		23	8.07		13	4.56		7	2.46		285	
	SECOND			3	23.08		3	23.08		1	7.69			Excluded		6	46.15		13	
		TOTAL		137	48.07		111	38.95		24	8.42					13	4.56		285	
	THIRD			8	61.54		5	38.46		0	0.00						Excluded		13	
		TOTAL		145	50.88		116	40.70		24	8.42								285	
	FOURTH			10	41.67		14	58.33			Excluded								24	
		TOTAL		155	54.39		130	45.61											285	
							Elected													
																				
Wirrinya                                                       																				
	FIRST			6	6.25		77	80.21		8	8.33		4	4.17		1	1.04		96	
	SECOND			0	0.00		0	0.00		1	25.00			Excluded		3	75.00		4	
		TOTAL		6	6.25		77	80.21		9	9.38					4	4.17		96	
	THIRD			1	25.00		2	50.00		1	25.00						Excluded		4	
		TOTAL		7	7.29		79	82.29		10	10.42								96	
	FOURTH			4	40.00		6	60.00			Excluded								10	
		TOTAL		11	11.46		85	88.54											96	
							Elected													
																				
Wongarbon                                                      																				
	FIRST			78	24.00		184	56.62		41	12.62		12	3.69		10	3.08		325	
	SECOND			3	25.00		2	16.67		4	33.33			Excluded		3	25.00		12	
		TOTAL		81	24.92		186	57.23		45	13.85					13	4.00		325	
	THIRD			7	53.85		5	38.46		1	7.69						Excluded		13	
		TOTAL		88	27.08		191	58.77		46	14.15								325	
	FOURTH			18	39.13		28	60.87			Excluded								46	
		TOTAL		106	32.62		219	67.38											325	
							Elected													
																				
Wyalong                                                        																				
	FIRST			153	23.11		362	54.68		119	17.98		9	1.36		19	2.87		662	
	SECOND			2	22.22		2	22.22		2	22.22			Excluded		3	33.33		9	
		TOTAL		155	23.41		364	54.98		121	18.28					22	3.32		662	
	THIRD			9	40.91		12	54.55		1	4.55						Excluded		22	
		TOTAL		164	24.77		376	56.80		122	18.43								662	
	FOURTH			65	53.28		57	46.72			Excluded								122	
		TOTAL		229	34.59		433	65.41											662	
							Elected													
																				
Special Hospital Team 1                                        																				
	FIRST			109	76.76		25	17.61		5	3.52		2	1.41		1	0.70		142	
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		109	76.76		25	17.61		6	4.23					2	1.41		142	
	THIRD			0	0.00		1	50.00		1	50.00						Excluded		2	
		TOTAL		109	76.76		26	18.31		7	4.93								142	
	FOURTH			4	57.14		3	42.86			Excluded								7	
		TOTAL		113	79.58		29	20.42											142	
							Elected													
																				
Special Hospital Team 10                                       																				
	FIRST			31	30.39		60	58.82		8	7.84		1	0.98		2	1.96		102	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		31	30.39		61	59.80		8	7.84					2	1.96		102	
	THIRD			2	100.00		0	0.00		0	0.00						Excluded		2	
		TOTAL		33	32.35		61	59.80		8	7.84								102	
	FOURTH			3	37.50		5	62.50			Excluded								8	
		TOTAL		36	35.29		66	64.71											102	
							Elected													
																				
Special Hospital Team 11                                       																				
	FIRST			14	38.89		20	55.56		0	0.00		0	0.00		2	5.56		36	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		14	38.89		20	55.56		0	0.00					2	5.56		36	
	THIRD			0	0.00		1	50.00		1	50.00						Excluded		2	
		TOTAL		14	38.89		21	58.33		1	2.78								36	
	FOURTH			1	100.00		0	0.00			Excluded								1	
		TOTAL		15	41.67		21	58.33											36	
							Elected													
																				
Special Hospital Team 12                                       																				
	FIRST			3	27.27		8	72.73		0	0.00		0	0.00		0	0.00		11	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	27.27		8	72.73		0	0.00					0	0.00		11	
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		3	27.27		8	72.73		0	0.00								11	
	FOURTH			0	0.00		0	0.00			Excluded								0	
		TOTAL		3	27.27		8	72.73											11	
							Elected													
																				
Special Hospital Team 2                                        																				
	FIRST			52	46.85		51	45.95		7	6.31		0	0.00		1	0.90		111	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		52	46.85		51	45.95		7	6.31					1	0.90		111	
	THIRD			0	0.00		1	100.00		0	0.00						Excluded		1	
		TOTAL		52	46.85		52	46.85		7	6.31								111	
	FOURTH			2	28.57		5	71.43			Excluded								7	
		TOTAL		54	48.65		57	51.35											111	
							Elected													
																				
Special Hospital Team 3                                        																				
	FIRST			8	40.00		11	55.00		0	0.00		1	5.00		0	0.00		20	
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		8	40.00		11	55.00		1	5.00					0	0.00		20	
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		8	40.00		11	55.00		1	5.00								20	
	FOURTH			0	0.00		1	100.00			Excluded								1	
		TOTAL		8	40.00		12	60.00											20	
							Elected													
																				
Special Hospital Team 4                                        																				
	FIRST			19	39.58		26	54.17		0	0.00		2	4.17		1	2.08		48	
	SECOND			0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		19	39.58		27	56.25		1	2.08					1	2.08		48	
	THIRD			0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL		19	39.58		27	56.25		2	4.17								48	
	FOURTH			1	50.00		1	50.00			Excluded								2	
		TOTAL		20	41.67		28	58.33											48	
							Elected													
																				
Special Hospital Team 5                                        																				
	FIRST			5	38.46		6	46.15		1	7.69		0	0.00		1	7.69		13	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	38.46		6	46.15		1	7.69					1	7.69		13	
	THIRD			1	100.00		0	0.00		0	0.00						Excluded		1	
		TOTAL		6	46.15		6	46.15		1	7.69								13	
	FOURTH			0	0.00		1	100.00			Excluded								1	
		TOTAL		6	46.15		7	53.85											13	
							Elected													
																				
Special Hospital Team 6                                        																				
	FIRST			1	11.11		7	77.78		1	11.11		0	0.00		0	0.00		9	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	11.11		7	77.78		1	11.11					0	0.00		9	
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		1	11.11		7	77.78		1	11.11								9	
	FOURTH			0	0.00		1	100.00			Excluded								1	
		TOTAL		1	11.11		8	88.89											9	
							Elected													
																				
Special Hospital Team 7                                        																				
	FIRST			5	62.50		3	37.50		0	0.00		0	0.00		0	0.00		8	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	62.50		3	37.50		0	0.00					0	0.00		8	
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		5	62.50		3	37.50		0	0.00								8	
	FOURTH			0	0.00		0	0.00			Excluded								0	
		TOTAL		5	62.50		3	37.50											8	
							Elected													
																				
Special Hospital Team 8                                        																				
	FIRST			7	36.84		10	52.63		0	0.00		0	0.00		2	10.53		19	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		7	36.84		10	52.63		0	0.00					2	10.53		19	
	THIRD			1	50.00		0	0.00		1	50.00						Excluded		2	
		TOTAL		8	42.11		10	52.63		1	5.26								19	
	FOURTH			0	0.00		1	100.00			Excluded								1	
		TOTAL		8	42.11		11	57.89											19	
							Elected													
																				
Special Hospital Team 9                                        																				
	FIRST			4	40.00		5	50.00		1	10.00		0	0.00		0	0.00		10	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	40.00		5	50.00		1	10.00					0	0.00		10	
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		4	40.00		5	50.00		1	10.00								10	
	FOURTH			1	100.00		0	0.00			Excluded								1	
		TOTAL		5	50.00		5	50.00											10	
							Elected													
																				
ABSENT																				
	FIRST			1214	25.42		2691	56.34		426	8.92		206	4.31		239	5.00		4776	
	SECOND			50	24.27		36	17.48		28	13.59			Excluded		92	44.66		206	
		TOTAL		1264	26.47		2727	57.10		454	9.51					331	6.93		4776	
	THIRD			144	43.50		142	42.90		45	13.60						Excluded		331	
		TOTAL		1408	29.48		2869	60.07		499	10.45								4776	
	FOURTH			187	37.47		312	62.53			Excluded								499	
		TOTAL		1595	33.40		3181	66.60											4776	
							Elected													
																				
POSTAL																				
	FIRST			765	24.77		1868	60.49		329	10.65		48	1.55		78	2.53		3088	
	SECOND			8	16.67		10	20.83		3	6.25			Excluded		27	56.25		48	
		TOTAL		773	25.03		1878	60.82		332	10.75					105	3.40		3088	
	THIRD			60	57.14		31	29.52		14	13.33						Excluded		105	
		TOTAL		833	26.98		1909	61.82		346	11.20								3088	
	FOURTH			124	35.84		222	64.16			Excluded								346	
		TOTAL		957	30.99		2131	69.01											3088	
							Elected													
																				
PRE POLL																				
	FIRST			1633	37.20		2013	45.85		434	9.89		128	2.92		182	4.15		4390	
	SECOND			33	25.78		22	17.19		12	9.38			Excluded		61	47.66		128	
		TOTAL		1666	37.95		2035	46.36		446	10.16					243	5.54		4390	
	THIRD			119	48.97		97	39.92		27	11.11						Excluded		243	
		TOTAL		1785	40.66		2132	48.56		473	10.77								4390	
	FOURTH			258	54.55		215	45.45			Excluded								473	
		TOTAL		2043	46.54		2347	53.46											4390	
							Elected													
																				
PROVISIONAL																				
	FIRST			235	42.19		226	40.57		56	10.05		22	3.95		18	3.23		557	
	SECOND			7	31.82		7	31.82		3	13.64			Excluded		5	22.73		22	
		TOTAL		242	43.45		233	41.83		59	10.59					23	4.13		557	
	THIRD			11	47.83		6	26.09		6	26.09						Excluded		23	
		TOTAL		253	45.42		239	42.91		65	11.67								557	
	FOURTH			29	44.62		36	55.38			Excluded								65	
		TOTAL		282	50.63		275	49.37											557	
							Elected													
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
