House of Representatives - 2001 Election: New South Wales 											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Macquarie (86364)											
		Candidate		"SEARLE, Adam"		               	"BARTLETT, Kerry"		            	Total	
		"GRIGG, Brian (CTA)"	1311	296	22.58		1015	77.42		1311	
		"MAJOROS, Les (DEM)"	3527	2589	73.41		938	26.59		3527	
		"BUCKLEY, Wayne (HAN)"	3267	1757	53.78		1510	46.22		3267	
		"WARREN, Robert (SAS)"	889	508	57.14		381	42.86		889	
		Total	14449	27376	41.28		38937	58.72		66313	

	ABSENT										
			1st Prefs	1452	36.49		2527	63.51		3979	
		"WILLIAMS, Leigh (GRN)"	724	569	78.59		155	21.41		724	
		"GRIGG, Brian (CTA)"	126	44	34.92		82	65.08		126	
		"MAJOROS, Les (DEM)"	365	244	66.85		121	33.15		365	
		"BUCKLEY, Wayne (HAN)"	297	119	40.07		178	59.93		297	
		"WARREN, Robert (SAS)"	109	56	51.38		53	48.62		109	
		Total	1621	2484	44.36		3116	55.64		5600	

	POSTAL										
			1st Prefs	727	30.95		1622	69.05		2349	
		"WILLIAMS, Leigh (GRN)"	135	107	79.26		28	20.74		135	
		"GRIGG, Brian (CTA)"	50	9	18.00		41	82.00		50	
		"MAJOROS, Les (DEM)"	140	92	65.71		48	34.29		140	
		"BUCKLEY, Wayne (HAN)"	124	51	41.13		73	58.87		124	
		"WARREN, Robert (SAS)"	36	18	50.00		18	50.00		36	
		Total	485	1004	35.43		1830	64.57		2834	

	PRE_POLL										
			1st Prefs	1049	35.85		1877	64.15		2926	
		"WILLIAMS, Leigh (GRN)"	288	231	80.21		57	19.79		288	
		"GRIGG, Brian (CTA)"	65	18	27.69		47	72.31		65	
		"MAJOROS, Les (DEM)"	248	166	66.94		82	33.06		248	
		"BUCKLEY, Wayne (HAN)"	186	76	40.86		110	59.14		186	
		"WARREN, Robert (SAS)"	50	27	54.00		23	46.00		50	
		Total	837	1567	41.64		2196	58.36		3763	

	PROVISIONAL										
			1st Prefs	100	37.45		167	62.55		267	
		"WILLIAMS, Leigh (GRN)"	42	35	83.33		7	16.67		42	
		"GRIGG, Brian (CTA)"	7	4	57.14		3	42.86		7	
		"MAJOROS, Les (DEM)"	24	17	70.83		7	29.17		24	
		"BUCKLEY, Wayne (HAN)"	19	10	52.63		9	47.37		19	
		"WARREN, Robert (SAS)"	2	1	50.00		1	50.00		2	
		Total	94	167	46.26		194	53.74		361	

	Division Summary										
			1st Prefs	21160	34.47		40225	65.53		61385	
		"WILLIAMS, Leigh (GRN)"	6644	5336	80.31		1308	19.69		6644	
		"GRIGG, Brian (CTA)"	1559	371	23.80		1188	76.20		1559	
		"MAJOROS, Les (DEM)"	4304	3108	72.21		1196	27.79		4304	
		"BUCKLEY, Wayne (HAN)"	3893	2013	51.71		1880	48.29		3893	
		"WARREN, Robert (SAS)"	1086	610	56.17		476	43.83		1086	
		Total	17486	32598	41.33		46273	58.67		78871	
