House of Representatives - 2001 Election: New South Wales																												
Distribution of Preferences																												
By Polling Place																												
																												
Cunningham																												
				CURTIS			PINK			FIELDS			BERRY			MOTT			MARTIN			NEWMAN			SKINNER			
																												
Mount Saint Thomas                                             																												
	FIRST			64	3.50		28	1.53		574	31.35		108	5.90		96	5.24		723	39.49		192	10.49		46	2.51		1831
	SECOND			2	7.14			Excluded		5	17.86		9	32.14		2	7.14		8	28.57		0	0.00		2	7.14		28
		TOTAL		66	3.60					579	31.62		117	6.39		98	5.35		731	39.92		192	10.49		48	2.62		1831
	THIRD			12	25.00					15	31.25		2	4.17		5	10.42		6	12.50		8	16.67			Excluded		48
		TOTAL		78	4.26					594	32.44		119	6.50		103	5.63		737	40.25		200	10.92					1831
	FOURTH				Excluded					25	32.05		21	26.92		18	23.08		9	11.54		5	6.41					78
		TOTAL								619	33.81		140	7.65		121	6.61		746	40.74		205	11.20					1831
	FIFTH									41	33.88		44	36.36			Excluded		19	15.70		17	14.05					121
		TOTAL								660	36.05		184	10.05					765	41.78		222	12.12					1831
	SIXTH									36	16.22		134	60.36					52	23.42			Excluded					222
		TOTAL								696	38.01		318	17.37					817	44.62								1831
	SEVENTH									95	29.87			Excluded					223	70.13								318
		TOTAL								791	43.20								1040	56.80								1831
																			Elected									
																												
Otford                                                         																												
	FIRST			16	8.70		1	0.54		52	28.26		26	14.13		2	1.09		60	32.61		18	9.78		9	4.89		184
	SECOND			0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		16	8.70					52	28.26		27	14.67		2	1.09		60	32.61		18	9.78		9	4.89		184
	THIRD			1	11.11					4	44.44		0	0.00		4	44.44		0	0.00		0	0.00			Excluded		9
		TOTAL		17	9.24					56	30.43		27	14.67		6	3.26		60	32.61		18	9.78					184
	FOURTH				Excluded					8	47.06		4	23.53		3	17.65		0	0.00		2	11.76					17
		TOTAL								64	34.78		31	16.85		9	4.89		60	32.61		20	10.87					184
	FIFTH									5	55.56		3	33.33			Excluded		1	11.11		0	0.00					9
		TOTAL								69	37.50		34	18.48					61	33.15		20	10.87					184
	SIXTH									4	20.00		6	30.00					10	50.00			Excluded					20
		TOTAL								73	39.67		40	21.74					71	38.59								184
	SEVENTH									6	15.00			Excluded					34	85.00								40
		TOTAL								79	42.93								105	57.07								184
																			Elected									
																												
Reidtown                                                       																												
	FIRST			39	4.34		17	1.89		225	25.06		32	3.56		55	6.12		457	50.89		38	4.23		35	3.90		898
	SECOND			3	17.65			Excluded		2	11.76		6	35.29		4	23.53		2	11.76		0	0.00		0	0.00		17
		TOTAL		42	4.68					227	25.28		38	4.23		59	6.57		459	51.11		38	4.23		35	3.90		898
	THIRD			16	45.71					7	20.00		0	0.00		5	14.29		4	11.43		3	8.57			Excluded		35
		TOTAL		58	6.46					234	26.06		38	4.23		64	7.13		463	51.56		41	4.57					898
	FOURTH				Excluded					21	36.21		7	12.07		23	39.66		6	10.34		1	1.72					58
		TOTAL								255	28.40		45	5.01		87	9.69		469	52.23		42	4.68					898
	FIFTH									30	34.48		31	35.63			Excluded		14	16.09		12	13.79					87
		TOTAL								285	31.74		76	8.46					483	53.79		54	6.01					898
	SIXTH									9	16.67		22	40.74					23	42.59			Excluded					54
		TOTAL								294	32.74		98	10.91					506	56.35								898
	SEVENTH									40	40.82			Excluded					58	59.18								98
		TOTAL								334	37.19								564	62.81								898
																			Elected									
																												
Russell Vale                                                   																												
	FIRST			81	5.95		17	1.25		289	21.22		51	3.74		99	7.27		735	53.96		64	4.70		26	1.91		1362
	SECOND			5	29.41			Excluded		3	17.65		4	23.53		0	0.00		5	29.41		0	0.00		0	0.00		17
		TOTAL		86	6.31					292	21.44		55	4.04		99	7.27		740	54.33		64	4.70		26	1.91		1362
	THIRD			9	34.62					9	34.62		1	3.85		1	3.85		1	3.85		5	19.23			Excluded		26
		TOTAL		95	6.98					301	22.10		56	4.11		100	7.34		741	54.41		69	5.07					1362
	FOURTH				Excluded					34	35.79		24	25.26		15	15.79		16	16.84		6	6.32					95
		TOTAL								335	24.60		80	5.87		115	8.44		757	55.58		75	5.51					1362
	FIFTH									33	28.70		45	39.13			Excluded		21	18.26		16	13.91					115
		TOTAL								368	27.02		125	9.18					778	57.12		91	6.68					1362
	SIXTH									9	9.89		35	38.46					47	51.65			Excluded					91
		TOTAL								377	27.68		160	11.75					825	60.57								1362
	SEVENTH									65	40.63			Excluded					95	59.38								160
		TOTAL								442	32.45								920	67.55								1362
																			Elected									
																												
Scarborough                                                    																												
	FIRST			12	5.63		2	0.94		42	19.72		34	15.96		10	4.69		90	42.25		17	7.98		6	2.82		213
	SECOND			0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		12	5.63					42	19.72		35	16.43		10	4.69		90	42.25		18	8.45		6	2.82		213
	THIRD			0	0.00					2	33.33		0	0.00		2	33.33		0	0.00		2	33.33			Excluded		6
		TOTAL		12	5.63					44	20.66		35	16.43		12	5.63		90	42.25		20	9.39					213
	FOURTH				Excluded					6	50.00		1	8.33		2	16.67		2	16.67		1	8.33					12
		TOTAL								50	23.47		36	16.90		14	6.57		92	43.19		21	9.86					213
	FIFTH									5	35.71		3	21.43			Excluded		3	21.43		3	21.43					14
		TOTAL								55	25.82		39	18.31					95	44.60		24	11.27					213
	SIXTH									3	12.50		15	62.50					6	25.00			Excluded					24
		TOTAL								58	27.23		54	25.35					101	47.42								213
	SEVENTH									10	18.52			Excluded					44	81.48								54
		TOTAL								68	31.92								145	68.08								213
																			Elected									
																												
Smith's Hill                                                   																												
	FIRST			60	2.63		16	0.70		742	32.47		206	9.02		98	4.29		903	39.52		223	9.76		37	1.62		2285
	SECOND			1	6.25			Excluded		2	12.50		3	18.75		1	6.25		7	43.75		0	0.00		2	12.50		16
		TOTAL		61	2.67					744	32.56		209	9.15		99	4.33		910	39.82		223	9.76		39	1.71		2285
	THIRD			6	15.38					17	43.59		1	2.56		4	10.26		5	12.82		6	15.38			Excluded		39
		TOTAL		67	2.93					761	33.30		210	9.19		103	4.51		915	40.04		229	10.02					2285
	FOURTH				Excluded					29	43.28		12	17.91		16	23.88		7	10.45		3	4.48					67
		TOTAL								790	34.57		222	9.72		119	5.21		922	40.35		232	10.15					2285
	FIFTH									39	32.77		40	33.61			Excluded		20	16.81		20	16.81					119
		TOTAL								829	36.28		262	11.47					942	41.23		252	11.03					2285
	SIXTH									33	13.10		150	59.52					69	27.38			Excluded					252
		TOTAL								862	37.72		412	18.03					1011	44.25								2285
	SEVENTH									114	27.67			Excluded					298	72.33								412
		TOTAL								976	42.71								1309	57.29								2285
																			Elected									
																												
Stanwell Park                                                  																												
	FIRST			23	3.37		7	1.03		188	27.57		103	15.10		73	10.70		210	30.79		55	8.06		23	3.37		682
	SECOND			2	28.57			Excluded		0	0.00		1	14.29		1	14.29		2	28.57		1	14.29		0	0.00		7
		TOTAL		25	3.67					188	27.57		104	15.25		74	10.85		212	31.09		56	8.21		23	3.37		682
	THIRD			0	0.00					13	56.52		5	21.74		1	4.35		2	8.70		2	8.70			Excluded		23
		TOTAL		25	3.67					201	29.47		109	15.98		75	11.00		214	31.38		58	8.50					682
	FOURTH				Excluded					13	52.00		4	16.00		4	16.00		3	12.00		1	4.00					25
		TOTAL								214	31.38		113	16.57		79	11.58		217	31.82		59	8.65					682
	FIFTH									10	12.66		38	48.10			Excluded		19	24.05		12	15.19					79
		TOTAL								224	32.84		151	22.14					236	34.60		71	10.41					682
	SIXTH									16	22.54		31	43.66					24	33.80			Excluded					71
		TOTAL								240	35.19		182	26.69					260	38.12								682
	SEVENTH									52	28.57			Excluded					130	71.43								182
		TOTAL								292	42.82								390	57.18								682
																			Elected									
																												
Sydney (Cunningham)                                            																												
	FIRST			2	1.98		0	0.00		34	33.66		12	11.88		4	3.96		37	36.63		10	9.90		2	1.98		101
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.98					34	33.66		12	11.88		4	3.96		37	36.63		10	9.90		2	1.98		101
	THIRD			0	0.00					0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		2
		TOTAL		2	1.98					34	33.66		12	11.88		5	4.95		37	36.63		11	10.89					101
	FOURTH				Excluded					0	0.00		1	50.00		0	0.00		1	50.00		0	0.00					2
		TOTAL								34	33.66		13	12.87		5	4.95		38	37.62		11	10.89					101
	FIFTH									0	0.00		2	40.00			Excluded		1	20.00		2	40.00					5
		TOTAL								34	33.66		15	14.85					39	38.61		13	12.87					101
	SIXTH									2	15.38		6	46.15					5	38.46			Excluded					13
		TOTAL								36	35.64		21	20.79					44	43.56								101
	SEVENTH									6	28.57			Excluded					15	71.43								21
		TOTAL								42	41.58								59	58.42								101
																			Elected									
																												
Tarrawanna                                                     																												
	FIRST			93	5.18		47	2.62		506	28.16		68	3.78		68	3.78		910	50.64		78	4.34		27	1.50		1797
	SECOND			5	10.64			Excluded		6	12.77		3	6.38		16	34.04		14	29.79		1	2.13		2	4.26		47
		TOTAL		98	5.45					512	28.49		71	3.95		84	4.67		924	51.42		79	4.40		29	1.61		1797
	THIRD			1	3.45					14	48.28		1	3.45		3	10.34		4	13.79		6	20.69			Excluded		29
		TOTAL		99	5.51					526	29.27		72	4.01		87	4.84		928	51.64		85	4.73					1797
	FOURTH				Excluded					38	38.38		19	19.19		19	19.19		17	17.17		6	6.06					99
		TOTAL								564	31.39		91	5.06		106	5.90		945	52.59		91	5.06					1797
	FIFTH									22	20.75		40	37.74			Excluded		22	20.75		22	20.75					106
		TOTAL								586	32.61		131	7.29					967	53.81		113	6.29					1797
	SIXTH									22	19.47		44	38.94					47	41.59			Excluded					113
		TOTAL								608	33.83		175	9.74					1014	56.43								1797
	SEVENTH									59	33.71			Excluded					116	66.29								175
		TOTAL								667	37.12								1130	62.88								1797
																			Elected									
																												
Thirroul                                                       																												
	FIRST			90	4.75		11	0.58		488	25.74		162	8.54		179	9.44		776	40.93		164	8.65		26	1.37		1896
	SECOND			2	18.18			Excluded		2	18.18		3	27.27		1	9.09		3	27.27		0	0.00		0	0.00		11
		TOTAL		92	4.85					490	25.84		165	8.70		180	9.49		779	41.09		164	8.65		26	1.37		1896
	THIRD			5	19.23					7	26.92		1	3.85		5	19.23		5	19.23		3	11.54			Excluded		26
		TOTAL		97	5.12					497	26.21		166	8.76		185	9.76		784	41.35		167	8.81					1896
	FOURTH				Excluded					32	32.99		13	13.40		20	20.62		27	27.84		5	5.15					97
		TOTAL								529	27.90		179	9.44		205	10.81		811	42.77		172	9.07					1896
	FIFTH									45	21.95		95	46.34			Excluded		29	14.15		36	17.56					205
		TOTAL								574	30.27		274	14.45					840	44.30		208	10.97					1896
	SIXTH									28	13.46		132	63.46					48	23.08			Excluded					208
		TOTAL								602	31.75		406	21.41					888	46.84								1896
	SEVENTH									97	23.89			Excluded					309	76.11								406
		TOTAL								699	36.87								1197	63.13								1896
																			Elected									
																												
Thirroul East                                                  																												
	FIRST			55	3.90		9	0.64		325	23.03		221	15.66		121	8.58		574	40.68		89	6.31		17	1.20		1411
	SECOND			2	22.22			Excluded		4	44.44		1	11.11		1	11.11		0	0.00		0	0.00		1	11.11		9
		TOTAL		57	4.04					329	23.32		222	15.73		122	8.65		574	40.68		89	6.31		18	1.28		1411
	THIRD			4	22.22					5	27.78		0	0.00		2	11.11		4	22.22		3	16.67			Excluded		18
		TOTAL		61	4.32					334	23.67		222	15.73		124	8.79		578	40.96		92	6.52					1411
	FOURTH				Excluded					33	54.10		9	14.75		12	19.67		3	4.92		4	6.56					61
		TOTAL								367	26.01		231	16.37		136	9.64		581	41.18		96	6.80					1411
	FIFTH									21	15.44		73	53.68			Excluded		27	19.85		15	11.03					136
		TOTAL								388	27.50		304	21.55					608	43.09		111	7.87					1411
	SIXTH									11	9.91		72	64.86					28	25.23			Excluded					111
		TOTAL								399	28.28		376	26.65					636	45.07								1411
	SEVENTH									72	19.15			Excluded					304	80.85								376
		TOTAL								471	33.38								940	66.62								1411
																			Elected									
																												
Towradgi                                                       																												
	FIRST			68	4.76		18	1.26		273	19.10		56	3.92		80	5.60		836	58.50		73	5.11		25	1.75		1429
	SECOND			8	44.44			Excluded		2	11.11		2	11.11		1	5.56		4	22.22		1	5.56		0	0.00		18
		TOTAL		76	5.32					275	19.24		58	4.06		81	5.67		840	58.78		74	5.18		25	1.75		1429
	THIRD			2	8.00					10	40.00		3	12.00		3	12.00		2	8.00		5	20.00			Excluded		25
		TOTAL		78	5.46					285	19.94		61	4.27		84	5.88		842	58.92		79	5.53					1429
	FOURTH				Excluded					33	42.31		12	15.38		14	17.95		14	17.95		5	6.41					78
		TOTAL								318	22.25		73	5.11		98	6.86		856	59.90		84	5.88					1429
	FIFTH									22	22.45		40	40.82			Excluded		16	16.33		20	20.41					98
		TOTAL								340	23.79		113	7.91					872	61.02		104	7.28					1429
	SIXTH									19	18.27		57	54.81					28	26.92			Excluded					104
		TOTAL								359	25.12		170	11.90					900	62.98								1429
	SEVENTH									70	41.18			Excluded					100	58.82								170
		TOTAL								429	30.02								1000	69.98								1429
																			Elected									
																												
Towradgi East                                                  																												
	FIRST			25	4.74		4	0.76		155	29.41		25	4.74		22	4.17		254	48.20		34	6.45		8	1.52		527
	SECOND			1	25.00			Excluded		0	0.00		1	25.00		0	0.00		1	25.00		1	25.00		0	0.00		4
		TOTAL		26	4.93					155	29.41		26	4.93		22	4.17		255	48.39		35	6.64		8	1.52		527
	THIRD			1	12.50					2	25.00		0	0.00		1	12.50		0	0.00		4	50.00			Excluded		8
		TOTAL		27	5.12					157	29.79		26	4.93		23	4.36		255	48.39		39	7.40					527
	FOURTH				Excluded					14	51.85		6	22.22		3	11.11		3	11.11		1	3.70					27
		TOTAL								171	32.45		32	6.07		26	4.93		258	48.96		40	7.59					527
	FIFTH									10	38.46		5	19.23			Excluded		1	3.85		10	38.46					26
		TOTAL								181	34.35		37	7.02					259	49.15		50	9.49					527
	SIXTH									10	20.00		22	44.00					18	36.00			Excluded					50
		TOTAL								191	36.24		59	11.20					277	52.56								527
	SEVENTH									20	33.90			Excluded					39	66.10								59
		TOTAL								211	40.04								316	59.96								527
																			Elected									
																												
Unanderra (Cunningham)                                         																												
	FIRST			13	3.28		6	1.52		110	27.78		13	3.28		22	5.56		190	47.98		27	6.82		15	3.79		396
	SECOND			1	16.67			Excluded		1	16.67		1	16.67		1	16.67		2	33.33		0	0.00		0	0.00		6
		TOTAL		14	3.54					111	28.03		14	3.54		23	5.81		192	48.48		27	6.82		15	3.79		396
	THIRD			0	0.00					5	33.33		0	0.00		1	6.67		2	13.33		7	46.67			Excluded		15
		TOTAL		14	3.54					116	29.29		14	3.54		24	6.06		194	48.99		34	8.59					396
	FOURTH				Excluded					8	57.14		0	0.00		2	14.29		3	21.43		1	7.14					14
		TOTAL								124	31.31		14	3.54		26	6.57		197	49.75		35	8.84					396
	FIFTH									8	30.77		11	42.31			Excluded		4	15.38		3	11.54					26
		TOTAL								132	33.33		25	6.31					201	50.76		38	9.60					396
	SIXTH									4	10.53		23	60.53					11	28.95			Excluded					38
		TOTAL								136	34.34		48	12.12					212	53.54								396
	SEVENTH									15	31.25			Excluded					33	68.75								48
		TOTAL								151	38.13								245	61.87								396
																			Elected									
																												
Wollongong                                                     																												
	FIRST			106	4.14		29	1.13		699	27.27		273	10.65		100	3.90		1075	41.94		221	8.62		60	2.34		2563
	SECOND			4	13.79			Excluded		6	20.69		13	44.83		1	3.45		3	10.34		1	3.45		1	3.45		29
		TOTAL		110	4.29					705	27.51		286	11.16		101	3.94		1078	42.06		222	8.66		61	2.38		2563
	THIRD			14	22.95					19	31.15		2	3.28		4	6.56		9	14.75		13	21.31			Excluded		61
		TOTAL		124	4.84					724	28.25		288	11.24		105	4.10		1087	42.41		235	9.17					2563
	FOURTH				Excluded					51	41.13		24	19.35		33	26.61		10	8.06		6	4.84					124
		TOTAL								775	30.24		312	12.17		138	5.38		1097	42.80		241	9.40					2563
	FIFTH									36	26.09		49	35.51			Excluded		30	21.74		23	16.67					138
		TOTAL								811	31.64		361	14.09					1127	43.97		264	10.30					2563
	SIXTH									39	14.77		152	57.58					73	27.65			Excluded					264
		TOTAL								850	33.16		513	20.02					1200	46.82								2563
	SEVENTH									138	26.90			Excluded					375	73.10								513
		TOTAL								988	38.55								1575	61.45								2563
																			Elected									
																												
Wollongong Central                                             																												
	FIRST			51	5.00		16	1.57		246	24.12		69	6.76		40	3.92		520	50.98		59	5.78		19	1.86		1020
	SECOND			5	31.25			Excluded		4	25.00		2	12.50		2	12.50		2	12.50		1	6.25		0	0.00		16
		TOTAL		56	5.49					250	24.51		71	6.96		42	4.12		522	51.18		60	5.88		19	1.86		1020
	THIRD			4	21.05					6	31.58		0	0.00		2	10.53		4	21.05		3	15.79			Excluded		19
		TOTAL		60	5.88					256	25.10		71	6.96		44	4.31		526	51.57		63	6.18					1020
	FOURTH				Excluded					28	46.67		8	13.33		9	15.00		12	20.00		3	5.00					60
		TOTAL								284	27.84		79	7.75		53	5.20		538	52.75		66	6.47					1020
	FIFTH									18	33.96		18	33.96			Excluded		9	16.98		8	15.09					53
		TOTAL								302	29.61		97	9.51					547	53.63		74	7.25					1020
	SIXTH									8	10.81		40	54.05					26	35.14			Excluded					74
		TOTAL								310	30.39		137	13.43					573	56.18								1020
	SEVENTH									50	36.50			Excluded					87	63.50								137
		TOTAL								360	35.29								660	64.71								1020
																			Elected									
																												
Wollongong Hospital                                            																												
	FIRST			15	5.42		8	2.89		56	20.22		27	9.75		3	1.08		152	54.87		13	4.69		3	1.08		277
	SECOND			1	12.50			Excluded		1	12.50		3	37.50		1	12.50		0	0.00		1	12.50		1	12.50		8
		TOTAL		16	5.78					57	20.58		30	10.83		4	1.44		152	54.87		14	5.05		4	1.44		277
	THIRD			0	0.00					1	25.00		0	0.00		1	25.00		2	50.00		0	0.00			Excluded		4
		TOTAL		16	5.78					58	20.94		30	10.83		5	1.81		154	55.60		14	5.05					277
	FOURTH				Excluded					8	50.00		2	12.50		3	18.75		2	12.50		1	6.25					16
		TOTAL								66	23.83		32	11.55		8	2.89		156	56.32		15	5.42					277
	FIFTH									0	0.00		2	25.00			Excluded		4	50.00		2	25.00					8
		TOTAL								66	23.83		34	12.27					160	57.76		17	6.14					277
	SIXTH									1	5.88		12	70.59					4	23.53			Excluded					17
		TOTAL								67	24.19		46	16.61					164	59.21								277
	SEVENTH									14	30.43			Excluded					32	69.57								46
		TOTAL								81	29.24								196	70.76								277
																			Elected									
																												
Wollongong West                                                																												
	FIRST			56	3.58		19	1.21		429	27.39		97	6.19		91	5.81		685	43.74		136	8.68		53	3.38		1566
	SECOND			5	26.32			Excluded		2	10.53		3	15.79		1	5.26		5	26.32		2	10.53		1	5.26		19
		TOTAL		61	3.90					431	27.52		100	6.39		92	5.87		690	44.06		138	8.81		54	3.45		1566
	THIRD			14	25.93					12	22.22		4	7.41		5	9.26		9	16.67		10	18.52			Excluded		54
		TOTAL		75	4.79					443	28.29		104	6.64		97	6.19		699	44.64		148	9.45					1566
	FOURTH				Excluded					26	34.67		8	10.67		19	25.33		14	18.67		8	10.67					75
		TOTAL								469	29.95		112	7.15		116	7.41		713	45.53		156	9.96					1566
	FIFTH									40	34.48		49	42.24			Excluded		13	11.21		14	12.07					116
		TOTAL								509	32.50		161	10.28					726	46.36		170	10.86					1566
	SIXTH									37	21.76		90	52.94					43	25.29			Excluded					170
		TOTAL								546	34.87		251	16.03					769	49.11								1566
	SEVENTH									82	32.67			Excluded					169	67.33								251
		TOTAL								628	40.10								938	59.90								1566
																			Elected									
																												
Wombarra                                                       																												
	FIRST			17	6.16		3	1.09		58	21.01		44	15.94		9	3.26		122	44.20		23	8.33		0	0.00		276
	SECOND			0	0.00			Excluded		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		1	33.33		3
		TOTAL		17	6.16					58	21.01		45	16.30		9	3.26		123	44.57		23	8.33		1	0.36		276
	THIRD			0	0.00					0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		17	6.16					58	21.01		46	16.67		9	3.26		123	44.57		23	8.33					276
	FOURTH				Excluded					7	41.18		3	17.65		4	23.53		3	17.65		0	0.00					17
		TOTAL								65	23.55		49	17.75		13	4.71		126	45.65		23	8.33					276
	FIFTH									1	7.69		4	30.77			Excluded		2	15.38		6	46.15					13
		TOTAL								66	23.91		53	19.20					128	46.38		29	10.51					276
	SIXTH									3	10.34		12	41.38					14	48.28			Excluded					29
		TOTAL								69	25.00		65	23.55					142	51.45								276
	SEVENTH									17	26.15			Excluded					48	73.85								65
		TOTAL								86	31.16								190	68.84								276
																			Elected									
																												
Woonona                                                        																												
	FIRST			65	4.46		11	0.75		366	25.09		103	7.06		113	7.75		634	43.45		146	10.01		21	1.44		1459
	SECOND			3	27.27			Excluded		1	9.09		0	0.00		1	9.09		4	36.36		0	0.00		2	18.18		11
		TOTAL		68	4.66					367	25.15		103	7.06		114	7.81		638	43.73		146	10.01		23	1.58		1459
	THIRD			3	13.04					12	52.17		1	4.35		3	13.04		2	8.70		2	8.70			Excluded		23
		TOTAL		71	4.87					379	25.98		104	7.13		117	8.02		640	43.87		148	10.14					1459
	FOURTH				Excluded					30	42.25		8	11.27		9	12.68		19	26.76		5	7.04					71
		TOTAL								409	28.03		112	7.68		126	8.64		659	45.17		153	10.49					1459
	FIFTH									15	11.90		53	42.06			Excluded		26	20.63		32	25.40					126
		TOTAL								424	29.06		165	11.31					685	46.95		185	12.68					1459
	SIXTH									24	12.97		118	63.78					43	23.24			Excluded					185
		TOTAL								448	30.71		283	19.40					728	49.90								1459
	SEVENTH									89	31.45			Excluded					194	68.55								283
		TOTAL								537	36.81								922	63.19								1459
																			Elected									
																												
Woonona Central                                                																												
	FIRST			64	4.59		17	1.22		328	23.55		96	6.89		132	9.48		660	47.38		69	4.95		27	1.94		1393
	SECOND			4	23.53			Excluded		0	0.00		3	17.65		2	11.76		7	41.18		0	0.00		1	5.88		17
		TOTAL		68	4.88					328	23.55		99	7.11		134	9.62		667	47.88		69	4.95		28	2.01		1393
	THIRD			2	7.14					12	42.86		3	10.71		2	7.14		3	10.71		6	21.43			Excluded		28
		TOTAL		70	5.03					340	24.41		102	7.32		136	9.76		670	48.10		75	5.38					1393
	FOURTH				Excluded					20	28.57		8	11.43		17	24.29		18	25.71		7	10.00					70
		TOTAL								360	25.84		110	7.90		153	10.98		688	49.39		82	5.89					1393
	FIFTH									31	20.26		70	45.75			Excluded		33	21.57		19	12.42					153
		TOTAL								391	28.07		180	12.92					721	51.76		101	7.25					1393
	SIXTH									11	10.89		43	42.57					47	46.53			Excluded					101
		TOTAL								402	28.86		223	16.01					768	55.13								1393
	SEVENTH									67	30.04			Excluded					156	69.96								223
		TOTAL								469	33.67								924	66.33								1393
																			Elected									
																												
Woonona East                                                   																												
	FIRST			71	3.80		16	0.86		501	26.85		89	4.77		109	5.84		924	49.52		116	6.22		40	2.14		1866
	SECOND			3	18.75			Excluded		1	6.25		5	31.25		2	12.50		4	25.00		1	6.25		0	0.00		16
		TOTAL		74	3.97					502	26.90		94	5.04		111	5.95		928	49.73		117	6.27		40	2.14		1866
	THIRD			12	30.00					11	27.50		3	7.50		3	7.50		6	15.00		5	12.50			Excluded		40
		TOTAL		86	4.61					513	27.49		97	5.20		114	6.11		934	50.05		122	6.54					1866
	FOURTH				Excluded					28	32.56		18	20.93		18	20.93		17	19.77		5	5.81					86
		TOTAL								541	28.99		115	6.16		132	7.07		951	50.96		127	6.81					1866
	FIFTH									40	30.30		48	36.36			Excluded		28	21.21		16	12.12					132
		TOTAL								581	31.14		163	8.74					979	52.47		143	7.66					1866
	SIXTH									18	12.59		92	64.34					33	23.08			Excluded					143
		TOTAL								599	32.10		255	13.67					1012	54.23								1866
	SEVENTH									85	33.33			Excluded					170	66.67								255
		TOTAL								684	36.66								1182	63.34								1866
																			Elected									
																												
Special Hospital Team 1                                        																												
	FIRST			5	3.91		1	0.78		38	29.69		1	0.78		4	3.13		76	59.38		3	2.34		0	0.00		128
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		6	4.69					38	29.69		1	0.78		4	3.13		76	59.38		3	2.34		0	0.00		128
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		6	4.69					38	29.69		1	0.78		4	3.13		76	59.38		3	2.34					128
	FOURTH				Excluded					4	66.67		1	16.67		0	0.00		1	16.67		0	0.00					6
		TOTAL								42	32.81		2	1.56		4	3.13		77	60.16		3	2.34					128
	FIFTH									1	25.00		1	25.00			Excluded		1	25.00		1	25.00					4
		TOTAL								43	33.59		3	2.34					78	60.94		4	3.13					128
	SIXTH									1	25.00		1	25.00					2	50.00			Excluded					4
		TOTAL								44	34.38		4	3.13					80	62.50								128
	SEVENTH									2	50.00			Excluded					2	50.00								4
		TOTAL								46	35.94								82	64.06								128
																			Elected									
																												
Special Hospital Team 2                                        																												
	FIRST			2	3.70		2	3.70		24	44.44		0	0.00		2	3.70		22	40.74		2	3.70		0	0.00		54
	SECOND			0	0.00			Excluded		0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		2	3.70					24	44.44		1	1.85		2	3.70		23	42.59		2	3.70		0	0.00		54
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		2	3.70					24	44.44		1	1.85		2	3.70		23	42.59		2	3.70					54
	FOURTH				Excluded					2	100.00		0	0.00		0	0.00		0	0.00		0	0.00					2
		TOTAL								26	48.15		1	1.85		2	3.70		23	42.59		2	3.70					54
	FIFTH									1	50.00		1	50.00			Excluded		0	0.00		0	0.00					2
		TOTAL								27	50.00		2	3.70					23	42.59		2	3.70					54
	SIXTH									1	50.00		0	0.00					1	50.00			Excluded					2
		TOTAL								28	51.85		2	3.70					24	44.44								54
	SEVENTH									1	50.00			Excluded					1	50.00								2
		TOTAL								29	53.70								25	46.30								54
																			Elected									
																												
ABSENT																												
	FIRST			220	5.59		62	1.57		1101	27.95		408	10.36		178	4.52		1550	39.35		317	8.05		103	2.61		3939
	SECOND			14	22.58			Excluded		16	25.81		11	17.74		7	11.29		13	20.97		0	0.00		1	1.61		62
		TOTAL		234	5.94					1117	28.36		419	10.64		185	4.70		1563	39.68		317	8.05		104	2.64		3939
	THIRD			12	11.54					40	38.46		6	5.77		10	9.62		16	15.38		20	19.23			Excluded		104
		TOTAL		246	6.25					1157	29.37		425	10.79		195	4.95		1579	40.09		337	8.56					3939
	FOURTH				Excluded					104	42.28		37	15.04		40	16.26		45	18.29		20	8.13					246
		TOTAL								1261	32.01		462	11.73		235	5.97		1624	41.23		357	9.06					3939
	FIFTH									59	25.11		62	26.38			Excluded		64	27.23		50	21.28					235
		TOTAL								1320	33.51		524	13.30					1688	42.85		407	10.33					3939
	SIXTH									73	17.94		167	41.03					167	41.03			Excluded					407
		TOTAL								1393	35.36		691	17.54					1855	47.09								3939
	SEVENTH									217	31.40			Excluded					474	68.60								691
		TOTAL								1610	40.87								2329	59.13								3939
																			Elected									
																												
POSTAL																												
	FIRST			187	6.13		34	1.12		1058	34.70		124	4.07		124	4.07		1316	43.16		148	4.85		58	1.90		3049
	SECOND			4	11.76			Excluded		4	11.76		6	17.65		7	20.59		11	32.35		1	2.94		1	2.94		34
		TOTAL		191	6.26					1062	34.83		130	4.26		131	4.30		1327	43.52		149	4.89		59	1.94		3049
	THIRD			7	11.86					30	50.85		2	3.39		5	8.47		7	11.86		8	13.56			Excluded		59
