House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
Hughes																							
				HEEMSTRA			VALE			RYAN			OZ			VAN DE WEG			HAWKINS				
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.32		193	61.27					6	1.90					115	36.51		315	
	FOURTH			1	16.67		3	50.00						Excluded					2	33.33		6	
		TOTAL		2	0.63		196	62.22											117	37.14		315	
	FIFTH				Excluded		2	100.00											0	0.00		2	
		TOTAL					198	62.86											117	37.14		315	
							Elected																
																							
ABSENT																							
	FIRST			371	6.78		2774	50.73		152	2.78		285	5.21		243	4.44		1643	30.05		5468	
	SECOND			12	7.89		97	63.82			Excluded		13	8.55		10	6.58		20	13.16		152	
		TOTAL		383	7.00		2871	52.51					298	5.45		253	4.63		1663	30.41		5468	
	THIRD			103	40.71		49	19.37					18	7.11			Excluded		83	32.81		253	
		TOTAL		486	8.89		2920	53.40					316	5.78					1746	31.93		5468	
	FOURTH			83	26.27		137	43.35						Excluded					96	30.38		316	
		TOTAL		569	10.41		3057	55.91											1842	33.69		5468	
	FIFTH				Excluded		246	43.23											323	56.77		569	
		TOTAL					3303	60.41											2165	39.59		5468	
							Elected																
																							
POSTAL																							
	FIRST			72	2.64		1652	60.60		37	1.36		142	5.21		76	2.79		747	27.40		2726	
	SECOND			1	2.70		29	78.38			Excluded		4	10.81		1	2.70		2	5.41		37	
		TOTAL		73	2.68		1681	61.67					146	5.36		77	2.82		749	27.48		2726	
	THIRD			23	29.87		21	27.27					3	3.90			Excluded		30	38.96		77	
		TOTAL		96	3.52		1702	62.44					149	5.47					779	28.58		2726	
	FOURTH			32	21.48		75	50.34						Excluded					42	28.19		149	
		TOTAL		128	4.70		1777	65.19											821	30.12		2726	
	FIFTH				Excluded		53	41.41											75	58.59		128	
		TOTAL					1830	67.13											896	32.87		2726	
							Elected																
																							
PRE POLL																							
	FIRST			152	3.95		2149	55.88		64	1.66		244	6.34		145	3.77		1092	28.39		3846	
	SECOND			2	3.13		35	54.69			Excluded		10	15.63		8	12.50		9	14.06		64	
		TOTAL		154	4.00		2184	56.79					254	6.60		153	3.98		1101	28.63		3846	
	THIRD			57	37.25		37	24.18					9	5.88			Excluded		50	32.68		153	
		TOTAL		211	5.49		2221	57.75					263	6.84					1151	29.93		3846	
	FOURTH			83	31.56		110	41.83						Excluded					70	26.62		263	
		TOTAL		294	7.64		2331	60.61											1221	31.75		3846	
	FIFTH				Excluded		97	32.99											197	67.01		294	
		TOTAL					2428	63.13											1418	36.87		3846	
							Elected																
																							
PROVISIONAL																							
	FIRST			22	6.75		170	52.15		5	1.53		18	5.52		11	3.37		100	30.67		326	
	SECOND			1	20.00		0	0.00			Excluded		2	40.00		1	20.00		1	20.00		5	
		TOTAL		23	7.06		170	52.15					20	6.13		12	3.68		101	30.98		326	
	THIRD			4	33.33		2	16.67					1	8.33			Excluded		5	41.67		12	
		TOTAL		27	8.28		172	52.76					21	6.44					106	32.52		326	
	FOURTH			7	33.33		9	42.86						Excluded					5	23.81		21	
		TOTAL		34	10.43		181	55.52											111	34.05		326	
	FIFTH				Excluded		14	41.18											20	58.82		34	
		TOTAL					195	59.82											131	40.18		326	
							Elected																
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
