House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Mackellar																										
				PAPE			BISHOP			CUTHBERTSON			DIMOND			MOODY			CARPENTIER			MAY				
		TOTAL		27	3.92		474	68.90					32	4.65					155	22.53					688	
	FIFTH				Excluded		10	37.04					12	44.44					5	18.52					27	
		TOTAL					484	70.35					44	6.40					160	23.26					688	
	SIXTH						16	36.36						Excluded					28	63.64					44	
		TOTAL					500	72.67											188	27.33					688	
							Elected																			
																										
Scotland Island                                                																										
	FIRST			54	22.59		69	28.87		6	2.51		62	25.94		1	0.42		45	18.83		2	0.84		239	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		54	22.59		70	29.29		6	2.51		62	25.94					45	18.83		2	0.84		239	
	THIRD			1	50.00		1	50.00		0	0.00		0	0.00					0	0.00			Excluded		2	
		TOTAL		55	23.01		71	29.71		6	2.51		62	25.94					45	18.83					239	
	FOURTH			3	50.00		3	50.00			Excluded		0	0.00					0	0.00					6	
		TOTAL		58	24.27		74	30.96					62	25.94					45	18.83					239	
	FIFTH				Excluded		4	6.90					40	68.97					14	24.14					58	
		TOTAL					78	32.64					102	42.68					59	24.69					239	
	SIXTH						14	13.73						Excluded					88	86.27					102	
		TOTAL					92	38.49											147	61.51					239	
							Elected																			
																										
Sydney (Mackellar)                                             																										
	FIRST			13	13.00		57	57.00		2	2.00		7	7.00		2	2.00		19	19.00		0	0.00		100	
	SECOND			1	50.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		14	14.00		58	58.00		2	2.00		7	7.00					19	19.00		0	0.00		100	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded		0	
		TOTAL		14	14.00		58	58.00		2	2.00		7	7.00					19	19.00					100	
	FOURTH			2	100.00		0	0.00			Excluded		0	0.00					0	0.00					2	
		TOTAL		16	16.00		58	58.00					7	7.00					19	19.00					100	
	FIFTH				Excluded		3	18.75					9	56.25					4	25.00					16	
		TOTAL					61	61.00					16	16.00					23	23.00					100	
	SIXTH						5	31.25						Excluded					11	68.75					16	
		TOTAL					66	66.00											34	34.00					100	
							Elected																			
																										
Terrey Hills                                                   																										
	FIRST			129	6.07		1361	64.05		83	3.91		196	9.22		24	1.13		307	14.45		25	1.18		2125	
	SECOND			1	4.17		5	20.83		7	29.17		4	16.67			Excluded		3	12.50		4	16.67		24	
		TOTAL		130	6.12		1366	64.28		90	4.24		200	9.41					310	14.59		29	1.36		2125	
	THIRD			4	13.79		8	27.59		3	10.34		8	27.59					6	20.69			Excluded		29	
		TOTAL		134	6.31		1374	64.66		93	4.38		208	9.79					316	14.87					2125	
	FOURTH			13	13.98		44	47.31			Excluded		24	25.81					12	12.90					93	
		TOTAL		147	6.92		1418	66.73					232	10.92					328	15.44					2125	
	FIFTH				Excluded		37	25.17					85	57.82					25	17.01					147	
		TOTAL					1455	68.47					317	14.92					353	16.61					2125	
	SIXTH						117	36.91						Excluded					200	63.09					317	
		TOTAL					1572	73.98											553	26.02					2125	
							Elected																			
																										
Warriewood                                                     																										
	FIRST			141	8.75		845	52.45		62	3.85		177	10.99		25	1.55		342	21.23		19	1.18		1611	
	SECOND			1	4.00		12	48.00		3	12.00		2	8.00			Excluded		2	8.00		5	20.00		25	
		TOTAL		142	8.81		857	53.20		65	4.03		179	11.11					344	21.35		24	1.49		1611	
	THIRD			5	20.83		4	16.67		2	8.33		6	25.00					7	29.17			Excluded		24	
		TOTAL		147	9.12		861	53.45		67	4.16		185	11.48					351	21.79					1611	
	FOURTH			13	19.40		31	46.27			Excluded		10	14.93					13	19.40					67	
		TOTAL		160	9.93		892	55.37					195	12.10					364	22.59					1611	
	FIFTH				Excluded		37	23.13					89	55.63					34	21.25					160	
		TOTAL					929	57.67					284	17.63					398	24.71					1611	
	SIXTH						84	29.58						Excluded					200	70.42					284	
		TOTAL					1013	62.88											598	37.12					1611	
							Elected																			
																										
Wheeler Heights                                                																										
	FIRST			140	6.85		1150	56.29		60	2.94		197	9.64		30	1.47		430	21.05		36	1.76		2043	
	SECOND			3	10.00		8	26.67		5	16.67		3	10.00			Excluded		5	16.67		6	20.00		30	
		TOTAL		143	7.00		1158	56.68		65	3.18		200	9.79					435	21.29		42	2.06		2043	
	THIRD			14	33.33		16	38.10		3	7.14		3	7.14					6	14.29			Excluded		42	
		TOTAL		157	7.68		1174	57.46		68	3.33		203	9.94					441	21.59					2043	
	FOURTH			17	25.00		29	42.65			Excluded		8	11.76					14	20.59					68	
		TOTAL		174	8.52		1203	58.88					211	10.33					455	22.27					2043	
	FIFTH				Excluded		40	22.99					101	58.05					33	18.97					174	
		TOTAL					1243	60.84					312	15.27					488	23.89					2043	
	SIXTH						95	30.45						Excluded					217	69.55					312	
		TOTAL					1338	65.49											705	34.51					2043	
							Elected																			
																										
Special Hospital Team 1                                        																										
	FIRST			11	8.15		78	57.78		5	3.70		8	5.93		1	0.74		30	22.22		2	1.48		135	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		11	8.15		78	57.78		5	3.70		8	5.93					31	22.96		2	1.48		135	
	THIRD			0	0.00		1	50.00		0	0.00		0	0.00					1	50.00			Excluded		2	
		TOTAL		11	8.15		79	58.52		5	3.70		8	5.93					32	23.70					135	
	FOURTH			2	40.00		2	40.00			Excluded		0	0.00					1	20.00					5	
		TOTAL		13	9.63		81	60.00					8	5.93					33	24.44					135	
	FIFTH				Excluded		7	53.85					4	30.77					2	15.38					13	
		TOTAL					88	65.19					12	8.89					35	25.93					135	
	SIXTH						6	50.00						Excluded					6	50.00					12	
		TOTAL					94	69.63											41	30.37					135	
							Elected																			
																										
Special Hospital Team 2                                        																										
	FIRST			9	4.11		139	63.47		7	3.20		7	3.20		5	2.28		51	23.29		1	0.46		219	
	SECOND			2	40.00		1	20.00		0	0.00		1	20.00			Excluded		0	0.00		1	20.00		5	
		TOTAL		11	5.02		140	63.93		7	3.20		8	3.65					51	23.29		2	0.91		219	
	THIRD			1	50.00		1	50.00		0	0.00		0	0.00					0	0.00			Excluded		2	
		TOTAL		12	5.48		141	64.38		7	3.20		8	3.65					51	23.29					219	
	FOURTH			1	14.29		3	42.86			Excluded		2	28.57					1	14.29					7	
		TOTAL		13	5.94		144	65.75					10	4.57					52	23.74					219	
	FIFTH				Excluded		5	38.46					6	46.15					2	15.38					13	
		TOTAL					149	68.04					16	7.31					54	24.66					219	
	SIXTH						5	31.25						Excluded					11	68.75					16	
		TOTAL					154	70.32											65	29.68					219	
							Elected																			
																										
ABSENT																										
	FIRST			620	11.73		2764	52.31		171	3.24		535	10.12		117	2.21		934	17.68		143	2.71		5284	
	SECOND			22	18.80		32	27.35		20	17.09		10	8.55			Excluded		18	15.38		15	12.82		117	
		TOTAL		642	12.15		2796	52.91		191	3.61		545	10.31					952	18.02		158	2.99		5284	
	THIRD			40	25.32		38	24.05		9	5.70		30	18.99					41	25.95			Excluded		158	
		TOTAL		682	12.91		2834	53.63		200	3.79		575	10.88					993	18.79					5284	
	FOURTH			51	25.50		87	43.50			Excluded		28	14.00					34	17.00					200	
		TOTAL		733	13.87		2921	55.28					603	11.41					1027	19.44					5284	
	FIFTH				Excluded		181	24.69					346	47.20					206	28.10					733	
		TOTAL					3102	58.71					949	17.96					1233	23.33					5284	
	SIXTH						337	35.51						Excluded					612	64.49					949	
		TOTAL					3439	65.08											1845	34.92					5284	
							Elected																			
																										
POSTAL																										
	FIRST			87	3.96		1427	64.92		74	3.37		143	6.51		49	2.23		386	17.56		32	1.46		2198	
	SECOND			9	18.37		6	12.24		15	30.61		7	14.29			Excluded		4	8.16		8	16.33		49	
		TOTAL		96	4.37		1433	65.20		89	4.05		150	6.82					390	17.74		40	1.82		2198	
	THIRD			10	25.00		10	25.00		5	12.50		7	17.50					8	20.00			Excluded		40	
		TOTAL		106	4.82		1443	65.65		94	4.28		157	7.14					398	18.11					2198	
	FOURTH			18	19.15		40	42.55			Excluded		13	13.83					23	24.47					94	
		TOTAL		124	5.64		1483	67.47					170	7.73					421	19.15					2198	
	FIFTH				Excluded		33	26.61					60	48.39					31	25.00					124	
		TOTAL					1516	68.97					230	10.46					452	20.56					2198	
	SIXTH						74	32.17						Excluded					156	67.83					230	
		TOTAL					1590	72.34											608	27.66					2198	
							Elected																			
																										
PRE POLL																										
	FIRST			255	6.10		2503	59.84		158	3.78		436	10.42		61	1.46		702	16.78		68	1.63		4183	
	SECOND			4	6.56		13	21.31		20	32.79		7	11.48			Excluded		8	13.11		9	14.75		61	
		TOTAL		259	6.19		2516	60.15		178	4.26		443	10.59					710	16.97		77	1.84		4183	
	THIRD			17	22.08		19	24.68		10	12.99		17	22.08					14	18.18			Excluded		77	
		TOTAL		276	6.60		2535	60.60		188	4.49		460	11.00					724	17.31					4183	
	FOURTH			36	19.15		100	53.19			Excluded		32	17.02					20	10.64					188	
		TOTAL		312	7.46		2635	62.99					492	11.76					744	17.79					4183	
	FIFTH				Excluded		66	21.15					171	54.81					75	24.04					312	
		TOTAL					2701	64.57					663	15.85					819	19.58					4183	
	SIXTH						233	35.14						Excluded					430	64.86					663	
		TOTAL					2934	70.14											1249	29.86					4183	
							Elected																			
																										
PROVISIONAL																										
	FIRST			51	14.13		182	50.42		6	1.66		25	6.93		11	3.05		77	21.33		9	2.49		361	
	SECOND			3	27.27		3	27.27		1	9.09		3	27.27			Excluded		1	9.09		0	0.00		11	
		TOTAL		54	14.96		185	51.25		7	1.94		28	7.76					78	21.61		9	2.49		361	
	THIRD			3	33.33		0	0.00		1	11.11		2	22.22					3	33.33			Excluded		9	
		TOTAL		57	15.79		185	51.25		8	2.22		30	8.31					81	22.44					361	
	FOURTH			3	37.50		2	25.00			Excluded		0	0.00					3	37.50					8	
		TOTAL		60	16.62		187	51.80					30	8.31					84	23.27					361	
	FIFTH				Excluded		19	31.67					28	46.67					13	21.67					60	
		TOTAL					206	57.06					58	16.07					97	26.87					361	
	SIXTH						28	48.28						Excluded					30	51.72					58	
		TOTAL					234	64.82											127	35.18					361	
							Elected																			
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
