House of Representatives - 2001 Election: New South Wales																																								
Distribution of Preferences 																																								
By Polling Place																																								
																																								
Farrer																																								
				SOBEY			WEYRICH			BOTT			WILKINSON			WATSON			KREUTZBERGER			MILLEN			LEY			CORBETT			PATERSON			TAYLOR			GIBSON			
	ELEVENTH									205	80.08												Excluded		51	19.92														256
		TOTAL								699	70.04														299	29.96														998
																									Elected															
																																								
Corowa South                                                   																																								
	FIRST			6	1.04		1	0.17		252	43.83		19	3.30		3	0.52		6	1.04		132	22.96		143	24.87		1	0.17		8	1.39		3	0.52		1	0.17		575
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		7	1.22		1	0.17		252	43.83		19	3.30		3	0.52		6	1.04		132	22.96		143	24.87					8	1.39		3	0.52		1	0.17		575
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		1
		TOTAL		7	1.22		1	0.17		252	43.83		19	3.30		4	0.70		6	1.04		132	22.96		143	24.87					8	1.39		3	0.52					575
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		7	1.22					252	43.83		19	3.30		5	0.87		6	1.04		132	22.96		143	24.87					8	1.39		3	0.52					575
	FIFTH			1	16.67					1	16.67		0	0.00		2	33.33			Excluded		1	16.67		0	0.00					0	0.00		1	16.67					6
		TOTAL		8	1.39					253	44.00		19	3.30		7	1.22					133	23.13		143	24.87					8	1.39		4	0.70					575
	SIXTH			1	14.29					1	14.29		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		5	71.43					7
		TOTAL		9	1.57					254	44.17		19	3.30								133	23.13		143	24.87					8	1.39		9	1.57					575
	SEVENTH			4	50.00					4	50.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					8
		TOTAL		13	2.26					258	44.87		19	3.30								133	23.13		143	24.87								9	1.57					575
	EIGHTH			1	11.11					2	22.22		1	11.11								0	0.00		5	55.56									Excluded					9
		TOTAL		14	2.43					260	45.22		20	3.48								133	23.13		148	25.74														575
	NINTH				Excluded					7	50.00		2	14.29								3	21.43		2	14.29														14
		TOTAL								267	46.43		22	3.83								136	23.65		150	26.09														575
	TENTH									8	36.36			Excluded								5	22.73		9	40.91														22
		TOTAL								275	47.83											141	24.52		159	27.65														575
	ELEVENTH									123	87.23												Excluded		18	12.77														141
		TOTAL								398	69.22														177	30.78														575
																									Elected															
																																								
Culcairn                                                       																																								
	FIRST			25	2.92		4	0.47		178	20.79		41	4.79		12	1.40		8	0.93		193	22.55		355	41.47		4	0.47		19	2.22		15	1.75		2	0.23		856
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	50.00		0	0.00		1	25.00		1	25.00			Excluded		0	0.00		0	0.00		0	0.00		4
		TOTAL		25	2.92		4	0.47		178	20.79		41	4.79		14	1.64		8	0.93		194	22.66		356	41.59					19	2.22		15	1.75		2	0.23		856
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	50.00		1	50.00			Excluded		2
		TOTAL		25	2.92		4	0.47		178	20.79		41	4.79		14	1.64		8	0.93		194	22.66		356	41.59					20	2.34		16	1.87					856
	FOURTH			1	25.00			Excluded		1	25.00		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					4
		TOTAL		26	3.04					179	20.91		41	4.79		16	1.87		8	0.93		194	22.66		356	41.59					20	2.34		16	1.87					856
	FIFTH			1	12.50					3	37.50		1	12.50		0	0.00			Excluded		0	0.00		2	25.00					0	0.00		1	12.50					8
		TOTAL		27	3.15					182	21.26		42	4.91		16	1.87					194	22.66		358	41.82					20	2.34		17	1.99					856
	SIXTH			0	0.00					4	25.00		3	18.75			Excluded					1	6.25		2	12.50					1	6.25		5	31.25					16
		TOTAL		27	3.15					186	21.73		45	5.26								195	22.78		360	42.06					21	2.45		22	2.57					856
	SEVENTH			5	23.81					2	9.52		0	0.00								4	19.05		3	14.29						Excluded		7	33.33					21
		TOTAL		32	3.74					188	21.96		45	5.26								199	23.25		363	42.41								29	3.39					856
	EIGHTH			2	6.90					5	17.24		2	6.90								6	20.69		14	48.28									Excluded					29
		TOTAL		34	3.97					193	22.55		47	5.49								205	23.95		377	44.04														856
	NINTH				Excluded					17	50.00		5	14.71								9	26.47		3	8.82														34
		TOTAL								210	24.53		52	6.07								214	25.00		380	44.39														856
	TENTH									24	46.15			Excluded								11	21.15		17	32.69														52
		TOTAL								234	27.34											225	26.29		397	46.38														856
	ELEVENTH									189	84.00												Excluded		36	16.00														225
		TOTAL								423	49.42														433	50.58														856
																									Elected															
																																								
Curlwaa                                                        																																								
	FIRST			8	4.40		1	0.55		72	39.56		33	18.13		7	3.85		0	0.00		13	7.14		42	23.08		0	0.00		3	1.65		1	0.55		2	1.10		182
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		8	4.40		1	0.55		72	39.56		33	18.13		7	3.85		0	0.00		13	7.14		42	23.08					3	1.65		1	0.55		2	1.10		182
	THIRD			2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		2
		TOTAL		10	5.49		1	0.55		72	39.56		33	18.13		7	3.85		0	0.00		13	7.14		42	23.08					3	1.65		1	0.55					182
	FOURTH			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		11	6.04					72	39.56		33	18.13		7	3.85		0	0.00		13	7.14		42	23.08					3	1.65		1	0.55					182
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		11	6.04					72	39.56		33	18.13		7	3.85					13	7.14		42	23.08					3	1.65		1	0.55					182
	SIXTH			0	0.00					0	0.00		2	28.57			Excluded					0	0.00		3	42.86					0	0.00		2	28.57					7
		TOTAL		11	6.04					72	39.56		35	19.23								13	7.14		45	24.73					3	1.65		3	1.65					182
	SEVENTH			2	66.67					0	0.00		1	33.33								0	0.00		0	0.00						Excluded		0	0.00					3
		TOTAL		13	7.14					72	39.56		36	19.78								13	7.14		45	24.73								3	1.65					182
	EIGHTH			0	0.00					2	66.67		0	0.00								0	0.00		1	33.33									Excluded					3
		TOTAL		13	7.14					74	40.66		36	19.78								13	7.14		46	25.27														182
	NINTH				Excluded					9	69.23		0	0.00								3	23.08		1	7.69														13
		TOTAL								83	45.60		36	19.78								16	8.79		47	25.82														182
	TENTH									7	19.44			Excluded								5	13.89		24	66.67														36
		TOTAL								90	49.45											21	11.54		71	39.01														182
	ELEVENTH									15	71.43												Excluded		6	28.57														21
		TOTAL								105	57.69														77	42.31														182
																									Elected															
																																								
Dareton                                                        																																								
	FIRST			10	1.55		1	0.15		195	30.19		149	23.07		3	0.46		1	0.15		121	18.73		149	23.07		1	0.15		3	0.46		6	0.93		7	1.08		646
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		10	1.55		1	0.15		195	30.19		149	23.07		3	0.46		1	0.15		121	18.73		149	23.07					3	0.46		7	1.08		7	1.08		646
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	14.29					1	14.29		5	71.43			Excluded		7
		TOTAL		10	1.55		1	0.15		195	30.19		149	23.07		3	0.46		1	0.15		121	18.73		150	23.22					4	0.62		12	1.86					646
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		10	1.55					195	30.19		149	23.07		4	0.62		1	0.15		121	18.73		150	23.22					4	0.62		12	1.86					646
	FIFTH			0	0.00					1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		10	1.55					196	30.34		149	23.07		4	0.62					121	18.73		150	23.22					4	0.62		12	1.86					646
	SIXTH			0	0.00					1	25.00		0	0.00			Excluded					1	25.00		1	25.00					0	0.00		1	25.00					4
		TOTAL		10	1.55					197	30.50		149	23.07								122	18.89		151	23.37					4	0.62		13	2.01					646
	SEVENTH			3	75.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		1	25.00					4
		TOTAL		13	2.01					197	30.50		149	23.07								122	18.89		151	23.37								14	2.17					646
	EIGHTH			3	21.43					2	14.29		5	35.71								1	7.14		3	21.43									Excluded					14
		TOTAL		16	2.48					199	30.80		154	23.84								123	19.04		154	23.84														646
	NINTH				Excluded					13	81.25		2	12.50								1	6.25		0	0.00														16
		TOTAL								212	32.82		156	24.15								124	19.20		154	23.84														646
	TENTH									30	19.23			Excluded								15	9.62		111	71.15														156
		TOTAL								242	37.46											139	21.52		265	41.02														646
	ELEVENTH									95	68.35												Excluded		44	31.65														139
		TOTAL								337	52.17														309	47.83														646
																									Elected															
																																								
Daysdale                                                       																																								
	FIRST			0	0.00		0	0.00		59	62.77		5	5.32		1	1.06		3	3.19		6	6.38		19	20.21		0	0.00		1	1.06		0	0.00		0	0.00		94
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00		59	62.77		5	5.32		1	1.06		3	3.19		6	6.38		19	20.21					1	1.06		0	0.00		0	0.00		94
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		0	0.00		0	0.00		59	62.77		5	5.32		1	1.06		3	3.19		6	6.38		19	20.21					1	1.06		0	0.00					94
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					59	62.77		5	5.32		1	1.06		3	3.19		6	6.38		19	20.21					1	1.06		0	0.00					94
	FIFTH			0	0.00					1	33.33		2	66.67		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					3
		TOTAL		0	0.00					60	63.83		7	7.45		1	1.06					6	6.38		19	20.21					1	1.06		0	0.00					94
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		1	100.00					1
		TOTAL		0	0.00					60	63.83		7	7.45								6	6.38		19	20.21					1	1.06		1	1.06					94
	SEVENTH			0	0.00					0	0.00		0	0.00								1	100.00		0	0.00						Excluded		0	0.00					1
		TOTAL		0	0.00					60	63.83		7	7.45								7	7.45		19	20.21								1	1.06					94
	EIGHTH			0	0.00					0	0.00		1	100.00								0	0.00		0	0.00									Excluded					1
		TOTAL		0	0.00					60	63.83		8	8.51								7	7.45		19	20.21														94
	NINTH				Excluded					0	0.00		0	0.00								0	0.00		0	0.00														0
		TOTAL								60	63.83		8	8.51								7	7.45		19	20.21														94
	TENTH									4	50.00			Excluded								1	12.50		3	37.50														8
		TOTAL								64	68.09											8	8.51		22	23.40														94
	ELEVENTH									3	37.50												Excluded		5	62.50														8
		TOTAL								67	71.28														27	28.72														94
																									Elected															
																																								
Deniliquin                                                     																																								
	FIRST			30	2.31		11	0.85		294	22.62		71	5.46		14	1.08		18	1.38		241	18.54		487	37.46		10	0.77		23	1.77		93	7.15		8	0.62		1300
	SECOND			0	0.00		2	20.00		1	10.00		3	30.00		2	20.00		0	0.00		1	10.00		0	0.00			Excluded		0	0.00		1	10.00		0	0.00		10
		TOTAL		30	2.31		13	1.00		295	22.69		74	5.69		16	1.23		18	1.38		242	18.62		487	37.46					23	1.77		94	7.23		8	0.62		1300
	THIRD			1	12.50		1	12.50		0	0.00		0	0.00		0	0.00		0	0.00		2	25.00		0	0.00					1	12.50		3	37.50			Excluded		8
		TOTAL		31	2.38		14	1.08		295	22.69		74	5.69		16	1.23		18	1.38		244	18.77		487	37.46					24	1.85		97	7.46					1300
	FOURTH			2	14.29			Excluded		1	7.14		1	7.14		3	21.43		0	0.00		2	14.29		1	7.14					1	7.14		3	21.43					14
		TOTAL		33	2.54					296	22.77		75	5.77		19	1.46		18	1.38		246	18.92		488	37.54					25	1.92		100	7.69					1300
	FIFTH			2	11.11					2	11.11		7	38.89		0	0.00			Excluded		2	11.11		2	11.11					0	0.00		3	16.67					18
		TOTAL		35	2.69					298	22.92		82	6.31		19	1.46					248	19.08		490	37.69					25	1.92		103	7.92					1300
	SIXTH			0	0.00					2	10.53		1	5.26			Excluded					3	15.79		4	21.05					1	5.26		8	42.11					19
		TOTAL		35	2.69					300	23.08		83	6.38								251	19.31		494	38.00					26	2.00		111	8.54					1300
	SEVENTH			9	34.62					1	3.85		0	0.00								7	26.92		3	11.54						Excluded		6	23.08					26
		TOTAL		44	3.38					301	23.15		83	6.38								258	19.85		497	38.23								117	9.00					1300
	EIGHTH			24	20.51					20	17.09		26	22.22								9	7.69		38	32.48									Excluded					117
		TOTAL		68	5.23					321	24.69		109	8.38								267	20.54		535	41.15														1300
	NINTH				Excluded					28	41.18		12	17.65								22	32.35		6	8.82														68
		TOTAL								349	26.85		121	9.31								289	22.23		541	41.62														1300
	TENTH									24	19.83			Excluded								33	27.27		64	52.89														121
		TOTAL								373	28.69											322	24.77		605	46.54														1300
	ELEVENTH									236	73.29												Excluded		86	26.71														322
		TOTAL								609	46.85														691	53.15														1300
																									Elected															
																																								
Deniliquin Hospital                                            																																								
	FIRST			9	2.33		2	0.52		100	25.84		15	3.88		2	0.52		4	1.03		79	20.41		142	36.69		1	0.26		6	1.55		24	6.20		3	0.78		387
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		9	2.33		3	0.78		100	25.84		15	3.88		2	0.52		4	1.03		79	20.41		142	36.69					6	1.55		24	6.20		3	0.78		387
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	100.00			Excluded		3
		TOTAL		9	2.33		3	0.78		100	25.84		15	3.88		2	0.52		4	1.03		79	20.41		142	36.69					6	1.55		27	6.98					387
	FOURTH			2	66.67			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					3
		TOTAL		11	2.84					101	26.10		15	3.88		2	0.52		4	1.03		79	20.41		142	36.69					6	1.55		27	6.98					387
	FIFTH			1	25.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	25.00					1	25.00		1	25.00					4
		TOTAL		12	3.10					101	26.10		15	3.88		2	0.52					79	20.41		143	36.95					7	1.81		28	7.24					387
	SIXTH			0	0.00					1	50.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		1	50.00					2
		TOTAL		12	3.10					102	26.36		15	3.88								79	20.41		143	36.95					7	1.81		29	7.49					387
	SEVENTH			4	57.14					0	0.00		0	0.00								1	14.29		1	14.29						Excluded		1	14.29					7
		TOTAL		16	4.13					102	26.36		15	3.88								80	20.67		144	37.21								30	7.75					387
	EIGHTH			2	6.67					6	20.00		2	6.67								4	13.33		16	53.33									Excluded					30
		TOTAL		18	4.65					108	27.91		17	4.39								84	21.71		160	41.34														387
	NINTH				Excluded					7	38.89		0	0.00								8	44.44		3	16.67														18
		TOTAL								115	29.72		17	4.39								92	23.77		163	42.12														387
	TENTH									5	29.41			Excluded								7	41.18		5	29.41														17
		TOTAL								120	31.01											99	25.58		168	43.41														387
	ELEVENTH									77	77.78												Excluded		22	22.22														99
		TOTAL								197	50.90														190	49.10														387
																									Elected															
																																								
Deniliquin North                                               																																								
	FIRST			16	1.57		10	0.98		241	23.63		73	7.16		3	0.29		8	0.78		183	17.94		407	39.90		4	0.39		12	1.18		60	5.88		3	0.29		1020
	SECOND			0	0.00		3	75.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		0	0.00		0	0.00		4
		TOTAL		16	1.57		13	1.27		241	23.63		73	7.16		3	0.29		8	0.78		183	17.94		408	40.00					12	1.18		60	5.88		3	0.29		1020
	THIRD			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00					1	33.33		0	0.00			Excluded		3
		TOTAL		17	1.67		13	1.27		241	23.63		73	7.16		3	0.29		8	0.78		184	18.04		408	40.00					13	1.27		60	5.88					1020
	FOURTH			1	7.69			Excluded		1	7.69		2	15.38		7	53.85		0	0.00		1	7.69		0	0.00					0	0.00		1	7.69					13
		TOTAL		18	1.76					242	23.73		75	7.35		10	0.98		8	0.78		185	18.14		408	40.00					13	1.27		61	5.98					1020
	FIFTH			0	0.00					0	0.00		0	0.00		1	12.50			Excluded		4	50.00		0	0.00					0	0.00		3	37.50					8
		TOTAL		18	1.76					242	23.73		75	7.35		11	1.08					189	18.53		408	40.00					13	1.27		64	6.27					1020
	SIXTH			4	36.36					1	9.09		0	0.00			Excluded					0	0.00		1	9.09					0	0.00		5	45.45					11
		TOTAL		22	2.16					243	23.82		75	7.35								189	18.53		409	40.10					13	1.27		69	6.76					1020
	SEVENTH			2	15.38					2	15.38		0	0.00								1	7.69		3	23.08						Excluded		5	38.46					13
		TOTAL		24	2.35					245	24.02		75	7.35								190	18.63		412	40.39								74	7.25					1020
	EIGHTH			8	10.81					17	22.97		19	25.68								9	12.16		21	28.38									Excluded					74
		TOTAL		32	3.14					262	25.69		94	9.22								199	19.51		433	42.45														1020
	NINTH				Excluded					18	56.25		7	21.88								7	21.88		0	0.00														32
		TOTAL								280	27.45		101	9.90								206	20.20		433	42.45														1020
	TENTH									50	49.50			Excluded								25	24.75		26	25.74														101
		TOTAL								330	32.35											231	22.65		459	45.00														1020
	ELEVENTH									167	72.29												Excluded		64	27.71														231
		TOTAL								497	48.73														523	51.27														1020
																									Elected															
																																								
Deniliquin South                                               																																								
	FIRST			8	1.10		6	0.83		142	19.56		32	4.41		1	0.14		9	1.24		136	18.73		316	43.53		2	0.28		11	1.52		57	7.85		6	0.83		726
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		2
		TOTAL		8	1.10		6	0.83		142	19.56		33	4.55		1	0.14		9	1.24		136	18.73		316	43.53					11	1.52		57	7.85		7	0.96		726
	THIRD			0	0.00		3	42.86		0	0.00		0	0.00		3	42.86		0	0.00		0	0.00		1	14.29					0	0.00		0	0.00			Excluded		7
		TOTAL		8	1.10		9	1.24		142	19.56		33	4.55		4	0.55		9	1.24		136	18.73		317	43.66					11	1.52		57	7.85					726
	FOURTH			0	0.00			Excluded		0	0.00		1	11.11		3	33.33		0	0.00		1	11.11		1	11.11					0	0.00		3	33.33					9
		TOTAL		8	1.10					142	19.56		34	4.68		7	0.96		9	1.24		137	18.87		318	43.80					11	1.52		60	8.26					726
	FIFTH			2	22.22					2	22.22		0	0.00		2	22.22			Excluded		0	0.00		0	0.00					2	22.22		1	11.11					9
		TOTAL		10	1.38					144	19.83		34	4.68		9	1.24					137	18.87		318	43.80					13	1.79		61	8.40					726
	SIXTH			0	0.00					1	11.11		3	33.33			Excluded					1	11.11		0	0.00					0	0.00		4	44.44					9
		TOTAL		10	1.38					145	19.97		37	5.10								138	19.01		318	43.80					13	1.79		65	8.95					726
	SEVENTH			1	7.69					2	15.38		3	23.08								2	15.38		1	7.69						Excluded		4	30.77					13
		TOTAL		11	1.52					147	20.25		40	5.51								140	19.28		319	43.94								69	9.50					726
	EIGHTH			5	7.25					13	18.84		17	24.64								16	23.19		18	26.09									Excluded					69
		TOTAL		16	2.20					160	22.04		57	7.85								156	21.49		337	46.42														726
	NINTH				Excluded					10	62.50		1	6.25								1	6.25		4	25.00														16
		TOTAL								170	23.42		58	7.99								157	21.63		341	46.97														726
	TENTH									17	29.31			Excluded								14	24.14		27	46.55														58
		TOTAL								187	25.76											171	23.55		368	50.69														726
	ELEVENTH									120	70.18												Excluded		51	29.82														171
		TOTAL								307	42.29														419	57.71														726
																									Elected															
																																								
Deniliquin West                                                																																								
	FIRST			32	2.39		13	0.97		279	20.81		81	6.04		11	0.82		9	0.67		272	20.28		478	35.65		7	0.52		16	1.19		131	9.77		12	0.89		1341
	SECOND			2	28.57		1	14.29		0	0.00		1	14.29		1	14.29		0	0.00		0	0.00		1	14.29			Excluded		1	14.29		0	0.00		0	0.00		7
		TOTAL		34	2.54		14	1.04		279	20.81		82	6.11		12	0.89		9	0.67		272	20.28		479	35.72					17	1.27		131	9.77		12	0.89		1341
	THIRD			0	0.00		0	0.00		2	16.67		1	8.33		1	8.33		0	0.00		1	8.33		3	25.00					2	16.67		2	16.67			Excluded		12
		TOTAL		34	2.54		14	1.04		281	20.95		83	6.19		13	0.97		9	0.67		273	20.36		482	35.94					19	1.42		133	9.92					1341
	FOURTH			3	21.43			Excluded		0	0.00		2	14.29		2	14.29		1	7.14		2	14.29		2	14.29					0	0.00		2	14.29					14
		TOTAL		37	2.76					281	20.95		85	6.34		15	1.12		10	0.75		275	20.51		484	36.09					19	1.42		135	10.07					1341
	FIFTH			0	0.00					0	0.00		1	10.00		3	30.00			Excluded		0	0.00		1	10.00					1	10.00		4	40.00					10
		TOTAL		37	2.76					281	20.95		86	6.41		18	1.34					275	20.51		485	36.17					20	1.49		139	10.37					1341
	SIXTH			2	11.11					1	5.56		5	27.78			Excluded					0	0.00		3	16.67					0	0.00		7	38.89					18
		TOTAL		39	2.91					282	21.03		91	6.79								275	20.51		488	36.39					20	1.49		146	10.89					1341
	SEVENTH			5	25.00					2	10.00		2	10.00								3	15.00		5	25.00						Excluded		3	15.00					20
		TOTAL		44	3.28					284	21.18		93	6.94								278	20.73		493	36.76								149	11.11					1341
	EIGHTH			17	11.41					34	22.82		35	23.49								22	14.77		41	27.52									Excluded					149
		TOTAL		61	4.55					318	23.71		128	9.55								300	22.37		534	39.82														1341
	NINTH				Excluded					35	57.38		6	9.84								18	29.51		2	3.28														61
		TOTAL								353	26.32		134	9.99								318	23.71		536	39.97														1341
	TENTH									41	30.60			Excluded								26	19.40		67	50.00														134
		TOTAL								394	29.38											344	25.65		603	44.97														1341
	ELEVENTH									253	73.55												Excluded		91	26.45														344
		TOTAL								647	48.25														694	51.75														1341
																									Elected															
																																								
Emery                                                          																																								
	FIRST			0	0.00		0	0.00		86	56.21		11	7.19		0	0.00		0	0.00		5	3.27		47	30.72		0	0.00		3	1.96		1	0.65		0	0.00		153
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00		86	56.21		11	7.19		0	0.00		0	0.00		5	3.27		47	30.72					3	1.96		1	0.65		0	0.00		153
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		0	0.00		0	0.00		86	56.21		11	7.19		0	0.00		0	0.00		5	3.27		47	30.72					3	1.96		1	0.65					153
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					86	56.21		11	7.19		0	0.00		0	0.00		5	3.27		47	30.72					3	1.96		1	0.65					153
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					86	56.21		11	7.19		0	0.00					5	3.27		47	30.72					3	1.96		1	0.65					153
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					86	56.21		11	7.19								5	3.27		47	30.72					3	1.96		1	0.65					153
	SEVENTH			0	0.00					0	0.00		1	33.33								0	0.00		2	66.67						Excluded		0	0.00					3
		TOTAL		0	0.00					86	56.21		12	7.84								5	3.27		49	32.03								1	0.65					153
	EIGHTH			0	0.00					0	0.00		0	0.00								1	100.00		0	0.00									Excluded					1
		TOTAL		0	0.00					86	56.21		12	7.84								6	3.92		49	32.03														153
	NINTH				Excluded					0	0.00		0	0.00								0	0.00		0	0.00														0
		TOTAL								86	56.21		12	7.84								6	3.92		49	32.03														153
	TENTH									7	58.33			Excluded								1	8.33		4	33.33														12
		TOTAL								93	60.78											7	4.58		53	34.64														153
	ELEVENTH									5	71.43												Excluded		2	28.57														7
		TOTAL								98	64.05														55	35.95														153
																									Elected															
																																								
Euston                                                         																																								
	FIRST			11	2.82		4	1.03		102	26.15		64	16.41		5	1.28		2	0.51		54	13.85		138	35.38		1	0.26		3	0.77		0	0.00		6	1.54		390
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		11	2.82		4	1.03		102	26.15		64	16.41		5	1.28		2	0.51		54	13.85		138	35.38					3	0.77		0	0.00		7	1.79		390
	THIRD			1	14.29		0	0.00		1	14.29		0	0.00		1	14.29		0	0.00		0	0.00		0	0.00					0	0.00		4	57.14			Excluded		7
		TOTAL		12	3.08		4	1.03		103	26.41		64	16.41		6	1.54		2	0.51		54	13.85		138	35.38					3	0.77		4	1.03					390
	FOURTH			1	25.00			Excluded		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	25.00					4
		TOTAL		13	3.33					103	26.41		66	16.92		6	1.54		2	0.51		54	13.85		138	35.38					3	0.77		5	1.28					390
	FIFTH			0	0.00					0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					2
		TOTAL		13	3.33					103	26.41		67	17.18		7	1.79					54	13.85		138	35.38					3	0.77		5	1.28					390
	SIXTH			0	0.00					1	14.29		1	14.29			Excluded					3	42.86		1	14.29					1	14.29		0	0.00					7
		TOTAL		13	3.33					104	26.67		68	17.44								57	14.62		139	35.64					4	1.03		5	1.28					390
	SEVENTH			0	0.00					1	25.00		0	0.00								1	25.00		2	50.00						Excluded		0	0.00					4
		TOTAL		13	3.33					105	26.92		68	17.44								58	14.87		141	36.15								5	1.28					390
	EIGHTH			0	0.00					0	0.00		0	0.00								1	20.00		4	80.00									Excluded					5
		TOTAL		13	3.33					105	26.92		68	17.44								59	15.13		145	37.18														390
	NINTH				Excluded					10	76.92		2	15.38								0	0.00		1	7.69														13
		TOTAL								115	29.49		70	17.95								59	15.13		146	37.44														390
	TENTH									29	41.43			Excluded								5	7.14		36	51.43														70
		TOTAL								144	36.92											64	16.41		182	46.67														390
	ELEVENTH									47	73.44												Excluded		17	26.56														64
		TOTAL								191	48.97														199	51.03														390
																									Elected															
																																								
Finley                                                         																																								
	FIRST			32	2.04		2	0.13		552	35.16		56	3.57		14	0.89		3	0.19		237	15.10		603	38.41		2	0.13		26	1.66		33	2.10		10	0.64		1570
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		32	2.04		2	0.13		552	35.16		56	3.57		15	0.96		3	0.19		238	15.16		603	38.41					26	1.66		33	2.10		10	0.64		1570
	THIRD			1	10.00		1	10.00		0	0.00		0	0.00		1	10.00		1	10.00		0	0.00		1	10.00					0	0.00		5	50.00			Excluded		10
		TOTAL		33	2.10		3	0.19		552	35.16		56	3.57		16	1.02		4	0.25		238	15.16		604	38.47					26	1.66		38	2.42					1570
