House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Page (82272)											
		Candidate		"FLANAGAN, Terry"		            	"CAUSLEY, Ian"		               	Total	
		"FELSCH, Arthur James (CTA)"	61	9	14.75		52	85.25		61	
		"CORKILL, John (GRN)"	113	86	76.11		27	23.89		113	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	92	35	38.04		57	61.96		92	
		Total	541	867	43.88		1109	56.12		1976	

	Grafton										
			1st Prefs	667	49.12		691	50.88		1358	
		"POLLARD-O'HARA, Kathryn (IND)"	30	20	66.67		10	33.33		30	
		"COOPER, Tom (IND)"	50	39	78.00		11	22.00		50	
		"LAMPIS, Edda ()"	3	1	33.33		2	66.67		3	
		"BEHN, Doug (IND)"	5	4	80.00		1	20.00		5	
		"JEFFREYS, Allan (DEM)"	44	29	65.91		15	34.09		44	
		"CANALES, Judy (HMP)"	22	15	68.18		7	31.82		22	
		"FELSCH, Arthur James (CTA)"	35	13	37.14		22	62.86		35	
		"CORKILL, John (GRN)"	74	56	75.68		18	24.32		74	
		"GRIFFITHS, Angela (CEC)"	2	1	50.00		1	50.00		2	
		"MATHEW, Marie (HAN)"	112	60	53.57		52	46.43		112	
		Total	377	905	52.16		830	47.84		1735	

	Grafton East										
			1st Prefs	450	43.35		588	56.65		1038	
		"POLLARD-O'HARA, Kathryn (IND)"	13	9	69.23		4	30.77		13	
		"COOPER, Tom (IND)"	27	19	70.37		8	29.63		27	
		"LAMPIS, Edda ()"	1	0	0.00		1	100.00		1	
		"BEHN, Doug (IND)"	2	0	0.00		2	100.00		2	
		"JEFFREYS, Allan (DEM)"	30	18	60.00		12	40.00		30	
		"CANALES, Judy (HMP)"	19	10	52.63		9	47.37		19	
		"FELSCH, Arthur James (CTA)"	29	8	27.59		21	72.41		29	
		"CORKILL, John (GRN)"	41	32	78.05		9	21.95		41	
		"GRIFFITHS, Angela (CEC)"	4	0	0.00		4	100.00		4	
		"MATHEW, Marie (HAN)"	74	37	50.00		37	50.00		74	
		Total	240	583	45.62		695	54.38		1278	

	Grafton Hospital										
			1st Prefs	112	49.34		115	50.66		227	
		"POLLARD-O'HARA, Kathryn (IND)"	2	1	50.00		1	50.00		2	
		"COOPER, Tom (IND)"	11	6	54.55		5	45.45		11	
		"LAMPIS, Edda ()"	1	1	100.00		0	0.00		1	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	8	4	50.00		4	50.00		8	
		"CANALES, Judy (HMP)"	8	7	87.50		1	12.50		8	
		"FELSCH, Arthur James (CTA)"	1	0	0.00		1	100.00		1	
		"CORKILL, John (GRN)"	13	10	76.92		3	23.08		13	
		"GRIFFITHS, Angela (CEC)"	1	1	100.00		0	0.00		1	
		"MATHEW, Marie (HAN)"	18	5	27.78		13	72.22		18	
		Total	64	148	50.86		143	49.14		291	

	Grafton North										
			1st Prefs	590	43.16		777	56.84		1367	
		"POLLARD-O'HARA, Kathryn (IND)"	24	16	66.67		8	33.33		24	
		"COOPER, Tom (IND)"	63	45	71.43		18	28.57		63	
		"LAMPIS, Edda ()"	2	1	50.00		1	50.00		2	
		"BEHN, Doug (IND)"	6	4	66.67		2	33.33		6	
		"JEFFREYS, Allan (DEM)"	31	21	67.74		10	32.26		31	
		"CANALES, Judy (HMP)"	20	11	55.00		9	45.00		20	
		"FELSCH, Arthur James (CTA)"	17	5	29.41		12	70.59		17	
		"CORKILL, John (GRN)"	32	22	68.75		10	31.25		32	
		"GRIFFITHS, Angela (CEC)"	3	3	100.00		0	0.00		3	
		"MATHEW, Marie (HAN)"	135	79	58.52		56	41.48		135	
		Total	333	797	46.88		903	53.12		1700	

	Grafton South										
			1st Prefs	368	48.42		392	51.58		760	
		"POLLARD-O'HARA, Kathryn (IND)"	15	9	60.00		6	40.00		15	
		"COOPER, Tom (IND)"	30	18	60.00		12	40.00		30	
		"LAMPIS, Edda ()"	2	2	100.00		0	0.00		2	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	13	6	46.15		7	53.85		13	
		"CANALES, Judy (HMP)"	21	13	61.90		8	38.10		21	
		"FELSCH, Arthur James (CTA)"	9	3	33.33		6	66.67		9	
		"CORKILL, John (GRN)"	27	22	81.48		5	18.52		27	
		"GRIFFITHS, Angela (CEC)"	1	1	100.00		0	0.00		1	
		"MATHEW, Marie (HAN)"	98	50	51.02		48	48.98		98	
		Total	216	492	50.41		484	49.59		976	

	Grevillia										
			1st Prefs	25	20.33		98	79.67		123	
		"POLLARD-O'HARA, Kathryn (IND)"	1	1	100.00		0	0.00		1	
		"COOPER, Tom (IND)"	9	7	77.78		2	22.22		9	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	0	0	0.00		0	0.00		0	
		"CANALES, Judy (HMP)"	1	1	100.00		0	0.00		1	
		"FELSCH, Arthur James (CTA)"	1	1	100.00		0	0.00		1	
		"CORKILL, John (GRN)"	5	4	80.00		1	20.00		5	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	6	5	83.33		1	16.67		6	
		Total	23	44	30.14		102	69.86		146	

	Gundurimba South										
			1st Prefs	25	26.04		71	73.96		96	
		"POLLARD-O'HARA, Kathryn (IND)"	1	1	100.00		0	0.00		1	
		"COOPER, Tom (IND)"	24	13	54.17		11	45.83		24	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	4	3	75.00		1	25.00		4	
		"CANALES, Judy (HMP)"	6	4	66.67		2	33.33		6	
		"FELSCH, Arthur James (CTA)"	5	1	20.00		4	80.00		5	
		"CORKILL, John (GRN)"	9	7	77.78		2	22.22		9	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	8	1	12.50		7	87.50		8	
		Total	58	56	36.36		98	63.64		154	

	Harwood Island										
			1st Prefs	78	41.05		112	58.95		190	
		"POLLARD-O'HARA, Kathryn (IND)"	3	3	100.00		0	0.00		3	
		"COOPER, Tom (IND)"	11	7	63.64		4	36.36		11	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	0	0.00		1	100.00		1	
		"JEFFREYS, Allan (DEM)"	1	1	100.00		0	0.00		1	
		"CANALES, Judy (HMP)"	4	3	75.00		1	25.00		4	
		"FELSCH, Arthur James (CTA)"	6	3	50.00		3	50.00		6	
		"CORKILL, John (GRN)"	13	10	76.92		3	23.08		13	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	46	21	45.65		25	54.35		46	
		Total	85	126	45.82		149	54.18		275	

	Horseshoe Creek										
			1st Prefs	31	32.63		64	67.37		95	
		"POLLARD-O'HARA, Kathryn (IND)"	2	2	100.00		0	0.00		2	
		"COOPER, Tom (IND)"	28	22	78.57		6	21.43		28	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	4	1	25.00		3	75.00		4	
		"JEFFREYS, Allan (DEM)"	5	4	80.00		1	20.00		5	
		"CANALES, Judy (HMP)"	2	1	50.00		1	50.00		2	
		"FELSCH, Arthur James (CTA)"	4	0	0.00		4	100.00		4	
		"CORKILL, John (GRN)"	24	22	91.67		2	8.33		24	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	11	7	63.64		4	36.36		11	
		Total	80	90	51.43		85	48.57		175	

	Iluka										
			1st Prefs	383	46.42		442	53.58		825	
		"POLLARD-O'HARA, Kathryn (IND)"	13	6	46.15		7	53.85		13	
		"COOPER, Tom (IND)"	78	47	60.26		31	39.74		78	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	7	2	28.57		5	71.43		7	
		"JEFFREYS, Allan (DEM)"	7	2	28.57		5	71.43		7	
		"CANALES, Judy (HMP)"	9	5	55.56		4	44.44		9	
		"FELSCH, Arthur James (CTA)"	11	1	9.09		10	90.91		11	
		"CORKILL, John (GRN)"	33	30	90.91		3	9.09		33	
		"GRIFFITHS, Angela (CEC)"	3	1	33.33		2	66.67		3	
		"MATHEW, Marie (HAN)"	97	62	63.92		35	36.08		97	
		Total	258	539	49.77		544	50.23		1083	

	Jiggi										
			1st Prefs	50	45.87		59	54.13		109	
		"POLLARD-O'HARA, Kathryn (IND)"	2	2	100.00		0	0.00		2	
		"COOPER, Tom (IND)"	16	7	43.75		9	56.25		16	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	2	1	50.00		1	50.00		2	
		"CANALES, Judy (HMP)"	7	6	85.71		1	14.29		7	
		"FELSCH, Arthur James (CTA)"	0	0	0.00		0	0.00		0	
		"CORKILL, John (GRN)"	70	65	92.86		5	7.14		70	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	7	1	14.29		6	85.71		7	
		Total	104	132	61.97		81	38.03		213	

	Junction Hill										
			1st Prefs	201	34.48		382	65.52		583	
		"POLLARD-O'HARA, Kathryn (IND)"	9	7	77.78		2	22.22		9	
		"COOPER, Tom (IND)"	34	20	58.82		14	41.18		34	
		"LAMPIS, Edda ()"	1	1	100.00		0	0.00		1	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	13	9	69.23		4	30.77		13	
		"CANALES, Judy (HMP)"	3	1	33.33		2	66.67		3	
		"FELSCH, Arthur James (CTA)"	11	0	0.00		11	100.00		11	
		"CORKILL, John (GRN)"	15	13	86.67		2	13.33		15	
		"GRIFFITHS, Angela (CEC)"	1	1	100.00		0	0.00		1	
		"MATHEW, Marie (HAN)"	55	35	63.64		20	36.36		55	
		Total	142	288	39.72		437	60.28		725	

	Kyogle										
			1st Prefs	388	31.29		852	68.71		1240	
		"POLLARD-O'HARA, Kathryn (IND)"	22	17	77.27		5	22.73		22	
		"COOPER, Tom (IND)"	174	92	52.87		82	47.13		174	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	6	3	50.00		3	50.00		6	
		"JEFFREYS, Allan (DEM)"	23	23	100.00		0	0.00		23	
		"CANALES, Judy (HMP)"	17	14	82.35		3	17.65		17	
		"FELSCH, Arthur James (CTA)"	25	2	8.00		23	92.00		25	
		"CORKILL, John (GRN)"	112	98	87.50		14	12.50		112	
		"GRIFFITHS, Angela (CEC)"	6	5	83.33		1	16.67		6	
		"MATHEW, Marie (HAN)"	82	43	52.44		39	47.56		82	
		Total	467	685	40.13		1022	59.87		1707	

	Kyogle Hospital										
			1st Prefs	166	33.81		325	66.19		491	
		"POLLARD-O'HARA, Kathryn (IND)"	11	7	63.64		4	36.36		11	
		"COOPER, Tom (IND)"	83	39	46.99		44	53.01		83	
		"LAMPIS, Edda ()"	1	0	0.00		1	100.00		1	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	20	14	70.00		6	30.00		20	
		"CANALES, Judy (HMP)"	7	4	57.14		3	42.86		7	
		"FELSCH, Arthur James (CTA)"	5	0	0.00		5	100.00		5	
		"CORKILL, John (GRN)"	51	43	84.31		8	15.69		51	
		"GRIFFITHS, Angela (CEC)"	4	4	100.00		0	0.00		4	
		"MATHEW, Marie (HAN)"	48	28	58.33		20	41.67		48	
		Total	230	305	42.30		416	57.70		721	

	Lawrence										
			1st Prefs	179	45.43		215	54.57		394	
		"POLLARD-O'HARA, Kathryn (IND)"	4	3	75.00		1	25.00		4	
		"COOPER, Tom (IND)"	47	31	65.96		16	34.04		47	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	10	9	90.00		1	10.00		10	
		"CANALES, Judy (HMP)"	7	4	57.14		3	42.86		7	
		"FELSCH, Arthur James (CTA)"	6	1	16.67		5	83.33		6	
		"CORKILL, John (GRN)"	18	15	83.33		3	16.67		18	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	66	40	60.61		26	39.39		66	
		Total	159	283	51.18		270	48.82		553	

	Leeville										
			1st Prefs	51	27.13		137	72.87		188	
		"POLLARD-O'HARA, Kathryn (IND)"	4	2	50.00		2	50.00		4	
		"COOPER, Tom (IND)"	30	15	50.00		15	50.00		30	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	2	1	50.00		1	50.00		2	
		"JEFFREYS, Allan (DEM)"	3	2	66.67		1	33.33		3	
		"CANALES, Judy (HMP)"	4	4	100.00		0	0.00		4	
		"FELSCH, Arthur James (CTA)"	3	1	33.33		2	66.67		3	
		"CORKILL, John (GRN)"	8	5	62.50		3	37.50		8	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	22	10	45.45		12	54.55		22	
		Total	76	91	34.47		173	65.53		264	

	Lismore										
			1st Prefs	608	47.17		681	52.83		1289	
		"POLLARD-O'HARA, Kathryn (IND)"	54	34	62.96		20	37.04		54	
		"COOPER, Tom (IND)"	188	109	57.98		79	42.02		188	
		"LAMPIS, Edda ()"	29	28	96.55		1	3.45		29	
		"BEHN, Doug (IND)"	8	3	37.50		5	62.50		8	
		"JEFFREYS, Allan (DEM)"	109	79	72.48		30	27.52		109	
		"CANALES, Judy (HMP)"	65	49	75.38		16	24.62		65	
		"FELSCH, Arthur James (CTA)"	36	15	41.67		21	58.33		36	
		"CORKILL, John (GRN)"	343	299	87.17		44	12.83		343	
		"GRIFFITHS, Angela (CEC)"	3	1	33.33		2	66.67		3	
		"MATHEW, Marie (HAN)"	100	46	46.00		54	54.00		100	
		Total	935	1271	57.15		953	42.85		2224	

	Lismore Central										
			1st Prefs	452	46.17		527	53.83		979	
		"POLLARD-O'HARA, Kathryn (IND)"	35	17	48.57		18	51.43		35	
		"COOPER, Tom (IND)"	113	68	60.18		45	39.82		113	
		"LAMPIS, Edda ()"	6	6	100.00		0	0.00		6	
		"BEHN, Doug (IND)"	10	7	70.00		3	30.00		10	
		"JEFFREYS, Allan (DEM)"	57	46	80.70		11	19.30		57	
		"CANALES, Judy (HMP)"	50	33	66.00		17	34.00		50	
		"FELSCH, Arthur James (CTA)"	24	7	29.17		17	70.83		24	
		"CORKILL, John (GRN)"	198	163	82.32		35	17.68		198	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	44	21	47.73		23	52.27		44	
		Total	537	820	54.09		696	45.91		1516	

	Lismore East										
			1st Prefs	474	42.44		643	57.56		1117	
		"POLLARD-O'HARA, Kathryn (IND)"	40	26	65.00		14	35.00		40	
		"COOPER, Tom (IND)"	138	68	49.28		70	50.72		138	
		"LAMPIS, Edda ()"	16	15	93.75		1	6.25		16	
		"BEHN, Doug (IND)"	8	4	50.00		4	50.00		8	
		"JEFFREYS, Allan (DEM)"	76	43	56.58		33	43.42		76	
		"CANALES, Judy (HMP)"	27	17	62.96		10	37.04		27	
		"FELSCH, Arthur James (CTA)"	38	16	42.11		22	57.89		38	
		"CORKILL, John (GRN)"	178	144	80.90		34	19.10		178	
		"GRIFFITHS, Angela (CEC)"	3	3	100.00		0	0.00		3	
		"MATHEW, Marie (HAN)"	67	29	43.28		38	56.72		67	
		Total	591	839	49.12		869	50.88		1708	

	Lismore Heights										
			1st Prefs	260	40.25		386	59.75		646	
		"POLLARD-O'HARA, Kathryn (IND)"	13	7	53.85		6	46.15		13	
		"COOPER, Tom (IND)"	78	45	57.69		33	42.31		78	
		"LAMPIS, Edda ()"	10	10	100.00		0	0.00		10	
		"BEHN, Doug (IND)"	2	2	100.00		0	0.00		2	
		"JEFFREYS, Allan (DEM)"	32	25	78.13		7	21.88		32	
		"CANALES, Judy (HMP)"	22	14	63.64		8	36.36		22	
		"FELSCH, Arthur James (CTA)"	15	5	33.33		10	66.67		15	
		"CORKILL, John (GRN)"	90	73	81.11		17	18.89		90	
		"GRIFFITHS, Angela (CEC)"	1	0	0.00		1	100.00		1	
		"MATHEW, Marie (HAN)"	22	6	27.27		16	72.73		22	
		Total	285	447	48.01		484	51.99		931	

	Lismore Hospital										
			1st Prefs	109	46.38		126	53.62		235	
		"POLLARD-O'HARA, Kathryn (IND)"	10	7	70.00		3	30.00		10	
		"COOPER, Tom (IND)"	21	10	47.62		11	52.38		21	
		"LAMPIS, Edda ()"	2	2	100.00		0	0.00		2	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	12	5	41.67		7	58.33		12	
		"CANALES, Judy (HMP)"	5	3	60.00		2	40.00		5	
		"FELSCH, Arthur James (CTA)"	8	4	50.00		4	50.00		8	
		"CORKILL, John (GRN)"	40	35	87.50		5	12.50		40	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	12	7	58.33		5	41.67		12	
		Total	111	183	52.89		163	47.11		346	

	Lismore North										
			1st Prefs	150	50.68		146	49.32		296	
		"POLLARD-O'HARA, Kathryn (IND)"	9	5	55.56		4	44.44		9	
		"COOPER, Tom (IND)"	61	38	62.30		23	37.70		61	
		"LAMPIS, Edda ()"	7	5	71.43		2	28.57		7	
		"BEHN, Doug (IND)"	4	2	50.00		2	50.00		4	
		"JEFFREYS, Allan (DEM)"	14	10	71.43		4	28.57		14	
		"CANALES, Judy (HMP)"	15	14	93.33		1	6.67		15	
		"FELSCH, Arthur James (CTA)"	3	0	0.00		3	100.00		3	
		"CORKILL, John (GRN)"	67	59	88.06		8	11.94		67	
		"GRIFFITHS, Angela (CEC)"	1	1	100.00		0	0.00		1	
		"MATHEW, Marie (HAN)"	26	13	50.00		13	50.00		26	
		Total	207	297	59.05		206	40.95		503	

	Lismore St Vincents Hospital										
			1st Prefs	192	36.50		334	63.50		526	
		"POLLARD-O'HARA, Kathryn (IND)"	20	17	85.00		3	15.00		20	
		"COOPER, Tom (IND)"	52	24	46.15		28	53.85		52	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	3	1	33.33		2	66.67		3	
		"JEFFREYS, Allan (DEM)"	11	5	45.45		6	54.55		11	
		"CANALES, Judy (HMP)"	10	7	70.00		3	30.00		10	
		"FELSCH, Arthur James (CTA)"	10	4	40.00		6	60.00		10	
		"CORKILL, John (GRN)"	67	52	77.61		15	22.39		67	
		"GRIFFITHS, Angela (CEC)"	3	3	100.00		0	0.00		3	
		"MATHEW, Marie (HAN)"	20	12	60.00		8	40.00		20	
		Total	196	317	43.91		405	56.09		722	

	Lismore South										
			1st Prefs	449	45.04		548	54.96		997	
		"POLLARD-O'HARA, Kathryn (IND)"	31	16	51.61		15	48.39		31	
		"COOPER, Tom (IND)"	243	144	59.26		99	40.74		243	
		"LAMPIS, Edda ()"	15	13	86.67		2	13.33		15	
		"BEHN, Doug (IND)"	5	4	80.00		1	20.00		5	
		"JEFFREYS, Allan (DEM)"	32	24	75.00		8	25.00		32	
		"CANALES, Judy (HMP)"	38	27	71.05		11	28.95		38	
		"FELSCH, Arthur James (CTA)"	16	2	12.50		14	87.50		16	
		"CORKILL, John (GRN)"	131	111	84.73		20	15.27		131	
		"GRIFFITHS, Angela (CEC)"	2	1	50.00		1	50.00		2	
		"MATHEW, Marie (HAN)"	99	46	46.46		53	53.54		99	
		Total	612	837	52.02		772	47.98		1609	

	Maclean (Page)										
			1st Prefs	80	37.21		135	62.79		215	
		"POLLARD-O'HARA, Kathryn (IND)"	3	2	66.67		1	33.33		3	
		"COOPER, Tom (IND)"	17	8	47.06		9	52.94		17	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	2	1	50.00		1	50.00		2	
		"JEFFREYS, Allan (DEM)"	10	8	80.00		2	20.00		10	
		"CANALES, Judy (HMP)"	7	6	85.71		1	14.29		7	
		"FELSCH, Arthur James (CTA)"	6	1	16.67		5	83.33		6	
		"CORKILL, John (GRN)"	24	22	91.67		2	8.33		24	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	20	9	45.00		11	55.00		20	
		Total	89	137	45.07		167	54.93		304	

	Mallanganee										
			1st Prefs	38	24.52		117	75.48		155	
		"POLLARD-O'HARA, Kathryn (IND)"	2	1	50.00		1	50.00		2	
		"COOPER, Tom (IND)"	51	26	50.98		25	49.02		51	
		"LAMPIS, Edda ()"	1	1	100.00		0	0.00		1	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	3	1	33.33		2	66.67		3	
		"CANALES, Judy (HMP)"	2	1	50.00		1	50.00		2	
		"FELSCH, Arthur James (CTA)"	1	0	0.00		1	100.00		1	
		"CORKILL, John (GRN)"	15	15	100.00		0	0.00		15	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	9	3	33.33		6	66.67		9	
		Total	84	86	35.98		153	64.02		239	

	Meerschaum Vale										
			1st Prefs	64	31.53		139	68.47		203	
		"POLLARD-O'HARA, Kathryn (IND)"	5	2	40.00		3	60.00		5	
		"COOPER, Tom (IND)"	35	15	42.86		20	57.14		35	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	8	4	50.00		4	50.00		8	
		"CANALES, Judy (HMP)"	5	2	40.00		3	60.00		5	
		"FELSCH, Arthur James (CTA)"	6	0	0.00		6	100.00		6	
		"CORKILL, John (GRN)"	30	24	80.00		6	20.00		30	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	15	5	33.33		10	66.67		15	
		Total	105	117	37.99		191	62.01		308	

	Modanville										
			1st Prefs	79	31.47		172	68.53		251	
		"POLLARD-O'HARA, Kathryn (IND)"	3	1	33.33		2	66.67		3	
		"COOPER, Tom (IND)"	31	17	54.84		14	45.16		31	
		"LAMPIS, Edda ()"	3	3	100.00		0	0.00		3	
		"BEHN, Doug (IND)"	1	0	0.00		1	100.00		1	
		"JEFFREYS, Allan (DEM)"	16	9	56.25		7	43.75		16	
		"CANALES, Judy (HMP)"	9	8	88.89		1	11.11		9	
		"FELSCH, Arthur James (CTA)"	1	0	0.00		1	100.00		1	
		"CORKILL, John (GRN)"	35	26	74.29		9	25.71		35	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	20	8	40.00		12	60.00		20	
		Total	119	151	40.81		219	59.19		370	

	Nimbin										
			1st Prefs	215	59.07		149	40.93		364	
		"POLLARD-O'HARA, Kathryn (IND)"	12	7	58.33		5	41.67		12	
		"COOPER, Tom (IND)"	35	22	62.86		13	37.14		35	
		"LAMPIS, Edda ()"	13	11	84.62		2	15.38		13	
		"BEHN, Doug (IND)"	2	1	50.00		1	50.00		2	
		"JEFFREYS, Allan (DEM)"	49	39	79.59		10	20.41		49	
		"CANALES, Judy (HMP)"	107	99	92.52		8	7.48		107	
		"FELSCH, Arthur James (CTA)"	4	2	50.00		2	50.00		4	
		"CORKILL, John (GRN)"	347	327	94.24		20	5.76		347	
		"GRIFFITHS, Angela (CEC)"	2	1	50.00		1	50.00		2	
		"MATHEW, Marie (HAN)"	23	12	52.17		11	47.83		23	
		Total	594	736	76.83		222	23.17		958	

	Nymboida										
			1st Prefs	33	49.25		34	50.75		67	
		"POLLARD-O'HARA, Kathryn (IND)"	2	1	50.00		1	50.00		2	
		"COOPER, Tom (IND)"	2	2	100.00		0	0.00		2	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	5	5	100.00		0	0.00		5	
		"CANALES, Judy (HMP)"	2	2	100.00		0	0.00		2	
		"FELSCH, Arthur James (CTA)"	0	0	0.00		0	0.00		0	
		"CORKILL, John (GRN)"	29	27	93.10		2	6.90		29	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	14	5	35.71		9	64.29		14	
		Total	54	75	61.98		46	38.02		121	

	Pimlico										
			1st Prefs	28	25.00		84	75.00		112	
		"POLLARD-O'HARA, Kathryn (IND)"	2	1	50.00		1	50.00		2	
		"COOPER, Tom (IND)"	7	5	71.43		2	28.57		7	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	0	0	0.00		0	0.00		0	
		"JEFFREYS, Allan (DEM)"	4	4	100.00		0	0.00		4	
		"CANALES, Judy (HMP)"	3	2	66.67		1	33.33		3	
		"FELSCH, Arthur James (CTA)"	2	0	0.00		2	100.00		2	
		"CORKILL, John (GRN)"	2	1	50.00		1	50.00		2	
		"GRIFFITHS, Angela (CEC)"	2	1	50.00		1	50.00		2	
		"MATHEW, Marie (HAN)"	6	1	16.67		5	83.33		6	
		Total	28	43	30.71		97	69.29		140	

	Pound Hill										
			1st Prefs	421	42.70		565	57.30		986	
		"POLLARD-O'HARA, Kathryn (IND)"	38	25	65.79		13	34.21		38	
		"COOPER, Tom (IND)"	134	69	51.49		65	48.51		134	
		"LAMPIS, Edda ()"	2	1	50.00		1	50.00		2	
		"BEHN, Doug (IND)"	6	5	83.33		1	16.67		6	
		"JEFFREYS, Allan (DEM)"	66	47	71.21		19	28.79		66	
		"CANALES, Judy (HMP)"	25	18	72.00		7	28.00		25	
		"FELSCH, Arthur James (CTA)"	13	6	46.15		7	53.85		13	
		"CORKILL, John (GRN)"	138	114	82.61		24	17.39		138	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	60	28	46.67		32	53.33		60	
		Total	482	734	50.00		734	50.00		1468	

	Rappville										
			1st Prefs	41	37.96		67	62.04		108	
		"POLLARD-O'HARA, Kathryn (IND)"	2	0	0.00		2	100.00		2	
		"COOPER, Tom (IND)"	12	7	58.33		5	41.67		12	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	1	1	100.00		0	0.00		1	
		"JEFFREYS, Allan (DEM)"	1	1	100.00		0	0.00		1	
		"CANALES, Judy (HMP)"	3	3	100.00		0	0.00		3	
		"FELSCH, Arthur James (CTA)"	0	0	0.00		0	0.00		0	
		"CORKILL, John (GRN)"	1	1	100.00		0	0.00		1	
		"GRIFFITHS, Angela (CEC)"	0	0	0.00		0	0.00		0	
		"MATHEW, Marie (HAN)"	14	4	28.57		10	71.43		14	
		Total	34	58	40.85		84	59.15		142	

	Rosebank										
			1st Prefs	52	53.61		45	46.39		97	
		"POLLARD-O'HARA, Kathryn (IND)"	3	1	33.33		2	66.67		3	
		"COOPER, Tom (IND)"	19	13	68.42		6	31.58		19	
		"LAMPIS, Edda ()"	0	0	0.00		0	0.00		0	
		"BEHN, Doug (IND)"	2	0	0.00		2	100.00		2	
		"JEFFREYS, Allan (DEM)"	20	16	80.00		4	20.00		20	
