House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences																																		
By Polling Place																																		
																																		
Cowper																																		
				MAGUIRE			BONFIELD			WILLEY			NEUSS			HARTSUYKER			VAN BLADEL			CRANNY			FENTON			KORN			STOKES			
		TOTAL					439	35.78					199	16.22		433	35.29					74	6.03								82	6.68		1227
	SEVENTH						51	68.92					4	5.41		11	14.86						Excluded								8	10.81		74
		TOTAL					490	39.93					203	16.54		444	36.19														90	7.33		1227
	EIGHTH						33	36.67					21	23.33		36	40.00															Excluded		90
		TOTAL					523	42.62					224	18.26		480	39.12																	1227
	NINTH						30	13.39						Excluded		194	86.61																	224
		TOTAL					553	45.07								674	54.93																	1227
																Elected																		
																																		
Coffs Harbour St Augustines                                    																																		
	FIRST			58	2.98		557	28.64		17	0.87		298	15.32		711	36.56		8	0.41		87	4.47		68	3.50		43	2.21		98	5.04		1945
	SECOND			0	0.00		0	0.00		2	25.00		1	12.50		3	37.50			Excluded		0	0.00		0	0.00		2	25.00		0	0.00		8
		TOTAL		58	2.98		557	28.64		19	0.98		299	15.37		714	36.71					87	4.47		68	3.50		45	2.31		98	5.04		1945
	THIRD			4	21.05		3	15.79			Excluded		2	10.53		4	21.05					1	5.26		3	15.79		1	5.26		1	5.26		19
		TOTAL		62	3.19		560	28.79					301	15.48		718	36.92					88	4.52		71	3.65		46	2.37		99	5.09		1945
	FOURTH			2	4.35		4	8.70					3	6.52		28	60.87					4	8.70		2	4.35			Excluded		3	6.52		46
		TOTAL		64	3.29		564	29.00					304	15.63		746	38.35					92	4.73		73	3.75					102	5.24		1945
	FIFTH			9	12.33		13	17.81					3	4.11		10	13.70					36	49.32			Excluded					2	2.74		73
		TOTAL		73	3.75		577	29.67					307	15.78		756	38.87					128	6.58								104	5.35		1945
	SIXTH				Excluded		19	26.03					10	13.70		16	21.92					14	19.18								14	19.18		73
		TOTAL					596	30.64					317	16.30		772	39.69					142	7.30								118	6.07		1945
	SEVENTH						80	56.34					18	12.68		24	16.90						Excluded								20	14.08		142
		TOTAL					676	34.76					335	17.22		796	40.93														138	7.10		1945
	EIGHTH						31	22.46					65	47.10		42	30.43															Excluded		138
		TOTAL					707	36.35					400	20.57		838	43.08																	1945
	NINTH						43	10.75						Excluded		357	89.25																	400
		TOTAL					750	38.56								1195	61.44																	1945
																Elected																		
																																		
Coffs Harbour West                                             																																		
	FIRST			95	2.99		968	30.45		29	0.91		547	17.21		1108	34.85		15	0.47		92	2.89		72	2.26		85	2.67		168	5.28		3179
	SECOND			1	6.67		2	13.33		3	20.00		2	13.33		6	40.00			Excluded		0	0.00		1	6.67		0	0.00		0	0.00		15
		TOTAL		96	3.02		970	30.51		32	1.01		549	17.27		1114	35.04					92	2.89		73	2.30		85	2.67		168	5.28		3179
	THIRD			11	34.38		4	12.50			Excluded		4	12.50		4	12.50					0	0.00		1	3.13		1	3.13		7	21.88		32
		TOTAL		107	3.37		974	30.64					553	17.40		1118	35.17					92	2.89		74	2.33		86	2.71		175	5.50		3179
	FOURTH			1	1.16		12	13.95					13	15.12		53	61.63					1	1.16		4	4.65			Excluded		2	2.33		86
		TOTAL		108	3.40		986	31.02					566	17.80		1171	36.84					93	2.93		78	2.45					177	5.57		3179
	FIFTH			5	6.41		11	14.10					8	10.26		6	7.69					45	57.69			Excluded					3	3.85		78
		TOTAL		113	3.55		997	31.36					574	18.06		1177	37.02					138	4.34								180	5.66		3179
	SIXTH				Excluded		46	40.71					11	9.73		21	18.58					18	15.93								17	15.04		113
		TOTAL					1043	32.81					585	18.40		1198	37.68					156	4.91								197	6.20		3179
	SEVENTH						91	58.33					9	5.77		31	19.87						Excluded								25	16.03		156
		TOTAL					1134	35.67					594	18.69		1229	38.66														222	6.98		3179
	EIGHTH						62	27.93					93	41.89		67	30.18															Excluded		222
		TOTAL					1196	37.62					687	21.61		1296	40.77																	3179
	NINTH						63	9.17						Excluded		624	90.83																	687
		TOTAL					1259	39.60								1920	60.40																	3179
																Elected																		
																																		
Coramba                                                        																																		
	FIRST			9	2.69		102	30.54		2	0.60		45	13.47		108	32.34		1	0.30		13	3.89		16	4.79		0	0.00		38	11.38		334
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		9	2.69		102	30.54		3	0.90		45	13.47		108	32.34					13	3.89		16	4.79		0	0.00		38	11.38		334
	THIRD			2	66.67		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		11	3.29		102	30.54					45	13.47		108	32.34					13	3.89		17	5.09		0	0.00		38	11.38		334
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		11	3.29		102	30.54					45	13.47		108	32.34					13	3.89		17	5.09					38	11.38		334
	FIFTH			2	11.76		2	11.76					3	17.65		1	5.88					9	52.94			Excluded					0	0.00		17
		TOTAL		13	3.89		104	31.14					48	14.37		109	32.63					22	6.59								38	11.38		334
	SIXTH				Excluded		2	15.38					0	0.00		2	15.38					4	30.77								5	38.46		13
		TOTAL					106	31.74					48	14.37		111	33.23					26	7.78								43	12.87		334
	SEVENTH						11	42.31					2	7.69		7	26.92						Excluded								6	23.08		26
		TOTAL					117	35.03					50	14.97		118	35.33														49	14.67		334
	EIGHTH						18	36.73					20	40.82		11	22.45															Excluded		49
		TOTAL					135	40.42					70	20.96		129	38.62																	334
	NINTH						8	11.43						Excluded		62	88.57																	70
		TOTAL					143	42.81								191	57.19																	334
																Elected																		
																																		
Corindi                                                        																																		
	FIRST			17	2.69		249	39.40		7	1.11		104	16.46		112	17.72		4	0.63		34	5.38		18	2.85		8	1.27		79	12.50		632
	SECOND			1	25.00		1	25.00		0	0.00		0	0.00		1	25.00			Excluded		1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		18	2.85		250	39.56		7	1.11		104	16.46		113	17.88					35	5.54		18	2.85		8	1.27		79	12.50		632
	THIRD			2	28.57		0	0.00			Excluded		0	0.00		4	57.14					0	0.00		0	0.00		0	0.00		1	14.29		7
		TOTAL		20	3.16		250	39.56					104	16.46		117	18.51					35	5.54		18	2.85		8	1.27		80	12.66		632
	FOURTH			0	0.00		2	25.00					2	25.00		3	37.50					1	12.50		0	0.00			Excluded		0	0.00		8
		TOTAL		20	3.16		252	39.87					106	16.77		120	18.99					36	5.70		18	2.85					80	12.66		632
	FIFTH			0	0.00		5	27.78					0	0.00		3	16.67					10	55.56			Excluded					0	0.00		18
		TOTAL		20	3.16		257	40.66					106	16.77		123	19.46					46	7.28								80	12.66		632
	SIXTH				Excluded		10	50.00					0	0.00		2	10.00					5	25.00								3	15.00		20
		TOTAL					267	42.25					106	16.77		125	19.78					51	8.07								83	13.13		632
	SEVENTH						38	74.51					2	3.92		3	5.88						Excluded								8	15.69		51
		TOTAL					305	48.26					108	17.09		128	20.25														91	14.40		632
	EIGHTH						21	23.08					40	43.96		30	32.97															Excluded		91
		TOTAL					326	51.58					148	23.42		158	25.00																	632
	NINTH						16	10.81						Excluded		132	89.19																	148
		TOTAL					342	54.11								290	45.89																	632
																Elected																		
																																		
Cowper (Cowper)                                                																																		
	FIRST			0	0.00		40	38.46		1	0.96		7	6.73		44	42.31		1	0.96		2	1.92		0	0.00		1	0.96		8	7.69		104
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		0	0.00		40	38.46		2	1.92		7	6.73		44	42.31					2	1.92		0	0.00		1	0.96		8	7.69		104
	THIRD			1	50.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		1	0.96		40	38.46					7	6.73		44	42.31					2	1.92		0	0.00		1	0.96		9	8.65		104
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		1	0.96		40	38.46					7	6.73		44	42.31					2	1.92		0	0.00					10	9.62		104
	FIFTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0
		TOTAL		1	0.96		40	38.46					7	6.73		44	42.31					2	1.92								10	9.62		104
	SIXTH				Excluded		0	0.00					0	0.00		0	0.00					0	0.00								1	100.00		1
		TOTAL					40	38.46					7	6.73		44	42.31					2	1.92								11	10.58		104
	SEVENTH						1	50.00					1	50.00		0	0.00						Excluded								0	0.00		2
		TOTAL					41	39.42					8	7.69		44	42.31														11	10.58		104
	EIGHTH						4	36.36					1	9.09		6	54.55															Excluded		11
		TOTAL					45	43.27					9	8.65		50	48.08																	104
	NINTH						1	11.11						Excluded		8	88.89																	9
		TOTAL					46	44.23								58	55.77																	104
																Elected																		
																																		
Deervale                                                       																																		
	FIRST			1	1.20		10	12.05		1	1.20		1	1.20		42	50.60		0	0.00		12	14.46		6	7.23		2	2.41		8	9.64		83
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	1.20		10	12.05		1	1.20		1	1.20		42	50.60					12	14.46		6	7.23		2	2.41		8	9.64		83
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	1.20		10	12.05					1	1.20		42	50.60					13	15.66		6	7.23		2	2.41		8	9.64		83
	FOURTH			0	0.00		0	0.00					0	0.00		2	100.00					0	0.00		0	0.00			Excluded		0	0.00		2
		TOTAL		1	1.20		10	12.05					1	1.20		44	53.01					13	15.66		6	7.23					8	9.64		83
	FIFTH			0	0.00		1	16.67					0	0.00		0	0.00					5	83.33			Excluded					0	0.00		6
		TOTAL		1	1.20		11	13.25					1	1.20		44	53.01					18	21.69								8	9.64		83
	SIXTH				Excluded		1	100.00					0	0.00		0	0.00					0	0.00								0	0.00		1
		TOTAL					12	14.46					1	1.20		44	53.01					18	21.69								8	9.64		83
	SEVENTH						10	55.56					1	5.56		5	27.78						Excluded								2	11.11		18
		TOTAL					22	26.51					2	2.41		49	59.04														10	12.05		83
	EIGHTH						1	10.00					2	20.00		7	70.00															Excluded		10
		TOTAL					23	27.71					4	4.82		56	67.47																	83
	NINTH						2	50.00						Excluded		2	50.00																	4
		TOTAL					25	30.12								58	69.88																	83
																Elected																		
																																		
Dorrigo                                                        																																		
	FIRST			20	1.82		248	22.61		20	1.82		124	11.30		439	40.02		5	0.46		104	9.48		40	3.65		25	2.28		72	6.56		1097
	SECOND			1	20.00		1	20.00		1	20.00		0	0.00		0	0.00			Excluded		1	20.00		0	0.00		0	0.00		1	20.00		5
		TOTAL		21	1.91		249	22.70		21	1.91		124	11.30		439	40.02					105	9.57		40	3.65		25	2.28		73	6.65		1097
	THIRD			2	9.52		2	9.52			Excluded		4	19.05		3	14.29					1	4.76		1	4.76		0	0.00		8	38.10		21
		TOTAL		23	2.10		251	22.88					128	11.67		442	40.29					106	9.66		41	3.74		25	2.28		81	7.38		1097
	FOURTH			0	0.00		1	4.00					2	8.00		14	56.00					3	12.00		3	12.00			Excluded		2	8.00		25
		TOTAL		23	2.10		252	22.97					130	11.85		456	41.57					109	9.94		44	4.01					83	7.57		1097
	FIFTH			1	2.27		15	34.09					1	2.27		6	13.64					19	43.18			Excluded					2	4.55		44
		TOTAL		24	2.19		267	24.34					131	11.94		462	42.11					128	11.67								85	7.75		1097
	SIXTH				Excluded		8	33.33					2	8.33		6	25.00					3	12.50								5	20.83		24
		TOTAL					275	25.07					133	12.12		468	42.66					131	11.94								90	8.20		1097
	SEVENTH						102	77.86					5	3.82		16	12.21						Excluded								8	6.11		131
		TOTAL					377	34.37					138	12.58		484	44.12														98	8.93		1097
	EIGHTH						32	32.65					22	22.45		44	44.90															Excluded		98
		TOTAL					409	37.28					160	14.59		528	48.13																	1097
	NINTH						21	13.13						Excluded		139	86.88																	160
		TOTAL					430	39.20								667	60.80																	1097
																Elected																		
																																		
Eungai Creek                                                   																																		
	FIRST			7	2.46		100	35.21		8	2.82		43	15.14		73	25.70		1	0.35		17	5.99		6	2.11		4	1.41		25	8.80		284
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		7	2.46		100	35.21		8	2.82		43	15.14		74	26.06					17	5.99		6	2.11		4	1.41		25	8.80		284
	THIRD			1	12.50		3	37.50			Excluded		1	12.50		2	25.00					0	0.00		0	0.00		0	0.00		1	12.50		8
		TOTAL		8	2.82		103	36.27					44	15.49		76	26.76					17	5.99		6	2.11		4	1.41		26	9.15		284
	FOURTH			0	0.00		1	25.00					1	25.00		1	25.00					1	25.00		0	0.00			Excluded		0	0.00		4
		TOTAL		8	2.82		104	36.62					45	15.85		77	27.11					18	6.34		6	2.11					26	9.15		284
	FIFTH			0	0.00		0	0.00					0	0.00		1	16.67					5	83.33			Excluded					0	0.00		6
		TOTAL		8	2.82		104	36.62					45	15.85		78	27.46					23	8.10								26	9.15		284
	SIXTH				Excluded		1	12.50					1	12.50		2	25.00					3	37.50								1	12.50		8
		TOTAL					105	36.97					46	16.20		80	28.17					26	9.15								27	9.51		284
	SEVENTH						18	69.23					1	3.85		5	19.23						Excluded								2	7.69		26
		TOTAL					123	43.31					47	16.55		85	29.93														29	10.21		284
	EIGHTH						12	41.38					10	34.48		7	24.14															Excluded		29
		TOTAL					135	47.54					57	20.07		92	32.39																	284
	NINTH						8	14.04						Excluded		49	85.96																	57
		TOTAL					143	50.35								141	49.65																	284
																Elected																		
																																		
Gladstone (Cowper)                                             																																		
	FIRST			9	2.62		96	27.99		7	2.04		78	22.74		103	30.03		1	0.29		10	2.92		8	2.33		1	0.29		30	8.75		343
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL		9	2.62		96	27.99		7	2.04		78	22.74		103	30.03					10	2.92		8	2.33		1	0.29		31	9.04		343
	THIRD			1	14.29		0	0.00			Excluded		0	0.00		5	71.43					1	14.29		0	0.00		0	0.00		0	0.00		7
		TOTAL		10	2.92		96	27.99					78	22.74		108	31.49					11	3.21		8	2.33		1	0.29		31	9.04		343
	FOURTH			0	0.00		1	100.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		10	2.92		97	28.28					78	22.74		108	31.49					11	3.21		8	2.33					31	9.04		343
	FIFTH			0	0.00		2	25.00					0	0.00		2	25.00					3	37.50			Excluded					1	12.50		8
		TOTAL		10	2.92		99	28.86					78	22.74		110	32.07					14	4.08								32	9.33		343
	SIXTH				Excluded		5	50.00					3	30.00		1	10.00					0	0.00								1	10.00		10
		TOTAL					104	30.32					81	23.62		111	32.36					14	4.08								33	9.62		343
	SEVENTH						8	57.14					1	7.14		1	7.14						Excluded								4	28.57		14
		TOTAL					112	32.65					82	23.91		112	32.65														37	10.79		343
	EIGHTH						7	18.92					15	40.54		15	40.54															Excluded		37
		TOTAL					119	34.69					97	28.28		127	37.03																	343
	NINTH						16	16.49						Excluded		81	83.51																	97
		TOTAL					135	39.36								208	60.64																	343
																Elected																		
																																		
Gleniffer                                                      																																		
	FIRST			0	0.00		37	22.56		4	2.44		19	11.59		50	30.49		2	1.22		33	20.12		9	5.49		5	3.05		5	3.05		164
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		0	0.00		37	22.56		4	2.44		19	11.59		51	31.10					33	20.12		9	5.49		5	3.05		6	3.66		164
	THIRD			0	0.00		1	25.00			Excluded		0	0.00		0	0.00					0	0.00		1	25.00		0	0.00		2	50.00		4
		TOTAL		0	0.00		38	23.17					19	11.59		51	31.10					33	20.12		10	6.10		5	3.05		8	4.88		164
	FOURTH			0	0.00		2	40.00					1	20.00		0	0.00					1	20.00		0	0.00			Excluded		1	20.00		5
		TOTAL		0	0.00		40	24.39					20	12.20		51	31.10					34	20.73		10	6.10					9	5.49		164
	FIFTH			0	0.00		3	30.00					0	0.00		4	40.00					3	30.00			Excluded					0	0.00		10
		TOTAL		0	0.00		43	26.22					20	12.20		55	33.54					37	22.56								9	5.49		164
	SIXTH				Excluded		0	0.00					0	0.00		0	0.00					0	0.00								0	0.00		0
		TOTAL					43	26.22					20	12.20		55	33.54					37	22.56								9	5.49		164
	SEVENTH						31	83.78					1	2.70		4	10.81						Excluded								1	2.70		37
		TOTAL					74	45.12					21	12.80		59	35.98														10	6.10		164
	EIGHTH						5	50.00					2	20.00		3	30.00															Excluded		10
		TOTAL					79	48.17					23	14.02		62	37.80																	164
	NINTH						1	4.35						Excluded		22	95.65																	23
		TOTAL					80	48.78								84	51.22																	164
																Elected																		
																																		
Glenreagh                                                      																																		
	FIRST			17	3.77		138	30.60		6	1.33		56	12.42		132	29.27		4	0.89		22	4.88		12	2.66		16	3.55		48	10.64		451
	SECOND			0	0.00		0	0.00		3	75.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		17	3.77		138	30.60		9	2.00		56	12.42		132	29.27					22	4.88		12	2.66		17	3.77		48	10.64		451
	THIRD			0	0.00		1	11.11			Excluded		2	22.22		0	0.00					4	44.44		2	22.22		0	0.00		0	0.00		9
		TOTAL		17	3.77		139	30.82					58	12.86		132	29.27					26	5.76		14	3.10		17	3.77		48	10.64		451
	FOURTH			0	0.00		0	0.00					2	11.76		12	70.59					0	0.00		2	11.76			Excluded		1	5.88		17
		TOTAL		17	3.77		139	30.82					60	13.30		144	31.93					26	5.76		16	3.55					49	10.86		451
	FIFTH			2	12.50		3	18.75					3	18.75		3	18.75					5	31.25			Excluded					0	0.00		16
		TOTAL		19	4.21		142	31.49					63	13.97		147	32.59					31	6.87								49	10.86		451
	SIXTH				Excluded		13	68.42					1	5.26		0	0.00					4	21.05								1	5.26		19
		TOTAL					155	34.37					64	14.19		147	32.59					35	7.76								50	11.09		451
	SEVENTH						23	65.71					2	5.71		2	5.71						Excluded								8	22.86		35
		TOTAL					178	39.47					66	14.63		149	33.04														58	12.86		451
	EIGHTH						17	29.31					19	32.76		22	37.93															Excluded		58
		TOTAL					195	43.24					85	18.85		171	37.92																	451
	NINTH						11	12.94						Excluded		74	87.06																	85
		TOTAL					206	45.68								245	54.32																	451
																Elected																		
																																		
Gulmarrad                                                      																																		
	FIRST			3	0.69		150	34.56		2	0.46		40	9.22		150	34.56		3	0.69		5	1.15		6	1.38		15	3.46		60	13.82		434
	SECOND			1	33.33		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		4	0.92		150	34.56		3	0.69		40	9.22		150	34.56					6	1.38		6	1.38		15	3.46		60	13.82		434
	THIRD			1	33.33		0	0.00			Excluded		0	0.00		0	0.00					1	33.33		0	0.00		0	0.00		1	33.33		3
		TOTAL		5	1.15		150	34.56					40	9.22		150	34.56					7	1.61		6	1.38		15	3.46		61	14.06		434
	FOURTH			0	0.00		2	13.33					0	0.00		12	80.00					0	0.00		1	6.67			Excluded		0	0.00		15
		TOTAL		5	1.15		152	35.02					40	9.22		162	37.33					7	1.61		7	1.61					61	14.06		434
	FIFTH			0	0.00		2	28.57					1	14.29		1	14.29					3	42.86			Excluded					0	0.00		7
		TOTAL		5	1.15		154	35.48					41	9.45		163	37.56					10	2.30								61	14.06		434
	SIXTH				Excluded		2	40.00					1	20.00		0	0.00					1	20.00								1	20.00		5
		TOTAL					156	35.94					42	9.68		163	37.56					11	2.53								62	14.29		434
	SEVENTH						7	63.64					1	9.09		2	18.18						Excluded								1	9.09		11
		TOTAL					163	37.56					43	9.91		165	38.02														63	14.52		434
	EIGHTH						24	38.10					15	23.81		24	38.10															Excluded		63
		TOTAL					187	43.09					58	13.36		189	43.55																	434
	NINTH						9	15.52						Excluded		49	84.48																	58
		TOTAL					196	45.16								238	54.84																	434
																Elected																		
																																		
Hat Head                                                       																																		
	FIRST			6	3.21		70	37.43		4	2.14		24	12.83		52	27.81		1	0.53		6	3.21		3	1.60		4	2.14		17	9.09		187
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		6	3.21		70	37.43		4	2.14		24	12.83		52	27.81					6	3.21		4	2.14		4	2.14		17	9.09		187
	THIRD			1	25.00		0	0.00			Excluded		0	0.00		1	25.00					2	50.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		7	3.74		70	37.43					24	12.83		53	28.34					8	4.28		4	2.14		4	2.14		17	9.09		187
	FOURTH			0	0.00		0	0.00					0	0.00		2	50.00					0	0.00		0	0.00			Excluded		2	50.00		4
		TOTAL		7	3.74		70	37.43					24	12.83		55	29.41					8	4.28		4	2.14					19	10.16		187
	FIFTH			1	25.00		0	0.00					0	0.00		1	25.00					2	50.00			Excluded					0	0.00		4
		TOTAL		8	4.28		70	37.43					24	12.83		56	29.95					10	5.35								19	10.16		187
	SIXTH				Excluded		3	37.50					1	12.50		1	12.50					2	25.00								1	12.50		8
		TOTAL					73	39.04					25	13.37		57	30.48					12	6.42								20	10.70		187
	SEVENTH						5	41.67					2	16.67		1	8.33						Excluded								4	33.33		12
		TOTAL					78	41.71					27	14.44		58	31.02														24	12.83		187
	EIGHTH						8	33.33					9	37.50		7	29.17															Excluded		24
		TOTAL					86	45.99					36	19.25		65	34.76																	187
	NINTH						9	25.00						Excluded		27	75.00																	36
		TOTAL					95	50.80								92	49.20																	187
																Elected																		
																																		
Karangi                                                        																																		
	FIRST			21	5.00		119	28.33		2	0.48		50	11.90		142	33.81		2	0.48		26	6.19		22	5.24		9	2.14		27	6.43		420
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		21	5.00		119	28.33		2	0.48		50	11.90		143	34.05					27	6.43		22	5.24		9	2.14		27	6.43		420
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	50.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		21	5.00		119	28.33					50	11.90		143	34.05					28	6.67		23	5.48		9	2.14		27	6.43		420
	FOURTH			0	0.00		0	0.00					2	22.22		3	33.33					0	0.00		1	11.11			Excluded		3	33.33		9
		TOTAL		21	5.00		119	28.33					52	12.38		146	34.76					28	6.67		24	5.71					30	7.14		420
	FIFTH			2	8.33		4	16.67					1	4.17		4	16.67					12	50.00			Excluded					1	4.17		24
		TOTAL		23	5.48		123	29.29					53	12.62		150	35.71					40	9.52								31	7.38		420
	SIXTH				Excluded		9	39.13					3	13.04		2	8.70					6	26.09								3	13.04		23
		TOTAL					132	31.43					56	13.33		152	36.19					46	10.95								34	8.10		420
	SEVENTH						32	69.57					4	8.70		3	6.52						Excluded								7	15.22		46
		TOTAL					164	39.05					60	14.29		155	36.90														41	9.76		420
	EIGHTH						4	9.76					18	43.90		19	46.34															Excluded		41
		TOTAL					168	40.00					78	18.57		174	41.43																	420
	NINTH						9	11.54						Excluded		69	88.46																	78
		TOTAL					177	42.14								243	57.86																	420
																Elected																		
																																		
Kinchela                                                       																																		
	FIRST			1	0.75		30	22.56		3	2.26		24	18.05		48	36.09		0	0.00		3	2.26		3	2.26		1	0.75		20	15.04		133
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.75		30	22.56		3	2.26		24	18.05		48	36.09					3	2.26		3	2.26		1	0.75		20	15.04		133
	THIRD			0	0.00		1	33.33			Excluded		0	0.00		2	66.67					0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		1	0.75		31	23.31					24	18.05		50	37.59					3	2.26		3	2.26		1	0.75		20	15.04		133
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		1	0.75		31	23.31					24	18.05		50	37.59					3	2.26		3	2.26					21	15.79		133
	FIFTH			1	33.33		0	0.00					1	33.33		1	33.33					0	0.00			Excluded					0	0.00		3
		TOTAL		2	1.50		31	23.31					25	18.80		51	38.35					3	2.26								21	15.79		133
	SIXTH				Excluded		2	100.00					0	0.00		0	0.00					0	0.00								0	0.00		2
		TOTAL					33	24.81					25	18.80		51	38.35					3	2.26								21	15.79		133
	SEVENTH						2	66.67					0	0.00		1	33.33						Excluded								0	0.00		3
		TOTAL					35	26.32					25	18.80		52	39.10														21	15.79		133
	EIGHTH						7	33.33					6	28.57		8	38.10															Excluded		21
		TOTAL					42	31.58					31	23.31		60	45.11																	133
	NINTH						4	12.90						Excluded		27	87.10																	31
		TOTAL					46	34.59								87	65.41																	133
																Elected																		
																																		
Korora                                                         																																		
	FIRST			31	1.98		388	24.79		8	0.51		268	17.12		635	40.58		29	1.85		80	5.11		41	2.62		37	2.36		48	3.07		1565
	SECOND			2	6.90		3	10.34		6	20.69		5	17.24		6	20.69			Excluded		3	10.34		1	3.45		0	0.00		3	10.34		29
		TOTAL		33	2.11		391	24.98		14	0.89		273	17.44		641	40.96					83	5.30		42	2.68		37	2.36		51	3.26		1565
	THIRD			2	14.29		0	0.00			Excluded		1	7.14		2	14.29					4	28.57		3	21.43		0	0.00		2	14.29		14
		TOTAL		35	2.24		391	24.98					274	17.51		643	41.09					87	5.56		45	2.88		37	2.36		53	3.39		1565
	FOURTH			3	8.11		1	2.70					4	10.81		24	64.86					0	0.00		1	2.70			Excluded		4	10.81		37
		TOTAL		38	2.43		392	25.05					278	17.76		667	42.62					87	5.56		46	2.94					57	3.64		1565
	FIFTH			2	4.35		8	17.39					2	4.35		6	13.04					24	52.17			Excluded					4	8.70		46
		TOTAL		40	2.56		400	25.56					280	17.89		673	43.00					111	7.09								61	3.90		1565
	SIXTH				Excluded		8	20.00					6	15.00		6	15.00					12	30.00								8	20.00		40
		TOTAL					408	26.07					286	18.27		679	43.39					123	7.86								69	4.41		1565
	SEVENTH						72	58.54					10	8.13		26	21.14						Excluded								15	12.20		123
		TOTAL					480	30.67					296	18.91		705	45.05														84	5.37		1565
	EIGHTH						20	23.81					33	39.29		31	36.90															Excluded		84
		TOTAL					500	31.95					329	21.02		736	47.03																	1565
	NINTH						33	10.03						Excluded		296	89.97																	329
		TOTAL					533	34.06								1032	65.94																	1565
																Elected																		
																																		
Lowanna                                                        																																		
	FIRST			0	0.00		46	36.80		2	1.60		5	4.00		37	29.60		0	0.00		14	11.20		2	1.60		0	0.00		19	15.20		125
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		46	36.80		2	1.60		5	4.00		37	29.60					14	11.20		2	1.60		0	0.00		19	15.20		125
	THIRD			1	50.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		1	0.80		46	36.80					5	4.00		37	29.60					14	11.20		3	2.40		0	0.00		19	15.20		125
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		1	0.80		46	36.80					5	4.00		37	29.60					14	11.20		3	2.40					19	15.20		125
	FIFTH			0	0.00		3	100.00					0	0.00		0	0.00					0	0.00			Excluded					0	0.00		3
		TOTAL		1	0.80		49	39.20					5	4.00		37	29.60					14	11.20								19	15.20		125
	SIXTH				Excluded		1	100.00					0	0.00		0	0.00					0	0.00								0	0.00		1
		TOTAL					50	40.00					5	4.00		37	29.60					14	11.20								19	15.20		125
	SEVENTH						8	57.14					1	7.14		2	14.29						Excluded								3	21.43		14
