House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Paterson																													
				HORNE			SHAW			DAVIES			RANKE			HENNELLY			BALDWIN			KING			CARY				
		TOTAL		382	45.31		41	4.86					22	2.61					363	43.06					35	4.15		843	
	FIFTH			9	40.91		7	31.82						Excluded					3	13.64					3	13.64		22	
		TOTAL		391	46.38		48	5.69											366	43.42					38	4.51		843	
	SIXTH			22	57.89		10	26.32											6	15.79						Excluded		38	
		TOTAL		413	48.99		58	6.88											372	44.13								843	
	SEVENTH			23	39.66			Excluded											35	60.34								58	
		TOTAL		436	51.72														407	48.28								843	
																			Elected										
																													
Green Point Wallis Lake                                        																													
	FIRST			102	39.53		20	7.75		8	3.10		12	4.65		5	1.94		89	34.50		1	0.39		21	8.14		258	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		103	39.92		20	7.75		8	3.10		12	4.65		5	1.94		89	34.50					21	8.14		258	
	THIRD			1	20.00		0	0.00		0	0.00		2	40.00			Excluded		2	40.00					0	0.00		5	
		TOTAL		104	40.31		20	7.75		8	3.10		14	5.43					91	35.27					21	8.14		258	
	FOURTH			5	62.50		0	0.00			Excluded		2	25.00					1	12.50					0	0.00		8	
		TOTAL		109	42.25		20	7.75					16	6.20					92	35.66					21	8.14		258	
	FIFTH			10	62.50		5	31.25						Excluded					0	0.00					1	6.25		16	
		TOTAL		119	46.12		25	9.69											92	35.66					22	8.53		258	
	SIXTH			5	22.73		14	63.64											3	13.64						Excluded		22	
		TOTAL		124	48.06		39	15.12											95	36.82								258	
	SEVENTH			6	15.38			Excluded											33	84.62								39	
		TOTAL		130	50.39														128	49.61								258	
																			Elected										
																													
Gresford                                                       																													
	FIRST			146	27.86		50	9.54		10	1.91		23	4.39		3	0.57		258	49.24		0	0.00		34	6.49		524	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		146	27.86		50	9.54		10	1.91		23	4.39		3	0.57		258	49.24					34	6.49		524	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	33.33					2	66.67		3	
		TOTAL		146	27.86		50	9.54		10	1.91		23	4.39					259	49.43					36	6.87		524	
	FOURTH			3	30.00		2	20.00			Excluded		5	50.00					0	0.00					0	0.00		10	
		TOTAL		149	28.44		52	9.92					28	5.34					259	49.43					36	6.87		524	
	FIFTH			17	60.71		3	10.71						Excluded					2	7.14					6	21.43		28	
		TOTAL		166	31.68		55	10.50											261	49.81					42	8.02		524	
	SIXTH			8	19.05		27	64.29											7	16.67						Excluded		42	
		TOTAL		174	33.21		82	15.65											268	51.15								524	
	SEVENTH			19	23.17			Excluded											63	76.83								82	
		TOTAL		193	36.83														331	63.17								524	
																			Elected										
																													
Hawks Nest                                                     																													
	FIRST			325	39.98		48	5.90		7	0.86		10	1.23		17	2.09		364	44.77		27	3.32		15	1.85		813	
	SECOND			8	29.63		4	14.81		0	0.00		3	11.11		6	22.22		3	11.11			Excluded		3	11.11		27	
		TOTAL		333	40.96		52	6.40		7	0.86		13	1.60		23	2.83		367	45.14					18	2.21		813	
	THIRD			9	39.13		1	4.35		2	8.70		3	13.04			Excluded		7	30.43					1	4.35		23	
		TOTAL		342	42.07		53	6.52		9	1.11		16	1.97					374	46.00					19	2.34		813	
	FOURTH			3	33.33		1	11.11			Excluded		4	44.44					1	11.11					0	0.00		9	
		TOTAL		345	42.44		54	6.64					20	2.46					375	46.13					19	2.34		813	
	FIFTH			10	50.00		3	15.00						Excluded					3	15.00					4	20.00		20	
		TOTAL		355	43.67		57	7.01											378	46.49					23	2.83		813	
	SIXTH			10	43.48		6	26.09											7	30.43						Excluded		23	
		TOTAL		365	44.90		63	7.75											385	47.36								813	
	SEVENTH			5	7.94			Excluded											58	92.06								63	
		TOTAL		370	45.51														443	54.49								813	
																			Elected										
																													
Hinton                                                         																													
	FIRST			187	32.13		48	8.25		13	2.23		15	2.58		9	1.55		284	48.80		0	0.00		26	4.47		582	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		187	32.13		48	8.25		13	2.23		15	2.58		9	1.55		284	48.80					26	4.47		582	
	THIRD			3	33.33		1	11.11		0	0.00		1	11.11			Excluded		1	11.11					3	33.33		9	
		TOTAL		190	32.65		49	8.42		13	2.23		16	2.75					285	48.97					29	4.98		582	
	FOURTH			4	30.77		2	15.38			Excluded		3	23.08					2	15.38					2	15.38		13	
		TOTAL		194	33.33		51	8.76					19	3.26					287	49.31					31	5.33		582	
	FIFTH			12	63.16		3	15.79						Excluded					2	10.53					2	10.53		19	
		TOTAL		206	35.40		54	9.28											289	49.66					33	5.67		582	
	SIXTH			14	42.42		11	33.33											8	24.24						Excluded		33	
		TOTAL		220	37.80		65	11.17											297	51.03								582	
	SEVENTH			10	15.38			Excluded											55	84.62								65	
		TOTAL		230	39.52														352	60.48								582	
																			Elected										
																													
Karuah                                                         																													
	FIRST			402	46.80		33	3.84		6	0.70		20	2.33		7	0.81		276	32.13		62	7.22		53	6.17		859	
	SECOND			22	35.48		8	12.90		3	4.84		2	3.23		2	3.23		12	19.35			Excluded		13	20.97		62	
		TOTAL		424	49.36		41	4.77		9	1.05		22	2.56		9	1.05		288	33.53					66	7.68		859	
	THIRD			1	11.11		2	22.22		1	11.11		1	11.11			Excluded		1	11.11					3	33.33		9	
		TOTAL		425	49.48		43	5.01		10	1.16		23	2.68					289	33.64					69	8.03		859	
	FOURTH			3	30.00		3	30.00			Excluded		2	20.00					1	10.00					1	10.00		10	
		TOTAL		428	49.83		46	5.36					25	2.91					290	33.76					70	8.15		859	
	FIFTH			17	68.00		3	12.00						Excluded					4	16.00					1	4.00		25	
		TOTAL		445	51.80		49	5.70											294	34.23					71	8.27		859	
	SIXTH			22	30.99		30	42.25											19	26.76						Excluded		71	
		TOTAL		467	54.37		79	9.20											313	36.44								859	
	SEVENTH			26	32.91			Excluded											53	67.09								79	
		TOTAL		493	57.39														366	42.61								859	
																			Elected										
																													
Lemon Tree Passage                                             																													
	FIRST			567	47.33		45	3.76		36	3.01		29	2.42		11	0.92		455	37.98		2	0.17		53	4.42		1198	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		568	47.41		45	3.76		36	3.01		29	2.42		11	0.92		456	38.06					53	4.42		1198	
	THIRD			1	9.09		1	9.09		1	9.09		3	27.27			Excluded		0	0.00					5	45.45		11	
		TOTAL		569	47.50		46	3.84		37	3.09		32	2.67					456	38.06					58	4.84		1198	
	FOURTH			15	40.54		4	10.81			Excluded		15	40.54					1	2.70					2	5.41		37	
		TOTAL		584	48.75		50	4.17					47	3.92					457	38.15					60	5.01		1198	
	FIFTH			34	72.34		5	10.64						Excluded					2	4.26					6	12.77		47	
		TOTAL		618	51.59		55	4.59											459	38.31					66	5.51		1198	
	SIXTH			24	36.36		26	39.39											16	24.24						Excluded		66	
		TOTAL		642	53.59		81	6.76											475	39.65								1198	
	SEVENTH			31	38.27			Excluded											50	61.73								81	
		TOTAL		673	56.18														525	43.82								1198	
																			Elected										
																													
Mallabula                                                      																													
	FIRST			295	51.85		26	4.57		12	2.11		24	4.22		2	0.35		187	32.86		3	0.53		20	3.51		569	
	SECOND			0	0.00		3	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		295	51.85		29	5.10		12	2.11		24	4.22		2	0.35		187	32.86					20	3.51		569	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00					0	0.00		2	
		TOTAL		296	52.02		29	5.10		12	2.11		24	4.22					188	33.04					20	3.51		569	
	FOURTH			3	25.00		2	16.67			Excluded		6	50.00					0	0.00					1	8.33		12	
		TOTAL		299	52.55		31	5.45					30	5.27					188	33.04					21	3.69		569	
	FIFTH			17	56.67		7	23.33						Excluded					1	3.33					5	16.67		30	
		TOTAL		316	55.54		38	6.68											189	33.22					26	4.57		569	
	SIXTH			7	26.92		12	46.15											7	26.92						Excluded		26	
		TOTAL		323	56.77		50	8.79											196	34.45								569	
	SEVENTH			18	36.00			Excluded											32	64.00								50	
		TOTAL		341	59.93														228	40.07								569	
																			Elected										
																													
Martins Creek                                                  																													
	FIRST			74	36.45		15	7.39		11	5.42		7	3.45		3	1.48		67	33.00		1	0.49		25	12.32		203	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		74	36.45		15	7.39		11	5.42		8	3.94		3	1.48		67	33.00					25	12.32		203	
	THIRD			0	0.00		2	66.67		0	0.00		0	0.00			Excluded		1	33.33					0	0.00		3	
		TOTAL		74	36.45		17	8.37		11	5.42		8	3.94					68	33.50					25	12.32		203	
	FOURTH			1	9.09		1	9.09			Excluded		8	72.73					0	0.00					1	9.09		11	
		TOTAL		75	36.95		18	8.87					16	7.88					68	33.50					26	12.81		203	
	FIFTH			8	50.00		4	25.00						Excluded					1	6.25					3	18.75		16	
		TOTAL		83	40.89		22	10.84											69	33.99					29	14.29		203	
	SIXTH			8	27.59		14	48.28											7	24.14						Excluded		29	
		TOTAL		91	44.83		36	17.73											76	37.44								203	
	SEVENTH			10	27.78			Excluded											26	72.22								36	
		TOTAL		101	49.75														102	50.25								203	
																			Elected										
																													
Medowie                                                        																													
	FIRST			636	37.46		96	5.65		48	2.83		46	2.71		23	1.35		745	43.88		2	0.12		102	6.01		1698	
	SECOND			2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		638	37.57		96	5.65		48	2.83		46	2.71		23	1.35		745	43.88					102	6.01		1698	
	THIRD			3	13.04		0	0.00		6	26.09		4	17.39			Excluded		6	26.09					4	17.39		23	
		TOTAL		641	37.75		96	5.65		54	3.18		50	2.94					751	44.23					106	6.24		1698	
	FOURTH			17	31.48		5	9.26			Excluded		21	38.89					5	9.26					6	11.11		54	
		TOTAL		658	38.75		101	5.95					71	4.18					756	44.52					112	6.60		1698	
	FIFTH			47	66.20		11	15.49						Excluded					6	8.45					7	9.86		71	
		TOTAL		705	41.52		112	6.60											762	44.88					119	7.01		1698	
	SIXTH			33	27.73		62	52.10											24	20.17						Excluded		119	
		TOTAL		738	43.46		174	10.25											786	46.29								1698	
	SEVENTH			37	21.26			Excluded											137	78.74								174	
		TOTAL		775	45.64														923	54.36								1698	
																			Elected										
																													
Millers Forest                                                 																													
	FIRST			86	33.20		25	9.65		7	2.70		3	1.16		2	0.77		121	46.72		0	0.00		15	5.79		259	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		86	33.20		25	9.65		7	2.70		3	1.16		2	0.77		121	46.72					15	5.79		259	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					1	50.00		2	
		TOTAL		87	33.59		25	9.65		7	2.70		3	1.16					121	46.72					16	6.18		259	
	FOURTH			3	42.86		1	14.29			Excluded		2	28.57					0	0.00					1	14.29		7	
		TOTAL		90	34.75		26	10.04					5	1.93					121	46.72					17	6.56		259	
	FIFTH			3	60.00		1	20.00						Excluded					0	0.00					1	20.00		5	
		TOTAL		93	35.91		27	10.42											121	46.72					18	6.95		259	
	SIXTH			4	22.22		6	33.33											8	44.44						Excluded		18	
		TOTAL		97	37.45		33	12.74											129	49.81								259	
	SEVENTH			9	27.27			Excluded											24	72.73								33	
		TOTAL		106	40.93														153	59.07								259	
																			Elected										
																													
Morpeth                                                        																													
	FIRST			348	43.94		22	2.78		32	4.04		43	5.43		6	0.76		324	40.91		1	0.13		16	2.02		792	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		349	44.07		22	2.78		32	4.04		43	5.43		6	0.76		324	40.91					16	2.02		792	
	THIRD			2	33.33		0	0.00		0	0.00		1	16.67			Excluded		0	0.00					3	50.00		6	
		TOTAL		351	44.32		22	2.78		32	4.04		44	5.56					324	40.91					19	2.40		792	
	FOURTH			11	34.38		1	3.13			Excluded		16	50.00					2	6.25					2	6.25		32	
		TOTAL		362	45.71		23	2.90					60	7.58					326	41.16					21	2.65		792	
	FIFTH			46	76.67		3	5.00						Excluded					8	13.33					3	5.00		60	
		TOTAL		408	51.52		26	3.28											334	42.17					24	3.03		792	
	SIXTH			6	25.00		8	33.33											10	41.67						Excluded		24	
		TOTAL		414	52.27		34	4.29											344	43.43								792	
	SEVENTH			18	52.94			Excluded											16	47.06								34	
		TOTAL		432	54.55														360	45.45								792	
																			Elected										
																													
Mount Kanwary                                                  																													
	FIRST			66	32.67		17	8.42		7	3.47		2	0.99		2	0.99		100	49.50		0	0.00		8	3.96		202	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		66	32.67		17	8.42		7	3.47		2	0.99		2	0.99		100	49.50					8	3.96		202	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					1	50.00		2	
		TOTAL		67	33.17		17	8.42		7	3.47		2	0.99					100	49.50					9	4.46		202	
	FOURTH			3	42.86		2	28.57			Excluded		1	14.29					1	14.29					0	0.00		7	
		TOTAL		70	34.65		19	9.41					3	1.49					101	50.00					9	4.46		202	
	FIFTH			3	100.00		0	0.00						Excluded					0	0.00					0	0.00		3	
		TOTAL		73	36.14		19	9.41											101	50.00					9	4.46		202	
	SIXTH			2	22.22		3	33.33											4	44.44						Excluded		9	
		TOTAL		75	37.13		22	10.89											105	51.98								202	
	SEVENTH			7	31.82			Excluded											15	68.18								22	
		TOTAL		82	40.59														120	59.41								202	
																			Elected										
																													
Nabiac                                                         																													
	FIRST			137	27.29		61	12.15		8	1.59		19	3.78		4	0.80		225	44.82		1	0.20		47	9.36		502	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		137	27.29		61	12.15		8	1.59		19	3.78		5	1.00		225	44.82					47	9.36		502	
	THIRD			1	20.00		0	0.00		1	20.00		1	20.00			Excluded		0	0.00					2	40.00		5	
		TOTAL		138	27.49		61	12.15		9	1.79		20	3.98					225	44.82					49	9.76		502	
	FOURTH			3	33.33		2	22.22			Excluded		2	22.22					1	11.11					1	11.11		9	
		TOTAL		141	28.09		63	12.55					22	4.38					226	45.02					50	9.96		502	
	FIFTH			12	54.55		4	18.18						Excluded					4	18.18					2	9.09		22	
		TOTAL		153	30.48		67	13.35											230	45.82					52	10.36		502	
	SIXTH			9	17.31		30	57.69											13	25.00						Excluded		52	
		TOTAL		162	32.27		97	19.32											243	48.41								502	
	SEVENTH			15	15.46			Excluded											82	84.54								97	
		TOTAL		177	35.26														325	64.74								502	
																			Elected										
																													
Nelson Bay                                                     																													
	FIRST			310	30.36		64	6.27		44	4.31		42	4.11		10	0.98		492	48.19		2	0.20		57	5.58		1021	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		310	30.36		64	6.27		44	4.31		42	4.11		10	0.98		492	48.19					59	5.78		1021	
	THIRD			1	10.00		0	0.00		1	10.00		6	60.00			Excluded		0	0.00					2	20.00		10	
		TOTAL		311	30.46		64	6.27		45	4.41		48	4.70					492	48.19					61	5.97		1021	
	FOURTH			13	28.89		0	0.00			Excluded		25	55.56					6	13.33					1	2.22		45	
		TOTAL		324	31.73		64	6.27					73	7.15					498	48.78					62	6.07		1021	
	FIFTH			39	53.42		12	16.44						Excluded					18	24.66					4	5.48		73	
		TOTAL		363	35.55		76	7.44											516	50.54					66	6.46		1021	
	SIXTH			23	34.85		28	42.42											15	22.73						Excluded		66	
		TOTAL		386	37.81		104	10.19											531	52.01								1021	
	SEVENTH			22	21.15			Excluded											82	78.85								104	
		TOTAL		408	39.96														613	60.04								1021	
																			Elected										
																													
Nelson Bay Central                                             																													
	FIRST			344	40.57		40	4.72		16	1.89		11	1.30		28	3.30		369	43.51		0	0.00		40	4.72		848	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		344	40.57		40	4.72		16	1.89		11	1.30		28	3.30		369	43.51					40	4.72		848	
	THIRD			18	64.29		0	0.00		1	3.57		6	21.43			Excluded		1	3.57					2	7.14		28	
		TOTAL		362	42.69		40	4.72		17	2.00		17	2.00					370	43.63					42	4.95		848	
	FOURTH			3	17.65		3	17.65			Excluded		8	47.06					3	17.65					0	0.00		17	
		TOTAL		365	43.04		43	5.07					25	2.95					373	43.99					42	4.95		848	
	FIFTH			7	28.00		4	16.00						Excluded					7	28.00					7	28.00		25	
		TOTAL		372	43.87		47	5.54											380	44.81					49	5.78		848	
	SIXTH			20	40.82		12	24.49											17	34.69						Excluded		49	
		TOTAL		392	46.23		59	6.96											397	46.82								848	
	SEVENTH			7	11.86			Excluded											52	88.14								59	
		TOTAL		399	47.05														449	52.95								848	
																			Elected										
																													
Nelson Bay East                                                																													
	FIRST			172	45.03		17	4.45		7	1.83		4	1.05		2	0.52		164	42.93		0	0.00		16	4.19		382	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		172	45.03		17	4.45		7	1.83		4	1.05		2	0.52		164	42.93					16	4.19		382	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00					1	50.00		2	
		TOTAL		172	45.03		17	4.45		7	1.83		5	1.31					164	42.93					17	4.45		382	
	FOURTH			2	28.57		2	28.57			Excluded		2	28.57					0	0.00					1	14.29		7	
		TOTAL		174	45.55		19	4.97					7	1.83					164	42.93					18	4.71		382	
	FIFTH			5	71.43		0	0.00						Excluded					1	14.29					1	14.29		7	
		TOTAL		179	46.86		19	4.97											165	43.19					19	4.97		382	
	SIXTH			6	31.58		7	36.84											6	31.58						Excluded		19	
		TOTAL		185	48.43		26	6.81											171	44.76								382	
	SEVENTH			5	19.23			Excluded											21	80.77								26	
		TOTAL		190	49.74														192	50.26								382	
																			Elected										
																													
Nelson Bay West                                                																													
	FIRST			157	31.03		45	8.89		28	5.53		22	4.35		4	0.79		229	45.26		0	0.00		21	4.15		506	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		157	31.03		45	8.89		28	5.53		22	4.35		4	0.79		229	45.26					21	4.15		506	
	THIRD			1	25.00		0	0.00		0	0.00		1	25.00			Excluded		1	25.00					1	25.00		4	
		TOTAL		158	31.23		45	8.89		28	5.53		23	4.55					230	45.45					22	4.35		506	
	FOURTH			11	39.29		4	14.29			Excluded		13	46.43					0	0.00					0	0.00		28	
		TOTAL		169	33.40		49	9.68					36	7.11					230	45.45					22	4.35		506	
	FIFTH			22	61.11		5	13.89						Excluded					6	16.67					3	8.33		36	
		TOTAL		191	37.75		54	10.67											236	46.64					25	4.94		506	
	SIXTH			10	40.00		9	36.00											6	24.00						Excluded		25	
		TOTAL		201	39.72		63	12.45											242	47.83								506	
	SEVENTH			8	12.70			Excluded											55	87.30								63	
		TOTAL		209	41.30														297	58.70								506	
																			Elected										
																													
North Arm Cove                                                 																													
	FIRST			76	31.28		15	6.17		3	1.23		5	2.06		1	0.41		112	46.09		12	4.94		19	7.82		243	
	SECOND			3	25.00		1	8.33		0	0.00		1	8.33		0	0.00		4	33.33			Excluded		3	25.00		12	
		TOTAL		79	32.51		16	6.58		3	1.23		6	2.47		1	0.41		116	47.74					22	9.05		243	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00					0	0.00		1	
		TOTAL		79	32.51		16	6.58		3	1.23		7	2.88					116	47.74					22	9.05		243	
	FOURTH			1	33.33		0	0.00			Excluded		2	66.67					0	0.00					0	0.00		3	
		TOTAL		80	32.92		16	6.58					9	3.70					116	47.74					22	9.05		243	
	FIFTH			8	88.89		1	11.11						Excluded					0	0.00					0	0.00		9	
		TOTAL		88	36.21		17	7.00											116	47.74					22	9.05		243	
	SIXTH			5	22.73		7	31.82											10	45.45						Excluded		22	
		TOTAL		93	38.27		24	9.88											126	51.85								243	
	SEVENTH			4	16.67			Excluded											20	83.33								24	
		TOTAL		97	39.92														146	60.08								243	
																			Elected										
																													
Pacific Palms                                                  																													
	FIRST			363	40.24		35	3.88		40	4.43		65	7.21		7	0.78		356	39.47		0	0.00		36	3.99		902	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		363	40.24		35	3.88		40	4.43		65	7.21		7	0.78		356	39.47					36	3.99		902	
	THIRD			1	14.29		0	0.00		1	14.29		2	28.57			Excluded		1	14.29					2	28.57		7	
		TOTAL		364	40.35		35	3.88		41	4.55		67	7.43					357	39.58					38	4.21		902	
	FOURTH			17	41.46		3	7.32			Excluded		17	41.46					2	4.88					2	4.88		41	
		TOTAL		381	42.24		38	4.21					84	9.31					359	39.80					40	4.43		902	
	FIFTH			60	71.43		8	9.52						Excluded					11	13.10					5	5.95		84	
		TOTAL		441	48.89		46	5.10											370	41.02					45	4.99		902	
	SIXTH			18	40.00		13	28.89											14	31.11						Excluded		45	
		TOTAL		459	50.89		59	6.54											384	42.57								902	
	SEVENTH			20	33.90			Excluded											39	66.10								59	
		TOTAL		479	53.10														423	46.90								902	
																			Elected										
																													
Paterson                                                       																													
	FIRST			151	29.90		22	4.36		31	6.14		31	6.14		2	0.40		220	43.56		2	0.40		46	9.11		505	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		151	29.90		22	4.36		31	6.14		31	6.14		3	0.59		220	43.56					47	9.31		505	
	THIRD			0	0.00		0	0.00		1	33.33		1	33.33			Excluded		0	0.00					1	33.33		3	
		TOTAL		151	29.90		22	4.36		32	6.34		32	6.34					220	43.56					48	9.50		505	
	FOURTH			5	15.63		2	6.25			Excluded		25	78.13					0	0.00					0	0.00		32	
		TOTAL		156	30.89		24	4.75					57	11.29					220	43.56					48	9.50		505	
	FIFTH			35	61.40		9	15.79						Excluded					6	10.53					7	12.28		57	
		TOTAL		191	37.82		33	6.53											226	44.75					55	10.89		505	
	SIXTH			21	38.18		24	43.64											10	18.18						Excluded		55	
		TOTAL		212	41.98		57	11.29											236	46.73								505	
	SEVENTH			13	22.81			Excluded											44	77.19								57	
		TOTAL		225	44.55														280	55.45								505	
																			Elected										
																													
Raymond Terrace                                                																													
	FIRST			824	49.14		87	5.19		37	2.21		33	1.97		17	1.01		578	34.47		5	0.30		96	5.72		1677	
	SECOND			3	60.00		0	0.00		0	0.00		1	20.00		1	20.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		827	49.31		87	5.19		37	2.21		34	2.03		18	1.07		578	34.47					96	5.72		1677	
	THIRD			1	5.56		0	0.00		2	11.11		7	38.89			Excluded		2	11.11					6	33.33		18	
		TOTAL		828	49.37		87	5.19		39	2.33		41	2.44					580	34.59					102	6.08		1677	
	FOURTH			15	38.46		4	10.26			Excluded		15	38.46					4	10.26					1	2.56		39	
		TOTAL		843	50.27		91	5.43					56	3.34					584	34.82					103	6.14		1677	
	FIFTH			30	53.57		10	17.86						Excluded					6	10.71					10	17.86		56	
		TOTAL		873	52.06		101	6.02											590	35.18					113	6.74		1677	
	SIXTH			37	32.74		48	42.48											28	24.78						Excluded		113	
		TOTAL		910	54.26		149	8.88											618	36.85								1677	
	SEVENTH			35	23.49			Excluded											114	76.51								149	
		TOTAL		945	56.35														732	43.65								1677	
																			Elected										
																													
Raymond Terrace Central                                        																													
	FIRST			725	46.33		104	6.65		41	2.62		25	1.60		14	0.89		576	36.81		7	0.45		73	4.66		1565	
	SECOND			1	14.29		2	28.57		0	0.00		1	14.29		0	0.00		2	28.57			Excluded		1	14.29		7	
		TOTAL		726	46.39		106	6.77		41	2.62		26	1.66		14	0.89		578	36.93					74	4.73		1565	
	THIRD			4	28.57		1	7.14		1	7.14		5	35.71			Excluded		1	7.14					2	14.29		14	
		TOTAL		730	46.65		107	6.84		42	2.68		31	1.98					579	37.00					76	4.86		1565	
	FOURTH			18	42.86		3	7.14			Excluded		17	40.48					4	9.52					0	0.00		42	
		TOTAL		748	47.80		110	7.03					48	3.07					583	37.25					76	4.86		1565	
	FIFTH			27	56.25		7	14.58						Excluded					2	4.17					12	25.00		48	
		TOTAL		775	49.52		117	7.48											585	37.38					88	5.62		1565	
	SIXTH			44	50.00		24	27.27											20	22.73						Excluded		88	
		TOTAL		819	52.33		141	9.01											605	38.66								1565	
	SEVENTH			46	32.62			Excluded											95	67.38								141	
		TOTAL		865	55.27														700	44.73								1565	
																			Elected										
																													
Raymond Terrace East                                           																													
	FIRST			738	56.21		56	4.27		27	2.06		29	2.21		16	1.22		392	29.86		6	0.46		49	3.73		1313	
	SECOND			2	33.33		0	0.00		0	0.00		0	0.00		0	0.00		1	16.67			Excluded		3	50.00		6	
		TOTAL		740	56.36		56	4.27		27	2.06		29	2.21		16	1.22		393	29.93					52	3.96		1313	
	THIRD			5	31.25		2	12.50		2	12.50		4	25.00			Excluded		1	6.25					2	12.50		16	
		TOTAL		745	56.74		58	4.42		29	2.21		33	2.51					394	30.01					54	4.11		1313	
	FOURTH			7	24.14		5	17.24			Excluded		13	44.83					1	3.45					3	10.34		29	
		TOTAL		752	57.27		63	4.80					46	3.50					395	30.08					57	4.34		1313	
	FIFTH			16	34.78		9	19.57						Excluded					9	19.57					12	26.09		46	
		TOTAL		768	58.49		72	5.48											404	30.77					69	5.26		1313	
	SIXTH			27	39.13		18	26.09											24	34.78						Excluded		69	
		TOTAL		795	60.55		90	6.85											428	32.60								1313	
	SEVENTH			25	27.78			Excluded											65	72.22								90	
		TOTAL		820	62.45														493	37.55								1313	
																			Elected										
																													
Raymond Terrace North                                          																													
	FIRST			778	55.53		71	5.07		33	2.36		30	2.14		10	0.71		429	30.62		3	0.21		47	3.35		1401	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		2	66.67		0	0.00			Excluded		0	0.00		3	
		TOTAL		779	55.60		71	5.07		33	2.36		30	2.14		12	0.86		429	30.62					47	3.35		1401	
	THIRD			7	58.33		0	0.00		0	0.00		2	16.67			Excluded		1	8.33					2	16.67		12	
		TOTAL		786	56.10		71	5.07		33	2.36		32	2.28					430	30.69					49	3.50		1401	
	FOURTH			16	48.48		1	3.03			Excluded		12	36.36					3	9.09					1	3.03		33	
		TOTAL		802	57.24		72	5.14					44	3.14					433	30.91					50	3.57		1401	
	FIFTH			17	38.64		6	13.64						Excluded					9	20.45					12	27.27		44	
		TOTAL		819	58.46		78	5.57											442	31.55					62	4.43		1401	
	SIXTH			29	46.77		21	33.87											12	19.35						Excluded		62	
		TOTAL		848	60.53		99	7.07											454	32.41								1401	
	SEVENTH			20	20.20			Excluded											79	79.80								99	
		TOTAL		868	61.96														533	38.04								1401	
																			Elected										
																													
Rookhurst                                                      																													
	FIRST			6	7.23		48	57.83		1	1.20		0	0.00		0	0.00		22	26.51		0	0.00		6	7.23		83	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	7.23		48	57.83		1	1.20		0	0.00		0	0.00		22	26.51					6	7.23		83	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		6	7.23		48	57.83		1	1.20		0	0.00					22	26.51					6	7.23		83	
	FOURTH			0	0.00		0	0.00			Excluded		1	100.00					0	0.00					0	0.00		1	
