House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences																															
By Polling Place																															
																															
Blaxland																															
				MCDERMOTT			VINNICOMBE			ANNY			HATTON			SAYEGH			PETERSON			HAWAT			MCKAY			OSMOND			
	FIRST			68	4.61		55	3.73		5	0.34		794	53.79		25	1.69		38	2.57		40	2.71		33	2.24		418	28.32		1476
	SECOND			1	20.00		1	20.00			Excluded		2	40.00		0	0.00		1	20.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		69	4.67		56	3.79					796	53.93		25	1.69		39	2.64		40	2.71		33	2.24		418	28.32		1476
	THIRD			1	4.00		2	8.00					4	16.00			Excluded		5	20.00		0	0.00		1	4.00		12	48.00		25
		TOTAL		70	4.74		58	3.93					800	54.20					44	2.98		40	2.71		34	2.30		430	29.13		1476
	FOURTH			7	17.50		1	2.50					15	37.50					3	7.50			Excluded		9	22.50		5	12.50		40
		TOTAL		77	5.22		59	4.00					815	55.22					47	3.18					43	2.91		435	29.47		1476
	FIFTH			5	10.64		8	17.02					8	17.02						Excluded					5	10.64		21	44.68		47
		TOTAL		82	5.56		67	4.54					823	55.76											48	3.25		456	30.89		1476
	SIXTH			22	45.83		4	8.33					10	20.83												Excluded		12	25.00		48
		TOTAL		104	7.05		71	4.81					833	56.44														468	31.71		1476
	SEVENTH			20	28.17			Excluded					16	22.54														35	49.30		71
		TOTAL		124	8.40								849	57.52														503	34.08		1476
	EIGHTH				Excluded								84	67.74														40	32.26		124
		TOTAL											933	63.21														543	36.79		1476
													Elected																		
																															
Punchbowl (Blaxland)                                           																															
	FIRST			119	5.22		65	2.85		12	0.53		1363	59.81		49	2.15		62	2.72		146	6.41		58	2.54		405	17.77		2279
	SECOND			1	8.33		3	25.00			Excluded		4	33.33		3	25.00		0	0.00		0	0.00		1	8.33		0	0.00		12
		TOTAL		120	5.27		68	2.98					1367	59.98		52	2.28		62	2.72		146	6.41		59	2.59		405	17.77		2279
	THIRD			3	5.77		1	1.92					9	17.31			Excluded		6	11.54		10	19.23		0	0.00		23	44.23		52
		TOTAL		123	5.40		69	3.03					1376	60.38					68	2.98		156	6.85		59	2.59		428	18.78		2279
	FOURTH			81	51.92		0	0.00					33	21.15					4	2.56			Excluded		26	16.67		12	7.69		156
		TOTAL		204	8.95		69	3.03					1409	61.83					72	3.16					85	3.73		440	19.31		2279
	FIFTH			6	8.33		6	8.33					21	29.17						Excluded					10	13.89		29	40.28		72
		TOTAL		210	9.21		75	3.29					1430	62.75											95	4.17		469	20.58		2279
	SIXTH			29	30.53		14	14.74					27	28.42												Excluded		25	26.32		95
		TOTAL		239	10.49		89	3.91					1457	63.93														494	21.68		2279
	SEVENTH			28	31.46			Excluded					16	17.98														45	50.56		89
		TOTAL		267	11.72								1473	64.63														539	23.65		2279
	EIGHTH				Excluded								160	59.93														107	40.07		267
		TOTAL											1633	71.65														646	28.35		2279
													Elected																		
																															
Punchbowl Central                                              																															
	FIRST			66	3.89		26	1.53		5	0.29		1004	59.23		39	2.30		57	3.36		70	4.13		27	1.59		401	23.66		1695
	SECOND			0	0.00		2	40.00			Excluded		1	20.00		1	20.00		0	0.00		0	0.00		0	0.00		1	20.00		5
		TOTAL		66	3.89		28	1.65					1005	59.29		40	2.36		57	3.36		70	4.13		27	1.59		402	23.72		1695
	THIRD			3	7.50		1	2.50					12	30.00			Excluded		4	10.00		2	5.00		2	5.00		16	40.00		40
		TOTAL		69	4.07		29	1.71					1017	60.00					61	3.60		72	4.25		29	1.71		418	24.66		1695
	FOURTH			14	19.44		3	4.17					34	47.22					2	2.78			Excluded		18	25.00		1	1.39		72
		TOTAL		83	4.90		32	1.89					1051	62.01					63	3.72					47	2.77		419	24.72		1695
	FIFTH			8	12.70		12	19.05					19	30.16						Excluded					11	17.46		13	20.63		63
		TOTAL		91	5.37		44	2.60					1070	63.13											58	3.42		432	25.49		1695
	SIXTH			23	39.66		3	5.17					22	37.93												Excluded		10	17.24		58
		TOTAL		114	6.73		47	2.77					1092	64.42														442	26.08		1695
	SEVENTH			19	40.43			Excluded					8	17.02														20	42.55		47
		TOTAL		133	7.85								1100	64.90														462	27.26		1695
	EIGHTH				Excluded								100	75.19														33	24.81		133
		TOTAL											1200	70.80														495	29.20		1695
													Elected																		
																															
Sefton                                                         																															
	FIRST			151	6.14		216	8.79		17	0.69		1245	50.65		26	1.06		24	0.98		39	1.59		42	1.71		698	28.40		2458
	SECOND			3	17.65		6	35.29			Excluded		3	17.65		3	17.65		1	5.88		0	0.00		1	5.88		0	0.00		17
		TOTAL		154	6.27		222	9.03					1248	50.77		29	1.18		25	1.02		39	1.59		43	1.75		698	28.40		2458
	THIRD			2	6.90		2	6.90					7	24.14			Excluded		5	17.24		2	6.90		2	6.90		9	31.03		29
		TOTAL		156	6.35		224	9.11					1255	51.06					30	1.22		41	1.67		45	1.83		707	28.76		2458
	FOURTH			9	21.95		2	4.88					20	48.78					5	12.20			Excluded		5	12.20		0	0.00		41
		TOTAL		165	6.71		226	9.19					1275	51.87					35	1.42					50	2.03		707	28.76		2458
	FIFTH			3	8.57		7	20.00					10	28.57						Excluded					5	14.29		10	28.57		35
		TOTAL		168	6.83		233	9.48					1285	52.28											55	2.24		717	29.17		2458
	SIXTH			21	38.18		3	5.45					12	21.82												Excluded		19	34.55		55
		TOTAL		189	7.69		236	9.60					1297	52.77														736	29.94		2458
	SEVENTH			43	18.22			Excluded					45	19.07														148	62.71		236
		TOTAL		232	9.44								1342	54.60														884	35.96		2458
	EIGHTH				Excluded								169	72.84														63	27.16		232
		TOTAL											1511	61.47														947	38.53		2458
													Elected																		
																															
St Pauls                                                       																															
	FIRST			41	2.56		39	2.43		5	0.31		1071	66.77		11	0.69		22	1.37		36	2.24		29	1.81		350	21.82		1604
	SECOND			1	20.00		2	40.00			Excluded		1	20.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		42	2.62		41	2.56					1072	66.83		12	0.75		22	1.37		36	2.24		29	1.81		350	21.82		1604
	THIRD			2	16.67		1	8.33					3	25.00			Excluded		3	25.00		1	8.33		0	0.00		2	16.67		12
		TOTAL		44	2.74		42	2.62					1075	67.02					25	1.56		37	2.31		29	1.81		352	21.95		1604
	FOURTH			6	16.22		0	0.00					21	56.76					0	0.00			Excluded		7	18.92		3	8.11		37
		TOTAL		50	3.12		42	2.62					1096	68.33					25	1.56					36	2.24		355	22.13		1604
	FIFTH			0	0.00		4	16.00					7	28.00						Excluded					5	20.00		9	36.00		25
		TOTAL		50	3.12		46	2.87					1103	68.77											41	2.56		364	22.69		1604
	SIXTH			14	34.15		2	4.88					15	36.59												Excluded		10	24.39		41
		TOTAL		64	3.99		48	2.99					1118	69.70														374	23.32		1604
	SEVENTH			19	39.58			Excluded					9	18.75														20	41.67		48
		TOTAL		83	5.17								1127	70.26														394	24.56		1604
	EIGHTH				Excluded								72	86.75														11	13.25		83
		TOTAL											1199	74.75														405	25.25		1604
													Elected																		
																															
Sydney (Blaxland)                                              																															
	FIRST			9	9.89		4	4.40		2	2.20		47	51.65		1	1.10		3	3.30		0	0.00		7	7.69		18	19.78		91
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		9	9.89		4	4.40					47	51.65		2	2.20		4	4.40		0	0.00		7	7.69		18	19.78		91
	THIRD			1	50.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		10	10.99		4	4.40					47	51.65					4	4.40		0	0.00		8	8.79		18	19.78		91
	FOURTH			0	0.00		0	0.00					0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		10	10.99		4	4.40					47	51.65					4	4.40					8	8.79		18	19.78		91
	FIFTH			0	0.00		0	0.00					3	75.00						Excluded					1	25.00		0	0.00		4
		TOTAL		10	10.99		4	4.40					50	54.95											9	9.89		18	19.78		91
	SIXTH			3	33.33		0	0.00					5	55.56												Excluded		1	11.11		9
		TOTAL		13	14.29		4	4.40					55	60.44														19	20.88		91
	SEVENTH			1	25.00			Excluded					2	50.00														1	25.00		4
		TOTAL		14	15.38								57	62.64														20	21.98		91
	EIGHTH				Excluded								13	92.86														1	7.14		14
		TOTAL											70	76.92														21	23.08		91
													Elected																		
																															
Villawood Central                                              																															
	FIRST			18	4.23		20	4.69		3	0.70		326	76.53		3	0.70		3	0.70		10	2.35		4	0.94		39	9.15		426
	SECOND			1	33.33		1	33.33			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		19	4.46		21	4.93					327	76.76		3	0.70		3	0.70		10	2.35		4	0.94		39	9.15		426
	THIRD			1	33.33		0	0.00					0	0.00			Excluded		0	0.00		1	33.33		0	0.00		1	33.33		3
		TOTAL		20	4.69		21	4.93					327	76.76					3	0.70		11	2.58		4	0.94		40	9.39		426
	FOURTH			1	9.09		0	0.00					5	45.45					0	0.00			Excluded		3	27.27		2	18.18		11
		TOTAL		21	4.93		21	4.93					332	77.93					3	0.70					7	1.64		42	9.86		426
	FIFTH			0	0.00		1	33.33					1	33.33						Excluded					1	33.33		0	0.00		3
		TOTAL		21	4.93		22	5.16					333	78.17											8	1.88		42	9.86		426
	SIXTH			1	12.50		1	12.50					5	62.50												Excluded		1	12.50		8
		TOTAL		22	5.16		23	5.40					338	79.34														43	10.09		426
	SEVENTH			9	39.13			Excluded					6	26.09														8	34.78		23
		TOTAL		31	7.28								344	80.75														51	11.97		426
	EIGHTH				Excluded								22	70.97														9	29.03		31
		TOTAL											366	85.92														60	14.08		426
													Elected																		
																															
Villawood East                                                 																															
	FIRST			73	6.47		107	9.49		7	0.62		735	65.16		13	1.15		19	1.68		15	1.33		16	1.42		143	12.68		1128
	SECOND			2	28.57		0	0.00			Excluded		2	28.57		2	28.57		0	0.00		0	0.00		1	14.29		0	0.00		7
		TOTAL		75	6.65		107	9.49					737	65.34		15	1.33		19	1.68		15	1.33		17	1.51		143	12.68		1128
	THIRD			2	13.33		2	13.33					6	40.00			Excluded		1	6.67		1	6.67		1	6.67		2	13.33		15
		TOTAL		77	6.83		109	9.66					743	65.87					20	1.77		16	1.42		18	1.60		145	12.85		1128
	FOURTH			1	6.25		2	12.50					7	43.75					1	6.25			Excluded		0	0.00		5	31.25		16
		TOTAL		78	6.91		111	9.84					750	66.49					21	1.86					18	1.60		150	13.30		1128
	FIFTH			2	9.52		1	4.76					1	4.76						Excluded					4	19.05		13	61.90		21
		TOTAL		80	7.09		112	9.93					751	66.58											22	1.95		163	14.45		1128
	SIXTH			10	45.45		4	18.18					4	18.18												Excluded		4	18.18		22
		TOTAL		90	7.98		116	10.28					755	66.93														167	14.80		1128
	SEVENTH			21	18.10			Excluded					25	21.55														70	60.34		116
		TOTAL		111	9.84								780	69.15														237	21.01		1128
	EIGHTH				Excluded								96	86.49														15	13.51		111
		TOTAL											876	77.66														252	22.34		1128
													Elected																		
																															
Wiley Park West (Blaxland)                                     																															
	FIRST			74	3.74		52	2.63		27	1.36		1303	65.84		34	1.72		30	1.52		121	6.11		54	2.73		284	14.35		1979
	SECOND			5	18.52		8	29.63			Excluded		6	22.22		3	11.11		1	3.70		1	3.70		2	7.41		1	3.70		27
		TOTAL		79	3.99		60	3.03					1309	66.14		37	1.87		31	1.57		122	6.16		56	2.83		285	14.40		1979
	THIRD			0	0.00		3	8.11					10	27.03			Excluded		5	13.51		8	21.62		2	5.41		9	24.32		37
		TOTAL		79	3.99		63	3.18					1319	66.65					36	1.82		130	6.57		58	2.93		294	14.86		1979
	FOURTH			54	41.54		2	1.54					40	30.77					14	10.77			Excluded		12	9.23		8	6.15		130
		TOTAL		133	6.72		65	3.28					1359	68.67					50	2.53					70	3.54		302	15.26		1979
	FIFTH			16	32.00		4	8.00					16	32.00						Excluded					11	22.00		3	6.00		50
		TOTAL		149	7.53		69	3.49					1375	69.48											81	4.09		305	15.41		1979
	SIXTH			19	23.46		3	3.70					34	41.98												Excluded		25	30.86		81
		TOTAL		168	8.49		72	3.64					1409	71.20														330	16.68		1979
	SEVENTH			24	33.33			Excluded					20	27.78														28	38.89		72
		TOTAL		192	9.70								1429	72.21														358	18.09		1979
	EIGHTH				Excluded								127	66.15														65	33.85		192
		TOTAL											1556	78.63														423	21.37		1979
													Elected																		
																															
Yagoona                                                        																															
	FIRST			117	4.56		175	6.83		11	0.43		1560	60.87		32	1.25		46	1.79		44	1.72		60	2.34		518	20.21		2563
	SECOND			3	27.27		3	27.27			Excluded		1	9.09		3	27.27		0	0.00		0	0.00		0	0.00		1	9.09		11
		TOTAL		120	4.68		178	6.94					1561	60.91		35	1.37		46	1.79		44	1.72		60	2.34		519	20.25		2563
	THIRD			3	8.57		3	8.57					6	17.14			Excluded		1	2.86		2	5.71		2	5.71		18	51.43		35
		TOTAL		123	4.80		181	7.06					1567	61.14					47	1.83		46	1.79		62	2.42		537	20.95		2563
	FOURTH			12	26.09		1	2.17					16	34.78					4	8.70			Excluded		8	17.39		5	10.87		46
		TOTAL		135	5.27		182	7.10					1583	61.76					51	1.99					70	2.73		542	21.15		2563
	FIFTH			3	5.88		6	11.76					13	25.49						Excluded					7	13.73		22	43.14		51
		TOTAL		138	5.38		188	7.34					1596	62.27											77	3.00		564	22.01		2563
	SIXTH			26	33.77		4	5.19					21	27.27												Excluded		26	33.77		77
		TOTAL		164	6.40		192	7.49					1617	63.09														590	23.02		2563
	SEVENTH			43	22.40			Excluded					21	10.94														128	66.67		192
		TOTAL		207	8.08								1638	63.91														718	28.01		2563
	EIGHTH				Excluded								161	77.78														46	22.22		207
		TOTAL											1799	70.19														764	29.81		2563
													Elected																		
																															
Yagoona West                                                   																															
	FIRST			55	4.07		93	6.89		10	0.74		798	59.11		15	1.11		24	1.78		20	1.48		28	2.07		307	22.74		1350
	SECOND			4	40.00		3	30.00			Excluded		0	0.00		3	30.00		0	0.00		0	0.00		0	0.00		0	0.00		10
		TOTAL		59	4.37		96	7.11					798	59.11		18	1.33		24	1.78		20	1.48		28	2.07		307	22.74		1350
	THIRD			1	5.56		1	5.56					6	33.33			Excluded		0	0.00		3	16.67		0	0.00		7	38.89		18
		TOTAL		60	4.44		97	7.19					804	59.56					24	1.78		23	1.70		28	2.07		314	23.26		1350
	FOURTH			5	21.74		0	0.00					7	30.43					0	0.00			Excluded		3	13.04		8	34.78		23
		TOTAL		65	4.81		97	7.19					811	60.07					24	1.78					31	2.30		322	23.85		1350
	FIFTH			1	4.17		5	20.83					4	16.67						Excluded					0	0.00		14	58.33		24
		TOTAL		66	4.89		102	7.56					815	60.37											31	2.30		336	24.89		1350
	SIXTH			11	35.48		1	3.23					13	41.94												Excluded		6	19.35		31
		TOTAL		77	5.70		103	7.63					828	61.33														342	25.33		1350
	SEVENTH			20	19.42			Excluded					19	18.45														64	62.14		103
		TOTAL		97	7.19								847	62.74														406	30.07		1350
	EIGHTH				Excluded								71	73.20														26	26.80		97
		TOTAL											918	68.00														432	32.00		1350
													Elected																		
																															
Special Hospital Team 1                                        																															
	FIRST			3	5.17		2	3.45		0	0.00		32	55.17		0	0.00		0	0.00		0	0.00		0	0.00		21	36.21		58
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	5.17		2	3.45					32	55.17		0	0.00		0	0.00		0	0.00		0	0.00		21	36.21		58
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	5.17		2	3.45					32	55.17					0	0.00		0	0.00		0	0.00		21	36.21		58
	FOURTH			0	0.00		0	0.00					0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		3	5.17		2	3.45					32	55.17					0	0.00					0	0.00		21	36.21		58
	FIFTH			0	0.00		0	0.00					0	0.00						Excluded					0	0.00		0	0.00		0
		TOTAL		3	5.17		2	3.45					32	55.17											0	0.00		21	36.21		58
	SIXTH			0	0.00		0	0.00					0	0.00												Excluded		0	0.00		0
		TOTAL		3	5.17		2	3.45					32	55.17														21	36.21		58
	SEVENTH			0	0.00			Excluded					0	0.00														2	100.00		2
		TOTAL		3	5.17								32	55.17														23	39.66		58
	EIGHTH				Excluded								3	100.00														0	0.00		3
		TOTAL											35	60.34														23	39.66		58
													Elected																		
																															
Special Hospital Team 2                                        																															
	FIRST			1	1.25		4	5.00		0	0.00		36	45.00		0	0.00		1	1.25		1	1.25		0	0.00		37	46.25		80
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	1.25		4	5.00					36	45.00		0	0.00		1	1.25		1	1.25		0	0.00		37	46.25		80
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	1.25		4	5.00					36	45.00					1	1.25		1	1.25		0	0.00		37	46.25		80
	FOURTH			1	100.00		0	0.00					0	0.00					0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		2	2.50		4	5.00					36	45.00					1	1.25					0	0.00		37	46.25		80
	FIFTH			0	0.00		0	0.00					0	0.00						Excluded					0	0.00		1	100.00		1
		TOTAL		2	2.50		4	5.00					36	45.00											0	0.00		38	47.50		80
	SIXTH			0	0.00		0	0.00					0	0.00												Excluded		0	0.00		0
		TOTAL		2	2.50		4	5.00					36	45.00														38	47.50		80
	SEVENTH			1	25.00			Excluded					0	0.00														3	75.00		4
		TOTAL		3	3.75								36	45.00														41	51.25		80
	EIGHTH				Excluded								2	66.67														1	33.33		3
		TOTAL											38	47.50														42	52.50		80
													Elected																		
																															
ABSENT																															
	FIRST			307	7.32		275	6.56		52	1.24		1842	43.94		56	1.34		149	3.55		73	1.74		225	5.37		1213	28.94		4192
	SECOND			8	15.38		15	28.85			Excluded		9	17.31		11	21.15		4	7.69		1	1.92		1	1.92		3	5.77		52
		TOTAL		315	7.51		290	6.92					1851	44.16		67	1.60		153	3.65		74	1.77		226	5.39		1216	29.01		4192
	THIRD			16	23.88		5	7.46					14	20.90			Excluded		6	8.96		2	2.99		13	19.40		11	16.42		67
		TOTAL		331	7.90		295	7.04					1865	44.49					159	3.79		76	1.81		239	5.70		1227	29.27		4192
	FOURTH			11	14.47		5	6.58					25	32.89					12	15.79			Excluded		16	21.05		7	9.21		76
		TOTAL		342	8.16		300	7.16					1890	45.09					171	4.08					255	6.08		1234	29.44		4192
	FIFTH			26	15.20		9	5.26					39	22.81						Excluded					34	19.88		63	36.84		171
		TOTAL		368	8.78		309	7.37					1929	46.02											289	6.89		1297	30.94		4192
	SIXTH			105	36.33		47	16.26					72	24.91												Excluded		65	22.49		289
		TOTAL		473	11.28		356	8.49					2001	47.73														1362	32.49		4192
	SEVENTH			116	32.58			Excluded					102	28.65														138	38.76		356
		TOTAL		589	14.05								2103	50.17														1500	35.78		4192
	EIGHTH				Excluded								452	76.74														137	23.26		589
		TOTAL											2555	60.95														1637	39.05		4192
													Elected																		
																															
POSTAL																															
	FIRST			68	2.80		204	8.40		11	0.45		1111	45.72		13	0.53		54	2.22		7	0.29		43	1.77		919	37.82		2430
	SECOND			3	27.27		2	18.18			Excluded		1	9.09		3	27.27		0	0.00		0	0.00		2	18.18		0	0.00		11
		TOTAL		71	2.92		206	8.48					1112	45.76		16	0.66		54	2.22		7	0.29		45	1.85		919	37.82		2430
	THIRD			5	31.25		0	0.00					1	6.25			Excluded		2	12.50		1	6.25		5	31.25		2	12.50		16
		TOTAL		76	3.13		206	8.48					1113	45.80					56	2.30		8	0.33		50	2.06		921	37.90		2430
	FOURTH			1	12.50		0	0.00					3	37.50					0	0.00			Excluded		2	25.00		2	25.00		8
		TOTAL		77	3.17		206	8.48					1116	45.93					56	2.30					52	2.14		923	37.98		2430
	FIFTH			10	17.86		4	7.14					14	25.00						Excluded					5	8.93		23	41.07		56
		TOTAL		87	3.58		210	8.64					1130	46.50											57	2.35		946	38.93		2430
	SIXTH			34	59.65		3	5.26					8	14.04												Excluded		12	21.05		57
		TOTAL		121	4.98		213	8.77					1138	46.83														958	39.42		2430
	SEVENTH			51	23.94			Excluded					63	29.58														99	46.48		213
		TOTAL		172	7.08								1201	49.42														1057	43.50		2430
	EIGHTH				Excluded								121	70.35														51	29.65		172
		TOTAL											1322	54.40														1108	45.60		2430
													Elected																		
																															
PRE POLL																															
	FIRST			94	4.08		169	7.34		20	0.87		1147	49.80		19	0.83		51	2.21		28	1.22		67	2.91		708	30.74		2303
	SECOND			1	5.00		8	40.00			Excluded		2	10.00		5	25.00		0	0.00		2	10.00		0	0.00		2	10.00		20
		TOTAL		95	4.13		177	7.69					1149	49.89		24	1.04		51	2.21		30	1.30		67	2.91		710	30.83		2303
	THIRD			7	29.17		1	4.17					3	12.50			Excluded		2	8.33		2	8.33		4	16.67		5	20.83		24
		TOTAL		102	4.43		178	7.73					1152	50.02					53	2.30		32	1.39		71	3.08		715	31.05		2303
	FOURTH			2	6.25		0	0.00					14	43.75					3	9.38			Excluded		5	15.63		8	25.00		32
		TOTAL		104	4.52		178	7.73					1166	50.63					56	2.43					76	3.30		723	31.39		2303
	FIFTH			5	8.93		14	25.00					15	26.79						Excluded					6	10.71		16	28.57		56
		TOTAL		109	4.73		192	8.34					1181	51.28											82	3.56		739	32.09		2303
	SIXTH			30	36.59		13	15.85					29	35.37												Excluded		10	12.20		82
		TOTAL		139	6.04		205	8.90					1210	52.54														749	32.52		2303
	SEVENTH			42	20.49			Excluded					51	24.88														112	54.63		205
		TOTAL		181	7.86								1261	54.75														861	37.39		2303
	EIGHTH				Excluded								134	74.03														47	25.97		181
		TOTAL											1395	60.57														908	39.43		2303
													Elected																		
																															
PROVISIONAL																															
	FIRST			38	5.97		27	4.24		6	0.94		409	64.21		14	2.20		8	1.26		20	3.14		12	1.88		103	16.17		637
	SECOND			0	0.00		1	16.67			Excluded		0	0.00		3	50.00		2	33.33		0	0.00		0	0.00		0	0.00		6
		TOTAL		38	5.97		28	4.40					409	64.21		17	2.67		10	1.57		20	3.14		12	1.88		103	16.17		637
	THIRD			2	11.76		0	0.00					3	17.65			Excluded		2	11.76		2	11.76		1	5.88		7	41.18		17
		TOTAL		40	6.28		28	4.40					412	64.68					12	1.88		22	3.45		13	2.04		110	17.27		637
	FOURTH			4	18.18		0	0.00					11	50.00					3	13.64			Excluded		2	9.09		2	9.09		22
		TOTAL		44	6.91		28	4.40					423	66.41					15	2.35					15	2.35		112	17.58		637
	FIFTH			4	26.67		3	20.00					5	33.33						Excluded					2	13.33		1	6.67		15
		TOTAL		48	7.54		31	4.87					428	67.19											17	2.67		113	17.74		637
	SIXTH			9	52.94		2	11.76					3	17.65												Excluded		3	17.65		17
		TOTAL		57	8.95		33	5.18					431	67.66														116	18.21		637
	SEVENTH			9	27.27			Excluded					9	27.27														15	45.45		33
		TOTAL		66	10.36								440	69.07														131	20.57		637
	EIGHTH				Excluded								50	75.76														16	24.24		66
		TOTAL											490	76.92														147	23.08		637
													Elected																		
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
