House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Lowe																										
				MURPHY			DOUST			GARRETT			WONG			KRUMINS			LANE			SOULOS				
	SIXTH			19	67.86		9	32.14			Excluded														28	
		TOTAL		235	39.30		363	60.70																	598	
				Elected																						
																										
Infants Home                                                   																										
	FIRST			316	54.77		188	32.58		16	2.77		21	3.64		14	2.43		1	0.17		21	3.64		577	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		316	54.77		188	32.58		16	2.77		21	3.64		14	2.43					22	3.81		577	
	THIRD			3	21.43		5	35.71		2	14.29		2	14.29			Excluded					2	14.29		14	
		TOTAL		319	55.29		193	33.45		18	3.12		23	3.99								24	4.16		577	
	FOURTH			11	47.83		3	13.04		5	21.74			Excluded								4	17.39		23	
		TOTAL		330	57.19		196	33.97		23	3.99											28	4.85		577	
	FIFTH			6	21.43		4	14.29		18	64.29												Excluded		28	
		TOTAL		336	58.23		200	34.66		41	7.11														577	
	SIXTH			33	80.49		8	19.51			Excluded														41	
		TOTAL		369	63.95		208	36.05																	577	
				Elected																						
																										
Malvern Hill                                                   																										
	FIRST			698	45.09		637	41.15		80	5.17		24	1.55		37	2.39		3	0.19		69	4.46		1548	
	SECOND			1	33.33		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		1	33.33		3	
		TOTAL		699	45.16		637	41.15		81	5.23		24	1.55		37	2.39					70	4.52		1548	
	THIRD			8	21.62		17	45.95		3	8.11		2	5.41			Excluded					7	18.92		37	
		TOTAL		707	45.67		654	42.25		84	5.43		26	1.68								77	4.97		1548	
	FOURTH			10	38.46		4	15.38		5	19.23			Excluded								7	26.92		26	
		TOTAL		717	46.32		658	42.51		89	5.75											84	5.43		1548	
	FIFTH			31	36.90		7	8.33		46	54.76												Excluded		84	
		TOTAL		748	48.32		665	42.96		135	8.72														1548	
	SIXTH			93	68.89		42	31.11			Excluded														135	
		TOTAL		841	54.33		707	45.67																	1548	
				Elected																						
																										
Mortlake                                                       																										
	FIRST			922	42.94		980	45.65		66	3.07		12	0.56		61	2.84		3	0.14		103	4.80		2147	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		3	
		TOTAL		922	42.94		981	45.69		66	3.07		12	0.56		63	2.93					103	4.80		2147	
	THIRD			9	14.29		28	44.44		1	1.59		4	6.35			Excluded					21	33.33		63	
		TOTAL		931	43.36		1009	47.00		67	3.12		16	0.75								124	5.78		2147	
	FOURTH			6	37.50		1	6.25		5	31.25			Excluded								4	25.00		16	
		TOTAL		937	43.64		1010	47.04		72	3.35											128	5.96		2147	
	FIFTH			41	32.03		26	20.31		61	47.66												Excluded		128	
		TOTAL		978	45.55		1036	48.25		133	6.19														2147	
	SIXTH			100	75.19		33	24.81			Excluded														133	
		TOTAL		1078	50.21		1069	49.79																	2147	
				Elected																						
																										
Rhodes                                                         																										
	FIRST			117	39.26		134	44.97		15	5.03		4	1.34		11	3.69		0	0.00		17	5.70		298	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		117	39.26		134	44.97		15	5.03		4	1.34		11	3.69					17	5.70		298	
	THIRD			0	0.00		6	54.55		1	9.09		1	9.09			Excluded					3	27.27		11	
		TOTAL		117	39.26		140	46.98		16	5.37		5	1.68								20	6.71		298	
	FOURTH			1	20.00		0	0.00		2	40.00			Excluded								2	40.00		5	
		TOTAL		118	39.60		140	46.98		18	6.04											22	7.38		298	
	FIFTH			3	13.64		3	13.64		16	72.73												Excluded		22	
		TOTAL		121	40.60		143	47.99		34	11.41														298	
	SIXTH			21	61.76		13	38.24			Excluded														34	
		TOTAL		142	47.65		156	52.35																	298	
				Elected																						
																										
Russell Lea                                                    																										
	FIRST			517	43.63		557	47.00		43	3.63		9	0.76		19	1.60		2	0.17		38	3.21		1185	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		518	43.71		557	47.00		43	3.63		9	0.76		19	1.60					39	3.29		1185	
	THIRD			1	5.26		13	68.42		3	15.79		0	0.00			Excluded					2	10.53		19	
		TOTAL		519	43.80		570	48.10		46	3.88		9	0.76								41	3.46		1185	
	FOURTH			2	22.22		0	0.00		7	77.78			Excluded								0	0.00		9	
		TOTAL		521	43.97		570	48.10		53	4.47											41	3.46		1185	
	FIFTH			15	36.59		4	9.76		22	53.66												Excluded		41	
		TOTAL		536	45.23		574	48.44		75	6.33														1185	
	SIXTH			54	72.00		21	28.00			Excluded														75	
		TOTAL		590	49.79		595	50.21																	1185	
				Elected																						
																										
Strathfield                                                    																										
	FIRST			573	39.57		663	45.79		65	4.49		78	5.39		17	1.17		4	0.28		48	3.31		1448	
	SECOND			1	25.00		0	0.00		0	0.00		0	0.00		1	25.00			Excluded		2	50.00		4	
		TOTAL		574	39.64		663	45.79		65	4.49		78	5.39		18	1.24					50	3.45		1448	
	THIRD			1	5.56		11	61.11		0	0.00		2	11.11			Excluded					4	22.22		18	
		TOTAL		575	39.71		674	46.55		65	4.49		80	5.52								54	3.73		1448	
	FOURTH			40	50.00		18	22.50		17	21.25			Excluded								5	6.25		80	
		TOTAL		615	42.47		692	47.79		82	5.66											59	4.07		1448	
	FIFTH			11	18.64		11	18.64		37	62.71												Excluded		59	
		TOTAL		626	43.23		703	48.55		119	8.22														1448	
	SIXTH			85	71.43		34	28.57			Excluded														119	
		TOTAL		711	49.10		737	50.90																	1448	
				Elected																						
																										
Strathfield Central                                            																										
	FIRST			612	30.07		1198	58.87		71	3.49		79	3.88		31	1.52		7	0.34		37	1.82		2035	
	SECOND			3	42.86		2	28.57		0	0.00		0	0.00		1	14.29			Excluded		1	14.29		7	
		TOTAL		615	30.22		1200	58.97		71	3.49		79	3.88		32	1.57					38	1.87		2035	
	THIRD			3	9.38		14	43.75		2	6.25		4	12.50			Excluded					9	28.13		32	
		TOTAL		618	30.37		1214	59.66		73	3.59		83	4.08								47	2.31		2035	
	FOURTH			22	26.51		21	25.30		31	37.35			Excluded								9	10.84		83	
		TOTAL		640	31.45		1235	60.69		104	5.11											56	2.75		2035	
	FIFTH			10	17.86		11	19.64		35	62.50												Excluded		56	
		TOTAL		650	31.94		1246	61.23		139	6.83														2035	
	SIXTH			95	68.35		44	31.65			Excluded														139	
		TOTAL		745	36.61		1290	63.39																	2035	
				Elected																						
																										
Strathfield City                                               																										
	FIRST			160	41.67		174	45.31		15	3.91		15	3.91		6	1.56		2	0.52		12	3.13		384	
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		160	41.67		174	45.31		15	3.91		17	4.43		6	1.56					12	3.13		384	
	THIRD			3	50.00		2	33.33		0	0.00		0	0.00			Excluded					1	16.67		6	
		TOTAL		163	42.45		176	45.83		15	3.91		17	4.43								13	3.39		384	
	FOURTH			6	35.29		1	5.88		8	47.06			Excluded								2	11.76		17	
		TOTAL		169	44.01		177	46.09		23	5.99											15	3.91		384	
	FIFTH			5	33.33		1	6.67		9	60.00												Excluded		15	
		TOTAL		174	45.31		178	46.35		32	8.33														384	
	SIXTH			25	78.13		7	21.88			Excluded														32	
		TOTAL		199	51.82		185	48.18																	384	
				Elected																						
																										
Strathfield North                                              																										
	FIRST			1055	42.96		1039	42.30		127	5.17		60	2.44		47	1.91		10	0.41		118	4.80		2456	
	SECOND			0	0.00		1	10.00		3	30.00		1	10.00		1	10.00			Excluded		4	40.00		10	
		TOTAL		1055	42.96		1040	42.35		130	5.29		61	2.48		48	1.95					122	4.97		2456	
	THIRD			11	22.92		17	35.42		4	8.33		5	10.42			Excluded					11	22.92		48	
		TOTAL		1066	43.40		1057	43.04		134	5.46		66	2.69								133	5.42		2456	
	FOURTH			37	56.06		6	9.09		13	19.70			Excluded								10	15.15		66	
		TOTAL		1103	44.91		1063	43.28		147	5.99											143	5.82		2456	
	FIFTH			47	32.87		19	13.29		77	53.85												Excluded		143	
		TOTAL		1150	46.82		1082	44.06		224	9.12														2456	
	SIXTH			170	75.89		54	24.11			Excluded														224	
		TOTAL		1320	53.75		1136	46.25																	2456	
				Elected																						
																										
Strathfield South                                              																										
	FIRST			682	46.46		605	41.21		60	4.09		56	3.81		27	1.84		4	0.27		34	2.32		1468	
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00		0	0.00			Excluded		3	75.00		4	
		TOTAL		682	46.46		606	41.28		60	4.09		56	3.81		27	1.84					37	2.52		1468	
	THIRD			6	22.22		7	25.93		2	7.41		2	7.41			Excluded					10	37.04		27	
		TOTAL		688	46.87		613	41.76		62	4.22		58	3.95								47	3.20		1468	
	FOURTH			34	58.62		6	10.34		14	24.14			Excluded								4	6.90		58	
		TOTAL		722	49.18		619	42.17		76	5.18											51	3.47		1468	
	FIFTH			16	31.37		7	13.73		28	54.90												Excluded		51	
		TOTAL		738	50.27		626	42.64		104	7.08														1468	
	SIXTH			78	75.00		26	25.00			Excluded														104	
		TOTAL		816	55.59		652	44.41																	1468	
				Elected																						
																										
Strathfield West                                               																										
	FIRST			268	29.52		577	63.55		15	1.65		20	2.20		12	1.32		3	0.33		13	1.43		908	
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		268	29.52		578	63.66		15	1.65		21	2.31		12	1.32					14	1.54		908	
	THIRD			1	8.33		7	58.33		0	0.00		0	0.00			Excluded					4	33.33		12	
		TOTAL		269	29.63		585	64.43		15	1.65		21	2.31								18	1.98		908	
	FOURTH			10	47.62		6	28.57		1	4.76			Excluded								4	19.05		21	
		TOTAL		279	30.73		591	65.09		16	1.76											22	2.42		908	
	FIFTH			8	36.36		3	13.64		11	50.00												Excluded		22	
		TOTAL		287	31.61		594	65.42		27	2.97														908	
	SIXTH			15	55.56		12	44.44			Excluded														27	
		TOTAL		302	33.26		606	66.74																	908	
				Elected																						
																										
Sydney (Lowe)                                                  																										
	FIRST			76	46.06		52	31.52		16	9.70		8	4.85		0	0.00		1	0.61		12	7.27		165	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		76	46.06		52	31.52		16	9.70		9	5.45		0	0.00					12	7.27		165	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	
		TOTAL		76	46.06		52	31.52		16	9.70		9	5.45								12	7.27		165	
	FOURTH			4	44.44		0	0.00		2	22.22			Excluded								3	33.33		9	
		TOTAL		80	48.48		52	31.52		18	10.91											15	9.09		165	
	FIFTH			5	33.33		1	6.67		9	60.00												Excluded		15	
		TOTAL		85	51.52		53	32.12		27	16.36														165	
	SIXTH			15	55.56		12	44.44			Excluded														27	
		TOTAL		100	60.61		65	39.39																	165	
				Elected																						
																										
Wareemba                                                       																										
	FIRST			645	50.63		525	41.21		23	1.81		10	0.78		38	2.98		5	0.39		28	2.20		1274	
	SECOND			1	20.00		0	0.00		1	20.00		0	0.00		0	0.00			Excluded		3	60.00		5	
		TOTAL		646	50.71		525	41.21		24	1.88		10	0.78		38	2.98					31	2.43		1274	
	THIRD			7	18.42		7	18.42		0	0.00		0	0.00			Excluded					24	63.16		38	
		TOTAL		653	51.26		532	41.76		24	1.88		10	0.78								55	4.32		1274	
	FOURTH			1	10.00		3	30.00		2	20.00			Excluded								4	40.00		10	
		TOTAL		654	51.33		535	41.99		26	2.04											59	4.63		1274	
	FIFTH			12	20.34		28	47.46		19	32.20												Excluded		59	
		TOTAL		666	52.28		563	44.19		45	3.53														1274	
	SIXTH			22	48.89		23	51.11			Excluded														45	
		TOTAL		688	54.00		586	46.00																	1274	
				Elected																						
																										
Wellbank                                                       																										
	FIRST			610	40.37		743	49.17		55	3.64		12	0.79		37	2.45		6	0.40		48	3.18		1511	
	SECOND			2	33.33		1	16.67		0	0.00		0	0.00		1	16.67			Excluded		2	33.33		6	
		TOTAL		612	40.50		744	49.24		55	3.64		12	0.79		38	2.51					50	3.31		1511	
	THIRD			4	10.53		15	39.47		5	13.16		0	0.00			Excluded					14	36.84		38	
		TOTAL		616	40.77		759	50.23		60	3.97		12	0.79								64	4.24		1511	
	FOURTH			7	58.33		2	16.67		3	25.00			Excluded								0	0.00		12	
		TOTAL		623	41.23		761	50.36		63	4.17											64	4.24		1511	
	FIFTH			20	31.25		24	37.50		20	31.25												Excluded		64	
		TOTAL		643	42.55		785	51.95		83	5.49														1511	
	SIXTH			61	73.49		22	26.51			Excluded														83	
		TOTAL		704	46.59		807	53.41																	1511	
				Elected																						
																										
Special Hospital Team 1                                        																										
	FIRST			47	45.19		53	50.96		2	1.92		0	0.00		2	1.92		0	0.00		0	0.00		104	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		47	45.19		53	50.96		2	1.92		0	0.00		2	1.92					0	0.00		104	
	THIRD			1	50.00		0	0.00		1	50.00		0	0.00			Excluded					0	0.00		2	
		TOTAL		48	46.15		53	50.96		3	2.88		0	0.00								0	0.00		104	
	FOURTH			0	0.00		0	0.00		0	0.00			Excluded								0	0.00		0	
		TOTAL		48	46.15		53	50.96		3	2.88											0	0.00		104	
	FIFTH			0	0.00		0	0.00		0	0.00												Excluded		0	
		TOTAL		48	46.15		53	50.96		3	2.88														104	
	SIXTH			0	0.00		3	100.00			Excluded														3	
		TOTAL		48	46.15		56	53.85																	104	
				Elected																						
																										
Special Hospital Team 2                                        																										
	FIRST			39	50.65		31	40.26		5	6.49		0	0.00		2	2.60		0	0.00		0	0.00		77	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		39	50.65		31	40.26		5	6.49		0	0.00		2	2.60					0	0.00		77	
	THIRD			1	50.00		1	50.00		0	0.00		0	0.00			Excluded					0	0.00		2	
		TOTAL		40	51.95		32	41.56		5	6.49		0	0.00								0	0.00		77	
	FOURTH			0	0.00		0	0.00		0	0.00			Excluded								0	0.00		0	
		TOTAL		40	51.95		32	41.56		5	6.49											0	0.00		77	
	FIFTH			0	0.00		0	0.00		0	0.00												Excluded		0	
		TOTAL		40	51.95		32	41.56		5	6.49														77	
	SIXTH			2	40.00		3	60.00			Excluded														5	
		TOTAL		42	54.55		35	45.45																	77	
				Elected																						
																										
ABSENT																										
	FIRST			1870	39.62		1879	39.81		366	7.75		121	2.56		114	2.42		25	0.53		345	7.31		4720	
	SECOND			9	36.00		1	4.00		4	16.00		2	8.00		0	0.00			Excluded		9	36.00		25	
		TOTAL		1879	39.81		1880	39.83		370	7.84		123	2.61		114	2.42					354	7.50		4720	
	THIRD			23	20.18		48	42.11		10	8.77		11	9.65			Excluded					22	19.30		114	
		TOTAL		1902	40.30		1928	40.85		380	8.05		134	2.84								376	7.97		4720	
	FOURTH			64	47.76		12	8.96		31	23.13			Excluded								27	20.15		134	
		TOTAL		1966	41.65		1940	41.10		411	8.71											403	8.54		4720	
	FIFTH			129	32.01		49	12.16		225	55.83												Excluded		403	
		TOTAL		2095	44.39		1989	42.14		636	13.47														4720	
	SIXTH			428	67.30		208	32.70			Excluded														636	
		TOTAL		2523	53.45		2197	46.55																	4720	
				Elected																						
																										
POSTAL																										
	FIRST			1268	42.64		1400	47.07		88	2.96		49	1.65		86	2.89		8	0.27		75	2.52		2974	
	SECOND			1	12.50		1	12.50		0	0.00		2	25.00		0	0.00			Excluded		4	50.00		8	
		TOTAL		1269	42.67		1401	47.11		88	2.96		51	1.71		86	2.89					79	2.66		2974	
	THIRD			26	30.23		42	48.84		3	3.49		2	2.33			Excluded					13	15.12		86	
		TOTAL		1295	43.54		1443	48.52		91	3.06		53	1.78								92	3.09		2974	
	FOURTH			26	49.06		11	20.75		9	16.98			Excluded								7	13.21		53	
		TOTAL		1321	44.42		1454	48.89		100	3.36											99	3.33		2974	
	FIFTH			29	29.29		15	15.15		55	55.56												Excluded		99	
		TOTAL		1350	45.39		1469	49.39		155	5.21														2974	
	SIXTH			115	74.19		40	25.81			Excluded														155	
		TOTAL		1465	49.26		1509	50.74																	2974	
				Elected																						
																										
PRE POLL																										
	FIRST			1314	41.46		1348	42.54		171	5.40		113	3.57		61	1.92		12	0.38		150	4.73		3169	
	SECOND			0	0.00		3	25.00		1	8.33		1	8.33		0	0.00			Excluded		7	58.33		12	
		TOTAL		1314	41.46		1351	42.63		172	5.43		114	3.60		61	1.92					157	4.95		3169	
	THIRD			13	21.31		28	45.90		9	14.75		3	4.92			Excluded					8	13.11		61	
		TOTAL		1327	41.87		1379	43.52		181	5.71		117	3.69								165	5.21		3169	
	FOURTH			57	48.72		27	23.08		22	18.80			Excluded								11	9.40		117	
		TOTAL		1384	43.67		1406	44.37		203	6.41											176	5.55		3169	
	FIFTH			60	34.09		21	11.93		95	53.98												Excluded		176	
		TOTAL		1444	45.57		1427	45.03		298	9.40														3169	
	SIXTH			200	67.11		98	32.89			Excluded														298	
		TOTAL		1644	51.88		1525	48.12																	3169	
				Elected																						
																										
PROVISIONAL																										
	FIRST			216	52.17		141	34.06		14	3.38		16	3.86		9	2.17		4	0.97		14	3.38		414	
	SECOND			1	25.00		0	0.00		3	75.00		0	0.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		217	52.42		141	34.06		17	4.11		16	3.86		9	2.17					14	3.38		414	
	THIRD			2	22.22		2	22.22		1	11.11		1	11.11			Excluded					3	33.33		9	
		TOTAL		219	52.90		143	34.54		18	4.35		17	4.11								17	4.11		414	
	FOURTH			9	52.94		1	5.88		5	29.41			Excluded								2	11.76		17	
		TOTAL		228	55.07		144	34.78		23	5.56											19	4.59		414	
	FIFTH			4	21.05		4	21.05		11	57.89												Excluded		19	
		TOTAL		232	56.04		148	35.75		34	8.21														414	
	SIXTH			23	67.65		11	32.35			Excluded														34	
		TOTAL		255	61.59		159	38.41																	414	
				Elected																						
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
