House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences 																									
By Polling Place																									
																									
Barton																									
				BRENNAN			LAU			RYDSTRAND			HARRIS			BARKER			MCCLELLAND			ADAIR			
	FIFTH			75	72.82						Excluded								16	15.53		12	11.65		103
		TOTAL		1231	56.08														697	31.75		267	12.16		2195
	SIXTH			95	35.58														172	64.42			Excluded		267
		TOTAL		1326	60.41														869	39.59					2195
																			Elected						
																									
Ramsgate                                                       																									
	FIRST			792	40.39		7	0.36		112	5.71		28	1.43		17	0.87		920	46.91		85	4.33		1961
	SECOND			6	35.29		0	0.00		0	0.00		3	17.65			Excluded		8	47.06		0	0.00		17
		TOTAL		798	40.69		7	0.36		112	5.71		31	1.58					928	47.32		85	4.33		1961
	THIRD			4	57.14			Excluded		1	14.29		1	14.29					0	0.00		1	14.29		7
		TOTAL		802	40.90					113	5.76		32	1.63					928	47.32		86	4.39		1961
	FOURTH			5	15.63					1	3.13			Excluded					12	37.50		14	43.75		32
		TOTAL		807	41.15					114	5.81								940	47.93		100	5.10		1961
	FIFTH			84	73.68						Excluded								19	16.67		11	9.65		114
		TOTAL		891	45.44														959	48.90		111	5.66		1961
	SIXTH			33	29.73														78	70.27			Excluded		111
		TOTAL		924	47.12														1037	52.88					1961
																			Elected						
																									
Ramsgate Beach                                                 																									
	FIRST			865	46.28		14	0.75		68	3.64		48	2.57		20	1.07		789	42.22		65	3.48		1869
	SECOND			7	35.00		1	5.00		1	5.00		2	10.00			Excluded		7	35.00		2	10.00		20
		TOTAL		872	46.66		15	0.80		69	3.69		50	2.68					796	42.59		67	3.58		1869
	THIRD			6	40.00			Excluded		2	13.33		2	13.33					4	26.67		1	6.67		15
		TOTAL		878	46.98					71	3.80		52	2.78					800	42.80		68	3.64		1869
	FOURTH			8	15.38					3	5.77			Excluded					17	32.69		24	46.15		52
		TOTAL		886	47.41					74	3.96								817	43.71		92	4.92		1869
	FIFTH			51	68.92						Excluded								15	20.27		8	10.81		74
		TOTAL		937	50.13														832	44.52		100	5.35		1869
	SIXTH			39	39.00														61	61.00			Excluded		100
		TOTAL		976	52.22														893	47.78					1869
																			Elected						
																									
Rockdale                                                       																									
	FIRST			306	19.01		82	5.09		50	3.11		37	2.30		9	0.56		1063	66.02		63	3.91		1610
	SECOND			2	22.22		1	11.11		0	0.00		2	22.22			Excluded		4	44.44		0	0.00		9
		TOTAL		308	19.13		83	5.16		50	3.11		39	2.42					1067	66.27		63	3.91		1610
	THIRD			21	25.30			Excluded		1	1.20		16	19.28					24	28.92		21	25.30		83
		TOTAL		329	20.43					51	3.17		55	3.42					1091	67.76		84	5.22		1610
	FOURTH			5	9.09					4	7.27			Excluded					25	45.45		21	38.18		55
		TOTAL		334	20.75					55	3.42								1116	69.32		105	6.52		1610
	FIFTH			38	69.09						Excluded								12	21.82		5	9.09		55
		TOTAL		372	23.11														1128	70.06		110	6.83		1610
	SIXTH			33	30.00														77	70.00			Excluded		110
		TOTAL		405	25.16														1205	74.84					1610
																			Elected						
																									
Rockdale Central                                               																									
	FIRST			425	25.13		70	4.14		43	2.54		36	2.13		29	1.71		1040	61.50		48	2.84		1691
	SECOND			13	44.83		0	0.00		3	10.34		2	6.90			Excluded		9	31.03		2	6.90		29
		TOTAL		438	25.90		70	4.14		46	2.72		38	2.25					1049	62.03		50	2.96		1691
	THIRD			13	18.57			Excluded		0	0.00		9	12.86					37	52.86		11	15.71		70
		TOTAL		451	26.67					46	2.72		47	2.78					1086	64.22		61	3.61		1691
	FOURTH			6	12.77					2	4.26			Excluded					15	31.91		24	51.06		47
		TOTAL		457	27.03					48	2.84								1101	65.11		85	5.03		1691
	FIFTH			21	43.75						Excluded								18	37.50		9	18.75		48
		TOTAL		478	28.27														1119	66.17		94	5.56		1691
	SIXTH			19	20.21														75	79.79			Excluded		94
		TOTAL		497	29.39														1194	70.61					1691
																			Elected						
																									
Rockdale Park                                                  																									
	FIRST			257	26.01		10	1.01		35	3.54		30	3.04		24	2.43		601	60.83		31	3.14		988
	SECOND			8	33.33		0	0.00		11	45.83		0	0.00			Excluded		4	16.67		1	4.17		24
		TOTAL		265	26.82		10	1.01		46	4.66		30	3.04					605	61.23		32	3.24		988
	THIRD			1	10.00			Excluded		0	0.00		3	30.00					6	60.00		0	0.00		10
		TOTAL		266	26.92					46	4.66		33	3.34					611	61.84		32	3.24		988
	FOURTH			6	18.18					4	12.12			Excluded					6	18.18		17	51.52		33
		TOTAL		272	27.53					50	5.06								617	62.45		49	4.96		988
	FIFTH			25	50.00						Excluded								16	32.00		9	18.00		50
		TOTAL		297	30.06														633	64.07		58	5.87		988
	SIXTH			13	22.41														45	77.59			Excluded		58
		TOTAL		310	31.38														678	68.62					988
																			Elected						
																									
Rockdale West                                                  																									
	FIRST			300	20.37		37	2.51		30	2.04		29	1.97		26	1.77		991	67.28		60	4.07		1473
	SECOND			15	57.69		0	0.00		0	0.00		2	7.69			Excluded		5	19.23		4	15.38		26
		TOTAL		315	21.38		37	2.51		30	2.04		31	2.10					996	67.62		64	4.34		1473
	THIRD			11	29.73			Excluded		2	5.41		1	2.70					9	24.32		14	37.84		37
		TOTAL		326	22.13					32	2.17		32	2.17					1005	68.23		78	5.30		1473
	FOURTH			4	12.50					3	9.38			Excluded					12	37.50		13	40.63		32
		TOTAL		330	22.40					35	2.38								1017	69.04		91	6.18		1473
	FIFTH			22	62.86						Excluded								10	28.57		3	8.57		35
		TOTAL		352	23.90														1027	69.72		94	6.38		1473
	SIXTH			19	20.21														75	79.79			Excluded		94
		TOTAL		371	25.19														1102	74.81					1473
																			Elected						
																									
Sans Souci                                                     																									
	FIRST			1023	47.32		17	0.79		101	4.67		47	2.17		24	1.11		859	39.73		91	4.21		2162
	SECOND			7	29.17		3	12.50		1	4.17		5	20.83			Excluded		5	20.83		3	12.50		24
		TOTAL		1030	47.64		20	0.93		102	4.72		52	2.41					864	39.96		94	4.35		2162
	THIRD			6	30.00			Excluded		0	0.00		4	20.00					7	35.00		3	15.00		20
		TOTAL		1036	47.92					102	4.72		56	2.59					871	40.29		97	4.49		2162
	FOURTH			9	16.07					9	16.07			Excluded					17	30.36		21	37.50		56
		TOTAL		1045	48.33					111	5.13								888	41.07		118	5.46		2162
	FIFTH			87	78.38						Excluded								15	13.51		9	8.11		111
		TOTAL		1132	52.36														903	41.77		127	5.87		2162
	SIXTH			41	32.28														86	67.72			Excluded		127
		TOTAL		1173	54.26														989	45.74					2162
																			Elected						
																									
South Haven                                                    																									
	FIRST			211	30.58		26	3.77		21	3.04		21	3.04		8	1.16		392	56.81		11	1.59		690
	SECOND			2	25.00		0	0.00		0	0.00		1	12.50			Excluded		2	25.00		3	37.50		8
		TOTAL		213	30.87		26	3.77		21	3.04		22	3.19					394	57.10		14	2.03		690
	THIRD			12	46.15			Excluded		1	3.85		4	15.38					9	34.62		0	0.00		26
		TOTAL		225	32.61					22	3.19		26	3.77					403	58.41		14	2.03		690
	FOURTH			3	11.54					5	19.23			Excluded					7	26.92		11	42.31		26
		TOTAL		228	33.04					27	3.91								410	59.42		25	3.62		690
	FIFTH			14	51.85						Excluded								9	33.33		4	14.81		27
		TOTAL		242	35.07														419	60.72		29	4.20		690
	SIXTH			7	24.14														22	75.86			Excluded		29
		TOTAL		249	36.09														441	63.91					690
																			Elected						
																									
St Cuthbert's                                                  																									
	FIRST			681	38.52		35	1.98		48	2.71		51	2.88		33	1.87		840	47.51		80	4.52		1768
	SECOND			17	51.52		1	3.03		5	15.15		2	6.06			Excluded		2	6.06		6	18.18		33
		TOTAL		698	39.48		36	2.04		53	3.00		53	3.00					842	47.62		86	4.86		1768
	THIRD			7	19.44			Excluded		1	2.78		7	19.44					13	36.11		8	22.22		36
		TOTAL		705	39.88					54	3.05		60	3.39					855	48.36		94	5.32		1768
	FOURTH			9	15.00					7	11.67			Excluded					24	40.00		20	33.33		60
		TOTAL		714	40.38					61	3.45								879	49.72		114	6.45		1768
	FIFTH			35	57.38						Excluded								16	26.23		10	16.39		61
		TOTAL		749	42.36														895	50.62		124	7.01		1768
	SIXTH			40	32.26														84	67.74			Excluded		124
		TOTAL		789	44.63														979	55.37					1768
																			Elected						
																									
St George Hospital                                             																									
	FIRST			64	41.03		0	0.00		2	1.28		4	2.56		5	3.21		74	47.44		7	4.49		156
	SECOND			2	40.00		0	0.00		1	20.00		0	0.00			Excluded		2	40.00		0	0.00		5
		TOTAL		66	42.31		0	0.00		3	1.92		4	2.56					76	48.72		7	4.49		156
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		66	42.31					3	1.92		4	2.56					76	48.72		7	4.49		156
	FOURTH			0	0.00					1	25.00			Excluded					2	50.00		1	25.00		4
		TOTAL		66	42.31					4	2.56								78	50.00		8	5.13		156
	FIFTH			1	25.00						Excluded								3	75.00		0	0.00		4
		TOTAL		67	42.95														81	51.92		8	5.13		156
	SIXTH			1	12.50														7	87.50			Excluded		8
		TOTAL		68	43.59														88	56.41					156
																			Elected						
																									
Sydney (Barton)                                                																									
	FIRST			56	32.00		6	3.43		1	0.57		10	5.71		6	3.43		88	50.29		8	4.57		175
	SECOND			2	33.33		0	0.00		1	16.67		1	16.67			Excluded		2	33.33		0	0.00		6
		TOTAL		58	33.14		6	3.43		2	1.14		11	6.29					90	51.43		8	4.57		175
	THIRD			0	0.00			Excluded		0	0.00		1	16.67					5	83.33		0	0.00		6
		TOTAL		58	33.14					2	1.14		12	6.86					95	54.29		8	4.57		175
	FOURTH			0	0.00					0	0.00			Excluded					4	33.33		8	66.67		12
		TOTAL		58	33.14					2	1.14								99	56.57		16	9.14		175
	FIFTH			1	50.00						Excluded								1	50.00		0	0.00		2
		TOTAL		59	33.71														100	57.14		16	9.14		175
	SIXTH			5	31.25														11	68.75			Excluded		16
		TOTAL		64	36.57														111	63.43					175
																			Elected						
																									
The Mall                                                       																									
	FIRST			386	49.94		8	1.03		22	2.85		18	2.33		8	1.03		296	38.29		35	4.53		773
	SECOND			7	87.50		0	0.00		1	12.50		0	0.00			Excluded		0	0.00		0	0.00		8
		TOTAL		393	50.84		8	1.03		23	2.98		18	2.33					296	38.29		35	4.53		773
	THIRD			1	12.50			Excluded		0	0.00		0	0.00					6	75.00		1	12.50		8
		TOTAL		394	50.97					23	2.98		18	2.33					302	39.07		36	4.66		773
	FOURTH			2	11.11					1	5.56			Excluded					8	44.44		7	38.89		18
		TOTAL		396	51.23					24	3.10								310	40.10		43	5.56		773
	FIFTH			11	45.83						Excluded								10	41.67		3	12.50		24
		TOTAL		407	52.65														320	41.40		46	5.95		773
	SIXTH			13	28.26														33	71.74			Excluded		46
		TOTAL		420	54.33														353	45.67					773
																			Elected						
																									
Turrella                                                       																									
	FIRST			196	22.05		14	1.57		21	2.36		49	5.51		5	0.56		582	65.47		22	2.47		889
	SECOND			1	20.00		2	40.00		0	0.00		1	20.00			Excluded		1	20.00		0	0.00		5
		TOTAL		197	22.16		16	1.80		21	2.36		50	5.62					583	65.58		22	2.47		889
	THIRD			2	12.50			Excluded		2	12.50		4	25.00					8	50.00		0	0.00		16
		TOTAL		199	22.38					23	2.59		54	6.07					591	66.48		22	2.47		889
	FOURTH			4	7.41					4	7.41			Excluded					25	46.30		21	38.89		54
		TOTAL		203	22.83					27	3.04								616	69.29		43	4.84		889
	FIFTH			14	51.85						Excluded								7	25.93		6	22.22		27
		TOTAL		217	24.41														623	70.08		49	5.51		889
	SIXTH			16	32.65														33	67.35			Excluded		49
		TOTAL		233	26.21														656	73.79					889
																			Elected						
																									
Special Hospital Team 1                                        																									
	FIRST			145	73.60		0	0.00		2	1.02		0	0.00		3	1.52		46	23.35		1	0.51		197
	SECOND			2	66.67		1	33.33		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		3
		TOTAL		147	74.62		1	0.51		2	1.02		0	0.00					46	23.35		1	0.51		197
	THIRD			1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		148	75.13					2	1.02		0	0.00					46	23.35		1	0.51		197
	FOURTH			0	0.00					0	0.00			Excluded					0	0.00		0	0.00		0
		TOTAL		148	75.13					2	1.02								46	23.35		1	0.51		197
	FIFTH			2	100.00						Excluded								0	0.00		0	0.00		2
		TOTAL		150	76.14														46	23.35		1	0.51		197
	SIXTH			0	0.00														1	100.00			Excluded		1
		TOTAL		150	76.14														47	23.86					197
																			Elected						
																									
Special Hospital Team 2                                        																									
	FIRST			75	42.86		1	0.57		3	1.71		1	0.57		0	0.00		90	51.43		5	2.86		175
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		75	42.86		1	0.57		3	1.71		1	0.57					90	51.43		5	2.86		175
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		1
		TOTAL		75	42.86					3	1.71		1	0.57					91	52.00		5	2.86		175
	FOURTH			0	0.00					0	0.00			Excluded					1	100.00		0	0.00		1
		TOTAL		75	42.86					3	1.71								92	52.57		5	2.86		175
	FIFTH			2	66.67						Excluded								1	33.33		0	0.00		3
		TOTAL		77	44.00														93	53.14		5	2.86		175
	SIXTH			2	40.00														3	60.00			Excluded		5
		TOTAL		79	45.14														96	54.86					175
																			Elected						
																									
ABSENT																									
	FIRST			1794	37.31		96	2.00		226	4.70		315	6.55		110	2.29		1981	41.19		287	5.97		4809
	SECOND			38	34.55		8	7.27		12	10.91		12	10.91			Excluded		28	25.45		12	10.91		110
		TOTAL		1832	38.10		104	2.16		238	4.95		327	6.80					2009	41.78		299	6.22		4809
	THIRD			22	21.15			Excluded		11	10.58		30	28.85					32	30.77		9	8.65		104
		TOTAL		1854	38.55					249	5.18		357	7.42					2041	42.44		308	6.40		4809
	FOURTH			48	13.45					38	10.64			Excluded					138	38.66		133	37.25		357
		TOTAL		1902	39.55					287	5.97								2179	45.31		441	9.17		4809
	FIFTH			165	57.49						Excluded								80	27.87		42	14.63		287
		TOTAL		2067	42.98														2259	46.97		483	10.04		4809
	SIXTH			146	30.23														337	69.77			Excluded		483
		TOTAL		2213	46.02														2596	53.98					4809
																			Elected						
																									
POSTAL																									
	FIRST			1181	47.66		18	0.73		117	4.72		37	1.49		48	1.94		1018	41.08		59	2.38		2478
	SECOND			27	56.25		1	2.08		5	10.42		4	8.33			Excluded		10	20.83		1	2.08		48
		TOTAL		1208	48.75		19	0.77		122	4.92		41	1.65					1028	41.49		60	2.42		2478
	THIRD			5	26.32			Excluded		2	10.53		0	0.00					10	52.63		2	10.53		19
		TOTAL		1213	48.95					124	5.00		41	1.65					1038	41.89		62	2.50		2478
	FOURTH			8	19.51					2	4.88			Excluded					8	19.51		23	56.10		41
		TOTAL		1221	49.27					126	5.08								1046	42.21		85	3.43		2478
	FIFTH			71	56.35						Excluded								38	30.16		17	13.49		126
		TOTAL		1292	52.14														1084	43.74		102	4.12		2478
	SIXTH			40	39.22														62	60.78			Excluded		102
		TOTAL		1332	53.75														1146	46.25					2478
																			Elected						
																									
PRE POLL																									
	FIRST			1273	40.02		67	2.11		127	3.99		124	3.90		56	1.76		1397	43.92		137	4.31		3181
	SECOND			26	46.43		2	3.57		5	8.93		8	14.29			Excluded		11	19.64		4	7.14		56
		TOTAL		1299	40.84		69	2.17		132	4.15		132	4.15					1408	44.26		141	4.43		3181
	THIRD			19	27.54			Excluded		5	7.25		12	17.39					31	44.93		2	2.90		69
		TOTAL		1318	41.43					137	4.31		144	4.53					1439	45.24		143	4.50		3181
	FOURTH			9	6.25					14	9.72			Excluded					51	35.42		70	48.61		144
		TOTAL		1327	41.72					151	4.75								1490	46.84		213	6.70		3181
	FIFTH			87	57.62						Excluded								44	29.14		20	13.25		151
		TOTAL		1414	44.45														1534	48.22		233	7.32		3181
	SIXTH			79	33.91														154	66.09			Excluded		233
		TOTAL		1493	46.93														1688	53.07					3181
																			Elected						
																									
PROVISIONAL																									
	FIRST			122	21.90		13	2.33		13	2.33		13	2.33		12	2.15		355	63.73		29	5.21		557
	SECOND			2	16.67		0	0.00		2	16.67		2	16.67			Excluded		4	33.33		2	16.67		12
		TOTAL		124	22.26		13	2.33		15	2.69		15	2.69					359	64.45		31	5.57		557
	THIRD			3	23.08			Excluded		0	0.00		3	23.08					5	38.46		2	15.38		13
		TOTAL		127	22.80					15	2.69		18	3.23					364	65.35		33	5.92		557
	FOURTH			3	16.67					4	22.22			Excluded					6	33.33		5	27.78		18
		TOTAL		130	23.34					19	3.41								370	66.43		38	6.82		557
	FIFTH			10	52.63						Excluded								6	31.58		3	15.79		19
		TOTAL		140	25.13														376	67.50		41	7.36		557
	SIXTH			15	36.59														26	63.41			Excluded		41
		TOTAL		155	27.83														402	72.17					557
																			Elected						
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
