House of Representatives - 2001 Election: New South Wales																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Gwydir																																			
				WITTEN			HAIGH			GRAHAM			ROGERS			STRACHAN			WEBER			ANDERSON			MURNAIN			EDWARDS			O'REGAN				
																																			
Elong Elong                                                    																																			
	FIRST			1	0.82		11	9.02		3	2.46		13	10.66		2	1.64		1	0.82		68	55.74		23	18.85		0	0.00		0	0.00		122	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.82		11	9.02		3	2.46		13	10.66		2	1.64		1	0.82		68	55.74		23	18.85					0	0.00		122	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00					0	0.00		1	
		TOTAL		1	0.82		11	9.02		3	2.46		13	10.66		2	1.64					68	55.74		24	19.67					0	0.00		122	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					1	100.00		0	0.00					0	0.00		1	
		TOTAL					11	9.02		3	2.46		13	10.66		2	1.64					69	56.56		24	19.67					0	0.00		122	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		3	100.00					0	0.00		3	
		TOTAL					11	9.02					13	10.66		2	1.64					69	56.56		27	22.13					0	0.00		122	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					11	9.02					13	10.66		2	1.64					69	56.56		27	22.13								122	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		2	100.00								2	
		TOTAL					11	9.02					13	10.66								69	56.56		29	23.77								122	
	EIGHTH							Excluded					4	36.36								4	36.36		3	27.27								11	
		TOTAL											17	13.93								73	59.84		32	26.23								122	
	NINTH													Excluded								7	41.18		10	58.82								17	
		TOTAL																				80	65.57		42	34.43								122	
																						Elected													
																																			
Enngonia                                                       																																			
	FIRST			3	4.62		1	1.54		1	1.54		2	3.08		2	3.08		1	1.54		42	64.62		12	18.46		1	1.54		0	0.00		65	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		3	4.62		1	1.54		1	1.54		2	3.08		2	3.08		1	1.54		42	64.62		13	20.00					0	0.00		65	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		3	4.62		1	1.54		1	1.54		3	4.62		2	3.08					42	64.62		13	20.00					0	0.00		65	
	FOURTH				Excluded		1	33.33		1	33.33		1	33.33		0	0.00					0	0.00		0	0.00					0	0.00		3	
		TOTAL					2	3.08		2	3.08		4	6.15		2	3.08					42	64.62		13	20.00					0	0.00		65	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					1	50.00		1	50.00					0	0.00		2	
		TOTAL					2	3.08					4	6.15		2	3.08					43	66.15		14	21.54					0	0.00		65	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					2	3.08					4	6.15		2	3.08					43	66.15		14	21.54								65	
	SEVENTH						1	50.00					0	0.00			Excluded					0	0.00		1	50.00								2	
		TOTAL					3	4.62					4	6.15								43	66.15		15	23.08								65	
	EIGHTH							Excluded					2	66.67								1	33.33		0	0.00								3	
		TOTAL											6	9.23								44	67.69		15	23.08								65	
	NINTH													Excluded								3	50.00		3	50.00								6	
		TOTAL																				47	72.31		18	27.69								65	
																						Elected													
																																			
Euchareena                                                     																																			
	FIRST			2	1.67		16	13.33		1	0.83		14	11.67		1	0.83		1	0.83		65	54.17		19	15.83		1	0.83		0	0.00		120	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		2	1.67		16	13.33		1	0.83		14	11.67		1	0.83		2	1.67		65	54.17		19	15.83					0	0.00		120	
	THIRD			2	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		2	
		TOTAL		4	3.33		16	13.33		1	0.83		14	11.67		1	0.83					65	54.17		19	15.83					0	0.00		120	
	FOURTH				Excluded		3	75.00		0	0.00		1	25.00		0	0.00					0	0.00		0	0.00					0	0.00		4	
		TOTAL					19	15.83		1	0.83		15	12.50		1	0.83					65	54.17		19	15.83					0	0.00		120	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00					0	0.00		1	
		TOTAL					19	15.83					15	12.50		1	0.83					66	55.00		19	15.83					0	0.00		120	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					19	15.83					15	12.50		1	0.83					66	55.00		19	15.83								120	
	SEVENTH						0	0.00					1	100.00			Excluded					0	0.00		0	0.00								1	
		TOTAL					19	15.83					16	13.33								66	55.00		19	15.83								120	
	EIGHTH							Excluded					7	36.84								7	36.84		5	26.32								19	
		TOTAL											23	19.17								73	60.83		24	20.00								120	
	NINTH													Excluded								15	65.22		8	34.78								23	
		TOTAL																				88	73.33		32	26.67								120	
																						Elected													
																																			
Fairfax                                                        																																			
	FIRST			1	0.93		2	1.87		0	0.00		15	14.02		0	0.00		0	0.00		76	71.03		5	4.67		0	0.00		8	7.48		107	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.93		2	1.87		0	0.00		15	14.02		0	0.00		0	0.00		76	71.03		5	4.67					8	7.48		107	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	0.93		2	1.87		0	0.00		15	14.02		0	0.00					76	71.03		5	4.67					8	7.48		107	
	FOURTH				Excluded		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					2	1.87		1	0.93		15	14.02		0	0.00					76	71.03		5	4.67					8	7.48		107	
	FIFTH						0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					2	1.87					15	14.02		1	0.93					76	71.03		5	4.67					8	7.48		107	
	SIXTH						5	62.50					2	25.00		0	0.00					0	0.00		1	12.50						Excluded		8	
		TOTAL					7	6.54					17	15.89		1	0.93					76	71.03		6	5.61								107	
	SEVENTH						0	0.00					0	0.00			Excluded					1	100.00		0	0.00								1	
		TOTAL					7	6.54					17	15.89								77	71.96		6	5.61								107	
	EIGHTH							Excluded					6	85.71								1	14.29		0	0.00								7	
		TOTAL											23	21.50								78	72.90		6	5.61								107	
	NINTH													Excluded								11	47.83		12	52.17								23	
		TOTAL																				89	83.18		18	16.82								107	
																						Elected													
																																			
Garah                                                          																																			
	FIRST			4	2.29		1	0.57		1	0.57		14	8.00		1	0.57		0	0.00		124	70.86		27	15.43		0	0.00		3	1.71		175	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	2.29		1	0.57		1	0.57		14	8.00		1	0.57		0	0.00		124	70.86		27	15.43					3	1.71		175	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		4	2.29		1	0.57		1	0.57		14	8.00		1	0.57					124	70.86		27	15.43					3	1.71		175	
	FOURTH				Excluded		2	50.00		0	0.00		0	0.00		0	0.00					0	0.00		1	25.00					1	25.00		4	
		TOTAL					3	1.71		1	0.57		14	8.00		1	0.57					124	70.86		28	16.00					4	2.29		175	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	100.00					0	0.00		1	
		TOTAL					3	1.71					14	8.00		1	0.57					124	70.86		29	16.57					4	2.29		175	
	SIXTH						1	25.00					0	0.00		0	0.00					3	75.00		0	0.00						Excluded		4	
		TOTAL					4	2.29					14	8.00		1	0.57					127	72.57		29	16.57								175	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		1	100.00								1	
		TOTAL					4	2.29					14	8.00								127	72.57		30	17.14								175	
	EIGHTH							Excluded					0	0.00								4	100.00		0	0.00								4	
		TOTAL											14	8.00								131	74.86		30	17.14								175	
	NINTH													Excluded								7	50.00		7	50.00								14	
		TOTAL																				138	78.86		37	21.14								175	
																						Elected													
																																			
Geurie                                                         																																			
	FIRST			5	0.98		25	4.88		9	1.76		50	9.77		12	2.34		5	0.98		306	59.77		96	18.75		3	0.59		1	0.20		512	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		5	0.98		26	5.08		9	1.76		50	9.77		12	2.34		5	0.98		306	59.77		96	18.75					3	0.59		512	
	THIRD			0	0.00		0	0.00		0	0.00		1	20.00		0	0.00			Excluded		3	60.00		0	0.00					1	20.00		5	
		TOTAL		5	0.98		26	5.08		9	1.76		51	9.96		12	2.34					309	60.35		96	18.75					4	0.78		512	
	FOURTH				Excluded		3	60.00		0	0.00		0	0.00		1	20.00					1	20.00		0	0.00					0	0.00		5	
		TOTAL					29	5.66		9	1.76		51	9.96		13	2.54					310	60.55		96	18.75					4	0.78		512	
	FIFTH						2	22.22			Excluded		0	0.00		4	44.44					0	0.00		2	22.22					1	11.11		9	
		TOTAL					31	6.05					51	9.96		17	3.32					310	60.55		98	19.14					5	0.98		512	
	SIXTH						4	80.00					0	0.00		1	20.00					0	0.00		0	0.00						Excluded		5	
		TOTAL					35	6.84					51	9.96		18	3.52					310	60.55		98	19.14								512	
	SEVENTH						9	50.00					1	5.56			Excluded					3	16.67		5	27.78								18	
		TOTAL					44	8.59					52	10.16								313	61.13		103	20.12								512	
	EIGHTH							Excluded					19	43.18								10	22.73		15	34.09								44	
		TOTAL											71	13.87								323	63.09		118	23.05								512	
	NINTH													Excluded								40	56.34		31	43.66								71	
		TOTAL																				363	70.90		149	29.10								512	
																						Elected													
																																			
Gilgandra                                                      																																			
	FIRST			30	1.63		88	4.78		14	0.76		319	17.32		17	0.92		17	0.92		874	47.45		458	24.86		16	0.87		9	0.49		1842	
	SECOND			0	0.00		1	6.25		0	0.00		6	37.50		1	6.25		1	6.25		0	0.00		2	12.50			Excluded		5	31.25		16	
		TOTAL		30	1.63		89	4.83		14	0.76		325	17.64		18	0.98		18	0.98		874	47.45		460	24.97					14	0.76		1842	
	THIRD			3	16.67		1	5.56		0	0.00		6	33.33		2	11.11			Excluded		2	11.11		2	11.11					2	11.11		18	
		TOTAL		33	1.79		90	4.89		14	0.76		331	17.97		20	1.09					876	47.56		462	25.08					16	0.87		1842	
	FOURTH				Excluded		21	63.64		2	6.06		1	3.03		1	3.03					2	6.06		3	9.09					3	9.09		33	
		TOTAL					111	6.03		16	0.87		332	18.02		21	1.14					878	47.67		465	25.24					19	1.03		1842	
	FIFTH						2	12.50			Excluded		3	18.75		5	31.25					2	12.50		4	25.00					0	0.00		16	
		TOTAL					113	6.13					335	18.19		26	1.41					880	47.77		469	25.46					19	1.03		1842	
	SIXTH						8	42.11					2	10.53		1	5.26					4	21.05		4	21.05						Excluded		19	
		TOTAL					121	6.57					337	18.30		27	1.47					884	47.99		473	25.68								1842	
	SEVENTH						7	25.93					6	22.22			Excluded					8	29.63		6	22.22								27	
		TOTAL					128	6.95					343	18.62								892	48.43		479	26.00								1842	
	EIGHTH							Excluded					67	52.34								25	19.53		36	28.13								128	
		TOTAL											410	22.26								917	49.78		515	27.96								1842	
	NINTH													Excluded								190	46.34		220	53.66								410	
		TOTAL																				1107	60.10		735	39.90								1842	
																						Elected													
																																			
Glen Alice                                                     																																			
	FIRST			0	0.00		5	12.20		0	0.00		12	29.27		1	2.44		0	0.00		17	41.46		5	12.20		1	2.44		0	0.00		41	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		0	0.00		5	12.20		0	0.00		12	29.27		1	2.44		0	0.00		17	41.46		5	12.20					1	2.44		41	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		5	12.20		0	0.00		12	29.27		1	2.44					17	41.46		5	12.20					1	2.44		41	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					5	12.20		0	0.00		12	29.27		1	2.44					17	41.46		5	12.20					1	2.44		41	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					5	12.20					12	29.27		1	2.44					17	41.46		5	12.20					1	2.44		41	
	SIXTH						0	0.00					1	100.00		0	0.00					0	0.00		0	0.00						Excluded		1	
		TOTAL					5	12.20					13	31.71		1	2.44					17	41.46		5	12.20								41	
	SEVENTH						0	0.00					0	0.00			Excluded					1	100.00		0	0.00								1	
		TOTAL					5	12.20					13	31.71								18	43.90		5	12.20								41	
	EIGHTH							Excluded					0	0.00								4	80.00		1	20.00								5	
		TOTAL											13	31.71								22	53.66		6	14.63								41	
	NINTH													Excluded								8	61.54		5	38.46								13	
		TOTAL																				30	73.17		11	26.83								41	
																						Elected													
																																			
Gollan                                                         																																			
	FIRST			0	0.00		7	9.21		0	0.00		2	2.63		0	0.00		0	0.00		65	85.53		1	1.32		1	1.32		0	0.00		76	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		0	0.00		8	10.53		0	0.00		2	2.63		0	0.00		0	0.00		65	85.53		1	1.32					0	0.00		76	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		8	10.53		0	0.00		2	2.63		0	0.00					65	85.53		1	1.32					0	0.00		76	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					8	10.53		0	0.00		2	2.63		0	0.00					65	85.53		1	1.32					0	0.00		76	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					8	10.53					2	2.63		0	0.00					65	85.53		1	1.32					0	0.00		76	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					8	10.53					2	2.63		0	0.00					65	85.53		1	1.32								76	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					8	10.53					2	2.63								65	85.53		1	1.32								76	
	EIGHTH							Excluded					1	12.50								4	50.00		3	37.50								8	
		TOTAL											3	3.95								69	90.79		4	5.26								76	
	NINTH													Excluded								0	0.00		3	100.00								3	
		TOTAL																				69	90.79		7	9.21								76	
																						Elected													
																																			
Goodooga                                                       																																			
	FIRST			2	1.38		12	8.28		3	2.07		2	1.38		5	3.45		0	0.00		37	25.52		84	57.93		0	0.00		0	0.00		145	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.38		12	8.28		3	2.07		2	1.38		5	3.45		0	0.00		37	25.52		84	57.93					0	0.00		145	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.38		12	8.28		3	2.07		2	1.38		5	3.45					37	25.52		84	57.93					0	0.00		145	
	FOURTH				Excluded		1	50.00		0	0.00		0	0.00		1	50.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					13	8.97		3	2.07		2	1.38		6	4.14					37	25.52		84	57.93					0	0.00		145	
	FIFTH						2	66.67			Excluded		0	0.00		0	0.00					1	33.33		0	0.00					0	0.00		3	
		TOTAL					15	10.34					2	1.38		6	4.14					38	26.21		84	57.93					0	0.00		145	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					15	10.34					2	1.38		6	4.14					38	26.21		84	57.93								145	
	SEVENTH						3	50.00					0	0.00			Excluded					0	0.00		3	50.00								6	
		TOTAL					18	12.41					2	1.38								38	26.21		87	60.00								145	
	EIGHTH							Excluded					7	38.89								7	38.89		4	22.22								18	
		TOTAL											9	6.21								45	31.03		91	62.76								145	
	NINTH													Excluded								2	22.22		7	77.78								9	
		TOTAL																				47	32.41		98	67.59								145	
																						Elected													
																																			
Goolma                                                         																																			
	FIRST			1	0.72		10	7.25		2	1.45		18	13.04		2	1.45		4	2.90		76	55.07		24	17.39		1	0.72		0	0.00		138	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		1	0.72		11	7.97		2	1.45		18	13.04		2	1.45		4	2.90		76	55.07		24	17.39					0	0.00		138	
	THIRD			0	0.00		0	0.00		0	0.00		2	50.00		0	0.00			Excluded		2	50.00		0	0.00					0	0.00		4	
		TOTAL		1	0.72		11	7.97		2	1.45		20	14.49		2	1.45					78	56.52		24	17.39					0	0.00		138	
	FOURTH				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					12	8.70		2	1.45		20	14.49		2	1.45					78	56.52		24	17.39					0	0.00		138	
	FIFTH						1	50.00			Excluded		1	50.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					13	9.42					21	15.22		2	1.45					78	56.52		24	17.39					0	0.00		138	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					13	9.42					21	15.22		2	1.45					78	56.52		24	17.39								138	
	SEVENTH						0	0.00					2	100.00			Excluded					0	0.00		0	0.00								2	
		TOTAL					13	9.42					23	16.67								78	56.52		24	17.39								138	
	EIGHTH							Excluded					2	15.38								6	46.15		5	38.46								13	
		TOTAL											25	18.12								84	60.87		29	21.01								138	
	NINTH													Excluded								6	24.00		19	76.00								25	
		TOTAL																				90	65.22		48	34.78								138	
																						Elected													
																																			
Gravesend                                                      																																			
	FIRST			4	2.17		7	3.80		2	1.09		25	13.59		1	0.54		5	2.72		111	60.33		27	14.67		0	0.00		2	1.09		184	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	2.17		7	3.80		2	1.09		25	13.59		1	0.54		5	2.72		111	60.33		27	14.67					2	1.09		184	
	THIRD			0	0.00		1	20.00		1	20.00		0	0.00		0	0.00			Excluded		2	40.00		0	0.00					1	20.00		5	
		TOTAL		4	2.17		8	4.35		3	1.63		25	13.59		1	0.54					113	61.41		27	14.67					3	1.63		184	
	FOURTH				Excluded		1	25.00		0	0.00		2	50.00		0	0.00					0	0.00		1	25.00					0	0.00		4	
		TOTAL					9	4.89		3	1.63		27	14.67		1	0.54					113	61.41		28	15.22					3	1.63		184	
	FIFTH						2	66.67			Excluded		0	0.00		1	33.33					0	0.00		0	0.00					0	0.00		3	
		TOTAL					11	5.98					27	14.67		2	1.09					113	61.41		28	15.22					3	1.63		184	
	SIXTH						0	0.00					0	0.00		1	33.33					1	33.33		1	33.33						Excluded		3	
		TOTAL					11	5.98					27	14.67		3	1.63					114	61.96		29	15.76								184	
	SEVENTH						2	66.67					0	0.00			Excluded					0	0.00		1	33.33								3	
		TOTAL					13	7.07					27	14.67								114	61.96		30	16.30								184	
	EIGHTH							Excluded					4	30.77								4	30.77		5	38.46								13	
		TOTAL											31	16.85								118	64.13		35	19.02								184	
	NINTH													Excluded								13	41.94		18	58.06								31	
		TOTAL																				131	71.20		53	28.80								184	
																						Elected													
																																			
Gulargambone                                                   																																			
	FIRST			7	1.57		9	2.02		16	3.60		72	16.18		4	0.90		5	1.12		256	57.53		72	16.18		2	0.45		2	0.45		445	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		7	1.57		10	2.25		16	3.60		72	16.18		4	0.90		5	1.12		256	57.53		72	16.18					3	0.67		445	
	THIRD			0	0.00		0	0.00		0	0.00		5	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		5	
		TOTAL		7	1.57		10	2.25		16	3.60		77	17.30		4	0.90					256	57.53		72	16.18					3	0.67		445	
	FOURTH				Excluded		6	85.71		0	0.00		0	0.00		0	0.00					0	0.00		1	14.29					0	0.00		7	
		TOTAL					16	3.60		16	3.60		77	17.30		4	0.90					256	57.53		73	16.40					3	0.67		445	
	FIFTH						4	25.00			Excluded		5	31.25		1	6.25					3	18.75		2	12.50					1	6.25		16	
		TOTAL					20	4.49					82	18.43		5	1.12					259	58.20		75	16.85					4	0.90		445	
	SIXTH						1	25.00					0	0.00		0	0.00					1	25.00		2	50.00						Excluded		4	
		TOTAL					21	4.72					82	18.43		5	1.12					260	58.43		77	17.30								445	
	SEVENTH						0	0.00					1	20.00			Excluded					3	60.00		1	20.00								5	
		TOTAL					21	4.72					83	18.65								263	59.10		78	17.53								445	
	EIGHTH							Excluded					9	42.86								4	19.05		8	38.10								21	
		TOTAL											92	20.67								267	60.00		86	19.33								445	
	NINTH													Excluded								40	43.48		52	56.52								92	
		TOTAL																				307	68.99		138	31.01								445	
																						Elected													
																																			
Gulgong                                                        																																			
	FIRST			23	1.22		162	8.61		30	1.59		186	9.88		34	1.81		15	0.80		758	40.28		665	35.33		3	0.16		6	0.32		1882	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		23	1.22		163	8.66		30	1.59		186	9.88		34	1.81		15	0.80		758	40.28		666	35.39					7	0.37		1882	
	THIRD			2	13.33		2	13.33		1	6.67		3	20.00		1	6.67			Excluded		2	13.33		3	20.00					1	6.67		15	
		TOTAL		25	1.33		165	8.77		31	1.65		189	10.04		35	1.86					760	40.38		669	35.55					8	0.43		1882	
	FOURTH				Excluded		17	68.00		4	16.00		3	12.00		0	0.00					1	4.00		0	0.00					0	0.00		25	
		TOTAL					182	9.67		35	1.86		192	10.20		35	1.86					761	40.44		669	35.55					8	0.43		1882	
	FIFTH						11	31.43			Excluded		2	5.71		6	17.14					4	11.43		11	31.43					1	2.86		35	
		TOTAL					193	10.26					194	10.31		41	2.18					765	40.65		680	36.13					9	0.48		1882	
	SIXTH						5	55.56					0	0.00		0	0.00					2	22.22		2	22.22						Excluded		9	
		TOTAL					198	10.52					194	10.31		41	2.18					767	40.75		682	36.24								1882	
	SEVENTH						17	41.46					6	14.63			Excluded					2	4.88		16	39.02								41	
		TOTAL					215	11.42					200	10.63								769	40.86		698	37.09								1882	
	EIGHTH							Excluded					72	33.49								70	32.56		73	33.95								215	
		TOTAL											272	14.45								839	44.58		771	40.97								1882	
	NINTH													Excluded								113	41.54		159	58.46								272	
		TOTAL																				952	50.58		930	49.42								1882	
																						Elected													
																																			
Gundy                                                          																																			
	FIRST			5	3.31		3	1.99		4	2.65		17	11.26		3	1.99		3	1.99		87	57.62		28	18.54		0	0.00		1	0.66		151	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	3.31		3	1.99		4	2.65		17	11.26		3	1.99		3	1.99		87	57.62		28	18.54					1	0.66		151	
	THIRD			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00			Excluded		2	66.67		0	0.00					0	0.00		3	
		TOTAL		5	3.31		3	1.99		4	2.65		18	11.92		3	1.99					89	58.94		28	18.54					1	0.66		151	
	FOURTH				Excluded		2	40.00		2	40.00		0	0.00		0	0.00					0	0.00		1	20.00					0	0.00		5	
		TOTAL					5	3.31		6	3.97		18	11.92		3	1.99					89	58.94		29	19.21					1	0.66		151	
	FIFTH						1	16.67			Excluded		0	0.00		2	33.33					2	33.33		1	16.67					0	0.00		6	
		TOTAL					6	3.97					18	11.92		5	3.31					91	60.26		30	19.87					1	0.66		151	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		1	100.00						Excluded		1	
		TOTAL					6	3.97					18	11.92		5	3.31					91	60.26		31	20.53								151	
	SEVENTH						0	0.00					0	0.00			Excluded					1	20.00		4	80.00								5	
		TOTAL					6	3.97					18	11.92								92	60.93		35	23.18								151	
	EIGHTH							Excluded					4	66.67								0	0.00		2	33.33								6	
		TOTAL											22	14.57								92	60.93		37	24.50								151	
	NINTH													Excluded								11	50.00		11	50.00								22	
		TOTAL																				103	68.21		48	31.79								151	
																						Elected													
																																			
Gunnedah                                                       																																			
	FIRST			42	1.38		233	7.68		37	1.22		222	7.32		32	1.06		50	1.65		1678	55.32		635	20.94		14	0.46		90	2.97		3033	
	SECOND			1	7.14		0	0.00		0	0.00		1	7.14		0	0.00		0	0.00		2	14.29		1	7.14			Excluded		9	64.29		14	
		TOTAL		43	1.42		233	7.68		37	1.22		223	7.35		32	1.06		50	1.65		1680	55.39		636	20.97					99	3.26		3033	
	THIRD			0	0.00		7	14.00		3	6.00		9	18.00		3	6.00			Excluded		12	24.00		9	18.00					7	14.00		50	
		TOTAL		43	1.42		240	7.91		40	1.32		232	7.65		35	1.15					1692	55.79		645	21.27					106	3.49		3033	
	FOURTH				Excluded		20	46.51		6	13.95		5	11.63		0	0.00					3	6.98		1	2.33					8	18.60		43	
		TOTAL					260	8.57		46	1.52		237	7.81		35	1.15					1695	55.89		646	21.30					114	3.76		3033	
	FIFTH						19	41.30			Excluded		6	13.04		6	13.04					10	21.74		3	6.52					2	4.35		46	
		TOTAL					279	9.20					243	8.01		41	1.35					1705	56.21		649	21.40					116	3.82		3033	
	SIXTH						40	34.48					19	16.38		8	6.90					25	21.55		24	20.69						Excluded		116	
		TOTAL					319	10.52					262	8.64		49	1.62					1730	57.04		673	22.19								3033	
	SEVENTH						19	38.78					9	18.37			Excluded					8	16.33		13	26.53								49	
		TOTAL					338	11.14					271	8.94								1738	57.30		686	22.62								3033	
	EIGHTH							Excluded					128	37.87								90	26.63		120	35.50								338	
		TOTAL											399	13.16								1828	60.27		806	26.57								3033	
	NINTH													Excluded								176	44.11		223	55.89								399	
		TOTAL																				2004	66.07		1029	33.93								3033	
																						Elected													
																																			
Gunnedah High                                                  																																			
	FIRST			12	1.19		59	5.85		24	2.38		75	7.43		8	0.79		17	1.68		554	54.91		226	22.40		6	0.59		28	2.78		1009	
	SECOND			0	0.00		4	66.67		0	0.00		0	0.00		0	0.00		0	0.00		1	16.67		0	0.00			Excluded		1	16.67		6	
		TOTAL		12	1.19		63	6.24		24	2.38		75	7.43		8	0.79		17	1.68		555	55.00		226	22.40					29	2.87		1009	
	THIRD			1	5.88		1	5.88		0	0.00		5	29.41		0	0.00			Excluded		4	23.53		3	17.65					3	17.65		17	
		TOTAL		13	1.29		64	6.34		24	2.38		80	7.93		8	0.79					559	55.40		229	22.70					32	3.17		1009	
	FOURTH				Excluded		9	69.23		2	15.38		0	0.00		1	7.69					0	0.00		0	0.00					1	7.69		13	
		TOTAL					73	7.23		26	2.58		80	7.93		9	0.89					559	55.40		229	22.70					33	3.27		1009	
	FIFTH						5	19.23			Excluded		5	19.23		6	23.08					7	26.92		3	11.54					0	0.00		26	
		TOTAL					78	7.73					85	8.42		15	1.49					566	56.10		232	22.99					33	3.27		1009	
	SIXTH						14	42.42					9	27.27		1	3.03					5	15.15		4	12.12						Excluded		33	
		TOTAL					92	9.12					94	9.32		16	1.59					571	56.59		236	23.39								1009	
	SEVENTH						3	18.75					3	18.75			Excluded					3	18.75		7	43.75								16	
