House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Eden-Monaro (85815)											
		Candidate		"WHAN, Steve"		                	"NAIRN, Gary"		                	Total	
		"BEAUMONT, Rosemary (GRN)"	171	158	92.40		13	7.60		171	
		"SWIFT, Matthew (IND)"	8	4	50.00		4	50.00		8	
		"VLUG, Peter (NCP)"	2	2	100.00		0	0.00		2	
		"URQUHART, Steve (IND)"	10	8	80.00		2	20.00		10	
		"COCHRAN, Peter (IND)"	229	59	25.76		170	74.24		229	
		"BRIDGES, Barry (HAN)"	146	52	35.62		94	64.38		146	
		Total	683	1410	52.14		1294	47.86		2704	

	Narooma										
			1st Prefs	673	46.64		770	53.36		1443	
		"CHAPMAN, Linda (DEM)"	46	37	80.43		9	19.57		46	
		"PHILLIPS, Frank (CTA)"	41	11	26.83		30	73.17		41	
		"BEAUMONT, Rosemary (GRN)"	81	73	90.12		8	9.88		81	
		"SWIFT, Matthew (IND)"	1	0	0.00		1	100.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	57	38	66.67		19	33.33		57	
		"COCHRAN, Peter (IND)"	86	16	18.60		70	81.40		86	
		"BRIDGES, Barry (HAN)"	93	35	37.63		58	62.37		93	
		Total	405	883	47.78		965	52.22		1848	
											
	Nelligen										
			1st Prefs	75	42.61		101	57.39		176	
		"CHAPMAN, Linda (DEM)"	4	2	50.00		2	50.00		4	
		"PHILLIPS, Frank (CTA)"	2	1	50.00		1	50.00		2	
		"BEAUMONT, Rosemary (GRN)"	16	12	75.00		4	25.00		16	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	2	0	0.00		2	100.00		2	
		"COCHRAN, Peter (IND)"	28	4	14.29		24	85.71		28	
		"BRIDGES, Barry (HAN)"	16	6	37.50		10	62.50		16	
		Total	68	100	40.98		144	59.02		244	

	Nimmitabel										
			1st Prefs	97	39.43		149	60.57		246	
		"CHAPMAN, Linda (DEM)"	3	2	66.67		1	33.33		3	
		"PHILLIPS, Frank (CTA)"	1	0	0.00		1	100.00		1	
		"BEAUMONT, Rosemary (GRN)"	14	12	85.71		2	14.29		14	
		"SWIFT, Matthew (IND)"	2	0	0.00		2	100.00		2	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	1	1	100.00		0	0.00		1	
		"COCHRAN, Peter (IND)"	18	7	38.89		11	61.11		18	
		"BRIDGES, Barry (HAN)"	18	3	16.67		15	83.33		18	
		Total	57	122	40.26		181	59.74		303	

	Numeralla										
			1st Prefs	41	45.05		50	54.95		91	
		"CHAPMAN, Linda (DEM)"	1	0	0.00		1	100.00		1	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	6	6	100.00		0	0.00		6	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	25	5	20.00		20	80.00		25	
		"BRIDGES, Barry (HAN)"	6	3	50.00		3	50.00		6	
		Total	38	55	42.64		74	57.36		129	

	Pambula										
			1st Prefs	501	41.23		714	58.77		1215	
		"CHAPMAN, Linda (DEM)"	19	15	78.95		4	21.05		19	
		"PHILLIPS, Frank (CTA)"	13	6	46.15		7	53.85		13	
		"BEAUMONT, Rosemary (GRN)"	85	76	89.41		9	10.59		85	
		"SWIFT, Matthew (IND)"	3	3	100.00		0	0.00		3	
		"VLUG, Peter (NCP)"	2	1	50.00		1	50.00		2	
		"URQUHART, Steve (IND)"	2	1	50.00		1	50.00		2	
		"COCHRAN, Peter (IND)"	103	20	19.42		83	80.58		103	
		"BRIDGES, Barry (HAN)"	49	23	46.94		26	53.06		49	
		Total	276	646	43.33		845	56.67		1491	
											
	Perisher Valley										
			1st Prefs	5	31.25		11	68.75		16	
		"CHAPMAN, Linda (DEM)"	1	1	100.00		0	0.00		1	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	1	0	0.00		1	100.00		1	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	2	1	50.00		1	50.00		2	
		"BRIDGES, Barry (HAN)"	3	2	66.67		1	33.33		3	
		Total	7	9	39.13		14	60.87		23	

	Quaama										
			1st Prefs	111	51.63		104	48.37		215	
		"CHAPMAN, Linda (DEM)"	6	6	100.00		0	0.00		6	
		"PHILLIPS, Frank (CTA)"	3	2	66.67		1	33.33		3	
		"BEAUMONT, Rosemary (GRN)"	61	60	98.36		1	1.64		61	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	1	1	100.00		0	0.00		1	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	15	5	33.33		10	66.67		15	
		"BRIDGES, Barry (HAN)"	36	7	19.44		29	80.56		36	
		Total	122	192	56.97		145	43.03		337	

	Queanbeyan										
			1st Prefs	780	58.78		547	41.22		1327	
		"CHAPMAN, Linda (DEM)"	58	51	87.93		7	12.07		58	
		"PHILLIPS, Frank (CTA)"	19	5	26.32		14	73.68		19	
		"BEAUMONT, Rosemary (GRN)"	70	63	90.00		7	10.00		70	
		"SWIFT, Matthew (IND)"	4	1	25.00		3	75.00		4	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	242	85	35.12		157	64.88		242	
		"BRIDGES, Barry (HAN)"	35	16	45.71		19	54.29		35	
		Total	428	1001	57.04		754	42.96		1755	

	Queanbeyan Central										
			1st Prefs	911	55.45		732	44.55		1643	
		"CHAPMAN, Linda (DEM)"	115	94	81.74		21	18.26		115	
		"PHILLIPS, Frank (CTA)"	28	10	35.71		18	64.29		28	
		"BEAUMONT, Rosemary (GRN)"	83	69	83.13		14	16.87		83	
		"SWIFT, Matthew (IND)"	4	3	75.00		1	25.00		4	
		"VLUG, Peter (NCP)"	4	3	75.00		1	25.00		4	
		"URQUHART, Steve (IND)"	6	2	33.33		4	66.67		6	
		"COCHRAN, Peter (IND)"	184	59	32.07		125	67.93		184	
		"BRIDGES, Barry (HAN)"	61	30	49.18		31	50.82		61	
		Total	485	1181	55.50		947	44.50		2128	
											
	Queanbeyan East										
			1st Prefs	750	51.33		711	48.67		1461	
		"CHAPMAN, Linda (DEM)"	97	76	78.35		21	21.65		97	
		"PHILLIPS, Frank (CTA)"	25	10	40.00		15	60.00		25	
		"BEAUMONT, Rosemary (GRN)"	104	92	88.46		12	11.54		104	
		"SWIFT, Matthew (IND)"	4	3	75.00		1	25.00		4	
		"VLUG, Peter (NCP)"	3	0	0.00		3	100.00		3	
		"URQUHART, Steve (IND)"	5	4	80.00		1	20.00		5	
		"COCHRAN, Peter (IND)"	172	50	29.07		122	70.93		172	
		"BRIDGES, Barry (HAN)"	53	26	49.06		27	50.94		53	
		Total	463	1011	52.55		913	47.45		1924	

	Queanbeyan High										
			1st Prefs	691	61.64		430	38.36		1121	
		"CHAPMAN, Linda (DEM)"	59	45	76.27		14	23.73		59	
		"PHILLIPS, Frank (CTA)"	12	4	33.33		8	66.67		12	
		"BEAUMONT, Rosemary (GRN)"	30	27	90.00		3	10.00		30	
		"SWIFT, Matthew (IND)"	1	1	100.00		0	0.00		1	
		"VLUG, Peter (NCP)"	3	2	66.67		1	33.33		3	
		"URQUHART, Steve (IND)"	8	7	87.50		1	12.50		8	
		"COCHRAN, Peter (IND)"	158	62	39.24		96	60.76		158	
		"BRIDGES, Barry (HAN)"	25	15	60.00		10	40.00		25	
		Total	296	854	60.27		563	39.73		1417	

	Queanbeyan Hospital										
			1st Prefs	317	58.60		224	41.40		541	
		"CHAPMAN, Linda (DEM)"	27	24	88.89		3	11.11		27	
		"PHILLIPS, Frank (CTA)"	5	2	40.00		3	60.00		5	
		"BEAUMONT, Rosemary (GRN)"	25	24	96.00		1	4.00		25	
		"SWIFT, Matthew (IND)"	2	1	50.00		1	50.00		2	
		"VLUG, Peter (NCP)"	3	2	66.67		1	33.33		3	
		"URQUHART, Steve (IND)"	1	0	0.00		1	100.00		1	
		"COCHRAN, Peter (IND)"	53	20	37.74		33	62.26		53	
		"BRIDGES, Barry (HAN)"	10	7	70.00		3	30.00		10	
		Total	126	397	59.52		270	40.48		667	

	Queanbeyan North										
			1st Prefs	608	60.86		391	39.14		999	
		"CHAPMAN, Linda (DEM)"	61	47	77.05		14	22.95		61	
		"PHILLIPS, Frank (CTA)"	17	9	52.94		8	47.06		17	
		"BEAUMONT, Rosemary (GRN)"	67	56	83.58		11	16.42		67	
		"SWIFT, Matthew (IND)"	4	1	25.00		3	75.00		4	
		"VLUG, Peter (NCP)"	4	2	50.00		2	50.00		4	
		"URQUHART, Steve (IND)"	3	1	33.33		2	66.67		3	
		"COCHRAN, Peter (IND)"	119	43	36.13		76	63.87		119	
		"BRIDGES, Barry (HAN)"	31	20	64.52		11	35.48		31	
		Total	306	787	60.31		518	39.69		1305	
											
	Queanbeyan South										
			1st Prefs	1820	65.19		972	34.81		2792	
		"CHAPMAN, Linda (DEM)"	130	93	71.54		37	28.46		130	
		"PHILLIPS, Frank (CTA)"	46	23	50.00		23	50.00		46	
		"BEAUMONT, Rosemary (GRN)"	102	93	91.18		9	8.82		102	
		"SWIFT, Matthew (IND)"	8	8	100.00		0	0.00		8	
		"VLUG, Peter (NCP)"	6	2	33.33		4	66.67		6	
		"URQUHART, Steve (IND)"	6	3	50.00		3	50.00		6	
		"COCHRAN, Peter (IND)"	344	130	37.79		214	62.21		344	
		"BRIDGES, Barry (HAN)"	78	32	41.03		46	58.97		78	
		Total	720	2204	62.76		1308	37.24		3512	

	Queanbeyan West										
			1st Prefs	748	59.37		512	40.63		1260	
		"CHAPMAN, Linda (DEM)"	62	51	82.26		11	17.74		62	
		"PHILLIPS, Frank (CTA)"	21	12	57.14		9	42.86		21	
		"BEAUMONT, Rosemary (GRN)"	51	48	94.12		3	5.88		51	
		"SWIFT, Matthew (IND)"	3	2	66.67		1	33.33		3	
		"VLUG, Peter (NCP)"	1	1	100.00		0	0.00		1	
		"URQUHART, Steve (IND)"	3	1	33.33		2	66.67		3	
		"COCHRAN, Peter (IND)"	192	73	38.02		119	61.98		192	
		"BRIDGES, Barry (HAN)"	41	23	56.10		18	43.90		41	
		Total	374	959	58.69		675	41.31		1634	

	South Durras										
			1st Prefs	76	50.67		74	49.33		150	
		"CHAPMAN, Linda (DEM)"	6	6	100.00		0	0.00		6	
		"PHILLIPS, Frank (CTA)"	2	0	0.00		2	100.00		2	
		"BEAUMONT, Rosemary (GRN)"	16	15	93.75		1	6.25		16	
		"SWIFT, Matthew (IND)"	1	1	100.00		0	0.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	6	2	33.33		4	66.67		6	
		"BRIDGES, Barry (HAN)"	5	2	40.00		3	60.00		5	
		Total	36	102	54.84		84	45.16		186	

	Sunshine Bay										
			1st Prefs	676	41.17		966	58.83		1642	
		"CHAPMAN, Linda (DEM)"	39	30	76.92		9	23.08		39	
		"PHILLIPS, Frank (CTA)"	59	9	15.25		50	84.75		59	
		"BEAUMONT, Rosemary (GRN)"	48	43	89.58		5	10.42		48	
		"SWIFT, Matthew (IND)"	3	2	66.67		1	33.33		3	
		"VLUG, Peter (NCP)"	1	0	0.00		1	100.00		1	
		"URQUHART, Steve (IND)"	5	4	80.00		1	20.00		5	
		"COCHRAN, Peter (IND)"	81	24	29.63		57	70.37		81	
		"BRIDGES, Barry (HAN)"	67	25	37.31		42	62.69		67	
		Total	303	813	41.80		1132	58.20		1945	
											
	Sutton (Eden-Monaro)										
			1st Prefs	201	47.74		220	52.26		421	
		"CHAPMAN, Linda (DEM)"	32	18	56.25		14	43.75		32	
		"PHILLIPS, Frank (CTA)"	5	1	20.00		4	80.00		5	
		"BEAUMONT, Rosemary (GRN)"	49	39	79.59		10	20.41		49	
		"SWIFT, Matthew (IND)"	2	1	50.00		1	50.00		2	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	78	16	20.51		62	79.49		78	
		"BRIDGES, Barry (HAN)"	19	6	31.58		13	68.42		19	
		Total	185	282	46.53		324	53.47		606	

	Sydney (Eden-Monaro)										
			1st Prefs	22	52.38		20	47.62		42	
		"CHAPMAN, Linda (DEM)"	2	1	50.00		1	50.00		2	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	2	1	50.00		1	50.00		2	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	3	1	33.33		2	66.67		3	
		"BRIDGES, Barry (HAN)"	2	1	50.00		1	50.00		2	
		Total	9	26	50.98		25	49.02		51	

	Tanja										
			1st Prefs	58	80.56		14	19.44		72	
		"CHAPMAN, Linda (DEM)"	5	4	80.00		1	20.00		5	
		"PHILLIPS, Frank (CTA)"	1	1	100.00		0	0.00		1	
		"BEAUMONT, Rosemary (GRN)"	56	54	96.43		2	3.57		56	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	5	1	20.00		4	80.00		5	
		"BRIDGES, Barry (HAN)"	2	1	50.00		1	50.00		2	
		Total	69	119	84.40		22	15.60		141	

	Tathra										
			1st Prefs	555	52.06		511	47.94		1066	
		"CHAPMAN, Linda (DEM)"	75	65	86.67		10	13.33		75	
		"PHILLIPS, Frank (CTA)"	9	2	22.22		7	77.78		9	
		"BEAUMONT, Rosemary (GRN)"	101	88	87.13		13	12.87		101	
		"SWIFT, Matthew (IND)"	2	2	100.00		0	0.00		2	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	2	2	100.00		0	0.00		2	
		"COCHRAN, Peter (IND)"	71	13	18.31		58	81.69		71	
		"BRIDGES, Barry (HAN)"	41	19	46.34		22	53.66		41	
		Total	301	746	54.57		621	45.43		1367	
											
	Thredbo										
			1st Prefs	29	34.12		56	65.88		85	
		"CHAPMAN, Linda (DEM)"	7	5	71.43		2	28.57		7	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	10	6	60.00		4	40.00		10	
		"SWIFT, Matthew (IND)"	1	0	0.00		1	100.00		1	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	3	1	33.33		2	66.67		3	
		"BRIDGES, Barry (HAN)"	0	0	0.00		0	0.00		0	
		Total	21	41	38.68		65	61.32		106	

	Tomakin										
			1st Prefs	259	48.32		277	51.68		536	
		"CHAPMAN, Linda (DEM)"	19	17	89.47		2	10.53		19	
		"PHILLIPS, Frank (CTA)"	3	1	33.33		2	66.67		3	
		"BEAUMONT, Rosemary (GRN)"	46	36	78.26		10	21.74		46	
		"SWIFT, Matthew (IND)"	1	1	100.00		0	0.00		1	
		"VLUG, Peter (NCP)"	1	0	0.00		1	100.00		1	
		"URQUHART, Steve (IND)"	1	0	0.00		1	100.00		1	
		"COCHRAN, Peter (IND)"	41	13	31.71		28	68.29		41	
		"BRIDGES, Barry (HAN)"	38	10	26.32		28	73.68		38	
		Total	150	337	49.13		349	50.87		686	

	Towamba										
			1st Prefs	50	53.76		43	46.24		93	
		"CHAPMAN, Linda (DEM)"	2	2	100.00		0	0.00		2	
		"PHILLIPS, Frank (CTA)"	2	2	100.00		0	0.00		2	
		"BEAUMONT, Rosemary (GRN)"	14	13	92.86		1	7.14		14	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	17	4	23.53		13	76.47		17	
		"BRIDGES, Barry (HAN)"	1	0	0.00		1	100.00		1	
		Total	36	71	55.04		58	44.96		129	

	Tura Beach										
			1st Prefs	355	34.47		675	65.53		1030	
		"CHAPMAN, Linda (DEM)"	17	12	70.59		5	29.41		17	
		"PHILLIPS, Frank (CTA)"	8	3	37.50		5	62.50		8	
		"BEAUMONT, Rosemary (GRN)"	32	26	81.25		6	18.75		32	
		"SWIFT, Matthew (IND)"	2	2	100.00		0	0.00		2	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	68	19	27.94		49	72.06		68	
		"BRIDGES, Barry (HAN)"	39	7	17.95		32	82.05		39	
		Total	166	424	35.45		772	64.55		1196	
											
	Tuross Head										
			1st Prefs	561	47.70		615	52.30		1176	
		"CHAPMAN, Linda (DEM)"	25	20	80.00		5	20.00		25	
		"PHILLIPS, Frank (CTA)"	20	6	30.00		14	70.00		20	
		"BEAUMONT, Rosemary (GRN)"	54	49	90.74		5	9.26		54	
		"SWIFT, Matthew (IND)"	2	1	50.00		1	50.00		2	
		"VLUG, Peter (NCP)"	2	2	100.00		0	0.00		2	
		"URQUHART, Steve (IND)"	3	1	33.33		2	66.67		3	
		"COCHRAN, Peter (IND)"	54	11	20.37		43	79.63		54	
		"BRIDGES, Barry (HAN)"	42	19	45.24		23	54.76		42	
		Total	202	670	48.62		708	51.38		1378	

	Wallaga Lake Koori Village										
			1st Prefs	35	100.00		0	0.00		35	
		"CHAPMAN, Linda (DEM)"	0	0	0.00		0	0.00		0	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	1	1	100.00		0	0.00		1	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	0	0	0.00		0	0.00		0	
		"BRIDGES, Barry (HAN)"	0	0	0.00		0	0.00		0	
		Total	1	36	100.00		0	0.00		36	

	Wamboin										
			1st Prefs	189	42.76		253	57.24		442	
		"CHAPMAN, Linda (DEM)"	25	22	88.00		3	12.00		25	
		"PHILLIPS, Frank (CTA)"	3	0	0.00		3	100.00		3	
		"BEAUMONT, Rosemary (GRN)"	39	33	84.62		6	15.38		39	
		"SWIFT, Matthew (IND)"	3	3	100.00		0	0.00		3	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	2	2	100.00		0	0.00		2	
		"COCHRAN, Peter (IND)"	55	19	34.55		36	65.45		55	
		"BRIDGES, Barry (HAN)"	5	4	80.00		1	20.00		5	
		Total	132	272	47.39		302	52.61		574	

	Wattle Park										
			1st Prefs	84	34.85		157	65.15		241	
		"CHAPMAN, Linda (DEM)"	20	13	65.00		7	35.00		20	
		"PHILLIPS, Frank (CTA)"	5	0	0.00		5	100.00		5	
		"BEAUMONT, Rosemary (GRN)"	49	41	83.67		8	16.33		49	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	19	6	31.58		13	68.42		19	
		"BRIDGES, Barry (HAN)"	7	1	14.29		6	85.71		7	
		Total	100	145	42.52		196	57.48		341	
											
	Wolumla										
			1st Prefs	132	39.88		199	60.12		331	
		"CHAPMAN, Linda (DEM)"	14	12	85.71		2	14.29		14	
		"PHILLIPS, Frank (CTA)"	8	0	0.00		8	100.00		8	
		"BEAUMONT, Rosemary (GRN)"	33	27	81.82		6	18.18		33	
		"SWIFT, Matthew (IND)"	2	1	50.00		1	50.00		2	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	40	12	30.00		28	70.00		40	
		"BRIDGES, Barry (HAN)"	37	15	40.54		22	59.46		37	
		Total	134	199	42.80		266	57.20		465	

	Wyndham										
			1st Prefs	103	53.93		88	46.07		191	
		"CHAPMAN, Linda (DEM)"	11	11	100.00		0	0.00		11	
		"PHILLIPS, Frank (CTA)"	1	0	0.00		1	100.00		1	
		"BEAUMONT, Rosemary (GRN)"	57	54	94.74		3	5.26		57	
		"SWIFT, Matthew (IND)"	2	1	50.00		1	50.00		2	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	2	2	100.00		0	0.00		2	
		"COCHRAN, Peter (IND)"	16	5	31.25		11	68.75		16	
		"BRIDGES, Barry (HAN)"	7	5	71.43		2	28.57		7	
		Total	96	181	63.07		106	36.93		287	

	Special Hospitals										
			1st Prefs	168	42.64		226	57.36		394	
		"CHAPMAN, Linda (DEM)"	5	5	100.00		0	0.00		5	
		"PHILLIPS, Frank (CTA)"	1	1	100.00		0	0.00		1	
		"BEAUMONT, Rosemary (GRN)"	4	1	25.00		3	75.00		4	
		"SWIFT, Matthew (IND)"	2	1	50.00		1	50.00		2	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	14	5	35.71		9	64.29		14	
		"BRIDGES, Barry (HAN)"	3	0	0.00		3	100.00		3	
		Total	29	181	42.79		242	57.21		423	

	Total Ordinary										
			1st Prefs	24188	47.93		26276	52.07		50464	
		"CHAPMAN, Linda (DEM)"	2029	1596	78.66		433	21.34		2029	
		"PHILLIPS, Frank (CTA)"	854	282	33.02		572	66.98		854	
		"BEAUMONT, Rosemary (GRN)"	3211	2851	88.79		360	11.21		3211	
		"SWIFT, Matthew (IND)"	160	91	56.88		69	43.13		160	
		"VLUG, Peter (NCP)"	66	37	56.06		29	43.94		66	
		"URQUHART, Steve (IND)"	275	178	64.73		97	35.27		275	
		"COCHRAN, Peter (IND)"	5342	1450	27.14		3892	72.86		5342	
		"BRIDGES, Barry (HAN)"	2310	912	39.48		1398	60.52		2310	
		Total	14247	31585	48.81		33126	51.19		64711	
											
	ABSENT										
			1st Prefs	868	41.73		1212	58.27		2080	
		"CHAPMAN, Linda (DEM)"	167	117	70.06		50	29.94		167	
		"PHILLIPS, Frank (CTA)"	39	12	30.77		27	69.23		39	
		"BEAUMONT, Rosemary (GRN)"	222	186	83.78		36	16.22		222	
		"SWIFT, Matthew (IND)"	15	5	33.33		10	66.67		15	
		"VLUG, Peter (NCP)"	3	3	100.00		0	0.00		3	
		"URQUHART, Steve (IND)"	10	3	30.00		7	70.00		10	
		"COCHRAN, Peter (IND)"	226	72	31.86		154	68.14		226	
		"BRIDGES, Barry (HAN)"	120	52	43.33		68	56.67		120	
		Total	802	1318	45.73		1564	54.27		2882	

	POSTAL										
			1st Prefs	1110	38.81		1750	61.19		2860	
		"CHAPMAN, Linda (DEM)"	99	74	74.75		25	25.25		99	
		"PHILLIPS, Frank (CTA)"	33	15	45.45		18	54.55		33	
		"BEAUMONT, Rosemary (GRN)"	127	107	84.25		20	15.75		127	
		"SWIFT, Matthew (IND)"	11	6	54.55		5	45.45		11	
		"VLUG, Peter (NCP)"	8	4	50.00		4	50.00		8	
		"URQUHART, Steve (IND)"	10	3	30.00		7	70.00		10	
		"COCHRAN, Peter (IND)"	298	78	26.17		220	73.83		298	
		"BRIDGES, Barry (HAN)"	133	66	49.62		67	50.38		133	
		Total	719	1463	40.88		2116	59.12		3579	

	PRE_POLL										
			1st Prefs	2487	46.36		2877	53.64		5364	
		"CHAPMAN, Linda (DEM)"	276	203	73.55		73	26.45		276	
		"PHILLIPS, Frank (CTA)"	95	40	42.11		55	57.89		95	
		"BEAUMONT, Rosemary (GRN)"	330	284	86.06		46	13.94		330	
		"SWIFT, Matthew (IND)"	21	13	61.90		8	38.10		21	
		"VLUG, Peter (NCP)"	14	6	42.86		8	57.14		14	
		"URQUHART, Steve (IND)"	22	14	63.64		8	36.36		22	
		"COCHRAN, Peter (IND)"	537	159	29.61		378	70.39		537	
		"BRIDGES, Barry (HAN)"	239	99	41.42		140	58.58		239	
		Total	1534	3305	47.91		3593	52.09		6898	

	PROVISIONAL										
			1st Prefs	189	58.88		132	41.12		321	
		"CHAPMAN, Linda (DEM)"	13	10	76.92		3	23.08		13	
		"PHILLIPS, Frank (CTA)"	11	3	27.27		8	72.73		11	
		"BEAUMONT, Rosemary (GRN)"	21	17	80.95		4	19.05		21	
		"SWIFT, Matthew (IND)"	4	3	75.00		1	25.00		4	
		"VLUG, Peter (NCP)"	3	3	100.00		0	0.00		3	
		"URQUHART, Steve (IND)"	2	2	100.00		0	0.00		2	
		"COCHRAN, Peter (IND)"	33	11	33.33		22	66.67		33	
		"BRIDGES, Barry (HAN)"	19	9	47.37		10	52.63		19	
		Total	106	247	57.85		180	42.15		427	
											
	Division Summary										
			1st Prefs	28842	47.21		32247	52.79		61089	
		"CHAPMAN, Linda (DEM)"	2584	2000	77.40		584	22.60		2584	
		"PHILLIPS, Frank (CTA)"	1032	352	34.11		680	65.89		1032	
		"BEAUMONT, Rosemary (GRN)"	3911	3445	88.08		466	11.92		3911	
		"SWIFT, Matthew (IND)"	211	118	55.92		93	44.08		211	
		"VLUG, Peter (NCP)"	94	53	56.38		41	43.62		94	
		"URQUHART, Steve (IND)"	319	200	62.70		119	37.30		319	
		"COCHRAN, Peter (IND)"	6436	1770	27.50		4666	72.50		6436	
		"BRIDGES, Barry (HAN)"	2821	1138	40.34		1683	59.66		2821	
		Total	17408	37918	48.31		40579	51.69		78497	
											
