House of Representatives - 2001 Election: New South Wales																				
Distribution of Preferences																				
By Polling Place																				
																				
Hume																				
				SCHULTZ			WATCHIRS			ROXBURGH			PRELL			MERRIMAN				
	THIRD			49	24.26						Excluded		24	11.88		129	63.86		202	
		TOTAL		1181	56.02								176	8.35		751	35.63		2108	
	FOURTH			60	34.09									Excluded		116	65.91		176	
		TOTAL		1241	58.87											867	41.13		2108	
				Elected																
																				
Reids Flat                                                     																				
	FIRST			40	49.38		2	2.47		1	1.23		11	13.58		27	33.33		81	
	SECOND			1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		41	50.62					2	2.47		11	13.58		27	33.33		81	
	THIRD			1	50.00						Excluded		1	50.00		0	0.00		2	
		TOTAL		42	51.85								12	14.81		27	33.33		81	
	FOURTH			4	33.33									Excluded		8	66.67		12	
		TOTAL		46	56.79											35	43.21		81	
				Elected																
																				
Rugby                                                          																				
	FIRST			38	67.86		0	0.00		1	1.79		3	5.36		14	25.00		56	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		38	67.86					1	1.79		3	5.36		14	25.00		56	
	THIRD			0	0.00						Excluded		0	0.00		1	100.00		1	
		TOTAL		38	67.86								3	5.36		15	26.79		56	
	FOURTH			2	66.67									Excluded		1	33.33		3	
		TOTAL		40	71.43											16	28.57		56	
				Elected																
																				
Rye Park                                                       																				
	FIRST			93	65.03		2	1.40		6	4.20		22	15.38		20	13.99		143	
	SECOND			1	50.00			Excluded		0	0.00		0	0.00		1	50.00		2	
		TOTAL		94	65.73					6	4.20		22	15.38		21	14.69		143	
	THIRD			0	0.00						Excluded		1	16.67		5	83.33		6	
		TOTAL		94	65.73								23	16.08		26	18.18		143	
	FOURTH			14	60.87									Excluded		9	39.13		23	
		TOTAL		108	75.52											35	24.48		143	
				Elected																
																				
Silverdale                                                     																				
	FIRST			327	65.93		11	2.22		10	2.02		43	8.67		105	21.17		496	
	SECOND			1	9.09			Excluded		2	18.18		2	18.18		6	54.55		11	
		TOTAL		328	66.13					12	2.42		45	9.07		111	22.38		496	
	THIRD			5	41.67						Excluded		2	16.67		5	41.67		12	
		TOTAL		333	67.14								47	9.48		116	23.39		496	
	FOURTH			12	25.53									Excluded		35	74.47		47	
		TOTAL		345	69.56											151	30.44		496	
				Elected																
																				
Sutton (Hume)                                                  																				
	FIRST			56	44.09		17	13.39		9	7.09		9	7.09		36	28.35		127	
	SECOND			1	5.88			Excluded		12	70.59		0	0.00		4	23.53		17	
		TOTAL		57	44.88					21	16.54		9	7.09		40	31.50		127	
	THIRD			2	9.52						Excluded		3	14.29		16	76.19		21	
		TOTAL		59	46.46								12	9.45		56	44.09		127	
	FOURTH			5	41.67									Excluded		7	58.33		12	
		TOTAL		64	50.39											63	49.61		127	
				Elected																
																				
Sydney (Hume)                                                  																				
	FIRST			37	58.73		4	6.35		5	7.94		0	0.00		17	26.98		63	
	SECOND			1	25.00			Excluded		1	25.00		0	0.00		2	50.00		4	
		TOTAL		38	60.32					6	9.52		0	0.00		19	30.16		63	
	THIRD			2	33.33						Excluded		0	0.00		4	66.67		6	
		TOTAL		40	63.49								0	0.00		23	36.51		63	
	FOURTH			0	0.00									Excluded		0	0.00		0	
		TOTAL		40	63.49											23	36.51		63	
				Elected																
																				
Tahmoor                                                        																				
	FIRST			1238	47.18		143	5.45		108	4.12		245	9.34		890	33.92		2624	
	SECOND			20	13.99			Excluded		80	55.94		18	12.59		25	17.48		143	
		TOTAL		1258	47.94					188	7.16		263	10.02		915	34.87		2624	
	THIRD			48	25.53						Excluded		16	8.51		124	65.96		188	
		TOTAL		1306	49.77								279	10.63		1039	39.60		2624	
	FOURTH			104	37.28									Excluded		175	62.72		279	
		TOTAL		1410	53.73											1214	46.27		2624	
				Elected																
																				
Tallong                                                        																				
	FIRST			88	42.72		9	4.37		13	6.31		25	12.14		71	34.47		206	
	SECOND			2	22.22			Excluded		5	55.56		0	0.00		2	22.22		9	
		TOTAL		90	43.69					18	8.74		25	12.14		73	35.44		206	
	THIRD			5	27.78						Excluded		3	16.67		10	55.56		18	
		TOTAL		95	46.12								28	13.59		83	40.29		206	
	FOURTH			16	57.14									Excluded		12	42.86		28	
		TOTAL		111	53.88											95	46.12		206	
				Elected																
																				
Tarago                                                         																				
	FIRST			162	55.86		9	3.10		22	7.59		34	11.72		63	21.72		290	
	SECOND			2	22.22			Excluded		4	44.44		2	22.22		1	11.11		9	
		TOTAL		164	56.55					26	8.97		36	12.41		64	22.07		290	
	THIRD			8	30.77						Excluded		2	7.69		16	61.54		26	
		TOTAL		172	59.31								38	13.10		80	27.59		290	
	FOURTH			16	42.11									Excluded		22	57.89		38	
		TOTAL		188	64.83											102	35.17		290	
				Elected																
																				
Taralga                                                        																				
	FIRST			280	66.99		11	2.63		6	1.44		57	13.64		64	15.31		418	
	SECOND			1	9.09			Excluded		6	54.55		1	9.09		3	27.27		11	
		TOTAL		281	67.22					12	2.87		58	13.88		67	16.03		418	
	THIRD			6	50.00						Excluded		0	0.00		6	50.00		12	
		TOTAL		287	68.66								58	13.88		73	17.46		418	
	FOURTH			29	50.00									Excluded		29	50.00		58	
		TOTAL		316	75.60											102	24.40		418	
				Elected																
																				
The Oaks                                                       																				
	FIRST			889	56.23		77	4.87		67	4.24		160	10.12		388	24.54		1581	
	SECOND			19	24.68			Excluded		31	40.26		12	15.58		15	19.48		77	
		TOTAL		908	57.43					98	6.20		172	10.88		403	25.49		1581	
	THIRD			35	35.71						Excluded		15	15.31		48	48.98		98	
		TOTAL		943	59.65								187	11.83		451	28.53		1581	
	FOURTH			69	36.90									Excluded		118	63.10		187	
		TOTAL		1012	64.01											569	35.99		1581	
				Elected																
																				
Thirlmere                                                      																				
	FIRST			936	46.71		111	5.54		105	5.24		193	9.63		659	32.88		2004	
	SECOND			22	19.82			Excluded		53	47.75		6	5.41		30	27.03		111	
		TOTAL		958	47.80					158	7.88		199	9.93		689	34.38		2004	
	THIRD			36	22.78						Excluded		23	14.56		99	62.66		158	
		TOTAL		994	49.60								222	11.08		788	39.32		2004	
	FOURTH			73	32.88									Excluded		149	67.12		222	
		TOTAL		1067	53.24											937	46.76		2004	
				Elected																
																				
Tuena                                                          																				
	FIRST			42	51.22		3	3.66		6	7.32		17	20.73		14	17.07		82	
	SECOND			0	0.00			Excluded		1	33.33		0	0.00		2	66.67		3	
		TOTAL		42	51.22					7	8.54		17	20.73		16	19.51		82	
	THIRD			2	28.57						Excluded		0	0.00		5	71.43		7	
		TOTAL		44	53.66								17	20.73		21	25.61		82	
	FOURTH			6	35.29									Excluded		11	64.71		17	
		TOTAL		50	60.98											32	39.02		82	
				Elected																
																				
Warragamba                                                     																				
	FIRST			930	50.57		76	4.13		80	4.35		179	9.73		574	31.21		1839	
	SECOND			15	19.74			Excluded		44	57.89		8	10.53		9	11.84		76	
		TOTAL		945	51.39					124	6.74		187	10.17		583	31.70		1839	
	THIRD			40	32.26						Excluded		27	21.77		57	45.97		124	
		TOTAL		985	53.56								214	11.64		640	34.80		1839	
	FOURTH			83	38.79									Excluded		131	61.21		214	
		TOTAL		1068	58.08											771	41.92		1839	
				Elected																
																				
Wee Jasper                                                     																				
	FIRST			43	58.11		4	5.41		5	6.76		3	4.05		19	25.68		74	
	SECOND			1	25.00			Excluded		2	50.00		1	25.00		0	0.00		4	
		TOTAL		44	59.46					7	9.46		4	5.41		19	25.68		74	
	THIRD			3	42.86						Excluded		1	14.29		3	42.86		7	
		TOTAL		47	63.51								5	6.76		22	29.73		74	
	FOURTH			2	40.00									Excluded		3	60.00		5	
		TOTAL		49	66.22											25	33.78		74	
				Elected																
																				
Welby                                                          																				
	FIRST			293	45.50		51	7.92		36	5.59		51	7.92		213	33.07		644	
	SECOND			11	21.57			Excluded		31	60.78		4	7.84		5	9.80		51	
		TOTAL		304	47.20					67	10.40		55	8.54		218	33.85		644	
	THIRD			21	31.34						Excluded		13	19.40		33	49.25		67	
		TOTAL		325	50.47								68	10.56		251	38.98		644	
	FOURTH			25	36.76									Excluded		43	63.24		68	
		TOTAL		350	54.35											294	45.65		644	
				Elected																
																				
Wilton                                                         																				
	FIRST			363	52.08		26	3.73		34	4.88		64	9.18		210	30.13		697	
	SECOND			6	23.08			Excluded		14	53.85		2	7.69		4	15.38		26	
		TOTAL		369	52.94					48	6.89		66	9.47		214	30.70		697	
	THIRD			14	29.17						Excluded		13	27.08		21	43.75		48	
		TOTAL		383	54.95								79	11.33		235	33.72		697	
	FOURTH			42	53.16									Excluded		37	46.84		79	
		TOTAL		425	60.98											272	39.02		697	
				Elected																
																				
Wombat                                                         																				
	FIRST			134	61.47		3	1.38		8	3.67		18	8.26		55	25.23		218	
	SECOND			1	33.33			Excluded		0	0.00		1	33.33		1	33.33		3	
		TOTAL		135	61.93					8	3.67		19	8.72		56	25.69		218	
	THIRD			3	37.50						Excluded		1	12.50		4	50.00		8	
		TOTAL		138	63.30								20	9.17		60	27.52		218	
	FOURTH			5	25.00									Excluded		15	75.00		20	
		TOTAL		143	65.60											75	34.40		218	
				Elected																
																				
Yanderra                                                       																				
	FIRST			131	42.39		16	5.18		17	5.50		17	5.50		128	41.42		309	
	SECOND			1	6.25			Excluded		6	37.50		1	6.25		8	50.00		16	
		TOTAL		132	42.72					23	7.44		18	5.83		136	44.01		309	
	THIRD			5	21.74						Excluded		5	21.74		13	56.52		23	
		TOTAL		137	44.34								23	7.44		149	48.22		309	
	FOURTH			14	60.87									Excluded		9	39.13		23	
		TOTAL		151	48.87											158	51.13		309	
				Elected																
																				
Yass                                                           																				
	FIRST			1314	53.99		82	3.37		91	3.74		160	6.57		787	32.33		2434	
	SECOND			12	14.63			Excluded		45	54.88		5	6.10		20	24.39		82	
		TOTAL		1326	54.48					136	5.59		165	6.78		807	33.16		2434	
	THIRD			35	25.74						Excluded		5	3.68		96	70.59		136	
		TOTAL		1361	55.92								170	6.98		903	37.10		2434	
	FOURTH			69	40.59									Excluded		101	59.41		170	
		TOTAL		1430	58.75											1004	41.25		2434	
				Elected																
																				
Yass North                                                     																				
	FIRST			503	49.07		32	3.12		43	4.20		90	8.78		357	34.83		1025	
	SECOND			8	25.00			Excluded		15	46.88		1	3.13		8	25.00		32	
		TOTAL		511	49.85					58	5.66		91	8.88		365	35.61		1025	
	THIRD			17	29.31						Excluded		7	12.07		34	58.62		58	
		TOTAL		528	51.51								98	9.56		399	38.93		1025	
	FOURTH			47	47.96									Excluded		51	52.04		98	
		TOTAL		575	56.10											450	43.90		1025	
				Elected																
																				
Yerrinbool                                                     																				
	FIRST			224	44.18		21	4.14		33	6.51		43	8.48		186	36.69		507	
	SECOND			4	19.05			Excluded		13	61.90		2	9.52		2	9.52		21	
		TOTAL		228	44.97					46	9.07		45	8.88		188	37.08		507	
	THIRD			8	17.39						Excluded		11	23.91		27	58.70		46	
		TOTAL		236	46.55								56	11.05		215	42.41		507	
	FOURTH			28	50.00									Excluded		28	50.00		56	
		TOTAL		264	52.07											243	47.93		507	
				Elected																
																				
Young                                                          																				
	FIRST			1616	61.42		66	2.51		46	1.75		154	5.85		749	28.47		2631	
	SECOND			16	24.24			Excluded		34	51.52		2	3.03		14	21.21		66	
		TOTAL		1632	62.03					80	3.04		156	5.93		763	29.00		2631	
	THIRD			27	33.75						Excluded		8	10.00		45	56.25		80	
		TOTAL		1659	63.06								164	6.23		808	30.71		2631	
	FOURTH			63	38.41									Excluded		101	61.59		164	
		TOTAL		1722	65.45											909	34.55		2631	
				Elected																
																				
Young North                                                    																				
	FIRST			1066	59.62		39	2.18		26	1.45		114	6.38		543	30.37		1788	
	SECOND			8	20.51			Excluded		19	48.72		3	7.69		9	23.08		39	
		TOTAL		1074	60.07					45	2.52		117	6.54		552	30.87		1788	
	THIRD			19	42.22						Excluded		4	8.89		22	48.89		45	
		TOTAL		1093	61.13								121	6.77		574	32.10		1788	
	FOURTH			56	46.28									Excluded		65	53.72		121	
		TOTAL		1149	64.26											639	35.74		1788	
				Elected																
																				
Young South                                                    																				
	FIRST			646	58.73		18	1.64		30	2.73		81	7.36		325	29.55		1100	
	SECOND			2	11.11			Excluded		9	50.00		0	0.00		7	38.89		18	
		TOTAL		648	58.91					39	3.55		81	7.36		332	30.18		1100	
	THIRD			12	30.77						Excluded		4	10.26		23	58.97		39	
		TOTAL		660	60.00								85	7.73		355	32.27		1100	
	FOURTH			51	60.00									Excluded		34	40.00		85	
		TOTAL		711	64.64											389	35.36		1100	
				Elected																
																				
Special Hospital Team 1                                        																				
	FIRST			227	77.74		1	0.34		6	2.05		2	0.68		56	19.18		292	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL		227	77.74					6	2.05		2	0.68		57	19.52		292	
	THIRD			2	33.33						Excluded		1	16.67		3	50.00		6	
		TOTAL		229	78.42								3	1.03		60	20.55		292	
	FOURTH			1	33.33									Excluded		2	66.67		3	
		TOTAL		230	78.77											62	21.23		292	
				Elected																
																				
Special Hospital Team 2                                        																				
	FIRST			52	46.43		2	1.79		0	0.00		2	1.79		56	50.00		112	
	SECOND			0	0.00			Excluded		0	0.00		1	50.00		1	50.00		2	
		TOTAL		52	46.43					0	0.00		3	2.68		57	50.89		112	
	THIRD			0	0.00						Excluded		0	0.00		0	0.00		0	
		TOTAL		52	46.43								3	2.68		57	50.89		112	
	FOURTH			2	66.67									Excluded		1	33.33		3	
		TOTAL		54	48.21											58	51.79		112	
				Elected																
																				
Special Hospital Team 3                                        																				
	FIRST			36	53.73		1	1.49		1	1.49		2	2.99		27	40.30		67	
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		37	55.22					1	1.49		2	2.99		27	40.30		67	
	THIRD			0	0.00						Excluded		0	0.00		1	100.00		1	
		TOTAL		37	55.22								2	2.99		28	41.79		67	
	FOURTH			1	50.00									Excluded		1	50.00		2	
		TOTAL		38	56.72											29	43.28		67	
				Elected																
																				
Special Hospital Team 4                                        																				
	FIRST			78	48.75		1	0.63		2	1.25		11	6.88		68	42.50		160	
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		79	49.38					2	1.25		11	6.88		68	42.50		160	
	THIRD			1	50.00						Excluded		1	50.00		0	0.00		2	
		TOTAL		80	50.00								12	7.50		68	42.50		160	
	FOURTH			5	41.67									Excluded		7	58.33		12	
		TOTAL		85	53.13											75	46.88		160	
				Elected																
																				
ABSENT																				
	FIRST			2949	53.58		426	7.74		355	6.45		393	7.14		1381	25.09		5504	
	SECOND			77	18.08			Excluded		211	49.53		37	8.69		101	23.71		426	
		TOTAL		3026	54.98					566	10.28		430	7.81		1482	26.93		5504	
	THIRD			162	28.62						Excluded		58	10.25		346	61.13		566	
		TOTAL		3188	57.92								488	8.87		1828	33.21		5504	
	FOURTH			270	55.33									Excluded		218	44.67		488	
		TOTAL		3458	62.83											2046	37.17		5504	
				Elected																
																				
POSTAL																				
	FIRST			1911	62.90		74	2.44		106	3.49		228	7.50		719	23.67		3038	
	SECOND			10	13.51			Excluded		35	47.30		8	10.81		21	28.38		74	
		TOTAL		1921	63.23					141	4.64		236	7.77		740	24.36		3038	
	THIRD			53	37.59						Excluded		15	10.64		73	51.77		141	
		TOTAL		1974	64.98								251	8.26		813	26.76		3038	
	FOURTH			126	50.20									Excluded		125	49.80		251	
		TOTAL		2100	69.12											938	30.88		3038	
				Elected																
																				
PRE POLL																				
	FIRST			2286	53.08		189	4.39		266	6.18		372	8.64		1194	27.72		4307	
	SECOND			35	18.52			Excluded		86	45.50		11	5.82		57	30.16		189	
		TOTAL		2321	53.89					352	8.17		383	8.89		1251	29.05		4307	
	THIRD			114	32.39						Excluded		58	16.48		180	51.14		352	
		TOTAL		2435	56.54								441	10.24		1431	33.22		4307	
	FOURTH			188	42.63									Excluded		253	57.37		441	
		TOTAL		2623	60.90											1684	39.10		4307	
				Elected																
																				
PROVISIONAL																				
	FIRST			179	43.98		19	4.67		24	5.90		31	7.62		154	37.84		407	
	SECOND			7	36.84			Excluded		8	42.11		2	10.53		2	10.53		19	
		TOTAL		186	45.70					32	7.86		33	8.11		156	38.33		407	
	THIRD			11	34.38						Excluded		6	18.75		15	46.88		32	
		TOTAL		197	48.40								39	9.58		171	42.01		407	
	FOURTH			20	51.28									Excluded		19	48.72		39	
		TOTAL		217	53.32											190	46.68		407	
				Elected																
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
