House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences																															
By Polling Place																															
																															
Cook																															
				FREW			POULOS			STRANG			PETERS-POWER			BAIRD			BAILEY			YOUNG			SMITH			JAMES			
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		2	66.67		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		17	6.91		0	0.00					28	11.38		99	40.24		16	6.50		84	34.15		1	0.41		1	0.41		246
	THIRD			0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		17	6.91								28	11.38		99	40.24		16	6.50		84	34.15		1	0.41		1	0.41		246
	FOURTH			1	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		18	7.32								28	11.38		99	40.24		16	6.50		84	34.15		1	0.41					246
	FIFTH			0	0.00								0	0.00		0	0.00		0	0.00		1	100.00			Excluded					1
		TOTAL		18	7.32								28	11.38		99	40.24		16	6.50		85	34.55								246
	SIXTH			0	0.00								6	37.50		5	31.25			Excluded		5	31.25								16
		TOTAL		18	7.32								34	13.82		104	42.28					90	36.59								246
	SEVENTH			1	2.94									Excluded		8	23.53					25	73.53								34
		TOTAL		19	7.72											112	45.53					115	46.75								246
	EIGHTH				Excluded											14	73.68					5	26.32								19
		TOTAL														126	51.22					120	48.78								246
																Elected															
																															
Miranda                                                        																															
	FIRST			123	5.04		16	0.66		9	0.37		85	3.48		1223	50.12		101	4.14		821	33.65		28	1.15		34	1.39		2440
	SECOND			1	11.11		0	0.00			Excluded		4	44.44		1	11.11		2	22.22		1	11.11		0	0.00		0	0.00		9
		TOTAL		124	5.08		16	0.66					89	3.65		1224	50.16		103	4.22		822	33.69		28	1.15		34	1.39		2440
	THIRD			3	18.75			Excluded					4	25.00		4	25.00		0	0.00		1	6.25		3	18.75		1	6.25		16
		TOTAL		127	5.20								93	3.81		1228	50.33		103	4.22		823	33.73		31	1.27		35	1.43		2440
	FOURTH			6	17.14								5	14.29		10	28.57		3	8.57		9	25.71		2	5.71			Excluded		35
		TOTAL		133	5.45								98	4.02		1238	50.74		106	4.34		832	34.10		33	1.35					2440
	FIFTH			4	12.12								4	12.12		17	51.52		4	12.12		4	12.12			Excluded					33
		TOTAL		137	5.61								102	4.18		1255	51.43		110	4.51		836	34.26								2440
	SIXTH			3	2.73								51	46.36		17	15.45			Excluded		39	35.45								110
		TOTAL		140	5.74								153	6.27		1272	52.13					875	35.86								2440
	SEVENTH			17	11.11									Excluded		44	28.76					92	60.13								153
		TOTAL		157	6.43											1316	53.93					967	39.63								2440
	EIGHTH				Excluded											70	44.59					87	55.41								157
		TOTAL														1386	56.80					1054	43.20								2440
																Elected															
																															
Miranda Central                                                																															
	FIRST			107	7.77		5	0.36		10	0.73		44	3.20		630	45.75		48	3.49		494	35.88		28	2.03		11	0.80		1377
	SECOND			0	0.00		2	20.00			Excluded		4	40.00		1	10.00		2	20.00		0	0.00		0	0.00		1	10.00		10
		TOTAL		107	7.77		7	0.51					48	3.49		631	45.82		50	3.63		494	35.88		28	2.03		12	0.87		1377
	THIRD			4	57.14			Excluded					2	28.57		0	0.00		1	14.29		0	0.00		0	0.00		0	0.00		7
		TOTAL		111	8.06								50	3.63		631	45.82		51	3.70		494	35.88		28	2.03		12	0.87		1377
	FOURTH			3	25.00								0	0.00		6	50.00		1	8.33		2	16.67		0	0.00			Excluded		12
		TOTAL		114	8.28								50	3.63		637	46.26		52	3.78		496	36.02		28	2.03					1377
	FIFTH			2	7.14								6	21.43		15	53.57		2	7.14		3	10.71			Excluded					28
		TOTAL		116	8.42								56	4.07		652	47.35		54	3.92		499	36.24								1377
	SIXTH			4	7.41								20	37.04		12	22.22			Excluded		18	33.33								54
		TOTAL		120	8.71								76	5.52		664	48.22					517	37.55								1377
	SEVENTH			10	13.16									Excluded		16	21.05					50	65.79								76
		TOTAL		130	9.44											680	49.38					567	41.18								1377
	EIGHTH				Excluded											58	44.62					72	55.38								130
		TOTAL														738	53.59					639	46.41								1377
																Elected															
																															
Miranda North                                                  																															
	FIRST			146	7.45		13	0.66		6	0.31		53	2.70		1078	55.00		52	2.65		564	28.78		25	1.28		23	1.17		1960
	SECOND			2	33.33		0	0.00			Excluded		3	50.00		0	0.00		1	16.67		0	0.00		0	0.00		0	0.00		6
		TOTAL		148	7.55		13	0.66					56	2.86		1078	55.00		53	2.70		564	28.78		25	1.28		23	1.17		1960
	THIRD			5	38.46			Excluded					2	15.38		4	30.77		0	0.00		1	7.69		0	0.00		1	7.69		13
		TOTAL		153	7.81								58	2.96		1082	55.20		53	2.70		565	28.83		25	1.28		24	1.22		1960
	FOURTH			13	54.17								0	0.00		5	20.83		3	12.50		2	8.33		1	4.17			Excluded		24
		TOTAL		166	8.47								58	2.96		1087	55.46		56	2.86		567	28.93		26	1.33					1960
	FIFTH			5	19.23								3	11.54		14	53.85		3	11.54		1	3.85			Excluded					26
		TOTAL		171	8.72								61	3.11		1101	56.17		59	3.01		568	28.98								1960
	SIXTH			5	8.47								22	37.29		18	30.51			Excluded		14	23.73								59
		TOTAL		176	8.98								83	4.23		1119	57.09					582	29.69								1960
	SEVENTH			11	13.25									Excluded		25	30.12					47	56.63								83
		TOTAL		187	9.54											1144	58.37					629	32.09								1960
	EIGHTH				Excluded											92	49.20					95	50.80								187
		TOTAL														1236	63.06					724	36.94								1960
																Elected															
																															
Sutherland Hospital                                            																															
	FIRST			59	7.88		7	0.93		5	0.67		23	3.07		379	50.60		17	2.27		235	31.38		20	2.67		4	0.53		749
	SECOND			0	0.00		2	40.00			Excluded		2	40.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		59	7.88		9	1.20					25	3.34		380	50.73		17	2.27		235	31.38		20	2.67		4	0.53		749
	THIRD			3	33.33			Excluded					0	0.00		3	33.33		1	11.11		1	11.11		1	11.11		0	0.00		9
		TOTAL		62	8.28								25	3.34		383	51.13		18	2.40		236	31.51		21	2.80		4	0.53		749
	FOURTH			0	0.00								1	25.00		1	25.00		0	0.00		0	0.00		2	50.00			Excluded		4
		TOTAL		62	8.28								26	3.47		384	51.27		18	2.40		236	31.51		23	3.07					749
	FIFTH			2	8.70								2	8.70		19	82.61		0	0.00		0	0.00			Excluded					23
		TOTAL		64	8.54								28	3.74		403	53.81		18	2.40		236	31.51								749
	SIXTH			1	5.56								6	33.33		2	11.11			Excluded		9	50.00								18
		TOTAL		65	8.68								34	4.54		405	54.07					245	32.71								749
	SEVENTH			8	23.53									Excluded		10	29.41					16	47.06								34
		TOTAL		73	9.75											415	55.41					261	34.85								749
	EIGHTH				Excluded											40	54.79					33	45.21								73
		TOTAL														455	60.75					294	39.25								749
																Elected															
																															
Sutherland North (Cook)                                        																															
	FIRST			76	5.19		8	0.55		12	0.82		52	3.55		776	53.04		47	3.21		447	30.55		20	1.37		25	1.71		1463
	SECOND			1	8.33		2	16.67			Excluded		3	25.00		1	8.33		1	8.33		1	8.33		1	8.33		2	16.67		12
		TOTAL		77	5.26		10	0.68					55	3.76		777	53.11		48	3.28		448	30.62		21	1.44		27	1.85		1463
	THIRD			3	30.00			Excluded					2	20.00		2	20.00		0	0.00		1	10.00		0	0.00		2	20.00		10
		TOTAL		80	5.47								57	3.90		779	53.25		48	3.28		449	30.69		21	1.44		29	1.98		1463
	FOURTH			10	34.48								8	27.59		4	13.79		4	13.79		2	6.90		1	3.45			Excluded		29
		TOTAL		90	6.15								65	4.44		783	53.52		52	3.55		451	30.83		22	1.50					1463
	FIFTH			1	4.55								2	9.09		13	59.09		3	13.64		3	13.64			Excluded					22
		TOTAL		91	6.22								67	4.58		796	54.41		55	3.76		454	31.03								1463
	SIXTH			4	7.27								23	41.82		12	21.82			Excluded		16	29.09								55
		TOTAL		95	6.49								90	6.15		808	55.23					470	32.13								1463
	SEVENTH			11	12.22									Excluded		24	26.67					55	61.11								90
		TOTAL		106	7.25											832	56.87					525	35.89								1463
	EIGHTH				Excluded											42	39.62					64	60.38								106
		TOTAL														874	59.74					589	40.26								1463
																Elected															
																															
Sydney (Cook)                                                  																															
	FIRST			3	3.33		1	1.11		1	1.11		6	6.67		50	55.56		3	3.33		25	27.78		1	1.11		0	0.00		90
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		3	3.33		2	2.22					6	6.67		50	55.56		3	3.33		25	27.78		1	1.11		0	0.00		90
	THIRD			1	50.00			Excluded					1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		4	4.44								7	7.78		50	55.56		3	3.33		25	27.78		1	1.11		0	0.00		90
	FOURTH			0	0.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		4	4.44								7	7.78		50	55.56		3	3.33		25	27.78		1	1.11					90
	FIFTH			1	100.00								0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1
		TOTAL		5	5.56								7	7.78		50	55.56		3	3.33		25	27.78								90
	SIXTH			0	0.00								1	33.33		0	0.00			Excluded		2	66.67								3
		TOTAL		5	5.56								8	8.89		50	55.56					27	30.00								90
	SEVENTH			0	0.00									Excluded		3	37.50					5	62.50								8
		TOTAL		5	5.56											53	58.89					32	35.56								90
	EIGHTH				Excluded											5	100.00					0	0.00								5
		TOTAL														58	64.44					32	35.56								90
																Elected															
																															
Sylvania                                                       																															
	FIRST			88	6.16		11	0.77		6	0.42		32	2.24		870	60.92		62	4.34		320	22.41		27	1.89		12	0.84		1428
	SECOND			2	33.33		2	33.33			Excluded		1	16.67		0	0.00		1	16.67		0	0.00		0	0.00		0	0.00		6
		TOTAL		90	6.30		13	0.91					33	2.31		870	60.92		63	4.41		320	22.41		27	1.89		12	0.84		1428
	THIRD			3	23.08			Excluded					2	15.38		3	23.08		1	7.69		3	23.08		0	0.00		1	7.69		13
		TOTAL		93	6.51								35	2.45		873	61.13		64	4.48		323	22.62		27	1.89		13	0.91		1428
	FOURTH			5	38.46								2	15.38		0	0.00		1	7.69		5	38.46		0	0.00			Excluded		13
		TOTAL		98	6.86								37	2.59		873	61.13		65	4.55		328	22.97		27	1.89					1428
	FIFTH			0	0.00								0	0.00		20	74.07		1	3.70		6	22.22			Excluded					27
		TOTAL		98	6.86								37	2.59		893	62.54		66	4.62		334	23.39								1428
	SIXTH			1	1.52								26	39.39		13	19.70			Excluded		26	39.39								66
		TOTAL		99	6.93								63	4.41		906	63.45					360	25.21								1428
	SEVENTH			8	12.70									Excluded		14	22.22					41	65.08								63
		TOTAL		107	7.49											920	64.43					401	28.08								1428
	EIGHTH				Excluded											58	54.21					49	45.79								107
		TOTAL														978	68.49					450	31.51								1428
																Elected															
																															
Sylvania Central                                               																															
	FIRST			45	6.32		13	1.83		0	0.00		16	2.25		420	58.99		21	2.95		183	25.70		10	1.40		4	0.56		712
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		45	6.32		13	1.83					16	2.25		420	58.99		21	2.95		183	25.70		10	1.40		4	0.56		712
	THIRD			3	23.08			Excluded					2	15.38		2	15.38		0	0.00		3	23.08		1	7.69		2	15.38		13
		TOTAL		48	6.74								18	2.53		422	59.27		21	2.95		186	26.12		11	1.54		6	0.84		712
	FOURTH			0	0.00								1	16.67		2	33.33		0	0.00		2	33.33		1	16.67			Excluded		6
		TOTAL		48	6.74								19	2.67		424	59.55		21	2.95		188	26.40		12	1.69					712
	FIFTH			2	16.67								1	8.33		5	41.67		0	0.00		4	33.33			Excluded					12
		TOTAL		50	7.02								20	2.81		429	60.25		21	2.95		192	26.97								712
	SIXTH			0	0.00								10	47.62		8	38.10			Excluded		3	14.29								21
		TOTAL		50	7.02								30	4.21		437	61.38					195	27.39								712
	SEVENTH			3	10.00									Excluded		10	33.33					17	56.67								30
		TOTAL		53	7.44											447	62.78					212	29.78								712
	EIGHTH				Excluded											26	49.06					27	50.94								53
		TOTAL														473	66.43					239	33.57								712
																Elected															
																															
Sylvania Heights                                               																															
	FIRST			195	5.59		41	1.17		17	0.49		95	2.72		2029	58.14		137	3.93		884	25.33		63	1.81		29	0.83		3490
	SECOND			1	5.88		1	5.88			Excluded		4	23.53		4	23.53		3	17.65		3	17.65		1	5.88		0	0.00		17
		TOTAL		196	5.62		42	1.20					99	2.84		2033	58.25		140	4.01		887	25.42		64	1.83		29	0.83		3490
	THIRD			14	33.33			Excluded					5	11.90		5	11.90		5	11.90		4	9.52		6	14.29		3	7.14		42
		TOTAL		210	6.02								104	2.98		2038	58.40		145	4.15		891	25.53		70	2.01		32	0.92		3490
	FOURTH			11	34.38								2	6.25		1	3.13		1	3.13		5	15.63		12	37.50			Excluded		32
		TOTAL		221	6.33								106	3.04		2039	58.42		146	4.18		896	25.67		82	2.35					3490
	FIFTH			4	4.88								7	8.54		51	62.20		4	4.88		16	19.51			Excluded					82
		TOTAL		225	6.45								113	3.24		2090	59.89		150	4.30		912	26.13								3490
	SIXTH			8	5.33								71	47.33		31	20.67			Excluded		40	26.67								150
		TOTAL		233	6.68								184	5.27		2121	60.77					952	27.28								3490
	SEVENTH			17	9.24									Excluded		57	30.98					110	59.78								184
		TOTAL		250	7.16											2178	62.41					1062	30.43								3490
	EIGHTH				Excluded											122	48.80					128	51.20								250
		TOTAL														2300	65.90					1190	34.10								3490
																Elected															
																															
Sylvania South                                                 																															
	FIRST			87	6.32		12	0.87		7	0.51		20	1.45		885	64.27		27	1.96		303	22.00		28	2.03		8	0.58		1377
	SECOND			2	28.57		1	14.29			Excluded		0	0.00		0	0.00		2	28.57		1	14.29		0	0.00		1	14.29		7
		TOTAL		89	6.46		13	0.94					20	1.45		885	64.27		29	2.11		304	22.08		28	2.03		9	0.65		1377
	THIRD			4	30.77			Excluded					0	0.00		4	30.77		0	0.00		1	7.69		3	23.08		1	7.69		13
		TOTAL		93	6.75								20	1.45		889	64.56		29	2.11		305	22.15		31	2.25		10	0.73		1377
	FOURTH			2	20.00								1	10.00		3	30.00		1	10.00		2	20.00		1	10.00			Excluded		10
		TOTAL		95	6.90								21	1.53		892	64.78		30	2.18		307	22.29		32	2.32					1377
	FIFTH			3	9.38								3	9.38		21	65.63		2	6.25		3	9.38			Excluded					32
		TOTAL		98	7.12								24	1.74		913	66.30		32	2.32		310	22.51								1377
	SIXTH			0	0.00								15	46.88		7	21.88			Excluded		10	31.25								32
		TOTAL		98	7.12								39	2.83		920	66.81					320	23.24								1377
	SEVENTH			9	23.08									Excluded		11	28.21					19	48.72								39
		TOTAL		107	7.77											931	67.61					339	24.62								1377
	EIGHTH				Excluded											60	56.07					47	43.93								107
		TOTAL														991	71.97					386	28.03								1377
																Elected															
																															
Sylvania Waters                                                																															
	FIRST			67	5.76		13	1.12		6	0.52		23	1.98		761	65.38		24	2.06		248	21.31		13	1.12		9	0.77		1164
	SECOND			1	16.67		1	16.67			Excluded		1	16.67		2	33.33		0	0.00		0	0.00		0	0.00		1	16.67		6
		TOTAL		68	5.84		14	1.20					24	2.06		763	65.55		24	2.06		248	21.31		13	1.12		10	0.86		1164
	THIRD			2	14.29			Excluded					7	50.00		2	14.29		0	0.00		2	14.29		0	0.00		1	7.14		14
		TOTAL		70	6.01								31	2.66		765	65.72		24	2.06		250	21.48		13	1.12		11	0.95		1164
	FOURTH			6	54.55								0	0.00		2	18.18		1	9.09		0	0.00		2	18.18			Excluded		11
		TOTAL		76	6.53								31	2.66		767	65.89		25	2.15		250	21.48		15	1.29					1164
	FIFTH			0	0.00								0	0.00		6	40.00		2	13.33		7	46.67			Excluded					15
		TOTAL		76	6.53								31	2.66		773	66.41		27	2.32		257	22.08								1164
	SIXTH			2	7.41								12	44.44		5	18.52			Excluded		8	29.63								27
		TOTAL		78	6.70								43	3.69		778	66.84					265	22.77								1164
	SEVENTH			1	2.33									Excluded		25	58.14					17	39.53								43
		TOTAL		79	6.79											803	68.99					282	24.23								1164
	EIGHTH				Excluded											38	48.10					41	51.90								79
		TOTAL														841	72.25					323	27.75								1164
																Elected															
																															
Taren Point                                                    																															
	FIRST			69	7.48		11	1.19		4	0.43		24	2.60		555	60.13		21	2.28		218	23.62		18	1.95		3	0.33		923
	SECOND			0	0.00		1	25.00			Excluded		2	50.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		69	7.48		12	1.30					26	2.82		556	60.24		21	2.28		218	23.62		18	1.95		3	0.33		923
	THIRD			3	25.00			Excluded					2	16.67		4	33.33		0	0.00		2	16.67		1	8.33		0	0.00		12
		TOTAL		72	7.80								28	3.03		560	60.67		21	2.28		220	23.84		19	2.06		3	0.33		923
	FOURTH			2	66.67								0	0.00		1	33.33		0	0.00		0	0.00		0	0.00			Excluded		3
		TOTAL		74	8.02								28	3.03		561	60.78		21	2.28		220	23.84		19	2.06					923
	FIFTH			1	5.26								3	15.79		8	42.11		2	10.53		5	26.32			Excluded					19
		TOTAL		75	8.13								31	3.36		569	61.65		23	2.49		225	24.38								923
	SIXTH			2	8.70								12	52.17		3	13.04			Excluded		6	26.09								23
		TOTAL		77	8.34								43	4.66		572	61.97					231	25.03								923
	SEVENTH			5	11.63									Excluded		13	30.23					25	58.14								43
		TOTAL		82	8.88											585	63.38					256	27.74								923
	EIGHTH				Excluded											44	53.66					38	46.34								82
		TOTAL														629	68.15					294	31.85								923
																Elected															
																															
Wanda Beach                                                    																															
	FIRST			79	7.21		4	0.36		7	0.64		54	4.93		604	55.11		37	3.38		274	25.00		18	1.64		19	1.73		1096
	SECOND			2	28.57		2	28.57			Excluded		2	28.57		0	0.00		0	0.00		1	14.29		0	0.00		0	0.00		7
		TOTAL		81	7.39		6	0.55					56	5.11		604	55.11		37	3.38		275	25.09		18	1.64		19	1.73		1096
	THIRD			2	33.33			Excluded					3	50.00		1	16.67		0	0.00		0	0.00		0	0.00		0	0.00		6
		TOTAL		83	7.57								59	5.38		605	55.20		37	3.38		275	25.09		18	1.64		19	1.73		1096
	FOURTH			6	31.58								2	10.53		7	36.84		0	0.00		4	21.05		0	0.00			Excluded		19
		TOTAL		89	8.12								61	5.57		612	55.84		37	3.38		279	25.46		18	1.64					1096
	FIFTH			0	0.00								2	11.11		14	77.78		1	5.56		1	5.56			Excluded					18
		TOTAL		89	8.12								63	5.75		626	57.12		38	3.47		280	25.55								1096
	SIXTH			0	0.00								22	57.89		6	15.79			Excluded		10	26.32								38
		TOTAL		89	8.12								85	7.76		632	57.66					290	26.46								1096
	SEVENTH			8	9.41									Excluded		22	25.88					55	64.71								85
		TOTAL		97	8.85											654	59.67					345	31.48								1096
	EIGHTH				Excluded											49	50.52					48	49.48								97
		TOTAL														703	64.14					393	35.86								1096
																Elected															
																															
Woolooware                                                     																															
	FIRST			122	6.30		9	0.47		10	0.52		82	4.24		1034	53.44		86	4.44		517	26.72		57	2.95		18	0.93		1935
	SECOND			0	0.00		1	10.00			Excluded		4	40.00		1	10.00		1	10.00		1	10.00		1	10.00		1	10.00		10
		TOTAL		122	6.30		10	0.52					86	4.44		1035	53.49		87	4.50		518	26.77		58	3.00		19	0.98		1935
	THIRD			1	10.00			Excluded					5	50.00		2	20.00		2	20.00		0	0.00		0	0.00		0	0.00		10
		TOTAL		123	6.36								91	4.70		1037	53.59		89	4.60		518	26.77		58	3.00		19	0.98		1935
	FOURTH			8	42.11								3	15.79		6	31.58		1	5.26		1	5.26		0	0.00			Excluded		19
		TOTAL		131	6.77								94	4.86		1043	53.90		90	4.65		519	26.82		58	3.00					1935
	FIFTH			10	17.24								6	10.34		34	58.62		5	8.62		3	5.17			Excluded					58
		TOTAL		141	7.29								100	5.17		1077	55.66		95	4.91		522	26.98								1935
	SIXTH			2	2.11								52	54.74		10	10.53			Excluded		31	32.63								95
		TOTAL		143	7.39								152	7.86		1087	56.18					553	28.58								1935
	SEVENTH			15	9.87									Excluded		34	22.37					103	67.76								152
		TOTAL		158	8.17											1121	57.93					656	33.90								1935
	EIGHTH				Excluded											82	51.90					76	48.10								158
		TOTAL														1203	62.17					732	37.83								1935
																Elected															
																															
Yowie Bay                                                      																															
	FIRST			143	5.74		15	0.60		10	0.40		67	2.69		1541	61.81		95	3.81		554	22.22		45	1.81		23	0.92		2493
	SECOND			3	30.00		1	10.00			Excluded		1	10.00		1	10.00		2	20.00		0	0.00		0	0.00		2	20.00		10
		TOTAL		146	5.86		16	0.64					68	2.73		1542	61.85		97	3.89		554	22.22		45	1.81		25	1.00		2493
	THIRD			4	25.00			Excluded					3	18.75		1	6.25		3	18.75		2	12.50		3	18.75		0	0.00		16
		TOTAL		150	6.02								71	2.85		1543	61.89		100	4.01		556	22.30		48	1.93		25	1.00		2493
	FOURTH			6	24.00								5	20.00		5	20.00		1	4.00		3	12.00		5	20.00			Excluded		25
		TOTAL		156	6.26								76	3.05		1548	62.09		101	4.05		559	22.42		53	2.13					2493
	FIFTH			6	11.32								2	3.77		35	66.04		4	7.55		6	11.32			Excluded					53
		TOTAL		162	6.50								78	3.13		1583	63.50		105	4.21		565	22.66								2493
	SIXTH			0	0.00								63	60.00		16	15.24			Excluded		26	24.76								105
		TOTAL		162	6.50								141	5.66		1599	64.14					591	23.71								2493
	SEVENTH			18	12.77									Excluded		42	29.79					81	57.45								141
		TOTAL		180	7.22											1641	65.82					672	26.96								2493
	EIGHTH				Excluded											103	57.22					77	42.78								180
		TOTAL														1744	69.96					749	30.04								2493
																Elected															
																															
Special Hospital Team 1                                        																															
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		74	63.79		2	1.72		40	34.48		0	0.00		0	0.00		116
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00					0	0.00		74	63.79		2	1.72		40	34.48		0	0.00		0	0.00		116
	THIRD			0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00								0	0.00		74	63.79		2	1.72		40	34.48		0	0.00		0	0.00		116
	FOURTH			0	0.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		0	0.00								0	0.00		74	63.79		2	1.72		40	34.48		0	0.00					116
	FIFTH			0	0.00								0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0
		TOTAL		0	0.00								0	0.00		74	63.79		2	1.72		40	34.48								116
	SIXTH			0	0.00								1	50.00		1	50.00			Excluded		0	0.00								2
		TOTAL		0	0.00								1	0.86		75	64.66					40	34.48								116
	SEVENTH			0	0.00									Excluded		1	100.00					0	0.00								1
		TOTAL		0	0.00											76	65.52					40	34.48								116
	EIGHTH				Excluded											0	0.00					0	0.00								0
		TOTAL														76	65.52					40	34.48								116
																Elected															
																															
Special Hospital Team 2                                        																															
	FIRST			9	5.36		1	0.60		0	0.00		1	0.60		110	65.48		0	0.00		46	27.38		0	0.00		1	0.60		168
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		9	5.36		1	0.60					1	0.60		110	65.48		0	0.00		46	27.38		0	0.00		1	0.60		168
	THIRD			1	100.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		10	5.95								1	0.60		110	65.48		0	0.00		46	27.38		0	0.00		1	0.60		168
	FOURTH			0	0.00								0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
		TOTAL		10	5.95								1	0.60		110	65.48		0	0.00		46	27.38		1	0.60					168
	FIFTH			0	0.00								0	0.00		0	0.00		0	0.00		1	100.00			Excluded					1
		TOTAL		10	5.95								1	0.60		110	65.48		0	0.00		47	27.98								168
	SIXTH			0	0.00								0	0.00		0	0.00			Excluded		0	0.00								0
		TOTAL		10	5.95								1	0.60		110	65.48					47	27.98								168
	SEVENTH			0	0.00									Excluded		0	0.00					1	100.00								1
		TOTAL		10	5.95											110	65.48					48	28.57								168
	EIGHTH				Excluded											5	50.00					5	50.00								10
		TOTAL														115	68.45					53	31.55								168
																Elected															
																															
ABSENT																															
	FIRST			269	5.98		45	1.00		44	0.98		273	6.07		2249	49.97		255	5.67		1156	25.68		83	1.84		127	2.82		4501
	SECOND			4	9.09		10	22.73			Excluded		13	29.55		7	15.91		3	6.82		5	11.36		1	2.27		1	2.27		44
		TOTAL		273	6.07		55	1.22					286	6.35		2256	50.12		258	5.73		1161	25.79		84	1.87		128	2.84		4501
	THIRD			9	16.36			Excluded					18	32.73		14	25.45		6	10.91		6	10.91		1	1.82		1	1.82		55
		TOTAL		282	6.27								304	6.75		2270	50.43		264	5.87		1167	25.93		85	1.89		129	2.87		4501
	FOURTH			40	31.01								14	10.85		29	22.48		9	6.98		25	19.38		12	9.30			Excluded		129
		TOTAL		322	7.15								318	7.07		2299	51.08		273	6.07		1192	26.48		97	2.16					4501
	FIFTH			2	2.06								12	12.37		46	47.42		14	14.43		23	23.71			Excluded					97
		TOTAL		324	7.20								330	7.33		2345	52.10		287	6.38		1215	26.99								4501
	SIXTH			13	4.53								111	38.68		68	23.69			Excluded		95	33.10								287
		TOTAL		337	7.49								441	9.80		2413	53.61					1310	29.10								4501
	SEVENTH			50	11.34									Excluded		117	26.53					274	62.13								441
		TOTAL		387	8.60											2530	56.21					1584	35.19								4501
	EIGHTH				Excluded											234	60.47					153	39.53								387
		TOTAL														2764	61.41					1737	38.59								4501
																Elected															
																															
POSTAL																															
	FIRST			174	5.76		8	0.26		18	0.60		59	1.95		1854	61.35		99	3.28		721	23.86		51	1.69		38	1.26		3022
	SECOND			1	5.56		0	0.00			Excluded		4	22.22		6	33.33		1	5.56		3	16.67		1	5.56		2	11.11		18
		TOTAL		175	5.79		8	0.26					63	2.08		1860	61.55		100	3.31		724	23.96		52	1.72		40	1.32		3022
	THIRD			1	12.50			Excluded					2	25.00		0	0.00		2	25.00		2	25.00		1	12.50		0	0.00		8
		TOTAL		176	5.82								65	2.15		1860	61.55		102	3.38		726	24.02		53	1.75		40	1.32		3022
	FOURTH			12	30.00								7	17.50		12	30.00		2	5.00		5	12.50		2	5.00			Excluded		40
		TOTAL		188	6.22								72	2.38		1872	61.95		104	3.44		731	24.19		55	1.82					3022
	FIFTH			7	12.73								3	5.45		32	58.18		7	12.73		6	10.91			Excluded					55
		TOTAL		195	6.45								75	2.48		1904	63.00		111	3.67		737	24.39								3022
	SIXTH			7	6.31								38	34.23		18	16.22			Excluded		48	43.24								111
		TOTAL		202	6.68								113	3.74		1922	63.60					785	25.98								3022
	SEVENTH			7	6.19									Excluded		39	34.51					67	59.29								113
		TOTAL		209	6.92											1961	64.89					852	28.19								3022
	EIGHTH				Excluded											135	64.59					74	35.41								209
		TOTAL														2096	69.36					926	30.64								3022
																Elected															
																															
PRE POLL																															
	FIRST			243	5.67		18	0.42		28	0.65		140	3.27		2350	54.82		174	4.06		1216	28.36		62	1.45		56	1.31		4287
	SECOND			4	14.29		1	3.57			Excluded		6	21.43		7	25.00		6	21.43		2	7.14		1	3.57		1	3.57		28
		TOTAL		247	5.76		19	0.44					146	3.41		2357	54.98		180	4.20		1218	28.41		63	1.47		57	1.33		4287
	THIRD			8	42.11			Excluded					3	15.79		3	15.79		2	10.53		1	5.26		1	5.26		1	5.26		19
		TOTAL		255	5.95								149	3.48		2360	55.05		182	4.25		1219	28.43		64	1.49		58	1.35		4287
	FOURTH			14	24.14								8	13.79		8	13.79		8	13.79		14	24.14		6	10.34			Excluded		58
		TOTAL		269	6.27								157	3.66		2368	55.24		190	4.43		1233	28.76		70	1.63					4287
	FIFTH			7	10.00								4	5.71		32	45.71		8	11.43		19	27.14			Excluded					70
		TOTAL		276	6.44								161	3.76		2400	55.98		198	4.62		1252	29.20								4287
