House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Page																																									
				POLLARD-O'HARA			COOPER			LAMPIS			BEHN			JEFFREYS			CANALES			FELSCH			FLANAGAN			CORKILL			CAUSLEY			GRIFFITHS			MATHEW				
																															Elected										
																																									
Cowper (Page)                                                  																																									
	FIRST			1	0.45		5	2.23		0	0.00		0	0.00		3	1.34		3	1.34		4	1.79		70	31.25		7	3.13		111	49.55		0	0.00		20	8.93		224	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.45		5	2.23		0	0.00		0	0.00		3	1.34		3	1.34		4	1.79		70	31.25		7	3.13		111	49.55					20	8.93		224	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	0.45		5	2.23					0	0.00		3	1.34		3	1.34		4	1.79		70	31.25		7	3.13		111	49.55					20	8.93		224	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	0.45		5	2.23								3	1.34		3	1.34		4	1.79		70	31.25		7	3.13		111	49.55					20	8.93		224	
	FIFTH				Excluded		1	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					6	2.68								3	1.34		3	1.34		4	1.79		70	31.25		7	3.13		111	49.55					20	8.93		224	
	SIXTH						0	0.00								1	33.33			Excluded		0	0.00		1	33.33		1	33.33		0	0.00					0	0.00		3	
		TOTAL					6	2.68								4	1.79					4	1.79		71	31.70		8	3.57		111	49.55					20	8.93		224	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		4	100.00					0	0.00		4	
		TOTAL					6	2.68								4	1.79								71	31.70		8	3.57		115	51.34					20	8.93		224	
	EIGHTH						2	50.00									Excluded								0	0.00		2	50.00		0	0.00					0	0.00		4	
		TOTAL					8	3.57																	71	31.70		10	4.46		115	51.34					20	8.93		224	
	NINTH						3	15.00																	4	20.00		3	15.00		10	50.00						Excluded		20	
		TOTAL					11	4.91																	75	33.48		13	5.80		125	55.80								224	
	TENTH						3	23.08																	8	61.54			Excluded		2	15.38								13	
		TOTAL					14	6.25																	83	37.05					127	56.70								224	
	ELEVENTH							Excluded																	9	64.29					5	35.71								14	
		TOTAL																							92	41.07					132	58.93								224	
																															Elected										
																																									
Dundurrabin                                                    																																									
	FIRST			0	0.00		1	0.73		1	0.73		1	0.73		6	4.38		3	2.19		2	1.46		57	41.61		14	10.22		43	31.39		0	0.00		9	6.57		137	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		1	0.73		1	0.73		1	0.73		6	4.38		3	2.19		2	1.46		57	41.61		14	10.22		43	31.39					9	6.57		137	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		0	0.00		1	0.73					1	0.73		6	4.38		4	2.92		2	1.46		57	41.61		14	10.22		43	31.39					9	6.57		137	
	FOURTH			0	0.00		1	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		0	0.00		2	1.46								6	4.38		4	2.92		2	1.46		57	41.61		14	10.22		43	31.39					9	6.57		137	
	FIFTH				Excluded		0	0.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					2	1.46								6	4.38		4	2.92		2	1.46		57	41.61		14	10.22		43	31.39					9	6.57		137	
	SIXTH						0	0.00								1	25.00			Excluded		0	0.00		1	25.00		1	25.00		0	0.00					1	25.00		4	
		TOTAL					2	1.46								7	5.11					2	1.46		58	42.34		15	10.95		43	31.39					10	7.30		137	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		1	50.00		1	50.00					0	0.00		2	
		TOTAL					2	1.46								7	5.11								58	42.34		16	11.68		44	32.12					10	7.30		137	
	EIGHTH						0	0.00									Excluded								5	71.43		2	28.57		0	0.00					0	0.00		7	
		TOTAL					2	1.46																	63	45.99		18	13.14		44	32.12					10	7.30		137	
	NINTH						8	80.00																	1	10.00		0	0.00		1	10.00						Excluded		10	
		TOTAL					10	7.30																	64	46.72		18	13.14		45	32.85								137	
	TENTH						6	33.33																	7	38.89			Excluded		5	27.78								18	
		TOTAL					16	11.68																	71	51.82					50	36.50								137	
	ELEVENTH							Excluded																	10	62.50					6	37.50								16	
		TOTAL																							81	59.12					56	40.88								137	
																															Elected										
																																									
Dunoon                                                         																																									
	FIRST			14	2.56		54	9.89		1	0.18		1	0.18		33	6.04		11	2.01		13	2.38		135	24.73		99	18.13		159	29.12		1	0.18		25	4.58		546	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		15	2.75		54	9.89		1	0.18		1	0.18		33	6.04		11	2.01		13	2.38		135	24.73		99	18.13		159	29.12					25	4.58		546	
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		15	2.75		55	10.07					1	0.18		33	6.04		11	2.01		13	2.38		135	24.73		99	18.13		159	29.12					25	4.58		546	
	FOURTH			1	100.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		16	2.93		55	10.07								33	6.04		11	2.01		13	2.38		135	24.73		99	18.13		159	29.12					25	4.58		546	
	FIFTH				Excluded		9	56.25								0	0.00		1	6.25		0	0.00		3	18.75		1	6.25		2	12.50					0	0.00		16	
		TOTAL					64	11.72								33	6.04		12	2.20		13	2.38		138	25.27		100	18.32		161	29.49					25	4.58		546	
	SIXTH						2	16.67								1	8.33			Excluded		0	0.00		2	16.67		5	41.67		1	8.33					1	8.33		12	
		TOTAL					66	12.09								34	6.23					13	2.38		140	25.64		105	19.23		162	29.67					26	4.76		546	
	SEVENTH						2	15.38								0	0.00						Excluded		3	23.08		0	0.00		7	53.85					1	7.69		13	
		TOTAL					68	12.45								34	6.23								143	26.19		105	19.23		169	30.95					27	4.95		546	
	EIGHTH						4	11.76									Excluded								6	17.65		21	61.76		3	8.82					0	0.00		34	
		TOTAL					72	13.19																	149	27.29		126	23.08		172	31.50					27	4.95		546	
	NINTH						10	37.04																	6	22.22		2	7.41		9	33.33						Excluded		27	
		TOTAL					82	15.02																	155	28.39		128	23.44		181	33.15								546	
	TENTH						50	39.06																	72	56.25			Excluded		6	4.69								128	
		TOTAL					132	24.18																	227	41.58					187	34.25								546	
	ELEVENTH							Excluded																	92	69.70					40	30.30								132	
		TOTAL																							319	58.42					227	41.58								546	
																															Elected										
																																									
Eltham                                                         																																									
	FIRST			2	0.84		19	7.98		0	0.00		0	0.00		4	1.68		3	1.26		9	3.78		51	21.43		28	11.76		115	48.32		0	0.00		7	2.94		238	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	0.84		19	7.98		0	0.00		0	0.00		4	1.68		3	1.26		9	3.78		51	21.43		28	11.76		115	48.32					7	2.94		238	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	0.84		19	7.98					0	0.00		4	1.68		3	1.26		9	3.78		51	21.43		28	11.76		115	48.32					7	2.94		238	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	0.84		19	7.98								4	1.68		3	1.26		9	3.78		51	21.43		28	11.76		115	48.32					7	2.94		238	
	FIFTH				Excluded		2	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					21	8.82								4	1.68		3	1.26		9	3.78		51	21.43		28	11.76		115	48.32					7	2.94		238	
	SIXTH						1	33.33								1	33.33			Excluded		0	0.00		0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL					22	9.24								5	2.10					9	3.78		51	21.43		29	12.18		115	48.32					7	2.94		238	
	SEVENTH						0	0.00								1	11.11						Excluded		0	0.00		1	11.11		6	66.67					1	11.11		9	
		TOTAL					22	9.24								6	2.52								51	21.43		30	12.61		121	50.84					8	3.36		238	
	EIGHTH						1	16.67									Excluded								0	0.00		4	66.67		1	16.67					0	0.00		6	
		TOTAL					23	9.66																	51	21.43		34	14.29		122	51.26					8	3.36		238	
	NINTH						2	25.00																	0	0.00		1	12.50		5	62.50						Excluded		8	
		TOTAL					25	10.50																	51	21.43		35	14.71		127	53.36								238	
	TENTH						8	22.86																	23	65.71			Excluded		4	11.43								35	
		TOTAL					33	13.87																	74	31.09					131	55.04								238	
	ELEVENTH							Excluded																	16	48.48					17	51.52								33	
		TOTAL																							90	37.82					148	62.18								238	
																															Elected										
																																									
Empire Vale                                                    																																									
	FIRST			5	2.10		18	7.56		0	0.00		1	0.42		9	3.78		10	4.20		23	9.66		55	23.11		15	6.30		88	36.97		0	0.00		14	5.88		238	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	2.10		18	7.56		0	0.00		1	0.42		9	3.78		10	4.20		23	9.66		55	23.11		15	6.30		88	36.97					14	5.88		238	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		5	2.10		18	7.56					1	0.42		9	3.78		10	4.20		23	9.66		55	23.11		15	6.30		88	36.97					14	5.88		238	
	FOURTH			0	0.00		1	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		5	2.10		19	7.98								9	3.78		10	4.20		23	9.66		55	23.11		15	6.30		88	36.97					14	5.88		238	
	FIFTH				Excluded		2	40.00								1	20.00		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00					1	20.00		5	
		TOTAL					21	8.82								10	4.20		10	4.20		23	9.66		56	23.53		15	6.30		88	36.97					15	6.30		238	
	SIXTH						1	10.00								3	30.00			Excluded		0	0.00		1	10.00		2	20.00		2	20.00					1	10.00		10	
		TOTAL					22	9.24								13	5.46					23	9.66		57	23.95		17	7.14		90	37.82					16	6.72		238	
	SEVENTH						2	8.70								0	0.00						Excluded		3	13.04		1	4.35		17	73.91					0	0.00		23	
		TOTAL					24	10.08								13	5.46								60	25.21		18	7.56		107	44.96					16	6.72		238	
	EIGHTH						1	7.69									Excluded								5	38.46		6	46.15		1	7.69					0	0.00		13	
		TOTAL					25	10.50																	65	27.31		24	10.08		108	45.38					16	6.72		238	
	NINTH						5	31.25																	4	25.00		3	18.75		4	25.00						Excluded		16	
		TOTAL					30	12.61																	69	28.99		27	11.34		112	47.06								238	
	TENTH						17	62.96																	6	22.22			Excluded		4	14.81								27	
		TOTAL					47	19.75																	75	31.51					116	48.74								238	
	ELEVENTH							Excluded																	32	68.09					15	31.91								47	
		TOTAL																							107	44.96					131	55.04								238	
																															Elected										
																																									
Evans Head                                                     																																									
	FIRST			13	0.82		88	5.58		2	0.13		230	14.58		22	1.39		18	1.14		42	2.66		434	27.50		68	4.31		579	36.69		4	0.25		78	4.94		1578	
	SECOND			0	0.00		1	25.00		0	0.00		1	25.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		13	0.82		89	5.64		2	0.13		231	14.64		23	1.46		18	1.14		42	2.66		434	27.50		68	4.31		579	36.69					79	5.01		1578	
	THIRD			0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		13	0.82		91	5.77					231	14.64		23	1.46		18	1.14		42	2.66		434	27.50		68	4.31		579	36.69					79	5.01		1578	
	FOURTH			11	4.76		113	48.92						Excluded		15	6.49		7	3.03		0	0.00		33	14.29		6	2.60		36	15.58					10	4.33		231	
		TOTAL		24	1.52		204	12.93								38	2.41		25	1.58		42	2.66		467	29.59		74	4.69		615	38.97					89	5.64		1578	
	FIFTH				Excluded		14	58.33								2	8.33		2	8.33		0	0.00		1	4.17		2	8.33		2	8.33					1	4.17		24	
		TOTAL					218	13.81								40	2.53		27	1.71		42	2.66		468	29.66		76	4.82		617	39.10					90	5.70		1578	
	SIXTH						4	14.81								4	14.81			Excluded		1	3.70		5	18.52		9	33.33		2	7.41					2	7.41		27	
		TOTAL					222	14.07								44	2.79					43	2.72		473	29.97		85	5.39		619	39.23					92	5.83		1578	
	SEVENTH						3	6.98								2	4.65						Excluded		2	4.65		3	6.98		31	72.09					2	4.65		43	
		TOTAL					225	14.26								46	2.92								475	30.10		88	5.58		650	41.19					94	5.96		1578	
	EIGHTH						14	30.43									Excluded								12	26.09		11	23.91		7	15.22					2	4.35		46	
		TOTAL					239	15.15																	487	30.86		99	6.27		657	41.63					96	6.08		1578	
	NINTH						52	54.17																	8	8.33		9	9.38		27	28.13						Excluded		96	
		TOTAL					291	18.44																	495	31.37		108	6.84		684	43.35								1578	
	TENTH						40	37.04																	51	47.22			Excluded		17	15.74								108	
		TOTAL					331	20.98																	546	34.60					701	44.42								1578	
	ELEVENTH							Excluded																	236	71.30					95	28.70								331	
		TOTAL																							782	49.56					796	50.44								1578	
																															Elected										
																																									
Fairy Hill                                                     																																									
	FIRST			3	0.77		69	17.69		2	0.51		1	0.26		2	0.51		0	0.00		7	1.79		69	17.69		6	1.54		213	54.62		1	0.26		17	4.36		390	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		3	0.77		69	17.69		2	0.51		1	0.26		2	0.51		0	0.00		7	1.79		69	17.69		6	1.54		214	54.87					17	4.36		390	
	THIRD			0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		3	0.77		70	17.95					2	0.51		2	0.51		0	0.00		7	1.79		69	17.69		6	1.54		214	54.87					17	4.36		390	
	FOURTH			0	0.00		1	50.00						Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		3	0.77		71	18.21								3	0.77		0	0.00		7	1.79		69	17.69		6	1.54		214	54.87					17	4.36		390	
	FIFTH				Excluded		2	66.67								1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL					73	18.72								4	1.03		0	0.00		7	1.79		69	17.69		6	1.54		214	54.87					17	4.36		390	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					73	18.72								4	1.03					7	1.79		69	17.69		6	1.54		214	54.87					17	4.36		390	
	SEVENTH						2	28.57								0	0.00						Excluded		0	0.00		1	14.29		4	57.14					0	0.00		7	
		TOTAL					75	19.23								4	1.03								69	17.69		7	1.79		218	55.90					17	4.36		390	
	EIGHTH						0	0.00									Excluded								1	25.00		2	50.00		0	0.00					1	25.00		4	
		TOTAL					75	19.23																	70	17.95		9	2.31		218	55.90					18	4.62		390	
	NINTH						8	44.44																	2	11.11		1	5.56		7	38.89						Excluded		18	
		TOTAL					83	21.28																	72	18.46		10	2.56		225	57.69								390	
	TENTH						3	30.00																	4	40.00			Excluded		3	30.00								10	
		TOTAL					86	22.05																	76	19.49					228	58.46								390	
	ELEVENTH							Excluded																	48	55.81					38	44.19								86	
		TOTAL																							124	31.79					266	68.21								390	
																															Elected										
																																									
Gillwinga                                                      																																									
	FIRST			6	1.10		11	2.01		0	0.00		0	0.00		6	1.10		4	0.73		5	0.92		229	41.94		10	1.83		239	43.77		2	0.37		34	6.23		546	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		6	1.10		11	2.01		0	0.00		0	0.00		6	1.10		4	0.73		5	0.92		231	42.31		10	1.83		239	43.77					34	6.23		546	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		6	1.10		11	2.01					0	0.00		6	1.10		4	0.73		5	0.92		231	42.31		10	1.83		239	43.77					34	6.23		546	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		6	1.10		11	2.01								6	1.10		4	0.73		5	0.92		231	42.31		10	1.83		239	43.77					34	6.23		546	
	FIFTH				Excluded		4	66.67								1	16.67		0	0.00		0	0.00		0	0.00		0	0.00		1	16.67					0	0.00		6	
		TOTAL					15	2.75								7	1.28		4	0.73		5	0.92		231	42.31		10	1.83		240	43.96					34	6.23		546	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00		1	25.00		1	25.00		1	25.00					1	25.00		4	
		TOTAL					15	2.75								7	1.28					5	0.92		232	42.49		11	2.01		241	44.14					35	6.41		546	
	SEVENTH						0	0.00								0	0.00						Excluded		2	40.00		0	0.00		2	40.00					1	20.00		5	
		TOTAL					15	2.75								7	1.28								234	42.86		11	2.01		243	44.51					36	6.59		546	
	EIGHTH						2	28.57									Excluded								0	0.00		4	57.14		0	0.00					1	14.29		7	
		TOTAL					17	3.11																	234	42.86		15	2.75		243	44.51					37	6.78		546	
	NINTH						2	5.41																	10	27.03		3	8.11		22	59.46						Excluded		37	
		TOTAL					19	3.48																	244	44.69		18	3.30		265	48.53								546	
	TENTH						6	33.33																	7	38.89			Excluded		5	27.78								18	
		TOTAL					25	4.58																	251	45.97					270	49.45								546	
	ELEVENTH							Excluded																	13	52.00					12	48.00								25	
		TOTAL																							264	48.35					282	51.65								546	
																															Elected										
																																									
Goolmangar                                                     																																									
	FIRST			3	0.71		67	15.91		2	0.48		0	0.00		7	1.66		8	1.90		0	0.00		96	22.80		32	7.60		185	43.94		0	0.00		21	4.99		421	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	0.71		67	15.91		2	0.48		0	0.00		7	1.66		8	1.90		0	0.00		96	22.80		32	7.60		185	43.94					21	4.99		421	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00					0	0.00		2	
		TOTAL		3	0.71		67	15.91					0	0.00		7	1.66		8	1.90		0	0.00		96	22.80		33	7.84		186	44.18					21	4.99		421	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	0.71		67	15.91								7	1.66		8	1.90		0	0.00		96	22.80		33	7.84		186	44.18					21	4.99		421	
	FIFTH				Excluded		2	66.67								0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL					69	16.39								7	1.66		8	1.90		0	0.00		96	22.80		34	8.08		186	44.18					21	4.99		421	
	SIXTH						1	12.50								1	12.50			Excluded		0	0.00		1	12.50		3	37.50		0	0.00					2	25.00		8	
		TOTAL					70	16.63								8	1.90					0	0.00		97	23.04		37	8.79		186	44.18					23	5.46		421	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					70	16.63								8	1.90								97	23.04		37	8.79		186	44.18					23	5.46		421	
	EIGHTH						1	12.50									Excluded								4	50.00		2	25.00		1	12.50					0	0.00		8	
		TOTAL					71	16.86																	101	23.99		39	9.26		187	44.42					23	5.46		421	
	NINTH						5	21.74																	4	17.39		5	21.74		9	39.13						Excluded		23	
		TOTAL					76	18.05																	105	24.94		44	10.45		196	46.56								421	
	TENTH						24	54.55																	18	40.91			Excluded		2	4.55								44	
		TOTAL					100	23.75																	123	29.22					198	47.03								421	
	ELEVENTH							Excluded																	61	61.00					39	39.00								100	
		TOTAL																							184	43.71					237	56.29								421	
																															Elected										
																																									
Goonellabah                                                    																																									
	FIRST			39	1.72		165	7.28		13	0.57		10	0.44		75	3.31		37	1.63		57	2.51		609	26.86		134	5.91		1046	46.14		5	0.22		77	3.40		2267	
	SECOND			0	0.00		1	20.00		0	0.00		0	0.00		0	0.00		1	20.00		0	0.00		1	20.00		2	40.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		39	1.72		166	7.32		13	0.57		10	0.44		75	3.31		38	1.68		57	2.51		610	26.91		136	6.00		1046	46.14					77	3.40		2267	
	THIRD			0	0.00		2	15.38			Excluded		0	0.00		0	0.00		1	7.69		0	0.00		1	7.69		8	61.54		1	7.69					0	0.00		13	
		TOTAL		39	1.72		168	7.41					10	0.44		75	3.31		39	1.72		57	2.51		611	26.95		144	6.35		1047	46.18					77	3.40		2267	
	FOURTH			1	10.00		4	40.00						Excluded		0	0.00		1	10.00		0	0.00		1	10.00		0	0.00		3	30.00					0	0.00		10	
		TOTAL		40	1.76		172	7.59								75	3.31		40	1.76		57	2.51		612	27.00		144	6.35		1050	46.32					77	3.40		2267	
	FIFTH				Excluded		19	47.50								2	5.00		2	5.00		0	0.00		4	10.00		4	10.00		6	15.00					3	7.50		40	
		TOTAL					191	8.43								77	3.40		42	1.85		57	2.51		616	27.17		148	6.53		1056	46.58					80	3.53		2267	
	SIXTH						5	11.90								4	9.52			Excluded		1	2.38		11	26.19		18	42.86		2	4.76					1	2.38		42	
		TOTAL					196	8.65								81	3.57					58	2.56		627	27.66		166	7.32		1058	46.67					81	3.57		2267	
	SEVENTH						11	18.97								3	5.17						Excluded		5	8.62		4	6.90		34	58.62					1	1.72		58	
		TOTAL					207	9.13								84	3.71								632	27.88		170	7.50		1092	48.17					82	3.62		2267	
	EIGHTH						37	44.05									Excluded								14	16.67		19	22.62		10	11.90					4	4.76		84	
		TOTAL					244	10.76																	646	28.50		189	8.34		1102	48.61					86	3.79		2267	
	NINTH						41	47.67																	11	12.79		10	11.63		24	27.91						Excluded		86	
		TOTAL					285	12.57																	657	28.98		199	8.78		1126	49.67								2267	
	TENTH						80	40.20																	91	45.73			Excluded		28	14.07								199	
		TOTAL					365	16.10																	748	33.00					1154	50.90								2267	
	ELEVENTH							Excluded																	225	61.64					140	38.36								365	
		TOTAL																							973	42.92					1294	57.08								2267	
																															Elected										
																																									
Goonellabah South                                              																																									
	FIRST			39	1.97		149	7.54		6	0.30		4	0.20		60	3.04		17	0.86		61	3.09		571	28.90		113	5.72		864	43.72		0	0.00		92	4.66		1976	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		39	1.97		149	7.54		6	0.30		4	0.20		60	3.04		17	0.86		61	3.09		571	28.90		113	5.72		864	43.72					92	4.66		1976	
	THIRD			1	16.67		1	16.67			Excluded		0	0.00		0	0.00		1	16.67		0	0.00		0	0.00		3	50.00		0	0.00					0	0.00		6	
		TOTAL		40	2.02		150	7.59					4	0.20		60	3.04		18	0.91		61	3.09		571	28.90		116	5.87		864	43.72					92	4.66		1976	
	FOURTH			1	25.00		2	50.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00					0	0.00		4	
		TOTAL		41	2.07		152	7.69								60	3.04		18	0.91		61	3.09		571	28.90		116	5.87		865	43.78					92	4.66		1976	
	FIFTH				Excluded		18	43.90								8	19.51		1	2.44		2	4.88		3	7.32		2	4.88		5	12.20					2	4.88		41	
		TOTAL					170	8.60								68	3.44		19	0.96		63	3.19		574	29.05		118	5.97		870	44.03					94	4.76		1976	
	SIXTH						1	5.26								0	0.00			Excluded		0	0.00		7	36.84		9	47.37		0	0.00					2	10.53		19	
		TOTAL					171	8.65								68	3.44					63	3.19		581	29.40		127	6.43		870	44.03					96	4.86		1976	
	SEVENTH						16	25.40								2	3.17						Excluded		2	3.17		7	11.11		34	53.97					2	3.17		63	
		TOTAL					187	9.46								70	3.54								583	29.50		134	6.78		904	45.75					98	4.96		1976	
	EIGHTH						11	15.71									Excluded								25	35.71		23	32.86		11	15.71					0	0.00		70	
		TOTAL					198	10.02																	608	30.77		157	7.95		915	46.31					98	4.96		1976	
	NINTH						39	39.80																	16	16.33		10	10.20		33	33.67						Excluded		98	
		TOTAL					237	11.99																	624	31.58		167	8.45		948	47.98								1976	
	TENTH						71	42.51																	70	41.92			Excluded		26	15.57								167	
		TOTAL					308	15.59																	694	35.12					974	49.29								1976	
	ELEVENTH							Excluded																	173	56.17					135	43.83								308	
		TOTAL																							867	43.88					1109	56.12								1976	
																															Elected										
																																									
Grafton                                                        																																									
	FIRST			30	1.73		50	2.88		3	0.17		5	0.29		44	2.54		22	1.27		35	2.02		667	38.44		74	4.27		691	39.83		2	0.12		112	6.46		1735	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		30	1.73		50	2.88		3	0.17		5	0.29		44	2.54		22	1.27		35	2.02		668	38.50		74	4.27		692	39.88					112	6.46		1735	
	THIRD			0	0.00		0	0.00			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		1	33.33					0	0.00		3	
		TOTAL		30	1.73		50	2.88					6	0.35		44	2.54		22	1.27		35	2.02		668	38.50		75	4.32		693	39.94					112	6.46		1735	
	FOURTH			0	0.00		3	50.00						Excluded		0	0.00		1	16.67		0	0.00		2	33.33		0	0.00		0	0.00					0	0.00		6	
		TOTAL		30	1.73		53	3.05								44	2.54		23	1.33		35	2.02		670	38.62		75	4.32		693	39.94					112	6.46		1735	
	FIFTH				Excluded		17	56.67								2	6.67		2	6.67		0	0.00		1	3.33		1	3.33		5	16.67					2	6.67		30	
		TOTAL					70	4.03								46	2.65		25	1.44		35	2.02		671	38.67		76	4.38		698	40.23					114	6.57		1735	
	SIXTH						2	8.00								1	4.00			Excluded		3	12.00		4	16.00		9	36.00		1	4.00					5	20.00		25	
		TOTAL					72	4.15								47	2.71					38	2.19		675	38.90		85	4.90		699	40.29					119	6.86		1735	
	SEVENTH						1	2.63								4	10.53						Excluded		9	23.68		2	5.26		18	47.37					4	10.53		38	
		TOTAL					73	4.21								51	2.94								684	39.42		87	5.01		717	41.33					123	7.09		1735	
	EIGHTH						10	19.61									Excluded								17	33.33		11	21.57		11	21.57					2	3.92		51	
		TOTAL					83	4.78																	701	40.40		98	5.65		728	41.96					125	7.20		1735	
	NINTH						45	36.00																	24	19.20		17	13.60		39	31.20						Excluded		125	
		TOTAL					128	7.38																	725	41.79		115	6.63		767	44.21								1735	
	TENTH						39	33.91																	51	44.35			Excluded		25	21.74								115	
		TOTAL					167	9.63																	776	44.73					792	45.65								1735	
	ELEVENTH							Excluded																	129	77.25					38	22.75								167	
		TOTAL																							905	52.16					830	47.84								1735	
																															Elected										
																																									
Grafton East                                                   																																									
